"DB","DB_i","ID","RA_ICRS","DE_ICRS","GLON","GLAT","plx","pmRA","pmDE","fnames","UCC_ID","quad","dups_fnames","dups_probs","r_50","N_fixed","N_membs","fixed_cent","cent_flags","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","plx_m","pmRA_m","pmDE_m","Rv_m","N_Rv","N_ex_cls"
"KHARCHENKO12","1061","Dutra-Bica 58",266.268,-28.848,0.0127,0.1483,"nan","nan","nan","dutrabica58","UCC G000.0+00.1","Q1P","nan","nan",2.9,False,48.0,True,"000",0.95,0.59,"AB",39.0,0.006,0.157,266.252,-28.854,0.425,-0.066,-0.387,"nan",0.0,3.0
"KHARCHENKO12;BICA19","1023;0","ESO 456 05;AL 2;Andrews-Lindsay 2;MWSC 2734",268.2709,-29.88878,0.0188,-1.8838,"nan","nan","nan","eso45605;al2;andrewslindsay2;mwsc2734","UCC G000.0-01.8","Q1N","nan","nan",5.4,False,36.0,True,"000",0.84,0.94,"AA",25.0,0.035,-1.888,268.264,-29.874,0.362,-0.279,-1.987,31.442,2.0,0.0
"BICA19","1","VVV 151;VVV-CL 151",267.82153,-29.65676,0.02,-1.43,"nan","nan","nan","vvv151;vvvcl151","UCC G000.0-01.4","Q1N","nan","nan",3.1,False,25.0,True,"000",0.3,0.67,"CB",0.0,0.02,-1.428,267.841,-29.652,0.174,-1.905,-4.303,"nan",0.0,1.0
"BICA19","2871","DB 1;Dutra-Bica 1",266.70606,-29.06133,0.03,-0.29,"nan","nan","nan","db1;dutrabica1","UCC G000.0-00.2","Q1N","nan","nan",1.8,False,25.0,True,"000",0.64,0.27,"BC",0.0,0.044,-0.288,266.714,-29.057,0.398,-1.338,-2.951,24.157,4.0,6.0
"BICA19","3488","FSR 0001;MWSC 2622",263.09679,-27.06227,0.03,3.47,"nan","nan","nan","fsr0001;mwsc2622","UCC G000.0+03.4","Q1P","nan","nan",6.7,False,66.0,True,"000",0.11,0.49,"DC",27.0,0.012,3.447,263.075,-27.086,0.039,-4.449,-2.012,-33.841,1.0,0.0
"KHARCHENKO12;BICA19","1098;3489","FSR 0002;MWSC 2623",263.13512,-27.06842,0.0434,3.438,"nan","nan","nan","fsr0002;mwsc2623","UCC G000.0+03.4a","Q1P","nan","nan",8.9,False,38.0,True,"100",0.31,0.45,"CC",11.0,0.003,3.349,263.194,-27.156,-0.001,-4.577,-8.487,152.912,1.0,0.0
"BICA19","2","Ryu 152",264.37026,-27.76323,0.05,2.14,"nan","nan","nan","ryu152","UCC G000.0+02.1","Q1P","nan","nan",1.1,False,28.0,True,"000",0.36,0.33,"CC",10.0,0.043,2.136,264.371,-27.769,0.074,-3.193,-5.841,-82.741,1.0,0.0
"BICA19","3","Ryu 537",261.73039,-26.18957,0.09,4.97,"nan","nan","nan","ryu537","UCC G000.0+04.9","Q1P","nan","nan",1.1,False,25.0,True,"000",0.44,0.26,"CC",0.0,0.093,4.967,261.734,-26.191,0.103,-3.198,-4.489,70.147,2.0,0.0
"BICA19","4","Ryu 153",266.51323,-28.87683,0.1,-0.05,"nan","nan","nan","ryu153","UCC G000.1+00.0","Q1P","nan","nan",2.7,False,38.0,True,"000",0.18,0.28,"DC",23.0,0.083,-0.09,266.538,-28.907,0.528,-0.927,-2.242,13.288,3.0,1.0
"BICA19","3250","DB 2;Dutra-Bica 2",266.99821,-29.12234,0.11,-0.54,"nan","nan","nan","db2;dutrabica2","UCC G000.1-00.5","Q1N","nan","nan",3.0,False,25.0,True,"000",0.15,0.23,"DD",0.0,0.097,-0.541,266.987,-29.125,0.454,-0.62,-0.689,-24.184,2.0,7.0
"BICA19","2872","VVV 142;VVV-CL 142",266.13958,-28.66487,0.11,0.34,"nan","nan","nan","vvv142;vvvcl142","UCC G000.1+00.3","Q1P","nan","nan",4.4,False,36.0,True,"000",0.32,0.41,"CC",28.0,0.138,0.358,266.124,-28.636,0.54,0.023,-1.556,-23.556,1.0,2.0
"BICA19","5","Ryu 538",262.1084,-26.36593,0.13,4.59,"nan","nan","nan","ryu538","UCC G000.1+04.5","Q1P","nan","nan",3.4,False,116.0,True,"000",0.64,0.25,"BD",94.0,0.116,4.568,262.119,-26.385,0.091,-2.816,-5.585,-40.242,1.0,0.0
"BICA19","3251","DB 29;Dutra-Bica 29",265.5571,-28.31384,0.14,0.96,"nan","nan","nan","db29;dutrabica29","UCC G000.1+00.9","Q1P","nan","nan",4.3,False,45.0,True,"000",0.44,0.59,"CB",16.0,0.152,0.971,265.538,-28.293,0.384,-2.763,-3.968,-7.585,1.0,2.0
"KHARCHENKO12;BICA19","1048;6","Ruprecht 131;OCL 2;ESO 455 45;MWSC 2706",267.30518,-29.24316,0.1447,-0.8319,"nan","nan","nan","ruprecht131;ocl2;eso45545;mwsc2706","UCC G000.1-00.8","Q1N","nan","nan",2.2,False,25.0,True,"000",0.1,0.28,"DC",0.0,0.139,-0.825,267.302,-29.256,0.384,-1.068,-1.962,"nan",0.0,5.0
"BICA19","2873","VVV 146;VVV-CL 146",266.50394,-28.81332,0.15,-0.01,"nan","nan","nan","vvv146;vvvcl146","UCC G000.1+00.0a","Q1P","nan","nan",8.1,False,31.0,True,"100",0.4,0.41,"CC",10.0,0.169,-0.107,266.605,-28.825,0.523,-0.666,-2.038,-34.396,5.0,3.0
"BICA19","7","Ryu 539",261.56929,-26.00977,0.16,5.19,"nan","nan","nan","ryu539","UCC G000.1+05.1","Q1P","nan","nan",1.2,False,25.0,True,"000",0.17,0.27,"DC",0.0,0.154,5.199,261.554,-26.014,0.16,-2.92,-5.006,"nan",0.0,0.0
"CASTRO22","0","UBC 1001",267.36,-29.23,0.1806,-0.8662,0.37,0.42,-1.94,"ubc1001","UCC G000.1-00.8a","Q1N","nan","nan",7.1,False,113.0,False,"000",0.97,1.0,"AA",67.0,0.164,-0.901,267.375,-29.261,0.368,0.438,-1.939,-31.398,3.0,41.0
"BICA19","8","Ryu 540",271.19839,-31.11075,0.21,-4.68,"nan","nan","nan","ryu540","UCC G000.2-04.6","Q1N","nan","nan",1.4,False,50.0,True,"000",0.26,0.34,"CC",23.0,0.211,-4.675,271.193,-31.114,0.261,-0.291,-4.335,-15.48,4.0,0.0
"CASTRO22","592","UBC 1593",267.03,-29.01,0.2206,-0.5058,0.58,0.57,-1.43,"ubc1593","UCC G000.2-00.5","Q1N","casado7;cwwdl7654","0.78;0.62",6.4,False,117.0,False,"000",0.95,0.97,"AA",73.0,0.2,-0.504,267.017,-29.019,0.566,0.593,-1.397,"nan",0.0,46.0
"CASADO21;HUNT23","5;1285","Casado 7",267.03259,-28.99749,0.2324,-0.5012,0.572,0.527,-1.455,"casado7","UCC G000.2-00.5a","Q1N","ubc1593;cwwdl7654","0.78;0.66",5.1,False,93.0,False,"000",0.82,0.79,"AA",72.0,0.207,-0.507,267.023,-29.018,0.563,0.58,-1.409,"nan",0.0,8.0
"CHI23_3","450","CWWDL 7654",267.0515,-28.9924,0.2453,-0.5128,0.578,0.51,-1.354,"cwwdl7654","UCC G000.2-00.5b","Q1N","ubc1593;casado7","0.62;0.66",4.7,False,64.0,False,"000",0.72,0.8,"BA",51.0,0.211,-0.508,267.026,-29.019,0.564,0.59,-1.406,"nan",0.0,8.0
"BICA19","9","Cmg 451",265.83168,-28.32228,0.26,0.75,"nan","nan","nan","cmg451","UCC G000.2+00.7","Q1P","nan","nan",3.5,False,25.0,True,"000",0.29,0.49,"CC",0.0,0.241,0.748,265.834,-28.333,0.404,-1.607,-1.637,-12.194,2.0,2.0
"KHARCHENKO12;BICA19;CANTAT20;DIAS21;HUNT23","1032;10;1125;1001;4969","Ruprecht 134;OCL 4;VDBH 252;vdBergh-Hagen 252;ESO 456 01;MWSC 2730",268.184,-29.537,0.2837,-1.6402,0.391,-1.653,-2.432,"ruprecht134;ocl4;vdbh252;vdberghhagen252;eso45601;mwsc2730","UCC G000.2-01.6","Q1N","nan","nan",3.9,False,306.0,False,"000",1.0,1.0,"AA",286.0,0.285,-1.638,268.181,-29.533,0.398,-1.605,-2.447,-41.872,14.0,4.0
"FERREIRA21;HUNT23","25;6067","UFMG 88",268.20394,-29.47872,0.3427,-1.6256,0.619,2.044,-1.617,"ufmg88","UCC G000.3-01.6","Q1N","nan","nan",5.4,False,28.0,True,"000",1.0,0.92,"AA",28.0,0.361,-1.643,268.241,-29.492,0.64,2.111,-1.701,-26.93,4.0,8.0
"BICA19","11","Ryu 541",267.02841,-28.8463,0.36,-0.42,"nan","nan","nan","ryu541","UCC G000.3-00.4","Q1N","nan","nan",1.4,False,51.0,True,"000",0.21,0.27,"DC",43.0,0.353,-0.416,267.027,-28.854,0.418,-0.521,-1.666,-42.766,2.0,0.0
"BICA19","3252","DB 18;Dutra-Bica 18;MWSC 2665",265.71013,-28.11509,0.38,0.95,"nan","nan","nan","db18;dutrabica18;mwsc2665","UCC G000.3+00.9","Q1P","nan","nan",4.1,False,42.0,True,"000",0.16,0.53,"DB",10.0,0.382,0.967,265.685,-28.107,0.276,-2.579,-4.27,-15.477,1.0,4.0
"QIN23","0","OCSN 1",260.16,-24.86,0.4053,6.8877,6.73,-4.75,-21.64,"ocsn1","UCC G000.4+06.8","Q1P","nan","nan",81.8,False,75.0,True,"100",1.0,0.49,"AC",66.0,-0.045,6.883,259.831,-25.003,6.752,-4.676,-21.668,-3.501,33.0,313.0
"BICA19","3478","Schmitz J1808.6-3116",272.16382,-31.2688,0.47,-5.48,"nan","nan","nan","schmitzj180863116","UCC G000.4-05.4","Q1N","nan","nan",2.1,False,25.0,True,"000",0.29,0.63,"CB",0.0,0.465,-5.485,272.177,-31.276,0.187,-4.084,-6.193,"nan",0.0,0.0
"HUNT23","1787","HSC 2",268.62743,-29.53106,0.4843,-1.9699,0.634,1.68,-1.182,"hsc2","UCC G000.4-01.9","Q1N","nan","nan",6.3,False,33.0,True,"000",0.88,0.63,"AB",25.0,0.473,-1.962,268.603,-29.524,0.623,1.677,-1.174,"nan",0.0,10.0
"KHARCHENKO12;LOKTIN17","836;269","ESO 337 23",289.8275,-37.62,0.5061,-21.3376,"nan","nan","nan","eso33723","UCC G000.5-21.3","Q1N","nan","nan",4.0,False,25.0,True,"000",0.39,0.23,"CD",0.0,0.515,-21.359,289.845,-37.593,0.272,-1.893,-5.392,"nan",0.0,0.0
"BICA19","12","ESO 455 44",267.26144,-28.75914,0.54,-0.55,"nan","nan","nan","eso45544","UCC G000.5-00.5","Q1N","nan","nan",2.1,False,25.0,True,"000",0.73,0.27,"BC",0.0,0.532,-0.545,267.254,-28.768,0.273,-0.736,-2.108,"nan",0.0,6.0
"HUNT23","1788","HSC 3",273.73496,-31.87472,0.5673,-6.9461,0.647,0.371,0.21,"hsc3","UCC G000.5-06.9","Q1N","nan","nan",8.6,False,33.0,True,"010",0.97,0.81,"AA",26.0,0.546,-6.95,273.727,-31.906,0.639,0.361,0.255,-15.185,6.0,1.0
"BICA19","3253","DB 20;Dutra-Bica 20",265.80027,-27.9292,0.58,0.98,"nan","nan","nan","db20;dutrabica20","UCC G000.5+00.9","Q1P","nan","nan",6.2,False,54.0,True,"000",0.31,0.51,"CB",25.0,0.612,1.032,265.771,-27.908,0.306,-2.549,-4.672,-14.711,2.0,1.0
"HUNT23","1789","HSC 4",269.07222,-29.6381,0.5866,-2.358,0.112,2.125,-11.895,"hsc4","UCC G000.5-02.3","Q1N","nan","nan",1.2,False,56.0,True,"000",0.52,0.43,"BC",52.0,0.582,-2.358,269.068,-29.637,0.132,2.119,-11.901,-130.743,1.0,5.0
"KHARCHENKO12;HUNT23","1065;1333","Collinder 351",267.34684,-28.74936,0.5869,-0.6092,0.439,-0.565,-1.136,"collinder351","UCC G000.5-00.6","Q1N","nan","nan",3.2,False,89.0,False,"000",0.83,1.0,"AA",46.0,0.608,-0.682,267.43,-28.775,0.427,-0.5,-1.148,"nan",0.0,11.0
"CANTAT20;CASTRO20;DIAS21","1860;0;1446","UBC 91",267.433,-28.761,0.6158,-0.6799,0.42,-0.587,-1.126,"ubc91","UCC G000.6-00.6","Q1N","nan","nan",3.5,False,130.0,False,"000",0.99,1.0,"AA",63.0,0.62,-0.689,267.447,-28.767,0.434,-0.503,-1.138,0.373,2.0,43.0
"BICA19","13","DB 21;Dutra-Bica 21",265.82404,-27.89517,0.62,0.98,"nan","nan","nan","db21;dutrabica21","UCC G000.6+00.9","Q1P","nan","nan",6.6,False,46.0,True,"000",0.19,0.59,"DB",11.0,0.673,1.02,265.808,-27.83,0.395,-1.603,-1.949,-58.839,5.0,1.0
"HUNT23","1790","HSC 5",276.78242,-33.09355,0.6449,-9.7899,0.657,0.15,-6.676,"hsc5","UCC G000.6-09.7","Q1N","nan","nan",8.2,False,26.0,True,"010",0.23,0.39,"DC",4.0,0.616,-9.781,276.786,-33.109,0.59,0.056,-6.741,-43.665,1.0,0.0
"CASTRO22","566","UBC 1567",269.01,-29.51,0.6703,-2.2469,0.38,-0.1,-0.47,"ubc1567","UCC G000.6-02.2","Q1N","cwwdl4491;ufmg92","0.73;0.74",2.9,False,51.0,False,"000",1.0,1.0,"AA",46.0,0.672,-2.248,269.015,-29.508,0.382,-0.077,-0.481,20.849,2.0,29.0
"CHI23_3","378","CWWDL 4491",269.0125,-29.5099,0.6715,-2.2487,0.392,-0.108,-0.546,"cwwdl4491","UCC G000.6-02.2a","Q1N","ubc1567;ufmg92","0.73;0.66",3.0,False,98.0,True,"010",1.0,1.0,"AA",85.0,0.675,-2.248,269.017,-29.505,0.382,-0.083,-0.484,-18.645,5.0,4.0
"KHARCHENKO12;BICA19;CANTAT20;DIAS21;TARRICQ22;HE22_1;HUNT23","949;14;502;415;94;164;1685","ASCC 96;Ferrero 1;Slotegraaf 61;MWSC 2893",275.063,-32.338,0.6741,-8.1581,1.145,0.149,-4.809,"ascc96;ferrero1;slotegraaf61;mwsc2893","UCC G000.6-08.1","Q1N","nan","nan",8.7,False,134.0,False,"000",1.0,0.83,"AA",105.0,0.655,-8.14,275.025,-32.356,1.146,0.16,-4.831,-6.633,35.0,1.0
"HUNT23","1791","HSC 6",267.70722,-28.82465,0.6843,-0.9189,0.252,-0.292,-1.516,"hsc6","UCC G000.6-00.9","Q1N","nan","nan",3.2,False,77.0,False,"000",0.28,1.0,"CA",40.0,0.695,-0.92,267.708,-28.813,0.269,-0.274,-1.483,-6.631,2.0,7.0
"FERREIRA21;HUNT23","29;6071","UFMG 92",269.029,-29.5026,0.685,-2.2575,0.39,-0.095,-0.471,"ufmg92","UCC G000.6-02.2b","Q1N","ubc1567;cwwdl4491","0.74;0.66",2.3,False,73.0,False,"000",1.0,1.0,"AA",71.0,0.673,-2.251,269.021,-29.51,0.382,-0.081,-0.48,-18.645,5.0,5.0
"KHARCHENKO12;BICA19","1043;3254","Dutra-Bica 13;DB 13;MWSC 2748",268.82897,-29.39098,0.6939,-2.0508,"nan","nan","nan","dutrabica13;db13;mwsc2748","UCC G000.6-02.0","Q1N","nan","nan",3.1,False,25.0,True,"000",0.34,0.57,"CB",0.0,0.682,-2.056,268.826,-29.407,0.173,-1.59,-2.896,-154.735,1.0,7.0
"BICA19","15","Ryu 154",261.56014,-25.26322,0.78,5.61,"nan","nan","nan","ryu154","UCC G000.7+05.6","Q1P","nan","nan",2.1,False,47.0,True,"000",0.29,0.37,"CC",31.0,0.777,5.609,261.567,-25.269,0.131,-4.698,-6.519,-57.832,3.0,0.0
"HUNT23","1792","HSC 7",261.39725,-25.13486,0.8055,5.8038,0.464,-5.033,-0.983,"hsc7","UCC G000.8+05.8","Q1P","nan","nan",6.3,False,40.0,True,"000",0.13,0.49,"DC",12.0,0.808,5.799,261.407,-25.136,0.394,-5.077,-1.123,"nan",0.0,1.0
"HUNT23","1793","HSC 8",267.67304,-28.63475,0.8321,-0.796,0.34,0.207,-0.211,"hsc8","UCC G000.8-00.7","Q1N","nan","nan",3.8,False,28.0,True,"000",0.6,0.79,"BA",19.0,0.864,-0.826,267.727,-28.628,0.346,0.197,-0.242,-10.182,5.0,9.0
"HUNT23","1794","HSC 9",269.0541,-29.3344,0.8416,-2.192,0.549,2.12,-0.289,"hsc9","UCC G000.8-02.1","Q1N","nan","nan",6.2,False,32.0,True,"100",1.0,0.87,"AA",22.0,1.033,-2.258,269.204,-29.227,0.552,2.117,-0.316,21.68,2.0,8.0
"BICA19","3255","DB 19;Dutra-Bica 19",265.67313,-27.48357,0.9,1.31,"nan","nan","nan","db19;dutrabica19","UCC G000.9+01.3","Q1P","nan","nan",4.7,False,50.0,True,"000",0.28,0.64,"CB",9.0,0.886,1.308,265.658,-27.499,-0.096,-3.29,-6.765,"nan",0.0,1.0
"BICA19","3256","DB 17;Dutra-Bica 17",266.48966,-27.89227,0.93,0.48,"nan","nan","nan","db17;dutrabica17","UCC G000.9+00.4","Q1P","nan","nan",6.1,False,58.0,True,"000",0.81,0.42,"AC",39.0,0.928,0.483,266.478,-27.889,0.41,-1.118,-3.19,-2.284,3.0,1.0
"HUNT23","1795","HSC 10",268.22553,-28.79675,0.9399,-1.2954,0.351,-0.2,-1.753,"hsc10","UCC G000.9-01.2","Q1N","nan","nan",3.9,False,25.0,True,"000",0.44,0.99,"CA",0.0,0.962,-1.294,268.246,-28.771,0.35,-0.203,-1.769,3.986,2.0,4.0
"HUNT23","1796","HSC 11",267.41555,-28.34712,0.963,-0.4542,0.653,-1.502,-4.699,"hsc11","UCC G000.9-00.4","Q1N","nan","nan",2.8,False,25.0,True,"000",0.72,0.53,"BB",0.0,0.963,-0.449,267.41,-28.347,0.651,-1.477,-4.664,-0.353,4.0,18.0
"FERREIRA21;HUNT23","8;6057","UFMG 71",265.55401,-27.33227,0.973,1.4796,0.628,0.754,-1.78,"ufmg71","UCC G000.9+01.4","Q1P","nan","nan",8.1,False,40.0,True,"000",0.94,0.8,"AA",31.0,0.964,1.473,265.549,-27.334,0.652,0.711,-1.798,"nan",0.0,2.0
"KHARCHENKO12","1055","Dutra-Bica 24",268.853,-29.045,1.0036,-1.8947,"nan","nan","nan","dutrabica24","UCC G001.0-01.8","Q1N","nan","nan",2.6,False,25.0,True,"000",0.1,0.59,"DB",0.0,1.003,-1.899,268.853,-29.042,0.161,-1.251,-4.365,"nan",0.0,3.0
"KHARCHENKO12","1066","Ruprecht 133",268.099,-28.652,1.0082,-1.1262,"nan","nan","nan","ruprecht133","UCC G001.0-01.1","Q1N","nan","nan",2.7,False,25.0,True,"000",0.28,0.84,"CA",0.0,1.025,-1.141,268.112,-28.652,0.308,-0.335,-2.551,-22.91,1.0,2.0
"BICA19","16","Ryu 544",266.86003,-27.95062,1.05,0.17,"nan","nan","nan","ryu544","UCC G001.0+00.1","Q1P","nan","nan",1.4,False,40.0,True,"000",0.69,0.29,"BC",33.0,1.048,0.178,266.854,-27.948,0.494,0.106,-1.524,-29.4,1.0,0.0
"BICA19","17","DB 25;Dutra-Bica 25;MWSC 2763",269.72547,-29.39678,1.08,-2.73,"nan","nan","nan","db25;dutrabica25;mwsc2763","UCC G001.0-02.7","Q1N","nan","nan",2.6,False,25.0,True,"000",0.12,0.41,"DC",0.0,1.081,-2.721,269.711,-29.396,0.476,-4.24,-5.167,"nan",0.0,1.0
"HUNT23","1797","HSC 12",270.99783,-30.01874,1.0828,-3.9981,0.95,0.791,0.887,"hsc12","UCC G001.0-03.9","Q1N","nan","nan",14.5,False,37.0,False,"000",0.92,0.76,"AA",26.0,1.09,-3.995,271.004,-30.014,0.962,0.778,0.827,-11.779,5.0,5.0
"BICA19","18","Ryu 155",270.54667,-29.7796,1.1,-3.54,"nan","nan","nan","ryu155","UCC G001.1-03.5","Q1N","nan","nan",1.0,False,25.0,True,"000",0.34,0.24,"CD",0.0,1.1,-3.545,270.548,-29.777,0.104,-4.658,-5.366,113.614,1.0,0.0
"HUNT23","1798","HSC 13",269.0487,-28.9425,1.1783,-1.9911,0.412,-0.487,-2.946,"hsc13","UCC G001.1-01.9","Q1N","nan","nan",3.6,False,34.0,False,"000",0.92,1.0,"AA",26.0,1.152,-1.995,269.044,-28.974,0.413,-0.491,-2.89,10.379,2.0,4.0
"FERREIRA21;HUNT23","30;6072","UFMG 93",269.47446,-29.15426,1.1814,-2.4193,0.329,-0.09,-2.557,"ufmg93","UCC G001.1-02.4","Q1N","nan","nan",2.8,False,64.0,False,"000",1.0,1.0,"AA",55.0,1.188,-2.421,269.482,-29.154,0.324,-0.091,-2.577,-45.665,1.0,4.0
"HUNT23","1799","HSC 14",267.29987,-28.00804,1.2013,-0.1923,0.424,-0.005,-0.527,"hsc14","UCC G001.2-00.1","Q1N","nan","nan",4.8,False,35.0,True,"010",0.28,0.83,"CA",22.0,1.219,-0.19,267.308,-27.988,0.428,-0.036,-0.58,57.795,2.0,3.0
"BICA19","19","Ryu 156",270.49845,-29.62993,1.21,-3.43,"nan","nan","nan","ryu156","UCC G001.2-03.4","Q1N","nan","nan",1.0,False,25.0,True,"000",0.09,0.24,"DD",0.0,1.207,-3.435,270.506,-29.633,0.111,-2.61,-4.173,"nan",0.0,0.0
"BICA19","20","Ryu 157",261.77779,-24.85669,1.23,5.67,"nan","nan","nan","ryu157","UCC G001.2+05.6","Q1P","nan","nan",1.1,False,25.0,True,"000",0.7,0.23,"BD",0.0,1.231,5.678,261.771,-24.857,0.145,-4.756,-5.383,51.79,3.0,0.0
"KHARCHENKO12;BICA19","1071;2755","Ruprecht 168;OCL 7;ESO 456 03;MWSC 2732",268.19458,-28.43876,1.2345,-1.09,"nan","nan","nan","ruprecht168;ocl7;eso45603;mwsc2732","UCC G001.2-01.0","Q1N","nan","nan",2.9,False,25.0,True,"000",0.15,0.64,"DB",0.0,1.232,-1.088,268.201,-28.45,0.13,-1.46,-2.111,"nan",0.0,5.0
"KHARCHENKO12;BICA19","1227;2757","Dolidze 50;OCL 32;Alessi J1605.5-2031;MWSC 2349",241.40725,-10.24647,1.2412,29.9114,"nan","nan","nan","dolidze50;ocl32;alessij160552031;mwsc2349","UCC G001.2+29.9","Q1P","nan","nan",6.5,False,25.0,True,"000",0.32,0.31,"CC",0.0,1.243,29.891,241.422,-10.226,0.282,-4.313,-5.472,11.253,2.0,0.0
"HUNT23","1800","HSC 15",278.9722,-33.29083,1.2681,-11.5282,0.096,-2.898,-4.45,"hsc15","UCC G001.2-11.5","Q1N","nan","nan",3.8,False,52.0,True,"000",0.26,0.4,"CC",38.0,1.271,-11.518,278.967,-33.281,0.121,-2.875,-4.507,"nan",0.0,0.0
"BICA19","3257","NGC 6519;ESO 456 41",270.88905,-29.74052,1.28,-3.78,"nan","nan","nan","ngc6519;eso45641","UCC G001.2-03.7","Q1N","nan","nan",6.2,False,47.0,True,"000",0.16,0.65,"DB",25.0,1.261,-3.804,270.902,-29.76,0.07,-5.669,-4.141,"nan",0.0,3.0
"BICA19","21","Ryu 545",267.88056,-28.19898,1.3,-0.73,"nan","nan","nan","ryu545","UCC G001.3-00.7","Q1N","nan","nan",1.0,False,61.0,True,"000",0.34,0.36,"CC",25.0,1.301,-0.732,267.88,-28.197,0.317,-0.141,-1.024,-14.538,6.0,0.0
"KHARCHENKO12;BICA19","870;22","MWSC 5708",287.98883,-36.31758,1.3038,-19.5223,"nan","nan","nan","mwsc5708","UCC G001.3-19.5","Q1N","nan","nan",3.6,False,25.0,True,"000",0.14,0.21,"DD",0.0,1.292,-19.516,287.981,-36.34,0.175,-3.501,-5.079,71.233,1.0,0.0
"BICA19","23","Ryu 546",267.36284,-27.89138,1.33,-0.18,"nan","nan","nan","ryu546","UCC G001.3-00.1","Q1N","nan","nan",1.2,False,37.0,True,"000",0.17,0.33,"DC",30.0,1.328,-0.186,267.368,-27.893,0.334,-0.239,-2.311,-21.132,4.0,0.0
"CHI23_3","140","CWWDL 1671",268.1044,-28.2058,1.3947,-0.9032,0.306,-0.091,-1.907,"cwwdl1671","UCC G001.3-00.9","Q1N","ubc1002","0.5",2.9,False,73.0,True,"010",0.44,1.0,"CA",40.0,1.395,-0.903,268.111,-28.209,0.315,-0.031,-1.909,10.233,4.0,6.0
"KHARCHENKO12;BICA19","1075;24","Dutra-Bica 28;DB 28;MWSC 2738",268.36232,-28.33272,1.4008,-1.1633,"nan","nan","nan","dutrabica28;db28;mwsc2738","UCC G001.4-01.1","Q1N","nan","nan",3.1,False,25.0,True,"000",0.45,0.55,"CB",0.0,1.393,-1.163,268.368,-28.34,0.16,-1.164,-0.734,-45.685,1.0,4.0
"CASTRO22","1","UBC 1002",268.11,-28.2,1.4022,-0.9045,0.28,0.01,-1.96,"ubc1002","UCC G001.4-00.9","Q1N","cwwdl1671","0.5",5.3,False,113.0,True,"010",0.65,1.0,"BA",58.0,1.403,-0.9,268.113,-28.196,0.275,0.018,-1.932,-14.584,7.0,52.0
"FERREIRA21;HUNT23","20;6065","UFMG 83",268.09751,-28.17784,1.4157,-0.8837,0.294,-0.062,-2.029,"ufmg83","UCC G001.4-00.8","Q1N","nan","nan",2.0,False,25.0,True,"010",0.44,1.0,"CA",0.0,1.416,-0.895,268.112,-28.177,0.296,-0.021,-1.995,-14.142,4.0,10.0
"HE23","875","CWNU 2146",264.13804,-25.96159,1.462,3.28,0.656,1.872,-0.361,"cwnu2146","UCC G001.4+03.2","Q1P","nan","nan",6.2,False,25.0,False,"000",1.0,0.67,"AB",0.0,1.458,3.28,264.123,-25.957,0.572,1.866,-0.361,-7.335,1.0,2.0
"BICA19","25","Ryu 547",263.58092,-25.63225,1.47,3.88,"nan","nan","nan","ryu547","UCC G001.4+03.8","Q1P","nan","nan",2.0,False,68.0,True,"000",0.89,0.26,"AC",67.0,1.467,3.864,263.598,-25.636,0.159,-3.357,-5.236,-29.592,1.0,0.0
"HUNT23","1801","HSC 16",255.76282,-20.69443,1.5088,12.5969,0.321,-0.26,-2.146,"hsc16","UCC G001.5+12.5","Q1P","nan","nan",3.1,False,25.0,True,"010",0.29,0.38,"CC",0.0,1.513,12.58,255.771,-20.701,0.305,-0.213,-2.135,-44.115,1.0,0.0
"FERREIRA21;HUNT23","32;6073","UFMG 95",270.69161,-29.37704,1.5134,-3.4523,0.842,1.806,-0.956,"ufmg95","UCC G001.5-03.4","Q1N","nan","nan",5.4,False,38.0,False,"000",1.0,0.92,"AA",33.0,1.525,-3.455,270.695,-29.38,0.851,1.805,-0.957,-19.872,2.0,7.0
"BICA19","26","Ryu 548",265.33972,-26.5584,1.53,2.05,"nan","nan","nan","ryu548","UCC G001.5+02.0","Q1P","nan","nan",1.2,False,43.0,True,"000",0.83,0.24,"AD",24.0,1.533,2.05,265.336,-26.557,-0.012,-3.852,-6.917,84.738,1.0,0.0
"KHARCHENKO12;BICA19","1067;27","Dutra-Bica 30;DB 30;MWSC 2756",269.23199,-28.62643,1.5326,-1.9716,"nan","nan","nan","dutrabica30;db30;mwsc2756","UCC G001.5-01.9","Q1N","nan","nan",4.4,False,36.0,True,"000",0.19,0.76,"DA",5.0,1.53,-1.969,269.24,-28.629,0.06,-3.61,-6.022,"nan",0.0,0.0
"KHARCHENKO12;BICA19","924;28","ASCC 98;MWSC 2979",280.65674,-33.63877,1.5424,-12.9509,"nan","nan","nan","ascc98;mwsc2979","UCC G001.5-12.9","Q1N","nan","nan",4.7,False,50.0,True,"000",0.32,0.44,"CC",30.0,1.547,-12.958,280.649,-33.633,0.133,-2.591,-5.84,"nan",0.0,0.0
"BICA19","3258","DB 31;Dutra-Bica 31;MWSC 2721",267.69624,-27.788,1.57,-0.38,"nan","nan","nan","db31;dutrabica31;mwsc2721","UCC G001.5-00.3","Q1N","nan","nan",2.3,False,25.0,True,"000",0.63,0.38,"BC",0.0,1.557,-0.377,267.682,-27.802,0.285,-0.667,-2.386,-9.342,4.0,5.0
