"DB","DB_i","ID","RA_ICRS","DE_ICRS","GLON","GLAT","plx","pmRA","pmDE","fnames","UCC_ID","quad","dups_fnames","dups_probs","r_50","N_fixed","N_membs","fixed_cent","cent_flags","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","plx_m","pmRA_m","pmDE_m","Rv_m","N_Rv","N_ex_cls"
"CANTAT20;CASTRO20;DIAS21","1607;343;1284","UBC 435",90.682,25.519,184.8723,1.5485,0.275,-0.095,-1.598,"ubc435","UCC G184.8+01.5","Q3P","nan","nan",6.2,False,25.0,True,"000",0.76,0.53,"AB",0.0,184.858,1.517,90.642,25.514,0.275,-0.104,-1.651,"nan",0.0,27.0
"KHARCHENKO12;LOKTIN17;BICA19;CANTAT20;DIAS21;HUNT23","2004;388;1281;664;560;4153","Koposov 53;Teutsch 9;FSR 0856;MWSC 750;MWSC 751",92.221,26.264,184.8968,3.1205,0.18,0.242,-0.632,"koposov53;teutsch9;fsr0856;mwsc750;mwsc751","UCC G184.8+03.1","Q3P","nan","nan",1.7,False,98.0,False,"000",0.99,0.55,"AB",87.0,184.9,3.13,92.226,26.265,0.191,0.228,-0.608,21.284,2.0,0.0
"CHI23_3","167","CWWDL 2041",90.6185,25.4075,184.9411,1.4437,0.365,0.317,-2.2,"cwwdl2041","UCC G184.9+01.4","Q3P","nan","nan",10.6,False,38.0,True,"001",0.43,0.36,"CC",21.0,184.898,1.447,90.654,25.392,0.263,0.28,-2.243,13.212,3.0,3.0
"HE22_1","628","CWNU 1063",87.6181,23.8041,184.9564,-1.7204,1.204,1.08,-4.472,"cwnu1063","UCC G184.9-01.7","Q3N","nan","nan",19.3,False,55.0,True,"001",0.45,0.3,"CC",35.0,185.023,-1.703,87.668,23.849,0.889,1.061,-4.444,-2.937,6.0,4.0
"KHARCHENKO12;BICA19","1899;1282","FSR 0857;MWSC 503",79.6544,19.11554,184.9596,-10.4873,"nan","nan","nan","fsr0857;mwsc503","UCC G184.9-10.4","Q3N","nan","nan",3.8,False,25.0,True,"000",0.23,0.34,"DC",0.0,184.936,-10.482,79.645,19.138,0.197,0.537,-0.492,18.909,1.0,0.0
"HUNT23","2872","HSC 1466",93.48183,26.80314,184.9627,4.369,0.321,0.293,-1.829,"hsc1466","UCC G184.9+04.3","Q3P","nan","nan",4.6,False,48.0,False,"000",0.27,0.62,"CB",33.0,184.966,4.364,93.479,26.801,0.328,0.277,-1.815,"nan",0.0,1.0
"HUNT23","2873","HSC 1467",93.24122,26.56503,185.0705,4.0668,1.109,1.037,-1.781,"hsc1467","UCC G185.0+04.0","Q3P","nan","nan",8.7,False,25.0,True,"000",0.49,0.31,"CC",0.0,185.067,4.131,93.29,26.576,1.115,1.016,-1.733,0.187,4.0,5.0
"CHI23","37","LISC-III 2473",101.33352,30.08193,185.104,12.008,0.463,-0.044,-2.012,"lisciii2473","UCC G185.1+12.0","Q3P","nan","nan",5.7,False,45.0,True,"011",0.23,0.31,"DC",34.0,185.086,11.997,101.322,30.1,0.321,-0.02,-2.04,40.246,1.0,0.0
"HUNT23","2874","HSC 1468",86.84698,23.20476,185.107,-2.6351,0.418,0.805,-1.758,"hsc1468","UCC G185.1-02.6","Q3N","nan","nan",5.2,False,61.0,False,"000",0.46,0.46,"CC",50.0,185.093,-2.616,86.851,23.22,0.418,0.821,-1.737,21.902,2.0,0.0
"HUNT23;QIN23","4792;53","OCSN 54",77.62105,17.42547,185.288,-13.033,2.313,0.611,-5.484,"ocsn54","UCC G185.2-13.0","Q3N","nan","nan",50.2,False,126.0,True,"100",0.99,0.68,"AB",120.0,185.072,-13.023,77.473,17.659,2.325,0.621,-5.437,14.296,34.0,15.0
"HE22_1;HUNT23","572;550","CWNU 1007",79.28153,18.49092,185.2889,-11.1277,2.82,-0.183,-5.768,"cwnu1007","UCC G185.2-11.1","Q3N","nan","nan",31.9,False,56.0,True,"110",0.86,0.65,"AB",27.0,185.009,-11.062,79.269,18.804,2.871,0.044,-5.75,19.423,5.0,17.0
"CHI23_3","224","CWWDL 2645",91.2058,25.2636,185.3273,1.8353,0.218,0.258,-1.169,"cwwdl2645","UCC G185.3+01.8","Q3P","nan","nan",2.2,False,25.0,True,"010",0.16,0.34,"DC",0.0,185.339,1.849,91.225,25.262,0.22,0.19,-1.099,"nan",0.0,2.0
"CHI23_3","588","CWWDL 10817",91.5068,25.3086,185.4211,2.0948,0.268,0.279,-1.667,"cwwdl10817","UCC G185.4+02.0","Q3P","nan","nan",3.2,False,25.0,True,"010",0.06,0.25,"DC",0.0,185.44,2.099,91.511,25.311,0.266,0.343,-1.731,73.437,1.0,3.0
"LIUPANG19;DIAS21","30;583","FoF 1370",91.4166,25.26275,185.4213,2.0013,0.261,0.265,-1.612,"fof1370","UCC G185.4+02.0a","Q3P","nan","nan",4.8,False,25.0,True,"000",0.26,0.34,"CC",0.0,185.423,2.007,91.425,25.258,0.28,0.249,-1.625,38.892,1.0,2.0
"KHARCHENKO12;BICA19","1994;1283","FSR 0858;MWSC 755",92.28972,25.6788,185.44,2.8924,"nan","nan","nan","fsr0858;mwsc755","UCC G185.4+02.8","Q3P","nan","nan",4.3,False,28.0,True,"000",0.2,0.31,"DC",11.0,185.446,2.895,92.273,25.677,0.257,0.39,-1.148,42.594,2.0,0.0
