"fname","N_clust","N_clust_max","Nbox","frame_limit"
cwnu3810,"nan",83,"nan","nan"
cwnu3811,"nan",78,"nan","nan"
cwnu3812,"nan",150,"nan","nan"
cwnu3813,"nan",106,"nan","nan"
cwnu3814,"nan",157,"nan","nan"
cwnu3815,"nan",106,"nan","nan"
cwnu3816,"nan",125,"nan","nan"
cwnu3817,"nan",38,"nan","nan"
cwnu3818,"nan",162,"nan","nan"
cwnu3819,"nan",34,"nan","nan"
cwnu382,"nan",57,"nan","nan"
cwnu3820,"nan",34,"nan","nan"
cwnu3821,"nan",32,"nan","nan"
cwnu3822,"nan",34,"nan","nan"
cwnu3823,"nan",135,"nan","nan"
cwnu3824,"nan",84,"nan","nan"
cwnu3825,"nan",104,"nan","nan"
cwnu3826,"nan",84,"nan","nan"
cwnu3827,"nan",108,"nan","nan"
cwnu3828,"nan",82,"nan","nan"
cwnu3829,"nan",112,"nan","nan"
cwnu383,"nan",56,"nan","nan"
cwnu3830,"nan",131,"nan","nan"
cwnu3831,"nan",83,"nan","nan"
cwnu3832,"nan",110,"nan","nan"
cwnu3833,"nan",66,"nan","nan"
cwnu3834,"nan",128,"nan","nan"
cwnu3835,"nan",69,"nan","nan"
cwnu3836,"nan",87,"nan","nan"
cwnu3837,"nan",61,"nan","nan"
cwnu3838,"nan",81,"nan","nan"
cwnu3839,"nan",63,"nan","nan"
cwnu384,"nan",52,"nan","nan"
cwnu3840,"nan",458,"nan","nan"
cwnu3841,"nan",113,"nan","nan"
cwnu3842,"nan",280,"nan","nan"
cwnu3843,"nan",61,"nan","nan"
cwnu3844,"nan",70,"nan","nan"
cwnu3845,"nan",222,"nan","nan"
cwnu3846,"nan",60,"nan","nan"
cwnu3847,"nan",60,"nan","nan"
cwnu3848,"nan",73,"nan","nan"
cwnu3849,"nan",73,"nan","nan"
cwnu385,"nan",56,"nan","nan"
cwnu3850,"nan",77,"nan","nan"
cwnu3851,"nan",81,"nan","nan"
cwnu3852,"nan",70,"nan","nan"
cwnu3853,"nan",66,"nan","nan"
cwnu3854,"nan",93,"nan","nan"
cwnu3855,"nan",72,"nan","nan"
cwnu3856,"nan",386,"nan","nan"
cwnu3857,"nan",70,"nan","nan"
cwnu3858,"nan",201,"nan","nan"
cwnu3859,"nan",102,"nan","nan"
cwnu386,"nan",110,"nan","nan"
cwnu3860,"nan",138,"nan","nan"
cwnu3861,"nan",137,"nan","nan"
cwnu3862,"nan",77,"nan","nan"
cwnu3863,"nan",178,"nan","nan"
cwnu3864,"nan",143,"nan","nan"
cwnu3865,"nan",56,"nan","nan"
cwnu3866,"nan",79,"nan","nan"
cwnu3867,"nan",208,"nan","nan"
cwnu3868,"nan",97,"nan","nan"
cwnu3869,"nan",201,"nan","nan"
cwnu387,"nan",81,"nan","nan"
cwnu3870,"nan",217,"nan","nan"
cwnu3871,"nan",375,"nan","nan"
cwnu3872,"nan",122,"nan","nan"
cwnu3873,"nan",235,"nan","nan"
cwnu3874,"nan",53,"nan","nan"
cwnu3875,"nan",342,"nan","nan"
cwnu3876,"nan",88,"nan","nan"
cwnu3877,"nan",171,"nan","nan"
cwnu3878,"nan",65,"nan","nan"
cwnu3879,"nan",78,"nan","nan"
cwnu388,"nan",56,"nan","nan"
cwnu3880,"nan",250,"nan","nan"
cwnu3881,"nan",57,"nan","nan"
cwnu3882,"nan",81,"nan","nan"
cwnu3883,"nan",150,"nan","nan"
cwnu3884,"nan",740,"nan","nan"
cwnu3885,"nan",127,"nan","nan"
cwnu3886,"nan",97,"nan","nan"
cwnu3887,"nan",46,"nan","nan"
cwnu3888,"nan",145,"nan","nan"
cwnu3889,"nan",88,"nan","nan"
cwnu389,"nan",54,"nan","nan"
cwnu3890,"nan",37,"nan","nan"
cwnu3891,"nan",43,"nan","nan"
cwnu3892,"nan",86,"nan","nan"
cwnu3893,"nan",82,"nan","nan"
cwnu3894,"nan",133,"nan","nan"
cwnu3895,"nan",161,"nan","nan"
cwnu3896,"nan",101,"nan","nan"
cwnu3897,"nan",215,"nan","nan"
cwnu3898,"nan",281,"nan","nan"
cwnu3899,"nan",161,"nan","nan"
cwnu39,"nan",107,"nan","nan"
cwnu390,"nan",80,"nan","nan"
cwnu3900,"nan",273,"nan","nan"
cwnu3901,"nan",61,"nan","nan"
cwnu3902,"nan",43,"nan","nan"
cwnu3903,"nan",107,"nan","nan"
cwnu3904,"nan",157,"nan","nan"
cwnu3905,"nan",102,"nan","nan"
cwnu3906,"nan",348,"nan","nan"
cwnu3907,"nan",109,"nan","nan"
cwnu3908,"nan",205,"nan","nan"
cwnu3909,"nan",150,"nan","nan"
cwnu391,"nan",70,"nan","nan"
cwnu3910,"nan",135,"nan","nan"
cwnu3911,"nan",234,"nan","nan"
cwnu3912,"nan",120,"nan","nan"
cwnu3913,"nan",137,"nan","nan"
cwnu3914,"nan",106,"nan","nan"
cwnu3915,"nan",54,"nan","nan"
cwnu3916,"nan",64,"nan","nan"
cwnu3917,"nan",108,"nan","nan"
cwnu3918,"nan",179,"nan","nan"
cwnu3919,"nan",145,"nan","nan"
cwnu392,"nan",70,"nan","nan"
cwnu3920,"nan",101,"nan","nan"
cwnu3921,"nan",81,"nan","nan"
cwnu3922,"nan",74,"nan","nan"
cwnu3923,"nan",123,"nan","nan"
cwnu3924,"nan",48,"nan","nan"
cwnu3925,"nan",123,"nan","nan"
cwnu3926,"nan",183,"nan","nan"
cwnu3927,"nan",85,"nan","nan"
cwnu3928,"nan",105,"nan","nan"
cwnu3929,"nan",122,"nan","nan"
cwnu393,"nan",62,"nan","nan"
cwnu3930,"nan",81,"nan","nan"
cwnu3931,"nan",54,"nan","nan"
cwnu3932,"nan",265,"nan","nan"
cwnu3933,"nan",140,"nan","nan"
cwnu3934,"nan",159,"nan","nan"
cwnu3935,"nan",212,"nan","nan"
cwnu3936,"nan",138,"nan","nan"
cwnu3937,"nan",110,"nan","nan"
cwnu3938,"nan",188,"nan","nan"
cwnu3939,"nan",103,"nan","nan"
cwnu394,"nan",153,"nan","nan"
cwnu3940,"nan",93,"nan","nan"
cwnu3941,"nan",158,"nan","nan"
cwnu3942,"nan",191,"nan","nan"
cwnu3943,"nan",101,"nan","nan"
cwnu3944,"nan",211,"nan","nan"
cwnu3945,"nan",296,"nan","nan"
cwnu3946,"nan",280,"nan","nan"
cwnu3947,"nan",156,"nan","nan"
cwnu3948,"nan",105,"nan","nan"
cwnu3949,"nan",225,"nan","nan"
cwnu395,"nan",70,"nan","nan"
cwnu3950,"nan",247,"nan","nan"
cwnu3951,"nan",189,"nan","nan"
cwnu3952,"nan",81,"nan","nan"
cwnu3953,"nan",59,"nan","nan"
cwnu3954,"nan",145,"nan","nan"
cwnu3955,"nan",101,"nan","nan"
cwnu3956,"nan",89,"nan","nan"
cwnu3957,"nan",137,"nan","nan"
cwnu3958,"nan",133,"nan","nan"
cwnu3959,"nan",138,"nan","nan"
cwnu396,"nan",57,"nan","nan"
cwnu3960,"nan",186,"nan","nan"
cwnu3961,"nan",191,"nan","nan"
cwnu3962,"nan",203,"nan","nan"
cwnu3963,"nan",102,"nan","nan"
cwnu3964,"nan",61,"nan","nan"
cwnu3965,"nan",101,"nan","nan"
cwnu3966,"nan",235,"nan","nan"
cwnu3967,"nan",101,"nan","nan"
cwnu3968,"nan",98,"nan","nan"
cwnu3969,"nan",92,"nan","nan"
cwnu397,"nan",105,"nan","nan"
cwnu3970,"nan",119,"nan","nan"
cwnu3971,"nan",182,"nan","nan"
cwnu3972,"nan",181,"nan","nan"
cwnu3973,"nan",207,"nan","nan"
cwnu3974,"nan",98,"nan","nan"
cwnu3975,"nan",62,"nan","nan"
cwnu3976,"nan",470,"nan","nan"
cwnu3977,"nan",165,"nan","nan"
cwnu3978,"nan",42,"nan","nan"
cwnu3979,"nan",79,"nan","nan"
cwnu398,"nan",56,"nan","nan"
cwnu3980,"nan",121,"nan","nan"
cwnu3981,"nan",95,"nan","nan"
cwnu3982,"nan",36,"nan","nan"
cwnu3983,"nan",187,"nan","nan"
cwnu3984,"nan",164,"nan","nan"
cwnu3985,"nan",138,"nan","nan"
cwnu3986,"nan",66,"nan","nan"
cwnu3987,"nan",165,"nan","nan"
cwnu3988,"nan",196,"nan","nan"
cwnu3989,"nan",270,"nan","nan"
cwnu399,"nan",54,"nan","nan"
cwnu3990,"nan",118,"nan","nan"
cwnu3991,"nan",321,"nan","nan"
cwnu3992,"nan",204,"nan","nan"
cwnu3993,"nan",202,"nan","nan"
cwnu3994,"nan",142,"nan","nan"
cwnu3995,"nan",158,"nan","nan"
cwnu3996,"nan",155,"nan","nan"
cwnu3997,"nan",80,"nan","nan"
cwnu3998,"nan",179,"nan","nan"
cwnu3999,"nan",226,"nan","nan"
cwnu4,"nan",88,"nan","nan"
cwnu40,"nan",52,"nan","nan"
cwnu400,"nan",241,"nan","nan"
cwnu4000,"nan",162,"nan","nan"
cwnu4001,"nan",93,"nan","nan"
cwnu4002,"nan",108,"nan","nan"
cwnu4003,"nan",214,"nan","nan"
cwnu4004,"nan",145,"nan","nan"
cwnu4005,"nan",147,"nan","nan"
cwnu4006,"nan",131,"nan","nan"
cwnu4007,"nan",54,"nan","nan"
cwnu4008,"nan",70,"nan","nan"
cwnu4009,"nan",85,"nan","nan"
cwnu401,"nan",48,"nan","nan"
cwnu4010,"nan",152,"nan","nan"
cwnu4011,"nan",170,"nan","nan"
cwnu4012,"nan",109,"nan","nan"
cwnu4013,"nan",108,"nan","nan"
cwnu4014,"nan",97,"nan","nan"
cwnu4015,"nan",50,"nan","nan"
cwnu4016,"nan",202,"nan","nan"
cwnu4017,"nan",98,"nan","nan"
cwnu4018,"nan",100,"nan","nan"
cwnu4019,"nan",128,"nan","nan"
cwnu402,"nan",49,"nan","nan"
cwnu4020,"nan",494,"nan","nan"
cwnu4021,"nan",152,"nan","nan"
cwnu4022,"nan",88,"nan","nan"
cwnu4023,"nan",79,"nan","nan"
cwnu4024,"nan",80,"nan","nan"
cwnu4025,"nan",258,"nan","nan"
cwnu4026,"nan",393,"nan","nan"
cwnu4027,"nan",139,"nan","nan"
cwnu4028,"nan",204,"nan","nan"
cwnu4029,"nan",312,"nan","nan"
cwnu403,"nan",49,"nan","nan"
cwnu4030,"nan",40,"nan","nan"
cwnu4031,"nan",342,"nan","nan"
cwnu4032,"nan",278,"nan","nan"
cwnu4033,"nan",84,"nan","nan"
cwnu4034,"nan",76,"nan","nan"
cwnu4035,"nan",289,"nan","nan"
cwnu4036,"nan",245,"nan","nan"
cwnu4037,"nan",258,"nan","nan"
cwnu4038,"nan",270,"nan","nan"
cwnu4039,"nan",232,"nan","nan"
cwnu404,"nan",128,"nan","nan"
cwnu4040,"nan",368,"nan","nan"
cwnu4041,"nan",929,"nan","nan"
cwnu4042,"nan",71,"nan","nan"
cwnu4043,"nan",588,"nan","nan"
cwnu4044,"nan",103,"nan","nan"
cwnu4045,"nan",196,"nan","nan"
cwnu4046,"nan",115,"nan","nan"
cwnu4047,"nan",80,"nan","nan"
cwnu4048,"nan",93,"nan","nan"
cwnu4049,"nan",333,"nan","nan"
cwnu405,"nan",140,"nan","nan"
cwnu4050,"nan",427,"nan","nan"
cwnu4051,"nan",266,"nan","nan"
cwnu4052,"nan",268,"nan","nan"
cwnu4053,"nan",294,"nan","nan"
cwnu4054,"nan",112,"nan","nan"
cwnu4056,"nan",100,"nan","nan"
cwnu4057,"nan",1000,"nan","nan"
cwnu4058,"nan",318,"nan","nan"
cwnu4059,"nan",88,"nan","nan"
cwnu406,"nan",78,"nan","nan"
cwnu4060,"nan",41,"nan","nan"
cwnu4061,"nan",65,"nan","nan"
cwnu4062,"nan",42,"nan","nan"
cwnu4063,"nan",115,"nan","nan"
cwnu4064,"nan",86,"nan","nan"
cwnu4065,"nan",60,"nan","nan"
cwnu4066,"nan",32,"nan","nan"
cwnu4067,"nan",143,"nan","nan"
cwnu4068,"nan",58,"nan","nan"
cwnu4069,"nan",155,"nan","nan"
cwnu407,"nan",158,"nan","nan"
cwnu4070,"nan",47,"nan","nan"
cwnu4071,"nan",67,"nan","nan"
cwnu4072,"nan",51,"nan","nan"
cwnu4073,"nan",52,"nan","nan"
cwnu4074,"nan",72,"nan","nan"
cwnu4075,"nan",25,"nan","nan"
cwnu4076,"nan",57,"nan","nan"
cwnu4077,"nan",65,"nan","nan"
cwnu4078,"nan",60,"nan","nan"
cwnu4079,"nan",63,"nan","nan"
cwnu408,"nan",52,"nan","nan"
cwnu4080,"nan",52,"nan","nan"
cwnu4081,"nan",32,"nan","nan"
cwnu4082,"nan",66,"nan","nan"
cwnu4083,"nan",98,"nan","nan"
cwnu4084,"nan",152,"nan","nan"
cwnu4085,"nan",62,"nan","nan"
cwnu4086,"nan",148,"nan","nan"
cwnu4087,"nan",145,"nan","nan"
cwnu4088,"nan",41,"nan","nan"
cwnu4089,"nan",46,"nan","nan"
cwnu409,"nan",59,"nan","nan"
cwnu4090,"nan",80,"nan","nan"
cwnu4091,"nan",60,"nan","nan"
cwnu4092,"nan",151,"nan","nan"
cwnu4093,"nan",91,"nan","nan"
cwnu4094,"nan",105,"nan","nan"
cwnu4095,"nan",144,"nan","nan"
cwnu4096,"nan",145,"nan","nan"
cwnu4097,"nan",190,"nan","nan"
cwnu4098,"nan",128,"nan","nan"
cwnu4099,"nan",50,"nan","nan"
cwnu41,"nan",59,"nan","nan"
cwnu410,"nan",68,"nan","nan"
cwnu4100,"nan",183,"nan","nan"
cwnu4101,"nan",81,"nan","nan"
cwnu4102,"nan",78,"nan","nan"
cwnu4103,"nan",93,"nan","nan"
cwnu4104,"nan",51,"nan","nan"
cwnu4105,"nan",200,"nan","nan"
cwnu4106,"nan",121,"nan","nan"
cwnu4107,"nan",99,"nan","nan"
cwnu4108,"nan",118,"nan","nan"
cwnu4109,"nan",118,"nan","nan"
cwnu411,"nan",75,"nan","nan"
cwnu4110,"nan",385,"nan","nan"
cwnu4111,"nan",285,"nan","nan"
cwnu4112,"nan",200,"nan","nan"
cwnu4113,"nan",162,"nan","nan"
cwnu4114,"nan",303,"nan","nan"
cwnu4115,"nan",149,"nan","nan"
cwnu4116,"nan",47,"nan","nan"
cwnu4117,"nan",228,"nan","nan"
cwnu4118,"nan",163,"nan","nan"
cwnu4119,"nan",109,"nan","nan"
cwnu412,"nan",73,"nan","nan"
cwnu4120,"nan",61,"nan","nan"
cwnu4121,"nan",158,"nan","nan"
cwnu4122,"nan",173,"nan","nan"
cwnu4123,"nan",52,"nan","nan"
cwnu4124,"nan",191,"nan","nan"
cwnu4125,"nan",109,"nan","nan"
cwnu4126,"nan",177,"nan","nan"
cwnu4127,"nan",61,"nan","nan"
cwnu4128,"nan",53,"nan","nan"
cwnu4129,"nan",40,"nan","nan"
cwnu413,"nan",64,"nan","nan"
cwnu4130,"nan",104,"nan","nan"
cwnu4131,"nan",79,"nan","nan"
cwnu4132,"nan",117,"nan","nan"
cwnu4133,"nan",576,"nan","nan"
cwnu4134,"nan",291,"nan","nan"
cwnu4135,"nan",221,"nan","nan"
cwnu4136,"nan",256,"nan","nan"
cwnu4137,"nan",283,"nan","nan"
cwnu4138,"nan",62,"nan","nan"
cwnu4139,"nan",151,"nan","nan"
cwnu414,"nan",62,"nan","nan"
cwnu4140,"nan",60,"nan","nan"
cwnu4141,"nan",228,"nan","nan"
cwnu4142,"nan",101,"nan","nan"
cwnu4143,"nan",68,"nan","nan"
cwnu4144,"nan",157,"nan","nan"
cwnu4145,"nan",97,"nan","nan"
cwnu4146,"nan",183,"nan","nan"
cwnu4147,"nan",178,"nan","nan"
cwnu4148,"nan",191,"nan","nan"
cwnu4149,"nan",111,"nan","nan"
cwnu415,"nan",48,"nan","nan"
cwnu4150,"nan",90,"nan","nan"
cwnu4151,"nan",205,"nan","nan"
cwnu4152,"nan",419,"nan","nan"
cwnu4153,"nan",86,"nan","nan"
cwnu4154,"nan",84,"nan","nan"
cwnu4155,"nan",148,"nan","nan"
cwnu4156,"nan",113,"nan","nan"
cwnu4157,"nan",48,"nan","nan"
cwnu4158,"nan",147,"nan","nan"
cwnu4159,"nan",62,"nan","nan"
cwnu416,"nan",38,"nan","nan"
cwnu4160,"nan",73,"nan","nan"
cwnu4161,"nan",168,"nan","nan"
cwnu4162,"nan",135,"nan","nan"
cwnu4163,"nan",213,"nan","nan"
cwnu4164,"nan",118,"nan","nan"
cwnu4165,"nan",182,"nan","nan"
cwnu4166,"nan",451,"nan","nan"
cwnu4167,"nan",391,"nan","nan"
cwnu4168,"nan",531,"nan","nan"
cwnu4169,"nan",199,"nan","nan"
cwnu417,"nan",57,"nan","nan"
cwnu4170,"nan",155,"nan","nan"
cwnu4171,"nan",117,"nan","nan"
cwnu4172,"nan",161,"nan","nan"
cwnu4173,"nan",150,"nan","nan"
cwnu4174,"nan",224,"nan","nan"
cwnu4175,"nan",85,"nan","nan"
cwnu4176,"nan",122,"nan","nan"
cwnu4177,"nan",131,"nan","nan"
cwnu4178,"nan",198,"nan","nan"
cwnu4179,"nan",194,"nan","nan"
cwnu418,"nan",51,"nan","nan"
cwnu4181,"nan",119,"nan","nan"
cwnu4182,"nan",98,"nan","nan"
cwnu4183,"nan",89,"nan","nan"
cwnu4184,"nan",338,"nan","nan"
cwnu4185,"nan",222,"nan","nan"
cwnu4186,"nan",204,"nan","nan"
cwnu4187,"nan",145,"nan","nan"
cwnu4188,"nan",155,"nan","nan"
cwnu4189,"nan",25,"nan","nan"
cwnu419,"nan",59,"nan","nan"
cwnu4190,"nan",33,"nan","nan"
cwnu4191,"nan",37,"nan","nan"
cwnu4192,"nan",52,"nan","nan"
cwnu4193,"nan",47,"nan","nan"
cwnu4194,"nan",76,"nan","nan"
cwnu4195,"nan",78,"nan","nan"
cwnu4196,"nan",77,"nan","nan"
cwnu4197,"nan",76,"nan","nan"
cwnu4198,"nan",75,"nan","nan"
cwnu4199,"nan",74,"nan","nan"
cwnu42,"nan",67,"nan","nan"
cwnu420,"nan",126,"nan","nan"
cwnu4200,"nan",74,"nan","nan"
cwnu4201,"nan",73,"nan","nan"
cwnu4202,"nan",72,"nan","nan"
cwnu4203,"nan",71,"nan","nan"
cwnu4204,"nan",69,"nan","nan"
cwnu4205,"nan",69,"nan","nan"
cwnu4206,"nan",69,"nan","nan"
cwnu4207,"nan",68,"nan","nan"
cwnu4208,"nan",67,"nan","nan"
cwnu4209,"nan",67,"nan","nan"
cwnu421,"nan",54,"nan","nan"
cwnu4210,"nan",67,"nan","nan"
cwnu4211,"nan",66,"nan","nan"
cwnu4212,"nan",65,"nan","nan"
cwnu4213,"nan",65,"nan","nan"
cwnu4214,"nan",64,"nan","nan"
cwnu4215,"nan",64,"nan","nan"
cwnu4216,"nan",63,"nan","nan"
cwnu4217,"nan",63,"nan","nan"
cwnu4218,"nan",63,"nan","nan"
cwnu4219,"nan",62,"nan","nan"
cwnu422,"nan",92,"nan","nan"
cwnu4220,"nan",60,"nan","nan"
cwnu4221,"nan",58,"nan","nan"
cwnu4222,"nan",57,"nan","nan"
cwnu4223,"nan",56,"nan","nan"
cwnu4224,"nan",55,"nan","nan"
cwnu4225,"nan",54,"nan","nan"
cwnu4226,"nan",54,"nan","nan"
cwnu4227,"nan",53,"nan","nan"
cwnu4228,"nan",53,"nan","nan"
cwnu4229,"nan",52,"nan","nan"
cwnu423,"nan",51,"nan","nan"
cwnu4230,"nan",52,"nan","nan"
cwnu4231,"nan",51,"nan","nan"
cwnu4232,"nan",51,"nan","nan"
cwnu4233,"nan",48,"nan","nan"
cwnu4234,"nan",48,"nan","nan"
cwnu4235,"nan",47,"nan","nan"
cwnu4236,"nan",46,"nan","nan"
cwnu4237,"nan",46,"nan","nan"
cwnu4238,"nan",46,"nan","nan"
cwnu4239,"nan",42,"nan","nan"
cwnu424,"nan",57,"nan","nan"
cwnu4240,"nan",42,"nan","nan"
cwnu4241,"nan",42,"nan","nan"
cwnu4242,"nan",41,"nan","nan"
cwnu4243,"nan",38,"nan","nan"
cwnu4244,"nan",37,"nan","nan"
cwnu4245,"nan",35,"nan","nan"
cwnu4246,"nan",35,"nan","nan"
cwnu4247,"nan",32,"nan","nan"
cwnu4248,"nan",31,"nan","nan"
cwnu4249,"nan",30,"nan","nan"
cwnu425,"nan",110,"nan","nan"
cwnu4250,"nan",29,"nan","nan"
cwnu4251,"nan",28,"nan","nan"
cwnu4252,"nan",28,"nan","nan"
cwnu4253,"nan",28,"nan","nan"
cwnu4254,"nan",25,"nan","nan"
cwnu4255,"nan",224,"nan","nan"
cwnu4256,"nan",217,"nan","nan"
cwnu4257,"nan",203,"nan","nan"
cwnu4258,"nan",201,"nan","nan"
cwnu4259,"nan",199,"nan","nan"
cwnu426,"nan",56,"nan","nan"
cwnu4260,"nan",197,"nan","nan"
cwnu4261,"nan",149,"nan","nan"
cwnu4262,"nan",144,"nan","nan"
cwnu4263,"nan",140,"nan","nan"
cwnu4264,"nan",131,"nan","nan"
cwnu4265,"nan",130,"nan","nan"
cwnu4266,"nan",129,"nan","nan"
cwnu4267,"nan",128,"nan","nan"
cwnu4268,"nan",126,"nan","nan"
cwnu4269,"nan",126,"nan","nan"
cwnu427,"nan",65,"nan","nan"
cwnu4270,"nan",117,"nan","nan"
cwnu4271,"nan",116,"nan","nan"
cwnu4272,"nan",115,"nan","nan"
cwnu4273,"nan",114,"nan","nan"
cwnu4274,"nan",113,"nan","nan"
cwnu4275,"nan",113,"nan","nan"
cwnu4276,"nan",111,"nan","nan"
cwnu4277,"nan",111,"nan","nan"
cwnu4278,"nan",110,"nan","nan"
cwnu4279,"nan",108,"nan","nan"
cwnu428,"nan",52,"nan","nan"
cwnu4280,"nan",107,"nan","nan"
cwnu4281,"nan",104,"nan","nan"
cwnu4282,"nan",102,"nan","nan"
cwnu4283,"nan",101,"nan","nan"
cwnu4284,"nan",100,"nan","nan"
cwnu4285,"nan",99,"nan","nan"
cwnu4286,"nan",96,"nan","nan"
cwnu4287,"nan",93,"nan","nan"
cwnu4288,"nan",93,"nan","nan"
cwnu4289,"nan",93,"nan","nan"
cwnu429,"nan",54,"nan","nan"
cwnu4290,"nan",91,"nan","nan"
cwnu4291,"nan",91,"nan","nan"
cwnu4292,"nan",91,"nan","nan"
cwnu4293,"nan",91,"nan","nan"
cwnu4294,"nan",90,"nan","nan"
cwnu4295,"nan",90,"nan","nan"
cwnu4296,"nan",89,"nan","nan"
cwnu4297,"nan",89,"nan","nan"
cwnu4298,"nan",89,"nan","nan"
cwnu4299,"nan",87,"nan","nan"
cwnu43,"nan",276,"nan","nan"
cwnu430,"nan",54,"nan","nan"
cwnu4300,"nan",86,"nan","nan"
cwnu4301,"nan",85,"nan","nan"
cwnu4302,"nan",85,"nan","nan"
cwnu4303,"nan",84,"nan","nan"
cwnu4304,"nan",84,"nan","nan"
cwnu4305,"nan",84,"nan","nan"
cwnu4306,"nan",83,"nan","nan"
cwnu4307,"nan",83,"nan","nan"
cwnu4308,"nan",81,"nan","nan"
cwnu4309,"nan",81,"nan","nan"
cwnu431,"nan",68,"nan","nan"
cwnu4310,"nan",80,"nan","nan"
cwnu4311,"nan",78,"nan","nan"
cwnu4312,"nan",78,"nan","nan"
cwnu4313,"nan",47,"nan","nan"
cwnu4314,"nan",31,"nan","nan"
cwnu4315,"nan",59,"nan","nan"
cwnu4316,"nan",58,"nan","nan"
cwnu4317,"nan",54,"nan","nan"
cwnu4318,"nan",55,"nan","nan"
cwnu4319,"nan",57,"nan","nan"
cwnu432,"nan",176,"nan","nan"
cwnu4320,"nan",536,"nan","nan"
cwnu4321,"nan",78,"nan","nan"
cwnu4322,"nan",138,"nan","nan"
cwnu4323,"nan",39,"nan","nan"
cwnu4324,"nan",234,"nan","nan"
cwnu4325,"nan",129,"nan","nan"
cwnu4326,"nan",664,"nan","nan"
cwnu4327,"nan",64,"nan","nan"
cwnu4328,"nan",55,"nan","nan"
cwnu4329,"nan",51,"nan","nan"
cwnu433,"nan",57,"nan","nan"
cwnu4330,"nan",51,"nan","nan"
cwnu4331,"nan",50,"nan","nan"
cwnu4332,"nan",50,"nan","nan"
cwnu4333,"nan",78,"nan","nan"
cwnu4334,"nan",50,"nan","nan"
cwnu4335,"nan",31,"nan","nan"
cwnu4336,"nan",66,"nan","nan"
cwnu4337,"nan",32,"nan","nan"
cwnu4338,"nan",58,"nan","nan"
cwnu4339,"nan",54,"nan","nan"
cwnu434,"nan",49,"nan","nan"
cwnu4340,"nan",47,"nan","nan"
cwnu4341,"nan",686,"nan","nan"
cwnu4342,"nan",94,"nan","nan"
cwnu4343,"nan",89,"nan","nan"
cwnu4344,"nan",75,"nan","nan"
cwnu4345,"nan",70,"nan","nan"
cwnu4346,"nan",61,"nan","nan"
cwnu4347,"nan",64,"nan","nan"
cwnu4348,"nan",65,"nan","nan"
cwnu4349,"nan",65,"nan","nan"
cwnu435,"nan",52,"nan","nan"
cwnu4350,"nan",65,"nan","nan"
cwnu4351,"nan",60,"nan","nan"
cwnu4352,"nan",60,"nan","nan"
cwnu4353,"nan",58,"nan","nan"
cwnu4354,"nan",41,"nan","nan"
cwnu4355,"nan",42,"nan","nan"
cwnu4356,"nan",53,"nan","nan"
cwnu4357,"nan",53,"nan","nan"
cwnu4358,"nan",53,"nan","nan"
cwnu4359,"nan",55,"nan","nan"
cwnu436,"nan",214,"nan","nan"
cwnu4360,"nan",55,"nan","nan"
cwnu4361,"nan",56,"nan","nan"
cwnu4362,"nan",41,"nan","nan"
cwnu4363,"nan",44,"nan","nan"
cwnu4364,"nan",40,"nan","nan"
cwnu4365,"nan",47,"nan","nan"
cwnu4366,"nan",37,"nan","nan"
cwnu4367,"nan",93,"nan","nan"
cwnu4368,"nan",155,"nan","nan"
cwnu4369,"nan",306,"nan","nan"
cwnu437,"nan",48,"nan","nan"
cwnu4370,"nan",44,"nan","nan"
cwnu4371,"nan",45,"nan","nan"
cwnu4372,"nan",113,"nan","nan"
cwnu4373,"nan",30,"nan","nan"
cwnu4374,"nan",79,"nan","nan"
cwnu4375,"nan",61,"nan","nan"
cwnu4376,"nan",102,"nan","nan"
cwnu4377,"nan",65,"nan","nan"
cwnu4378,"nan",81,"nan","nan"
cwnu4379,"nan",71,"nan","nan"
cwnu438,"nan",94,"nan","nan"
cwnu4380,"nan",116,"nan","nan"
cwnu4381,"nan",49,"nan","nan"
cwnu4382,"nan",69,"nan","nan"
cwnu4383,"nan",37,"nan","nan"
cwnu4384,"nan",71,"nan","nan"
cwnu4385,"nan",29,"nan","nan"
cwnu4386,"nan",112,"nan","nan"
cwnu4387,"nan",90,"nan","nan"
cwnu4388,"nan",58,"nan","nan"
cwnu4389,"nan",293,"nan","nan"
cwnu439,"nan",68,"nan","nan"
cwnu4390,"nan",68,"nan","nan"
cwnu4391,"nan",153,"nan","nan"
cwnu4392,"nan",155,"nan","nan"
cwnu4393,"nan",40,"nan","nan"
cwnu4394,"nan",90,"nan","nan"
cwnu4395,"nan",114,"nan","nan"
cwnu4396,"nan",54,"nan","nan"
cwnu4397,"nan",108,"nan","nan"
cwnu4398,"nan",54,"nan","nan"
cwnu4399,"nan",47,"nan","nan"
cwnu44,"nan",384,"nan","nan"
cwnu440,"nan",65,"nan","nan"
cwnu4400,"nan",56,"nan","nan"
cwnu4401,"nan",57,"nan","nan"
cwnu4402,"nan",82,"nan","nan"
cwnu4403,"nan",117,"nan","nan"
cwnu4404,"nan",300,"nan","nan"
cwnu4405,"nan",213,"nan","nan"
cwnu4406,"nan",39,"nan","nan"
cwnu4407,"nan",112,"nan","nan"
cwnu4408,"nan",143,"nan","nan"
cwnu4409,"nan",140,"nan","nan"
cwnu441,"nan",54,"nan","nan"
cwnu4410,"nan",79,"nan","nan"
cwnu4411,"nan",32,"nan","nan"
cwnu4412,"nan",26,"nan","nan"
