"Name","logAge","e_logAge","Dist","e_Dist","Z","e_Z","E(B-V)","e_E(B-V)","Rv","e_Rv","_RA","_DE","plx","e_plx","RV","e_RV","Nc","sigRA","e_sigRA","sigDE","e_sigDE","pmRA","e_pmRA","pmDE","e_pmDE"
"Gulliver 17",7.655,0.047,1.919,0.161,0.029,0.011,0.405,0.044,2.356,0.255,302.654,35.871,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 18",7.811,0.083,1.541,0.085,0.018,0.005,0.571,0.061,2.564,0.238,302.905,26.532,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 19",7.413,0.089,1.396,0.122,0.003,0.002,1.093,0.098,2.474,0.245,344.19,61.106,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 20",8.762,0.085,0.407,0.02,0.015,0.003,0.11,0.014,2.093,0.188,273.736,11.082,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 21",8.536,0.096,0.615,0.038,0.02,0.003,0.054,0.021,2.437,0.213,106.961,-25.462,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 22",6.803,0.047,0.882,0.015,0.048,0.008,0.428,0.036,2.0,0.137,84.848,26.368,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 23",8.768,0.013,3.981,0.19,0.03,0.003,0.828,0.083,2.177,0.211,304.255,38.055,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 24",8.1,0.114,1.493,0.139,0.016,0.01,0.307,0.022,3.538,0.26,1.161,62.835,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 25",8.562,0.178,1.324,0.183,0.024,0.01,0.241,0.069,3.125,0.292,52.011,45.152,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 26",8.242,0.544,2.336,0.187,0.002,0.001,0.728,0.035,2.424,0.159,80.689,35.27,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 27",8.504,0.135,2.339,0.283,0.005,0.005,0.603,0.073,2.226,0.216,146.088,-54.117,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
