"Cluster","Nall","Nflag1","RVmed","e_RVmed","RVmean","e_RVmean","s_RV","Nflag12","[Fe/H]med","e_[Fe/H]med","[Fe/H]mean","e_[Fe/H]mean","s_[Fe/H]","LX","LY","LZ","ULSR","VLSR","WLSR","ZGC","RGC","Peri","Apo","Energy","ecc","_RA","_DE"
"ASCC_10",23,22,-24.19788,1.5734,-24.58386899267483,1.2259127053855357,7.4207230084564015,12,-0.02634,0.01465,-0.0235827117805328,0.0108422539508243,0.0635875200622707,46.4585353740624,-66.22023720755432,2083.264103689232,34.731494916183664,236.44193014077612,8.290266728211298,-0.187429892838382,8.776738183459981,8.0487,9.98393,-150854,0.1073157774195391,51.87,34.981
"ASCC_105",5,5,-18.98482,3.0513,-18.47266019635317,3.1596665689079884,5.953133735759329,5,0.04716,0.01789,0.0457419607392473,0.0190753425387364,0.052817179515871,-7.337698764075583,-7.860871332204677,1808.6311950130728,4.191442921338464,227.48656095765853,0.9717221757515846,0.0344087464626492,7.957191875751381,7.5631,7.98275,-158971,0.0269923606769124,295.548,27.366
"ASCC_108",11,11,-14.93319,3.69183,-14.751241129402944,3.4077118741668766,10.841267774676528,10,-0.07667,0.03399,-0.106261907594111,0.0601242924496122,0.2103080205157429,-27.40953752642569,-29.389739373139857,1820.166374430956,16.282392666781487,228.41807847003167,3.44301214963754,0.136741847626919,7.967212775140095,7.4184,8.2475,-158517,0.0529258828268075,298.306,39.349
"ASCC_11",39,39,-21.37423,1.94324,-21.02288464278728,1.512547656724495,13.176895123483916,28,-0.18179,0.02509,-0.162452939128282,0.0270385774705827,0.1784560873899786,29.32458169029118,-22.399680683889244,2023.660092160757,25.487181659065683,225.03008900796925,2.8601656479187305,-0.12496545049096,8.955073245342486,7.9702,9.44673,-152749,0.0847774288191354,53.056,44.856
"ASCC_113",6,6,-10.77691,3.00495,-10.60523220840161,2.973272801455749,7.455736666112896,3,0.00033,0.0766,0.0011379434763193,0.0662724240262388,0.0840699706460912,11.94182916029684,-1.6073951400261213,1901.0530312806225,15.362245581760073,232.7645817363036,0.2933100552873222,-0.0506050036922605,8.149568569685597,7.7745,8.53412,-156338,0.0465803889731662,317.933,38.638
"ASCC_114",2,2,-26.35784,5.0423,-26.357842974419945,5.042296339146574,6.031244864012428,2,-0.105,0.0667,-0.105001122000636,0.0667038437363229,0.0553380962636738,-1.0576915388596584,-53.24637556674056,1874.1133307272355,35.932163929917024,221.57799077235987,6.275084636244378,0.0302876956404674,8.360614444046186,7.0908,9.00862,-156955,0.1191221558016925,324.99,53.997
"ASCC_115",1,1,-26.24,7.59,-26.239999771118164,7.590000152587891,"nan",1,0.063,0.191,0.063000001013279,0.1909999996423721,"nan",9.785981360479674,-66.72033458361074,1832.384411556037,17.172047895268218,219.38559367077937,8.079923328200644,-0.0179412690529341,8.327209665098625,7.2679,8.50106,-158138,0.0782031005254633,329.28,51.558
"ASCC_12",19,19,-17.49145,3.32536,-15.9203048158855,2.476463027360622,15.452438170035748,15,-0.16714,0.0513,-0.162019270597464,0.0468834650955486,0.2052475996472481,3.703843050983916,32.62741324381775,2138.5035889049086,25.645682186821983,231.55182404472933,-3.488396983486883,-0.0206131161353829,9.2066863715933,8.4824,9.93843,-149792,0.0790408265412146,72.4,41.744
"ASCC_128",2,2,-26.57574,5.30315,-26.575738984546124,5.303145682984029,4.212654825457354,1,-0.07581,0.01819,-0.0758055452333998,0.0181861033153053,"nan",18.2282959721432,-77.04134515734228,1853.4757113472429,16.41420746193292,218.7770404445398,9.255087839637804,-0.056835716779414,8.448242261750464,7.3515,8.60627,-157480,0.0786293089456623,349.949,54.435
"ASCC_13",2,2,-18.85143,5.96517,-18.85142843660618,5.96517287074183,4.903644446087601,2,-0.04976,0.03992,-0.0497646008988782,0.0399182101711167,0.0464530137359147,-17.86718949454026,9.049224023758375,2177.6272486707285,27.055165949032336,234.05138518608084,-1.1945952623550902,0.0747250260871066,9.27290033172302,8.6031,10.1723,-148785,0.0835786013385614,78.255,44.417
