"Cluster","RA_ICRS","DE_ICRS","kind","plx","e_plx","CMDclass","Quality","logAge16","logAge50","logAge84","[Fe/H]16","[Fe/H]50","[Fe/H]84","AV16","AV50","AV84","dMod16","dMod50","dMod84","X","Y","Z","Rgc"
"HSC 1348",82.64430260338,35.57288513538,"o",1.053,0.03,1.0,0,8.41,8.51,8.6,-0.28,-0.16,-0.04,0.71,0.78,0.84,9.72,9.86,9.97,-0.929776169614678,0.119226889495517,0.0581593559603469,9.053
"HSC 135",271.77484996472,-19.76515555057,"o",0.743,0.032,0.74,0,8.54,8.66,8.78,-0.42,-0.24,-0.06,1.12,1.25,1.38,10.03,10.29,10.54,1.12418109484891,0.205969293231082,0.0465281087909262,7.001
"HSC 1350",83.46184829847,36.02270485691,"o",0.873,0.03,1.0,0,7.45,7.6,7.73,0.22,0.38,0.53,0.83,0.89,0.96,10.21,10.42,10.62,-1.20286579503133,0.154558634814904,0.0799918651565219,9.326
"HSC 1351",82.04233351138,35.04465689672,"o",0.461,0.024,0.97,0,6.91,7.11,7.28,0.28,0.5,0.73,1.51,1.64,1.77,11.42,11.73,12.06,-2.20094646833046,0.275622896151669,0.0536324265078805,10.327
"HSC 1353",79.84602205789,33.64828487823,"o",0.208,0.044,0.28,0,8.88,9.01,9.13,-0.48,-0.29,-0.08,1.72,1.91,2.05,12.74,13.08,13.34,-4.0971691260842,0.503554544615887,-0.100680058961715,12.23
"HSC 1356",81.90943032746,34.38739957279,"o",0.458,0.027,0.65,0,7.16,7.32,7.45,0.32,0.5,0.66,1.47,1.56,1.66,11.61,11.87,12.14,-2.34995883751114,0.274059215341043,0.0356128722148743,10.476
"HSC 1358",81.43382334934,33.89083707249,"o",0.47,0.017,1.0,2,8.04,8.3,8.54,-0.34,-0.16,0.03,0.3,0.43,0.59,11.43,11.83,12.21,-2.30776865132076,0.261277700353104,0.0112502048566877,10.433
"HSC 1360",90.37420645575,37.79548813238,"o",0.245,0.029,1.0,0,8.1,8.21,8.33,-0.16,0.01,0.17,1.68,1.77,1.84,12.5,12.68,12.9,-3.38773398917382,0.356394822178259,0.487993378247714,11.515
"HSC 1362",86.20660844064,35.48330317447,"o",0.304,0.027,1.0,0,8.48,8.58,8.67,0.15,0.31,0.46,2.54,2.62,2.71,12.27,12.45,12.65,-3.06964074678403,0.30529840084848,0.225613365696759,11.196
"HSC 1365",88.35048673727,36.16879725238,"o",0.211,0.027,0.7,0,7.37,7.54,7.69,-0.3,-0.06,0.16,1.09,1.22,1.34,12.72,13.16,13.42,-4.24862283596962,0.400145727537104,0.43433975172295,12.377
"HSC 1366",86.57400298246,35.17517104552,"o",0.336,0.033,0.34,0,8.31,8.41,8.5,0.52,0.67,0.82,2.45,2.58,2.67,12.13,12.36,12.56,-2.94678030449576,0.27129716298433,0.223126542465605,11.072
"HSC 1367",91.59158989165,37.29912849278,"o",0.747,0.022,0.99,0,8.66,8.78,8.89,-0.49,-0.3,-0.12,0.48,0.62,0.75,10.03,10.26,10.56,-1.11157004040483,0.0992151339247909,0.199977069466665,9.234
"HSC 137",282.21880247368,-24.18883469494,"o",1.878,0.035,1.0,0,8.73,8.82,8.89,0.02,0.15,0.26,0.95,1.02,1.09,8.47,8.58,8.71,0.502289104351021,0.0966686507622656,-0.0521198971655725,7.62
"HSC 1370",95.2605250343,38.48654734508,"o",0.931,0.024,1.0,0,7.73,7.93,8.11,-0.25,-0.06,0.13,0.43,0.54,0.65,10.14,10.37,10.6,-1.159039130303,0.0980445586923037,0.27182020533601,9.282
"HSC 1375",85.89536426528,33.43066852382,"o",0.62,0.026,0.99,0,7.69,7.83,7.94,-0.2,-0.01,0.2,1.05,1.16,1.26,10.88,11.16,11.45,-1.70060369950773,0.120736255859751,0.104816641455621,9.823
"HSC 1378",89.14564513834,34.41187010346,"o",0.932,0.037,1.0,0,7.72,7.82,7.93,0.07,0.22,0.37,1.25,1.33,1.41,10.16,10.31,10.48,-1.1469598852697,0.0706891869990759,0.140995078920584,9.269
"HSC 1379",84.33010216887,31.96200367366,"o",0.587,0.04,0.06,2,7.51,7.72,7.93,-0.38,-0.14,0.03,2.12,2.3,2.47,10.64,11.01,11.37,-1.5891761072036,0.0975864702641872,0.047937117560681,9.712
"HSC 1380",90.77183014852,34.97810103021,"o",0.229,0.043,0.14,0,8.36,8.48,8.6,-0.44,-0.27,-0.08,1.85,1.94,2.03,12.61,12.82,13.01,-3.63533438744298,0.213695259008139,0.449195623526983,11.759
"HSC 1381",86.08295656122,32.5694262825,"o",0.242,0.025,0.7,0,7.38,7.5,7.63,-0.03,0.22,0.42,2.44,2.54,2.64,13.33,13.61,13.92,-5.26120533443518,0.298215694334771,0.207847564938159,13.387
"HSC 1385",85.04695126639,31.82449528323,"o",1.311,0.016,0.99,0,8.97,9.09,9.23,-0.34,-0.17,0.0,0.86,1.0,1.15,9.28,9.51,9.72,-0.796766359230066,0.0427730918613635,0.0509225347895674,8.919
"HSC 1386",89.80421679213,33.94772845914,"o",0.197,0.031,0.13,1,8.78,8.91,9.05,-0.69,-0.51,-0.33,1.86,2.02,2.18,12.66,12.94,13.23,-3.8519152882307,0.191840528776786,0.391727112983589,11.975
"HSC 1387",81.94128046644,29.58753513574,"o",0.752,0.034,0.97,0,7.78,7.87,8.0,0.16,0.35,0.52,0.96,1.05,1.13,10.24,10.43,10.64,-1.21622596596355,0.0561420040711381,-0.0176733586468049,9.338
"HSC 1388",83.27299297051,30.56770124814,"o",0.324,0.03,1.0,0,8.29,8.4,8.51,0.12,0.26,0.41,3.51,3.62,3.73,11.93,12.18,12.42,-2.72493876678337,0.134660798493706,-0.0196353950668149,10.848
"HSC 1389",82.41820092011,30.05376387173,"o",0.234,0.031,0.12,0,9.21,9.32,9.41,0.03,0.22,0.39,1.87,1.97,2.06,12.04,12.29,12.49,-2.86523487521326,0.140291347676234,-0.0678347861468106,10.988
"HSC 139",277.72302465607,-21.21984786571,"o",1.956,0.022,0.99,0,8.2,8.31,8.41,-0.26,-0.14,0.01,1.27,1.36,1.42,8.41,8.52,8.65,0.493126922377867,0.102397959393147,-0.0055736375927934,7.63
"HSC 1390",67.21995322149,18.47359664734,"o",4.442,0.058,0.02,0,7.13,7.52,7.99,0.05,0.25,0.48,0.46,0.66,0.87,6.63,6.93,7.21,-0.228152999971845,0.007091284515354,-0.0423043014258336,8.35
"HSC 1392",83.41463168678,30.32009544493,"o",0.561,0.021,0.05,1,7.52,7.71,7.88,-0.26,-0.1,0.04,2.02,2.12,2.22,11.16,11.39,11.62,-1.89429271768856,0.0845244796208787,-0.0020252012468125,10.017
"HSC 1394",70.52457589019,21.85037724629,"o",2.564,0.037,0.75,0,8.59,8.77,8.92,0.31,0.42,0.56,1.11,1.2,1.28,7.72,7.9,8.07,-0.365736415091664,0.0158419502164048,-0.0609202501780364,8.488
"HSC 1395",87.75298308806,33.25687526016,"o",1.946,0.031,1.0,0,8.17,8.25,8.34,-0.12,-0.01,0.09,0.44,0.5,0.56,8.37,8.5,8.61,-0.499561081289151,0.0271400277531904,0.0709968858704312,8.622
