"Cluster","RA_ICRS","DE_ICRS","kind","plx","e_plx","CMDclass","Quality","logAge16","logAge50","logAge84","[Fe/H]16","[Fe/H]50","[Fe/H]84","AV16","AV50","AV84","dMod16","dMod50","dMod84","X","Y","Z","Rgc"
"ADS 16795",348.65321156602,57.26469379429,"o",4.778,0.083,0.83,0,7.43,7.54,7.64,-0.18,-0.07,0.04,0.67,0.77,0.86,6.5,6.67,6.82,-0.0740483673230283,0.20231945404972,0.0298381097424345,8.199
"AH03 J0748-26.9",117.16371118237,-26.96443007594,"o",0.211,0.021,1.0,0,7.9,8.0,8.13,-0.72,-0.55,-0.39,1.43,1.5,1.57,12.53,12.77,12.99,-1.61474028148011,-3.19603604881456,0.007144081729555,10.248
"ASCC 100",284.62971873485,32.43666773222,"o",2.749,0.03,0.94,0,7.01,7.21,7.39,-0.06,0.06,0.23,0.32,0.46,0.59,7.64,7.86,8.11,0.165235566238676,0.324444282363254,0.123804602088144,7.963
"ASCC 101",288.41450533645,36.28386326207,"o",2.506,0.035,0.99,0,8.06,8.14,8.24,0.3,0.39,0.46,0.34,0.4,0.46,7.92,8.04,8.18,0.149348748883077,0.368236650807057,0.122481687013906,7.981
"ASCC 105",295.49878975919,27.29586866253,"o",1.775,0.025,1.0,0,7.58,7.65,7.72,-0.06,0.04,0.12,0.67,0.72,0.78,8.71,8.83,8.96,0.267124651198845,0.518317156154003,0.0619510314368116,7.872
"ASCC 106",295.58161632159,1.42091099476,"o",1.324,0.027,1.0,0,8.06,8.16,8.28,0.36,0.5,0.67,1.09,1.19,1.27,9.19,9.4,9.58,0.570031545655609,0.480112665160147,-0.0999138390371641,7.567
"ASCC 107",297.13515559847,21.97556362072,"o",1.125,0.025,1.0,0,7.24,7.32,7.42,0.09,0.22,0.38,1.48,1.56,1.64,9.74,9.92,10.1,0.497818600515125,0.82467138773347,0.0086356710225351,7.669
"ASCC 108",298.33062066814,39.36013567424,"o",0.838,0.024,1.0,0,8.38,8.47,8.55,0.24,0.35,0.46,0.44,0.5,0.56,10.23,10.36,10.51,0.316026076417367,1.1304684279857,0.165463992295831,7.887
"ASCC 11",53.05418030687,44.84375825098,"o",1.172,0.034,1.0,0,8.32,8.39,8.46,0.1,0.21,0.3,0.86,0.92,0.97,9.62,9.72,9.83,-0.755867687816004,0.426556118549107,-0.0975195070981705,8.888
"ASCC 110",300.73528797775,33.50150825691,"o",0.502,0.021,0.99,0,8.54,8.62,8.69,0.09,0.21,0.35,1.45,1.53,1.61,11.13,11.28,11.44,0.605206136675308,1.69791264414218,0.0831138062588286,7.706
"ASCC 111",302.95216137231,37.51425242109,"o",1.164,0.021,1.0,0,8.26,8.37,8.47,-0.14,-0.03,0.07,0.65,0.71,0.78,9.46,9.6,9.74,0.218891924433045,0.801939042353216,0.0702832330581479,7.944
"ASCC 113",317.99799006135,38.79654457209,"o",1.769,0.023,1.0,0,8.06,8.12,8.19,0.17,0.25,0.31,0.3,0.36,0.4,8.65,8.75,8.86,0.0676741757039653,0.55457548199621,-0.0224125836876859,8.073
"ASCC 114",324.98720133389,53.98640264667,"o",1.066,0.023,1.0,0,7.51,7.59,7.69,-0.04,0.08,0.22,1.03,1.09,1.15,9.68,9.85,10.0,-0.114840338159503,0.926003643134235,0.0585239945996246,8.289
"ASCC 115",329.190413471,51.46179734115,"o",1.291,0.022,1.0,0,8.01,8.1,8.19,0.08,0.2,0.33,0.99,1.05,1.13,9.41,9.55,9.67,-0.104995938092884,0.805220108150731,0.0057630802941341,8.266
"ASCC 12",72.49920706889,41.70779855647,"o",0.952,0.028,1.0,0,8.45,8.53,8.6,-0.12,0.0,0.12,0.93,0.99,1.05,10.02,10.12,10.26,-1.01049215289812,0.30775048467193,0.0099034932859165,9.138
"ASCC 125",344.0842736687,62.6982977765,"o",1.185,0.026,0.97,2,6.59,6.76,6.97,0.0,0.22,0.44,2.85,3.01,3.2,9.86,10.22,10.59,-0.380827948593376,1.03764800677873,0.0950097397855307,8.566
"ASCC 127",346.64995872135,65.61352851552,"o",2.653,0.029,0.99,0,6.89,6.98,7.05,-0.14,-0.07,0.01,1.11,1.19,1.25,7.81,7.93,8.05,-0.146155224287101,0.355120185715599,0.0749778709552491,8.276
"ASCC 128",349.28066504228,54.16877084173,"o",1.504,0.024,1.0,0,8.12,8.19,8.26,0.39,0.48,0.54,0.39,0.45,0.51,9.04,9.16,9.28,-0.223432540866474,0.637263512696788,-0.0310552624961344,8.37
"ASCC 13",78.1407918466,44.42443667136,"o",0.888,0.028,1.0,0,7.58,7.65,7.73,0.03,0.17,0.3,0.63,0.7,0.75,10.0,10.14,10.3,-1.02076436726228,0.303424070675341,0.101155446013486,9.148
"ASCC 14",80.1256755202,35.22809791033,"o",0.927,0.028,1.0,0,7.4,7.57,7.77,0.05,0.22,0.45,0.56,0.68,0.78,10.06,10.32,10.54,-1.1468500513407,0.164684109563788,0.023768171784866,9.27
"ASCC 18",81.3224294601,0.31655563406,"o",2.415,0.038,0.99,0,6.66,6.8,6.93,0.01,0.15,0.29,0.26,0.4,0.51,7.84,8.03,8.26,-0.353245925588439,-0.14573847122617,-0.0883553769448357,8.476
"ASCC 19",81.96590510139,-1.89040961345,"o",2.806,0.028,1.0,0,6.58,6.73,6.84,0.0,0.14,0.28,0.43,0.56,0.67,7.5,7.71,7.92,-0.298479747968475,-0.137887164828682,-0.0733780623384769,8.422
"ASCC 20",82.00576203078,1.69777149873,"o",2.731,0.037,0.99,0,7.04,7.12,7.2,-0.05,0.03,0.11,0.46,0.53,0.6,7.75,7.85,8.0,-0.329638765847795,-0.129849244967753,-0.0701959045109535,8.453
"ASCC 21",82.36433652892,3.30928617423,"o",2.902,0.028,1.0,0,6.75,6.85,6.96,-0.03,0.07,0.19,0.49,0.59,0.7,7.49,7.67,7.83,-0.307817826288016,-0.11336082445694,-0.0549973650039583,8.431
"ASCC 23",95.02805330681,46.72044702269,"o",1.615,0.036,1.0,0,8.1,8.22,8.32,0.23,0.31,0.41,0.32,0.38,0.44,8.84,8.99,9.1,-0.593357304275919,0.132108815743748,0.199397543768476,8.716
"ASCC 24",98.28676455371,-6.88171055604,"o",4.727,0.038,0.98,3,5.62,6.15,6.65,-0.93,-0.49,-0.07,0.0,0.0,0.0,5.8,6.43,7.1,-0.153098013225081,-0.115380672168216,0.0178269329023066,8.276
"ASCC 27",103.52746180656,-4.53749169096,"o",0.284,0.037,0.95,0,8.0,8.11,8.22,0.55,0.73,0.9,2.78,2.87,2.95,12.34,12.57,12.79,-2.5980959042165,-1.9773042236502,-0.0357853764260774,10.901
"ASCC 28",103.46024061758,-0.23033068028,"o",0.918,0.029,1.0,0,7.75,7.83,7.93,-0.28,-0.14,0.03,0.49,0.56,0.64,9.95,10.13,10.28,-0.886169128718464,-0.584593794302018,0.0518284991901534,9.027
"ASCC 29",103.55436968647,-1.6758216269,"o",0.968,0.03,1.0,0,7.76,7.82,7.89,-0.06,0.04,0.15,0.24,0.3,0.35,9.94,10.06,10.19,-0.84474180412451,-0.585818732607509,0.0411440448520727,8.986
"ASCC 30",104.28299325464,-6.19374769758,"o",0.894,0.03,1.0,0,8.38,8.46,8.52,0.15,0.25,0.37,0.41,0.47,0.52,10.05,10.18,10.3,-0.842935639970998,-0.684823946448097,0.0141882709261462,8.991
"ASCC 33",104.69623763522,-24.00883861491,"o",2.358,0.032,0.99,0,7.8,7.95,8.12,0.02,0.13,0.24,0.36,0.44,0.53,8.01,8.19,8.34,-0.244426702434463,-0.352599669558214,-0.0270671267996521,8.374
"ASCC 36",108.66890594402,-21.05332416353,"o",1.018,0.017,0.99,0,7.82,7.93,8.05,-0.42,-0.29,-0.14,0.27,0.35,0.44,9.8,9.97,10.17,-0.574226463127033,-0.7981384573777,-0.0355725807018499,8.733
"ASCC 45",123.91256802182,-35.67800134393,"o",0.248,0.018,0.88,0,7.15,7.27,7.4,0.24,0.47,0.66,1.87,1.98,2.09,12.42,12.78,13.1,-1.01362278631433,-3.45167773451491,0.0217484383936934,9.766
"ASCC 5",14.50371507298,55.85780429028,"o",0.533,0.02,1.0,0,7.04,7.17,7.3,-0.11,0.11,0.32,0.75,0.86,0.98,11.04,11.35,11.61,-1.0303452589496,1.53471989074595,-0.18275936340062,9.28
"ASCC 51",139.93436595999,-69.63686689758,"o",1.811,0.024,1.0,0,7.87,7.96,8.05,0.04,0.15,0.24,0.39,0.45,0.51,8.61,8.74,8.87,0.152261392566714,-0.521422069693723,-0.093574612685854,7.987
"ASCC 52",141.85624990051,-54.74329323903,"o",0.389,0.019,0.98,0,8.3,8.46,8.57,-0.12,0.08,0.26,1.01,1.14,1.28,11.16,11.42,11.71,0.208625364735294,-1.90938860120662,-0.0532869689129796,8.14
"ASCC 58",153.76451753758,-55.04464876209,"o",2.096,0.028,1.0,0,7.35,7.45,7.54,-0.03,0.06,0.2,0.52,0.6,0.68,8.31,8.48,8.65,0.101126984846543,-0.486074809970927,0.052273887255247,8.036
"ASCC 6",26.77778236359,57.72174009096,"o",0.628,0.029,1.0,0,8.0,8.07,8.15,0.1,0.22,0.34,0.79,0.84,0.91,10.73,10.89,11.03,-0.972588342343382,1.14516493470995,-0.070123910713113,9.166
"ASCC 60",158.19078478352,-58.58973377128,"o",0.185,0.028,0.04,2,7.38,7.58,7.77,-0.71,-0.49,-0.27,3.22,3.38,3.55,12.35,12.73,13.18,0.950462398774922,-3.38456476351734,0.012145750626149,7.93
"ASCC 61",161.56968162117,-57.03797642272,"o",0.333,0.021,0.98,0,9.08,9.15,9.23,-0.02,0.1,0.24,0.54,0.62,0.7,11.71,11.91,12.05,0.684715338582963,-2.30942604921948,0.115063433411846,7.788
"ASCC 62",162.60692914138,-59.96324814823,"o",0.404,0.017,1.0,0,8.28,8.38,8.48,0.16,0.34,0.49,0.76,0.85,0.95,11.65,11.87,12.08,0.743758146682038,-2.24583936060018,0.0162027916522088,7.712
"ASCC 63",164.11526147571,-60.49472299604,"o",0.164,0.023,0.36,0,8.71,8.79,8.89,-0.73,-0.58,-0.45,2.57,2.67,2.76,12.51,12.75,12.97,1.16845532968982,-3.34989167454228,-0.0058791488630139,7.718
"ASCC 65",167.86889038316,-61.1437347309,"o",0.385,0.026,0.97,1,6.94,7.11,7.27,-0.33,-0.07,0.17,1.16,1.32,1.47,11.28,11.64,12.04,0.768366674324922,-1.9844603851972,0.0182256365914115,7.617
"ASCC 66",168.37302076874,-55.42125602431,"o",1.025,0.02,0.81,0,7.49,7.6,7.7,-0.26,-0.07,0.09,0.48,0.57,0.66,9.78,10.0,10.21,0.329204637897979,-0.940577939533473,0.124996530696376,7.849
"ASCC 67",175.17503366666,-61.02828189908,"o",0.494,0.016,1.0,0,7.45,7.57,7.67,-0.24,-0.09,0.06,0.63,0.71,0.78,11.11,11.33,11.52,0.764261887263036,-1.67917659067474,0.0614078727532213,7.547
"ASCC 69",181.54946168825,-70.10266663149,"o",1.345,0.021,1.0,0,7.98,8.06,8.14,0.37,0.47,0.58,0.58,0.64,0.7,9.21,9.35,9.46,0.356833850424388,-0.642270147959556,-0.0569826613448827,7.792
"ASCC 71",185.08740739667,-67.50948487871,"o",0.784,0.024,1.0,0,8.14,8.27,8.38,-0.21,-0.02,0.16,0.72,0.81,0.9,10.19,10.39,10.59,0.595231979299989,-1.03320287710854,-0.0604309305500629,7.597
"ASCC 72",193.77160700816,-61.05796614699,"o",0.312,0.024,0.24,0,8.46,8.55,8.67,0.31,0.46,0.59,1.71,1.79,1.9,12.25,12.43,12.64,1.68379624477478,-2.55577695087578,0.134034539271842,6.927
"ASCC 73",189.25953562206,-67.19173476743,"o",1.554,0.023,1.0,0,8.19,8.27,8.36,0.25,0.38,0.51,0.59,0.66,0.72,8.9,9.03,9.16,0.333508767209312,-0.54369306525347,-0.0078790589430953,7.807
"ASCC 75",206.90076519894,-62.47094667411,"o",0.474,0.019,0.98,0,8.78,8.88,8.97,-0.49,-0.33,-0.17,1.47,1.56,1.65,10.96,11.14,11.34,1.0722891669313,-1.30679254601146,0.0299019115529749,7.17
"ASCC 77",212.75434023842,-62.31506849161,"o",0.879,0.022,1.0,0,8.07,8.14,8.23,0.07,0.19,0.3,0.74,0.79,0.85,9.96,10.09,10.24,0.697755290396019,-0.774143522638204,0.0242174844306466,7.464
"ASCC 79",229.78091960205,-60.83005093829,"o",1.185,0.031,0.97,0,6.28,6.44,6.61,-0.36,-0.19,0.01,0.7,0.87,1.01,9.33,9.61,9.87,0.638993655960001,-0.536626776447795,-0.0029561619497862,7.502
"ASCC 85",252.00873949845,-45.38844996913,"o",1.135,0.031,1.0,0,8.18,8.26,8.34,0.03,0.15,0.26,0.65,0.71,0.78,9.37,9.47,9.62,0.736248903584024,-0.26779263761651,0.036512958457395,7.391
"ASCC 87",255.63525984985,-28.42700365981,"o",1.298,0.027,0.99,0,8.24,8.33,8.4,-0.1,0.02,0.13,0.9,0.98,1.05,9.21,9.36,9.5,0.73489968166169,-0.0628810259652595,0.14471786058747,7.387
"ASCC 88",256.87080740602,-35.56957485328,"o",1.106,0.023,1.0,0,7.88,7.96,8.04,-0.11,0.02,0.13,2.14,2.2,2.26,9.61,9.77,9.9,0.884774492302439,-0.156005956649955,0.0860889613382057,7.239
"ASCC 9",41.69131306397,57.73491865879,"o",0.402,0.023,1.0,0,7.3,7.37,7.43,0.52,0.63,0.75,2.49,2.54,2.59,12.11,12.27,12.43,-2.1082933061406,1.90768506059507,-0.0401540940100687,10.407
"ASCC 90",264.62975363889,-34.82986911693,"o",1.713,0.033,0.95,0,8.42,8.56,8.71,-0.08,0.1,0.27,1.03,1.19,1.34,8.54,8.74,8.95,0.556584857719132,-0.0565672706818091,0.0223215199343657,7.566
"ASCC 93",271.92390215381,-22.34714637638,"o",0.454,0.038,0.13,3,8.09,8.3,8.52,-0.31,-0.05,0.17,4.28,4.5,4.73,12.04,12.55,13.14,3.20229475169095,0.461172153970999,-0.0223110831355611,4.941
"ASCC 94",273.91455918134,-14.88140058515,"o",0.603,0.033,0.97,0,7.09,7.22,7.35,-0.57,-0.33,-0.07,2.25,2.38,2.51,10.32,10.66,10.92,1.30486971031346,0.365450657066108,0.0608017310665209,6.827
"ASCC 95",274.09481081546,-25.73979174579,"o",0.836,0.024,0.99,0,7.6,7.72,7.82,-0.88,-0.72,-0.54,1.33,1.44,1.54,9.85,10.05,10.26,1.01427121225112,0.109540554181568,-0.0386330996572706,7.109
"ASCC 99",282.17399605235,-18.27356110465,"o",3.314,0.039,0.99,0,7.8,7.87,7.97,0.18,0.27,0.35,0.97,1.03,1.1,7.34,7.46,7.59,0.295306039997452,0.086189277064025,-0.0004045616944738,7.827
"AT 21",15.05446212915,55.40175311915,"o",0.769,0.026,1.0,0,8.48,8.55,8.64,0.06,0.2,0.32,0.9,0.96,1.03,10.41,10.54,10.68,-0.714882228456917,1.05178317203103,-0.122805598453017,8.899
"AT 4",126.20776725518,-8.54911098094,"o",2.231,0.033,0.99,0,7.87,8.03,8.19,-0.16,0.03,0.2,0.58,0.72,0.88,7.98,8.22,8.48,-0.260881706035811,-0.33244933725982,0.166070334129703,8.389
"Alessi-Teutsch 10",56.45033155153,29.85339306993,"o",2.492,0.04,1.0,0,6.2,6.32,6.42,-0.56,-0.45,-0.33,1.28,1.4,1.52,7.86,8.07,8.25,-0.369731984542741,0.118059168936537,-0.0939901541342406,8.493
"Alessi-Teutsch 11",304.0874352484,52.05574237471,"o",1.534,0.023,1.0,0,7.83,7.9,7.96,0.08,0.19,0.29,0.4,0.46,0.5,8.98,9.1,9.23,0.0295857511695523,0.651368027472255,0.148191667648067,8.119
"Alessi-Teutsch 12",255.35266798594,-59.03598155989,"o",1.647,0.031,1.0,0,7.95,8.04,8.12,0.36,0.46,0.57,0.33,0.42,0.48,8.77,8.91,9.06,0.518403661237949,-0.292614513061172,-0.0683980858877071,7.609
"Alessi-Teutsch 3",118.22657621876,-53.04826459587,"o",1.422,0.026,1.0,0,7.96,8.06,8.15,0.09,0.21,0.32,0.67,0.74,0.8,9.13,9.25,9.38,-0.0431136694287648,-0.688855882304756,-0.115891972087577,8.194
"Alessi-Teutsch 5",332.08485513582,61.06506663319,"o",1.123,0.031,1.0,0,6.58,6.7,6.8,-0.35,-0.23,-0.1,1.31,1.41,1.51,9.52,9.74,9.93,-0.220761559709461,0.856756893058635,0.106914542516435,8.387
"Alessi-Teutsch 8",180.67232096507,-60.95465689158,"o",0.989,0.022,1.0,0,8.5,8.57,8.63,0.29,0.4,0.49,0.41,0.47,0.53,9.83,9.96,10.08,0.446388673756335,-0.874128036762127,0.0637388420145319,7.725
"Alessi-Teutsch 9",51.03318595174,35.53768565172,"o",1.51,0.039,1.0,0,7.92,7.98,8.03,0.2,0.3,0.37,0.84,0.89,0.95,9.01,9.12,9.22,-0.575222430578892,0.270450321823868,-0.159835857622943,8.701
"Alessi 10",301.18014111376,-10.51631703228,"o",2.241,0.037,0.58,0,7.47,7.59,7.7,-0.35,-0.23,-0.09,0.69,0.77,0.84,8.17,8.3,8.47,0.363030749081481,0.223681291471837,-0.12309458180528,7.762
"Alessi 116",310.15890287536,20.19054196611,"o",1.077,0.025,0.99,0,8.9,8.99,9.09,-0.38,-0.2,-0.04,0.39,0.5,0.62,9.5,9.69,9.86,0.369115063285672,0.759427862451613,-0.155036586187655,7.79
"Alessi 12",310.90161733204,23.87257403158,"o",1.834,0.029,1.0,0,7.78,7.87,7.95,-0.06,0.04,0.13,0.42,0.47,0.53,8.61,8.75,8.85,0.210635297892525,0.50925978118931,-0.0703206501131288,7.928
"Alessi 13",52.40504926097,-35.80939633967,"o",9.525,0.054,0.97,0,7.75,7.84,7.96,0.11,0.19,0.28,0.74,0.82,0.9,5.01,5.13,5.25,-0.0326108818685568,-0.0507937945556089,-0.0457313091755209,8.155
"Alessi 144",112.64591288743,5.66561616927,"o",1.159,0.038,0.99,0,7.79,7.87,7.95,0.18,0.28,0.4,0.18,0.24,0.32,9.54,9.7,9.85,-0.721475998311451,-0.456475782181393,0.21376674201249,8.855
"Alessi 161",283.78933565875,12.30950184598,"o",0.572,0.027,1.0,0,8.29,8.36,8.42,0.19,0.31,0.43,1.27,1.32,1.38,11.06,11.2,11.35,1.23915514615531,1.21019103519774,0.182844146037021,6.988
"Alessi 17",113.83500389164,-15.09410397561,"o",0.216,0.027,1.0,0,8.32,8.45,8.61,-0.64,-0.48,-0.3,1.26,1.35,1.44,12.51,12.72,12.94,-2.1831429201689,-2.73011097841185,0.204163023131051,10.661
"Alessi 170",100.44407107484,-5.24503347622,"o",0.701,0.031,1.0,0,8.81,8.85,8.9,0.37,0.46,0.54,0.76,0.81,0.87,10.67,10.78,10.9,-1.14777735814544,-0.849441987414317,-0.0686564498745044,9.309
"Alessi 19",274.84490633936,12.41765081917,"o",1.71,0.041,0.98,0,7.13,7.24,7.33,-0.15,-0.03,0.08,0.55,0.63,0.71,8.85,8.99,9.15,0.466012690824293,0.398348545443069,0.178101769768881,7.666
"Alessi 190",238.60284070984,-47.70152402066,"o",1.756,0.032,1.0,0,8.31,8.41,8.49,0.14,0.23,0.33,0.96,1.02,1.09,8.61,8.73,8.85,0.489825217014499,-0.261994901776664,0.0853261730895501,7.637
"Alessi 191",282.10856842593,22.00627804678,"o",0.987,0.021,0.48,0,8.34,8.59,8.86,-0.43,-0.06,0.29,0.73,0.96,1.26,9.61,10.11,10.63,0.631497049877194,0.819730717994726,0.231100521558502,7.535
"Alessi 2",71.6477962134,55.18628451366,"o",1.623,0.03,1.0,0,8.33,8.4,8.46,0.19,0.27,0.36,0.84,0.89,0.94,8.86,8.96,9.06,-0.545145483967605,0.285599469068689,0.111796514756973,8.672
"Alessi 20",2.26145493642,58.66444106429,"o",2.336,0.031,0.95,0,6.64,6.72,6.8,-0.24,-0.16,-0.09,1.39,1.47,1.54,8.07,8.19,8.3,-0.199789789630623,0.384827412260156,0.0136644567061261,8.331
"Alessi 21",107.72348579595,-9.57742186456,"o",1.746,0.032,1.0,0,7.7,7.79,7.88,0.36,0.44,0.52,0.13,0.21,0.27,8.73,8.88,9.02,-0.431876650719783,-0.412202171931455,0.0418358710257529,8.564
"Alessi 22",357.64795864265,36.10065021466,"o",2.802,0.03,0.92,0,8.58,8.74,8.9,-0.2,-0.02,0.18,0.5,0.65,0.77,7.46,7.69,7.97,-0.104035508476921,0.294674360405537,-0.104900145566112,8.231
"Alessi 24",260.77730164506,-62.66046675749,"o",2.06,0.033,0.99,0,7.28,7.41,7.51,-0.2,-0.07,0.03,0.4,0.46,0.55,8.38,8.54,8.7,0.423304183215348,-0.254365405240334,-0.0878206778050776,7.703
"Alessi 3",109.17468761411,-46.1541957362,"o",3.575,0.028,0.99,0,8.54,8.63,8.72,0.36,0.44,0.52,0.25,0.32,0.39,7.15,7.28,7.43,-0.0601879286122493,-0.269241211927683,-0.0328420136731644,8.187
"Alessi 31",267.7154441462,-11.84471720923,"o",1.474,0.038,0.83,0,8.01,8.1,8.19,0.22,0.32,0.43,2.31,2.37,2.44,9.12,9.24,9.36,0.673679942606336,0.184917450163566,0.134277277227499,7.451
"Alessi 33",105.76119694805,-26.43142016275,"o",1.246,0.027,1.0,0,6.66,6.81,6.94,-0.4,-0.28,-0.15,0.35,0.44,0.55,9.43,9.63,9.84,-0.442241821388956,-0.705061192562914,-0.0944177998319953,8.593
"Alessi 34",119.55886062953,-50.71319231018,"o",2.043,0.03,0.99,0,6.97,7.1,7.19,-0.03,0.09,0.2,0.85,0.92,1.0,8.44,8.57,8.75,-0.0465308565056403,-0.505964050458391,-0.0571401246446819,8.184
"Alessi 36",106.7627563456,-37.72336569238,"o",3.601,0.027,1.0,0,7.23,7.33,7.42,-0.12,-0.03,0.06,0.55,0.62,0.7,7.13,7.25,7.4,-0.099616602325673,-0.255530457467913,-0.0232709045534744,8.226
"Alessi 37",341.89816242088,46.50642413958,"o",1.381,0.023,1.0,0,8.24,8.31,8.38,0.24,0.34,0.42,0.53,0.58,0.63,9.22,9.31,9.41,-0.145972977169215,0.698870525564081,-0.099564960112603,8.297
"Alessi 40",279.31963221877,-19.1796679653,"o",1.737,0.033,1.0,0,8.14,8.21,8.3,0.1,0.2,0.3,1.37,1.43,1.48,8.71,8.81,8.91,0.557527526734272,0.141495056531337,-0.0164253691710312,7.566
"Alessi 43",132.64478079755,-41.71994402519,"o",1.06,0.026,0.66,1,6.41,6.56,6.73,-0.29,-0.1,0.1,1.1,1.24,1.36,9.7,9.98,10.28,-0.128526341547074,-0.982096455699066,0.0682200532071934,8.309
"Alessi 5",160.82669730293,-61.08572768693,"o",2.509,0.033,1.0,0,7.3,7.41,7.49,0.03,0.13,0.23,0.79,0.85,0.92,7.95,8.07,8.22,0.127399211481371,-0.390655254458596,0.0271503701496225,8.004
"Alessi 50",95.52347030993,21.07684118909,"o",0.302,0.032,0.96,0,9.37,9.43,9.49,-0.31,-0.21,-0.09,1.49,1.56,1.64,12.08,12.23,12.37,-2.73704528867069,-0.527485177989842,0.210412863937777,10.872
"Alessi 53",97.35413250715,9.17588577654,"o",0.165,0.033,0.75,0,8.26,8.41,8.57,-0.84,-0.64,-0.45,2.18,2.28,2.39,12.41,12.64,12.91,-3.12128025020398,-1.27779155386802,0.0105365410463301,11.316
"Alessi 6",220.06558129197,-66.10198207065,"o",1.13,0.024,1.0,0,8.56,8.62,8.68,0.19,0.29,0.41,0.83,0.89,0.96,9.64,9.75,9.87,0.612201774552798,-0.641826924958278,-0.0457385954908143,7.537
"Alessi 60",105.60718456854,-1.14749121176,"o",0.334,0.034,1.0,0,8.42,8.53,8.62,-0.09,0.06,0.19,0.76,0.82,0.89,12.0,12.15,12.33,-2.19768040723854,-1.55088853197663,0.13745470025719,10.436
"Alessi 62",284.0636208065,21.59329909718,"o",1.615,0.023,1.0,0,8.68,8.75,8.82,0.09,0.18,0.27,1.04,1.1,1.16,8.91,9.03,9.16,0.382410289520866,0.503955080154838,0.136850600066933,7.756
"Alessi 72",106.5915572543,-16.19397169505,"o",0.764,0.021,1.0,0,7.45,7.55,7.66,-0.36,-0.26,-0.15,0.6,0.68,0.74,10.32,10.49,10.63,-0.819597568680583,-0.943882338239469,-0.0459505709509719,8.991
"Alessi 8",232.50341271221,-51.17426353118,"o",1.489,0.026,0.99,0,7.93,8.01,8.1,-0.13,-0.02,0.1,0.48,0.57,0.65,8.89,9.03,9.2,0.532624080726973,-0.351371382154449,0.0878468500821337,7.598
"Alessi 80B",268.18404780549,-38.75328293735,"o",0.8,0.035,0.99,0,7.18,7.26,7.32,-0.3,-0.18,-0.03,0.98,1.04,1.1,10.17,10.35,10.52,1.15700018079245,-0.156347083127118,-0.0901272406908854,6.967
"Alessi 84",111.31571780004,54.89188536704,"o",5.044,0.04,1.0,0,7.99,8.09,8.17,0.2,0.28,0.38,0.38,0.46,0.54,6.41,6.55,6.69,-0.17375704732043,0.0550154166100338,0.133575401230351,8.296
"Alessi 9",265.81101337887,-47.14511004356,"o",4.78,0.037,0.99,0,8.32,8.41,8.5,0.24,0.31,0.38,0.41,0.49,0.56,6.55,6.66,6.8,0.20396027150553,-0.0580785701519826,0.0073989972512416,7.918
"Alessi 94",6.03564212993,46.57587576428,"o",1.781,0.032,0.99,0,8.15,8.25,8.35,0.22,0.35,0.46,0.18,0.26,0.34,8.56,8.75,8.92,-0.254572826876977,0.476942284020851,-0.113102741776735,8.39
"Alessi 96",74.19458141165,38.44071402131,"o",3.065,0.04,1.0,0,7.76,7.89,8.03,-0.09,0.01,0.12,0.95,1.02,1.08,7.45,7.61,7.76,-0.322949980579988,0.0780330090698464,0.0254961369006698,8.445
"Alessi J0601.6+3531",90.40253880374,35.58132958113,"o",0.587,0.019,1.0,0,8.29,8.39,8.48,-0.03,0.09,0.23,1.48,1.55,1.63,11.08,11.25,11.43,-1.7627238068281,0.124565332814099,0.24027566992662,9.886
"Alessi J0622.4+2114",95.58142477335,21.24776715725,"o",0.296,0.029,1.0,0,8.32,8.45,8.58,-0.4,-0.23,-0.07,1.62,1.7,1.78,12.41,12.65,12.89,-3.32204986218825,-0.632647186282679,0.253971153746568,11.462
"Alessi J1933.7+1147",293.42661335989,11.82766001618,"o",1.012,0.029,1.0,0,7.0,7.22,7.5,0.1,0.33,0.54,0.0,0.07,0.19,9.94,10.19,10.45,0.724446036299003,0.8129901475484,-0.0325994434761351,7.442
"Alessi J2327.0+55",352.05036435978,55.63428267379,"o",0.516,0.014,0.99,0,8.11,8.25,8.39,0.34,0.52,0.67,0.71,0.82,0.95,11.25,11.5,11.78,-0.722476711317754,1.85071787498548,-0.142530304202109,9.036
"Andrews-Lindsay 5",281.08001518709,-4.93050029898,"o",0.209,0.038,0.04,1,7.88,8.08,8.27,-1.06,-0.82,-0.64,4.9,5.11,5.32,11.74,12.22,12.68,2.46015426379795,1.29347611630236,0.002903333278643,5.808
"Antalova 1",262.22734286963,-31.61274998974,"o",0.651,0.018,1.0,0,7.45,7.67,7.91,-1.14,-0.95,-0.75,1.91,2.04,2.2,9.84,10.09,10.43,1.03921424568702,-0.0762123134753868,0.0681784565738254,7.083
"Antalova 2",262.49430911582,-32.55977714831,"o",0.871,0.036,0.8,3,6.88,7.13,7.42,-1.31,-0.97,-0.68,2.02,2.24,2.51,10.66,11.2,11.72,1.73143235781897,-0.147202595741642,0.0643450063165323,6.392
"Archinal 1",283.74942758722,5.57736679246,"o",0.538,0.034,0.77,2,6.66,6.83,6.98,0.65,0.8,0.97,4.94,5.13,5.31,11.51,11.89,12.22,1.87317689485823,1.47929126369767,0.10977756041244,6.422
"Auner 1",106.05716511679,-19.75869517227,"o",0.097,0.029,0.2,0,9.29,9.39,9.48,-0.42,-0.24,-0.09,0.87,1.0,1.12,14.32,14.61,14.9,-5.1169322184719,-6.54656239859942,-0.84298649793132,14.769
