"COCD","Name","GLON","GLAT","Dist","E(B-V)","logt","DM(B)","I(M.B)","DM(V)","I(M.V)","DM(J)","I(M.J)","DM(H)","I(M.H)","DM(Ks)","I(M.Ks)","_RA.icrs","_DE.icrs"
1086,"ASCC 86",330.63,-10.38,700,0.12,7.07,9.717,-4.146,9.597,-3.964,9.33,-3.951,9.296,-3.954,9.27,-4.071,255.4814,-59.0108
1087,"ASCC 87",355.15,8.02,900,0.26,8.52,10.837,-3.411,10.577,-3.535,9.998,-4.336,9.924,-4.626,9.868,-4.683,255.7413,-28.4445
1088,"ASCC 88",349.88,3.08,1900,0.5,7.17,13.445,-7.492,12.944,-7.4,11.831,-7.35,11.689,-7.366,11.58,-7.388,256.6845,-35.6042
1089,"ASCC 89",329.04,-14.56,500,0.1,7.03,8.905,-3.832,8.805,-3.692,8.582,-3.571,8.554,-3.579,8.532,-3.601,260.8037,-62.641
1090,"ASCC 90",354.28,-1.91,500,0.3,8.81,9.725,-2.357,9.425,-2.732,8.757,-4.068,8.672,-4.422,8.607,-4.515,264.7683,-34.8035
1091,"ASCC 91",353.13,-4.93,800,0.1,8.65,9.925,-2.369,9.825,-2.847,9.602,-4.081,9.574,-4.442,9.552,-4.569,267.2166,-37.3579
1092,"ASCC 92",15.35,7.63,650,0.25,9.01,10.09,-1.005,9.84,-1.412,9.284,-2.578,9.212,-2.653,9.158,-2.707,267.7737,-11.883
1093,"ASCC 93",8.33,-1.04,2500,0.28,7.22,13.138,-6.612,12.858,-6.411,12.235,-6.07,12.155,-6.183,12.094,-6.142,272.0454,-22.2549
1094,"ASCC 94",15.54,0.92,850,0.2,8.78,10.467,-2.581,10.267,-3.044,9.822,-4.866,9.765,-5.426,9.721,-5.614,273.892,-14.991
1095,"ASCC 95",6.15,-4.27,1500,0.32,8.04,12.192,-5.018,11.872,-5.266,11.16,-6.558,11.068,-7.285,10.999,-7.418,274.0085,-25.713
1096,"ASCC 96",0.63,-8.14,750,0.15,8.27,9.99,-2.57,9.84,-2.573,9.506,-2.795,9.463,-3.018,9.431,-3.286,275.0204,-32.3686
1097,"ASCC 97",14.16,-5.56,800,0.4,7.88,11.156,-4.439,10.755,-4.98,9.865,-6.817,9.751,-7.401,9.664,-7.502,279.2274,-19.2221
1098,"ASCC 98",1.54,-12.94,800,0.04,8.33,9.679,-2.604,9.639,-2.997,9.55,-4.723,9.539,-5.279,9.53,-5.458,280.6437,-33.6364
1099,"ASCC 99",15.89,-7.91,280,0.15,8.71,7.851,-0.741,7.701,-0.848,7.367,-1.189,7.324,-1.275,7.292,-1.315,282.2613,-18.7294
1100,"ASCC 100",64.37,12.67,350,0.02,8.01,7.802,-1.782,7.782,-1.722,7.737,-1.653,7.732,-1.622,7.727,-1.629,285.3931,33.5667
1101,"ASCC 101",67.99,11.59,350,0.0,8.52,7.72,-1.583,7.72,-1.614,7.72,-1.789,7.72,-1.786,7.72,-1.805,288.3993,36.3276
1102,"ASCC 102",63.27,6.64,1500,0.0,8.79,10.88,-2.023,10.88,-3.114,10.88,-5.678,10.88,-6.386,10.88,-6.631,291.2119,29.95
1103,"ASCC 103",69.48,7.22,700,0.0,8.37,9.225,-2.667,9.225,-2.635,9.225,-2.936,9.225,-3.055,9.225,-3.079,294.0403,35.6682
1104,"ASCC 104",54.9,-1.55,800,0.33,7.71,10.868,-4.007,10.538,-3.886,9.803,-3.864,9.709,-3.862,9.638,-3.794,294.7139,18.6919
1105,"ASCC 105",62.78,2.16,500,0.09,8.0,8.864,-3.107,8.774,-3.397,8.574,-5.046,8.548,-5.702,8.528,-5.9,295.4281,27.3755
1106,"ASCC 106",40.34,-10.73,500,0.35,8.42,9.93,-2.482,9.58,-2.668,8.801,-3.552,8.701,-3.894,8.625,-3.983,295.7771,1.5958
1107,"ASCC 107",58.86,-1.89,700,0.2,8.41,10.045,-2.624,9.845,-2.582,9.4,-2.639,9.343,-2.691,9.299,-2.811,297.1298,21.9557
1108,"ASCC 108",74.45,5.99,1100,0.05,8.64,10.412,-2.063,10.362,-2.783,10.251,-4.963,10.236,-5.635,10.226,-5.822,298.4462,39.3679
1109,"ASCC 109",70.33,3.51,450,0.0,8.31,8.266,-2.04,8.266,-2.014,8.266,-2.099,8.266,-2.108,8.266,-2.158,298.4957,34.5716
1110,"ASCC 110",70.45,1.4,800,0.15,8.75,10.13,-2.589,9.98,-2.904,9.646,-4.282,9.603,-4.698,9.571,-4.776,300.7441,33.5725
1111,"ASCC 111",74.62,2.08,1600,0.3,7.05,12.251,-5.555,11.951,-5.385,11.283,-5.494,11.198,-5.532,11.133,-5.514,302.8009,37.45
1112,"ASCC 112",87.47,9.3,550,0.08,8.15,9.03,-2.402,8.95,-2.708,8.772,-3.714,8.749,-4.084,8.732,-4.221,304.1134,52.0975
1113,"ASCC 113",82.88,-6.65,450,0.0,8.14,8.266,-2.231,8.266,-2.283,8.266,-2.545,8.266,-2.701,8.266,-2.754,317.9925,38.5988
1114,"ASCC 114",97.07,1.0,550,0.26,7.75,9.768,-2.648,9.508,-2.574,8.929,-2.355,8.855,-2.309,8.799,-2.273,325.0058,53.9681
1115,"ASCC 115",97.45,-2.54,600,0.15,8.59,9.506,-1.86,9.356,-1.939,9.022,-2.228,8.979,-2.21,8.947,-2.336,329.2167,51.4821
1116,"ASCC 116",99.49,-0.32,5000,0.51,7.03,15.587,-7.056,15.076,-6.833,13.941,-6.573,13.795,-6.663,13.685,-6.775,329.6382,54.4859
1117,"ASCC 117",104.85,5.39,1200,0.3,6.67,11.626,-6.496,11.326,-6.255,10.658,-5.52,10.573,-5.726,10.508,-5.646,331.2519,62.2671
1118,"ASCC 118",104.48,4.21,900,0.3,7.02,11.001,-4.287,10.701,-4.068,10.033,-3.846,9.948,-3.775,9.883,-3.674,332.0865,61.0959
1119,"ASCC 119",97.73,-8.39,1000,0.1,8.83,10.41,-1.674,10.31,-2.785,10.087,-5.005,10.059,-5.655,10.037,-5.835,334.7998,46.8966
1120,"ASCC 120",104.73,-0.6,2500,0.62,7.08,14.533,-7.588,13.912,-7.808,12.532,-9.737,12.355,-10.454,12.221,-10.782,337.6399,57.207
1121,"ASCC 121",103.56,-2.59,2500,0.3,7.73,13.22,-5.277,12.92,-5.434,12.252,-7.568,12.167,-8.277,12.102,-8.501,337.6718,54.8989
1122,"ASCC 122",95.91,-15.9,700,0.1,6.98,9.635,-4.41,9.535,-4.216,9.312,-4.082,9.284,-4.053,9.262,-4.093,338.3056,39.6114
1123,"ASCC 123",104.74,-4.0,250,0.1,8.41,7.4,-1.475,7.3,-1.52,7.077,-1.762,7.049,-1.82,7.027,-1.861,340.6417,54.256
1124,"ASCC 124",101.73,-11.48,600,0.15,8.48,9.506,-2.17,9.356,-2.172,9.022,-2.218,8.979,-2.238,8.947,-2.247,342.0255,46.2525
1125,"ASCC 125",110.17,2.76,1500,0.71,7.01,13.792,-6.926,13.081,-6.58,11.501,-6.599,11.298,-6.705,11.144,-6.627,344.0594,62.7419
1126,"ASCC 126",106.58,-8.46,800,0.1,7.26,9.925,-2.937,9.825,-2.836,9.602,-2.661,9.574,-2.659,9.552,-2.645,346.5702,51.0425
1127,"ASCC 127",112.26,4.13,350,0.1,7.82,8.13,-2.398,8.03,-2.336,7.807,-2.324,7.779,-2.349,7.757,-2.348,347.1039,64.8453
1128,"ASCC 128",109.93,-5.96,900,0.13,8.44,10.304,-2.711,10.174,-2.756,9.885,-2.941,9.848,-3.048,9.819,-3.163,350.1354,54.6009
1129,"ASCC 129",111.27,-5.37,1000,0.18,8.69,10.738,-2.305,10.558,-2.47,10.157,-3.698,10.106,-4.218,10.067,-4.48,351.9914,55.6003
1130,"ASCC 130",116.2,0.33,3400,0.52,7.03,14.79,-5.965,14.269,-5.759,13.112,-5.622,12.963,-5.546,12.85,-5.5,358.1872,62.4322
