"COCD","Name","GLON","GLAT","Dist","E(B-V)","logt","DM(B)","I(M.B)","DM(V)","I(M.V)","DM(J)","I(M.J)","DM(H)","I(M.H)","DM(Ks)","I(M.Ks)","_RA.icrs","_DE.icrs"
499,"NGC 7092",92.41,-2.23,311,0.01,8.57,7.505,-2.611,7.495,-2.648,7.473,-2.834,7.47,-2.938,7.468,-2.962,322.9458,48.4471
500,"IC 1396",99.28,3.74,835,0.47,6.69,11.536,-6.287,11.065,-6.02,10.019,-5.608,9.885,-5.534,9.783,-5.575,324.7236,57.4834
501,"NGC 7160",104.0,6.46,794,0.35,7.66,10.934,-4.855,10.584,-4.764,9.805,-4.519,9.705,-4.488,9.629,-4.387,328.3931,62.5982
502,"NGC 7209",95.51,-7.36,1167,0.16,8.65,10.991,-3.212,10.831,-3.383,10.475,-4.11,10.429,-4.307,10.395,-4.362,331.3136,46.4744
503,"NGC 7235",102.7,0.78,2823,0.93,6.76,16.068,-7.035,15.137,-6.797,13.067,-6.596,12.802,-6.815,12.6,-6.49,333.1046,57.2677
504,"NGC 7243",98.85,-5.52,808,0.22,8.09,10.439,-4.082,10.219,-4.042,9.729,-3.958,9.667,-3.989,9.619,-3.968,333.7712,49.8977
505,"IC 1442",101.36,-2.2,2346,0.54,7.71,14.067,-5.146,13.526,-5.817,12.324,-7.721,12.17,-8.605,12.053,-8.862,334.1174,54.0506
506,"Pismis-Moreno 1",106.72,5.31,900,0.5,7.55,11.822,-3.823,11.321,-3.675,10.208,-3.405,10.066,-3.432,9.957,-3.387,334.6866,63.2692
507,"NGC 7281",104.44,0.29,1620,0.5,7.86,13.099,-4.606,12.598,-4.445,11.485,-4.393,11.342,-4.442,11.234,-4.426,336.315,57.8151
508,"NGC 7380",107.1,-0.88,2222,0.6,6.72,14.195,-5.857,13.594,-5.525,12.259,-5.247,12.087,-5.37,11.957,-5.19,341.7653,58.1164
509,"NGC 7438",106.7,-4.9,600,0.4,8.93,10.532,-1.652,10.131,-2.128,9.241,-3.837,9.127,-4.453,9.04,-4.597,344.326,54.335
510,"Cep OB3",111.26,2.98,700,0.55,7.44,11.481,-5.318,10.93,-5.127,9.706,-4.917,9.549,-4.858,9.43,-4.768,346.0436,63.3946
511,"NGC 7510",110.9,0.06,2075,0.9,7.22,15.276,-5.879,14.375,-5.829,12.372,-6.116,12.115,-6.04,11.92,-5.974,347.7608,60.565
512,"NGC 7654",112.81,0.43,1421,0.65,7.84,13.429,-5.05,12.778,-5.136,11.331,-5.682,11.146,-5.9,11.005,-5.885,351.1855,61.5862
513,"Czernik 43",112.84,0.13,2500,0.7,7.7,14.861,-6.959,14.16,-7.188,12.602,-8.976,12.402,-9.506,12.25,-9.741,351.4499,61.3124
514,"Stock 12",111.44,-8.48,400,0.05,8.45,8.215,-1.935,8.165,-2.01,8.054,-2.58,8.039,-2.601,8.029,-2.597,353.8878,52.6902
515,"Aveni-Hunter 1",110.55,-12.58,500,0.1,8.26,8.905,-1.47,8.805,-1.436,8.582,-2.041,8.554,-2.187,8.532,-2.201,354.4434,48.5128
516,"King 12",116.12,-0.13,2378,0.59,7.12,14.301,-6.865,13.71,-6.794,12.397,-6.96,12.229,-7.006,12.1,-6.967,358.242,61.966
517,"NGC 7788",116.43,-0.78,2374,0.48,7.48,13.846,-5.416,13.365,-5.523,12.297,-5.986,12.16,-6.202,12.056,-6.224,359.178,61.399
518,"NGC 7789",115.51,-5.38,2337,0.22,9.23,12.745,-4.114,12.525,-5.041,12.035,-7.386,11.973,-8.178,11.925,-8.465,359.3092,56.7087
519,"Frolov 1",116.56,-0.57,2560,0.6,7.66,14.502,-4.99,13.901,-4.793,12.566,-4.37,12.394,-4.291,12.264,-4.188,359.3524,61.6315
520,"NGC 7790",116.58,-1.01,2944,0.53,7.91,14.519,-4.555,13.988,-4.602,12.808,-5.757,12.657,-5.982,12.542,-6.029,359.5829,61.2051
1001,"ASCC 1",118.15,0.19,4000,0.16,8.25,13.666,-4.571,13.506,-5.317,13.15,-8.165,13.104,-8.83,13.07,-9.033,2.3972,62.6726
1002,"ASCC 2",118.46,-6.89,1200,0.1,8.83,10.806,-2.711,10.706,-3.791,10.483,-5.951,10.455,-6.402,10.433,-6.697,4.9627,55.7072
1003,"ASCC 3",120.02,-7.48,1700,0.17,7.9,11.849,-4.038,11.679,-3.918,11.301,-4.055,11.252,-4.019,11.215,-4.019,7.7864,55.277
1004,"ASCC 4",123.13,-1.29,750,0.3,8.34,10.605,-3.562,10.305,-4.561,9.637,-6.907,9.552,-7.71,9.487,-7.938,13.2756,61.5811
1005,"ASCC 5",123.85,-7.02,1500,0.25,7.03,11.905,-4.445,11.655,-4.231,11.099,-4.005,11.027,-3.951,10.973,-3.916,14.4824,55.8402
1006,"ASCC 6",130.34,-4.34,1200,0.3,8.17,11.626,-3.66,11.326,-3.786,10.658,-4.578,10.573,-5.071,10.508,-5.12,26.7925,57.7279
1007,"ASCC 7",131.54,-2.77,2000,0.5,7.36,13.556,-4.909,13.055,-5.608,11.942,-7.051,11.8,-7.905,11.691,-8.051,29.7185,58.9701
1008,"ASCC 8",134.02,-1.33,2200,0.55,6.76,13.968,-6.178,13.417,-5.886,12.193,-5.785,12.036,-5.961,11.917,-5.848,35.1932,59.6047
1009,"ASCC 9",137.87,-1.76,2900,0.9,6.79,16.003,-8.328,15.102,-8.162,13.099,-7.946,12.842,-7.952,12.647,-7.871,41.7096,57.7256
1010,"ASCC 10",155.6,-17.79,700,0.1,8.65,9.635,-2.444,9.535,-2.551,9.312,-2.882,9.284,-3.117,9.262,-3.111,51.7394,35.0339
1011,"ASCC 11",150.56,-9.24,650,0.15,8.61,9.68,-3.657,9.53,-3.807,9.196,-5.242,9.153,-5.837,9.121,-6.077,53.0582,44.8344
1012,"ASCC 12",163.03,-1.86,500,0.15,8.42,9.11,-1.261,8.96,-1.342,8.626,-1.535,8.583,-1.772,8.551,-1.75,72.4718,41.7308
1013,"ASCC 13",163.4,3.26,800,0.2,7.71,10.335,-4.235,10.135,-4.128,9.69,-4.048,9.633,-4.033,9.589,-3.981,78.3283,44.5804
1014,"ASCC 14",171.83,-1.03,1100,0.18,8.61,10.945,-2.917,10.765,-3.086,10.364,-4.437,10.313,-5.158,10.274,-5.337,80.1238,35.2249
1015,"ASCC 15",170.98,0.07,1400,0.28,8.6,11.879,-2.667,11.599,-3.244,10.976,-7.309,10.896,-8.053,10.835,-8.396,80.6436,36.5497
1016,"ASCC 16",200.98,-18.35,460,0.09,6.93,8.683,-4.186,8.593,-3.991,8.393,-3.566,8.367,-3.554,8.347,-3.591,81.144,1.7984
1017,"ASCC 17",176.56,-3.08,2000,0.32,7.12,12.817,-5.347,12.497,-5.155,11.785,-4.922,11.693,-4.917,11.624,-4.914,81.2901,30.167
1018,"ASCC 18",202.08,-18.49,500,0.06,7.12,8.741,-3.374,8.681,-3.249,8.547,-2.997,8.53,-3.002,8.517,-3.049,81.5316,0.8193
1019,"ASCC 19",204.88,-19.47,350,0.01,7.64,7.761,-2.82,7.751,-2.729,7.729,-2.609,7.726,-2.627,7.724,-2.661,81.9389,-1.9744
1020,"ASCC 20",201.67,-17.53,450,0.04,7.35,8.43,-3.375,8.39,-3.281,8.301,-3.133,8.29,-3.178,8.281,-3.199,82.1808,1.627
