"COCD","Name","GLON","GLAT","Dist","E(B-V)","logt","r1","r2","Sol","Sam","N2","rc","e_rc","rt","e_rt","k","e_k","logM","e_logM","_RA.icrs","_DE.icrs"
78,"NGC 1960",174.53,1.07,1318,0.22,7.62,0.09,0.27,4,2,37,0.7,0.3,9.0,1.9,10.7,5.4,2.282,0.275,84.07,34.1427
81,"Stock 10",171.62,3.55,380,0.08,8.42,0.1,0.32,1,4,15,1.6,0.5,3.4,0.3,7.8,0.9,1.127,0.133,84.7387,37.9257
82,"NGC 2099",177.64,3.09,1383,0.3,8.54,0.13,0.32,4,2,77,1.7,0.3,11.4,1.6,6.1,1.1,2.582,0.193,88.0764,32.5487
87,"NGC 2168",186.6,2.24,830,0.26,8.18,0.2,0.95,4,3,186,1.8,0.2,17.9,2.3,8.8,0.9,3.237,0.171,92.2766,24.349
93,"Collinder 89",188.65,3.83,800,0.48,7.5,0.15,0.5,4,1,11,1.2,0.6,5.5,0.9,2.1,1.0,1.713,0.217,94.8703,23.3051
95,"NGC 2232",214.54,-7.42,325,0.03,7.49,0.12,0.6,1,1,11,2.1,0.8,4.9,0.6,2.6,0.5,1.616,0.165,96.9703,-4.7986
98,"NGC 2244",206.3,-2.08,1445,0.4,6.7,0.14,0.32,4,1,12,1.4,0.7,11.0,2.7,1.2,0.7,2.549,0.319,97.9693,4.9432
103,"Ruprecht 1",223.99,-9.69,1100,0.15,8.76,0.08,0.25,2,2,10,2.1,1.2,4.6,0.7,3.2,0.5,1.462,0.214,99.0989,-14.1829
107,"NGC 2264",202.95,2.19,660,0.04,6.81,0.16,0.73,3,1,18,2.0,0.9,15.0,6.4,0.9,0.3,3.03,0.553,100.2431,9.8797
109,"NGC 2270",208.98,-0.07,1400,0.06,8.64,0.11,0.32,4,1,12,5.8,2.8,10.9,2.0,0.7,0.4,2.54,0.245,100.9928,3.4846
110,"NGC 2287",231.02,-10.45,693,0.03,8.45,0.16,0.5,4,3,74,2.1,0.3,8.5,1.0,7.1,0.9,2.313,0.161,101.4992,-20.7594
111,"NGC 2281",174.9,16.88,558,0.06,8.7,0.12,0.43,4,2,33,0.6,0.2,6.5,2.0,13.7,4.2,1.944,0.401,102.0687,41.0791
112,"NGC 2301",212.56,0.28,858,0.03,8.31,0.08,0.25,4,1,23,0.7,0.3,5.0,1.8,10.5,4.9,1.577,0.476,102.9391,0.4587
118,"NGC 2323",221.66,-1.33,881,0.21,8.13,0.1,0.37,4,2,61,1.5,0.3,8.7,1.2,7.3,1.4,2.313,0.19,105.6704,-8.372
119,"vdb 92, vdBergh 92",224.57,-2.49,1500,0.25,7.59,0.08,0.2,3,2,13,4.0,2.2,8.2,2.0,1.3,0.7,2.178,0.318,105.9734,-11.4888
