"Seq","GLON","GLAT","RAJ2000","DEJ2000","D","d","Neb","n_Neb","Type","Com","n_Com","RA","DEC"
"DBSB_40, DBSB2003_40",281.76,-2.02,"10 01 22","-57 43 10",0.9,0.9,"in Bran280","nan","IRCC","mP","nan",150.33556,-57.7225
"DBSB_41, DBSB2003_41",281.78,-2.02,"10 01 28","-57 43 49",0.9,0.9,"in Bran280","nan","IRCC","mP","nan",150.36546,-57.73453
"DBSB_43, DBSB2003_43",282.96,-3.07,"10 03 55","-59 16 58",3.4,2.0,"in vdBH-RN73","nan","IRGr","R=1.7 LD=1.7 Opt/IR","nan",150.97099,-59.28117
"DBSB_44, DBSB2003_44",283.15,-0.62,"10 15 51","-57 23 38",1.0,0.7,"in Hoffleit2=GeGe283.1-0.6","nan","IRC","R=2.8 LD=0.8","nan",153.96011,-57.38941
"DBSB_45, DBSB2003_45",283.88,-0.91,"10 19 11","-58 02 21",1.8,1.2,"in Hoffleit8=G284.0-0.9,in GeGe283.9-0.6","nan","IRC","R=5.3 LD=2.8","nan",154.7972,-58.03515
"DBSB_48, DBSB2003_48",285.26,-0.05,"10 31 29","-58 02 01",1.5,1.5,"in Hoffleit18=G285.3+0.0","nan","IRC","R=5.2 LD=2.3","nan",157.86891,-58.03671
"DBSB_51, DBSB2003_51",286.23,-1.32,"10 32 58","-59 37 25",1.5,1.5,"in vdBH-RN39","nan","IRGr","R=4.4 LD=1.9 Opt/IR","nan",158.23634,-59.62337
"DBSB_53, DBSB2003_53",287.22,-3.06,"10 32 43","-61 37 12",2.3,2.3,"inc vdBH-RN38,in ESO128EN4=Bran311","nan","IROC","R=2.5 LD=1.7 Opt/IR","nan",158.17889,-61.62472
"DBSB_54, DBSB2003_54",287.41,-0.58,"10 43 57","-59 32 56",2.0,2.0,"in G287.4-0.6=G287.393-0.630","nan","IRC","R=3.0 LD=1.7","nan",160.98426,-59.55324
"DBSB_56, DBSB2003_56",288.98,0.79,"10 59 41","-59 01 16",0.8,0.7,"in ESO128EN25","nan","IRC","not PN","nan",164.92981,-59.02177
"DBSB_57, DBSB2003_57",289.77,-1.22,"10 58 44","-61 10 43",2.4,1.6,"in G289.8-1.1=G289.755-1.152, in RCW54","nan","IRC","R=8.5 LD=5.9","e",164.68115,-61.17787
"DBSB_58, DBSB2003_58",289.92,-0.78,"11 01 19","-60 50 24",0.6,0.5,"in Hoffleit46,in MSH11-61B=G289.9-0.8,in GG7","nan","IRC","R=8.5 LD=1.5","nan",165.34006,-60.84007
"DBSB_59, DBSB2003_59",290.37,1.66,"11 12 18","-58 46 18",2.0,1.0,"in Hoffleit54=Gum36=RCW54d, in RCW54","nan","IRC","R=2.8 LD=1.6","nan",168.06685,-58.77182
"DBSB_60, DBSB2003_60",291.05,-2.08,"11 05 37","-62 28 57",1.3,1.3,"in Bran339","nan","IRC","nan","nan",166.41081,-62.48566
"DBSB_61, DBSB2003_61",291.21,-0.18,"11 13 01","-60 47 28",3.0,2.5,"in GG2=G291.2-0.2=G291.205-0.267","nan","IROC","R=8.2 LD=7.2","nan",168.25625,-60.79221
"DBSB_62, DBSB2003_62",291.22,-0.73,"11 11 25","-61 18 17",1.9,1.7,"inc vdBH-RN47a","nan","IRCC","R=7.8 LD=4.3","nan",167.85115,-61.30616
