"Seq","GLON","GLAT","RAJ2000","DEJ2000","D","d","Neb","n_Neb","Type","Com","n_Com","RA","DEC"
"DBSB_97, DBSB2003_97",326.66,0.49,"15 45 09","-54 10 30",1.1,1.1,"in GeGe326.6+0.5","nan","IRGr","R=2.9 mT LD=0.9","nan",236.29131,-54.17652
"DBSB_98, DBSB2003_98",328.57,-0.53,"15 59 38","-53 45 25",2.5,1.1,"in Gum50=RCW99=G328.6-0.5","nan","IRC","R=3.5 LD=2.5 deeply embedded","nan",239.904,-53.76002
"DBSB_99, DBSB2003_99",332.36,0.59,"16 13 04","-50 23 33",1.6,1.2,"inc vdBH-RN70","nan","IRCC","R=3.8 LD=1.8","nan",243.26982,-50.39155
"DBSB_100, DBSB2003_100",332.84,-0.59,"16 20 26","-50 54 27",1.3,0.9,"in RCW106","nan","IRC","R=4.1 LD=1.6","nan",245.1074,-50.90666
"DBSB_101, DBSB2003_101",332.96,1.8,"16 10 39","-49 05 45",1.0,1.0,"in BRC76=IRAS16069-4858,in RCW105","nan","IRGr","R=1.8 LD=0.5","nan",242.66886,-49.09805
"DBSB_102, DBSB2003_102",332.96,0.77,"16 15 01","-49 50 41",1.3,1.3,"in G333.0+0.8=G332.978+0.792","nan","IRC","R=3.8 LD=1.4","nan",243.75539,-49.84802
"DBSB_103, DBSB2003_103",336.55,-1.42,"16 40 00","-48 46 58",0.8,0.5,"in vdBH-RN72a","nan","IRGr","R=1.2 LD=0.3 compact","nan",249.99726,-48.7819
"DBSB_104, DBSB2003_104",337.23,-5.87,"17 04 02","-51 04 55",4.6,3.0,"in vdBH-RN81=ESO227*N4","nan","IRGr","R=0.7 LD=0.9 Opt/IR","nan",256.01476,-51.07905
"DBSB_105, DBSB2003_105",338.93,-0.07,"16 43 16","-46 05 59",1.2,0.9,"in G338.9-0.1","nan","IRGr","R=3.6 LD=1.3","nan",250.82105,-46.10318
"DBSB_106, DBSB2003_106",340.79,-1.02,"16 54 17","-45 17 31",1.0,1.0,"in RCW111=G340.8-1.0,in Gum54","nan","IRC","R=2.6 LD=0.8 deeply embedded","nan",253.57565,-45.29036
"DBSB_108, DBSB2003_108",342.12,-3.75,"17 11 19","-45 54 17",1.8,1.3,"inc vdBH-RN88c","nan","IRGr","R=2.1 mP LD=1.1","nan",257.82639,-45.9023
"DBSB_113, DBSB2003_113",345.2,1.03,"17 00 35","-40 33 44",2.2,1.8,"in G345.2+1.0=G345.231+1.035","i","IRC","R=2.0 LD=1.3 deeply embedded","nan",255.13887,-40.56372
"DBSB_114, DBSB2003_114",345.32,1.46,"16 59 10","-40 12 05",2.3,1.6,"in G345.3+1.5=G345.408+1.471","nan","IRC","R=1.9 LD=1.3","nan",254.79195,-40.20392
"DBSB_115, DBSB2003_115",345.4,1.5,"16 59 14","-40 07 04",1.6,1.1,"in vdBH-RN78","nan","IRGr","R=5.5 LD=2.6","nan",254.81556,-40.11634
"DBSB_116, DBSB2003_116",345.4,-0.95,"17 09 34","-41 35 58",2.5,1.5,"in RCW117=G345.425-0.940","nan","IRC","R=2.8 LD=2.0 deeply embedded","nan",257.39017,-41.60357
"DBSB_117, DBSB2003_117",345.39,1.4,"16 59 39","-40 11 22",2.0,1.8,"in G345.4+1.4=G345.404+1.406","nan","IRGr","R=1.9 LD=1.1","nan",254.91032,-40.18601
"DBSB_118, DBSB2003_118",348.24,-0.98,"17 18 24","-39 19 05",1.7,1.5,"in Sh2-4=RCW121=G348.231-0.982","nan","IRC","R=2.7 LD=1.3","nan",259.60671,-39.31853
"DBSB_119, DBSB2003_119",348.72,-1.04,"17 20 06","-38 57 25",3.4,2.9,"in RCW122=BFS65=G348.7-1.0","nan","IRC","R=2.0 LD=2.0","nan",260.02503,-38.95984
"DBSB_120, DBSB2003_120",350.06,-0.86,"17 23 13","-37 45 29",1.6,1.4,"in G349.8-0.6=G349.840-0.537","nan","IRGr","R=4.0 LD=1.9","nan",260.80754,-37.75525
"DBSB_121, DBSB2003_121",350.49,0.95,"17 17 01","-36 22 10",1.9,1.9,"in RCW126","nan","IRGr","R=1.4 mT LD=0.8","nan",259.25507,-36.36728
"DBSB_122, DBSB2003_122",350.51,0.96,"17 17 02","-36 20 58",1.1,1.1,"in RCW126","nan","IRGr","R=1.4 mT LD=0.4 deeply embedded","nan",259.25931,-36.34518
"DBSB_123, DBSB2003_123",350.54,0.93,"17 17 15","-36 20 18",2.9,2.9,"in RCW126","nan","IRGr","R=1.4 mT LD=1.2 loose, dust window?","nan",259.31123,-36.33806
"DBSB_125, DBSB2003_125",281.17,-1.65,"09 59 32","-57 04 05",1.9,1.5,"in G281.162-1.640","nan","IRC","R=1.9 LD=1.1 loose","nan",149.87877,-57.07129
"DBSB_126, DBSB2003_126",282.03,-1.18,"10 06 40","-57 12 33",1.1,1.1,"in MSH10-51=G282.0-1.2","nan","IRC","R=6.5 LD=2.1 not RCW46","nan",151.66717,-57.20714
"DBSB_128, DBSB2003_128",286.37,-0.26,"10 38 02","-58 46 45",1.8,1.4,"in IRAS10361-5830 Nebula","nan","IRC","loose","nan",159.50353,-58.77353
"DBSB_129, DBSB2003_129",298.84,-0.33,"12 15 24","-62 55 05",2.0,1.2,"in G298.8-0.3,in MSH12-61","nan","IRC","R=12.0 LD=7.0 loose","nan",183.84306,-62.91486
"DBSB_130, DBSB2003_130",305.27,-0.01,"13 11 54","-62 47 02",1.6,1.6,"in G305.27-0.01","nan","IRC","nan","nan",197.97795,-62.78877
"DBSB_131, DBSB2003_131",305.26,0.23,"13 11 39","-62 33 11",1.3,0.9,"in G305.3+0.2=AFGL4163=G305.363+0.1","nan","IRC","R=3.8 LD=1.4","nan",197.91499,-62.5503
"DBSB_132, DBSB2003_132",305.32,0.07,"13 12 18","-62 42 16",0.7,0.6,"in G305.3+0.1=G305.32+0.07","nan","IRC","mP pair with Danks 2,proj.?","nan",198.07279,-62.70502
"DBSB_133, DBSB2003_133",305.54,0.35,"13 13 58","-62 24 22",2.3,2.0,"in G305.5+0.4=G305.537+0.338","nan","IRC","loose","nan",198.49732,-62.40749
"DBSB_134, DBSB2003_134",305.55,0.01,"13 14 22","-62 44 40",1.6,1.6,"in G305.6+0.0=AFGL4165=G305.551+0.0","nan","IRC","Rn=4.2 Rf=7.4 deeply embedded, dust lane","nan",198.58399,-62.74529
"DBSB_135, DBSB2003_135",312.11,0.31,"14 08 42","-61 10 38",1.0,0.6,"in G312.112+0.314","nan","IRC","R=7.8 LD=2.3","nan",212.17947,-61.17708
"DBSB_136, DBSB2003_136",314.25,0.42,"14 25 00","-60 22 30",1.3,1.1,"in G314.2+0.4=G314.228+0.437","nan","IRCC","Rn=5.1 Rf=8.8","nan",216.25393,-60.37906
"DBSB_137, DBSB2003_137",316.14,-0.5,"14 42 02","-60 30 22",0.8,0.4,"in G316.156-0.492","nan","IRC","Rn=4.5 Rf=9.9","nan",220.50814,-60.50412
"DBSB_138, DBSB2003_138",320.21,0.87,"15 05 23","-57 26 37",0.9,0.8,"in IRAS15015-5715 Nebula,rel RCW87","nan","IRGr","R=2.5 mP LD=0.7 deeply embedded","nan",226.34832,-57.43756
"DBSB_139, DBSB2003_139",320.26,-0.3,"15 10 06","-58 25 58",1.7,1.2,"in G320.3-0.3=G320.252-0.332","nan","IRC","Rn=5.0 Rf=10.4 loose","nan",227.52898,-58.42679
"DBSB_140, DBSB2003_140",320.31,-0.17,"15 09 58","-58 17 35",2.1,1.2,"in G320.3-0.2=G320.317-0.208","nan","IRC","Rn=0.7 Rf=14.7  loose","nan",227.4858,-58.28936
"DBSB_141, DBSB2003_141",323.45,0.11,"15 28 32","-56 22 29",1.6,1.6,"rel? radio SNR G323.5+0.1","nan","IRCC","nan","nan",232.12443,-56.37211
"DBSB_142, DBSB2003_142",324.16,0.23,"15 32 13","-55 52 06",1.2,1.2,"in G324.147+0.231","nan","IRCC","R=8.1 LD=2.8","nan",233.04953,-55.86954
"DBSB_143, DBSB2003_143",324.2,0.12,"15 32 53","-55 56 21",1.0,0.6,"in G324.2+0.1=G324.192+0.109","nan","IRC","R=8.1 LD=2.4","nan",233.22078,-55.93649
"DBSB_144, DBSB2003_144",331.52,-0.09,"16 12 09","-51 27 38",1.1,1.1,"in G326.718-0.564","nan","IRC","Rn=4.0 Rf=12.7  mP","nan",243.03724,-51.46229
"DBSB_145, DBSB2003_145",331.54,-0.07,"16 12 09","-51 26 24",1.4,1.1,"in G326.718-0.564","nan","IRGr","Rn=4.0 Rf=12.7  mP","nan",243.03873,-51.43403
"DBSB_146, DBSB2003_146",327.31,-0.55,"15 53 04","-54 35 03",2.3,1.8,"in G327.3-0.5=G327.313-0.536","nan","IRC","R=3.4  LD=2.3 deeply embedded,dust lane","nan",238.27687,-54.58518
"DBSB_147, DBSB2003_147",327.76,-0.35,"15 54 37","-54 08 47",0.8,0.8,"in G327.759-0.351","nan","IRC","Rn=5.1 Rf=11.8","nan",238.6546,-54.14466
"DBSB_148, DBSB2003_148",327.99,-0.09,"15 54 42","-53 47 46",1.5,0.9,"in G328.0-0.1=G327.985-0.086","nan","IRCC","Rn=3.2 Rf=13.8","nan",238.67361,-53.79771
"DBSB_149, DBSB2003_149",328.31,0.43,"15 54 07","-53 11 32",1.6,1.1,"in G328.3+0.4","nan","IRCC","R=8.5 LD=4.0","nan",238.5309,-53.19307
"DBSB_150, DBSB2003_150",328.79,-0.08,"15 58 46","-53 16 27",2.0,1.2,"in G328.806-0.083","nan","IRGr","Rn=3.4 Rf=13.7","nan",239.69295,-53.2751
