"Cluster","GLON","GLAT","Parallax","pmRA","pmDE","log(Age)","A0","OC_Type","rc (pc)","rb (pc)","rt (rc') (pc)","N_TypeI","N_TypeII","RA","DEC"
"CWNU_3629",84.265,4.242,0.16,-3.08,-4.22,9.2,3.55,"A","1.68 ± 0.24","6.79 ± 0.21","20.06 ± 0.87",1,7,307.75923,46.61212
"CWNU_3633",119.17,-4.312,0.15,-2.78,-0.38,9.45,1.6,"A","1.54 ± 0.78","8.89 ± 0.54","20.75 ± 0.30",2,8,5.69693,58.35032
"CWNU_3825",56.158,-1.787,0.07,-3.07,-5.71,9.0,3.95,"A","4.79 ± 0.17","10.51 ± 2.40","23.91 ± 0.10",2,2,295.58873,19.669
"CWNU_3863",84.565,6.479,0.13,-3.95,-4.67,9.25,2.8,"A","1.45 ± 0.50","5.18 ± 0.21","11.48 ± 4.39",2,4,305.30774,48.14132
"CWNU_4001",297.927,-3.598,0.1,-5.51,0.56,9.5,2.14,"A","1.15 ± 0.41","6.14 ± 0.27","17.06 ± 1.08",4,6,180.50434,-65.98835
"CWNU_4203",36.61,-1.363,0.25,-1.81,-4.09,9.25,5.67,"A","1.05 ± 0.08","3.96 ± 5.39","20.95 ± 0.59",2,10,285.75225,2.64977
"ESO_429_05",246.506,-5.403,0.09,-1.51,1.67,9.4,1.6,"A","1.96 ± 0.25","11.01 ± 0.65","20.91 ± 0.66",2,9,114.25903,-32.20332
"FSR_0291",90.508,-0.507,0.14,-3.22,-4.24,8.8,4.8,"A","1.48 ± 0.07","8.28 ± 0.17","21.27 ± 0.18",2,20,319.08378,48.34654
"FSR_0508",121.922,2.111,0.16,-2.32,-0.64,9.25,3.38,"A","2.12 ± 0.64","9.11 ± 0.45","19.78 ± 25.89",1,15,10.47406,64.96404
"FSR_0687",156.921,0.968,0.19,0.67,0.27,9.05,3.95,"A","3.67 ± 0.47","10.16 ± 0.99","22.20 ± 2.74",1,4,69.85967,48.20434
"Pfleiderer_4",115.964,0.269,0.12,-1.3,-0.5,9.45,2.68,"A","1.35 ± 0.15","12.52 ± 1.76","21.53 ± 1.53",6,15,357.72186,62.31877
"Saurer_1",214.686,7.386,0.07,-0.26,-0.33,9.8,0.43,"A","2.03 ± 0.18","8.09 ± 0.88","13.67 ± 0.64",3,1,110.23181,1.81097
"Saurer_4",298.787,-1.021,0.08,-6.89,0.8,8.8,4.1,"A","1.64 ± 0.23","7.38 ± 0.95","35.26 ± 1.56",1,5,183.50839,-63.59132
"Teutsch_48",274.191,-2.176,0.14,-4.14,3.74,9.1,2.81,"A","0.86 ± 0.16","9.57 ± 4.62","16.24 ± 3.58",4,8,140.13549,-52.85356
"CWNU_3593",293.753,-6.803,0.1,-5.2,1.98,9.8,0.4,"B","LL","LL","LL",2,2,167.97988,-67.88344
"CWNU_3911",303.05,3.939,0.15,-6.26,-0.31,9.55,1.42,"B","LL","LL","LL",2,3,193.08774,-58.93254
"CWNU_3989",278.297,-3.12,0.13,-3.92,3.17,9.35,2.04,"B","LL","LL","LL",1,15,144.14172,-56.36698
"CWNU_4150",75.136,3.931,0.13,-3.15,-5.3,9.35,1.4,"B","LL","LL","LL",1,3,301.17194,38.88237
"CWNU_4172",166.457,-6.35,0.14,0.45,-0.56,9.35,1.74,"B","LL","LL","LL",7,11,70.89938,36.22195
