"Cluster","GLON","GLAT","RAdeg","DEdeg","Radius","Age","Rgc","RGuide","pmRA","e_pmRA","pmDE","e_pmDE","RV","e_RV","[FeH]","e_[FeH]","Qual","Nstars","[OH]","e_[OH]","[NaH]","e_[NaH]","[MgH]","e_[MgH]","[AlH]","e_[AlH]","[SiH]","e_[SiH]","[SH]","e_[SH]","[KH]","e_[KH]","[CaH]","e_[CaH]","[TiH]","e_[TiH]","[CrH]","e_[CrH]","[MnH]","e_[MnH]","[CoH]","e_[CoH]","[NiH]","e_[NiH]","[CeH]","e_[CeH]","[NdH]","e_[NdH]"
"Berkeley_71",176.635,0.901,85.242,32.273,0.04,0.871,11.93,11.7,0.65,0.16,-1.61,0.1,-9.4,0.3,-0.25,0.02,3,5,-0.28,0.1,-0.24,0.1,-0.31,0.03,-0.32,0.05,-0.23,0.03,-0.08,0.09,-0.28,0.04,-0.26,0.06,-0.27,0.08,-0.34,0.06,-0.31,0.02,-0.61,0.26,-0.31,0.04,0.13,0.12,-0.4,0.23
"Berkeley_75",234.304,-11.19,102.249,-23.996,0.03,1.698,14.67,13.3,-0.26,0.13,1.09,0.16,124.8,0.2,-0.41,0.02,4,2,-0.31,0.04,-0.34,0.02,-0.35,0.02,-0.3,0.05,-0.37,0.02,-0.46,0.12,-0.45,0.03,-0.39,0.03,-0.48,0.02,-0.52,0.03,-0.45,0.04,-0.39,0.13,-0.42,0.02,-0.13,0.13,-0.55,0.22
"Berkeley_77",219.256,5.176,110.359,-3.239,0.03,0.741,11.36,10.78,-1.0,0.11,-0.11,0.11,71.3,0.0,-0.09,0.02,1,1,-0.1,0.02,0.0,0.02,-0.13,0.02,-0.12,0.05,-0.11,0.02,0.05,0.02,-0.24,0.02,-0.07,0.02,-0.14,0.02,-0.21,0.02,-0.05,0.02,-0.11,0.13,-0.08,0.02,0.45,0.05,-0.16,0.05
"Berkeley_85",75.689,0.985,304.699,37.731,0.06,0.417,8.21,7.64,-2.94,0.12,-4.68,0.11,-34.2,0.5,0.06,0.04,3,9,-0.02,0.07,0.28,0.11,-0.06,0.05,-0.08,0.08,0.03,0.04,0.08,0.06,-0.18,0.2,-0.03,0.04,0.02,0.03,-0.06,0.29,0.18,0.07,0.15,0.13,0.08,0.02,0.35,0.14,0.27,0.28
"Berkeley_9",146.071,-2.82,53.174,52.652,0.05,1.38,9.89,10.06,1.49,0.16,0.04,0.14,-18.0,0.0,-0.08,0.02,1,1,-0.12,0.02,0.0,0.02,-0.15,0.02,-0.12,0.05,-0.1,0.02,-0.01,0.02,-0.09,0.02,-0.09,0.02,-0.16,0.02,-0.16,0.02,-0.12,0.02,-0.26,0.13,-0.13,0.02,0.18,0.05,0.1,0.05
"Berkeley_98",103.871,-5.636,340.67,52.405,0.06,2.455,9.79,8.9,-1.35,0.1,-3.19,0.1,-64.9,0.0,-0.03,0.02,2,2,-0.05,0.02,0.07,0.04,-0.04,0.02,-0.02,0.05,-0.01,0.02,0.01,0.04,-0.03,0.02,-0.06,0.02,-0.11,0.06,-0.1,0.02,-0.07,0.02,0.04,0.13,-0.06,0.02,0.15,0.05,-0.04,0.05
"COIN-Gaia_25",189.727,-0.147,91.661,20.457,0.29,0.562,9.15,9.71,-0.5,0.15,-2.6,0.12,-14.5,0.0,-0.01,0.02,1,1,-0.11,0.02,0.05,0.02,-0.13,0.02,-0.07,0.05,-0.05,0.02,0.01,0.02,-0.07,0.02,-0.02,0.02,-0.08,0.02,-0.05,0.02,0.01,0.02,-0.04,0.13,-0.07,0.02,0.25,0.05,0.04,0.05
"Collinder_220",284.546,-0.352,156.423,-57.923,0.11,0.234,8.08,8.78,-7.34,0.09,2.68,0.1,-12.5,0.0,-0.12,0.02,1,1,-0.14,0.02,0.11,0.02,-0.19,0.02,-0.19,0.05,-0.13,0.02,0.03,0.02,-0.26,0.02,-0.17,0.02,-0.22,0.02,-0.24,0.02,-0.07,0.02,-0.08,0.13,-0.19,0.02,0.33,0.05,-0.06,0.05
"Collinder_261",301.699,-5.541,189.527,-68.381,0.11,6.31,7.26,7.59,-6.35,0.17,-2.71,0.16,-25.2,0.1,0.0,0.02,4,5,0.01,0.02,0.09,0.09,-0.01,0.02,0.03,0.05,0.01,0.02,0.05,0.04,-0.03,0.04,-0.05,0.03,-0.03,0.02,-0.04,0.02,0.06,0.03,0.13,0.13,-0.01,0.02,0.14,0.05,0.05,0.17
"Collinder_350",26.876,14.68,267.065,1.418,0.79,0.589,8.02,8.29,-4.96,0.39,-0.02,0.24,-13.4,0.7,-0.03,0.02,2,2,-0.18,0.04,-0.6,0.3,-0.11,0.04,-0.12,0.06,-0.02,0.03,0.05,0.03,-0.28,0.02,-0.13,0.04,0.29,0.32,0.16,0.21,-0.14,0.02,-0.79,0.14,-0.07,0.06,-0.24,0.31,-0.07,0.08
"Czernik_18",168.261,-12.31,66.956,30.934,0.05,0.525,9.61,9.49,1.83,0.26,-2.99,0.13,-15.5,0.2,-0.04,0.02,2,2,-0.18,0.06,-0.3,0.16,-0.09,0.11,-0.29,0.06,0.01,0.09,0.14,0.07,-0.24,0.06,0.04,0.09,0.02,0.11,-0.15,0.23,-0.16,0.03,"nan","nan",-0.13,0.02,0.0,0.06,-0.09,0.06
"Czernik_20",168.289,1.442,80.133,39.544,0.03,1.66,11.78,11.91,0.62,0.1,-1.58,0.06,31.3,0.6,-0.16,0.02,2,3,-0.15,0.07,-0.1,0.02,-0.21,0.02,-0.21,0.05,-0.17,0.03,-0.05,0.07,-0.09,0.06,-0.16,0.04,-0.26,0.03,-0.2,0.07,-0.23,0.02,-0.31,0.19,-0.25,0.02,0.24,0.11,-0.34,0.08
"Czernik_21",171.887,0.459,81.676,36.018,0.05,2.57,12.35,11.92,2.24,0.2,-0.91,0.18,44.4,1.0,-0.33,0.02,2,3,-0.26,0.09,-0.29,0.06,-0.35,0.03,-0.35,0.07,-0.32,0.02,-0.21,0.19,-0.33,0.04,-0.29,0.03,-0.39,0.03,-0.39,0.02,-0.37,0.03,-0.24,0.22,-0.4,0.05,-0.07,0.08,-0.48,0.47
"Czernik_23",180.54,0.822,87.528,28.898,0.05,0.269,12.31,12.07,0.08,0.14,-1.79,0.17,17.8,0.0,-0.33,0.02,1,1,-0.38,0.02,-0.21,0.02,-0.37,0.02,-0.46,0.05,-0.37,0.02,-0.15,0.02,-0.38,0.02,-0.34,0.02,-0.46,0.02,-0.51,0.02,-0.39,0.02,-0.65,0.13,-0.39,0.02,0.02,0.05,-0.51,0.05
"Czernik_30",226.336,4.157,112.795,-9.946,0.03,2.884,13.78,12.39,-0.59,0.14,-0.1,0.14,81.5,0.3,-0.38,0.02,2,3,-0.34,0.02,-0.47,0.2,-0.38,0.03,-0.36,0.05,-0.37,0.02,-0.24,0.12,-0.4,0.02,-0.4,0.02,-0.44,0.02,-0.47,0.05,-0.41,0.02,-0.3,0.13,-0.39,0.02,-0.06,0.05,-0.42,0.23
"Czernik_9",135.424,-0.489,38.394,59.882,0.04,0.24,10.94,11.3,-0.91,0.15,0.27,0.2,-47.3,0.0,-0.07,0.02,1,1,-0.24,0.02,-0.06,0.02,-0.22,0.02,-0.28,0.05,-0.1,0.02,0.24,0.02,-0.21,0.02,-0.15,0.02,-0.1,0.02,-0.12,0.02,-0.1,0.02,-0.27,0.13,-0.07,0.02,0.82,0.05,0.1,0.05
"FSR_0494",120.078,1.027,6.396,63.756,0.06,0.891,10.96,11.43,-2.5,0.11,-0.84,0.07,-64.0,0.6,-0.03,0.02,2,4,-0.1,0.03,0.14,0.15,-0.09,0.02,-0.13,0.05,-0.05,0.02,-0.01,0.07,-0.12,0.14,-0.04,0.03,-0.14,0.03,-0.05,0.08,-0.06,0.02,-0.44,0.34,-0.08,0.03,0.28,0.11,-0.05,0.08
"FSR_0496",120.182,1.257,6.579,63.994,0.09,2.042,9.14,8.81,2.23,0.09,-0.62,0.12,-23.2,0.0,-0.12,0.02,2,1,-0.17,0.02,-0.07,0.02,-0.16,0.02,-0.14,0.05,-0.14,0.02,-0.04,0.02,-0.05,0.02,-0.1,0.02,-0.17,0.02,-0.19,0.02,-0.17,0.02,-0.16,0.13,-0.16,0.02,0.18,0.05,-0.07,0.05
"FSR_0553",128.221,2.143,25.218,64.506,0.05,3.388,10.44,11.55,-3.24,0.09,0.09,0.14,-48.2,0.0,-0.18,0.02,1,1,-0.23,0.02,-0.23,0.02,-0.23,0.02,-0.18,0.05,-0.22,0.02,-0.17,0.02,-0.26,0.02,-0.21,0.03,-0.32,0.02,-0.21,0.02,-0.22,0.02,-0.25,0.13,-0.29,0.02,0.06,0.05,-0.41,0.05
"FSR_0667",151.152,-0.674,61.777,51.15,0.07,0.708,9.39,9.6,0.9,0.14,-3.87,0.2,2.9,0.6,-0.04,0.02,2,2,-0.12,0.02,-0.03,0.04,-0.13,0.02,-0.07,0.05,-0.03,0.02,-0.01,0.02,-0.11,0.03,-0.06,0.02,-0.13,0.04,-0.09,0.02,-0.04,0.02,-0.11,0.13,-0.09,0.02,0.18,0.05,-0.13,0.05
"FSR_0716",162.251,3.626,77.793,45.723,0.05,0.871,11.79,12.2,-0.27,0.13,-1.63,0.1,7.7,0.0,-0.34,0.02,1,1,-0.24,0.02,-0.38,0.02,-0.39,0.02,-0.36,0.05,-0.33,0.02,-0.25,0.02,-0.33,0.02,-0.32,0.03,-0.41,0.02,-0.45,0.02,-0.45,0.02,-0.37,0.13,-0.4,0.02,0.01,0.05,-0.14,0.05
"FSR_0893",189.507,1.826,93.399,21.602,0.1,0.562,10.64,10.06,-0.35,0.15,-3.21,0.15,39.4,0.0,-0.1,0.02,1,1,0.28,0.02,0.5,0.02,-0.15,0.02,-0.08,0.05,-0.2,0.02,"nan","nan",0.01,0.02,-0.31,0.02,-0.08,0.02,0.0,0.02,-0.21,0.02,-0.07,0.13,-0.03,0.02,0.57,0.05,-0.27,0.05
"FSR_0941",195.559,0.755,95.432,15.767,0.04,0.468,12.59,13.48,0.76,0.18,0.14,0.2,20.6,0.0,-0.28,0.02,1,1,-0.34,0.02,-0.49,0.02,-0.3,0.02,-0.36,0.05,-0.3,0.02,-0.26,0.02,-0.57,0.02,-0.29,0.02,-0.3,0.02,-0.46,0.02,-0.39,0.02,-0.42,0.13,-0.35,0.02,0.05,0.05,-0.81,0.05
"FSR_0942",195.586,-3.582,91.506,13.67,0.07,0.724,11.65,12.79,-0.41,0.17,0.09,0.13,29.2,0.0,-0.28,0.02,1,1,-0.34,0.02,-0.18,0.02,-0.29,0.02,-0.33,0.05,-0.26,0.02,-0.19,0.02,-0.41,0.02,-0.3,0.02,-0.32,0.02,-0.6,0.02,-0.4,0.02,-0.54,0.13,-0.37,0.02,-0.08,0.05,-0.61,0.05
"FSR_0951",196.589,0.329,95.544,14.658,0.16,0.525,10.04,10.37,0.24,0.12,0.07,0.1,52.4,0.0,-0.43,0.02,1,1,-0.46,0.02,-0.58,0.02,-0.5,0.02,-0.81,0.05,-0.46,0.02,-0.32,0.02,-0.57,0.02,-0.41,0.02,-0.42,0.02,-0.3,0.02,-0.39,0.02,-0.3,0.13,-0.36,0.02,0.49,0.05,-0.22,0.05
"FSR_0974",199.628,1.594,98.15,12.556,0.05,0.089,12.08,12.54,-0.46,0.15,-0.34,0.14,52.7,0.0,-0.21,0.02,1,1,-0.21,0.02,-0.09,0.02,-0.28,0.02,-0.22,0.05,-0.22,0.02,-0.12,0.02,-0.2,0.02,-0.27,0.02,-0.31,0.02,-0.3,0.02,-0.21,0.02,-0.18,0.13,-0.27,0.02,0.19,0.05,-0.79,0.05
"FSR_1083",213.247,8.432,110.516,3.556,0.03,1.995,12.66,12.56,-0.33,0.14,0.24,0.16,103.0,0.4,-0.25,0.02,2,2,-0.11,0.1,-0.14,0.15,-0.26,0.03,-0.28,0.05,-0.22,0.02,-0.36,0.17,-0.13,0.12,-0.23,0.05,-0.33,0.03,-0.3,0.04,-0.27,0.02,-0.09,0.13,-0.32,0.03,-0.13,0.16,-0.39,0.15
"FSR_1113",216.299,3.258,107.295,-1.505,0.02,2.754,11.59,12.62,-0.57,0.08,1.91,0.08,68.9,0.0,-0.35,0.02,1,1,-0.35,0.02,-0.22,0.02,-0.37,0.02,-0.37,0.05,-0.31,0.02,-0.13,0.02,-0.47,0.02,-0.32,0.02,-0.48,0.02,-0.32,0.02,-0.41,0.02,-0.98,0.13,-0.43,0.02,"nan","nan",-2.04,0.05
"FSR_1595",295.612,-0.683,176.768,-62.636,0.03,0.692,7.73,7.71,-6.78,0.12,1.37,0.12,-4.1,0.0,0.1,0.02,1,1,0.02,0.02,0.28,0.02,0.02,0.02,0.07,0.05,0.09,0.02,0.11,0.02,0.08,0.02,0.02,0.02,0.02,0.02,0.08,0.02,0.15,0.02,-0.01,0.13,0.07,0.02,0.15,0.05,0.42,0.05
"Haffner_4",227.944,-3.626,106.515,-15.005,0.02,0.457,12.3,12.35,-0.42,0.11,0.9,0.1,59.7,0.0,-0.17,0.02,1,1,-0.19,0.02,-0.3,0.02,-0.23,0.02,-0.21,0.05,-0.26,0.02,0.01,0.02,-0.07,0.02,-0.19,0.02,-0.19,0.02,-0.28,0.02,-0.19,0.02,-1.14,0.13,-0.24,0.02,0.32,0.05,-0.35,0.05
"Haffner_6",227.861,0.22,109.991,-13.152,0.05,0.617,11.81,12.66,-1.22,0.1,1.96,0.1,70.0,0.7,-0.25,0.02,2,3,-0.26,0.03,-0.18,0.07,-0.3,0.02,-0.29,0.05,-0.25,0.02,-0.09,0.04,-0.32,0.04,-0.31,0.04,-0.33,0.02,-0.29,0.06,-0.24,0.02,-0.35,0.13,-0.32,0.02,0.17,0.12,-0.51,0.18
"Harvard_10",329.859,-3.353,244.813,-54.966,0.35,0.2,7.73,7.79,-1.92,0.19,-10.58,0.17,-17.0,0.3,0.05,0.02,2,3,0.07,0.06,-0.86,0.61,-0.06,0.03,-0.04,0.06,0.06,0.03,0.01,0.03,-0.05,0.03,-0.08,0.11,-0.13,0.11,-0.17,0.12,0.03,0.03,0.17,0.26,0.0,0.03,0.05,0.14,0.17,0.09
"IC_1369",89.61,-0.394,318.033,47.776,0.04,0.288,8.95,9.04,-4.64,0.12,-5.61,0.11,-48.7,0.1,-0.1,0.03,2,3,-0.17,0.03,0.0,0.07,-0.17,0.03,-0.21,0.05,-0.13,0.04,0.05,0.08,-0.08,0.05,-0.14,0.03,-0.22,0.04,-0.19,0.02,-0.09,0.03,-0.13,0.13,-0.18,0.03,0.26,0.09,0.04,0.1
"IC_166",130.048,-0.172,28.086,61.855,0.06,1.318,12.42,14.19,-1.44,0.12,1.13,0.14,-40.4,1.3,-0.1,0.04,3,23,-0.16,0.08,0.03,0.1,-0.15,0.05,-0.12,0.11,-0.1,0.08,0.01,0.1,-0.12,0.09,-0.13,0.07,-0.2,0.08,-0.11,0.1,-0.12,0.05,-0.22,0.24,-0.15,0.05,0.21,0.18,-0.18,0.23
"IC_361",147.512,5.659,64.733,58.251,0.07,0.813,11.5,10.31,1.72,0.13,-1.14,0.12,-37.4,0.0,-0.17,0.02,1,1,-0.31,0.04,0.63,0.02,-0.27,0.06,-0.1,0.06,-0.27,0.05,-0.12,0.02,-0.17,0.02,-0.24,0.05,-0.53,0.06,-0.48,0.03,-0.23,0.02,0.11,0.14,-0.3,0.02,0.41,0.05,0.57,0.06
"IC_4756",36.314,5.345,279.627,5.437,0.53,1.288,7.94,7.82,1.26,0.25,-4.93,0.26,-24.6,0.0,0.05,0.02,1,1,0.08,0.02,"nan","nan",-0.04,0.03,-0.06,0.05,0.08,0.03,0.03,0.02,0.0,0.02,0.0,0.03,0.41,0.03,-0.48,0.02,-0.02,0.02,0.34,0.13,0.08,0.02,-0.19,0.05,0.16,0.05
"King_1",119.766,1.691,5.523,64.383,0.15,3.631,9.32,9.47,-4.95,0.15,-1.27,0.13,-53.1,0.2,-0.04,0.02,2,3,-0.09,0.02,0.03,0.09,-0.11,0.02,-0.09,0.05,-0.04,0.03,-0.02,0.02,-0.01,0.06,-0.06,0.02,-0.14,0.03,-0.09,0.05,-0.06,0.03,-0.06,0.13,-0.1,0.02,0.12,0.07,0.03,0.06
"King_13",117.974,-1.306,2.538,61.168,0.07,0.501,10.47,11.14,-2.75,0.1,-0.84,0.09,-48.3,0.0,-0.19,0.02,1,1,-0.25,0.02,-0.11,0.02,-0.27,0.02,-0.27,0.05,-0.23,0.02,-0.13,0.02,-0.18,0.02,-0.23,0.02,-0.25,0.02,-0.18,0.02,-0.24,0.02,-0.16,0.13,-0.26,0.02,0.3,0.05,-0.23,0.05
"King_15",120.768,-0.94,8.268,61.854,0.04,0.295,10.49,10.49,-2.33,0.1,-0.86,0.11,-64.6,0.0,-0.1,0.02,1,1,-0.23,0.02,-0.25,0.02,-0.17,0.02,-0.21,0.05,-0.13,0.02,0.07,0.02,-0.28,0.02,-0.13,0.02,-0.09,0.02,-0.1,0.02,-0.09,0.02,-0.19,0.13,-0.16,0.02,0.6,0.05,0.04,0.05
"King_2",122.868,-4.684,12.739,58.187,0.05,4.074,13.26,14.67,-1.36,0.11,-0.82,0.14,-42.4,0.0,-0.18,0.02,1,1,-0.13,0.02,-0.14,0.02,-0.12,0.02,-0.2,0.05,-0.14,0.02,-0.22,0.02,-0.1,0.02,-0.19,0.02,-0.2,0.02,-0.31,0.02,-0.23,0.02,-0.07,0.13,-0.19,0.02,0.19,0.05,-0.06,0.05
"King_23",217.3,6.307,110.462,-0.99,0.06,1.95,10.98,10.25,-0.46,0.08,-0.88,0.09,53.6,0.1,-0.04,0.04,2,3,-0.05,0.04,-0.13,0.16,-0.13,0.02,-0.06,0.08,-0.08,0.03,-0.08,0.07,-0.07,0.05,-0.09,0.06,-0.05,0.06,-0.12,0.07,0.01,0.02,0.01,0.13,-0.1,0.03,0.28,0.06,-0.17,0.27
"King_5",143.762,-4.276,48.677,52.703,0.09,1.023,10.53,10.36,-0.28,0.15,-1.2,0.13,-44.0,0.7,-0.15,0.03,2,2,-0.16,0.04,-0.11,0.02,-0.19,0.02,-0.18,0.05,-0.16,0.04,-0.11,0.02,-0.14,0.06,-0.19,0.06,-0.19,0.02,-0.16,0.02,-0.14,0.02,-0.14,0.13,-0.2,0.02,0.04,0.13,-0.43,0.14
"King_6",143.351,-0.084,52.002,56.449,0.16,0.204,8.95,8.82,3.86,0.22,-1.81,0.24,-19.2,0.0,0.04,0.02,1,1,-0.14,0.1,0.73,0.03,-0.15,0.19,-0.18,0.07,-0.03,0.15,-0.16,0.06,0.58,0.03,0.02,0.15,-0.35,0.2,-0.3,0.04,0.05,0.03,0.3,0.15,-0.35,0.02,-0.15,0.05,-0.4,0.07
"King_7",149.8,-1.014,59.786,51.787,0.06,0.224,11.19,11.01,1.12,0.22,-1.2,0.18,-10.4,0.2,-0.17,0.03,3,4,-0.21,0.03,-0.07,0.09,-0.21,0.03,-0.31,0.05,-0.23,0.05,0.0,0.05,-0.24,0.07,-0.22,0.02,-0.31,0.05,-0.14,0.14,-0.11,0.05,-0.15,0.13,-0.22,0.02,0.2,0.07,-0.27,0.11
"King_8",176.384,3.104,87.327,33.635,0.03,0.832,13.84,12.74,0.52,0.18,-1.74,0.14,-1.0,0.0,-0.22,0.02,1,1,-0.23,0.02,-0.07,0.02,-0.28,0.02,-0.31,0.05,-0.26,0.02,0.15,0.02,-0.29,0.02,-0.24,0.03,-0.3,0.02,-0.09,0.02,-0.24,0.02,-0.37,0.13,-0.25,0.02,0.16,0.05,-0.35,0.05
"Melotte_111",217.97,83.85,186.017,26.423,3.11,0.646,8.35,8.82,-12.03,0.54,-8.97,0.84,0.4,0.4,-0.01,0.03,3,7,-0.01,0.03,-0.3,0.41,-0.08,0.05,-0.08,0.05,-0.02,0.03,-0.05,0.03,-0.12,0.1,-0.01,0.05,0.05,0.07,-0.03,0.19,-0.06,0.04,0.03,0.31,-0.06,0.04,0.13,0.07,-0.03,0.1
"Melotte_20",147.12,-6.389,51.332,49.119,2.03,0.051,8.48,8.31,22.86,1.13,-25.38,1.21,-0.8,0.4,-0.02,0.05,3,5,-0.05,0.07,-0.19,0.38,-0.11,0.05,-0.06,0.1,-0.04,0.06,0.05,0.02,-0.31,0.61,0.0,0.1,0.15,0.08,0.03,0.05,-0.06,0.07,-0.02,0.31,-0.07,0.06,0.14,0.05,-0.01,0.05
"Melotte_22",166.525,-23.57,56.68,24.108,1.27,0.078,8.45,8.16,20.08,1.06,-45.5,1.18,6.3,0.8,0.02,0.03,4,40,0.0,0.07,-0.13,0.26,-0.07,0.04,-0.08,0.1,-0.01,0.04,0.03,0.07,-0.05,0.09,0.02,0.05,0.09,0.14,0.04,0.18,-0.01,0.05,0.07,0.29,-0.02,0.04,0.07,0.1,0.02,0.08
"Melotte_25",179.873,-22.22,66.709,16.081,5.42,0.794,8.38,8.36,103.02,20.61,-27.23,13.93,40.2,1.3,0.02,0.05,4,18,-0.05,0.07,0.15,0.05,-0.07,0.06,-0.22,0.11,-0.06,0.05,-0.1,0.08,0.09,0.03,0.01,0.03,-0.1,0.1,0.05,0.12,0.1,0.05,0.19,0.13,0.0,0.04,-0.01,0.07,-0.06,0.13
"Melotte_71",228.942,4.504,114.378,-12.058,0.07,0.977,9.87,10.82,-2.45,0.12,4.21,0.11,50.6,0.6,-0.14,0.02,3,6,-0.14,0.04,0.0,0.17,-0.21,0.04,-0.16,0.06,-0.14,0.02,-0.12,0.14,-0.21,0.14,-0.14,0.03,-0.17,0.04,-0.09,0.06,-0.16,0.04,-0.31,0.13,-0.19,0.03,0.0,0.19,-0.3,0.08
"Melotte_72",227.863,5.369,114.619,-10.698,0.05,0.977,10.32,11.21,-4.16,0.11,3.68,0.09,71.6,0.2,-0.14,0.03,2,3,-0.13,0.16,0.11,0.05,-0.15,0.06,-0.11,0.08,-0.09,0.06,0.16,0.12,-0.08,0.08,-0.19,0.05,-0.22,0.06,-0.1,0.05,-0.22,0.05,0.02,0.17,-0.24,0.04,0.12,0.09,-0.18,0.46
"NGC_1193",146.815,-12.16,46.486,44.382,0.03,5.129,12.71,12.32,-0.12,0.28,-0.33,0.24,-84.7,0.2,-0.34,0.02,1,3,-0.3,0.03,-0.36,0.07,-0.31,0.02,-0.3,0.11,-0.32,0.03,-0.17,0.05,-0.23,0.03,-0.32,0.06,-0.36,0.05,-0.35,0.03,-0.36,0.07,-0.22,0.13,-0.33,0.02,-0.44,0.16,-0.68,0.09
"NGC_1245",146.669,-8.919,48.711,47.235,0.11,1.202,11.12,10.76,0.5,0.11,-1.58,0.1,-29.2,0.6,-0.08,0.03,4,21,-0.16,0.06,-0.11,0.1,-0.17,0.04,-0.15,0.05,-0.1,0.03,-0.05,0.07,-0.16,0.06,-0.12,0.03,-0.15,0.05,-0.13,0.05,-0.1,0.03,-0.22,0.22,-0.15,0.03,0.2,0.11,-0.15,0.12
"NGC_136",120.563,-1.272,7.891,61.508,0.03,0.257,11.81,12.47,-1.65,0.09,-0.52,0.09,-52.2,0.0,-0.23,0.02,1,1,-0.32,0.02,-1.05,0.02,-0.3,0.02,-0.33,0.05,-0.24,0.02,0.01,0.02,-0.23,0.02,-0.25,0.02,-0.16,0.02,-0.21,0.02,-0.23,0.02,-0.31,0.13,-0.26,0.02,0.52,0.05,-0.28,0.05
"NGC_1647",180.302,-16.74,71.488,19.163,0.42,0.363,8.95,9.65,-1.06,0.25,-1.5,0.24,-5.8,0.1,0.03,0.02,1,1,0.18,0.03,0.85,0.02,-0.1,0.05,-0.22,0.06,0.04,0.04,-0.29,0.02,-0.54,0.03,-0.17,0.05,0.13,0.05,0.4,0.02,0.07,0.02,0.4,0.14,0.04,0.02,0.19,0.05,-0.08,0.06
"NGC_1664",161.673,-0.451,72.766,43.675,0.11,0.513,9.62,9.16,1.7,0.17,-5.74,0.15,6.9,0.0,-0.04,0.02,1,1,-0.17,0.02,0.02,0.02,-0.16,0.02,-0.12,0.05,-0.06,0.02,0.02,0.02,-0.12,0.02,-0.07,0.02,-0.1,0.02,-0.08,0.02,-0.05,0.02,-0.05,0.13,-0.09,0.02,0.24,0.05,0.06,0.05
"NGC_1798",160.703,4.846,77.908,47.689,0.04,1.66,13.27,13.8,0.91,0.14,-0.32,0.12,2.6,0.8,-0.26,0.02,4,7,-0.27,0.05,-0.14,0.03,-0.31,0.02,-0.3,0.05,-0.27,0.02,-0.21,0.06,-0.28,0.09,-0.26,0.04,-0.32,0.06,-0.33,0.03,-0.32,0.02,-0.44,0.33,-0.33,0.02,0.12,0.05,-0.46,0.11
"NGC_1817",186.197,-13.03,78.141,16.693,0.19,1.122,10.08,10.42,0.48,0.12,-0.89,0.1,66.2,0.1,-0.14,0.02,3,5,-0.16,0.02,-0.02,0.07,-0.2,0.02,-0.17,0.05,-0.15,0.02,-0.08,0.06,-0.16,0.06,-0.15,0.02,-0.21,0.03,-0.16,0.04,-0.17,0.02,-0.29,0.21,-0.21,0.03,0.17,0.07,-0.33,0.05
"NGC_1857",168.419,1.253,80.029,39.329,0.06,0.251,11.2,11.45,0.55,0.09,-1.31,0.08,0.4,0.0,-0.18,0.02,1,1,-0.37,0.02,-0.4,0.02,-0.3,0.02,-0.36,0.05,-0.22,0.02,0.0,0.02,-0.37,0.02,-0.25,0.02,-0.05,0.02,-0.29,0.02,-0.14,0.02,-0.51,0.13,-0.18,0.02,0.58,0.05,0.03,0.05
"NGC_188",122.84,22.38,11.837,85.251,0.27,7.079,9.29,9.54,-2.31,0.14,-0.96,0.15,-41.9,0.5,0.08,0.04,4,42,0.08,0.05,0.19,0.1,0.08,0.04,0.11,0.07,0.1,0.03,0.09,0.07,0.13,0.08,0.06,0.05,0.08,0.09,0.12,0.09,0.15,0.03,0.18,0.13,0.11,0.05,-0.24,0.3,0.22,0.14
"NGC_1901",279.051,-33.7,79.288,-68.441,0.65,0.891,8.29,8.05,1.54,0.23,12.67,0.24,53.5,0.1,-0.14,0.02,2,1,0.09,0.03,-2.0,0.03,-0.21,0.04,-0.36,0.05,-0.11,0.03,-0.2,0.02,-0.04,0.02,0.02,0.04,0.31,0.04,0.26,0.02,-0.62,0.02,0.68,0.13,-0.24,0.02,0.44,0.05,-0.63,0.05
"NGC_1907",172.624,0.311,82.029,35.324,0.07,0.589,9.95,9.96,-0.04,0.14,-3.42,0.13,2.7,0.2,-0.1,0.02,2,3,-0.16,0.02,-0.02,0.07,-0.14,0.02,-0.2,0.05,-0.1,0.02,0.08,0.05,-0.24,0.1,-0.14,0.02,-0.16,0.04,-0.23,0.02,-0.13,0.02,-0.17,0.13,-0.14,0.02,0.2,0.13,-0.24,0.13
"NGC_1912",172.272,0.68,82.167,35.821,0.16,0.295,9.44,9.3,1.58,0.17,-4.42,0.16,-1.0,0.0,-0.1,0.02,2,1,-0.22,0.02,-0.19,0.02,-0.26,0.02,-0.17,0.05,-0.11,0.02,0.11,0.02,-0.28,0.02,-0.17,0.02,-0.11,0.02,-0.2,0.02,-0.12,0.02,-0.26,0.13,-0.17,0.02,0.58,0.05,0.01,0.05
"NGC_2158",186.636,1.785,91.859,24.098,0.04,1.549,12.62,12.03,-0.18,0.18,-2.0,0.17,27.1,1.4,-0.24,0.02,4,50,-0.28,0.1,-0.14,0.11,-0.27,0.03,-0.26,0.05,-0.23,0.03,-0.18,0.11,-0.25,0.08,-0.24,0.04,-0.33,0.05,-0.33,0.14,-0.28,0.04,-0.44,0.32,-0.3,0.04,0.05,0.17,-0.29,0.26
"NGC_2168",186.623,2.235,92.284,24.326,0.32,0.148,9.24,9.44,2.31,0.24,-2.9,0.23,-7.1,0.9,-0.03,0.04,4,57,0.03,0.14,-0.28,0.56,-0.12,0.05,-0.12,0.1,-0.04,0.06,-0.02,0.1,-0.13,0.16,-0.07,0.1,0.03,0.23,-0.08,0.18,-0.14,0.07,0.12,0.58,-0.11,0.08,-0.02,0.33,0.02,0.22
