"Cluster","GLON","GLAT","RAdeg","DEdeg","Radius","Age","Rgc","RGuide","pmRA","e_pmRA","pmDE","e_pmDE","RV","e_RV","[FeH]","e_[FeH]","Qual","Nstars","[OH]","e_[OH]","[NaH]","e_[NaH]","[MgH]","e_[MgH]","[AlH]","e_[AlH]","[SiH]","e_[SiH]","[SH]","e_[SH]","[KH]","e_[KH]","[CaH]","e_[CaH]","[TiH]","e_[TiH]","[CrH]","e_[CrH]","[MnH]","e_[MnH]","[CoH]","e_[CoH]","[NiH]","e_[NiH]","[CeH]","e_[CeH]","[NdH]","e_[NdH]"
"Tombaugh_5",143.936,3.6,56.974,59.076,0.17,0.186,9.77,9.6,0.52,0.11,-2.39,0.12,-23.9,0.0,-0.04,0.02,1,1,-0.22,0.02,-0.05,0.02,-0.19,0.02,-0.23,0.05,-0.08,0.02,0.21,0.02,-0.26,0.02,-0.12,0.02,0.01,0.02,0.05,0.02,-0.03,0.02,-0.09,0.13,-0.05,0.02,0.55,0.05,0.37,0.05
"Trumpler_20",301.474,2.205,189.888,-60.633,0.11,1.862,7.18,7.67,-7.09,0.09,0.18,0.09,-40.2,0.6,0.1,0.02,4,22,0.04,0.02,0.22,0.05,0.02,0.02,0.08,0.05,0.09,0.03,0.12,0.06,-0.01,0.05,0.04,0.04,0.02,0.03,0.08,0.05,0.14,0.03,0.12,0.13,0.06,0.03,0.23,0.07,0.27,0.11
"Trumpler_26",357.528,2.854,262.126,-29.489,0.07,0.251,6.82,6.69,-0.87,0.13,-3.08,0.1,-7.7,0.2,0.23,0.03,2,2,0.15,0.04,0.53,0.03,0.13,0.02,0.12,0.1,0.21,0.04,0.27,0.02,0.19,0.03,0.17,0.03,0.21,0.02,0.19,0.04,0.37,0.07,0.32,0.13,0.26,0.03,0.29,0.05,0.45,0.05
"Trumpler_5",202.821,1.019,99.127,9.459,0.13,4.266,11.21,11.88,-0.59,0.19,0.27,0.18,50.6,1.3,-0.44,0.02,3,10,-0.35,0.04,-0.4,0.14,-0.4,0.02,-0.37,0.05,-0.4,0.03,-0.32,0.09,-0.31,0.06,-0.44,0.03,-0.48,0.04,-0.48,0.07,-0.5,0.02,-0.56,0.36,-0.48,0.03,-0.24,0.1,-0.68,0.37
"UBC_107",27.254,0.556,279.768,-4.797,0.09,0.234,6.22,6.99,0.96,0.14,-1.65,0.13,35.2,0.0,0.06,0.02,1,1,-0.05,0.02,0.14,0.02,-0.04,0.02,-0.04,0.05,0.04,0.02,0.17,0.02,-0.11,0.02,0.0,0.02,0.07,0.02,0.0,0.02,0.04,0.02,0.03,0.13,0.01,0.02,0.37,0.05,0.18,0.05
"UBC_143",80.504,8.372,299.808,45.751,0.14,0.468,8.22,9.03,-3.18,0.07,-7.86,0.09,4.4,0.0,-0.01,0.02,1,1,-0.16,0.02,0.06,0.02,-0.12,0.02,-0.05,0.05,-0.03,0.02,0.05,0.02,-0.1,0.02,-0.03,0.02,-0.04,0.02,-0.02,0.02,0.0,0.02,0.0,0.13,-0.07,0.02,0.29,0.05,0.04,0.05
"UBC_159",96.396,-16.16,338.997,39.635,0.18,0.014,8.4,8.63,-1.91,0.23,-4.79,0.29,-13.0,0.0,-0.03,0.02,1,1,0.11,0.02,-0.03,0.02,-0.12,0.02,-0.21,0.05,0.01,0.02,-0.07,0.02,-0.12,0.02,-0.11,0.02,0.21,0.02,0.25,0.02,-0.05,0.02,-0.23,0.13,-0.09,0.02,-0.01,0.05,-0.14,0.05
"UBC_172",106.223,-4.668,343.419,54.338,0.1,0.204,9.33,9.15,-1.63,0.08,-1.42,0.07,-37.3,0.0,-0.01,0.02,1,1,-0.14,0.02,0.11,0.02,-0.13,0.02,-0.22,0.05,-0.02,0.02,0.2,0.02,-0.17,0.02,-0.12,0.02,-0.02,0.02,-0.07,0.02,0.01,0.02,0.0,0.13,0.01,0.02,0.74,0.05,0.47,0.05
"UBC_199",172.789,-15.68,67.437,25.419,0.14,1.148,9.52,9.54,3.01,0.17,-1.77,0.12,-13.4,0.0,-0.14,0.02,1,1,-0.17,0.02,-0.05,0.02,-0.2,0.02,-0.19,0.05,-0.15,0.02,-0.12,0.02,-0.16,0.02,-0.15,0.02,-0.27,0.02,-0.17,0.02,-0.17,0.02,-0.25,0.13,-0.22,0.02,0.01,0.05,-0.26,0.05
"UBC_212",212.857,-2.084,100.97,-0.884,0.06,1.072,10.8,11.36,-0.62,0.09,0.66,0.13,41.3,0.0,-0.27,0.02,1,1,-0.23,0.02,-0.28,0.02,-0.22,0.02,-0.24,0.05,-0.24,0.02,-0.14,0.02,-0.27,0.02,-0.3,0.02,-0.24,0.02,-0.38,0.02,-0.29,0.02,-0.24,0.13,-0.29,0.02,"nan","nan",-0.93,0.05
"UBC_618",203.13,-2.366,96.238,7.618,0.06,0.724,13.09,13.77,0.25,0.13,0.06,0.1,37.5,0.0,-0.45,0.02,1,1,-0.45,0.02,-0.3,0.02,-0.45,0.02,-0.49,0.05,-0.45,0.02,-0.32,0.02,-0.47,0.02,-0.47,0.02,-0.51,0.02,-0.38,0.02,-0.41,0.02,-0.33,0.13,-0.47,0.02,-0.03,0.05,-1.48,0.05
"UPK_33",27.802,0.446,280.117,-4.36,0.2,0.282,7.88,7.61,-0.12,0.15,-11.01,0.23,-9.8,0.0,-0.02,0.02,1,1,-0.07,0.03,"nan","nan",-0.08,0.05,0.05,0.05,-0.07,0.04,0.27,0.02,0.0,0.02,0.18,0.04,-0.41,0.05,0.06,0.02,-0.05,0.02,0.58,0.14,0.09,0.02,-0.22,0.05,0.01,0.05
"UPK_442",221.969,-10.08,97.852,-12.557,1.12,0.17,8.81,8.8,-2.58,0.17,-1.32,0.19,30.7,0.0,-0.38,0.02,1,1,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
