"Name","Type","Type?","GLON","GLAT","d","E(B-V)","logt","DM(J)","I(M.J)","DM(H)","I(M.H)","DM(Ks)","I(M.Ks)","_RA.icrs","_DE.icrs"
"Ruprecht_120, MWSC_2426","nan","nan",336.368,-0.498,1476.0,0.791,8.45,11.48,-3.443,11.227,-3.657,11.1,-3.71,248.7792,-48.2994
"Collinder_307, MWSC_2427","nan","nan",334.402,-2.335,2065.0,1.166,7.25,12.51,-4.251,12.136,-4.446,11.95,-4.44,248.8222,-50.9894
"NGC_6178, MWSC_2428","nan","nan",338.414,1.228,1011.0,0.239,7.51,10.215,-3.334,10.138,-3.457,10.1,-3.464,248.9364,-45.6248
"FSR_1718, MWSC_2432","nan","nan",330.12,-6.719,2466.0,0.125,9.5,12.06,-3.172,12.02,-3.706,12.0,-3.804,249.5053,-57.0945
"Lynga_11, MWSC_2433","nan","nan",338.191,0.477,4101.0,1.353,6.0,14.15,-4.908,13.716,-5.059,13.5,-5.073,249.5217,-46.2943
"DBSB_171, MWSC_2434","nan","nan",337.608,-0.047,6764.0,1.395,7.71,15.27,-7.764,14.823,-8.344,14.6,-8.555,249.5214,-47.0782
"DBSB_169, MWSC_2435","nan","nan",337.53,-0.281,6667.0,2.207,7.75,15.89,-7.572,15.183,-7.825,14.83,-7.828,249.701,-47.2925
"NGC_6192, MWSC_2440","nan","nan",340.643,2.137,1619.0,0.635,8.15,11.555,-5.748,11.352,-6.234,11.25,-6.395,250.0767,-43.3601
"ESO_277-04, MWSC_2441","nan","nan",340.365,1.879,1790.0,1.166,8.72,12.2,-3.414,11.826,-3.678,11.64,-3.765,250.0891,-43.7391
"FSR_0010, MWSC_2442","nan","nan",2.141,19.609,4844.0,0.541,9.15,13.86,-4.817,13.687,-5.394,13.6,-5.506,250.207,-16.03
"NGC_6193, MWSC_2444","nan","nan",336.716,-1.567,1158.0,0.562,6.7,10.77,-4.804,10.59,-4.827,10.5,-4.801,250.3311,-48.7549
"Ruprecht_121, MWSC_2446","nan","nan",338.72,0.1,1239.0,1.041,8.425,11.3,-5.906,10.967,-6.337,10.8,-6.457,250.437,-46.1494
"NGC_6200, MWSC_2450","nan","nan",337.995,-1.07,2214.0,0.541,7.0,12.16,-5.385,11.987,-5.435,11.9,-5.428,251.0294,-47.4647
"Hogg_20, MWSC_2451","nan","nan",337.894,-1.244,1777.0,0.625,7.45,11.75,-3.614,11.55,-3.693,11.45,-3.691,251.1267,-47.6549
"Hogg_21, MWSC_2455","nan","nan",337.939,-1.438,1750.0,0.729,7.45,11.8,-3.489,11.567,-3.597,11.45,-3.62,251.3888,-47.7473
"Lynga_12, MWSC_2456","nan","nan",335.709,-3.438,1872.0,0.833,9.25,12.03,-4.993,11.763,-5.509,11.63,-5.609,251.501,-50.7402
"NGC_6204, MWSC_2457","nan","nan",338.551,-1.035,1085.0,0.431,8.0,10.523,-3.907,10.385,-3.971,10.316,-4.001,251.5241,-47.0203
"VDBH_197, vdBergh-Hagen_197, MWSC_2458","nan","nan",339.482,-0.322,2069.0,0.999,8.94,12.38,-6.687,12.06,-7.286,11.9,-7.437,251.6142,-45.8494
"Hogg_22, MWSC_2459","nan","nan",338.551,-1.142,2799.0,0.822,6.8,12.895,-6.862,12.632,-6.768,12.5,-6.719,251.6436,-47.0898
"ESO_518-03, MWSC_2462","nan","nan",355.066,12.433,1266.0,0.369,9.17,10.807,-3.804,10.689,-4.255,10.63,-4.349,251.766,-25.8047
"ASCC_85, MWSC_2465","nan","nan",339.905,-0.265,806.0,0.521,7.5,9.95,-3.482,9.783,-3.673,9.7,-3.695,251.9438,-45.4901
"DBSB_174, MWSC_2466","nan","nan",340.053,-0.223,1710.0,1.041,7.4,12.0,-2.126,11.667,-2.273,11.5,-2.247,252.0342,-45.3499
"Lynga_13, MWSC_2468","nan","nan",341.61,0.912,3412.0,1.041,9.2,13.5,-6.222,13.167,-7.0,13.0,-7.277,252.2222,-43.4279
"NGC_6216, MWSC_2469","nan","nan",340.668,0.024,3355.0,1.156,6.7,13.555,-6.244,13.185,-6.37,13.0,-6.339,252.3267,-44.7202
"NGC_6208, MWSC_2470","nan","nan",333.752,-5.741,926.0,0.208,9.28,10.0,-5.695,9.933,-6.601,9.9,-7.013,252.3329,-53.715
"VDBH_200, vdBergh-Hagen_200, MWSC_2471","nan","nan",341.13,0.275,1633.0,1.041,7.5,11.9,-3.778,11.567,-3.889,11.4,-3.913,252.4721,-44.2048
"NGC_6222, MWSC_2472","nan","nan",340.787,-0.134,3308.0,1.249,6.6,13.6,-5.855,13.2,-5.945,13.0,-5.952,252.6047,-44.7301
"FSR_1746, MWSC_2473","nan","nan",345.166,3.44,4103.0,0.729,9.3,13.65,-7.281,13.417,-7.977,13.3,-8.226,252.6656,-39.0799
"FSR_1744, MWSC_2474","nan","nan",342.711,1.207,1844.0,0.999,8.6,12.13,-4.552,11.81,-4.778,11.65,-4.814,252.8744,-42.3932
"FSR_1756, MWSC_2475","nan","nan",348.548,5.849,2532.0,1.499,9.375,13.22,-5.145,12.74,-5.744,12.5,-5.879,253.01,-34.946
"DBSB_175, MWSC_2478","nan","nan",342.059,0.421,3798.0,1.249,6.0,13.9,-4.719,13.5,-4.912,13.3,-4.915,253.137,-43.3961
"DBSB_106, MWSC_2482","nan","nan",340.786,-1.027,3490.0,1.509,6.4,13.925,-4.847,13.441,-4.951,13.2,-4.93,253.5798,-45.2979
"Lynga_14, MWSC_2484","nan","nan",340.901,-1.076,1327.0,1.197,7.75,11.575,-3.462,11.191,-3.572,11.0,-3.561,253.7367,-45.2394
"FSR_1732, MWSC_2485","nan","nan",337.731,-3.657,3584.0,1.02,9.3,13.59,-6.444,13.263,-7.044,13.1,-7.211,253.7668,-49.3249
"FSR_0014, MWSC_2489","nan","nan",4.406,16.753,834.0,0.916,9.1,10.34,-0.843,10.047,-1.154,9.9,-1.203,253.927,-15.9945
