"Name","Type","Type?","GLON","GLAT","d","E(B-V)","logt","DM(J)","I(M.J)","DM(H)","I(M.H)","DM(Ks)","I(M.Ks)","_RA.icrs","_DE.icrs"
"Berkeley_58, MWSC_1","nan","nan",116.75,-1.326,2700.0,0.72,8.47,12.735,-5.225,12.504,-5.468,12.389,-5.529,0.0583,60.9297
"NGC_7801, MWSC_2","nan","nan",114.717,-11.331,1953.0,0.146,9.255,11.57,-3.112,11.523,-3.528,11.5,-3.6,0.0737,50.7232
"FSR_0459, MWSC_3","nan","nan",116.446,-2.99,2926.0,1.145,7.8,13.25,-5.744,12.883,-6.205,12.7,-6.303,0.118,59.2384
"Stock_18, MWSC_4","nan","nan",117.617,2.266,774.0,0.177,8.68,9.585,-1.483,9.528,-1.675,9.5,-1.767,0.3878,64.6217
"Berkeley_59, MWSC_5","nan","nan",118.219,5.001,1000.0,1.241,6.1,10.996,-5.274,10.598,-5.287,10.4,-5.277,0.5509,67.4211
"Blanco_1, MWSC_7","nan","nan",14.83,-79.098,250.0,0.012,7.75,7.0,-1.945,6.996,-2.184,6.994,-2.233,0.8785,-30.0035
"Berkeley_104, MWSC_8","nan","nan",117.615,1.202,3599.0,0.606,8.805,13.267,-5.573,13.073,-5.935,12.976,-6.006,0.8433,63.5765
"IRAS_00013+6817, MWSC_9","nan","nan",118.595,6.091,1338.0,0.833,7.15,11.3,-2.23,11.033,-2.327,10.9,-2.329,0.9871,68.5619
"FSR_0504, MWSC_14","nan","nan",121.227,19.116,3744.0,0.104,9.45,12.95,-2.486,12.917,-2.963,12.9,-3.029,1.4417,81.8362
"Czernik_1, MWSC_17","nan","nan",117.721,-0.941,2609.0,0.833,7.76,12.75,-2.995,12.483,-3.086,12.35,-3.085,1.8933,61.4862
"SAI_1, MWSC_18","nan","nan",116.177,-10.586,1905.0,0.312,9.27,11.65,-2.187,11.55,-2.681,11.5,-2.777,2.1029,51.7205
"ASCC_1, MWSC_19","nan","nan",118.158,0.217,1600.0,0.489,8.406,11.413,-3.704,11.256,-4.039,11.178,-4.151,2.4049,62.7005
"Berkeley_1, MWSC_20","nan","nan",117.79,-1.99,10300.0,0.904,8.6,15.789,-7.804,15.5,-8.342,15.355,-8.436,2.3914,60.463
"King_13, MWSC_21","nan","nan",117.96,-1.291,3100.0,0.82,8.595,13.115,-5.23,12.852,-5.527,12.721,-5.598,2.5048,61.1803
"Alessi_20, MWSC_23","nan","nan",117.648,-3.708,470.0,0.381,7.575,8.666,-2.632,8.544,-2.647,8.483,-2.635,2.6576,58.7445
"FSR_0474, MWSC_24","nan","nan",117.813,-2.735,4638.0,1.145,8.9,14.25,-5.535,13.883,-6.076,13.7,-6.244,2.6756,59.7313
"FSR_0480, MWSC_25","nan","nan",118.583,-1.095,5492.0,0.937,9.3,14.45,-7.333,14.15,-8.068,14.0,-8.267,3.7265,61.4679
"PTB_7, MWSC_26","nan","nan",119.577,5.679,3233.0,1.405,6.55,13.675,-5.446,13.225,-5.591,13.0,-5.577,3.7922,68.3142
"Juchert-Saloran_1, MWSC_28","nan","nan",118.541,-2.613,5326.0,0.833,9.3,14.3,-6.606,14.033,-7.427,13.9,-7.717,4.0719,59.9587
"Berkeley_60, MWSC_29","nan","nan",118.839,-1.673,3299.0,0.958,8.4,13.36,-4.946,13.053,-5.143,12.9,-5.181,4.4159,60.9301
"ASCC_2, MWSC_31","nan","nan",118.397,-6.948,2301.0,0.5,8.87,12.21,-5.506,12.05,-6.001,11.97,-6.111,4.8654,55.6419
"FSR_0486, MWSC_32","nan","nan",118.973,-3.304,1850.0,0.55,8.9,11.777,-1.961,11.601,-2.243,11.513,-2.309,5.0939,59.3288
"FSR_0479, MWSC_33","nan","nan",118.546,-7.791,2038.0,0.479,8.8,11.93,-2.986,11.777,-3.234,11.7,-3.274,5.3021,54.8231
"Mayer_1, MWSC_34","nan","nan",119.456,-0.935,1430.0,0.5,7.74,11.178,-2.491,11.018,-2.781,10.938,-2.815,5.5039,61.738
"King_1, MWSC_35","nan","nan",119.758,1.69,1659.0,0.625,9.7,11.6,-5.862,11.4,-6.494,11.3,-6.616,5.5059,64.3803
"FSR_0477, MWSC_36","nan","nan",118.463,-10.745,1908.0,0.458,9.04,11.77,-3.149,11.623,-3.508,11.55,-3.553,5.7361,51.8793
"SAI_4, MWSC_37","nan","nan",119.746,0.007,1600.0,0.4,8.8,11.341,-1.493,11.213,-1.779,11.149,-1.854,5.8981,62.7064
"Stock_20, MWSC_39","nan","nan",119.92,-0.12,1100.0,0.2,8.337,10.367,-2.631,10.303,-2.813,10.271,-2.865,6.3038,62.5983
"NGC_103, MWSC_40","nan","nan",119.771,-1.373,2501.0,0.45,8.565,12.351,-4.227,12.207,-4.705,12.135,-4.798,6.2603,61.3366
"Berkeley_2, MWSC_41","nan","nan",119.696,-2.328,5499.0,0.899,8.98,14.423,-5.836,14.135,-6.237,13.991,-6.312,6.3071,60.379
"FSR_0494, MWSC_42","nan","nan",120.084,1.018,5087.0,0.521,9.3,13.95,-7.104,13.783,-7.857,13.7,-8.064,6.4112,63.747
"FSR_0496, MWSC_44","nan","nan",120.223,1.285,1123.0,0.77,9.055,10.87,-4.811,10.623,-5.392,10.5,-5.538,6.6659,64.0264
"NGC_110, MWSC_45","nan","nan",120.996,8.637,1600.0,0.65,8.97,11.542,-3.014,11.334,-3.333,11.23,-3.359,6.8432,71.4182
"SAI_6, MWSC_46","nan","nan",120.049,-2.066,3100.0,0.899,8.7,13.178,-5.069,12.89,-5.498,12.746,-5.583,6.9693,60.6738
"FSR_0481, MWSC_48","nan","nan",118.586,-19.406,2164.0,0.385,9.1,11.985,-2.238,11.862,-2.571,11.8,-2.623,7.2258,43.2755
"FSR_0503, MWSC_51","nan","nan",120.938,6.104,4701.0,0.799,9.18,14.002,-5.873,13.746,-6.386,13.618,-6.494,7.3472,68.8903
"Stock_21, MWSC_52","nan","nan",120.107,-4.828,1700.0,0.416,8.825,11.486,-3.85,11.353,-4.244,11.286,-4.305,7.5529,57.9273
"NGC_129, MWSC_53","nan","nan",120.285,-2.563,1685.0,0.541,7.975,11.567,-5.907,11.394,-6.185,11.307,-6.228,7.5331,60.1992
"NGC_133, MWSC_55","nan","nan",120.668,0.559,1861.0,0.625,7.3,11.85,-3.778,11.65,-3.78,11.55,-3.733,7.8086,63.3419
"NGC_136, MWSC_56","nan","nan",120.563,-1.274,3519.0,0.833,8.4,13.4,-5.357,13.133,-5.741,13.0,-5.829,7.8903,61.5063
"King_14, MWSC_57","nan","nan",120.743,0.388,2600.0,0.6,7.7,12.556,-5.285,12.364,-5.302,12.268,-5.279,8.004,63.1772
"King_15, MWSC_58","nan","nan",120.733,-0.905,5500.0,0.7,8.4,14.263,-5.01,14.039,-5.262,13.927,-5.315,8.1895,61.887
"NGC_146, MWSC_59","nan","nan",120.847,0.505,2800.0,0.6,7.701,12.717,-5.142,12.525,-5.169,12.429,-5.164,8.2152,63.3015
"NGC_189, MWSC_62","nan","nan",121.483,-1.726,1300.0,0.7,8.709,11.131,-3.53,10.907,-3.772,10.795,-3.821,9.8606,61.112
"Stock_24, MWSC_63","nan","nan",121.555,-0.879,2400.0,0.55,7.985,12.342,-3.51,12.166,-3.68,12.078,-3.725,9.9296,61.9614
"Dolidze_12, MWSC_65","nan","nan",121.628,-1.993,4000.0,0.5,9.135,13.411,-7.382,13.251,-8.185,13.171,-8.448,10.1833,60.8516
"FSR_0508, MWSC_66","nan","nan",121.917,2.1,5053.0,1.499,6.67,14.72,-4.418,14.24,-4.479,14.0,-4.446,10.4632,64.9529
"Dias_1, MWSC_67","nan","nan",121.962,1.202,2186.0,0.937,7.9,12.45,-6.997,12.15,-7.797,12.0,-8.143,10.6424,64.057
"NGC_225, MWSC_68","nan","nan",121.953,-1.077,850.0,0.6,8.191,10.128,-3.943,9.936,-4.393,9.84,-4.504,10.7893,61.779
"Czernik_2, MWSC_69","nan","nan",121.963,-2.708,4500.0,0.5,9.123,13.667,-6.24,13.507,-6.857,13.427,-7.01,10.9148,60.1491
"King_16, MWSC_70","nan","nan",122.102,1.317,2325.0,0.833,7.8,12.5,-3.756,12.233,-3.898,12.1,-3.913,10.9545,64.1765
"FSR_0507, MWSC_71","nan","nan",121.778,-10.498,2203.0,0.885,9.0,12.425,-4.144,12.142,-4.61,12.0,-4.726,11.0015,52.3571
"Berkeley_4, MWSC_73","nan","nan",122.239,1.516,3300.0,0.7,7.3,13.154,-5.925,12.93,-5.912,12.818,-5.881,11.2574,64.3791
"NGC_188, MWSC_74","nan","nan",122.839,22.381,2000.0,0.085,9.65,11.574,-5.721,11.547,-6.27,11.533,-6.373,11.8214,85.252
"Berkeley_61, MWSC_75","nan","nan",122.624,4.32,2153.0,1.041,8.985,12.5,-3.589,12.167,-3.965,12.0,-3.997,12.0675,67.1899
"Dolidze_13, MWSC_76","nan","nan",122.775,1.216,2400.0,0.35,8.962,12.182,-3.544,12.07,-3.812,12.014,-3.864,12.5005,64.0873
"FSR_0515, MWSC_77","nan","nan",122.823,-8.11,2362.0,0.416,9.275,12.2,-2.981,12.067,-3.401,12.0,-3.463,12.6726,54.7616
"FSR_0516, MWSC_78","nan","nan",122.837,3.09,810.0,2.04,8.83,11.18,-4.199,10.526,-4.56,10.2,-4.66,12.6268,65.9616
"King_2, MWSC_79","nan","nan",122.859,-4.674,5499.0,0.3,9.67,13.942,-5.796,13.846,-6.508,13.798,-6.728,12.7216,58.1977
"FSR_0519, MWSC_83","nan","nan",123.04,1.792,1517.0,0.697,7.35,11.465,-2.842,11.242,-3.079,11.13,-3.123,13.1119,64.6635
"FSR_0521, MWSC_86","nan","nan",123.121,-3.039,2534.0,0.562,9.21,12.47,-4.029,12.29,-4.355,12.2,-4.42,13.2352,59.8322
"ASCC_4, MWSC_87","nan","nan",123.146,-1.274,550.0,0.25,8.65,8.902,-1.57,8.822,-1.822,8.782,-1.864,13.3094,61.597
"Alessi_1, MWSC_88","nan","nan",123.238,-13.394,750.0,0.1,8.84,9.455,-3.0,9.423,-3.332,9.407,-3.428,13.3177,49.4767
"FSR_0522, MWSC_89","nan","nan",123.19,2.923,2094.0,0.916,8.55,12.34,-4.068,12.047,-4.384,11.9,-4.493,13.4881,65.7935
"FSR_0524, MWSC_92","nan","nan",123.61,-0.742,1841.0,0.541,9.19,11.76,-3.377,11.587,-3.794,11.5,-3.865,14.3096,62.1221
"ASCC_5, MWSC_93","nan","nan",123.802,-7.01,523.0,0.021,7.78,8.61,-1.434,8.603,-1.561,8.6,-1.592,14.398,55.8514
"Skiff_J0058+68.4, MWSC_94","nan","nan",123.548,5.598,2000.0,0.65,9.01,12.026,-6.703,11.818,-7.341,11.714,-7.594,14.5298,68.4618
"Berkeley_62, MWSC_97","nan","nan",123.99,1.08,2000.0,0.731,7.3,12.091,-3.833,11.857,-4.038,11.74,-4.094,15.2674,63.932
"Czernik_3, MWSC_98","nan","nan",124.266,-0.058,1600.0,0.999,8.8,11.822,-4.081,11.502,-4.682,11.342,-4.784,15.7774,62.7835
"NGC_366, MWSC_102","nan","nan",124.686,-0.6,2200.0,0.999,7.9,12.514,-4.399,12.194,-4.477,12.034,-4.503,16.6249,62.2204
"NGC_381, MWSC_105","nan","nan",124.948,-1.229,1200.0,0.339,8.85,10.668,-3.294,10.559,-3.482,10.505,-3.522,17.0971,61.5764
"Stock_3, MWSC_108","nan","nan",125.335,-0.52,1363.0,0.708,7.85,11.24,-2.78,11.013,-2.928,10.9,-2.934,18.0268,62.2553
"NGC_433, MWSC_110","nan","nan",125.886,-2.616,1650.0,0.6,7.81,11.569,-3.113,11.377,-3.299,11.281,-3.343,18.7909,60.1196
"NGC_436, MWSC_111","nan","nan",126.108,-3.913,3000.0,0.46,7.925,12.755,-3.576,12.608,-3.67,12.534,-3.689,18.9862,58.8075
"NGC_457, MWSC_114","nan","nan",126.635,-4.392,2400.0,0.4,7.38,12.222,-8.93,12.094,-9.241,12.03,-9.546,19.8942,58.2773
"FSR_0544, MWSC_115","nan","nan",127.29,-9.968,1799.0,0.7,8.906,11.836,-4.393,11.612,-4.828,11.5,-4.916,19.948,52.6637
"FSR_0536, MWSC_116","nan","nan",126.125,0.368,3001.0,1.199,8.397,13.348,-5.313,12.964,-5.589,12.772,-5.656,19.9225,63.0645
"FSR_0538, MWSC_117","nan","nan",126.31,1.029,2146.0,1.062,8.86,12.51,-4.883,12.17,-5.372,12.0,-5.501,20.5007,63.7001
"FSR_0542, MWSC_119","nan","nan",126.818,0.369,1934.0,0.833,8.35,12.1,-3.486,11.833,-3.616,11.7,-3.664,21.4392,62.9815
"SAI_14, MWSC_120","nan","nan",126.898,0.005,5086.0,0.833,9.45,14.2,-5.038,13.933,-5.528,13.8,-5.625,21.5065,62.6101
"FSR_0560, MWSC_121","nan","nan",129.815,-18.231,1907.0,0.77,8.355,12.02,-2.344,11.773,-2.521,11.65,-2.536,21.9878,44.1522
"NGC_559, MWSC_122","nan","nan",127.189,0.742,2200.0,0.6,8.8,12.193,-6.772,12.001,-6.987,11.905,-7.048,22.3677,63.299
"NGC_581, MWSC_124","nan","nan",128.033,-1.808,2199.0,0.331,7.44,11.977,-5.859,11.871,-5.847,11.818,-5.863,23.3054,60.6492
"FSR_0531, MWSC_125","nan","nan",125.739,12.096,3896.0,0.146,9.4,13.07,-4.924,13.023,-5.466,13.0,-5.563,23.3413,74.7388
"Czernik_4, MWSC_126","nan","nan",128.178,-0.961,1632.0,0.999,7.715,11.865,-6.2,11.545,-6.606,11.385,-6.623,23.8911,61.4605
"Trumpler_1, MWSC_127","nan","nan",128.214,-1.146,2399.0,0.583,7.1,12.368,-3.471,12.181,-3.563,12.088,-3.572,23.8993,61.272
"NGC_609, MWSC_128","nan","nan",127.736,2.08,4499.0,0.75,9.15,13.867,-6.194,13.627,-6.775,13.507,-6.903,24.0829,64.5322
"FSR_0546, MWSC_129","nan","nan",127.59,3.39,2501.0,1.099,9.0,12.872,-5.232,12.52,-5.697,12.344,-5.797,24.287,65.8475
"FSR_0553, MWSC_132","nan","nan",128.222,2.15,7500.0,0.999,8.6,15.177,-6.684,14.857,-6.955,14.697,-7.027,25.2227,64.5126
"NGC_637, MWSC_133","nan","nan",128.545,1.735,2304.0,0.583,6.74,12.28,-4.575,12.093,-4.652,12.0,-4.649,25.766,64.0427
"FSR_0539, MWSC_134","nan","nan",126.454,11.885,2121.0,0.521,9.305,12.05,-4.092,11.883,-4.659,11.8,-4.75,25.7788,74.4023
"NGC_657, MWSC_135","nan","nan",130.222,-6.298,1934.0,0.521,9.0,11.85,-4.076,11.683,-4.618,11.6,-4.705,25.8392,55.8371
"NGC_654, MWSC_137","nan","nan",129.072,-0.347,1786.0,0.75,7.25,11.86,-3.979,11.62,-4.122,11.5,-4.155,25.9836,61.8973
"NGC_659, MWSC_138","nan","nan",129.368,-1.542,2300.0,0.65,7.762,12.33,-4.958,12.122,-5.003,12.018,-4.99,26.0822,60.6671
"NGC_663, MWSC_139","nan","nan",129.47,-0.953,2100.0,0.7,7.5,12.172,-6.265,11.948,-6.26,11.836,-6.262,26.5387,61.2222
"Collinder_463, MWSC_140","nan","nan",127.461,9.415,800.0,0.3,8.45,9.756,-3.522,9.66,-3.833,9.612,-3.904,27.2849,71.7775
"ASCC_6, MWSC_141","nan","nan",130.36,-4.388,1350.0,0.3,7.8,10.892,-3.088,10.796,-3.292,10.748,-3.327,26.8096,57.6768
"Berkeley_5, MWSC_142","nan","nan",129.277,0.753,6000.0,1.399,8.83,15.013,-6.648,14.565,-7.22,14.341,-7.417,26.9132,62.9302
"Berkeley_6, MWSC_145","nan","nan",130.107,-0.978,2500.0,0.781,8.6,12.616,-4.817,12.366,-5.146,12.241,-5.208,27.8146,61.0577
"IC_166, MWSC_146","nan","nan",130.045,-0.165,4801.0,0.849,9.0,14.088,-8.485,13.816,-9.117,13.68,-9.269,28.0826,61.8629
"Stock_4, MWSC_147","nan","nan",131.283,-4.861,900.0,0.05,8.6,9.811,-2.157,9.795,-2.403,9.787,-2.458,28.2719,57.0078
"Berkeley_7, MWSC_149","nan","nan",130.13,0.375,2600.0,0.799,7.25,12.716,-4.146,12.46,-4.259,12.332,-4.259,28.5329,62.3674
"Czernik_5, MWSC_150","nan","nan",130.552,-0.567,2400.0,1.099,8.615,12.783,-4.031,12.431,-4.202,12.255,-4.205,28.9148,61.351
"NGC_752, MWSC_151","nan","nan",136.994,-23.286,450.0,0.04,9.13,8.298,-4.198,8.285,-4.627,8.279,-4.705,29.2633,37.7875
"IRAS_01546+6319, MWSC_152","nan","nan",130.201,1.549,2400.0,2.301,6.59,13.746,-7.439,13.009,-7.387,12.641,-7.348,29.3195,63.4877
"NGC_744, MWSC_153","nan","nan",132.401,-6.158,1382.0,0.381,8.375,11.008,-4.181,10.886,-4.441,10.825,-4.479,29.6335,55.4754
"NGC_743, MWSC_154","nan","nan",131.198,-1.636,1100.0,0.45,8.29,10.568,-3.034,10.424,-3.245,10.352,-3.27,29.6437,60.1538
"ASCC_7, MWSC_156","nan","nan",131.575,-2.81,2000.0,0.45,7.4,11.866,-3.449,11.722,-3.772,11.65,-3.841,29.7639,58.9224
"FSR_0558, MWSC_157","nan","nan",129.401,5.8,2501.0,0.999,8.8,12.792,-4.575,12.472,-5.001,12.312,-5.089,30.117,67.8006
"Berkeley_8, MWSC_158","nan","nan",127.365,13.224,5001.0,0.4,9.3,13.816,-7.089,13.688,-7.779,13.624,-7.959,30.3371,75.4906
"Czernik_6, MWSC_159","nan","nan",130.869,1.066,1391.0,0.26,7.98,10.925,-2.753,10.842,-2.825,10.8,-2.859,30.4688,62.8472
"Czernik_7, MWSC_162","nan","nan",131.152,0.526,3001.0,0.6,9.116,12.867,-5.403,12.675,-6.063,12.579,-6.235,30.7418,62.2507
"Stock_5, MWSC_163","nan","nan",130.736,2.593,1100.0,0.489,7.7,10.6,-4.785,10.443,-4.778,10.365,-4.755,31.1231,64.3522
"SAI_16, MWSC_165","nan","nan",131.443,0.623,4739.0,0.999,9.15,14.18,-6.108,13.86,-6.829,13.7,-7.005,31.4002,62.2629
"FSR_0561, MWSC_166","nan","nan",129.908,5.884,1466.0,2.082,8.24,12.5,-4.617,11.833,-4.668,11.5,-4.648,31.4599,67.7424
"Riddle_4, MWSC_167","nan","nan",132.22,-1.226,2200.0,1.049,7.35,12.554,-2.857,12.218,-3.035,12.05,-3.073,31.8476,60.2689
"IRAS_02044+6031, MWSC_168","nan","nan",132.162,-0.743,2735.0,1.135,6.25,13.095,-5.852,12.731,-5.959,12.55,-5.988,32.0203,60.7479
"IRAS_02054+6011, MWSC_171","nan","nan",132.321,-1.022,2726.0,1.312,6.8,13.23,-4.382,12.81,-4.48,12.6,-4.509,32.1632,60.4345
"Stock_2, MWSC_173","nan","nan",133.334,-1.744,400.0,0.339,8.44,8.283,-5.027,8.174,-5.34,8.12,-5.405,33.6485,59.4379
"NGC_869, MWSC_175","nan","nan",134.616,-3.731,2300.0,0.521,7.28,12.226,-9.921,12.059,-10.606,11.976,-11.041,34.7281,57.143
"Berkeley_63, MWSC_177","nan","nan",132.497,2.504,3991.0,0.916,8.9,13.74,-6.416,13.447,-7.013,13.3,-7.162,34.8864,63.7274
"SAI_17, MWSC_179","nan","nan",134.161,-1.712,4000.0,1.049,8.9,13.852,-4.451,13.516,-4.784,13.348,-4.831,35.1998,59.1976
"ASCC_8, MWSC_180","nan","nan",133.985,-1.255,1801.0,0.6,7.77,11.758,-5.909,11.566,-6.218,11.47,-6.286,35.1782,59.6871
"Berkeley_64, MWSC_182","nan","nan",131.972,4.611,4801.0,0.899,9.0,14.128,-5.584,13.84,-5.997,13.696,-6.065,35.4019,65.8875
"NGC_884, MWSC_184","nan","nan",135.012,-3.59,2345.0,0.56,7.2,12.3,-7.046,12.121,-7.078,12.031,-7.078,35.5014,57.1423
"NGC_886, MWSC_186","nan","nan",132.889,2.673,1000.0,0.5,8.75,10.401,-3.009,10.241,-3.27,10.161,-3.318,35.8487,63.7528
"IRAS_02232+6138, MWSC_192","nan","nan",133.847,1.146,1835.0,1.187,6.85,12.27,-4.885,11.89,-4.909,11.7,-4.853,36.6295,61.9859
"FSR_0584, MWSC_193","nan","nan",134.047,0.837,2009.0,1.041,9.1,12.35,-2.281,12.017,-2.6,11.85,-2.691,36.789,61.6257
"FSR_0591, MWSC_196","nan","nan",135.139,-1.818,2297.0,0.604,6.85,12.29,-4.01,12.097,-4.108,12.0,-4.112,36.904,58.7555
"Tombaugh_4, MWSC_199","nan","nan",134.205,1.068,3700.0,1.249,8.64,13.843,-5.454,13.443,-5.717,13.243,-5.776,37.277,61.7832
"Teutsch_55, MWSC_200","nan","nan",134.127,1.343,2006.0,0.895,8.735,12.23,-3.891,11.943,-4.137,11.8,-4.198,37.3382,62.0676
"FSR_0568, MWSC_201","nan","nan",130.308,10.726,2301.0,0.96,9.0,12.579,-4.276,12.272,-4.604,12.118,-4.677,37.213,72.1883
"Stock_7, MWSC_202","nan","nan",134.679,0.061,850.0,0.531,7.8,10.073,-3.15,9.903,-3.22,9.818,-3.224,37.4204,60.6723
"FSR_0620, MWSC_206","nan","nan",138.122,-8.119,2200.0,0.57,8.84,12.17,-4.804,11.987,-5.153,11.896,-5.229,37.6614,51.8027
"FSR_0569, MWSC_207","nan","nan",130.356,11.058,2375.0,1.312,8.375,12.93,-5.735,12.51,-6.297,12.3,-6.516,37.77,72.4779
"NGC_956, MWSC_208","nan","nan",141.153,-14.709,2613.0,0.354,9.1,12.37,-3.653,12.257,-4.006,12.2,-4.095,37.9845,44.5779
"IC_1805, MWSC_209","nan","nan",134.722,0.921,1700.0,0.799,7.25,11.794,-6.679,11.538,-6.643,11.41,-6.623,38.1697,61.4534
"Czernik_8, MWSC_210","nan","nan",135.78,-1.55,1410.0,0.799,8.175,11.388,-2.31,11.132,-2.555,11.004,-2.601,38.2431,58.7657
"NGC_957, MWSC_211","nan","nan",136.297,-2.629,1900.0,0.631,7.25,11.9,-7.02,11.698,-7.031,11.597,-7.063,38.3653,57.5711
"Czernik_9, MWSC_212","nan","nan",135.418,-0.502,1900.0,1.049,8.75,12.236,-4.274,11.9,-4.698,11.732,-4.794,38.3733,59.8724
"Czernik_10, MWSC_213","nan","nan",135.342,-0.203,2500.0,1.349,8.502,13.072,-5.292,12.64,-5.812,12.424,-5.943,38.4626,60.1777
"SAI_21, MWSC_215","nan","nan",134.514,2.061,1900.0,0.65,8.95,11.915,-3.004,11.707,-3.376,11.603,-3.463,38.6944,62.5858
"King_4, MWSC_216","nan","nan",136.046,-1.159,2801.0,0.895,8.205,12.955,-5.855,12.668,-6.135,12.525,-6.192,39.0106,59.0233
"Trumpler_2, MWSC_219","nan","nan",137.433,-3.911,670.0,0.321,7.925,9.387,-4.939,9.284,-5.609,9.233,-5.724,39.3558,55.9478
"Berkeley_65, MWSC_221","nan","nan",135.836,0.248,2501.0,1.099,7.2,12.872,-4.116,12.52,-4.261,12.344,-4.282,39.737,60.3979
"Czernik_12, MWSC_222","nan","nan",138.099,-4.752,2000.0,0.26,9.1,11.714,-3.564,11.631,-3.917,11.589,-3.976,39.8326,54.9109
"NGC_1039, MWSC_223","nan","nan",143.659,-15.584,510.0,0.077,8.383,8.6,-3.44,8.575,-3.628,8.563,-3.685,40.5392,42.7877
"FSR_0614, MWSC_224","nan","nan",137.749,-2.912,2787.0,0.854,6.75,12.91,-4.594,12.637,-4.719,12.5,-4.727,40.6084,56.7324
"NGC_1027, MWSC_225","nan","nan",135.742,1.543,950.0,0.25,8.55,10.089,-3.339,10.009,-3.53,9.969,-3.587,40.6521,61.6183
"Czernik_13, MWSC_227","nan","nan",135.642,2.265,4101.0,0.949,6.855,13.826,-5.184,13.522,-5.229,13.37,-5.242,41.1015,62.3159
"ASCC_9, MWSC_228","nan","nan",137.874,-1.739,2901.0,0.899,7.0,13.034,-7.978,12.746,-7.955,12.602,-7.957,41.7333,57.7429
"Teutsch_162, MWSC_232","nan","nan",136.129,2.113,1600.0,0.949,7.0,11.782,-3.026,11.478,-3.152,11.326,-3.137,41.9045,61.9707
"IC_1848, MWSC_236","nan","nan",137.186,0.89,1500.0,0.67,6.85,11.418,-4.08,11.203,-4.411,11.096,-4.431,42.7638,60.4084
"IRAS_02497+6217, MWSC_240","nan","nan",136.598,2.962,2056.0,1.041,6.8,12.4,-4.206,12.067,-4.392,11.9,-4.384,43.6157,62.5233
"FSR_0581, MWSC_243","nan","nan",133.827,8.63,930.0,0.799,8.4,10.484,-1.314,10.228,-1.612,10.1,-1.658,44.0111,68.8236
"IRAS_02541+6208, MWSC_246","nan","nan",137.192,3.018,2273.0,2.228,6.65,13.57,-7.011,12.856,-6.957,12.5,-6.93,44.8066,62.2979
"SAI_24, MWSC_249","nan","nan",138.037,1.485,1000.0,0.5,7.2,10.401,-3.491,10.241,-3.444,10.161,-3.431,44.8517,60.5479
"SAI_25, MWSC_250","nan","nan",139.688,-1.334,2300.0,0.97,9.185,12.587,-3.759,12.276,-4.009,12.121,-4.059,45.0855,57.2833
"Berkeley_66, MWSC_255","nan","nan",139.415,0.175,7002.0,1.149,9.15,15.148,-6.955,14.78,-7.54,14.596,-7.684,46.0028,58.7378
"NGC_1193, MWSC_256","nan","nan",146.8,-12.176,6000.0,0.2,9.3,14.051,-6.901,13.987,-7.741,13.955,-7.977,46.4595,44.3783
"FSR_0612, MWSC_258","nan","nan",137.291,5.345,1900.0,0.899,9.092,12.115,-2.873,11.827,-3.143,11.683,-3.167,47.5357,64.2783
"NGC_1220, MWSC_261","nan","nan",143.033,-3.965,2100.0,0.75,8.2,12.212,-3.556,11.972,-3.988,11.852,-4.0,47.9103,53.3452
"Trumpler_3, MWSC_262","nan","nan",138.063,4.488,620.0,0.221,8.005,9.139,-3.095,9.068,-3.377,9.033,-3.448,48.0385,63.1484
"NGC_1245, MWSC_264","nan","nan",146.648,-8.913,3000.0,0.25,9.025,12.586,-6.582,12.506,-7.015,12.466,-7.083,48.6897,47.2516
"King_5, MWSC_265","nan","nan",143.768,-4.281,2200.0,0.67,9.09,12.25,-5.91,12.035,-6.463,11.928,-6.568,48.6815,52.6955
"Czernik_14, MWSC_267","nan","nan",140.94,0.917,2200.0,1.07,8.584,12.57,-3.51,12.227,-3.782,12.056,-3.841,49.2543,58.6031
"FSR_0628, MWSC_272","nan","nan",140.548,2.974,5001.0,1.049,9.25,14.337,-5.296,14.001,-5.796,13.833,-5.906,50.7875,60.548
"Melotte_20, MWSC_274","nan","nan",147.482,-6.533,175.0,0.09,7.7,6.287,-3.774,6.258,-3.799,6.244,-3.781,51.6638,48.7983
"ASCC_10, MWSC_275","nan","nan",155.615,-17.787,700.0,0.1,8.717,9.306,-2.994,9.274,-3.16,9.258,-3.213,51.7557,35.028
"King_6, MWSC_277","nan","nan",143.342,-0.073,632.0,0.3,8.975,9.244,-2.344,9.148,-2.839,9.1,-2.91,52.0006,56.4634
"Czernik_16, MWSC_282","nan","nan",145.888,-2.974,2700.0,1.149,7.3,13.079,-4.483,12.711,-4.623,12.527,-4.628,52.781,52.631
"NGC_1342, MWSC_283","nan","nan",155.022,-15.318,665.0,0.331,8.6,9.379,-2.806,9.273,-3.077,9.22,-3.155,52.995,37.3559
"ASCC_11, MWSC_284","nan","nan",150.558,-9.236,837.0,0.271,8.345,9.83,-5.845,9.743,-6.443,9.7,-6.671,53.0592,44.8388
"FSR_0632, MWSC_285","nan","nan",142.276,2.527,1037.0,0.687,8.35,10.63,-2.204,10.41,-2.541,10.3,-2.593,53.1321,59.2082
"Berkeley_9, MWSC_286","nan","nan",146.062,-2.83,1550.0,0.75,9.3,11.553,-3.165,11.313,-3.52,11.193,-3.566,53.1517,52.6492
