"ASCC","Name","RAJ2000","DEJ2000","GLON","GLAT","Radco","Radcl","RV","e_RV","o_RV","pmRA","e_pmRA","pmDE","e_pmDE","pmGLON","pmGLAT","N1s","Dist","E(B-V)","m-M","logt","o_logt","Rem"
"ASCC_104","nan",294.72,18.69,54.9,-1.55,0.15,0.48,-5.65,1.65,2.0,-0.09,0.31,-4.65,0.33,-4.1,-2.2,22,800,0.33,10.54,7.71,2,"*"
"ASCC_105","nan",295.44,27.38,62.78,2.16,0.2,0.6,-18.75,5.25,2.0,0.91,0.32,-3.76,0.27,-2.82,-2.65,32,500,0.09,8.77,8.0,1,"*"
"Alessi 44, ASCC_106","Alessi 44",295.78,1.6,40.34,-10.73,0.2,0.66,"nan","nan","nan",-1.16,0.21,-2.74,0.36,-2.96,-0.26,14,500,0.35,9.58,8.42,3,"nan"
"ASCC_107","nan",297.13,21.96,58.86,-1.89,0.07,0.11,-7.0,"nan",1.0,0.89,0.42,-4.48,0.23,-3.42,-3.03,7,700,0.2,9.85,8.41,2,"nan"
"ASCC_108","nan",298.45,39.37,74.45,5.99,0.08,0.22,"nan","nan","nan",-0.21,0.42,-0.81,0.31,-0.8,-0.23,12,1100,0.05,10.36,8.64,3,"nan"
"ASCC_109","nan",298.5,34.58,70.33,3.51,0.15,0.5,"nan","nan","nan",0.47,0.4,-2.23,0.68,-1.67,-1.55,16,450,0.0,8.27,8.31,2,"nan"
"ASCC_110","nan",300.75,33.57,70.45,1.4,0.1,0.23,-20.5,10.91,4.0,0.6,0.24,-4.41,0.41,-3.42,-2.85,15,800,0.15,9.98,8.75,5,"nan"
"ASCC_111","nan",302.8,37.45,74.62,2.08,0.2,0.55,-14.24,7.02,7.0,-0.45,0.37,-3.9,0.27,-3.51,-1.76,53,1600,0.3,11.95,7.05,1,"*"
"Alessi-Teutsch 11, ASCC_112","Alessi-Teutsch 11",304.11,52.1,87.47,9.3,0.1,0.22,"nan","nan","nan",-0.37,0.32,-0.73,0.33,-0.81,-0.08,18,550,0.08,8.95,8.15,1,"nan"
"ASCC_113","nan",318.0,38.6,82.88,-6.65,0.12,0.47,"nan","nan","nan",1.04,0.22,-4.22,0.24,-2.38,-3.63,34,450,0.0,8.27,8.14,1,"*"
"ASCC_114","nan",325.0,53.97,97.07,1.0,0.08,0.16,-22.0,"nan",1.0,-3.62,0.25,-3.38,0.32,-4.95,-0.15,13,550,0.26,9.51,7.75,1,"nan"
"ASCC_115","nan",329.22,51.48,97.45,-2.54,0.08,0.16,-9.0,"nan",1.0,0.15,0.74,-1.28,0.43,-0.67,-1.1,8,600,0.15,9.36,8.59,3,"nan"
"ASCC_116","nan",329.64,54.49,99.49,-0.32,0.08,0.18,-30.6,"nan",1.0,-3.51,0.89,-4.74,0.62,-5.67,-1.62,9,5000,0.51,15.08,7.03,2,"*"
"ASCC_117","nan",331.24,62.27,104.85,5.39,0.11,0.35,-11.39,"nan",1.0,-2.31,0.34,0.03,0.66,-1.84,1.4,9,1200,0.3,11.33,6.67,1,"*"
"Alessi-Teutsch 5, ASCC_118","Alessi-Teutsch 5",332.1,61.1,104.48,4.21,0.1,0.21,-42.0,"nan",1.0,-2.19,0.57,-4.03,0.49,-4.13,-2.0,10,900,0.3,10.7,7.02,1,"nan"
"ASCC_119","nan",334.8,46.9,97.73,-8.39,0.08,0.21,"nan","nan","nan",-6.15,0.99,-6.06,0.7,-8.48,-1.63,8,1000,0.1,10.31,8.83,3,"nan"
"ASCC_120","nan",337.65,57.21,104.73,-0.6,0.1,0.3,-60.79,"nan",1.0,-2.99,0.55,-1.54,0.75,-3.36,0.21,15,2500,0.62,13.91,7.08,1,"*"
"ASCC_121","nan",337.68,54.9,103.56,-2.59,0.1,0.23,-64.3,"nan",1.0,-2.49,0.51,-0.7,0.37,-2.5,0.68,16,2500,0.3,12.92,7.73,3,"nan"
"ASCC_122","nan",338.31,39.61,95.91,-15.9,0.25,0.72,-8.17,4.15,3.0,-0.29,0.42,-4.19,0.39,-2.45,-3.41,23,700,0.1,9.53,6.98,1,"*"
"ASCC_123","nan",340.65,54.26,104.74,-4.0,0.28,1.28,-6.46,6.49,3.0,12.5,0.44,-1.06,0.31,10.49,-6.88,24,250,0.1,7.3,8.41,1,"*"
"Alessi 37, ASCC_124","Alessi 37",342.03,46.25,101.73,-11.48,0.1,0.3,"nan","nan","nan",1.34,0.45,-2.41,0.42,0.06,-2.76,9,600,0.15,9.36,8.48,1,"nan"
"ASCC_125","nan",344.07,62.75,110.17,2.76,0.3,0.55,-17.93,3.33,14.0,-2.23,0.52,-3.44,0.52,-3.49,-2.15,17,1500,0.71,13.08,7.01,1,"*"
"ASCC_126","nan",346.57,51.05,106.58,-8.46,0.1,0.3,-12.69,"nan",1.0,-0.66,0.7,-3.01,0.42,-1.8,-2.5,14,800,0.1,9.82,7.26,1,"nan"
"ASCC_127","nan",347.1,64.85,112.26,4.13,0.18,0.72,-8.24,2.65,2.0,6.89,0.52,-2.23,0.5,5.49,-4.73,21,350,0.1,8.03,7.82,1,"nan"
"ASCC_128","nan",350.14,54.6,109.93,-5.96,0.15,0.35,"nan","nan","nan",-1.08,0.42,-1.57,0.43,-1.56,-1.1,19,900,0.13,10.17,8.44,5,"nan"
"Alessi J2327+55, ASCC_129","Alessi J2327+55",352.0,55.6,111.27,-5.37,0.09,0.21,"nan","nan","nan",-1.07,0.43,-4.12,0.47,-2.33,-3.57,14,1000,0.18,10.56,8.69,6,"nan"
"ASCC_130","nan",358.2,62.44,116.2,0.33,0.08,0.15,"nan","nan","nan",-1.22,0.55,0.35,0.81,-1.11,0.62,9,3400,0.52,14.27,7.03,1,"*"
