"RA_ICRS","DE_ICRS","Cluster","N","logAge","AV","MOD","r","Mass","Density","Nrelax","NBSS","NpBS","Reffcl","ReffBSS","_RA.icrs","_DE.icrs"
220.859,-57.578,"NGC_5715","*",8.73,1.68,11.63,2.4,1234.3,32.136,8.77,0,1,0.067,"nan",220.859,-57.578
235.462,-56.68,"Lynga_5","nan",8.9,2.5,12.33,3.99,1955.7,11.07,5.18,0,0,0.08,"nan",235.462,-56.68
237.585,-55.961,"UFMG_2","*",9.11,2.86,11.74,2.72,6979.0,123.199,9.36,0,3,0.07,"nan",237.585,-55.961
231.847,-54.515,"NGC_5925","nan",8.69,1.34,10.74,4.66,2187.3,7.826,2.42,0,0,0.204,"nan",231.847,-54.515
226.051,-54.366,"NGC_5822","*",8.96,0.39,9.66,5.49,2478.2,5.378,3.39,1,0,0.386,1.176,226.051,-54.366
215.15,-58.858,"Ruprecht_167","nan",8.73,1.42,11.09,5.16,524.1,1.375,3.72,0,0,0.16,"nan",215.15,-58.858
221.85,-56.255,"UBC_303","nan",8.85,1.39,11.19,2.41,536.3,13.773,15.3,0,0,0.096,"nan",221.85,-56.255
220.122,-55.385,"UBC_302","nan",8.76,0.92,10.38,1.98,118.8,5.545,26.24,0,0,0.102,"nan",220.122,-55.385
223.389,-52.667,"NGC_5764","*",9.12,1.7,11.51,1.19,378.1,80.249,92.85,2,0,0.033,0.024,223.389,-52.667
255.222,-55.976,"UPK_629","nan",8.72,0.36,9.88,7.8,156.9,0.119,2.83,0,0,0.475,"nan",255.222,-55.976
252.336,-53.714,"NGC_6208","*",9.15,0.66,10.42,3.44,1639.5,14.374,12.36,3,0,0.17,0.211,252.336,-53.714
244.473,-53.527,"UBC_310","*",9.08,1.02,12.17,3.66,1763.2,12.838,9.31,1,1,0.103,0.037,244.473,-53.527
242.896,-53.037,"UBC_537","*",9.34,0.69,12.6,2.6,801.2,15.909,37.59,0,1,0.061,"nan",242.896,-53.037
244.705,-52.88,"FoF_861, LP_861","*",9.27,1.36,13.06,2.43,1259.6,31.109,30.37,6,0,0.038,0.048,244.705,-52.88
242.592,-52.339,"UBC_538","*",8.8,2.67,12.21,3.14,1718.0,19.885,6.13,0,1,0.076,"nan",242.592,-52.339
245.354,-53.089,"UPK_627","nan",8.67,0.22,8.64,4.61,114.3,0.421,6.03,0,0,0.513,"nan",245.354,-53.089
244.235,-50.721,"UBC_312","nan",8.9,1.79,12.0,1.62,447.7,37.457,32.93,0,0,0.058,"nan",244.235,-50.721
243.386,-50.128,"UBC_314","*",9.49,1.79,11.08,2.99,1120.5,14.6,38.84,1,0,0.117,0.294,243.386,-50.128
245.723,-50.172,"FoF_273, LP_273","nan",8.58,2.05,11.9,2.93,830.9,11.95,5.26,0,0,0.069,"nan",245.723,-50.172
