"RA_ICRS","DE_ICRS","Cluster","N","logAge","AV","MOD","r","Mass","Density","Nrelax","NBSS","NpBS","Reffcl","ReffBSS","_RA.icrs","_DE.icrs"
28.094,61.857,"IC_166","*",9.12,2.47,13.62,5.53,25124.8,52.749,2.01,6,18,0.065,0.136,28.094,61.857
28.194,63.066,"COIN-Gaia_32","nan",8.56,0.82,10.48,3.03,80.9,1.057,9.59,0,0,0.106,"nan",28.194,63.066
26.928,62.935,"Berkeley_5","*",9.06,3.46,14.25,2.35,4739.6,130.681,12.04,5,1,0.021,0.041,26.928,62.935
21.485,63.011,"FSR_0542","*",8.93,3.24,12.87,8.06,449.3,0.307,3.19,2,0,0.09,0.174,21.485,63.011
25.226,64.521,"FSR_0553","*",9.53,1.12,12.37,2.39,631.2,16.065,72.57,3,1,0.047,0.022,25.226,64.521
37.305,61.787,"Tombaugh_4","*",9.2,2.69,12.77,3.43,4301.8,37.708,9.79,6,1,0.072,0.115,37.305,61.787
35.898,63.8,"NGC_886","nan",8.91,0.78,10.05,6.06,698.4,1.127,4.04,0,0,0.276,"nan",35.898,63.8
35.428,65.888,"Berkeley_64","nan",9.09,2.28,13.4,3.67,1146.3,8.285,11.04,0,0,0.049,"nan",35.428,65.888
30.335,63.801,"Gulliver_51","nan",8.56,1.42,10.93,2.01,238.6,10.635,13.19,0,0,0.083,"nan",30.335,63.801
30.191,67.799,"FSR_0558","nan",8.73,2.52,12.32,4.47,678.9,2.74,4.24,0,0,0.084,"nan",30.191,67.799
17.094,61.586,"NGC_381","nan",8.58,0.93,10.35,1.9,640.7,33.696,10.98,0,0,0.082,"nan",17.094,61.586
15.78,62.787,"Czernik_3","*",8.54,2.91,13.22,1.08,909.7,262.615,20.82,1,0,0.017,0.056,15.78,62.787
14.604,68.458,"Skiff_J0058+68.4","*",9.15,1.77,11.97,7.43,3679.8,3.185,2.9,1,2,0.166,0.061,14.604,68.458
30.306,75.489,"Berkeley_8","*",9.56,1.75,12.62,4.49,7093.8,27.138,12.72,3,8,0.061,0.038,30.306,75.489
11.798,85.244,"NGC_188","*",9.85,0.21,11.15,8.06,7464.3,4.82,10.3,14,7,0.154,0.117,11.798,85.244
132.846,11.814,"NGC_2682","*",9.63,0.07,9.75,2.58,2817.1,56.696,48.69,6,8,0.175,0.083,132.846,11.814
130.054,19.621,"NGC_2632","*",8.83,0.0,6.31,3.15,855.6,9.882,8.38,1,1,1.037,0.35,130.054,19.621
114.602,21.575,"NGC_2420","*",9.24,0.04,12.06,2.39,2969.5,76.509,21.24,2,1,0.06,0.013,114.602,21.575
103.823,29.745,"FSR_0866","*",9.33,0.29,10.49,1.55,185.5,17.517,126.81,0,1,0.075,"nan",103.823,29.745
104.88,33.154,"UBC_615","nan",9.29,0.37,12.47,6.96,172.3,0.18,12.37,0,0,0.171,"nan",104.88,33.154
102.091,41.06,"NGC_2281","*",8.79,0.09,8.68,3.96,1133.4,6.576,4.91,0,1,0.512,"nan",102.091,41.06
93.819,39.846,"NGC_2192","*",8.99,0.43,12.78,2.82,1296.1,20.702,12.43,1,1,0.053,0.032,93.819,39.846
90.658,49.883,"NGC_2126","*",8.99,0.68,10.58,2.28,585.3,17.762,22.45,0,1,0.1,"nan",90.658,49.883
310.245,20.212,"UPK_84","nan",9.0,0.31,9.88,4.45,278.6,1.132,10.65,0,0,0.296,"nan",310.245,20.212
297.833,18.661,"Gulliver_55","*",9.3,0.92,11.87,3.51,226.0,1.831,32.64,2,0,0.089,0.035,297.833,18.661
297.22,21.213,"NGC_6827","*",9.11,1.98,13.79,2.1,3400.9,130.372,18.06,5,2,0.029,0.022,297.22,21.213
296.389,21.153,"FoF_321, LP_321","*",9.07,2.47,11.58,2.74,2538.7,43.851,12.28,3,1,0.097,0.057,296.389,21.153
297.959,22.107,"FoF_2123, LP_2123","nan",8.54,1.72,11.11,2.27,457.3,14.106,8.55,0,0,0.079,"nan",297.959,22.107
297.009,23.353,"FSR_0154","*",8.68,3.52,12.78,2.89,2152.9,32.372,4.87,1,0,0.051,0.133,297.009,23.353
303.385,25.43,"FSR_0166","*",9.45,2.24,12.24,2.49,1052.6,23.69,47.4,2,1,0.047,0.032,303.385,25.43
301.218,27.057,"FSR_0167","nan",8.89,2.52,11.24,2.07,185.6,7.479,29.2,0,0,0.07,"nan",301.218,27.057
308.626,28.278,"NGC_6940","*",9.13,0.41,10.21,4.8,2697.8,8.655,5.96,2,0,0.346,0.121,308.626,28.278
306.276,29.74,"UBC_364","nan",8.51,1.66,11.4,2.46,258.6,6.327,8.49,0,0,0.096,"nan",306.276,29.74
313.576,35.686,"UBC_141","nan",9.32,0.51,10.6,2.0,222.4,9.81,80.28,0,0,0.109,"nan",313.576,35.686
310.856,37.031,"Ruprecht_174","nan",8.68,1.43,11.87,2.73,648.6,11.544,8.04,0,0,0.075,"nan",310.856,37.031
315.745,40.433,"Berkeley_54","*",9.43,2.24,14.12,3.85,25581.8,156.675,7.16,1,3,0.04,0.065,315.745,40.433
319.391,41.835,"Berkeley_56","*",9.47,1.42,14.89,6.81,19756.6,21.775,3.7,2,0,0.049,0.121,319.391,41.835
318.284,42.494,"NGC_7044","*",9.22,1.78,12.56,2.72,10475.5,183.503,10.36,7,2,0.059,0.06,318.284,42.494
320.862,46.385,"NGC_7062","*",8.63,1.41,11.98,2.09,785.9,31.252,10.02,0,1,0.056,"nan",320.862,46.385
331.224,46.508,"NGC_7209","*",8.63,0.53,10.31,6.12,1210.7,1.908,1.72,0,1,0.299,"nan",331.224,46.508
322.889,48.247,"NGC_7092","nan",8.6,0.0,7.46,5.44,278.7,0.625,3.1,0,0,0.943,"nan",322.889,48.247
344.01,51.187,"UBC_6","nan",8.87,0.64,10.87,5.5,403.1,0.871,5.1,0,0,0.266,"nan",344.01,51.187
-0.666,56.726,"NGC_7789","*",9.19,0.83,11.61,7.73,22265.3,17.079,1.5,16,0,188.713,185.159,359.334,56.726
354.66,56.637,"Berkeley_102","nan",9.59,1.11,15.11,9.0,6555.9,3.106,4.96,0,0,0.046,"nan",354.66,56.637
340.665,52.407,"Berkeley_98","*",9.39,0.61,12.73,3.81,2037.1,12.903,17.27,5,0,0.082,0.057,340.665,52.407
344.451,54.401,"UBC_175","nan",8.67,0.88,10.63,3.56,299.8,2.397,6.74,0,0,0.145,"nan",344.451,54.401
342.911,56.109,"FSR_0384","nan",8.63,1.01,11.42,1.17,300.6,67.403,32.47,0,0,0.037,"nan",342.911,56.109
331.931,53.104,"FSR_0342","*",9.18,0.87,12.2,4.95,1902.2,5.583,7.28,0,5,0.096,"nan",331.931,53.104
333.812,54.336,"NGC_7245","*",8.78,0.96,12.53,3.42,2153.0,19.427,4.77,2,0,0.065,0.16,333.812,54.336
333.877,54.405,"King_9","*",9.49,1.33,13.78,2.78,2668.4,42.994,31.73,7,0,0.033,0.029,333.877,54.405
332.605,55.398,"NGC_7226","nan",8.68,1.33,13.27,1.49,511.0,55.544,21.48,0,0,0.019,"nan",332.605,55.398
337.843,58.053,"FoF_1800, LP_1800","nan",8.52,1.25,10.72,5.1,1256.4,3.431,1.73,0,0,0.231,"nan",337.843,58.053
340.628,58.941,"FSR_0385","*",8.85,2.19,11.68,1.96,597.8,28.327,20.05,0,1,0.049,"nan",340.628,58.941
345.63,57.199,"UBC_395","nan",8.91,1.31,11.67,1.81,249.9,15.132,34.37,0,0,0.08,"nan",345.63,57.199
343.789,57.096,"NGC_7423","*",9.2,1.2,13.0,2.22,1852.9,59.77,25.56,1,1,0.04,0.011,343.789,57.096
356.303,59.297,"Berkeley_103","nan",9.04,2.4,13.91,2.33,1307.8,37.07,18.57,0,0,0.019,"nan",356.303,59.297
356.818,60.902,"FSR_0448","nan",8.59,2.83,12.54,3.03,526.6,6.84,5.96,0,0,0.054,"nan",356.818,60.902
347.053,60.523,"King_19","nan",8.69,1.94,12.07,2.77,1332.0,22.731,6.3,0,0,0.06,"nan",347.053,60.523
350.704,61.988,"Gulliver_49","nan",8.58,2.18,11.04,4.39,1152.0,4.924,2.56,0,0,0.142,"nan",350.704,61.988
352.489,63.447,"FSR_0442","nan",8.87,2.44,11.17,4.54,2044.6,7.839,3.91,0,0,0.141,"nan",352.489,63.447
351.485,63.781,"Berkeley_100","*",9.09,2.48,13.92,2.34,1459.7,40.802,19.96,1,0,0.027,0.005,351.485,63.781
353.213,64.209,"Berkeley_101","*",8.58,2.84,13.15,1.79,765.7,48.385,11.34,1,0,0.021,0.015,353.213,64.209
292.651,20.262,"NGC_6802","*",8.82,2.37,12.2,2.31,4165.9,122.155,7.41,0,1,0.054,"nan",292.651,20.262
294.146,25.163,"Stock_1","nan",8.62,0.39,8.1,5.39,416.4,0.963,2.91,0,0,0.904,"nan",294.146,25.163
288.881,22.968,"UBC_125","nan",8.76,1.38,10.62,3.21,218.2,2.382,10.69,0,0,0.135,"nan",288.881,22.968
291.664,25.008,"NGC_6800","nan",8.61,0.83,10.03,3.18,99.2,1.117,9.52,0,0,0.223,"nan",291.664,25.008
292.077,25.347,"Gulliver_37","nan",8.55,1.33,10.79,2.64,259.3,5.133,8.38,0,0,0.112,"nan",292.077,25.347
293.914,28.16,"UPK_80","nan",8.58,0.44,9.77,7.06,123.7,0.127,2.53,0,0,0.494,"nan",293.914,28.16
296.297,28.16,"Kronberger_4","*",8.83,2.19,14.22,1.71,2000.6,144.781,15.58,1,0,0.015,0.019,296.297,28.16
299.271,28.445,"UBC_132","*",8.98,2.67,12.34,1.9,1395.2,72.82,21.38,0,2,0.052,"nan",299.271,28.445
300.324,29.971,"UPK_93","nan",8.71,0.32,9.2,4.78,208.3,0.687,5.3,0,0,0.4,"nan",300.324,29.971
299.536,30.883,"Kronberger_52","*",8.61,2.49,13.49,2.09,1169.2,46.139,8.31,1,0,0.026,0.054,299.536,30.883
299.248,31.609,"SAI_132","*",8.9,2.3,12.47,3.81,1888.3,12.259,5.61,0,1,0.079,"nan",299.248,31.609
299.112,32.349,"NGC_6846","*",8.69,2.85,13.63,1.95,1528.4,74.405,10.13,1,0,0.026,0.057,299.112,32.349
288.399,36.369,"ASCC_101","nan",8.69,0.19,8.08,2.67,157.0,2.961,13.13,0,0,0.445,"nan",288.399,36.369
290.221,37.778,"NGC_6791","*",9.8,0.7,13.13,5.02,54394.1,145.873,8.53,24,23,0.08,0.09,290.221,37.778
307.059,35.103,"Teutsch_28","*",9.28,3.74,13.1,4.22,10329.0,48.439,6.24,3,3,0.062,0.094,307.059,35.103
300.742,33.528,"ASCC_110","nan",8.9,0.75,11.47,6.98,421.0,0.444,3.77,0,0,0.238,"nan",300.742,33.528
300.808,34.435,"Gulliver_38","*",8.91,1.64,11.94,2.56,895.5,19.097,13.52,1,0,0.097,0.02,300.808,34.435
302.888,35.603,"Ruprecht_172","*",9.02,1.29,12.76,2.55,1029.2,22.209,16.8,3,0,0.055,0.083,302.888,35.603
299.841,37.204,"UBC_366","nan",8.58,0.83,11.27,2.45,128.3,3.173,12.29,0,0,0.084,"nan",299.841,37.204
304.255,38.055,"Gulliver_23","nan",8.72,2.18,12.67,2.75,1540.5,26.763,6.47,0,0,0.051,"nan",304.255,38.055
304.692,37.744,"Berkeley_85","*",8.62,2.77,12.74,3.51,5085.7,42.617,2.3,1,0,0.058,0.148,304.692,37.744
305.698,38.939,"UBC_374","nan",9.11,2.13,11.07,3.2,399.5,4.34,20.17,0,0,0.139,"nan",305.698,38.939
308.572,43.326,"UPK_119","nan",9.19,0.71,9.42,2.63,99.2,1.934,48.8,0,0,0.211,"nan",308.572,43.326
295.611,38.645,"Skiff_J1942+38.6","*",9.17,0.28,11.88,1.78,393.0,24.548,56.0,1,1,0.057,0.03,295.611,38.645
302.697,41.177,"IC_1311","*",8.96,1.34,13.95,4.2,9239.9,44.737,3.09,3,3,0.047,0.065,302.697,41.177
300.983,44.158,"NGC_6866","*",8.81,0.48,10.74,2.55,359.8,7.79,14.54,1,0,0.102,0.059,300.983,44.158
295.327,40.19,"NGC_6819","*",9.35,0.4,12.21,4.58,14962.8,54.44,5.63,12,7,0.114,0.089,295.327,40.19
306.114,46.048,"Berkeley_89","*",9.32,1.91,12.73,2.57,3984.8,82.31,20.66,4,1,0.04,0.011,306.114,46.048
299.689,45.553,"UBC_143","nan",8.67,0.44,10.47,3.08,115.7,1.43,11.02,0,0,0.157,"nan",299.689,45.553
300.763,46.196,"FSR_0241","nan",9.12,1.03,11.53,3.17,353.6,3.939,21.73,0,0,0.095,"nan",300.763,46.196
301.081,46.8,"UBC_586","nan",9.04,1.11,12.06,4.99,327.1,0.938,9.35,0,0,0.139,"nan",301.081,46.8
294.34,46.378,"NGC_6811","nan",9.03,0.09,10.33,3.85,1294.6,8.104,8.55,0,0,0.232,"nan",294.34,46.378
315.517,45.391,"UPK_131","nan",8.73,1.11,9.92,3.13,193.2,2.273,10.73,0,0,0.225,"nan",315.517,45.391
314.128,44.64,"NGC_6997","*",8.81,1.43,9.77,1.59,420.8,37.802,28.18,0,1,0.095,"nan",314.128,44.64
316.243,46.271,"UBC_153","nan",8.52,0.84,12.65,4.44,551.6,2.287,2.82,0,0,0.092,"nan",316.243,46.271
314.171,46.902,"FSR_0275","nan",8.93,2.41,13.02,3.85,1747.6,10.952,6.08,0,0,0.05,"nan",314.171,46.902
317.093,46.334,"UBC_154","nan",8.73,1.49,12.61,3.48,643.4,5.507,6.28,0,0,0.083,"nan",317.093,46.334
315.95,47.215,"Teutsch_156","*",9.03,2.33,13.54,3.48,2982.3,25.272,7.38,1,2,0.036,0.07,315.95,47.215
317.711,48.543,"Berkeley_91","*",8.8,4.04,13.91,2.43,2900.3,72.631,7.47,0,2,0.033,"nan",317.711,48.543
315.572,48.096,"FSR_0282","nan",8.54,3.61,13.08,3.47,1783.8,15.53,2.86,0,0,0.048,"nan",315.572,48.096
316.25,48.726,"UBC_381","nan",8.52,1.32,11.68,2.04,129.6,5.541,14.01,0,0,0.081,"nan",316.25,48.726
318.413,50.134,"UBC_155","nan",8.68,2.63,11.01,3.53,551.3,4.524,5.76,0,0,0.144,"nan",318.413,50.134
313.621,47.4,"NGC_6991","nan",9.19,0.2,8.81,5.59,761.9,1.548,8.53,0,0,0.76,"nan",313.621,47.4
313.975,51.06,"Berkeley_53","*",8.99,4.42,12.67,5.3,30499.9,73.092,1.46,17,6,0.155,0.387,313.975,51.06
320.976,49.925,"FSR_0296","nan",8.5,2.35,12.6,1.16,471.9,110.492,21.25,0,0,0.025,"nan",320.976,49.925
320.438,50.595,"Teutsch_144","nan",8.94,1.81,12.0,4.66,645.2,2.29,6.61,0,0,0.091,"nan",320.438,50.595
322.129,51.69,"FSR_0306","*",8.71,2.79,12.14,3.74,901.6,6.204,4.8,1,0,0.08,0.306,322.129,51.69
326.422,58.097,"Teutsch_74","*",9.13,2.4,13.59,3.64,2885.5,21.195,8.8,3,1,0.04,0.049,326.422,58.097
321.206,57.528,"Berkeley_92","*",9.44,2.2,14.31,2.8,10759.4,171.607,16.6,1,0,0.021,0.003,321.206,57.528
307.761,51.021,"FSR_0278","*",9.34,0.85,11.16,2.53,436.3,9.407,47.84,0,2,0.079,"nan",307.761,51.021
307.917,60.653,"NGC_6939","*",9.23,0.85,11.3,3.9,4526.2,27.088,8.53,3,2,0.118,0.035,307.917,60.653
330.44,54.815,"FSR_0344","nan",9.54,3.04,13.22,2.61,2171.8,42.237,42.36,0,0,0.028,"nan",330.44,54.815
330.873,55.643,"UBC_163","*",8.79,1.29,10.92,2.56,207.7,4.465,16.34,0,1,0.111,"nan",330.873,55.643
326.098,58.756,"UBC_387","nan",8.63,1.31,10.91,2.49,182.5,4.267,12.16,0,0,0.107,"nan",326.098,58.756
357.75,66.186,"FSR_0465","nan",9.77,2.33,14.19,4.44,10722.3,41.73,18.15,0,0,0.034,"nan",357.75,66.186
357.472,68.035,"NGC_7762","*",9.31,1.91,9.77,2.66,2648.8,49.384,22.27,0,1,0.164,"nan",357.472,68.035
356.912,68.636,"King_11","*",9.65,2.67,12.46,3.35,18202.3,166.124,16.94,10,3,0.056,0.076,356.912,68.636
326.29,65.782,"NGC_7142","*",9.49,1.16,11.91,4.28,4717.4,20.862,13.47,7,4,0.105,0.072,326.29,65.782
350.26,71.778,"Berkeley_99","*",9.53,0.72,13.54,4.45,2517.3,9.864,17.6,5,0,0.046,0.022,350.26,71.778
97.395,-31.282,"NGC_2243","*",9.64,0.02,12.85,2.99,7576.3,97.823,27.61,8,2,0.054,0.059,97.395,-31.282
102.252,-23.999,"Berkeley_75","*",9.23,0.29,14.6,4.64,902.6,3.203,11.7,3,0,0.036,0.006,102.252,-23.999
106.635,-23.534,"UBC_225","nan",8.83,0.44,12.21,3.48,220.8,1.889,11.12,0,0,0.1,"nan",106.635,-23.534
105.773,-20.82,"Tombaugh_2","*",9.21,0.83,14.85,4.55,8858.8,33.269,5.0,17,6,0.033,0.051,105.773,-20.82
109.924,-20.841,"UBC_222","nan",8.63,0.56,11.72,2.81,192.8,3.137,9.99,0,0,0.085,"nan",109.924,-20.841
111.185,-19.225,"UBC_452","nan",9.0,0.7,12.65,6.09,237.9,0.376,6.97,0,0,0.094,"nan",111.185,-19.225
110.659,-18.703,"FSR_1252","*",8.93,0.9,12.41,2.38,649.5,17.193,17.59,0,1,0.052,"nan",110.659,-18.703
105.126,-20.569,"Tombaugh_1","*",9.1,0.66,12.04,2.27,1458.3,44.209,21.29,1,0,0.059,0.035,105.126,-20.569
106.06,-19.748,"Auner_1","*",9.49,0.99,14.77,4.08,8080.6,41.443,11.84,9,0,0.031,0.034,106.06,-19.748
109.261,-17.143,"NGC_2358","nan",8.82,0.02,9.79,3.33,300.9,2.936,10.57,0,0,0.222,"nan",109.261,-17.143
107.389,-16.866,"Haffner_23","nan",8.5,0.66,11.55,4.17,288.5,1.444,3.63,0,0,0.136,"nan",107.389,-16.866
106.512,-15.002,"Haffner_4","*",8.66,1.05,13.52,2.12,722.2,27.561,10.83,1,0,0.04,0.023,106.512,-15.002
93.882,-18.67,"NGC_2204","*",9.32,0.01,13.01,6.83,5985.3,6.609,4.1,6,1,0.11,0.06,93.882,-18.67
100.317,-16.487,"Berkeley_25","*",9.39,1.07,14.16,2.25,955.1,29.388,49.66,2,1,0.034,0.029,100.317,-16.487
101.474,-16.733,"Gaia_1","*",9.5,0.59,14.05,9.7,7132.5,2.718,3.46,2,0,0.093,0.156,101.474,-16.733
104.854,-13.822,"NGC_2318","nan",8.64,0.89,10.72,4.18,662.1,3.267,3.83,0,0,0.212,"nan",104.854,-13.822
105.424,-13.539,"Ruprecht_8","nan",8.6,1.03,11.76,5.78,318.3,0.598,2.72,0,0,0.152,"nan",105.424,-13.539
104.858,-13.254,"Gulliver_13","nan",9.0,0.78,10.9,3.04,416.8,5.322,16.65,0,0,0.145,"nan",104.858,-13.254
102.248,-10.524,"Ruprecht_4","nan",8.93,1.24,13.06,2.64,645.2,12.583,15.13,0,0,0.036,"nan",102.248,-10.524
96.652,-9.643,"NGC_2225","nan",9.14,0.96,12.65,1.54,624.1,60.857,56.1,0,0,0.033,"nan",96.652,-9.643
95.199,-7.277,"NGC_2215","nan",8.84,0.47,9.95,2.95,482.9,6.741,11.41,0,0,0.218,"nan",95.199,-7.277
95.52,-6.321,"Berkeley_73","*",9.15,0.69,13.95,1.72,809.6,56.587,44.58,0,1,0.019,"nan",95.52,-6.321
91.69,-2.0,"NGC_2184","nan",8.81,0.48,8.85,3.08,296.3,3.635,11.63,0,0,0.452,"nan",91.69,-2.0
114.831,-16.55,"NGC_2428","*",8.86,0.32,10.61,3.37,769.7,7.234,8.41,0,1,0.158,"nan",114.831,-16.55
111.175,-17.001,"Haffner_9","nan",8.58,1.38,12.32,1.78,1140.6,73.828,10.01,0,0,0.043,"nan",111.175,-17.001
110.65,-17.174,"UBC_220","nan",8.5,1.47,12.5,2.87,330.4,5.096,6.11,0,0,0.067,"nan",110.65,-17.174
112.156,-15.364,"Haffner_10","nan",9.58,1.35,12.66,1.73,3874.8,260.349,70.17,0,0,0.034,"nan",112.156,-15.364
115.315,-16.279,"Ruprecht_151","nan",8.65,0.43,10.26,2.22,174.0,5.743,15.36,0,0,0.098,"nan",115.315,-16.279
114.297,-15.681,"UBC_221","nan",8.85,0.99,11.89,1.63,427.7,35.751,29.7,0,0,0.05,"nan",114.297,-15.681
114.577,-14.885,"NGC_2425","*",9.38,0.89,12.77,2.87,3665.1,54.19,20.81,3,0,0.05,0.08,114.577,-14.885
114.299,-13.863,"NGC_2423","*",9.04,0.36,9.87,4.41,1694.5,7.051,6.49,0,1,0.337,"nan",114.299,-13.863
115.22,-12.892,"UBC_449","nan",8.6,0.59,12.51,1.99,163.6,7.488,16.37,0,0,0.062,"nan",115.22,-12.892
109.443,-15.631,"NGC_2360","nan",9.01,0.39,10.25,3.02,3103.6,40.458,8.6,0,0,0.184,"nan",109.443,-15.631
109.998,-13.151,"Haffner_6","*",8.79,1.36,13.25,3.82,2073.1,13.399,4.19,0,1,0.059,"nan",109.998,-13.151
109.105,-13.196,"Berkeley_36","*",9.83,1.42,13.2,3.5,12124.8,95.76,28.49,14,5,0.059,0.069,109.105,-13.196
114.383,-12.065,"Melotte_71","*",8.99,0.38,11.65,2.8,3446.2,56.161,8.83,3,0,0.087,0.04,114.383,-12.065
112.796,-9.945,"Czernik_30","*",9.46,0.62,14.11,3.48,2939.4,24.282,20.41,5,0,0.034,0.014,112.796,-9.945
120.01,-10.773,"NGC_2506","*",9.22,0.09,12.52,4.9,12717.3,38.266,3.98,10,8,0.111,0.081,120.01,-10.773
114.618,-10.698,"Melotte_72","*",8.99,0.41,12.14,2.48,1332.3,31.141,14.89,1,1,0.057,0.012,114.618,-10.698
115.336,-9.607,"FSR_1211","*",9.08,0.19,12.6,2.2,492.6,16.58,30.93,1,0,0.046,0.038,115.336,-9.607
106.941,-14.145,"FSR_1212","*",9.14,1.54,14.93,5.24,1526.9,3.778,6.58,0,1,0.032,"nan",106.941,-14.145
106.672,-11.735,"Berkeley_76","*",9.22,1.38,13.38,4.31,755.5,3.349,13.56,2,3,0.052,0.048,106.672,-11.735
106.69,-10.023,"NGC_2335","nan",8.51,0.83,11.1,3.19,883.4,9.879,3.86,0,0,0.132,"nan",106.69,-10.023
108.897,-9.453,"FSR_1180","*",8.74,1.15,12.15,3.14,485.4,5.648,8.23,0,1,0.061,"nan",108.897,-9.453
104.81,-9.078,"FSR_1163","nan",9.13,1.05,11.85,3.11,327.4,3.87,23.47,0,0,0.074,"nan",104.81,-9.078
108.501,-6.563,"UBC_445","nan",8.51,0.58,12.2,3.84,251.4,1.609,4.38,0,0,0.093,"nan",108.501,-6.563
106.146,-6.621,"FSR_1150","*",8.85,0.9,12.73,1.71,338.7,24.189,29.55,0,1,0.033,"nan",106.146,-6.621
105.311,-6.837,"UBC_444","nan",8.69,0.3,10.18,1.85,106.2,6.018,25.28,0,0,0.114,"nan",105.311,-6.837
107.153,-6.212,"UBC_628","*",9.2,0.57,13.43,3.81,314.9,2.016,20.63,1,2,0.069,0.082,107.153,-6.212
106.027,-6.133,"Haffner_3","nan",8.77,0.79,12.0,1.84,216.1,12.483,25.27,0,0,0.04,"nan",106.027,-6.133
116.702,-4.665,"Berkeley_39","*",9.75,0.29,12.99,3.81,11034.1,68.053,21.53,13,9,0.067,0.043,116.702,-4.665
108.213,-4.692,"UBC_217","nan",8.9,0.36,12.1,2.62,170.0,3.406,21.62,0,0,0.066,"nan",108.213,-4.692
110.362,-3.234,"Berkeley_77","nan",8.87,0.29,12.79,1.77,508.4,33.067,25.97,0,0,0.035,"nan",110.362,-3.234
123.412,-5.726,"NGC_2548","nan",8.59,0.15,9.44,4.97,1514.9,4.462,1.98,0,0,0.432,"nan",123.412,-5.726
121.07,-3.797,"UBC_629","*",9.52,0.02,12.38,9.99,165.6,0.058,12.49,0,1,0.173,"nan",121.07,-3.797
120.007,1.469,"UBC_627","nan",9.32,0.12,12.12,5.83,132.1,0.234,18.64,0,0,0.143,"nan",120.007,1.469
98.638,-6.818,"UBC_443","nan",8.95,0.9,12.51,4.43,465.9,1.923,8.12,0,0,0.103,"nan",98.638,-6.818
100.461,-5.243,"UBC_215","nan",8.61,1.11,10.76,3.27,276.1,2.86,6.84,0,0,0.128,"nan",100.461,-5.243
100.581,-4.624,"UBC_442","*",9.16,0.7,13.11,3.5,419.2,3.464,19.48,0,2,0.057,"nan",100.581,-4.624
97.754,-4.183,"Czernik_26","nan",8.72,0.88,14.25,2.35,165.9,4.612,16.82,0,0,0.033,"nan",97.754,-4.183
101.916,-3.167,"NGC_2286","*",8.74,0.94,11.8,2.95,1002.4,14.041,7.08,0,1,0.084,"nan",101.916,-3.167
102.845,-1.801,"FoF_930, LP_930","*",9.36,0.74,11.87,3.23,1527.5,15.918,22.84,0,3,0.09,"nan",102.845,-1.801
100.957,-0.886,"UBC_212","nan",9.03,0.9,12.24,2.98,632.7,8.55,16.04,0,0,0.085,"nan",100.957,-0.886
101.181,-0.532,"Patchick_90","*",9.04,1.57,14.16,2.49,447.9,10.409,24.11,0,1,0.022,"nan",101.181,-0.532
108.234,-2.635,"UPK_431","*",8.78,0.0,9.42,7.78,244.4,0.187,2.87,1,2,0.629,0.118,108.234,-2.635
106.476,-2.304,"UBC_626","nan",8.88,0.51,13.09,2.75,252.1,4.37,17.1,0,0,0.069,"nan",106.476,-2.304
107.3,-1.502,"FSR_1113","nan",9.44,0.14,12.88,1.58,251.2,22.296,146.13,0,0,0.03,"nan",107.3,-1.502
110.075,-1.002,"Berkeley_37","*",8.97,0.17,13.11,2.92,1036.9,14.887,12.15,1,0,0.047,0.023,110.075,-1.002
110.459,-0.988,"King_23","*",9.29,0.17,12.48,3.23,833.5,8.708,23.88,5,2,0.072,0.064,110.459,-0.988
107.932,0.827,"Gulliver_47","nan",8.54,0.31,11.43,5.42,390.4,0.887,2.44,0,0,0.169,"nan",107.932,0.827
105.097,-0.239,"Berkeley_34","*",9.38,1.64,14.41,3.19,5030.4,54.361,15.81,2,1,0.024,0.023,105.097,-0.239
106.033,1.046,"NGC_2324","nan",8.73,0.4,13.12,5.07,2302.0,6.353,2.29,0,0,0.09,"nan",106.033,1.046
107.491,2.734,"Berkeley_35","*",9.07,0.43,13.38,3.23,993.9,10.518,13.4,2,0,0.055,0.013,107.491,2.734
95.274,-3.431,"FoF_658, LP_658","nan",8.97,0.59,10.93,3.67,577.1,4.196,10.53,0,0,0.241,"nan",95.274,-3.431
99.452,-0.874,"Berkeley_24","*",9.15,1.74,13.45,4.36,4842.9,20.746,5.82,2,1,0.062,0.033,99.452,-0.874
97.675,-1.413,"UBC_210","*",9.11,1.24,11.83,2.51,490.2,11.017,27.16,1,0,0.085,0.249,97.675,-1.413
99.905,1.147,"NGC_2262","nan",8.81,1.67,12.75,2.73,2707.5,48.011,6.6,0,0,0.052,"nan",99.905,1.147
103.028,2.922,"Berkeley_28","nan",8.54,1.6,13.4,1.76,741.8,49.716,10.75,0,0,0.027,"nan",103.028,2.922
99.677,2.069,"Collinder_110","*",9.26,1.14,11.7,5.98,8368.6,13.786,3.82,8,3,0.181,0.34,99.677,2.069
104.617,3.104,"Gulliver_45","*",9.49,1.08,12.61,3.14,699.9,7.853,42.29,0,1,0.059,"nan",104.617,3.104
102.837,5.772,"Berkeley_27","*",9.23,1.23,13.42,1.69,1056.4,77.793,50.5,3,0,0.023,0.028,102.837,5.772
104.53,6.433,"Berkeley_32","*",9.69,0.34,12.44,3.38,5136.8,45.641,29.92,9,11,0.065,0.107,104.53,6.433
102.62,6.612,"FSR_1025","nan",8.75,0.7,13.94,1.18,137.2,30.251,53.59,0,0,0.011,"nan",102.62,6.612
110.503,3.557,"FSR_1083","*",9.3,0.43,13.44,2.9,1527.3,22.063,23.32,7,2,0.043,0.061,110.503,3.557
