"Name","GLON","GLAT","RAJ2000","DEJ2000","Daxis","daxis","Names","Class","Comm","Ref","RA","DEC"
"NGC 1579",165.34,-9.01,"04 30 11","+35 16 45",8.0,8.0,"NGC1579 IR Cluster","IRC","in RN+EN NGC1579,LDN1478  eFIR=35.6","039",67.54288,35.28285
"Sh2-228",169.19,-0.9,"05 13 25","+37 27 04",1.4,1.4,"Sh2-228 IR Cluster,IRAS05100+3723 Cl","IRC","in Sh2-228 d=2.6 eFIR=8.8 LD=1.1","001",78.3589,37.45294
"IRAS05197+3355",173.16,-1.3,"05 23 04","+33 58 27",1.4,1.4,"IRAS05197+3355 Cluster","IRC","in IRAS05197+3355 Neb d=3.2 eFIR=4.3 LD=1.3","001",80.77166,33.97722
"Sh2-233SE",173.48,2.43,"05 39 10","+35 45 15",1.1,1.1,"Sh2-233SE IR Cluster","IRC","mP in Sh2-233SE Neb,away from Sh2-233 d=1.8 eFIR=8.3 LD=0.58","008",84.78646,35.7571
"DB2001-24",173.48,2.45,"05 39 13","+35 45 53",1.2,1.2,"DB2001-24","IRC","mP in Sh2-233SE Neb,away from Sh2-233 d=1.8 eFIR=8.8 LD=0.63","078",84.80734,35.76774
"G173.58+2.45",173.58,2.45,"05 39 28","+35 40 43",0.7,0.5,"G173.58+2.45 Cluster,IRAS05361+3539 Cl","IRC","in CO Neb G173.58+2.45  d=1.8 t=0.1 eFIR=3.3 LD=0.37","085",84.87274,35.6831
"Sh2-235",173.63,2.81,"05 41 07","+35 49 30",1.4,1.4,"Sh2-235 IR Cluster,IRAS05377+3548 Cl","IRC","mP in Sh2-235 d=1.8 eFIR=22.3 LD=0.73","001",85.28168,35.83132
"Sh2-235B",173.72,2.69,"05 40 53","+35 41 26",1.6,1.6,"Sh2-235B IR Cluster,S235B IR Cl,IRAS05375+3540 Cl","IRC","mP rel neb BFS46  d=1.8  eFIR=18.9 LD=0.84","001, 008",85.21458,35.69162
"AFGL5142",174.19,-0.07,"05 30 46","+33 47 52",0.6,0.6,"AFGL5142,IRAS05274+3345 Cl","IRC","in AFGL5142 Nebula d=1.8 eFIR=5.8 LD=0.31","001, 008",82.69351,33.80782
"NGC 1985, AFGL5157",176.51,0.18,"05 37 48","+31 59 24",1.3,1.3,"NGC1985 IR Cluster,AFGL5157","IRC","in RN NGC1985,Per Arm d=1.8 eFIR=8.0 LD=0.7","008",84.44301,31.99463
"Gy1-17",178.76,1.16,"05 47 13","+30 36 12",1.0,1.0,"Gy1-17 IR Cl,Gy2-18 IR Cl,IRAS05439+3035 Cl","IRC","in Neb Gy1-17 d=3.5 eFIR=2.7 LD=1.02","040",86.80481,30.59827
"DB2001-25, IRAS05489+2723",182.05,0.42,"05 52 05","+27 23 32",3.5,3.5,"IRAS05489+2723 Cluster","IRC","Opt/IR cluster or dust window  eFIR=1.4","078",88.01171,27.39581
"Sh2-242, S 242",182.41,0.24,"05 52 13","+26 59 33",1.5,1.5,"Sh2-242 IR Cluster","IRC","attached Sh2-242 d=2.1 eFIR=13.9 LD=0.9","008",88.04389,26.99434
"GGD4",183.71,-3.66,"05 40 24","+23 50 54",1.0,1.0,"GGD4 IR Cluster","IRC","in GGD4 IR Neb,rel RN GGD4 d=1.0 eFIR=4.1 LD=0.29","008",85.0992,23.85932
"DB2001-26, IRAS06063+2456",186.13,2.59,"06 09 28","+24 55 40",4.0,3.0,"IRAS06063+2456 Cluster,"IRC","poorly populated    eFIR=0.98","078",92.36445,24.92918
"BFS51, IRAS06155+2319",188.55,3.65,"06 18 35","+23 18 11",1.8,1.8,"BFS51 IR Cluster,IRAS06155+2319 Cl","IRC","in neb BFS51 d=1.6 eFIR=9.7 LD=0.84","001",94.64626,23.30874
"AFGL5182",188.79,1.02,"06 09 06","+21 50 45",2.5,2.0,"AFGL5182,IRAS06061+2151 Cl,CSS1b","IRC","mP m5  in GemOB1 d=1.5 eFIR=10.1 LD=1.1","052",92.26708,21.84291
"CSS1a",188.8,1.07,"06 09 18","+21 51 00",1.8,1.8,"CSS1a","IRC","mP m5  in GemOB1 d=1.5 eFIR=7.3 LD=0.8","052",92.31943,21.85836
"AFGL5180",188.94,0.88,"06 08 54","+21 38 25",2.7,2.5,"AFGL5180,CSS2,IRAS06058+2138 Cl","IRC","m5  rel Opt AFGL5180 Neb,near Sh2-247,in GemOB1 d=1.5 eFIR=17.9 LD=1.2","001, 008, 052",92.21342,21.64389
"AFGL6366-N",189.02,0.81,"06 08 47","+21 32 05",1.0,1.0,"AFGL6366-N,CSS4b","IRC","mP m5 in GemOB1   d=1.5 eFIR=26.0 LD=0.44","008, 052",92.18926,21.53999
"AFGL6366-S",189.03,0.78,"06 08 41","+21 31 01",1.7,1.7,"AFGL6366-S,CSS4a,IRAS06056+2131 Cl","IRC","mP m5  rel AFGL6366-S Neb,near Sh2-247  d=1.5 eFIR=22.8 LD=0.74","001, 052",92.16626,21.5167
"CSS3,IRAS06067+2138",189.06,1.07,"06 09 50","+21 37 54",2.5,2.5,"CSS3,IRAS06067+2138 Cluster","IRC","m5 in GemOB1 d=1.5 eFIR=2.4 LD=1.1","052",92.45476,21.63082
"DB2001-27, IRAS06065+2124",189.23,0.9,"06 09 31","+21 23 57",2.0,2.0,"IRAS06065+2124 Cluster","IRC","eFIR= 2.1","078",92.38313,21.39984
"Sh2-252A",189.76,0.33,"06 08 32","+20 39 24",1.6,1.6,"Sh2-252A IR Cluster","IRC","mT in Sh2-252A,NGC2175,Sh2-252,GemOB1,Per Arm d=2.0 eFIR=22.2 LD=0.9","039",92.12393,20.66009
"Sh2-252C",189.85,0.5,"06 09 22","+20 39 33",2.6,2.6,"Sh2-252C IR Cluster","IRC","mT in Sh2-252C,NGC2175,Sh2-252,GemOB1,Per Arm d=2.0 eFIR=20.6 LD=1.5","039",92.32947,20.66375
"NGC 2174, IRAS06058+2030",190.05,0.53,"06 09 53","+20 30 16",1.4,1.4,"NGC2174 IR Cluster,Sh2-252E IR Cl,IRAS06058+2030 Cl","IRC","mT in NGC2174,NG2175,GemOB1,Per Arm   d=2 eFIR=13.7 LD=0.8","039",92.46085,20.50323
"DB2001-29, BFS52, IRAS06117+1901",191.92,0.82,"06 14 45","+19 00 28",2.5,2.0,"BFS52 IR Cluster,IRAS06117+1901 Cl,DB2001-29","IRC","in BFS52       eFIR=5.9","078",93.68547,19.00248
"AFGL5173",192.16,-3.81,"05 58 14","+16 32 00",3.0,2.5,"AFGL5173 Cluster,IRAS05553+1631 Cl","IRC","rel AFGL5173 Opt/IR Neb d=2.2 t=0.1 eFIR=6.3 LD=1.9","001, 008",89.56188,16.53712
"DB2001-30, Sh2-254",192.54,-0.15,"06 12 25","+17 59 28",0.9,0.9,"Sh2-254 IR Cluster","IRC","m4 in Sh2-254,in GemOB1,Per arm  d=2.0 eFIR=16.4 LD=0.52","078",93.10057,17.99371
"IC2162",192.59,-0.05,"06 12 53","+17 59 22",2.6,2.2,"IC2162 IR Cluster,Sh2-255/257 IR Cl","IRC","m4 in IC2162,rel Sh2-255,Sh2-257 d=2.5 eFIR=43.7 LD=1.5","008",93.21804,17.99785
"DB2001-31, Sh2-256",192.6,-0.12,"06 12 37","+17 57 00",1.7,1.7,"Sh2-256 IR Cluster","IRC","m4 in GemOB1,rel Sh2-254,Per arm d=2.0 eFIR=18.5 LD=1.0","078",93.15852,17.95548
"DB2001-32, Sh2-258",192.72,0.03,"06 13 28","+17 55 27",2.0,2.0,"Sh2-258 IR Cluster","IRC","m4  in GemOB1,rel Sh2-258 Per Arm d=2.0 eFIR=9.0 LD=1.2","078",93.35736,17.92211
"DB2001-33, IRAS06104+1524A",194.93,-1.2,"06 13 21","+15 23 56",1.0,1.0,"IRAS06104+1524A Cluster","IRC","mP          eFIR=5.6","078",93.33525,15.39311
"Sh2-269, IRAS06117+1350",196.45,-1.67,"06 14 38","+13 49 30",1.0,0.7,"Sh2-269 IR Cluster,IRAS06117+1350 Cl","IRC","in Sh2-269 d=3.9 eFIR=16.8 LD=1.1","001, 039",93.65908,13.83373
"Sh2-270, IRAS06073+1249 ",196.83,-3.1,"06 10 12","+12 48 46",1.0,1.0,"Sh2-270 IR Cluster,IRAS06073+1249 Cl","IRC","in Sh2-270 d=4.8 eFIR=5.3 LD=1.4","001",92.55577,12.81567
"MonOB1-D",203.2,2.08,"06 41 03","+09 36 10",3.0,2.0,"MonOB1-D IR Cluster","IRC","in NGC2264-Southern Cl,in NGC2264,in MonOB1,rel MonOB1-D IR neb eFIR=11.8","008, 030",100.25952,9.60722
"NGC 2264 IRS1",203.31,2.05,"06 41 10","+09 29 30",1.5,1.5,"NGC2264IRS1 Stellar Group","IRC","mP  overlaps Cone Neb Cl in NGC2264-Southern Cl,NGC2264 IRS1+low mass stars d=0.76 eFIR=16.9 LD=0.33","053, 039",100.28336,9.49573
"NGC 2264 IRS1 SE",203.33,2.06,"06 41 12","+09 29 05",0.6,0.6,"NGC2264IRS1SE Cluster","IRC","mP  overlaps Cone Neb Cl in NGC2264-Southern Cl,NGC2264 d=0.76 eFIR=14.8 LD=0.13","053, 039",100.30163,9.48251
"NGC 2071",205.17,-14.13,"05 47 07","+00 17 35",4.0,4.0,"NGC2071 IR Cluster","IRC","mP m4  in RN NGC2071,in LDN1630  d=0.5 eFIR=20.5 LD=0.6","008, 054",86.77879,0.3006
"M78, NGC 2068",205.33,-14.31,"05 46 46","+00 04 10",8.0,6.0,"M78 IR Cluster,NGC2068 IR Cluster","IRC","mP m4  in LDN1630 d=0.5 eFIR=33.6 LD=1.2","032, 054",86.69312,0.07898
"NGC 2024",206.47,-16.32,"05 41 43","-01 50 30",17.0,13.0,"NGC2024 IR Cluster","IRC","mP m4  in Neb NGC2024,LDN1630 d=0.5 eFIR=44.9 LD=2.5","008, 032, 054",85.43241,-1.83413
"RMC-2, IRAS06306+0437",206.78,-1.94,"06 33 16","+04 34 57",2.6,1.5,"RMC-2,IRAS06306+0437 Cluster","IRC","m8 in Rosette Molec Cl d=1.6 eFIR=5.4 LD=1.2","002",98.31578,4.58194
"RMC-1, IRAS06291+0421",206.83,-2.38,"06 31 48","+04 19 31",2.1,1.2,"RMC-1,IRAS06291+0421 Cluster","IRC","m8 in Rosette Molec Cl d=1.6 eFIR=5.2 LD=1.0","002",97.94714,4.33491
"NGC 2023",206.85,-16.53,"05 41 39","-02 15 40",4.0,4.0,"NGC2023 IR Cluster","IRC","mP m4 in Neb NGC2023,LDN1630 d=0.5 eFIR=2.0 LD=0.6","054",85.41605,-2.25447
"RMC-4b",206.98,-1.77,"06 34 14","+04 28 35",8.0,7.0,"RMC-4b","IRC","mP m8 in Rosette Molec Cl d=1.6 eFIR=6.5 LD=3.7","002",98.55946,4.48271
"RMC-4a, IRAS06314+0427",207.02,-1.83,"06 34 05","+04 24 54",2.0,2.0,"RMC-4a,IRAS06314+0427 Cl,BGD1","IRC","mP m8  in Rosette Molec Cl d=1.6 eFIR=7.1 LD=0.9","055",98.52447,4.41961
"RMC-5, IRAS06318+0420",207.16,-1.78,"06 34 32","+04 18 27",10.0,8.5,"RMC-5,IRAS06318+0420 Cl","IRC","mP m8 in Rosette Molec Cl d=1.6 eFIR=6.0 LD=4.7","002",98.63355,4.31835
"AFGL961",207.26,-1.8,"06 34 38","+04 12 44",2.0,1.6,"AFGL961,RMC-6,IRAS06319+0415 Cl","IRC","mP m8 rel GGD18,in Rosette Molec Cl d=1.6 eFIR=7.7 LD=0.9","002",98.66183,4.2204
"RNO73, IRAS06308+0402",207.32,-2.15,"06 33 31","+04 00 07",2.3,1.4,"RNO73 Cluster,RMC-3,IRAS06308+0402 Cl","IRC","m8 in Rosette Molec Cl d=1.6 eFIR=8.7 LD=1.1","001, 002, 008",98.37789,4.00618
"RMC-7, IRAS06329+0401",207.57,-1.71,"06 35 32","+03 58 52",2.6,1.7,"RMC-7,IRAS06329+0401 Cl","IRC","m8 in Rosette Molec Cl d=1.6 eFIR=1.5 LD=1.2","002",98.88473,3.98656
"OMC-2",208.82,-19.25,"05 35 25","-05 10 16",2.0,1.7,"OMC-2 Cluster","IRC","mT in OMC-2 d=0.5  eFIR=11.4 LD=0.3","008, 028",83.85677,-5.1685
"Orion Nebula,OCl-528,OriOB1C",208.97,-19.35,"05 35 21","-05 20 29",70.0,40.0,"Orion Nebula Cluster,OCl-528,OriOB1C","IRC","Opt/IR in Orion Neb  d=0.48  t=3  eFIR=47.2 LD=10","024, 032",83.83163,-5.34001
"OMC-1",208.99,-19.38,"05 35 14","-05 22 30",1.1,0.7,"OMC-1 Cluster,Orion-BN-KL IR Cluster","IRC","mT  in OMC-1  rel Kleinman-Low Neb d=0.5 eFIR=50.8 LD=0.2","008",83.81334,-5.37041
"Trapezium",209.01,-19.36,"05 35 20","-05 23 09",5.0,3.0,"Trapezium Cluster","IRC","Opt/IR  mT core of Orion Neb Cl,in Orion Neb  d=0.5 eFIR=49.7 LD=0.7","029",83.83983,-5.37819
"LDN1641 North",210.06,-19.59,"05 36 19","-06 22 13",4.0,3.0,"LDN1641 North Cluster","IRC","mP m9 rel neb Ber120 in LDN1641 d=0.5 eFIR=1.9 LD=0.5","008, 056",84.08099,-6.36576
"Morgan 8",210.12,-19.6,"05 36 24","-06 24 56",1.5,1.5,"Morgan 8 IR Cluster","IRC","mP m9 rel neb Ber120,in LDN1641 d=0.5 eFIR=2.2 LD=0.2","008",84.09742,-6.42079
"KMS35",210.8,-19.5,"05 37 53","-06 57 14",5.0,5.0,"KMS35 IR Cluster,V592 Ori IR Cluster","IRC","m9 in LDN1641 d=0.5 eFIR=3.1 LD=0.6","056, 032",84.47503,-6.94991
"LDN1641C",210.97,-19.33,"05 38 47","-07 01 40",7.0,5.0,"LDN1641C Cluster,LDN1641 Center Cl","IRC","mP m9 IR Cl in LDN1641  d=0.5 eFIR=4.6 LD=0.7","008, 056, 032",84.70021,-7.01811
"NGC 2282",211.24,-0.41,"06 46 52","+01 18 54",1.7,1.7,"NGC2282 IR Cluster","IRC","in Neb NGC2282,core of NGC2282 St Gr d=1.7 eFIR=6.9 LD=0.8","011",101.72285,1.3187
"LDN1641 South",212.43,-18.99,"05 42 29","-08 06 47",11.0,8.0,"LDN1641 South Cluster","IRC","m9 in LDN1641,rel RN DG76,vdB-RN55 eFIR=10.5 LD=1.5","008, 056, 032",85.6214,-8.10609
"IRAS05404-0839",212.98,-19.15,"05 42 50","-08 38 37",8.0,6.0,"IRAS05404-0839 Cluster","IRC","in Orion A d=0.48 eFIR=2.9 LD=1.1","032",85.7054,-8.64359
"IRAS06046-0603",213.34,-12.6,"06 07 08","-06 03 53",5.0,4.0,"IRAS06046-0603 Cluster","IRC","rel MonR2 d=0.83 eFIR=0.72 LD=1.2","032",91.78701,-6.06495
"MonR2",213.69,-12.6,"06 07 45","-06 22 46",9.0,6.0,"MonR2 Cluster","IRC","in MonR2  d=0.83 eFIR=2.5 LD=2.2","008, 032",91.94013,-6.37073
"NGC 2183",213.88,-11.83,"06 10 51","-06 11 54",5.0,3.0,"NGC2183 IR Cluster,GGD12-15 IR Cl","IRC","rel RN NGC2183,GGD12/13/14/15 d=0.83 eFIR=0.57 LD=1.2","008, 032",92.71688,-6.19392
"IRAS05404-0946",214.06,-19.62,"05 42 54","-09 45 38",8.0,6.0,"IRAS05404-0946","IRC","in Orion A d=0.48 eFIR=4.7 LD=1.1","032",85.72268,-9.76541
"GGD17",214.13,-11.42,"06 12 48","-06 13 56",5.0,4.0,"GGD17 IR Cluster","IRC","rel GGD17 rel MonR2 d=0.83 eFIR=0.41 LD=1.2","032",93.19587,-6.23028
"IRAS05401-1002",214.27,-19.78,"05 42 38","-10 00 51",7.0,6.0,"IRAS05401-1002 Cluster","IRC","in Orion A d=0.48 eFIR=2.4 LD=1.0","032",85.66213,-10.01266
"Sh2-287-North",214.49,-1.81,"06 47 50","-02 12 54",1.3,1.3,"Sh2-287-North IR Cluster","IRC","away from Sh2-287  d=1.4 eFIR=1.8 LD=0.53","008",101.95817,-2.21155
"IRAS06562-0337 Cl",217.04,-0.05,"06 58 44","-03 41 07",0.7,0.7,"IRAS06562-0337 Cl,LkHalpha101 IR Cl","IRC","in Iron-clad Neb  d=7.0 eFIR=1.9 LD=1.4","004, 005, 006",104.69067,-3.67833
"BFS56",217.3,-0.06,"06 59 13","-03 54 52",2.0,1.5,"BFS56 IR Cluster","IRC","in neb BFS56 d=1.4 eFIR=6.3 LD=0.8","008",104.80082,-3.91417
"NS14,AFGL5216,BIP14,IRAS06567-0355",217.37,-0.08,"06 59 16","-03 59 39",3.0,2.5,"NS14 IR Cluster,BFS57 IR Cl Cl","IRC","in neb BFS57  d=2.3 eFIR=10.5 LD=2.0","008, 040",104.81505,-3.98557
"Sh2-287C",218.02,-0.32,"06 59 37","-04 40 23",0.8,0.8,"Sh2-287C IR Cluster","IRC","rel Sh2-287 d=1.4 eFIR=4.4 LD=0.33","008",104.89889,-4.6734
"DB2001-35,IC466,Sh2-288",218.74,1.85,"07 08 39","-04 19 07",0.6,0.4,"IC466 IR Cluster,Sh2-288 IR Cl,DB2001-34","IRC","in IC466      eFIR=0.5","078",107.1644,-4.31824
"NGC 2316, LDN1654",220.79,-1.71,"06 59 42","-07 46 29",2.3,2.3,"NGC2316 IR Cluster,LDN1654 IR Cl","IRC","IR/Opt in Neb NGC2316,LBN1021,LDN1654 d=1.1 eFIR=6.6 LD=0.74","008",104.92761,-7.77201
"NGC 2327, LkHalpha221",224.44,-2.36,"07 04 08","-11 18 58",2.2,2.2,"NGC2327 Cluster,LkHalpha221 Cl","IRC","mP IR/Opt inc NGC2327,in IC2177,CMaOB1 d=1.2 eFIR=4.0 LD=1.4","048",106.03078,-11.31389
"BRC27, IRAS07016-1118",224.5,-2.41,"07 04 03","-11 23 40",3.8,1.8,"BRC27 IR Cluster,IRAS07016-1118 Cl","IRC","mP in BRC27,IC2177,CMaOB1  d=1.2 eFIR=2.7 LD=2.4","049, 048",106.01337,-11.39007
