"Name","GLON","GLAT","RAJ2000","DEJ2000","Daxis","daxis","Names","Class","Comm","Ref","RA","DEC"
"NGC 6334 V",351.16,0.7,"17 19 57","-35 57 31",3.5,2.5,"NGC6334V","IRC","in NGC6334,rel Gum64a d=1.7 eFIR=90.2 LD=1.7","007",259.98583,-35.96322
"NGC 6334 I",351.41,0.64,"17 20 53","-35 46 57",1.3,1.0,"NGC6334I","IRC","in NGC6334 d=1.7  eFIR=109.2 LD=0.64","007",260.22285,-35.79231
"NGC 6334 E",351.42,0.66,"17 20 51","-35 46 08",0.4,0.4,"NGC6334E IR Cluster","IRC","rel RHII NGC6334E,in NGC6334 d=1.7 eFIR=114.0 LD=0.2","007",260.20963,-35.77269
"DB2001-38, G351.6+0.2",351.61,0.17,"17 23 23","-35 53 44",0.4,0.3,"G351.6+0.2 IR Cluster","IRC","in G351.6+0.2 d>4.5   eFIR=37.4","078",260.84023,-35.89445
"DB2001-39, G352.866-0.199",352.86,-0.2,"17 28 19","-35 04 15",0.3,0.3,"G352.866-0.199 IR Cluster","IRC","in G352.866-0.199 very distant? eFIR=16.4","078",262.07609,-35.06581
"rho Oph,rho Oph Dark Cloud,Grasdalen 1,OCl-1015.1",353.06,16.92,"16 26 22","-24 23 44",10.0,10.0,"rho Oph Dark Cloud IR Cluster,Grasdalen 1,OCl-1015.1","IRC","in LDN1688,rho Oph DC d=0.12 eFIR=10.6 LD=0.3","016",246.59402,-24.40238
"DB2001-40, G353.4-0.4",353.42,-0.36,"17 30 28","-34 41 30",1.7,1.5,"G353.4-0.4 IR Cluster","IRC","in G353.4-0.4   eFIR=38.7","078",262.61575,-34.68741
"DB2001-41, G354.664+0.470",354.67,0.48,"17 30 24","-33 11 10",1.0,0.7,"G354.664+0.470 IR Cluster","IRC","in G354.664+0.470    eFIR=31.5","078",262.59944,-33.18145
"DB2001-42,G359.3-0.3",359.28,-0.25,"17 44 53","-29 40 48",2.0,1.7,"G359.3-0.3 IR Cluster","IRC","IR Cl or dust window? K dust patches,in G359.3-0.3 eFIR=38.5","078",266.21882,-29.68085
"R CrA, Coronet",359.93,-17.85,"19 01 54","-36 57 10",9.0,7.0,"R CrA Cluster,Coronet","IRC","in CrA DC,inc NGC6729,HH100  d=0.17 t<1 eFIR=1.5  LD=0.45","008",285.47028,-36.95471
"Nuclear Young, IRS16",359.94,-0.04,"17 45 40","-29 00 28",0.7,0.7,"Nuclear Young Cluster,IRS16 Cl,He I emission-line stars central cluster","IRC","in SgrA West,Around SgrA Point Source  d=8 eFIR=99.1 LD=1.6","025, 074",266.40828,-29.00823
