"Name","ID","AllNames","Type","CST","N","CSTt","Nt","RA_ICRS","DE_ICRS","GLON","GLAT","r50","rc","rt","rtot","r50pc","rcpc","rtpc","rtotpc","pmRA","s_pmRA","e_pmRA","pmDE","s_pmDE","e_pmDE","Plx","s_Plx","e_Plx","dist16","dist50","dist84","Ndist","globalPlx","X","Y","Z","RV","s_RV","e_RV","n_RV","CMDCl2.5","CMDCl16","CMDCl50","CMDCl84","CMDCl97.5","CMDClHuman","logAge16","logAge50","logAge84","AV16","AV50","AV84","diffAV16","diffAV50","diffAV84","MOD16","MOD50","MOD84","minClSize","isMerged","isGMMMemb","NXmatches","XmatchType","recno"
"OCSN 27",5090,"OCSN_27","o",17.28501,173,17.28501,173,321.60721,47.63254,91.19923,-2.205,0.78184,0.39742,5.33734,5.33734,5.6373,2.86543,38.59338,38.59338,3.2572,0.29702,0.02258,-2.5057,0.24179,0.01838,2.40723,0.07763,0.0059,412.76251,413.09665,413.43133,142,0,-8130.65296,412.70032,4.92708,-16.30641,14.76585,2.30604,41,0.9184,0.9835,0.99079,0.99982,0.99982,"nan",6.911,7.173,7.379,0.003,0.146,0.211,0.051,0.494,0.775,7.901,8.063,8.226,80,0,0,1,"1:1",5091
"OCSN 28",5091,"OCSN_28","o",10.98132,116,11.39895,114,324.41903,50.89109,94.76216,-1.066,0.97396,1.74402,2.61533,3.54922,7.43816,13.32194,19.98526,27.13748,3.8807,0.29572,0.0277,-2.12111,0.21397,0.02004,2.28028,0.07706,0.00722,437.06972,437.52594,437.98312,96,0,-8158.31064,435.94008,12.7501,-17.57925,15.65942,2.95935,28,0.933,0.9825,0.98936,0.99915,0.9998,"nan",6.977,7.257,7.448,0.077,0.236,0.363,0.261,0.679,1.083,8.012,8.166,8.338,80,0,0,1,"1:1",5092
"OCSN 31",5092,"OCSN_31","o",9.38942,75,9.38942,75,329.65618,50.78617,97.24143,-3.259,1.63025,1.76849,5.63795,5.63795,7.54257,8.18257,26.16219,26.16219,9.60286,0.91507,0.10566,-0.44432,0.52531,0.06066,3.64853,0.23348,0.02696,264.81133,265.01501,265.21901,62,0,-8155.36286,262.47607,5.81958,-8.84602,17.99845,3.92758,21,0.05136,0.4598,0.70997,0.99668,0.99668,"nan",7.552,7.87,8.089,0.0,0.11,0.171,0.001,0.409,0.606,6.921,7.103,7.252,20,0,0,1,"1:1",5093
"OCSN 32",5093,"OCSN_32,Theia_18,Theia_81","o",10.40993,89,10.40993,89,340.36751,40.21034,97.64292,-16.19,0.76952,1.73855,1.93026,1.93026,5.71524,12.91537,14.34063,14.34063,-2.0615,0.2604,0.0276,-5.24502,0.19733,0.02092,2.31805,0.04825,0.00511,424.89825,425.51001,426.12353,78,0,-8176.62341,404.9966,-97.73225,-18.99113,19.80484,4.66805,18,0.9777,0.9956,0.9979,0.99999,0.99999,"nan",6.72,6.931,7.159,0.042,0.21,0.305,0.097,0.565,0.859,7.965,8.115,8.265,80,0,0,3,"m:m",5094
"OCSN 36",5094,"OCSN_36","o",4.25247,21,5.94605,15,350.26616,43.72629,106.12907,-16.18,0.73746,1.3896,1.3896,3.21216,6.07977,11.45782,11.45782,26.50805,5.85594,0.43966,0.11352,-3.57263,0.22087,0.05703,2.09349,0.03643,0.00941,471.12306,472.33323,473.54964,19,0,-8248.32901,435.77565,-110.47267,-12.31997,2.90689,1.18673,6,0.01767,0.2586,0.50374,0.99013,0.98954,"nan",7.974,8.361,8.702,0.009,0.233,0.357,0.052,0.532,0.778,8.123,8.308,8.472,20,0,0,1,"1:1",5095
"OCSN 40",5095,"Collinder_460,FSR_450,MWSC_3779,Melotte_245,NGC_7789,OCL_269,OCSN_40,Theia_920","o",11.6052,169,12.27576,159,358.85784,56.48449,115.21818,-5.546,1.15686,2.83946,2.83946,3.47322,8.12156,19.94769,19.94769,24.40985,7.9219,0.40406,0.03204,-3.12563,0.35811,0.0284,2.4635,0.07189,0.0057,401.80111,402.18247,402.56455,137,0,-8292.62621,362.14814,-17.63263,-12.70763,16.53199,2.87785,33,0.6452,0.9231,0.95686,0.99713,0.99947,"nan",6.7,6.971,7.153,0.079,0.271,0.404,0.141,0.781,1.09,7.845,7.999,8.181,20,0,0,3,"m:m",5096
"OCSN 41",5096,"OCSN_41","o",5.48305,27,5.48305,27,1.07757,54.28955,116.02032,-7.949,0.32883,0.44347,0.99856,0.99856,2.29189,3.09094,6.96045,6.96045,8.21212,0.17115,0.03294,-4.15507,0.14619,0.02813,2.46651,0.04134,0.00796,398.4579,399.33722,400.22043,21,0,-8295.61597,355.41235,-33.97706,-17.12575,11.51078,3.83693,9,0.9746,0.9933,0.99657,0.99996,0.99999,"nan",6.617,6.837,6.976,0.0,0.083,0.126,0.0,0.237,0.387,7.77,7.932,8.091,20,0,0,1,"1:1",5097
"OCSN 50",5098,"OCSN_50","o",3.86803,24,6.09514,18,62.36003,21.42042,172.61411,-21.81,1.07378,2.50454,2.50454,5.85088,3.67136,8.56771,8.56771,20.07215,5.81653,0.33052,0.0779,-5.99741,0.5784,0.13633,5.24047,0.10275,0.02422,195.61854,195.87645,196.13504,21,0,-8302.5051,23.37798,-51.51421,35.67506,53.51203,20.22565,7,0.00275,0.00064,0.2496,0.45311,0.89438,"nan",7.005,7.311,7.614,0.323,0.752,1.017,0.184,0.712,1.142,6.37,6.513,6.676,10,0,0,1,"1:1",5099
"OCSN 54",5099,"OCSN_54","o",8.37772,36,8.37772,36,77.62209,17.43095,185.28398,-13.03,0.72027,0.77674,2.50085,2.50085,5.43779,5.86421,18.89165,18.89165,0.63165,0.10226,0.01704,-5.44838,0.25164,0.04194,2.26697,0.08901,0.01483,431.70455,432.5432,433.38512,33,0,-8541.83855,-38.80782,-75.64067,14.30214,12.3689,3.30573,14,0.0609,0.3864,0.6494,0.99524,0.99524,"nan",7.298,7.55,7.789,0.406,0.625,0.826,0.188,0.66,1.03,7.953,8.128,8.262,20,0,0,1,"1:1",5100
"OCSN 56",5100,"OCSN_56","o",4.36948,88,4.46728,77,83.5782,2.6292,201.46708,-15.82,1.23972,2.21536,2.21536,2.92825,8.91845,15.94263,15.94263,21.08076,-0.92367,0.325,0.03704,0.55181,0.25372,0.02891,2.38909,0.04654,0.0053,411.46537,412.11878,412.77426,70,0,-8491.25815,-145.10695,-90.62086,25.55239,11.96529,2.4424,24,0.9856,0.9973,0.99871,0.99999,1.0,"nan",6.795,7.056,7.277,0.087,0.285,0.419,0.08,0.603,0.894,7.9,8.053,8.224,80,0,0,1,"1:1",5101
