"Name","ID","AllNames","Type","CST","N","CSTt","Nt","RA_ICRS","DE_ICRS","GLON","GLAT","r50","rc","rt","rtot","r50pc","rcpc","rtpc","rtotpc","pmRA","s_pmRA","e_pmRA","pmDE","s_pmDE","e_pmDE","Plx","s_Plx","e_Plx","dist16","dist50","dist84","Ndist","globalPlx","X","Y","Z","RV","s_RV","e_RV","n_RV","CMDCl2.5","CMDCl16","CMDCl50","CMDCl84","CMDCl97.5","CMDClHuman","logAge16","logAge50","logAge84","AV16","AV50","AV84","diffAV16","diffAV50","diffAV84","MOD16","MOD50","MOD84","minClSize","isMerged","isGMMMemb","NXmatches","XmatchType","recno"
"ADS 16795",1,"ADS_16795,AR_Cas","o",6.8322,41,6.8322,41,352.59216,58.55341,112.50889,-2.668,2.65316,3.25586,8.48998,8.48998,9.56715,11.74471,30.81841,30.81841,18.6566,1.30186,0.20332,2.84661,1.25804,0.19647,4.75961,0.10161,0.01587,206.28168,206.45788,206.63439,32,0,-8200.94947,190.52327,11.3916,-13.35774,1.63019,0.57636,8,0.172,0.6798,0.82842,0.99783,0.99885,"nan",7.388,7.755,8.016,0.0,0.174,0.264,0.008,0.471,0.694,6.492,6.65,6.815,40,0,0,1,"1:1",2
"AH03 J0748-26.9",2,"AH03_J0748-26.9,AH03_J0748-26.9,AH03_J0748_26.9,FSR_1315,MWSC_1347,MWSC_1348","o",11.58552,68,11.78131,66,117.15589,-26.97268,243.20022,-0.6276,0.03411,0.02795,0.1463,0.18885,2.36861,1.94141,10.16049,13.11505,-2.46549,0.04242,0.00522,3.18503,0.05194,0.00639,0.20936,0.03313,0.00408,3919.58056,3979.06488,4040.38252,68,0,-9916.03214,-3551.44899,-18.1946,79.36052,16.09866,4.64728,1,0.9963,0.9998,0.99994,1.0,1.0,"TP ",7.841,8.062,8.304,0.766,1.037,1.233,0.649,1.079,1.455,13.327,13.521,13.707,10,0,0,2,"1:m",3
"ASCC 5",3,"ASCC_5,MWSC_93","o",8.31642,25,8.31642,25,14.46908,55.82917,123.84275,-7.031,0.05449,0.04499,0.23229,0.23229,1.65575,1.36707,7.05842,7.05842,-2.40663,0.08268,0.01654,-1.91882,0.09264,0.01853,0.5382,0.03764,0.00753,1721.68751,1740.98321,1760.71632,24,0,-9084.80322,1435.13377,-189.84724,"nan","nan","nan",0,0.9899,0.999,0.99966,1.0,1.0,"nan",6.97,7.326,7.542,0.893,1.176,1.396,0.18,0.723,1.068,11.047,11.212,11.37,10,0,0,1,"1:1",4
"ASCC 6",4,"ASCC_6,MWSC_141,Theia_2326","o",19.25857,209,19.25857,209,26.84216,57.73861,130.36369,-4.324,0.1436,0.08215,0.86659,0.86659,3.76422,2.15326,22.71745,22.71745,-0.83414,0.10924,0.00756,0.14917,0.08861,0.00613,0.62967,0.05079,0.00351,1497.86275,1501.88586,1505.93064,208,0,-9092.16757,1141.10436,-89.94836,-28.83784,22.55436,10.08662,5,0.9907,0.9985,0.99928,1.0,1.0,"nan",7.773,7.961,8.185,0.494,0.657,0.865,0.316,0.758,1.105,10.703,10.891,11.056,80,0,0,2,"1:m",5
"ASCC 9",5,"ASCC_9,Theia_1659","o",17.56655,136,17.87814,132,41.6239,57.77685,137.80669,-1.733,0.13844,0.33497,0.33497,0.41285,5.55555,13.44248,13.44248,16.56808,0.16876,0.06185,0.00538,-1.13868,0.06851,0.00596,0.40228,0.02597,0.00226,2288.40542,2299.27725,2310.25287,136,0,-9824.86029,1543.56813,-44.38768,-23.79109,23.51119,16.62492,2,0.9953,0.9993,0.99969,1.0,1.0,"TP ",7.249,7.466,7.647,2.302,2.5,2.674,0.628,1.078,1.369,11.677,11.842,11.979,40,0,0,2,"1:m",6
"ASCC 11",6,"ASCC_11,MWSC_284,Teutsch_J0332.2+4450,Theia_152","o",27.89349,315,24.37122,231,53.05042,44.84077,150.55168,-9.238,0.19207,0.24306,0.60388,0.76023,2.76882,3.50373,8.7054,10.95962,0.9053,0.15163,0.00998,-3.07237,0.13206,0.00869,1.17058,0.05007,0.00329,824.70038,825.93527,827.17387,226,0,-8832.20569,400.79571,-109.97429,-17.28521,10.74675,1.32283,66,0.991,0.9982,0.99909,1.0,1.0,"nan",8.174,8.37,8.587,0.526,0.729,0.907,0.595,0.997,1.363,9.38,9.527,9.677,20,0,0,2,"m:m",7
"ASCC 12",7,"ASCC_12,MWSC_427","o",19.41707,157,19.51678,155,72.4206,41.7143,163.01817,-1.9,0.22342,0.13,1.32441,1.42674,3.95609,2.30182,23.45501,25.26811,-0.67605,0.1325,0.01064,-2.91645,0.12865,0.01033,0.95499,0.04658,0.00374,1012.07776,1014.5175,1016.96904,153,0,-9091.80453,296.1466,-10.35242,-26.14466,20.49443,4.36943,22,0.9936,0.9991,0.99957,1.0,1.0,"nan",8.259,8.473,8.701,0.505,0.709,0.865,0.511,0.83,1.225,9.831,9.996,10.135,80,0,0,1,"1:1",8
"ASCC 13",8,"ASCC_13,MWSC_486,Theia_2043","o",11.41564,117,11.5234,115,78.22067,44.36503,163.52978,3.072,0.26536,0.31481,0.86654,1.16412,4.98416,5.91292,16.277,21.86808,-0.54823,0.1153,0.01075,-1.80948,0.12816,0.01195,0.88155,0.07391,0.00689,1073.26115,1076.15265,1079.05977,116,0,-9152.33454,304.67009,81.10342,-17.42267,15.84326,4.39413,13,0.9952,0.9992,0.99959,1.0,1.0,"TP ",7.737,7.945,8.159,0.421,0.617,0.754,0.293,0.67,0.996,9.99,10.138,10.322,80,0,0,2,"1:m",9
"ASCC 14",9,"ASCC_14,MWSC_507","o",3.35333,32,5.46688,21,80.00386,35.22906,171.7706,-1.108,0.20658,0.4305,0.4305,0.92492,3.62078,7.5458,7.5458,16.21296,-0.564,0.08223,0.01794,-3.59744,0.1968,0.04295,0.92738,0.04307,0.0094,1000.03648,1004.25092,1008.50104,32,0,-9115.74389,143.71938,3.92426,-15.0685,2.70909,1.91561,2,0.9862,0.9976,0.99879,1.0,1.0,"nan",7.457,7.689,7.865,0.498,0.676,0.829,0.402,0.834,1.212,9.806,9.988,10.142,20,0,0,1,"m:1",10
"ASCC 18",10,"ASCC_18,MWSC_541,OCSN_58","o",5.07672,82,5.66888,43,81.33025,0.36763,202.39397,-18.89,0.29656,0.65752,0.65752,2.25145,2.12907,4.72062,4.72062,16.17179,0.15635,0.25995,0.03964,1.37329,0.22022,0.03358,2.41504,0.04536,0.00692,410.72913,411.33422,411.94109,73,0,-8482.15451,-148.27108,-111.41598,26.15758,8.53235,2.0694,17,0.968,0.9909,0.99495,0.99974,0.99991,"nan",6.727,6.967,7.161,0.062,0.228,0.328,0.202,0.762,1.096,7.851,8.02,8.192,80,0,0,2,"1:m",11
"ASCC 19",11,"ASCC_19","o",9.30712,61,9.35243,60,81.97813,-1.85602,204.78899,-19.38,0.323,0.75889,0.75889,0.88724,1.98484,4.66363,4.66363,5.45246,1.16772,0.1765,0.02279,-1.18248,0.14031,0.01811,2.80542,0.03309,0.00427,351.66154,352.07912,352.4977,59,0,-8423.79916,-139.25454,-95.25632,11.65061,17.16019,3.36539,26,0.9961,0.9993,0.99965,1.0,1.0,"nan",6.672,6.872,7.045,0.113,0.23,0.351,0.008,0.516,0.713,7.546,7.675,7.844,40,0,0,1,"m:m",12
"ASCC 20",12,"ASCC_20,OCSN_57","o",8.64395,194,8.64395,194,82.19355,1.7213,201.59022,-17.47,0.65332,1.5054,1.63116,1.63116,4.11889,9.49261,10.28604,10.28604,-0.5691,0.2493,0.0179,0.75899,0.25143,0.01805,2.73025,0.09457,0.00679,360.88362,361.2076,361.53215,162,0,-8442.61793,-126.7789,-86.83411,27.88556,10.88051,1.48065,54,0.9358,0.9863,0.99289,0.99991,0.99994,"nan",6.858,7.098,7.281,0.0,0.108,0.173,0.043,0.471,0.735,7.602,7.763,7.917,80,0,0,2,"1:m",13
"ASCC 21",13,"ASCC_21","o",11.05617,116,11.05617,116,82.21204,3.60659,199.88285,-16.53,0.46183,0.42902,1.78717,1.78717,2.74653,2.55139,10.63163,10.63163,1.53235,0.1819,0.01689,-0.57628,0.17153,0.01593,2.90244,0.03102,0.00288,340.41616,340.73441,341.05325,107,0,-8429.40083,-111.09328,-75.3591,10.16829,28.00862,4.0427,48,0.9973,0.9995,0.99979,1.0,1.0,"nan",6.659,6.839,7.001,0.03,0.138,0.208,0.237,0.704,1.064,7.448,7.612,7.772,80,0,0,1,"1:1",14
"ASCC 23",14,"ASCC_23,FSR_746,Ferrero_16,MWSC_839,Theia_552","o",21.33467,194,21.51244,193,95.02983,46.6857,167.49003,14.39,0.3146,0.21642,1.58082,1.58082,3.31467,2.28019,16.6599,16.6599,1.07859,0.19221,0.01384,-0.63606,0.20433,0.01471,1.60933,0.08072,0.00581,602.8792,603.67283,604.46855,173,0,-8692.42583,126.65644,172.33554,-13.25087,8.00106,0.94955,71,0.9613,0.9938,0.99718,0.99999,0.99999,"nan",8.18,8.464,8.664,0.032,0.18,0.256,0.256,0.666,1.032,8.663,8.84,8.989,80,0,0,3,"1:m",15
"ASCC 24",15,"ASCC_24,Alessi_47,MWSC_875","o",5.83357,18,5.83357,18,97.26089,-7.03519,216.68857,-8.165,1.93345,3.71145,3.71145,3.71145,7.08122,13.607,13.607,13.607,-7.35356,0.3883,0.09152,-2.88102,0.47786,0.11263,4.72757,0.06728,0.01586,209.44342,209.76508,210.08774,11,0,-8288.55371,-124.05678,-8.56486,35.99829,42.16019,17.21183,6,0.7597,0.966,0.98497,0.99999,0.99999,"nan",7.165,7.509,7.924,0.048,0.391,0.611,0.003,0.479,0.709,6.533,6.669,6.844,10,0,0,1,"1:1",16
"ASCC 27",16,"ASCC_27,MWSC_1009","o",8.28525,51,9.48403,43,103.51204,-4.5116,217.24518,-1.476,0.07757,0.15674,0.15674,0.30845,4.18744,8.46146,8.46146,16.65148,-0.70465,0.0821,0.01252,0.62481,0.08596,0.01311,0.28058,0.03949,0.00602,3026.53967,3093.00482,3162.45476,49,0,-10583.54938,-1871.34616,-52.58862,"nan","nan","nan",0,0.7679,0.9229,0.95401,0.9973,0.99945,"nan",7.535,7.729,7.982,3.041,3.288,3.479,2.171,2.463,2.809,12.272,12.417,12.567,40,0,0,1,"1:1",17
"ASCC 28",17,"ASCC_28,MWSC_1011","o",3.51094,25,4.08451,21,103.45291,-0.12878,213.31715,0.4694,0.42539,0.71058,0.71058,0.96356,7.71962,12.89543,12.89543,17.48721,-2.56918,0.12821,0.02798,-2.42801,0.10753,0.02347,0.91908,0.02744,0.00599,1034.31051,1039.73871,1045.22418,25,0,-8990.7705,-571.08034,31.54129,48.98105,38.03345,13.44685,8,0.9574,0.9953,0.99792,0.99999,0.99999,"TP ",7.748,7.978,8.217,0.158,0.3,0.426,0.061,0.453,0.679,9.907,10.067,10.243,20,0,0,1,"m:m",18
"ASCC 29",18,"ASCC_29,MWSC_1013,Theia_2521","o",14.47895,91,14.47895,91,103.58953,-1.66868,214.74987,-0.1113,0.12916,0.1113,0.53099,0.53099,2.2395,1.92983,9.20713,9.20713,-0.99378,0.11408,0.01196,-1.05053,0.0986,0.01034,0.97071,0.05148,0.0054,990.10584,993.44652,996.80982,85,0,-8938.2382,-566.25761,20.95798,12.10932,21.29757,4.886,19,0.9842,0.9972,0.99874,0.99999,0.99999,"nan",7.808,8.078,8.273,0.001,0.107,0.157,0.01,0.399,0.537,9.725,9.939,10.069,80,0,0,2,"1:m",19
"ASCC 30",19,"ASCC_30,Alessi_35,MWSC_1028","o",11.3099,88,12.28294,80,104.23729,-6.21214,219.0886,-1.608,0.19397,0.37673,0.5071,1.01114,3.58978,6.97232,9.3853,18.71529,-1.57924,0.09833,0.01099,-0.15667,0.07816,0.00874,0.88756,0.05458,0.0061,1057.06347,1060.38402,1063.72549,87,0,-8944.76344,-668.33061,-6.85778,15.53418,18.43263,3.92985,22,0.9936,0.9984,0.99915,0.99999,0.99999,"nan",7.98,8.204,8.412,0.18,0.337,0.452,0.479,0.896,1.227,9.939,10.097,10.289,80,0,0,2,"1:m",20
"ASCC 33",20,"ASCC_33,MWSC_1077,Theia_239","o",9.60591,49,9.60591,49,105.45445,-24.43701,235.98124,-8.74,1.26603,2.94227,2.94227,2.94227,9.20924,21.41774,21.41774,21.41774,-9.78094,0.48213,0.06888,1.14338,0.30839,0.04406,2.32353,0.09627,0.01375,415.89482,416.70785,417.52406,39,0,-8352.56097,-341.37912,-41.93028,16.87885,6.52675,1.88411,12,0.818,0.9714,0.98503,0.99997,0.99997,"nan",7.947,8.333,8.628,0.0,0.056,0.118,0.0,0.372,0.548,7.915,8.042,8.268,40,0,0,2,"1:m",21
"ASCC 36",21,"ASCC_36,MWSC_1151","o",5.6389,29,6.96172,23,108.62336,-21.10057,234.29735,-4.633,0.19109,0.44222,0.44222,1.03658,3.17832,7.35547,7.35547,17.24314,-2.24213,0.1005,0.02096,2.00072,0.12651,0.02638,1.01377,0.04225,0.00881,948.51665,952.98872,957.50316,29,0,-8676.49623,-771.35171,-54.75419,16.04709,4.89143,1.99692,6,0.9284,0.9855,0.9932,0.99999,0.99999,"nan",7.845,8.105,8.338,0.028,0.17,0.246,0.026,0.373,0.568,9.661,9.862,9.994,20,0,0,1,"1:1",22
"ASCC 45",22,"ASCC_45,MWSC_1460,Theia_2131","o",4.79361,54,4.79361,54,124.14492,-35.65483,253.72109,-0.1878,0.20538,0.47106,0.51333,0.51333,12.67179,29.0643,31.67245,31.67245,-2.86844,0.08532,0.01161,3.18765,0.10137,0.0138,0.24553,0.01878,0.00256,3492.84166,3535.02901,3578.2479,53,0,-9112.91349,-3393.28539,11.74344,"nan","nan","nan",0,0.4332,0.7988,0.88381,0.99585,0.99739,"nan",7.221,7.467,7.717,1.872,2.061,2.281,2.019,2.281,2.7,12.592,12.755,12.904,40,0,0,2,"m:m",23
"ASCC 51",23,"ASCC_51,MWSC_1647,Theia_185,Theia_245,Theia_966,UBC_260","o",19.46775,172,16.75508,136,140.39673,-69.85529,286.58774,-13.97,0.54756,0.24641,4.26368,5.10676,5.20702,2.34321,40.61902,48.69,-7.61304,0.29284,0.02511,7.96359,0.33171,0.02844,1.81833,0.04717,0.00404,544.30625,544.83474,545.36427,113,0,-7971.36751,-506.72556,-111.07864,8.73467,8.68419,1.29456,45,0.9876,0.998,0.99898,1.0,1.0,"nan",7.852,8.1,8.366,0.0,0.073,0.127,0.005,0.347,0.529,8.432,8.619,8.781,20,0,0,5,"1:m",24
"ASCC 52",24,"ASCC_52,MWSC_1672,Theia_4502","o",3.79468,39,5.27393,30,141.82283,-54.50969,276.06605,-2.657,0.3306,0.42801,0.42801,0.55043,13.55825,17.55298,17.55298,22.57399,-5.15364,0.06842,0.01249,4.19897,0.07185,0.01312,0.38863,0.01384,0.00253,2331.42362,2349.71508,2368.29582,38,0,-7874.21618,-2334.04644,-88.76535,6.73056,4.54109,3.21104,2,0.8666,0.9648,0.97872,0.99968,0.99968,"TP ",8.21,8.434,8.6,0.821,1.034,1.186,0.72,1.117,1.518,11.704,11.853,12.023,20,0,0,2,"1:m",25
"ASCC 58",25,"ASCC_58,MWSC_1782,Theia_453","o",19.43185,236,20.28396,221,153.70559,-55.02031,281.70493,1.263,0.51495,0.53487,1.83477,3.68761,4.23716,4.4011,15.10193,30.38413,-13.30197,0.235,0.01581,2.7601,0.26526,0.01784,2.09626,0.05486,0.00369,471.10609,471.4381,471.77057,197,0,-8026.32937,-461.52271,30.94366,11.6828,13.46568,1.47805,83,0.9698,0.9935,0.99687,1.0,1.0,"nan",7.481,7.756,8.022,0.0,0.128,0.194,0.098,0.591,0.844,8.137,8.344,8.481,80,0,0,2,"m:m",26
"ASCC 59",26,"ASCC_59,MWSC_1793","o",3.04239,12,3.73866,10,155.39604,-57.67908,283.95304,-0.4378,0.10055,0.19208,0.19208,0.30701,3.35777,6.41415,6.41415,10.25212,-8.77797,0.06247,0.01975,4.8218,0.07332,0.02319,0.50128,0.01825,0.00577,1842.4713,1913.30497,1989.8028,11,0,-7660.67891,-1856.7966,4.99652,"nan","nan","nan",0,0.2369,0.7506,0.8823,1.0,1.0,"nan",9.511,9.657,10.0,0.005,0.337,0.477,0.0,0.412,0.611,11.17,11.373,11.561,10,0,0,1,"1:1",27
"ASCC 60",27,"ASCC_60,CWNU_2275,MWSC_1823","o",7.76545,146,9.80856,88,158.1709,-58.63125,285.69881,-0.4814,0.08983,0.18821,0.18821,0.49451,6.87933,14.41408,14.41408,37.87289,-5.43598,0.13132,0.014,2.59465,0.0791,0.00843,0.18672,0.02491,0.00266,4327.65872,4388.02095,4450.09087,141,0,-6934.80496,-4224.18824,-19.10898,109.3208,15.57357,7.78678,1,0.00279,0.00604,0.03697,0.05561,0.13742,"nan",7.248,7.666,8.081,2.348,2.632,3.098,2.911,3.128,3.453,13.019,13.288,13.47,20,0,0,2,"1:m",28
"ASCC 61",28,"ASCC_61,Gulliver_1,MWSC_1853","o",19.48869,167,19.15705,134,161.59049,-57.04482,286.52274,1.788,0.06214,0.07154,0.20669,0.26605,2.94949,3.39608,9.81101,12.62893,-7.96156,0.07623,0.00659,3.60843,0.05963,0.00515,0.33332,0.02773,0.0024,2704.50332,2719.72272,2735.11439,134,0,-7348.6599,-2606.14871,103.66661,-19.78931,7.50503,1.87626,16,0.8578,0.957,0.97565,0.99989,0.99989,"nan",8.92,9.083,9.26,0.296,0.495,0.642,0.263,0.691,0.959,12.06,12.242,12.435,20,0,0,2,"1:m",29
"ASCC 62",29,"ASCC_62,MWSC_1859,Theia_2151,UBC_263","o",4.62419,86,6.22368,67,162.76184,-60.08322,288.44718,-0.6415,0.19949,0.40975,0.40975,0.7221,7.97737,16.38564,16.38564,28.87748,-6.39431,0.05909,0.00722,2.08664,0.05631,0.00688,0.40429,0.02138,0.00261,2279.58817,2291.205,2302.94083,86,0,-7397.08211,-2173.33753,-6.71307,41.3831,62.92361,20.97454,1,0.9766,0.9969,0.99866,1.0,1.0,"nan",7.322,7.53,7.728,0.711,0.907,1.06,0.819,1.237,1.625,11.61,11.769,11.939,80,0,0,3,"m:m",30
"ASCC 63",30,"ASCC_63,MWSC_1869,UBC_508","o",16.07524,171,16.78171,156,164.09682,-60.47665,289.21447,-0.7059,0.04659,0.05893,0.14652,0.26361,4.16028,5.26176,13.08325,23.53803,-5.25428,0.06585,0.00527,2.25131,0.05741,0.0046,0.16473,0.03628,0.0029,5039.76851,5115.94971,5194.46938,170,0,-6438.58749,-4830.59191,-46.54442,17.94078,13.38368,3.34592,16,0.05951,0.09261,0.36286,0.50624,0.76804,"nan",8.387,8.618,8.848,2.012,2.296,2.534,2.06,2.365,2.705,13.498,13.659,13.821,10,0,0,2,"1:m",31
"ASCC 65",31,"ASCC_65,MWSC_1909","o",6.363,66,6.87406,50,167.83399,-61.16702,291.15998,-0.6042,0.06241,0.13881,0.13881,0.52234,2.60028,5.78366,5.78366,21.764,-6.30892,0.07232,0.01023,1.13289,0.08136,0.01151,0.38198,0.02057,0.00291,2373.44635,2387.22452,2401.16358,65,0,-7260.36655,-2226.14573,-6.58219,4.17192,25.12915,12.56457,4,0.821,0.9453,0.96624,0.99763,0.99838,"TP?",6.611,6.805,6.968,0.856,1.086,1.288,1.456,1.927,2.365,11.694,11.868,12.067,20,0,0,1,"1:1",32
"ASCC 66",32,"ASCC_66,MWSC_1922","o",5.8732,49,7.67734,25,168.34376,-55.42613,289.26347,4.822,0.07713,0.10052,0.23849,1.75603,1.28003,1.66831,3.95805,29.15299,-11.30001,0.15227,0.03045,3.00461,0.14076,0.02815,1.02919,0.04222,0.00844,947.70246,950.90685,954.13298,46,0,-7809.16466,-894.49068,99.92632,-8.8104,13.16352,4.97534,7,0.1641,0.6324,0.80684,0.99903,0.99903,"nan",7.76,7.961,8.239,0.132,0.292,0.434,0.158,0.591,0.871,9.698,9.87,10.046,40,0,0,1,"1:1",33
"ASCC 67",33,"ASCC_67,MWSC_1963,OC_0569","o",10.60079,78,10.60079,78,175.3753,-61.05655,294.57102,0.6748,0.1399,0.14587,0.49721,0.49721,4.60188,4.79822,16.35506,16.35506,-6.74073,0.05071,0.00574,0.95755,0.05958,0.00675,0.49314,0.01551,0.00176,1877.01159,1884.62967,1892.30983,78,0,-7338.30685,-1713.85187,40.98748,"nan","nan","nan",0,0.9996,1.0,1.0,1.0,1.0,"nan",7.396,7.636,7.83,0.421,0.584,0.749,0.335,0.778,1.078,11.26,11.422,11.619,40,0,0,2,"1:m",34
"ASCC 69",34,"ASCC_69,MWSC_1996","o",6.76882,38,7.91349,33,181.59366,-69.85703,299.04262,-7.326,0.843,1.33562,1.33562,2.12714,10.69276,16.943,16.943,26.99147,-6.4541,0.21016,0.03658,-1.89022,0.22149,0.03856,1.34233,0.02864,0.00499,725.00799,726.6959,728.39168,32,0,-7772.31052,-630.13374,-72.76436,4.67616,8.16737,2.58275,10,0.9651,0.9962,0.99853,1.0,1.0,"nan",7.622,7.863,8.088,0.398,0.606,0.785,0.004,0.286,0.465,9.088,9.257,9.402,20,0,0,1,"m:1",35
"ASCC 71",35,"ASCC_71,MWSC_2016","o",17.08518,147,17.66862,134,185.16909,-67.52149,299.98871,-4.826,0.16477,0.18857,0.55026,0.80938,3.51518,4.02299,11.73991,17.26875,-9.35821,0.17064,0.01474,-1.36065,0.15574,0.01345,0.78227,0.04065,0.00351,1219.42284,1222.37045,1225.33234,146,0,-7513.42877,-1054.97179,-83.59118,-14.3012,12.11541,3.12818,15,0.9888,0.9983,0.99935,1.0,1.0,"nan",8.131,8.325,8.545,0.604,0.749,0.937,0.168,0.575,0.807,10.267,10.406,10.577,40,0,0,1,"1:1",36
"ASCC 72",36,"ASCC_72,CWNU_231,MWSC_2044,UBC_1517","o",14.62848,147,14.89331,134,193.76376,-61.05355,303.3698,1.815,0.05964,0.05701,0.2257,0.52048,2.99651,2.8644,11.34013,26.15147,-5.25115,0.10724,0.00926,-0.37081,0.09544,0.00824,0.31239,0.04281,0.0037,2855.19314,2878.75978,2902.71869,141,0,-6539.10719,-2402.95674,107.92886,-12.77777,22.80198,13.16473,3,0.02403,0.08137,0.23758,0.36729,0.61113,"nan",8.024,8.252,8.497,1.7,1.918,2.168,2.67,2.902,3.198,12.112,12.249,12.457,80,0,0,3,"1:m",37
"ASCC 73",37,"ASCC_73,MWSC_2053,Theia_1076,Theia_1162,Theia_246,Theia_338","o",11.45248,80,12.55976,75,189.2922,-67.21018,301.54685,-4.377,0.57985,0.52872,2.27702,3.54682,6.35587,5.7954,24.97128,38.926,-11.48239,0.34556,0.0399,-2.87603,0.48289,0.05576,1.55051,0.04715,0.00544,627.11489,628.0113,628.91027,76,0,-7794.48305,-533.63859,-27.9662,-20.24527,8.85181,1.67283,28,0.9691,0.9933,0.99622,0.99996,0.99996,"nan",7.937,8.199,8.432,0.074,0.21,0.307,0.293,0.779,1.064,8.723,8.905,9.045,80,0,0,5,"m:m",38
"ASCC 75",38,"ASCC_75,CWNU_2237,MWSC_2163","o",7.20351,36,7.58484,35,206.93198,-62.45248,309.38874,-0.2885,0.14765,0.31592,0.31592,0.39982,5.09236,10.89625,10.89625,13.79032,-2.63223,0.14009,0.02368,-2.1866,0.07209,0.01219,0.47569,0.03076,0.0052,1959.44374,1976.15269,1993.14907,36,0,-6867.99609,-1527.2679,7.6379,"nan","nan","nan",0,0.8712,0.9691,0.98268,0.99941,0.99982,"nan",7.799,8.012,8.183,1.37,1.547,1.755,0.989,1.399,1.8,11.345,11.472,11.641,20,0,0,2,"1:m",39
"ASCC 77",39,"ASCC_77,Ferrero_15,MWSC_2205,Theia_2146","o",20.10097,220,21.37514,208,212.69604,-62.36042,311.99031,-0.8924,0.14739,0.14105,0.55761,0.84853,2.82474,2.70312,10.68672,16.26273,-4.25715,0.14336,0.00994,-3.16238,0.17602,0.0122,0.87471,0.03952,0.00274,1095.93388,1098.04317,1100.16059,209,0,-7387.51312,-816.03103,1.8181,-16.42211,14.15715,2.11042,45,0.9936,0.9986,0.99933,1.0,1.0,"nan",7.631,7.837,8.044,0.51,0.696,0.835,0.521,0.94,1.285,10.005,10.171,10.317,80,0,0,2,"m:m",40
"ASCC 79",40,"ASCC_79,Alessi_25,MWSC_2288,Theia_89","o",22.3511,214,22.3511,214,229.36721,-61.07482,319.67948,-3.044,0.32461,0.35797,1.11035,1.11035,4.6252,5.10062,15.82288,15.82288,-3.06871,0.2175,0.01487,-4.00049,0.21911,0.01498,1.18666,0.04127,0.00282,814.72224,816.38056,818.04564,198,0,-7500.52688,-527.50461,-24.14853,-8.85989,33.17156,5.86396,32,0.8532,0.9566,0.97301,0.99746,0.99938,"nan",6.564,6.74,6.857,0.37,0.625,0.781,1.225,1.75,2.173,9.327,9.516,9.644,10,0,0,2,"m:m",41
"ASCC 84",41,"ASCC_84,MWSC_2333","o",3.7965,13,3.7965,13,238.68273,-60.71273,323.56692,-5.411,0.10689,0.12234,0.357,0.357,1.58764,1.81712,5.30266,5.30266,-1.35984,0.23175,0.06427,-4.2006,0.22124,0.06136,1.15191,0.03462,0.0096,842.30031,851.03464,859.95201,13,0,-7440.53175,-503.16372,-61.1973,-1.96195,12.25273,8.66399,2,0.2459,0.8819,0.94181,0.99795,0.99936,"nan",7.178,7.466,7.721,0.528,0.78,0.997,0.0,0.472,0.679,9.455,9.644,9.855,10,0,0,1,"1:1",42
"ASCC 85",42,"ASCC_85,MWSC_2465,Theia_156,Theia_3681,Theia_4023","o",20.66174,201,20.66174,201,251.92431,-45.5721,339.83355,-0.3075,0.3511,0.15568,2.77813,2.77813,5.22402,2.31633,41.36797,41.36797,0.16325,0.14087,0.00994,-4.10842,0.16435,0.01159,1.1367,0.04774,0.00337,851.09384,852.49739,853.90557,193,0,-7321.76444,-293.89384,14.1756,8.01273,12.33898,1.49632,68,0.9972,0.9996,0.99981,1.0,1.0,"nan",7.881,8.095,8.305,0.33,0.52,0.652,0.225,0.647,0.917,9.405,9.6,9.722,80,0,0,4,"1:m",43
"ASCC 87",43,"ASCC_87,MWSC_2520,Theia_330","o",10.41222,90,11.86687,77,255.69785,-28.45807,355.11587,8.042,0.28408,0.53135,0.75163,1.27989,3.72567,6.96871,9.85797,16.78824,-1.21401,0.26015,0.02965,-3.76972,0.23438,0.02671,1.2982,0.05882,0.0067,749.74265,751.41861,753.10207,89,0,-7380.3801,-63.3481,124.02972,-0.21994,12.61094,2.01937,39,0.9202,0.9874,0.99293,0.99989,0.99991,"nan",8.444,8.635,8.847,0.278,0.432,0.578,0.592,1.028,1.398,9.179,9.34,9.508,80,0,0,2,"1:m",44
"ASCC 88",44,"ASCC_88","o",11.45384,96,11.45384,96,256.85062,-35.55641,349.99942,3.0,0.18557,0.44932,0.44932,0.44932,2.82729,6.84587,6.84587,6.84587,0.91136,0.16308,0.01664,-3.28504,0.17526,0.01789,1.10313,0.03187,0.00325,870.81133,872.94765,875.09448,90,0,-7263.35383,-151.38757,64.29586,-17.81535,33.44371,6.82667,24,0.9971,0.9994,0.9997,1.0,1.0,"nan",7.884,8.082,8.252,1.665,1.877,2.009,0.246,0.628,0.888,9.525,9.655,9.797,80,0,0,1,"m:m",45
"ASCC 90",45,"ASCC_90,Alessi_41,MWSC_2655,Theia_948","o",17.13616,184,17.46373,181,264.76197,-34.81736,354.26553,-1.913,0.94492,0.57182,5.38294,6.02163,9.41836,5.6992,53.80707,60.23614,-1.52865,0.27344,0.02032,-2.65507,0.31634,0.02351,1.70643,0.05593,0.00416,570.39623,571.03445,571.6741,165,0,-7554.16393,-57.02549,0.28469,6.27788,12.89289,1.42378,82,0.5211,0.8884,0.94543,0.99922,0.99934,"nan",8.417,8.612,8.812,0.463,0.684,0.838,0.573,1.051,1.406,8.565,8.706,8.89,80,0,0,2,"1:m",46
