"Name","RAJ2000","DEJ2000","Nsini","Ns","NOut","NM1","NM2","NM3","percM1","percM2","percM3","pxcM1","s_pxcM1","pxcM2","s_pxcM2","pxcM3","s_pxcM3","pycM1","s_pycM1","pycM2","s_pycM2","pycM3","s_pycM3","cccM1","cccM2","cccM3","Dist","E(B-V)","logAge","Radius","pxfM1","s_pxfM1","pxfM2","s_pxfM2","pxfM3","s_pxfM3","pyfM1","s_pyfM1","pyfM2","s_pyfM2","pyfM3","s_pyfM3","ccfM1","ccfM2","ccfM3","File"
"Basel_11b",89.55,21.96667,84,76,5,48,39,20,63.16,51.32,26.32,0.67,3.92,2.06,5.75,0.16,2.69,-0.17,3.53,-1.86,4.63,-2.94,2.0,-0.22,0.01,-0.69,1800.0,0.48,8.4,3.96,-1.79,13.33,-3.27,11.1,-0.42,10.1,-1.91,7.51,0.45,6.2,-0.2,6.05,-0.28,-0.29,-0.23,"Basel_11b.dat"
"Basel_12",317.625,46.23333,186,129,6,85,84,86,65.89,65.12,66.67,-2.05,4.45,-1.42,5.91,-1.94,4.44,-1.97,4.16,-1.62,5.51,-2.23,4.38,0.06,0.17,0.05,1466.0,0.57,8.5,3.34,-2.59,16.69,-3.88,15.99,-2.78,16.47,4.22,13.79,3.79,13.34,4.53,13.31,0.4,0.44,0.42,"Basel_12.dat"
"Basel_13",318.075,46.56667,203,155,6,98,137,103,63.23,88.39,66.45,-2.34,4.48,-2.93,7.51,-2.58,4.66,-2.05,4.82,-2.62,7.59,-2.16,5.43,0.07,-0.01,0.17,1236.0,0.34,8.8,3.55,-1.53,13.06,10.16,15.77,-1.23,12.69,-2.61,12.83,2.3,19.02,-2.43,12.25,0.05,0.03,0.03,"Basel_13.dat"
"Basel_14",320.325,44.81667,160,120,7,73,98,74,60.83,81.67,61.67,-2.4,4.53,-1.6,6.5,-2.54,4.28,-0.19,3.27,-0.14,5.55,-0.55,4.11,0.15,0.08,0.19,964.0,0.65,8.3,4.0,-0.19,14.41,-0.2,23.95,0.09,14.71,0.87,9.46,3.49,12.01,1.41,9.06,-0.21,-0.42,-0.25,"Basel_14.dat"
"Basel_15",318.975,48.85,75,61,2,41,42,17,67.21,68.85,27.87,-3.81,4.31,-2.52,5.01,-4.76,4.16,-4.86,3.48,-5.51,5.28,-6.39,1.05,-0.01,-0.31,-0.79,1355.0,0.67,8.5,3.5,5.29,20.54,3.76,22.4,0.82,15.09,-11.02,14.27,-10.47,14.44,-7.26,10.87,-0.31,-0.33,-0.35,"Basel_15.dat"
"Basel_17",167.64167,-59.03333,455,395,10,229,300,207,57.98,75.95,52.41,-4.19,5.31,-3.86,7.21,-4.43,4.82,-3.29,5.69,-3.29,8.4,-3.23,5.94,-0.02,-0.03,-0.07,1636.0,0.16,"nan",4.23,-2.14,17.62,-0.97,23.43,-2.15,16.81,-1.63,17.01,0.29,20.98,-1.88,16.06,0.08,0.11,0.09,"Basel_17.dat"
"Basel_18",201.93333,-62.31278,71,65,4,42,44,30,64.61,67.69,46.15,-6.97,5.06,-7.48,8.77,-7.14,4.79,-1.43,4.88,-2.21,9.3,-1.16,3.08,-0.01,0.42,-0.67,2226.0,0.52,7.59,2.0,-8.38,16.82,-7.53,15.61,-7.73,13.68,-7.38,14.42,-7.56,10.84,-5.3,12.41,-0.04,-0.59,0.02,"Basel_18.dat"
"Basel_20",142.78333,-56.41667,169,152,12,85,95,81,55.92,62.5,53.29,-3.08,2.78,-3.77,4.59,-3.36,2.85,2.9,2.83,2.93,4.23,3.06,2.84,-0.17,-0.18,-0.39,2024.0,0.41,7.42,5.5,-0.51,10.07,2.16,9.93,-0.13,10.04,4.97,11.75,5.88,13.27,4.82,11.88,0.21,0.26,0.23,"Basel_20.dat"
"Basel_5",268.1125,-30.1,387,247,11,163,213,172,65.99,86.23,69.64,0.35,7.31,-0.03,9.59,0.13,7.52,-1.94,6.14,-1.76,10.66,-2.26,7.5,0.15,-0.04,0.18,766.0,0.32,8.87,2.94,0.57,25.44,4.75,44.62,1.05,27.04,-2.17,18.6,-4.53,22.95,-1.57,18.83,-0.16,-0.2,-0.19,"Basel_5.dat"
"Basel_6",301.7,38.35,211,180,8,129,154,134,71.67,85.56,74.44,-1.97,4.12,-2.28,5.84,-1.84,4.26,-2.06,4.78,-2.18,6.68,-2.04,5.14,-0.03,0.06,-0.04,1548.0,0.58,7.98,4.0,-6.36,13.37,-13.52,17.68,-6.93,13.4,-2.44,14.52,-2.07,20.69,-2.53,14.54,-0.05,-0.15,-0.05,"Basel_6.dat"
"Basel_7",99.15,8.35,42,36,3,10,0,11,27.78,0.0,30.56,0.23,1.33,"nan","nan",0.1,1.58,0.59,1.44,"nan","nan",0.41,1.8,0.36,-99.99,0.61,1684.0,0.4,8.03,3.0,1.21,7.62,"nan","nan",1.26,7.59,4.14,8.52,"nan","nan",4.21,8.47,0.21,-99.99,0.2,"Basel_7.dat"
"Basel_8",98.55,8.08333,1106,978,44,639,773,624,65.34,79.04,63.8,-2.3,4.16,-2.7,5.35,-2.19,3.96,1.85,4.3,1.94,5.51,1.9,4.39,-0.05,-0.02,-0.09,1328.0,0.37,8.1,15.0,-4.88,14.41,-5.71,18.87,-4.9,14.11,1.06,14.21,-0.16,18.36,1.04,13.8,-0.07,-0.09,-0.06,"Basel_8.dat"
"Berkeley_1",2.4,60.475,117,98,6,82,82,18,83.67,83.67,18.37,-1.08,5.64,-0.58,6.49,-5.2,3.19,0.33,4.73,0.18,5.62,-1.22,1.02,0.06,0.06,0.57,2420.0,0.78,8.6,3.0,2.51,17.75,-1.3,14.84,0.24,8.42,0.53,13.21,1.51,9.6,0.67,6.83,-0.16,-0.26,-0.1,"Berkeley_1.dat"
"Berkeley_10",54.88333,66.48583,133,120,7,90,104,84,75.0,86.67,70.0,-2.02,3.94,-1.42,5.18,-2.13,3.12,-0.37,3.54,-0.71,4.94,-0.19,3.49,-0.04,-0.21,-0.01,1700.0,0.75,9.06,5.58,1.9,16.66,2.92,26.52,1.23,15.19,-2.75,10.88,-3.63,14.22,-2.58,9.69,-0.08,0.01,-0.08,"Berkeley_10.dat"
"Berkeley_100",351.49167,63.78,31,24,2,0,0,3,0.0,0.0,12.5,"nan","nan","nan","nan",-4.77,1.53,"nan","nan","nan","nan",-10.13,5.26,-99.99,-99.99,-0.99,3775.0,1.0,8.05,1.5,"nan","nan","nan","nan",-0.14,9.11,"nan","nan","nan","nan",3.21,11.03,-99.99,-99.99,-0.01,"Berkeley_100.dat"
"Berkeley_101",353.19583,64.20833,47,40,2,23,25,3,57.5,62.5,7.5,-2.33,5.72,0.57,8.58,-11.73,4.05,3.66,4.58,2.03,7.4,-0.81,2.62,0.15,-0.09,-1.0,2693.0,0.98,8.75,2.82,2.73,16.06,-2.12,16.0,0.7,11.35,3.78,15.19,7.5,14.27,4.09,10.64,0.15,0.36,0.13,"Berkeley_101.dat"
"Berkeley_102",354.675,56.63333,49,44,2,28,0,28,63.64,0.0,63.64,-4.22,3.64,"nan","nan",-3.65,4.5,0.35,2.14,"nan","nan",0.31,2.02,-0.24,-99.99,-0.29,9638.0,0.41,9.5,3.0,2.15,8.87,"nan","nan",1.73,8.97,0.54,8.7,"nan","nan",0.62,9.06,-0.3,-99.99,-0.29,"Berkeley_102.dat"
"Berkeley_104",0.875,63.58333,145,107,3,85,96,87,79.44,89.72,81.31,-2.69,3.69,-2.35,4.98,-2.59,3.63,2.25,4.38,2.09,5.5,2.15,4.4,0.06,-0.04,0.1,4365.0,0.45,8.89,3.39,-5.2,14.03,-13.71,16.83,-5.24,13.34,7.17,14.37,17.89,15.15,6.99,13.61,-0.35,-0.15,-0.36,"Berkeley_104.dat"
"Berkeley_11",65.15,44.91667,97,82,6,59,52,29,71.95,63.41,35.37,0.63,4.23,3.12,4.91,-1.42,5.09,-2.18,4.4,-0.25,6.48,-1.13,4.0,0.2,0.2,0.95,2200.0,0.95,8.04,3.75,1.97,9.5,-4.0,5.41,2.04,6.12,-2.97,12.01,-7.29,6.05,-2.94,8.1,0.37,-0.18,0.25,"Berkeley_11.dat"
"Berkeley_12",71.15,42.68333,47,43,2,20,24,19,46.51,55.81,44.19,-0.94,2.46,-0.97,5.02,-0.92,2.72,0.62,2.63,-1.28,7.06,0.44,2.6,0.29,0.25,0.47,3162.0,0.7,9.6,2.5,-1.99,10.5,-2.48,11.51,-1.97,10.28,1.84,10.22,5.49,7.68,1.91,10.04,-0.38,-0.78,-0.39,"Berkeley_12.dat"
"Berkeley_13",73.96667,52.8,68,61,4,45,41,32,73.77,67.21,52.46,-5.52,3.54,-4.65,7.04,-6.26,2.07,3.71,3.39,4.01,4.35,4.26,2.01,-0.15,-0.2,0.04,2470.0,0.66,9.0,4.0,-0.07,13.85,-2.81,9.94,-1.67,11.05,-2.25,15.27,-2.15,13.51,-0.21,12.11,0.07,0.07,0.02,"Berkeley_13.dat"
"Berkeley_14",75.05,43.46667,65,61,3,0,46,49,0.0,75.41,80.33,"nan","nan",-1.52,5.07,-0.61,3.04,"nan","nan",0.8,5.46,0.48,4.88,-99.99,-0.02,-0.17,5500.0,0.52,9.2,3.0,"nan","nan",0.57,4.69,-2.62,8.97,"nan","nan",-3.12,12.45,-1.97,13.53,-99.99,-0.38,-0.21,"Berkeley_14.dat"
"Berkeley_15",75.52083,44.5,98,92,3,75,81,70,81.52,88.04,76.09,-1.15,3.65,-1.06,4.71,-0.72,3.04,-0.14,3.08,-0.5,4.64,-0.2,2.99,0.01,-0.26,0.15,1202.0,0.23,9.4,4.29,-4.61,18.65,-10.35,25.32,-4.95,16.25,-4.34,10.94,-5.87,11.72,-3.03,9.82,-0.27,-0.28,-0.28,"Berkeley_15.dat"
"Berkeley_17",80.15,30.6,153,127,7,82,116,80,64.57,91.34,62.99,4.73,3.54,4.22,5.49,4.77,3.52,-3.41,3.39,-4.04,6.23,-3.3,3.55,0.04,0.21,0.04,2700.0,0.58,10.0,5.0,3.72,10.01,7.73,22.35,3.8,9.44,-4.48,9.46,2.53,9.02,-4.47,8.81,0.05,-0.79,0.04,"Berkeley_17.dat"
"Berkeley_18",80.55,45.4,612,559,20,418,470,423,74.78,84.08,75.67,0.56,3.31,0.65,4.04,0.59,3.36,-4.13,3.54,-4.46,4.5,-4.11,3.74,-0.04,-0.03,-0.06,5800.0,0.46,9.63,10.88,0.24,13.76,-0.67,18.44,0.12,14.17,-7.4,13.15,-8.65,17.07,-7.68,13.37,-0.14,-0.18,-0.14,"Berkeley_18.dat"
"Berkeley_19",81.025,29.6,31,27,2,12,11,6,44.44,40.74,22.22,2.22,1.29,3.26,2.94,1.28,0.51,-3.02,1.97,-2.91,3.38,-4.48,2.52,-0.13,0.01,0.96,7870.0,0.32,9.4,2.5,5.16,4.04,4.37,3.78,4.51,3.57,-5.95,8.0,-6.25,7.72,-4.66,6.9,0.21,0.16,0.07,"Berkeley_19.dat"
"Berkeley_21",87.925,21.78333,62,56,3,46,31,15,82.14,55.36,26.79,1.16,4.49,1.8,4.49,-0.59,2.76,-5.6,5.22,-4.46,5.08,-0.47,2.14,-0.1,-0.14,0.66,5000.0,0.76,9.34,3.0,-9.12,16.67,-3.37,11.16,-0.15,9.31,-6.59,15.07,-7.69,9.61,-7.37,7.68,-0.24,-0.26,-0.17,"Berkeley_21.dat"
"Berkeley_23",98.375,20.55,31,27,1,8,0,3,29.63,0.0,11.11,0.34,2.32,"nan","nan",-1.05,0.88,-5.18,2.84,"nan","nan",-2.79,1.02,0.02,-99.99,-0.84,6918.0,0.4,8.9,2.5,2.92,8.51,"nan","nan",2.62,7.82,-8.16,10.04,"nan","nan",-7.91,9.19,0.1,-99.99,0.11,"Berkeley_23.dat"
"Berkeley_24",99.44583,-0.87194,102,96,5,67,71,69,69.79,73.96,71.88,0.9,5.12,0.4,7.0,0.38,5.75,1.86,4.49,1.56,7.07,2.38,4.37,-0.15,0.09,-0.29,4700.0,0.4,9.34,4.0,2.51,13.16,4.66,11.54,3.23,11.71,-2.3,13.08,-2.64,11.07,-2.69,12.08,-0.03,-0.19,0.05,"Berkeley_24.dat"
"Berkeley_25",100.25,-16.51667,39,35,3,8,11,10,22.86,31.43,28.57,-6.35,1.53,-7.42,4.02,-7.92,3.38,-1.87,1.48,-4.26,5.43,-5.66,5.36,0.26,0.65,0.98,11400.0,0.11,9.7,3.0,-2.34,5.87,-0.99,4.79,-1.62,5.12,-3.57,7.89,-2.59,7.67,-2.32,7.3,0.12,-0.17,-0.19,"Berkeley_25.dat"
"Berkeley_26",102.575,5.75,31,27,5,0,13,4,0.0,48.15,14.81,"nan","nan",2.65,3.79,1.3,0.1,"nan","nan",-1.01,3.21,-2.21,2.68,-99.99,-0.25,-0.62,12589.0,0.75,9.6,2.5,"nan","nan",3.19,3.1,3.13,3.82,"nan","nan",-1.9,4.26,-1.16,3.78,-99.99,-0.12,-0.24,"Berkeley_26.dat"
"Berkeley_27",102.8375,5.76861,45,40,4,30,25,5,75.0,62.5,12.5,1.19,5.8,1.81,5.98,-3.33,2.09,-3.21,6.38,-1.39,5.97,0.62,1.78,-0.06,-0.05,0.98,5035.0,0.05,9.3,2.0,-13.8,17.96,-10.1,15.51,-1.72,12.15,-10.35,15.11,-11.93,11.23,-5.43,9.76,0.44,0.27,0.4,"Berkeley_27.dat"
"Berkeley_28",103.02917,2.91306,49,39,4,0,23,0,0.0,58.97,0.0,"nan","nan",-0.4,6.83,"nan","nan","nan","nan",-1.07,8.2,"nan","nan",-99.99,0.07,-99.99,2557.0,0.76,7.85,2.0,"nan","nan",-3.76,15.33,"nan","nan","nan","nan",-0.63,21.39,"nan","nan",-99.99,0.13,-99.99,"Berkeley_28.dat"
"Berkeley_29",103.325,16.91667,65,49,5,38,34,9,77.55,69.39,18.37,-1.38,5.58,0.08,7.53,-1.57,1.22,-6.17,5.29,-6.49,6.94,-4.95,1.38,-0.07,-0.45,0.34,14871.0,0.16,9.03,3.5,-3.77,15.89,-7.46,8.91,-1.89,9.53,-17.09,15.05,-13.25,12.33,-9.0,9.99,0.18,0.66,0.13,"Berkeley_29.dat"
"Berkeley_30",104.425,3.21667,83,58,5,34,38,44,58.62,65.52,75.86,-2.33,4.49,-2.74,7.34,-0.61,8.22,-3.93,6.56,-6.1,10.8,-4.0,6.65,0.22,0.19,0.32,4790.0,0.5,8.48,2.9,-4.73,14.58,-5.04,15.4,-11.41,10.68,0.53,21.83,9.76,19.13,3.61,27.0,-0.24,-0.47,-0.39,"Berkeley_30.dat"
"Berkeley_31",104.4,8.26667,75,51,6,0,24,28,0.0,47.06,54.9,"nan","nan",-1.7,4.81,-2.36,3.41,"nan","nan",-0.8,3.92,-2.27,3.83,-99.99,-0.23,0.37,8272.0,0.08,9.31,3.0,"nan","nan",-4.7,9.15,-3.81,9.81,"nan","nan",2.58,10.28,3.98,9.31,-99.99,-0.6,-0.7,"Berkeley_31.dat"
"Berkeley_32",104.525,6.43333,165,122,7,83,93,70,68.03,76.23,57.38,-1.27,5.71,-1.43,6.98,-0.98,4.95,-1.46,5.43,-1.06,6.75,-1.63,4.71,0.12,0.01,0.32,3078.0,0.15,9.7,4.13,-4.77,16.67,-6.9,19.87,-4.06,14.63,2.04,16.84,3.04,20.45,1.18,14.73,-0.08,-0.07,-0.1,"Berkeley_32.dat"
"Berkeley_33",104.425,-13.21667,64,57,3,40,0,20,70.17,0.0,35.09,-1.29,6.71,"nan","nan",-0.15,3.34,3.87,5.75,"nan","nan",2.96,2.84,0.1,-99.99,-0.04,6000.0,0.36,8.9,3.0,3.98,19.04,"nan","nan",0.23,13.77,5.73,16.34,"nan","nan",4.99,11.56,0.26,-99.99,0.24,"Berkeley_33.dat"
"Berkeley_34",105.09583,-0.23222,46,43,3,27,29,5,62.79,67.44,11.63,-0.47,4.02,-0.16,6.07,0.25,0.82,1.63,4.09,1.69,5.29,0.4,0.51,-0.25,0.04,-0.24,7280.0,0.45,9.45,2.58,0.82,11.37,0.42,10.76,-0.06,7.87,-7.0,9.53,-11.23,5.67,-1.54,8.1,-0.12,-0.66,-0.17,"Berkeley_34.dat"
"Berkeley_35",107.48333,2.73361,112,80,6,45,49,8,56.25,61.25,10.0,-1.58,3.43,-1.32,5.3,-4.29,1.29,3.76,3.49,2.99,5.54,1.61,2.21,0.02,-0.37,-0.86,4400.0,0.0,9.04,3.18,-6.82,10.25,-9.21,9.12,-3.85,8.13,5.01,12.34,7.04,12.4,4.61,9.01,-0.4,-0.26,-0.36,"Berkeley_35.dat"
"Berkeley_36",109.1,-13.19306,67,60,3,25,19,16,41.67,31.67,26.67,1.44,3.35,1.61,5.32,0.44,1.37,0.38,3.07,0.79,6.45,0.06,3.32,-0.14,-0.03,-0.31,6140.0,0.4,9.5,3.0,3.25,12.85,3.15,12.49,3.24,11.85,0.32,9.5,0.07,8.45,0.43,8.7,-0.38,-0.44,-0.38,"Berkeley_36.dat"
"Berkeley_37",110.1,-1.1,28,25,2,2,11,3,8.0,44.0,12.0,-7.9,0.7,1.61,3.82,-7.8,0.59,4.7,0.6,5.64,5.19,4.87,0.54,-1.0,-0.17,-0.77,5623.0,0.0,9.2,2.5,-1.15,5.61,-5.54,5.03,-0.88,5.56,6.17,5.42,6.49,5.17,6.2,5.53,-0.12,0.06,-0.13,"Berkeley_37.dat"
"Berkeley_39",116.7,-4.66833,180,139,5,77,105,72,55.4,75.54,51.8,-0.85,4.25,0.52,7.93,-0.81,4.18,-4.77,4.56,-5.09,7.51,-4.98,4.48,0.0,-0.05,0.0,4780.0,0.12,9.9,4.22,-2.52,14.92,-10.61,15.48,-2.39,14.24,-0.67,16.06,6.62,19.19,-0.89,15.32,-0.09,0.19,-0.09,"Berkeley_39.dat"
"Berkeley_4",11.25417,64.38472,136,105,6,68,83,63,64.76,79.05,60.0,-2.4,3.36,-2.1,4.64,-2.59,3.26,-2.02,2.86,-1.61,4.67,-1.99,2.58,0.1,0.01,0.26,2460.0,0.83,7.1,3.79,-1.22,11.64,-1.27,15.83,-1.15,10.83,-0.03,10.54,0.48,13.39,-0.37,9.91,-0.33,-0.42,-0.33,"Berkeley_4.dat"
"Berkeley_43",288.8833,11.27222,75,55,5,38,43,40,69.09,78.18,72.73,0.33,3.31,0.27,6.06,-0.01,3.54,-0.25,3.15,-0.59,4.73,0.16,3.41,-0.19,-0.12,-0.34,1030.0,2.3,8.5,3.0,-0.93,10.55,-1.97,7.61,-0.09,10.75,-5.04,9.01,-8.29,8.11,-6.51,8.17,0.18,0.69,0.33,"Berkeley_43.dat"
"Berkeley_44",289.3,19.55,75,66,6,45,55,39,68.18,83.33,59.09,0.92,4.36,0.14,6.85,0.44,3.69,-4.23,4.35,-3.69,6.76,-4.49,4.32,0.1,-0.19,0.33,1800.0,1.4,9.11,3.0,2.48,13.57,16.67,5.47,2.53,11.34,-2.03,12.33,-2.88,13.58,-2.51,10.14,-0.27,-0.57,-0.29,"Berkeley_44.dat"
"Berkeley_45",289.77083,15.71306,123,81,4,50,58,13,61.73,71.61,16.05,-0.25,4.2,0.23,5.68,1.76,0.89,-3.88,4.35,-3.54,5.85,-5.43,3.87,0.06,-0.02,-0.96,2350.0,1.4,8.6,2.0,-3.5,9.82,-9.06,8.46,-2.2,7.78,-1.35,10.62,0.18,12.46,-2.36,8.18,-0.27,-0.34,-0.21,"Berkeley_45.dat"
"Berkeley_47",292.15,17.36833,147,110,9,77,60,60,70.0,54.55,54.55,0.47,3.78,1.06,4.78,-0.02,2.26,0.08,4.99,-0.19,6.2,0.47,4.75,-0.05,0.02,0.0,1070.0,1.5,8.7,5.0,4.06,12.35,2.11,10.19,3.09,10.27,0.38,12.96,0.68,10.21,-0.15,10.54,0.11,0.09,0.09,"Berkeley_47.dat"
"Berkeley_49",299.875,34.64167,42,38,3,31,0,31,81.58,0.0,81.58,-3.38,5.57,"nan","nan",-3.7,5.45,-8.0,5.01,"nan","nan",-8.29,4.95,0.3,-99.99,0.3,2090.0,1.18,8.9,2.0,-0.04,23.08,"nan","nan",0.66,19.98,-1.39,17.3,"nan","nan",-1.7,14.91,-0.87,-99.99,-0.88,"Berkeley_49.dat"
"Berkeley_50",302.50417,34.96611,87,56,7,37,43,37,66.07,76.79,66.07,-1.41,5.05,0.05,9.42,-1.75,4.49,-4.52,3.34,-5.67,6.8,-4.73,3.59,0.04,0.1,0.06,2653.0,0.75,8.35,2.0,3.73,32.96,-0.05,48.6,4.64,33.13,-2.42,16.13,10.71,12.1,-1.87,15.97,-0.24,-0.64,-0.26,"Berkeley_50.dat"
"Berkeley_51",302.975,34.40167,49,42,3,0,34,7,0.0,80.95,16.67,"nan","nan",-3.39,6.18,-2.65,1.88,"nan","nan",-2.07,6.14,-0.9,0.49,-99.99,0.32,0.55,1300.0,1.6,9.05,2.29,"nan","nan",-28.45,5.24,-7.17,10.96,"nan","nan",-12.85,14.66,-3.85,9.16,-99.99,-0.84,0.35,"Berkeley_51.dat"
"Berkeley_53",314.15,51.08333,472,418,12,309,351,318,73.92,83.97,76.08,-3.45,4.01,-3.62,4.98,-3.5,4.3,0.78,4.68,0.37,5.78,0.62,5.18,0.21,0.23,0.35,3100.0,1.52,9.09,11.5,-6.53,14.39,-8.72,18.62,-6.8,14.99,-1.78,15.71,-1.99,20.46,-1.65,16.23,0.13,0.11,0.09,"Berkeley_53.dat"
"Berkeley_54",315.8,40.46667,34,32,3,0,0,4,0.0,0.0,12.5,"nan","nan","nan","nan",-5.64,3.53,"nan","nan","nan","nan",-10.87,0.24,-99.99,-99.99,-0.06,2300.0,0.77,9.6,2.5,"nan","nan","nan","nan",-1.14,7.5,"nan","nan","nan","nan",-4.27,3.5,-99.99,-99.99,0.02,"Berkeley_54.dat"
"Berkeley_55",319.24167,51.75889,38,36,1,10,0,7,27.78,0.0,19.44,-6.14,2.61,"nan","nan",-7.23,2.32,-7.82,2.2,"nan","nan",-10.14,1.62,0.36,-99.99,-0.86,3981.0,1.85,7.7,2.2,-3.37,8.11,"nan","nan",-3.56,7.58,-6.11,6.1,"nan","nan",-5.93,5.57,0.05,-99.99,0.05,"Berkeley_55.dat"
"Berkeley_56",319.425,41.82667,337,276,17,202,219,206,73.19,79.35,74.64,-2.36,4.86,-2.3,6.18,-2.3,5.25,-7.63,5.44,-7.55,6.31,-7.62,5.58,0.16,0.08,0.23,12100.0,0.4,9.6,6.11,-3.46,26.09,-4.58,32.33,-3.83,27.43,1.72,29.73,7.67,36.38,2.88,31.27,-0.42,-0.46,-0.44,"Berkeley_56.dat"
"Berkeley_58",0.05,60.96667,119,91,10,60,34,64,65.93,37.36,70.33,-0.59,5.11,0.96,4.97,-0.69,6.0,-1.03,4.05,-1.19,4.32,-1.37,4.18,-0.01,-0.08,-0.1,2700.0,0.72,8.47,3.25,3.31,14.52,0.24,11.32,4.31,14.38,8.0,11.35,3.77,9.59,10.57,10.27,-0.01,0.13,-0.08,"Berkeley_58.dat"
"Berkeley_59",0.55833,67.41667,57,49,3,28,39,29,57.14,79.59,59.18,-1.85,2.39,-2.39,3.68,-1.99,2.28,0.8,2.15,0.43,4.22,0.68,2.4,0.11,-0.08,0.11,1000.0,1.24,6.1,4.0,-2.21,10.67,0.43,16.34,-2.02,10.44,2.6,7.14,8.36,3.17,2.66,6.83,0.15,0.43,0.14,"Berkeley_59.dat"
"Berkeley_6",27.79583,61.06111,146,113,6,94,79,90,83.19,69.91,79.65,-2.36,3.6,-2.37,3.79,-2.26,3.3,0.33,3.95,0.35,4.35,0.55,3.88,0.17,0.03,0.36,2520.0,0.9,7.5,4.2,0.47,15.71,-0.87,11.55,-0.54,14.56,-6.32,12.2,-3.21,9.35,-5.95,10.96,-0.22,-0.19,-0.29,"Berkeley_6.dat"
"Berkeley_60",4.425,60.93333,108,88,9,52,68,52,59.09,77.27,59.09,-3.59,3.89,-3.02,7.74,-3.75,3.76,-0.26,3.11,0.95,5.9,-0.39,3.28,0.04,-0.01,0.11,4365.0,0.86,8.2,3.35,-2.12,15.18,-3.14,18.73,-1.97,14.78,1.12,11.61,-4.38,13.68,1.24,11.19,-0.4,-0.77,-0.41,"Berkeley_60.dat"
"Berkeley_61",12.125,67.2,31,28,2,6,0,3,21.43,0.0,10.71,-7.15,1.99,"nan","nan",-6.39,0.54,-1.39,2.52,"nan","nan",-1.23,3.31,-0.02,-99.99,-1.0,3798.0,0.69,8.25,2.0,-7.88,7.0,"nan","nan",-7.92,6.79,1.57,6.64,"nan","nan",1.34,6.45,0.48,-99.99,0.48,"Berkeley_61.dat"
"Berkeley_62",15.25,63.95,269,245,9,156,189,154,63.67,77.14,62.86,-1.58,3.54,-1.35,5.03,-1.67,3.45,-1.73,2.92,-1.79,4.63,-1.69,3.03,-0.03,-0.03,-0.05,2320.0,0.85,7.2,6.25,0.09,15.49,0.85,20.67,0.21,15.43,-2.18,12.14,-2.38,15.47,-2.23,12.03,-0.01,0.0,-0.01,"Berkeley_62.dat"
"Berkeley_63",34.9,63.71667,216,202,9,149,133,143,73.76,65.84,70.79,0.62,4.21,0.48,4.34,0.45,3.69,3.59,4.16,3.82,4.33,3.72,4.15,-0.04,-0.04,-0.09,5700.0,0.96,7.48,6.4,3.87,16.47,3.57,14.93,3.64,15.31,-0.54,12.46,-0.26,11.24,-0.08,11.47,0.17,0.17,0.17,"Berkeley_63.dat"
"Berkeley_65",39.75,60.41667,92,84,5,46,63,45,54.76,75.0,53.57,-1.1,3.48,-0.04,6.47,-1.33,3.14,-2.68,3.5,-3.39,5.6,-2.37,3.64,-0.1,-0.14,-0.17,2274.0,1.12,7.0,4.09,2.85,13.81,4.68,18.9,2.93,13.6,-6.08,12.82,-8.55,18.05,-6.26,12.48,0.11,0.22,0.13,"Berkeley_65.dat"
"Berkeley_66",46.075,58.76667,47,36,2,10,16,6,27.78,44.44,16.67,-0.75,1.83,2.4,4.55,-1.84,1.36,1.45,2.04,-1.07,6.15,0.72,0.84,0.12,-0.44,0.0,5000.0,1.28,9.6,3.36,-0.17,6.47,-2.88,5.67,-0.07,6.14,1.72,9.15,4.28,8.93,1.79,8.7,-0.37,-0.15,-0.37,"Berkeley_66.dat"
"Berkeley_67",69.525,50.75,103,92,2,71,50,68,77.17,54.35,73.91,0.39,3.35,0.16,3.6,0.45,3.41,-0.46,3.08,-0.47,2.87,-0.46,2.78,-0.03,-0.07,-0.07,2450.0,0.79,9.0,5.0,-3.01,10.91,-1.15,8.38,-2.82,10.32,-2.39,13.24,-1.48,10.0,-2.2,12.75,0.25,0.25,0.25,"Berkeley_67.dat"
"Berkeley_68",71.125,42.06667,217,206,9,146,160,151,70.87,77.67,73.3,-0.69,3.83,-0.54,5.09,-0.71,3.79,0.32,3.94,-0.12,5.54,0.25,4.14,-0.01,0.02,0.0,1678.0,0.67,8.39,5.99,-0.19,14.84,-0.55,16.37,-0.14,14.87,0.47,13.59,2.21,14.05,0.64,13.46,0.0,-0.01,0.0,"Berkeley_68.dat"
"Berkeley_7",28.55,62.36667,63,41,3,21,33,4,51.22,80.49,9.76,-1.83,2.99,-0.6,7.19,-4.71,1.68,0.23,2.39,0.34,5.57,-2.87,0.69,0.05,0.21,-0.8,2570.0,0.8,6.6,2.0,-0.38,11.28,-5.43,12.53,-0.81,8.39,3.89,10.13,14.86,7.71,2.41,7.61,0.13,0.74,0.12,"Berkeley_7.dat"
"Berkeley_70",81.425,41.9,69,63,4,44,27,43,69.84,42.86,68.25,0.1,4.26,1.64,5.81,0.36,3.65,4.0,6.12,6.87,7.68,3.8,6.51,0.05,0.1,-0.04,4168.0,0.48,9.67,3.5,4.91,16.8,1.39,12.71,3.52,15.69,-1.7,15.37,-1.84,10.3,-0.23,14.04,-0.4,-0.56,-0.4,"Berkeley_70.dat"
