"Name","RAJ2000","DEJ2000","Nsini","Ns","NOut","NM1","NM2","NM3","percM1","percM2","percM3","pxcM1","s_pxcM1","pxcM2","s_pxcM2","pxcM3","s_pxcM3","pycM1","s_pycM1","pycM2","s_pycM2","pycM3","s_pycM3","cccM1","cccM2","cccM3","Dist","E(B-V)","logAge","Radius","pxfM1","s_pxfM1","pxfM2","s_pxfM2","pxfM3","s_pxfM3","pyfM1","s_pyfM1","pyfM2","s_pyfM2","pyfM3","s_pyfM3","ccfM1","ccfM2","ccfM3","File"
"Alessi_43",132.57083,-41.72,1931,1723,42,1398,1347,1407,81.14,78.18,81.66,-4.47,5.33,-4.39,5.05,-4.47,5.39,2.99,5.61,2.77,5.21,3.04,5.65,-0.22,-0.3,-0.34,850.0,0.2,7.48,25.33,-6.37,18.3,-6.62,18.4,-6.37,18.21,4.81,19.29,5.59,19.42,4.62,19.22,-0.29,-0.27,-0.26,"Alessi_43.dat"
"Alessi_44",295.6375,1.52306,7835,7021,151,6084,4251,6167,86.65,60.55,87.84,-0.52,5.45,-0.66,3.54,-0.52,5.64,-3.49,5.76,-3.3,3.92,-3.48,5.87,0.15,0.21,0.21,500.0,0.35,8.42,40.1,0.09,21.83,-0.12,14.17,0.15,22.83,-5.04,24.24,-4.26,15.54,-5.34,25.53,-0.01,0.02,-0.03,"Alessi_44.dat"
"Alessi_5",160.78333,-61.16667,5881,5121,51,3805,3527,3816,74.3,68.87,74.52,-2.45,6.25,-2.51,5.49,-2.42,6.33,-2.04,6.2,-2.0,5.54,-2.06,6.28,-0.08,-0.14,-0.15,398.0,0.15,7.6,17.0,-3.81,22.85,-3.55,22.17,-3.89,22.82,-1.56,22.82,-1.69,22.08,-1.51,22.8,0.0,0.01,0.01,"Alessi_5.dat"
"Alessi_52",183.25833,-62.70639,157,146,8,121,66,118,82.88,45.2,80.82,-5.78,5.83,-5.58,5.07,-5.86,5.76,0.08,4.54,0.06,4.27,0.15,4.43,-0.1,-0.19,-0.14,3325.0,1.08,9.15,3.0,-4.22,17.0,-5.48,11.5,-4.27,15.35,-5.41,15.3,-1.8,10.2,-4.47,13.92,0.24,0.16,0.23,"Alessi_52.dat"
"Alessi_53",97.35,9.18028,35,29,5,0,0,0,0.0,0.0,0.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",-99.99,-99.99,-99.99,4570.0,0.8,8.4,2.3,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",-99.99,-99.99,-99.99,"Alessi_53.dat"
"Alessi_60",105.625,-1.13083,70,46,2,34,36,8,73.91,78.26,17.39,-1.13,3.25,-1.1,4.71,-0.86,3.24,-0.59,4.06,-0.41,4.89,-5.71,2.67,-0.3,0.02,0.94,2906.0,0.31,8.4,2.5,0.51,16.1,1.48,18.98,-0.67,9.32,2.91,10.63,4.26,11.59,1.34,6.56,-0.44,-0.69,-0.44,"Alessi_60.dat"
"Alessi_62",283.95417,21.58028,2149,1877,50,1438,1485,1445,76.61,79.12,76.98,-2.07,5.02,-2.03,5.18,-2.07,4.98,-3.04,5.39,-3.18,5.64,-3.08,5.57,0.08,0.07,0.12,546.0,0.17,8.95,15.6,-2.91,18.9,-3.3,21.23,-2.91,18.95,-2.22,18.9,-1.43,21.07,-2.12,18.76,0.03,0.03,0.02,"Alessi_62.dat"
"Alessi_8",232.3875,-51.23333,2178,2034,39,1565,1551,1564,76.94,76.25,76.89,-4.94,5.96,-4.97,5.75,-4.96,5.98,-4.64,5.69,-4.71,5.44,-4.64,5.72,0.04,0.07,0.07,575.0,0.09,8.15,12.5,-5.13,21.01,-5.05,22.01,-5.07,20.96,-4.64,20.18,-4.42,21.17,-4.64,20.11,0.08,0.08,0.08,"Alessi_8.dat"
"Alessi_J2327+55",351.92083,55.59167,1174,1032,25,790,852,796,76.55,82.56,77.13,-0.54,4.67,-0.53,5.06,-0.59,4.66,-1.51,3.6,-1.6,4.06,-1.49,3.69,0.05,0.04,0.08,1000.0,0.18,8.69,13.1,1.12,14.87,2.14,17.99,1.16,14.51,-1.88,11.15,-1.66,13.27,-1.91,10.8,0.07,0.08,0.07,"Alessi_J2327+55.dat"
"Alessi_Teutsch_10",56.10833,29.66667,256,225,6,187,141,185,83.11,62.67,82.22,5.79,6.04,4.91,5.59,5.84,5.67,-3.25,4.66,-3.25,4.96,-3.21,4.95,-0.12,-0.06,-0.19,"nan","nan","nan",13.0,10.23,23.82,9.78,18.11,9.98,24.05,-9.42,13.52,-6.6,10.66,-9.48,12.95,-0.41,-0.4,-0.39,"Alessi_Teutsch_10.dat"
