"Cluster","logAge","Nmemb","RAJ2000","s_RAJ2000","DEJ2000","s_DEJ2000","plx","s_plx","pmRA","s_pmRA","pmDE","s_pmDE","dist","s_dist","[Fe/H]","e_[Fe/H]","o_[Fe/H]","[O/Fe]","e_[O/Fe]","o_[O/Fe]","[Na/Fe]","e_[Na/Fe]","o_[Na/Fe]","[Mg/Fe]","e_[Mg/Fe]","o_[Mg/Fe]","[Al/Fe]","e_[Al/Fe]","o_[Al/Fe]","[Si/Fe]","e_[Si/Fe]","o_[Si/Fe]","[Ca/Fe]","e_[Ca/Fe]","o_[Ca/Fe]","[Ti/Fe]","e_[Ti/Fe]","o_[Ti/Fe]","[V/Fe]","e_[V/Fe]","o_[V/Fe]","[Cr/Fe]","e_[Cr/Fe]","o_[Cr/Fe]","[Mn/Fe]","e_[Mn/Fe]","o_[Mn/Fe]","[Co/Fe]","e_[Co/Fe]","o_[Co/Fe]","[Ni/Fe]","e_[Ni/Fe]","o_[Ni/Fe]","[Cu/Fe]","e_[Cu/Fe]","o_[Cu/Fe]","[Zn/Fe]","e_[Zn/Fe]","o_[Zn/Fe]","[Y/Fe]","e_[Y/Fe]","o_[Y/Fe]","[Zr/Fe]","e_[Zr/Fe]","o_[Zr/Fe]","[Ba/Fe]","e_[Ba/Fe]","o_[Ba/Fe]","[La/Fe]","e_[La/Fe]","o_[La/Fe]","[Nd/Fe]","e_[Nd/Fe]","o_[Nd/Fe]","[Eu/Fe]","e_[Eu/Fe]","o_[Eu/Fe]"
"King_1",9.56,641,5.505835,0.352657,64.382286,0.155307,0.522,0.07,-4.954,0.159,-1.274,0.144,1.932,0.286,-0.06,0.007,1.0,-0.001,0.014,1.0,0.569,0.038,1.0,-0.041,0.01,1.0,0.054,0.017,1.0,-0.01,0.01,1.0,0.072,0.011,1.0,-0.079,0.016,1.0,0.256,0.046,1.0,"nan","nan","nan",0.013,0.013,1.0,-0.119,0.036,1.0,-0.009,0.012,1.0,0.045,0.032,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"King_15",8.47,85,8.267675,0.092538,61.852516,0.035386,0.315,0.06,-2.325,0.129,-0.809,0.133,3.15,0.566,-0.032,0.055,2.0,-0.245,0.016,1.0,-0.236,0.002,2.0,-0.045,0.007,2.0,-0.048,0.001,2.0,-0.063,0.008,2.0,0.075,0.035,2.0,-0.003,0.045,2.0,"nan","nan","nan","nan","nan","nan",0.028,0.01,2.0,-0.094,0.058,2.0,-0.029,0.017,2.0,0.025,0.07,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"King_2",9.61,131,12.740755,0.099155,58.18829,0.048687,0.15,0.106,-1.351,0.123,-0.828,0.144,4.653,1.309,-0.359,0.009,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"King_21",7.99,112,357.47821,0.087719,62.704865,0.038765,0.312,0.046,-3.261,0.106,-1.675,0.14,3.195,0.436,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"King_5",9.01,242,48.682098,0.156671,52.692329,0.092618,0.37,0.053,-0.277,0.154,-1.187,0.146,2.702,0.379,-0.126,0.016,3.0,"nan","nan","nan",0.093,0.005,2.0,-0.016,0.006,2.0,0.042,0.024,2.0,-0.015,0.009,2.0,0.046,0.058,2.0,0.017,0.006,2.0,"nan","nan","nan","nan","nan","nan",0.024,0.002,2.0,0.102,0.049,2.0,0.003,0.015,2.0,0.047,0.015,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"King_7",8.35,357,59.783024,0.097651,51.784637,0.064103,0.277,0.088,1.13,0.219,-1.188,0.179,3.447,0.774,-0.155,0.024,2.0,0.043,0.014,1.0,0.121,0.041,1.0,-0.029,0.011,1.0,-0.047,0.017,1.0,0.003,0.01,1.0,0.094,0.012,1.0,-0.012,0.017,1.0,0.11,0.048,1.0,"nan","nan","nan",0.033,0.015,1.0,-0.151,0.037,1.0,-0.031,0.012,1.0,0.008,0.034,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"King_8",8.92,86,87.323929,0.036459,33.632835,0.030436,0.114,0.091,0.525,0.152,-1.757,0.127,5.108,1.138,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Koposov_36",8.63,71,84.217567,0.069377,31.216112,0.089965,0.552,0.063,0.811,0.117,-3.642,0.116,1.824,0.222,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Koposov_63",9.29,46,92.498962,0.047422,24.568096,0.04526,0.221,0.066,0.561,0.135,-0.487,0.113,4.184,0.914,-0.579,0.01,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"FoF_5, LP_5",9.43,436,156.207901,1.379227,-72.527069,0.437971,0.51,0.039,-6.879,0.105,1.449,0.205,1.964,0.148,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
