"Name","ID","AllNames","Type","CST","N","CSTt","Nt","RA_ICRS","DE_ICRS","GLON","GLAT","r50","rc","rt","rtot","r50pc","rcpc","rtpc","rtotpc","pmRA","s_pmRA","e_pmRA","pmDE","s_pmDE","e_pmDE","Plx","s_Plx","e_Plx","dist16","dist50","dist84","Ndist","globalPlx","X","Y","Z","RV","s_RV","e_RV","n_RV","CMDCl2.5","CMDCl16","CMDCl50","CMDCl84","CMDCl97.5","CMDClHuman","logAge16","logAge50","logAge84","AV16","AV50","AV84","diffAV16","diffAV50","diffAV84","MOD16","MOD50","MOD84","r50J","rJ","r50Jpc","rJpc","probJ","NJ","MassJ","e_MassJ","MassTot","e_MassTot","minClSize","isMerged","isGMMMemb","NXmatches","XmatchType","Note"
"CWNU_2895",1281,"CWNU_2895","o",4.09132617,37,4.09132617,37,104.72036,-10.99877,223.57275,-3.361,0.13146,0.08917,0.66923,0.66923,6.57357,4.45883,33.46662,33.46662,-0.43834,0.05221,0.00858,-0.31956,0.07647,0.01257,0.30905,0.05662,0.00931,2823.24509,2865.11463,2908.24474,37,0,-10194.60284,-1971.45306,-141.87061,71.03526,20.73855,14.66437,2,0.6074,0.856,0.90663,0.99725,0.9991,"nan",8.23996,8.44236,8.66569,1.379,1.62469,1.83372,0.8159,1.3614,1.69222,12.14481,12.32805,12.48195,0.11778,0.20483,5.88975,10.24281,1.0,29.0,238.93704,55.32509,295.27152,60.11295,20,0,0,1,"1:1","nan"
"CWNU_2902",1282,"CWNU_2902,Theia_2782","o",5.45871797,23,5.45871797,23,103.93251,9.53337,204.90886,5.276,0.21107,0.23026,0.72723,0.72723,5.1403,5.60776,17.71143,17.71143,-2.4348,0.06658,0.01388,0.05541,0.07223,0.01506,0.66758,0.03819,0.00796,1384.99307,1395.34559,1405.85405,23,0,-9381.82818,-585.19507,152.33665,16.86337,25.07894,25.07894,1,0.9908,0.9994,0.9998,1.0,1.0,"nan",7.40005,7.61037,7.82674,0.2269,0.40064,0.52149,0.00019,0.30983,0.48162,10.56584,10.75051,10.9237,0.08804,0.22259,2.14397,5.42077,1.0,12.0,44.53136,14.94145,127.78925,12.94126,20,0,0,2,"m:m","nan"
"CWNU_2904",1283,"CWNU_2904","o",3.63968685,16,4.11441096,11,219.7711,-60.05363,315.99014,0.06036,0.08531,0.14629,0.14629,0.53721,2.56351,4.39612,4.39612,16.14412,-5.67812,0.09226,0.02782,-5.29592,0.0635,0.01915,0.54708,0.02247,0.00677,1705.20743,1721.79565,1738.70978,16,0,-6883.6243,-1196.27338,19.44247,-65.81454,30.42884,8.43944,1,0.1038,0.581,0.77963,0.99454,0.99721,"TP",7.85836,8.0602,8.32641,1.702,1.89997,2.13268,0.2909,0.7994,1.12723,11.03545,11.20197,11.3249,0.09206,0.18287,2.7665,5.49552,0.962,12.0,85.16321,27.79192,138.37839,26.46629,10,0,0,1,"1:1","nan"
"CWNU_2907",1284,"CWNU_2907","o",3.09380762,20,3.09380762,20,129.94761,-45.52051,264.29873,-2.372,0.15765,0.36261,0.36261,0.36261,5.58292,12.84172,12.84172,12.84172,-5.80271,0.07623,0.01705,4.60662,0.07182,0.01606,0.46022,0.02151,0.00481,2003.94438,2029.08603,2054.86654,20,0,-8323.58986,-2017.31803,-62.67963,"nan","nan","nan",0,0.9907,0.9991,0.99967,1.0,1.0,"nan",7.93842,8.16934,8.40554,1.264,1.50843,1.67516,0.1886,0.53848,0.84919,11.35208,11.52407,11.64433,0.11803,0.19889,4.17981,7.04349,1.0,17.0,117.16078,15.64107,96.9717,24.21077,20,0,0,1,"1:1","nan"
"CWNU_2909",1285,"CWNU_2909","o",4.48362164,12,5.13694285,10,115.12951,-20.77891,236.90976,0.8635,0.03018,0.03223,0.10544,0.14866,1.64846,1.76041,5.75947,8.11977,-2.15136,0.04371,0.01382,2.41019,0.03434,0.01086,0.28242,0.01146,0.00362,3041.98824,3129.5734,3222.3516,12,0,-9830.27508,-2621.69393,72.33504,"nan","nan","nan",0,0.6462,0.9723,0.99103,1.0,1.0,"nan",8.07421,8.33524,8.59197,0.8867,1.14587,1.45322,0.00015,0.32742,0.47258,12.30943,12.5252,12.67799,0.04057,0.16677,2.21595,9.10899,1.0,12.0,174.30407,37.22068,174.30407,37.22068,10,0,0,1,"1:1","nan"
"CWNU_2914",1286,"CWNU_2914","o",6.21430773,57,6.548035,50,125.08564,-44.86489,261.75518,-4.764,0.09136,0.1679,0.1679,0.28906,6.05732,11.13234,11.13234,19.16599,-2.897,0.06952,0.00983,3.77637,0.08551,0.01209,0.22557,0.04493,0.00635,3726.23965,3798.89211,3874.434,57,0,-8665.67327,-3746.63597,-293.35059,66.42948,14.98161,7.49081,4,0.2323,0.6288,0.76015,0.97588,0.99392,"nan",8.41735,8.6364,8.81548,1.973,2.22853,2.42198,1.781,2.1661,2.48062,12.80602,12.95792,13.09896,0.09136,0.18891,6.05732,12.52565,1.0,50.0,535.93471,59.63797,594.25728,72.18975,40,0,0,1,"1:1","nan"
"CWNU_2918",1287,"CWNU_2918","o",5.17498098,16,5.66895073,15,105.8414,-6.95652,220.47916,-0.5311,0.08861,0.17202,0.17202,0.23708,3.7281,7.23737,7.23737,9.97504,-1.16887,0.04405,0.01137,0.67209,0.06964,0.01798,0.37047,0.01744,0.0045,2367.37418,2410.63452,2455.50533,16,0,-9955.57733,-1564.84618,3.14464,"nan","nan","nan",0,0.6721,0.9235,0.95762,0.99977,0.99977,"nan",7.34127,7.59093,7.84327,1.346,1.61403,1.82533,0.453,1.01079,1.34136,11.75381,11.9316,12.09181,0.08861,0.23682,3.7281,9.96394,1.0,15.0,251.3221,36.05975,147.87975,54.85264,10,0,0,1,"1:1","nan"
"CWNU_2921",1288,"CWNU_2921","o",3.71792215,34,5.54822432,29,114.19876,-33.57104,247.68705,-6.105,0.14927,0.326,0.326,1.05514,5.36711,11.72141,11.72141,37.94123,-3.49893,0.08766,0.01628,3.80106,0.15495,0.02877,0.44217,0.03526,0.00655,2040.71967,2060.04448,2079.7388,34,0,-8900.22536,-1894.98812,-196.28787,"nan","nan","nan",0,0.5088,0.9104,0.95836,0.99948,0.99948,"nan",8.02941,8.24742,8.51565,0.7295,0.95325,1.17972,1.164,1.58143,2.05927,11.41216,11.59586,11.76406,0.0976,0.17161,3.50929,6.17024,1.0,15.0,70.44022,15.26831,155.81007,20.85873,20,0,0,1,"1:1","nan"
"CWNU_2923",1289,"CWNU_2923","o",3.74104511,21,4.71569054,17,121.55424,-30.65942,248.35486,0.7372,0.02799,0.01862,0.14535,0.36244,2.08894,1.38984,10.84827,27.05115,-2.26109,0.06005,0.01456,3.86583,0.07353,0.01783,0.2022,0.00928,0.00225,4056.37428,4276.24758,4521.32314,21,0,-9699.02435,-3974.3825,79.85354,"nan","nan","nan",0,0.4724,0.871,0.93082,0.99986,0.99986,"nan",8.3681,8.60487,8.87253,0.7296,1.05039,1.28678,0.6702,1.17834,1.5889,12.99959,13.15355,13.38106,0.0251,0.11899,1.87344,8.88043,0.9999,15.0,155.73295,46.80083,190.42657,55.09433,20,0,0,1,"1:1","nan"
"CWNU_2926",1290,"CWNU_2926","o",6.94671499,33,7.34581775,32,7.63752,64.48718,120.6843,1.707,0.20317,0.31335,0.57855,0.9026,6.00245,9.25745,17.09285,26.66829,-2.24923,0.09441,0.01669,-1.76085,0.09919,0.01753,0.54716,0.02629,0.00465,1679.73668,1692.71649,1705.89846,32,0,-8985.26257,1455.07786,73.42409,19.68491,85.04293,42.52147,4,0.8811,0.9591,0.97475,0.99915,0.99988,"nan",8.26293,8.48513,8.64427,2.808,3.04226,3.22469,1.174,1.49745,1.90951,11.03725,11.16744,11.30349,0.1815,0.2708,5.36226,8.00049,0.9765,23.0,152.11049,15.87102,199.75446,30.44948,20,0,0,1,"1:1","nan"
"CWWL_1746",1291,"CWWL_1746","o",7.23638145,36,7.62141039,35,225.48982,-60.02477,318.56425,-1.175,0.02899,0.03091,0.10148,0.13409,1.42506,1.51967,4.98891,6.59181,-3.88023,0.09504,0.01606,-2.81112,0.08295,0.01402,0.3175,0.03432,0.0058,2771.43082,2816.6465,2863.36203,34,0,-6010.93908,-1863.60924,-42.38537,-31.91042,37.99559,13.43347,1,0.8108,0.9365,0.96287,0.99929,0.99929,"nan",7.02274,7.2482,7.43625,3.465,3.66541,3.87516,1.108,1.5854,2.05279,12.1148,12.24885,12.39871,0.03024,0.20008,1.48652,9.83569,1.0,36.0,594.0875,79.65594,594.0875,79.65594,20,0,0,1,"1:1","nan"
"CWWL_2073",1292,"CWWL_1438,CWWL_2073","o",4.02124928,44,4.51616485,41,116.94213,-24.7048,241.14611,0.3528,0.1055,0.14723,0.31482,0.52778,7.49509,10.46009,22.36687,37.49822,-1.55381,0.06489,0.01013,1.81659,0.08456,0.01321,0.20537,0.02269,0.00354,4005.27622,4070.66846,4138.23138,44,0,-10086.28234,-3565.23866,50.88693,72.32607,17.13103,9.8906,3,0.9767,0.9953,0.9976,0.99999,1.0,"nan",8.58095,8.74709,8.95355,0.3774,0.55941,0.72078,0.2612,0.68602,0.94919,12.89352,13.07226,13.24885,0.06983,0.12742,4.96129,9.0526,0.9996,25.0,157.4974,37.002,280.58277,48.93598,40,0,0,2,"1:m","nan"
"CWWL_2084",1293,"CWWL_2084,Theia_4168,Theia_4494,Theia_5438,UBC_1384","o",9.35349618,105,9.35349618,105,115.68354,-21.0624,237.41234,1.173,0.24318,0.22662,0.93883,0.93883,13.19748,12.29824,50.95404,50.95404,-2.12675,0.06664,0.0065,2.94769,0.07636,0.00745,0.28129,0.02349,0.00229,3081.3667,3109.38527,3137.91806,105,0,-9796.13832,-2619.31947,88.72642,102.45582,3.68213,2.60366,2,0.9967,0.9992,0.99958,1.0,1.0,"nan",7.86186,8.13309,8.29622,0.5039,0.68583,0.8758,0.7743,1.22295,1.55309,12.30804,12.45841,12.65113,0.114,0.17925,6.18674,9.72759,1.0,37.0,218.14994,31.74095,620.98406,70.60936,40,0,0,5,"m:m","nan"
