"Name","Age","RAdeg","DEdeg","pmRA","pmDE","plx","expect_wd_number","prob_wd_number"
"Theia_2649",141,106.884,-7.665,-3.935,1.184,0.911,4,0
"Theia_274",141,128.578,-39.522,-8.056,5.687,1.301,8,0
"Theia_291",58,287.172,-7.653,-0.24,-4.691,0.92,2,0
"Theia_3397",60,113.94,-25.527,-4.887,4.011,0.93,3,1
"Theia_38",21,291.745,21.117,1.181,-6.101,1.981,0,5
"Theia_470",179,301.879,35.458,1.051,-1.783,1.467,5,0
"Theia_517",280,322.831,48.349,-7.4,-19.704,3.366,5,13
"Theia_558",241,95.905,3.67,-0.685,-1.827,1.41,5,0
"Theia_58",61,120.216,-30.75,-8.816,5.52,2.038,1,2
"Theia_643",158,255.562,-48.924,1.182,-5.03,1.709,4,4
"Theia_874",319,87.572,34.228,2.051,-6.419,1.358,6,0
"Theia_96",41,305.287,48.925,3.03,1.965,2.846,0,1
"Theia_986",101,125.647,-42.446,-7.982,8.667,1.295,2,1
"Trumpler_10",32,131.937,-42.534,-12.38,6.571,2.295,1,4
"UBC_11",67,246.732,-59.705,-0.476,-6.787,2.162,2,7
"UBC_26",35,285.426,22.113,1.968,-5.264,1.67,1,1
"UBC_32",85,279.322,-14.003,-1.808,-9.229,3.498,3,11
"UPK_230",72,354.486,71.896,4.768,-1.052,1.835,1,4
"UPK_41",11,279.462,0.461,2.657,-8.269,2.092,0,0
"UPK_422",19,87.964,-7.39,0.171,-0.609,3.367,0,0
"UPK_5",194,273.21,-18.326,0.682,-8.447,1.764,5,0
"UPK_51",107,314.097,-6.718,5.141,1.977,1.722,2,1
"UPK_545",79,130.975,-58.784,-8.417,2.531,2.953,2,25
"UPK_560",323,158.36,-44.503,-12.409,4.031,1.671,6,3
"UPK_562",97,165.955,-57.024,-11.667,4.836,1.199,2,0
"UPK_594",151,218.776,-67.937,-2.053,-3.126,1.045,3,1
"UPK_599",19,206.089,-38.77,-10.022,0.284,1.463,0,1
"UPK_626",213,239.791,-50.418,-7.464,-5.604,1.958,4,0
"UPK_640",25,249.692,-39.507,-11.882,-21.391,5.706,0,2
"ZHBJZ_1",21,103.947,-5.791,-7.318,-2.445,3.491,0,4
