"A","BDS2003","n_[BDS2003]","GLON","GLAT","RAJ2000","DEJ2000","Dmaj","Dmin","Neb","n_Neb","Class","Rem","RA","DEC"
"O","BDSB_15, BDS2003_15","nan",63.15,0.44,"19 49 15","+26 49 58",1.9,1.8,"in Sh2-90 = G63.2+0.4","nan","IRGr","R=2.0 LD = 1.1",297.30868,26.83437
"O","BDSB_16, BDS2003_16","nan",64.14,-0.47,"19 55 00","+27 12 57",1.9,1.7,"in Sh2-93 = G64.140-0.470","nan","IRC","R=2.0 LD = 1.1",298.75524,27.21877
"O","BDSB_18, BDS2003_18","nan",69.92,1.52,"20 01 10","+33 11 09",1.2,1.2,"in W58G = G69.9+1.5 = G69.942+1.517","nan","IRC","R=12.4 LD = 4.3",300.28623,33.18658
"O","BDSB_19, BDS2003_19","a",77.69,-8.48,"21 01 46","+33 32 34",0.6,0.5,"in K3-50 = W58A = K3-50A","nan","IRCC","R=8.7 LD = 1.5 not PN",315.43874,33.54292
"O","BDSB_21, BDS2003_21","nan",90.23,1.72,"21 05 16","+49 39 35",1.8,1.8,"in Sh2-121 = G90.2+1.7","nan","IRGr","nan",316.31417,49.6645
"O","BDSB_22, BDS2003_22","nan",95.67,0.24,"21 36 25","+52 28 04",1.7,1.3,"in BFS6 = G95.7+0.2","nan","IRGr","nan",324.10234,52.46985
"O","BDSB_23, BDS2003_23","nan",96.03,4.03,"21 20 24","+55 28 01",2.2,1.9,"in BFS7","nan","IRGr","Opt/IR",320.09935,55.46289
"O","BDSB_24, BDS2003_24","nan",96.29,2.59,"21 28 43","+54 37 03",1.9,1.1,"in Sh2-127 = G96.3+2.6","nan","IRGr","nan",322.18165,54.6158
"O","BDSB_26, BDS2003_26","nan",97.51,3.17,"21 32 10","+55 52 45",1.2,1.2,"in Sh2-128 = G97.6+3.2","nan","IRCC","mP,not PN",323.0416,55.87308
"O","BDSB_27, BDS2003_27","nan",97.53,3.18,"21 32 11","+55 53 42",0.7,0.7,"in Sh2-128 = G97.6+3.2","nan","IRCC","mP,not PN",323.05553,55.894
"O","BDSB_28, BDS2003_28","nan",97.95,1.49,"21 42 24","+54 55 03",0.8,0.8,"related to GM1-12 = PP101","nan","IRCC","mP",325.59285,54.91554
"O","BDSB_29, BDS2003_29","nan",97.97,1.49,"21 42 28","+54 56 00",1.1,0.8,"related to GM1-12 = PP101","nan","IRC","mP",325.61917,54.92861
"O","BDSB_30, BDS2003_30","nan",105.3,4.05,"22 14 41","+61 26 04",2.1,2.1,"in DG180","nan","IRC","loose",333.67117,61.43377
"O","BDSB_34, BDS2003_34","nan",108.16,0.6,"22 49 10","+59 54 54",1.2,1.2,"in Sh2-146 = G108.197+0.579","nan","IRC","R=4.6 LD = 1.6 deeply emb., lane",342.28615,59.91702
"O","BDSB_35, BDS2003_35","nan",108.36,-1.06,"22 56 17","+58 31 14",1.7,1.6,"in Sh2-148","nan","IRC","R=5.5 LD = 2.7 deeply emb.",344.06652,58.51496
"O","BDSB_36, BDS2003_36","nan",108.76,-0.95,"22 58 41","+58 46 57",2.4,1.8,"in Sh2-152 = G108.760-0.952","nan","IRC","R=3.8 LD = 2.7 deeply emb.",344.67273,58.78437
"O","BDSB_37, BDS2003_37","nan",109.1,-0.34,"22 59 06","+59 28 33",1.2,1.0,"related to Gy82-13","nan","IRC","deeply embedded",344.77517,59.48073
"O","BDSB_38, BDS2003_38","nan",109.99,-0.09,"23 04 45","+60 04 36",1.1,1.1,"in BFS15","nan","IRC","R=6.1 LD = 2.0",346.18514,60.07313
"O","BDSB_39, BDS2003_39","nan",110.11,0.05,"23 05 11","+60 14 44",2.0,1.5,"in IC1470","nan","IRCC","R=6.1 LD = 3.5 deeply emb.",346.2941,60.24937
"O","BDSB_41, BDS2003_41","nan",110.21,2.62,"22 57 05","+62 38 16",1.9,1.9,"in Sh2-155 = CTB108","nan","IRC","R=0.7 LD = 0.4 mP loose",344.2686,62.6324
"O","BDSB_42, BDS2003_42","nan",110.25,0.01,"23 06 22","+60 16 11",1.7,1.5,"related to BFS18, in Sh2-156 = G110.106+0.044","nan","IRC","R=6.1 LD = 3.0 loose",346.58517,60.26808
"O","BDSB_43, BDS2003_43","nan",111.29,-0.66,"23 16 06","+60 02 05",2.2,2.0,"in Sh2-157","nan","IRC","R=2.5 LD = 1.6",349.02827,60.03938
"O","BDSB_44, BDS2003_44","nan",112.22,0.22,"23 20 41","+61 11 35",1.1,0.7,"in NGC 7635 = Sh2-162 = G112.237+0.226","nan","IRGr","R=3.5 LD = 1.1 compact,emb.",350.17239,61.19013
"O","BDSB_45, BDS2003_45","nan",113.58,-0.62,"23 33 34","+60 50 07",2.4,2.1,"in Sh2-163 = G113.589-0.721","nan","IRC","R=2.3 LD = 1.6 loose",353.38591,60.82955
