"A","BDS2003","n_[BDS2003]","GLON","GLAT","RAJ2000","DEJ2000","Dmaj","Dmin","Neb","n_Neb","Class","Rem","RA","DEC"
"O","BDSB_90, BDS2003_90","nan",218.2,-0.39,"06 59 41","-04 51 44",1.8,1.5,"related to Gy3-4 = RNO81, in Sh2-287S","nan","IRC","R=3.2 LD = 1.7 loose",104.91897,-4.86549
"O","BDSB_91, BDS2003_91","nan",219.47,-10.56,"06 25 16","-10 33 12",3.6,2.3,"related to RNO71","nan","IROC","nan",96.3167,-10.5533
"O","BDSB_92, BDS2003_92","nan",219.09,-1.54,"06 57 11","-06 11 04",3.5,2.9,"related to Parsamian 16 = RNO77","nan","IROC","nan",104.29915,-6.18221
"O","BDSB_93, BDS2003_93","nan",221.01,-2.51,"06 57 15","-08 19 48",1.1,1.1,"in RNO78","nan","IRC","nan",104.30954,-8.33221
"O","BDSB_94, BDS2003_94","nan",221.96,-1.99,"07 00 51","-08 56 33",1.8,1.6,"in RNO82","nan","IRC","loose",105.2152,-8.94031
"O","BDSB_95, BDS2003_95","nan",224.17,1.22,"07 16 33","-09 25 20",2.1,1.8,"in Sh2-294 = RCW3","nan","IRC","R=4.6 LD = 2.8 loose",109.13259,-9.42164
"O","BDSB_96, BDS2003_96","nan",225.48,-2.57,"07 05 18","-12 19 44",2.7,1.8,"in Ced90 = Gum3 = Sh2-297 = RCW1a = vdB-RN94 = Ber134","nan","IROC","R=1.1 LD = 0.9",106.32542,-12.33396
"O","BDSB_97, BDS2003_97","d",351.17,0.68,"17 20 03","-35 58 18",1.2,1.2,"rel. to vdBH-RN85b, in NGC 6334 = RCW127 = CTB39","nan","IRGr","R=1.6 LD = 0.6 mP",260.01316,-35.96646
"O","BDSB_98, BDS2003_98","d",351.2,0.7,"17 20 03","-35 55 58",0.9,0.7,"rel. to vdBH-RN85b, in NGC 6334 = RCW127 = CTB39","nan","IRC","R=1.6 LD = 0.4 mP",260.01409,-35.93042
"O","BDSB_99, BDS2003_99","nan",351.27,1.01,"17 18 59","-35 41 48",1.7,1.3,"rel. to vdBH-RN85a, in Gum63","e","IRGr","R=1.6 LD = 0.8",259.7503,-35.69539
"O","BDSB_100, BDS2003_100, AH03 J1725 34.4","nan",353.1,0.64,"17 25 33","-34 24 03",2.0,1.2,"in RCW131b = G353.1+0.7, in Sh2-11 = RCW131 = W22","nan","IRC","R=1.7 LD = 1.0 mP loose",261.39035,-34.39827
"O","BDSB_101, BDS2003_101","nan",353.11,0.65,"17 25 34","-34 23 08",0.8,0.8,"in RCW131b = G353.1+0.7, in Sh2-11 = RCW131 = W22","nan","IRC","R=1.7 LD = 0.4 mP loose",261.3871,-34.38438
"O","BDSB_102, BDS2003_102","nan",355.46,0.38,"17 32 52","-32 34 33",1.8,1.3,"in Gum67 = Sh2-12 = W23 = RCW132","nan","IRGr","R=1.4 LD = 0.7",263.21437,-32.57535
"O","BDSB_103, BDS2003_103","nan",358.57,-2.16,"17 50 47","-31 16 34",1.7,1.7,"in RCW134 = W25","nan","IRC","R=1.9 LD = 0.9",267.69065,-31.27559
"R","BDSB_104, BDS2003_104","nan",3.64,-0.1,"17 54 25","-25 51 36",1.1,0.9,"in G3.662-0.113","nan","IRGr","Rn=1.5, Rf=18.5",268.60663,-25.86361
"R","BDSB_106, BDS2003_106","nan",5.34,-0.99,"18 01 35","-24 50 06",1.6,1.4,"related to radio SNR G5.321-0.974?","nan","IRGr","nan",270.40027,-24.83671
"R","BDSB_107, BDS2003_107","nan",5.9,-0.43,"18 00 42","-24 04 23",1.2,0.8,"in W28A2=G5.9-0.4=G5.899-0.427, in W28=RCW145","nan","IRC","R=3.0 LD = 1.0 mP",270.17054,-24.0729
"R","BDSB_108, BDS2003_108","nan",5.9,-0.44,"18 00 43","-24 04 55",0.45,0.45,"in W28A2=G5.9-0.4=G5.899-0.427, in W28=RCW145","nan","IRGr","R=3.0 LD = 0.4 mP compact",270.18005,-24.07786
"R","BDSB_109, BDS2003_109","nan",6.15,-0.64,"18 02 01","-23 57 40",1.6,1.6,"in G6.1-0.6=G6.083-0.117, in W28=RCW145","nan","IRGr","R=2.6 LD = 1.2",270.50578,-23.95966
"R","BDSB_110, BDS2003_110","nan",8.03,0.41,"18 02 05","-21 48 12",1.2,0.9,"in G8.1+0.2=G8.137+0.228","nan","IRCC","mP",270.52308,-21.80639
"R","BDSB_111, BDS2003_111","nan",8.06,0.43,"18 02 06","-21 46 21",1.8,1.2,"in G8.1+0.2=G8.137+0.228","nan","IRC","mP",270.52031,-21.77043
"R","BDSB_112, BDS2003_112","nan",10.31,-0.14,"18 08 56","-20 05 30",1.4,1.1,"in W31","nan","IRCC","R=6.0 LD = 2.4 mP",272.23116,-20.08695
"R","BDSB_113, BDS2003_113","nan",10.32,-0.15,"18 09 00","-20 04 57",1.3,1.2,"in W31","nan","IRC","R=6.0 LD = 2.3 mP",272.24563,-20.08305
"R","BDSB_114, BDS2003_114","nan",12.91,-0.26,"18 14 40","-17 52 07",1.2,0.8,"in W33C = G12.9-0.3 = G12.909-0.277","nan","IRCC","R=4.5 LD = 1.6 deeply embedded",273.66511,-17.86528
"R","BDSB_115, BDS2003_115","nan",13.18,0.05,"18 14 05","-17 28 40",1.9,1.7,"in G13.2+0.0 = G13.186+0.045","nan","IRGr","R=5.8 LD = 3.2",273.51478,-17.47995
"R","BDSB_116, BDS2003_116","nan",13.88,0.28,"18 14 36","-16 45 17",1.2,0.8,"in G13.875+0.282","nan","IRC","Rn=5.6 Rf=13.8, deeply emb.",273.65351,-16.75516
"R","BDSB_117, BDS2003_117","nan",23.23,-0.24,"18 34 27","-09 15 44",1.2,1.0,"in G22.8-0.5 = G22.760-0.485","nan","IRCC","R=12.5 LD = 4.4",278.61725,-8.73657
"R","BDSB_118, BDS2003_118","nan",24.19,0.29,"18 34 20","-08 21 27",1.3,1.1,"in G23.538-0.041","nan","IRCC","R=11.6 LD = 4.4",278.58887,-7.64035
"R","BDSB_119, BDS2003_119","nan",23.93,0.28,"18 33 54","-08 07 32",1.0,0.7,"in G23.7+0.2 = G23.706+0.171","nan","IRCC","nan",278.4769,-7.87569
"R","BDSB_120, BDS2003_120","nan",25.58,0.99,"18 34 25","-07 54 50",0.6,0.5,"in G24.0+0.2 = G23.956+0.152","nan","IRGr","R=12.0 LD = 2.1 compact",278.60794,-6.08424
"R","BDSB_121, BDS2003_121","nan",25.0,0.77,"18 34 10","-07 18 01",1.2,1.0,"in G24.467+0.489","nan","IRC","R=9.0 LD = 3.1 deeply emb.",278.53564,-6.70032
"R","BDSB_122, BDS2003_122","nan",26.84,0.65,"18 37 58","-06 53 00",2.9,1.9,"in G25.253-0.150, in W42","nan","IRC","R=4.3 LD = 3.8 loose",279.49322,-5.12162
"R","BDSB_123, BDS2003_123","nan",28.82,-0.09,"18 44 15","-04 17 55",0.6,0.5,"in G28.295-0.377","nan","IRCC","compact,deeply embedded",281.06218,-3.70003
"R","BDSB_124, BDS2003_124","nan",29.86,0.72,"18 43 16","-03 35 42",1.2,1.2,"in G28.801+0.174","nan","IRCC","R=9.0 LD = 3.1",280.8165,-2.40486
"R","BDSB_125, BDS2003_125","nan",31.12,0.58,"18 46 04","-02 39 19",0.6,0.4,"in G29.9-0.0=G29.944-0.042","nan","IRGr","R=9.0 LD = 1.4 compact",281.51677,-1.3479
"R","BDSB_126, BDS2003_126","nan",33.92,0.11,"18 52 51","+00 55 28",1.1,1.1,"in G33.914+0.111","nan","IRCC","R=8.3 LD = 2.7",283.21215,0.92953
"R","BDSB_127, BDS2003_127","nan",34.26,0.15,"18 53 20","+01 14 39",1.4,1.1,"in G34.3+0.1=G34.254+0.144, in W44","nan","IRC","R=3.7 LD = 1.5 mP",283.33162,1.25036
"R","BDSB_128, BDS2003_128","nan",34.25,0.13,"18 53 22","+01 13 58",0.8,0.6,"in G34.3+0.1=G34.254+0.144, in W44","nan","IRCC","R=3.7 LD = 0.9 mP",283.34486,1.23234
