"Name","Rc","e_Rc","E_Rc","Rk","e_Rk","E_Rk","MassRk","e_MassRk","Mflag","Pflag","Rflag","RA_ICRS","DE_ICRS","logAge","e_logAge","Dist","e_Dist","AV","e_AV","c","e_c","E_c","n0","e_n0","E_n0","Sample"
"NGC_6216",1.36,-0.19,0.33,11.05,-5.55,41.68,1104.9,29.7,"2",2,1,252.3346,-44.7223,7.187,0.413,2065,218,2.586,0.059,0.2923,-0.2037,0.4203,20.15,-3.48,9.34,1
"NGC_6231",2.16,-0.14,0.17,12.81,-2.87,4.68,3079.9,63.8,"1",1,1,253.5351,-41.8008,6.944,0.072,1429,79,1.533,0.046,0.2549,-0.1542,0.1824,28.67,-2.89,4.19,2
"NGC_6242",1.19,-0.08,0.1,17.17,-7.03,30.61,1613.0,28.7,"1",1,1,253.8798,-39.4761,7.773,0.135,1167,34,1.362,0.043,0.2761,-0.1924,0.4135,51.31,-4.05,5.9,2
"NGC_6249",1.08,-0.14,0.22,1.84,-0.19,0.26,226.8,9.4,"2",1,2,254.4448,-44.8079,7.291,0.035,1198,51,1.542,0.06,0.4846,-0.1699,0.1724,84.43,-24.56,53.28,1
"NGC_6250",0.43,-0.02,0.02,29.08,-18.4,42.16,335.4,12.9,"2",1,2,254.5055,-45.9478,7.283,0.049,954,39,1.343,0.038,0.0909,-0.0514,0.0974,30.2,-0.78,1.13,1
"NGC_6253",0.69,-0.05,0.05,55.26,-31.01,29.88,1455.1,27.9,"2",1,4,254.7786,-52.71,9.549,0.048,1674,72,0.793,0.058,1.2834,-0.8101,1.0367,75.59,-2.81,3.3,0
"NGC_6259",2.24,-0.11,0.12,31.08,-9.71,21.27,5055.9,51.5,"2",2,1,255.1968,-44.6745,8.517,0.042,1806,48,2.111,0.05,0.119,-0.0734,0.1477,25.11,-1.43,1.88,1
"NGC_6268",1.38,-0.16,0.18,5.98,-1.55,3.24,447.0,15.9,"2",1,1,255.5261,-39.7128,8.41,0.088,1305,45,1.54,0.074,0.2698,-0.1828,0.2948,21.71,-4.01,6.46,1
"NGC_6281",0.96,-0.05,0.06,15.86,-5.84,20.48,988.1,16.0,"1",1,1,256.1814,-37.9519,8.516,0.086,523,7,0.634,0.06,0.2214,-0.147,0.2581,56.8,-3.5,4.54,2
"NGC_6318",0.73,-0.05,0.05,46.45,-29.54,35.18,1684.0,72.0,"X",3,4,259.0423,-39.4241,6.864,0.128,2219,320,3.542,0.023,0.2959,-0.1963,0.346,30.83,-1.24,1.8,0
"NGC_6322",0.71,-0.05,0.06,19.05,-11.43,45.15,405.1,18.3,"1",1,2,259.6297,-42.9398,7.034,0.236,1315,63,2.069,0.074,0.1165,-0.0723,0.1664,15.54,-0.87,1.83,1
"NGC_637",1.57,-0.35,0.19,1.94,-0.14,0.37,393.6,26.8,"1",1,2,25.7705,64.0368,7.144,0.089,2519,143,1.919,0.039,0.5195,-0.2722,0.2927,130.75,-66.59,49.94,1
"NGC_6383",0.38,-0.01,0.01,55.68,-30.26,29.63,1038.1,44.0,"2",1,4,263.6573,-32.573,7.082,0.129,1086,104,1.202,0.063,0.4206,-0.2143,0.2567,96.14,-2.2,2.53,0
"NGC_6396",0.5,-0.05,0.05,45.4,-31.48,36.17,528.1,27.9,"X",3,4,264.4046,-35.0129,7.12,0.484,2144,357,2.855,0.087,0.2614,-0.1758,0.3535,24.49,-1.32,1.94,0
"NGC_6400",1.4,-0.23,0.43,4.63,-1.41,2.96,543.6,13.0,"1",1,1,265.0646,-36.9499,8.398,0.322,1130,51,1.464,0.094,0.3626,-0.2238,0.2645,39.66,-10.94,35.55,2
"NGC_6404",2.22,-0.43,1.35,18.49,-11.43,47.74,3446.7,110.1,"X",3,1,264.9198,-33.2221,6.743,0.046,2767,199,3.651,0.06,0.2534,-0.17,0.2984,11.83,-2.04,15.65,0
"NGC_6405",1.62,-0.18,0.24,6.2,-1.36,2.31,934.5,18.3,"1",1,1,265.1037,-32.2404,7.894,0.049,453,3,0.619,0.043,0.5344,-0.3473,0.4604,75.45,-13.6,24.37,2
"NGC_6416",1.73,-0.15,0.17,55.73,-28.49,29.28,742.6,13.9,"1",1,4,266.0268,-32.358,8.411,0.13,997,22,0.977,0.075,0.1376,-0.0789,0.1151,7.95,-0.45,0.61,0
"NGC_6425",0.61,-0.08,0.08,54.03,-31.52,30.69,366.9,12.0,"1",1,4,266.7171,-31.5102,8.687,0.149,952,37,1.125,0.114,0.4562,-0.2756,0.3597,22.26,-1.66,1.95,0
"NGC_6444",4.9,-1.02,0.75,6.34,-0.6,1.03,337.5,12.3,"2",2,2,267.4166,-34.8124,8.632,0.262,1492,88,1.298,0.13,0.1015,-0.0573,0.089,17.44,-8.05,7.73,1
"NGC_6451",1.87,-0.2,0.3,37.12,-23.5,39.65,2025.3,71.4,"2",2,4,267.6674,-30.2027,6.925,0.122,2794,268,2.366,0.063,0.1426,-0.0877,0.1486,7.79,-0.64,1.6,0
"NGC_6469",0.93,-0.14,0.23,5.53,-2.34,15.9,259.1,11.2,"2",2,2,268.2777,-22.2951,7.943,0.405,1602,123,2.055,0.133,0.1398,-0.0861,0.1122,11.77,-2.56,6.35,1
"NGC_6475",2.02,-0.1,0.13,40.33,-14.53,29.11,992.6,20.2,"1",1,2,268.3971,-34.8797,8.436,0.081,277,0,0.377,0.043,0.0686,-0.0358,0.0694,26.03,-1.11,1.6,1
"NGC_6494",1.83,-0.1,0.12,55.26,-26.83,29.25,1874.7,18.5,"1",1,4,269.2413,-18.9691,8.52,0.051,691,13,1.283,0.05,0.2707,-0.1777,0.2927,25.93,-1.0,1.6,0
"NGC_6520",1.67,-0.29,0.19,2.04,-0.14,0.23,314.1,12.8,"2",1,2,270.8554,-27.8802,7.352,0.324,1699,87,1.541,0.077,0.5654,-0.3874,0.6959,175.57,-70.08,51.43,1
"NGC_6530",0.92,-0.19,0.25,41.52,-32.88,38.82,327.8,22.9,"3",2,4,271.1088,-24.3572,6.728,0.045,1206,39,1.163,0.037,0.5118,-0.3376,0.5154,9.68,-1.18,2.2,0
"NGC_6531",1.63,-0.29,0.38,4.75,-1.01,2.95,446.1,21.1,"2",1,1,271.0312,-22.515,7.106,0.107,1161,49,0.992,0.04,0.3653,-0.1835,0.1663,31.89,-10.08,18.81,1
"NGC_654",1.06,-0.1,0.11,7.21,-2.1,6.1,2207.3,56.2,"1",1,1,26.0066,61.8791,7.171,0.107,2516,211,2.602,0.094,0.5143,-0.3399,0.389,53.55,-7.3,9.77,2
"NGC_6561",2.11,-0.19,0.25,4.1,-0.32,0.37,266.1,11.3,"2",1,2,272.681,-16.7405,7.237,0.077,1461,86,1.386,0.043,0.0432,-0.0127,0.0145,12.99,-2.39,3.96,1
"NGC_6568",1.19,-0.1,0.13,37.52,-24.56,39.81,382.2,10.7,"2",1,4,273.2042,-21.605,8.886,0.059,971,45,0.883,0.082,0.1644,-0.1047,0.1926,12.92,-0.79,1.59,0
"NGC_6583",1.02,-0.07,0.07,5.64,-1.07,2.34,847.8,25.9,"2",2,1,273.9587,-22.144,8.973,0.062,2162,132,1.836,0.128,0.4619,-0.2386,0.1933,35.77,-4.13,4.56,1
"NGC_659",2.64,-0.86,0.72,4.33,-0.65,3.23,558.2,26.8,"2",2,1,26.1027,60.6769,7.344,0.125,2601,159,2.158,0.047,0.1893,-0.1141,0.1505,24.96,-15.2,24.34,1
"NGC_6603",0.53,-0.02,0.02,48.74,-27.17,33.22,2559.5,33.7,"1",2,4,274.6136,-18.4089,8.648,0.075,2068,122,2.004,0.094,0.2802,-0.1891,0.3455,121.45,-2.92,3.53,0
"NGC_6604",0.52,-0.08,0.07,50.6,-32.69,32.99,465.6,36.3,"2",2,4,274.5127,-12.2449,6.807,0.118,1885,75,2.804,0.057,0.509,-0.2927,0.3866,15.73,-1.16,1.65,0
"NGC_6611",2.62,-0.59,0.43,3.39,-0.4,0.8,909.4,33.7,"2",2,2,274.6948,-13.8023,7.009,0.127,1582,134,2.15,0.044,0.7704,-0.5013,0.659,128.04,-67.09,56.42,0
"NGC_6613",3.21,-0.53,0.32,3.82,-0.26,0.43,180.0,9.9,"2",1,2,274.9975,-17.0924,7.535,0.202,1352,31,1.481,0.054,0.1516,-0.0932,0.1558,32.28,-12.7,9.62,1
"NGC_663",3.98,-0.87,1.48,10.13,-2.59,7.54,3086.5,53.6,"1",1,1,26.572,61.2159,7.403,0.251,2353,148,2.268,0.036,0.2157,-0.1263,0.1497,22.41,-8.77,28.76,2
"NGC_6631",2.21,-0.49,0.74,4.46,-0.86,1.93,662.4,21.6,"2",2,1,276.7918,-12.0212,8.189,0.675,2365,186,2.727,0.146,0.1662,-0.0952,0.1204,24.27,-10.09,30.68,1
"NGC_6633",5.42,-0.82,0.59,6.44,-0.47,0.65,264.9,9.2,"2",1,2,276.8645,6.6111,8.783,0.041,391,2,0.766,0.107,0.1881,-0.1194,0.1926,44.72,-16.47,12.85,1
"NGC_6645",1.57,-0.03,0.03,19.99,-2.66,3.02,1322.9,20.5,"2",1,1,278.1637,-16.9148,8.591,0.182,1526,97,1.411,0.134,0.0484,-0.0205,0.0355,17.85,-0.39,0.47,1
"NGC_6649",1.0,-0.04,0.06,23.79,-10.68,34.67,4348.6,51.2,"X",3,2,278.3587,-10.3983,7.611,0.293,1917,80,3.682,0.033,0.2518,-0.174,0.3838,64.79,-3.0,4.67,0
