"param","Name","RAJ2000","DEJ2000","Rad","VVVXtile","Comments","pmRA","e_pmRA","pmDE","e_pmDE","plx","e_plx","Dist","Distp5","Distp95","RV","e_RV","BP-RP","e_BP-RP"
"nan","VVVX CL062",270.09413,-18.869869,18,"e0975","Embedded cluster? Too big to be single YSO: [MJR2015] 113","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL063",270.14432,-18.754833,29,"e0975","Group in HII region: MSX6C G010.5067+02.2285","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"*","VVVX CL064",270.24946,-17.749453,69,"e0975","Open cluster",-2.408,2.8298,-5.129,3.4491,"nan","nan","nan","nan","nan","nan","nan",1.15,0.35
"*","VVVX CL065",270.36911,-17.946281,65,"e0975","Open cluster",-3.078,1.5112,-6.1625,1.4636,"nan","nan","nan","nan","nan","nan","nan",1.32,0.27
"*","VVVX CL066",271.8567,-20.028048,36,"e0961","Open cluster",-2.745,0.3543,-7.768,2.9813,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL067",272.31875,-20.312052,47,"e0954","Young cluster part of W31?","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL068",272.40531,-20.32049,21,"e0954","Small group in Bubble [CWP2007] CN 145","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL069",272.43663,-20.336289,53,"e0954","Group in HII region: [L89b] 10.190-00.426","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL070",272.48289,-19.806053,24,"e0954","Group in Bubble: [SPK2012] MWP1G010670-002100S","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL071",272.57946,-19.902798,22,"e0954","Small group in HII region: [AAJ2015] G010.630-00.338","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL072",272.67833,-19.942037,14,"e0954","Group in HII region: HRDS G010.638-00.434","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL073",272.71332,-17.931154,28,"e0962","Group in HII region: GAL 012.42+00.50","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL074",272.88465,-19.510605,28,"e0954","Small group around YSO: IRAS 18085-1931","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL075",272.97186,-18.60566,10,"e0955","Small group in HII region: [KC97c] G011.9+00.0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"*","VVVX CL076",273.35454,-18.092123,17,"e0955","Concentrated group",-0.2315,1.1797,-1.135,1.005,0.7011,0.349,1141.0,819.0,2322.0,"nan","nan",1.43,0.26
"*","VVVX CL077",273.39604,-18.096607,53,"e0955","Concentrated group close to CL076+WR, binary cluster?",-1.15,0.5148,-0.847,0.4311,"nan","nan","nan","nan","nan","nan","nan",1.36,0.1
"nan","VVVX CL078",273.5049,-18.891444,22,"e0955","Young cluster in HII region GRS G011.94 -00.62","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
