"Ncl","Name","RAdeg","DEJ2000","Radcl","RV","e_RV","n_RV","RVl","e_RVl","n_RVl","r_RVl"
50,"NGC 1528",63.84,51.22,0.44,-10.3,0.4,1.0,-10.12,0.18,3.0,"GR91"
51,"NGC 1545",65.23,50.25,0.21,-10.84,0.1,1.0,-13.1,0.83,2.0,"GR91"
0,"Hyades",66.72,15.87,10.0,"nan","nan","nan",43.0,"nan","nan","Ly87"
52,"NGC 1582",67.92,43.74,0.48,"nan","nan","nan",5.53,1.0,3.0,"BV03"
53,"Platais 3",70.41,71.24,2.5,7.0,3.7,1.0,"nan","nan","nan","nan"
54,"NGC 1647",71.47,19.11,0.63,-6.12,0.39,-1.0,-2.3,0.36,21.0,"Tu92"
56,"NGC 1662",72.1,10.94,0.43,-13.5,0.4,1.0,-13.82,0.32,2.0,"GR91"
57,"NGC 1664",72.78,43.67,0.33,36.1,1.7,1.0,7.82,0.85,3.0,"GR91"
58,"Berkeley 14A",75.04,43.47,0.74,4.82,3.74,5.0,"nan","nan","nan","nan"
60,"NGC 1746",75.96,23.77,0.57,2.0,3.7,1.0,2.0,"nan","nan","Ly87"
61,"Platais 4",76.84,22.28,1.25,13.8,5.08,3.0,"nan","nan","nan","nan"
62,"NGC 1778",77.01,37.02,0.18,8.17,2.98,3.0,7.5,1.39,6.0,"LJ91"
64,"NGC 1817",78.06,16.69,0.23,"nan","nan","nan",65.33,0.09,32.0,"ML03"
1013,"ASCC 13",78.33,44.58,0.7,-16.95,9.65,2.0,"nan","nan","nan","nan"
65,"NGC 1901",79.56,-68.44,0.5,-9.63,9.63,3.0,14.0,1.3,1.0,"DL03"
1014,"ASCC 14",80.13,35.22,0.22,-16.87,0.0,1.0,"nan","nan","nan","nan"
0,"Berkeley 17",80.14,30.6,0.06,"nan","nan","nan",-84.0,3.17,13.0,"FJ02"
66,"NGC 1893",80.68,33.41,0.2,-2.25,5.25,2.0,-4.7,4.4,"nan","RG99"
0,"Berkeley 69",81.15,32.65,0.03,"nan","nan","nan",5.2,6.4,1.0,"DL03"
1016,"ASCC 16",81.15,1.8,0.62,10.5,10.98,3.0,"nan","nan","nan","nan"
1017,"ASCC 17",81.3,30.17,0.25,-16.0,6.1,1.0,"nan","nan","nan","nan"
68,"Collinder 65",81.52,16.7,2.4,19.48,4.57,11.0,"nan","nan","nan","nan"
1018,"ASCC 18",81.54,0.82,0.62,24.4,10.5,2.0,"nan","nan","nan","nan"
0,"Mamajek 3",81.79,6.27,2.08,"nan","nan","nan",18.0,0.5,"nan","Ma05"
1019,"ASCC 19",81.94,-1.98,0.8,19.8,3.17,5.0,"nan","nan","nan","nan"
69,"NGC 1907",82.02,35.33,0.22,"nan","nan","nan",0.09,0.9,4.0,"GR91"
70,"Stock 8",82.03,34.42,0.25,-6.4,2.5,1.0,8.3,"nan",1.0,"DL03"
71,"NGC 1912",82.17,35.85,0.41,"nan","nan","nan",1.0,0.58,1.0,"GR91"
1020,"ASCC 20",82.18,1.63,0.75,22.97,4.8,7.0,"nan","nan","nan","nan"
1021,"ASCC 21",82.24,3.65,0.8,19.77,1.12,9.0,"nan","nan","nan","nan"
0,"Berkeley 20",83.16,0.19,0.02,"nan","nan","nan",75.7,1.3,5.0,"FM06"
72,"Collinder 69",83.77,9.93,0.55,31.38,1.42,4.0,35.0,1.0,"nan","RG99"
73,"NGC 1981",83.79,-4.43,0.25,27.94,2.4,5.0,28.0,"nan","nan","Ly87"
74,"NGC 1976",83.82,-5.39,0.4,28.94,2.72,24.0,29.9,27.1,2.0,"DL03"
75,"NGC 1977",83.82,-4.82,0.21,25.27,2.37,3.0,"nan","nan","nan","nan"
76,"NGC 1980",83.85,-5.91,0.21,25.34,2.1,5.0,23.0,0.2,79.0,"SH05"
77,"Collinder 70",83.88,-1.1,1.5,19.87,2.19,23.0,20.2,11.0,5.0,"DL03"
78,"NGC 1960",84.07,34.14,0.27,-1.18,4.6,13.0,-4.0,13.0,"nan","RG99"
80,"Sigma Ori",84.67,-2.6,0.4,29.45,0.45,2.0,"nan","nan","nan","nan"
81,"Stock 10",84.75,37.93,0.32,-8.66,0.0,1.0,-13.1,3.6,6.0,"DL03"
0,"King 8",87.34,33.63,0.03,"nan","nan","nan",-1.0,3.0,2.0,"FL89"
0,"Berkeley 21",87.93,21.78,0.04,"nan","nan","nan",12.35,0.6,4.0,"HP99"
82,"NGC 2099",88.08,32.55,0.32,"nan","nan","nan",7.7,0.02,30.0,"MH96"
0,"NGC 2112",88.44,0.41,0.15,"nan","nan","nan",39.0,9.23,4.0,"FJ93"
0,"Berkeley 22",89.61,7.76,0.01,"nan","nan","nan",95.3,2.0,2.0,"VC05"
84,"NGC 2129",90.28,23.32,0.09,12.6,2.12,3.0,11.75,1.42,4.0,"LJ91"
0,"NGC 2141",90.73,10.45,0.08,"nan","nan","nan",43.25,3.09,4.0,"Fr89"
0,"NGC 2158",91.86,24.1,0.04,"nan","nan","nan",28.0,4.08,7.0,"FJ02"
86,"NGC 2169",92.1,13.97,0.15,22.23,2.4,8.0,23.42,0.9,5.0,"LJ91"
87,"NGC 2168",92.25,24.35,0.95,-7.17,4.77,6.0,-7.97,0.26,36.0,"BDS1"
0,"NGC 2175",92.41,20.49,0.18,"nan","nan","nan",22.0,7.7,"nan","RG99"
91,"Platais 6",93.85,3.85,1.57,13.1,14.92,3.0,"nan","nan","nan","nan"
0,"NGC 2204",93.88,-18.67,0.08,"nan","nan","nan",89.0,1.8,12.0,"FJ02"
93,"Collinder 89",94.5,23.63,0.5,26.23,7.64,3.0,"nan","nan","nan","nan"
95,"NGC 2232",96.81,-4.76,0.6,19.85,4.54,4.0,21.0,0.6,4.0,"RA99"
1024,"ASCC 24",97.18,-7.02,0.35,16.35,3.31,4.0,"nan","nan","nan","nan"
0,"NGC 2243",97.39,-31.28,0.04,"nan","nan","nan",55.0,1.77,9.0,"FJ02"
96,"Collinder 95",97.71,9.94,0.2,-11.0,7.4,1.0,"nan","nan","nan","nan"
97,"Collinder 97",97.83,5.92,0.3,17.88,3.91,4.0,14.7,11.7,2.0,"DL03"
98,"NGC 2244",97.98,4.94,0.32,26.16,3.37,12.0,31.07,1.71,6.0,"LJ91"
99,"NGC 2240",98.29,35.25,0.27,15.83,0.2,1.0,"nan","nan","nan","nan"
100,"Basel 8",98.55,8.08,0.25,11.0,7.4,1.0,"nan","nan","nan","nan"
102,"NGC 2251",98.65,8.37,0.2,-16.0,7.4,1.0,24.72,0.16,3.0,"GR91"
0,"VDB 1, vdBergh 1",99.25,3.07,0.04,"nan","nan","nan",19.29,1.57,4.0,"TP98"
104,"Collinder 106",99.27,5.95,0.52,28.72,4.99,5.0,"nan","nan","nan","nan"
105,"Collinder 107",99.42,4.73,0.15,17.73,6.11,3.0,"nan","nan","nan","nan"
107,"NGC 2264",100.24,9.9,0.73,17.68,2.26,13.0,21.83,1.31,16.0,"LJ91"
109,"NGC 2270",100.99,3.48,0.32,40.0,3.7,1.0,"nan","nan","nan","nan"
0,"Dolidze 25",101.28,0.3,0.17,"nan","nan","nan",77.4,14.1,1.0,"HM85"
1025,"ASCC 25",101.38,24.6,0.21,21.5,2.4,1.0,"nan","nan","nan","nan"
110,"NGC 2287",101.5,-20.76,0.5,24.47,1.2,9.0,26.18,0.97,19.0,"LJ91"
111,"NGC 2281",102.07,41.08,0.43,13.29,4.11,3.0,11.0,2.0,"nan","RG99"
0,"Bochum 2",102.22,0.38,0.01,"nan","nan","nan",67.03,2.06,3.0,"MT99"
1026,"ASCC 26",102.6,7.25,0.17,8.0,7.4,1.0,"nan","nan","nan","nan"
112,"NGC 2301",102.94,0.46,0.25,39.65,12.35,2.0,11.9,2.8,1.0,"DL03"
0,"Berkeley 29",103.32,16.92,0.05,"nan","nan","nan",28.4,1.13,11.0,"FM06"
1028,"ASCC 28",103.51,-0.17,0.3,22.7,1.8,1.0,"nan","nan","nan","nan"
1029,"ASCC 29",103.57,-1.65,0.22,13.5,10.0,1.0,"nan","nan","nan","nan"
115,"Collinder 121",104.08,-24.73,0.53,31.35,3.95,2.0,35.0,1.0,"nan","RG99"
0,"Berkeley 31",104.4,8.27,0.04,"nan","nan","nan",61.0,3.75,17.0,"FJ02"
0,"Berkeley 32",104.52,6.43,0.05,"nan","nan","nan",101.0,3.3,10.0,"FJ02"
118,"NGC 2323",105.67,-8.38,0.37,5.4,0.3,1.0,5.92,0.22,1.0,"GR91"
0,"Tombaugh 2",105.76,-20.82,0.03,"nan","nan","nan",125.0,3.02,12.0,"FJ02"
1033,"ASCC 33",105.79,-25.05,0.9,15.0,9.0,2.0,"nan","nan","nan","nan"
119,"VDB 92, vdBergh 92",105.97,-11.53,0.2,17.5,0.29,4.0,"nan","nan","nan","nan"
0,"NGC 2324",106.03,1.04,0.09,"nan","nan","nan",41.81,0.25,8.0,"MC01"
120,"NGC 2335",106.71,-10.03,0.25,8.7,0.7,-1.0,"nan","nan","nan","nan"
125,"Alessi 21",107.7,-9.34,0.5,38.8,1.8,1.0,"nan","nan","nan","nan"
127,"NGC 2354",108.54,-25.69,0.18,"nan","nan","nan",33.4,0.27,6.0,"CM99"
128,"NGC 2353",108.63,-10.27,0.25,22.3,10.3,2.0,38.18,0.57,1.0,"GR91"
126,"Collinder 132",108.84,-30.68,0.3,28.0,3.7,1.0,26.0,2.0,3.0,"DL03"
129,"Alessi 3",109.12,-46.69,0.55,20.0,7.4,-1.0,"nan","nan","nan","nan"
0,"NGC 2355",109.24,13.75,0.06,"nan","nan","nan",35.13,0.14,9.0,"SO00"
133,"Collinder 135",109.32,-36.82,1.1,15.35,2.2,4.0,33.7,8.0,"nan","RG99"
132,"NGC 2360",109.42,-15.64,0.25,25.47,0.78,12.0,27.2,0.1,12.0,"MM90"
135,"NGC 2367",110.02,-21.88,0.17,45.33,7.01,4.0,43.02,3.72,4.0,"LJ91"
0,"Saurer 1",110.23,1.81,0.02,"nan","nan","nan",95.3,1.78,4.0,"FM06"
137,"NGC 2374",110.98,-13.26,0.27,"nan","nan","nan",27.2,0.1,"nan","RG99"
136,"Collinder 140",111.1,-31.85,0.5,22.93,0.83,3.0,19.9,3.1,4.0,"RA99"
139,"NGC 2384",111.28,-21.02,0.13,49.54,4.23,5.0,46.0,3.6,3.0,"LJ91"
0,"Melotte 66",111.6,-47.67,0.12,"nan","nan","nan",23.5,3.46,4.0,"FJ93"
140,"Trumpler 7",111.84,-23.95,0.15,32.87,2.87,3.0,32.86,2.87,3.0,"HM85"
141,"NGC 2396",112.0,-11.72,0.22,17.7,0.9,1.0,"nan","nan","nan","nan"
142,"Bochum 5",112.75,-16.93,0.22,41.0,2.0,1.0,16.0,2.5,1.0,"DL03"
143,"Bochum 4",112.9,-17.19,0.13,16.0,3.7,1.0,"nan","nan","nan","nan"
145,"NGC 2414",113.29,-15.45,0.12,65.6,1.6,2.0,73.87,0.54,3.0,"LJ91"
147,"NGC 2422",114.15,-14.48,0.51,36.72,2.92,13.0,29.4,3.7,4.0,"RA99"
148,"NGC 2423",114.27,-13.87,0.46,21.67,2.54,9.0,18.1,0.2,7.0,"MM90"
149,"Ruprecht 26",114.3,-15.65,0.2,15.0,3.7,1.0,"nan","nan","nan","nan"
150,"Melotte 71",114.37,-12.07,0.15,"nan","nan","nan",50.14,0.14,11.0,"MC97"
151,"Ruprecht 27",114.39,-26.5,0.18,10.9,1.2,-1.0,"nan","nan","nan","nan"
0,"NGC 2420",114.6,21.57,0.04,"nan","nan","nan",67.0,1.83,20.0,"FJ02"
155,"Haffner 13",115.12,-30.08,0.48,68.0,5.8,1.0,"nan","nan","nan","nan"
156,"NGC 2439",115.18,-31.69,0.18,62.7,0.04,-1.0,68.0,0.8,1.0,"RG99"
157,"NGC 2432",115.21,-19.08,0.2,14.4,1.8,1.0,14.4,"nan",1.0,"DL03"
160,"NGC 2437",115.44,-14.81,0.38,48.09,0.0,1.0,48.1,0.1,1.0,"RG99"
159,"NGC 2451A",115.8,-38.4,1.65,22.63,4.49,9.0,27.7,0.5,21.0,"HR04"
162,"NGC 2451B",116.11,-37.67,0.4,13.7,7.13,3.0,14.0,0.27,10.0,"HR04"
163,"NGC 2447",116.13,-23.86,0.32,21.31,0.67,11.0,21.7,0.2,11.0,"MM89"
164,"NGC 2448",116.14,-24.68,0.3,15.0,3.7,1.0,"nan","nan","nan","nan"
0,"Berkeley 39",116.67,-4.6,0.06,"nan","nan","nan",55.0,0.52,24.0,"FM06"
166,"Haffner 16",117.58,-25.47,0.11,65.8,3.7,1.0,"nan","nan","nan","nan"
167,"NGC 2477",118.03,-38.53,0.22,"nan","nan","nan",7.32,0.13,49.0,"EM04"
169,"NGC 2467",118.11,-26.44,0.2,55.75,9.68,4.0,65.7,11.0,"nan","RG99"
0,"Haffner 19",118.2,-26.28,0.02,"nan","nan","nan",68.0,6.0,"nan","RG99"
1043,"ASCC 43",118.27,-28.17,0.35,90.5,2.7,-1.0,"nan","nan","nan","nan"
174,"NGC 2489",119.07,-30.06,0.11,"nan","nan","nan",37.87,0.17,1.0,"MA97"
175,"NGC 2516",119.52,-60.75,0.7,20.67,1.45,23.0,24.2,0.2,57.0,"TP02"
178,"NGC 2506",120.0,-10.77,0.2,"nan","nan","nan",87.0,2.5,5.0,"FJ93"
1044,"ASCC 44",120.42,-50.57,0.4,17.8,2.8,2.0,"nan","nan","nan","nan"
179,"Ruprecht 47",120.58,-31.07,0.15,59.7,0.0,1.0,"nan","nan","nan","nan"
180,"NGC 2527",121.24,-28.15,0.5,135.1,3.0,-1.0,"nan","nan","nan","nan"
183,"NGC 2547",122.53,-49.22,0.3,14.78,1.94,9.0,14.4,1.2,5.0,"RA99"
184,"NGC 2539",122.65,-12.82,0.5,26.12,1.7,10.0,29.3,0.14,9.0,"MM89"
186,"NGC 2546",123.06,-37.6,0.61,36.0,4.1,1.0,15.68,1.19,5.0,"Ha76"
187,"Ruprecht 55",123.12,-32.58,0.2,95.33,2.57,3.0,96.2,3.0,"nan","RG99"
189,"NGC 2548",123.43,-5.75,0.73,41.5,0.3,-1.0,5.0,6.0,"nan","RG99"
190,"VDBH 23, vdBergh-Hagen 23",123.6,-36.38,0.32,17.4,0.6,2.0,24.0,8.0,5.0,"DL03"
1045,"ASCC 45",123.96,-35.65,0.2,43.0,6.0,1.0,"nan","nan","nan","nan"
0,"Pismis 2",124.47,-41.67,0.03,"nan","nan","nan",49.0,2.82,9.0,"FJ02"
192,"NGC 2567",124.63,-30.64,0.17,"nan","nan","nan",35.79,0.09,1.0,"MA97"
1047,"ASCC 47",127.95,-39.08,0.5,11.0,7.4,1.0,"nan","nan","nan","nan"
1048,"ASCC 48",128.62,-37.61,0.32,22.5,0.01,2.0,"nan","nan","nan","nan"
196,"Pismis 4",128.65,-44.42,0.4,30.0,5.0,1.0,"nan","nan","nan","nan"
198,"Ruprecht 64",129.33,-40.15,0.62,26.9,5.9,2.0,"nan","nan","nan","nan"
199,"Pismis 6",129.76,-46.23,0.15,16.76,4.0,3.0,20.8,3.0,"nan","RG99"
201,"NGC 2632",130.09,19.67,3.0,33.66,1.18,73.0,34.53,0.12,46.0,"MM99"
202,"IC 2391",130.14,-53.03,1.25,16.04,2.53,18.0,14.1,0.2,15.0,"RA99"
203,"Ruprecht 67",130.41,-43.37,0.12,"nan","nan","nan",-15.4,0.8,"nan","RG99"
204,"Mamajek 1",130.53,-79.03,0.4,15.05,1.05,2.0,16.1,0.5,"nan","Ma05"
205,"IC 2395",130.62,-48.11,0.35,13.25,9.76,4.0,0.5,2.0,"nan","RG99"
207,"Bochum 7",131.2,-45.97,0.19,"nan","nan","nan",49.0,2.63,6.0,"CN03"
0,"Collinder 197",131.22,-41.23,0.21,"nan","nan","nan",33.1,3.2,"nan","RG99"
210,"Trumpler 10",131.97,-42.45,0.75,15.0,15.0,2.0,25.0,3.5,2.0,"RA99"
1050,"ASCC 50",132.57,-41.72,0.4,17.13,8.67,3.0,"nan","nan","nan","nan"
212,"NGC 2682",132.82,11.8,0.31,32.3,1.1,33.0,33.0,1.63,25.0,"FJ02"
213,"VDBH 56, vdBergh-Hagen 56",134.28,-43.25,0.3,-18.0,0.01,2.0,"nan","nan","nan","nan"
214,"Collinder 205",135.13,-48.98,0.16,20.0,5.58,4.0,8.5,2.0,"nan","RG99"
216,"Platais 8",137.37,-59.13,3.0,17.32,3.09,5.0,"nan","nan","nan","nan"
218,"Platais 9",138.45,-43.74,3.3,17.83,1.48,3.0,"nan","nan","nan","nan"
0,"NGC 2818",139.0,-36.62,0.08,"nan","nan","nan",20.69,0.29,15.0,"MC01"
220,"IC 2488",141.91,-57.0,0.3,"nan","nan","nan",-2.63,0.06,3.0,"CP03"
1052,"ASCC 52",141.99,-54.26,0.27,14.1,0.3,1.0,"nan","nan","nan","nan"
224,"NGC 2925",143.29,-53.4,0.3,16.0,7.4,-1.0,"nan","nan","nan","nan"
223,"Turner 5",143.46,-36.62,1.65,26.2,3.7,-1.0,"nan","nan","nan","nan"
225,"Ruprecht 79",145.24,-53.85,0.2,34.89,10.31,3.0,25.2,2.22,3.0,"MM87"
228,"NGC 3033",147.15,-56.42,0.14,"nan","nan","nan",26.73,0.1,1.0,"MA97"
231,"Pismis 16",147.81,-53.17,0.1,21.0,9.0,2.0,11.0,4.4,"nan","RG99"
234,"NGC 3114",150.64,-60.12,0.45,-1.4,0.7,5.0,-3.52,0.25,19.0,"GL01"
239,"Ruprecht 161",152.19,-61.25,0.3,9.4,3.7,-1.0,"nan","nan","nan","nan"
1058,"ASCC 58",153.78,-54.97,0.4,8.0,3.7,1.0,"nan","nan","nan","nan"
243,"IC 2581",156.87,-57.62,0.18,-4.64,3.51,5.0,-6.0,7.0,"nan","RG99"
245,"Loden 143",157.23,-58.78,0.35,-0.4,9.79,2.0,"nan","nan","nan","nan"
249,"Ruprecht 90",157.75,-58.45,0.18,-40.0,4.4,1.0,"nan","nan","nan","nan"
248,"Collinder 223",158.07,-60.02,0.15,4.7,0.0,1.0,2.0,1.0,"nan","RG99"
1060,"ASCC 60",158.28,-58.48,0.12,-14.5,7.4,1.0,"nan","nan","nan","nan"
251,"Loden 153",158.67,-58.13,0.1,-10.33,2.4,3.0,"nan","nan","nan","nan"
253,"NGC 3293",158.95,-58.23,0.08,-12.29,2.26,14.0,-12.0,0.6,70.0,"ES05"
254,"NGC 3324",159.33,-58.64,0.16,-8.5,4.2,1.0,-12.0,"nan","nan","Ly87"
255,"VDBH 99, vdBergh-Hagen 99",159.48,-59.18,0.32,6.0,3.49,4.0,13.0,2.0,1.0,"DL03"
260,"Bochum 10",160.54,-59.13,0.2,-2.3,1.8,1.0,"nan","nan","nan","nan"
259,"IC 2602",160.74,-64.4,2.5,19.02,2.93,12.0,16.2,0.3,18.0,"RA99"
261,"Alessi 5",160.78,-61.17,0.3,12.8,8.8,2.0,"nan","nan","nan","nan"
262,"Collinder 228",160.99,-60.09,0.35,-13.46,3.27,24.0,-12.0,6.0,"nan","RG99"
264,"Trumpler 15",161.17,-59.37,0.08,-9.0,5.2,-1.0,-11.6,5.8,6.0,"DL03"
265,"Trumpler 16",161.29,-59.72,0.12,-25.0,1.78,1.0,-20.0,5.0,"nan","RG99"
266,"Ruprecht 91",161.91,-57.47,0.15,7.3,0.0,1.0,"nan","nan","nan","nan"
1062,"ASCC 62",162.72,-60.1,0.28,-4.05,4.95,2.0,"nan","nan","nan","nan"
268,"Ruprecht 92",163.44,-61.75,0.18,-15.6,1.8,-1.0,"nan","nan","nan","nan"
1063,"ASCC 63",163.96,-60.41,0.15,-142.0,0.01,2.0,"nan","nan","nan","nan"
272,"Bochum 12",164.35,-61.72,0.12,-3.79,0.8,-1.0,"nan","nan","nan","nan"
273,"NGC 3496",164.89,-60.34,0.15,-51.4,0.0,1.0,"nan","nan","nan","nan"
274,"Pismis 17",165.27,-59.82,0.17,61.7,0.0,1.0,"nan","nan","nan","nan"
1064,"ASCC 64",165.76,-60.92,0.18,-8.33,9.73,3.0,"nan","nan","nan","nan"
276,"NGC 3532",166.41,-58.75,0.6,-3.04,3.81,5.0,3.1,2.5,3.0,"RA99"
278,"Feinstein 1",166.48,-59.82,0.4,-13.43,8.91,3.0,1.0,"nan","nan","Ly87"
277,"Loden 306",166.53,-61.1,0.2,-33.0,4.6,1.0,"nan","nan","nan","nan"
281,"NGC 3572",167.59,-60.25,0.11,-8.47,3.34,3.0,-4.1,1.7,"nan","RG99"
1065,"ASCC 65",167.77,-61.12,0.22,-13.4,3.52,5.0,"nan","nan","nan","nan"
283,"Trumpler 18",167.86,-60.67,0.16,-20.0,7.4,1.0,-20.0,"nan",1.0,"DL03"
284,"NGC 3590",168.24,-60.79,0.17,-7.33,6.44,3.0,-1.0,30.0,"nan","RG99"
285,"Stock 13",168.27,-58.88,0.23,1.0,7.4,1.0,"nan","nan","nan","nan"
286,"IC 2714",169.36,-62.73,0.17,"nan","nan","nan",-14.1,0.3,8.0,"CM94"
287,"NGC 3680",171.4,-43.24,0.21,"nan","nan","nan",8.0,3.67,7.0,"FJ02"
288,"Ruprecht 94",172.65,-63.43,0.25,2.0,1.8,1.0,"nan","nan","nan","nan"
291,"Loden 402",173.22,-60.72,0.15,-3.0,7.4,-1.0,"nan","nan","nan","nan"
294,"VDBH 121, vdBergh-Hagen 121",174.52,-63.33,0.25,-3.76,2.49,21.0,"nan","nan","nan","nan"
292,"IC 2944",174.58,-63.37,0.24,"nan","nan","nan",-0.9,6.0,"nan","RG99"
295,"IC 2948",174.84,-63.47,0.08,0.0,2.79,5.0,"nan","nan","nan","nan"
1067,"ASCC 67",175.38,-61.02,0.2,-18.6,7.6,2.0,"nan","nan","nan","nan"
