"Ncl","Name","RAdeg","DEJ2000","Radcl","RV","e_RV","n_RV","RVl","e_RVl","n_RVl","r_RVl"
391,"NGC 6268",255.54,-39.73,0.14,"nan","nan","nan",-15.11,0.08,3.0,"CM06"
392,"NGC 6281",256.17,-37.99,0.45,-15.43,0.0,1.0,"nan","nan","nan","nan"
1088,"ASCC 88",256.69,-35.6,0.55,1.75,1.75,2.0,"nan","nan","nan","nan"
395,"NGC 6322",259.6,-42.93,0.12,-57.0,35.9,1.0,"nan","nan","nan","nan"
396,"VDBH 221, vdBergh-Hagen 221",259.66,-32.32,0.23,6.33,3.84,3.0,"nan","nan","nan","nan"
1089,"ASCC 89",260.82,-62.64,1.1,12.3,8.3,2.0,"nan","nan","nan","nan"
397,"IC 4651",261.21,-49.93,0.18,"nan","nan","nan",-31.0,0.2,14.0,"MA95"
399,"Antalova 1",262.23,-31.55,0.22,33.0,40.6,1.0,"nan","nan","nan","nan"
402,"NGC 6383",263.7,-32.57,0.25,2.67,2.17,3.0,6.8,7.0,"nan","RG99"
0,"NGC 6396",264.4,-35.03,0.03,"nan","nan","nan",-29.0,2.5,"nan","RG99"
0,"Ruprecht 127",264.46,-36.3,0.04,"nan","nan","nan",-29.9,4.0,"nan","RG99"
0,"Mamajek 2",264.49,-8.11,0.08,"nan","nan","nan",-18.5,2.0,10.0,"Ma05"
410,"Alessi 9",265.6,-47.01,1.4,-11.6,1.2,1.0,"nan","nan","nan","nan"
412,"IC 4665",266.58,5.72,1.0,-10.26,1.8,17.0,-13.0,3.0,"nan","RG99"
414,"Collinder 350",267.03,1.3,0.55,-14.38,0.2,1.0,"nan","nan","nan","nan"
0,"NGC 6451",267.67,-30.21,0.06,"nan","nan","nan",-23.0,8.9,1.0,"DL03"
420,"NGC 6475",268.45,-34.79,1.2,-14.21,1.39,31.0,-14.7,0.2,40.0,"RA99"
422,"NGC 6494",269.26,-18.99,0.58,"nan","nan","nan",-8.6,0.4,"nan","RG99"
423,"Collinder 359",270.27,2.9,1.1,-4.57,0.19,3.0,-4.4,0.4,2.0,"DL03"
425,"NGC 6514",270.67,-22.97,0.23,-2.13,1.62,3.0,0.8,1.3,1.0,"KM99"
426,"NGC 6520",270.85,-27.89,0.11,-26.0,2.65,3.0,-27.6,0.9,5.0,"DL03"
427,"NGC 6531",271.05,-22.49,0.3,-14.71,5.12,9.0,-16.0,6.0,"nan","RG99"
428,"NGC 6530",271.12,-24.36,0.25,-6.49,8.67,10.0,-8.3,1.0,1.0,"So87"
429,"NGC 6546",271.84,-23.3,0.2,-16.67,15.77,3.0,"nan","nan","nan","nan"
1093,"ASCC 93",272.05,-22.26,0.27,-23.33,6.36,3.0,"nan","nan","nan","nan"
