"Cluster","RAdeg","DEdeg","r50","N","pmRA","e_pmRA","pmDE","e_pmDE","RVel","e_RVel","NRVel","plx","e_plx","Dist","e_Dist","Age","e_Age","[Fe/H]","e_[Fe/H]","AV","e_AV"
"Dias_80",293.0842,8.7567,0.08,61,-2.574,0.231,-5.095,0.246,-5.829,3.962,"3",0.133,0.051,6992,950,9.597,0.116,0.204,0.093,1.439,0.12
"Dias_81",329.0796,52.9771,0.087,52,-2.577,0.17,-2.562,0.166,-78.046,1.8,"3",0.174,0.038,3708,237,8.835,0.44,-0.147,0.047,2.177,0.135
"Dias_82",336.7383,57.6219,0.096,62,-2.768,0.231,-2.082,0.221,-104.873,3.217,"2",0.202,0.035,3396,189,8.768,0.41,-0.119,0.023,2.236,0.138
"Dias_83",119.7488,-28.7362,0.079,32,-1.482,0.176,1.929,0.16,"nan","nan","nan",0.183,0.064,3662,160,8.193,0.28,-0.156,0.044,1.719,0.121
"Dias_84",120.5942,-38.9268,0.077,33,-1.748,0.137,2.908,0.194,"nan","nan","nan",0.108,0.038,6424,1650,8.973,0.168,-0.27,0.153,2.197,0.102
"Dias_85",124.0716,-36.4386,0.043,39,-2.493,0.218,2.861,0.282,"nan","nan","nan",0.226,0.049,3258,239,7.221,0.224,-0.072,0.042,1.904,0.111
"Dias_86",150.9768,-61.7506,0.032,37,-3.545,0.225,2.548,0.177,"nan","nan","nan",0.066,0.032,12064,1461,8.946,0.117,-0.15,0.083,0.812,0.144
"Dias_87",272.1665,-21.1226,0.044,32,-0.26,0.125,-1.858,0.162,"nan","nan","nan",0.282,0.042,3190,263,6.855,0.089,0.189,0.13,3.34,0.127
"Dias_88",294.2267,18.1883,0.044,42,-2.87,0.083,-5.917,0.227,11.491,4.494,"3",0.206,0.079,3988,551,6.839,0.13,0.173,0.063,3.445,0.105
"Dias_89",102.5617,5.2091,0.129,41,-0.176,0.147,-0.153,0.132,"nan","nan","nan",0.19,0.058,3540,993,8.939,0.165,-0.198,0.105,1.298,0.32
"Dias_90",106.2797,-8.8224,0.108,79,-0.632,0.147,0.966,0.243,"nan","nan","nan",0.162,0.049,5888,391,8.945,0.112,-0.109,0.054,1.88,0.061
"Dias_91",115.0204,-25.2613,0.135,42,-1.316,0.102,2.213,0.17,"nan","nan","nan",0.168,0.035,4172,660,8.578,0.809,-0.213,0.056,1.492,0.293
"Dias_92",122.1495,-27.5945,0.119,94,-2.046,0.222,2.355,0.294,97.572,1.773,"5",0.173,0.036,4616,306,8.774,0.046,-0.036,0.051,0.926,0.042
"Dias_93",140.4706,-49.9516,0.045,45,-3.956,0.219,3.365,0.233,47.165,0.687,"2",0.192,0.053,5148,409,8.797,0.062,-0.038,0.072,3.517,0.075
"Dias_94",151.0869,-60.8923,0.022,33,-5.243,0.147,3.579,0.201,"nan","nan","nan",0.173,0.04,5788,954,9.013,0.158,0.092,0.089,1.067,0.242
"Dias_95",154.899,-60.7229,0.059,30,-7.347,0.11,3.224,0.128,"nan","nan","nan",0.338,0.027,3074,156,6.829,0.03,0.044,0.057,0.946,0.035
"Dias_96",168.4305,-60.0861,0.041,33,-5.903,0.215,1.997,0.107,"nan","nan","nan",0.216,0.042,4232,647,8.188,0.518,0.033,0.035,2.288,0.135
"Dias_97",199.3482,-63.6124,0.039,32,-6.245,0.218,-1.318,0.152,"nan","nan","nan",0.222,0.037,3302,473,6.971,0.182,0.158,0.062,2.536,0.117
"Dias_98",202.3253,-62.8308,0.027,30,-4.414,0.152,-2.112,0.167,"nan","nan","nan",0.415,0.041,2228,145,8.092,0.493,0.089,0.09,2.461,0.158
"Dias_99",242.2085,-53.8597,0.055,31,-2.505,0.238,-3.092,0.156,"nan","nan","nan",0.344,0.033,2708,268,7.082,0.147,0.173,0.13,1.891,0.103
"Dias_100",345.253,56.8836,0.07,97,-2.302,0.297,-1.424,0.238,-90.999,0.915,"5",0.166,0.049,6296,910,8.811,0.085,-0.037,0.12,2.168,0.113
"Dias_101",356.1266,62.9867,0.052,61,-3.657,0.18,-1.172,0.114,"nan","nan","nan",0.315,0.055,2948,193,7.089,0.546,-0.117,0.053,2.714,0.095
"Dias_102",359.5653,59.4706,0.065,45,-1.606,0.236,-0.816,0.145,"nan","nan","nan",0.166,0.054,5772,920,8.847,0.132,-0.181,0.05,2.675,0.165
"Dias_103",4.1331,63.7832,0.042,31,-1.904,0.163,-0.548,0.224,"nan","nan","nan",0.209,0.041,3340,754,8.205,0.434,-0.117,0.172,2.155,0.165
"Dias_104",5.1832,63.7307,0.065,70,-1.761,0.217,-0.461,0.194,"nan","nan","nan",0.21,0.06,3908,143,7.066,0.055,-0.086,0.054,2.689,0.117
"Dias_105",17.9705,59.5348,0.103,83,-1.014,0.223,-0.497,0.173,"nan","nan","nan",0.169,0.051,3568,311,8.8,0.391,-0.251,0.073,1.939,0.261
"Dias_106",25.0102,59.582,0.051,37,-0.88,0.148,-0.231,0.191,"nan","nan","nan",0.193,0.074,5232,893,9.492,0.082,-0.139,0.115,1.885,0.119
"Dias_107",30.1057,59.4986,0.069,53,-0.671,0.192,-0.293,0.138,-79.039,2.207,"3",0.191,0.042,3768,309,8.558,0.193,-0.1,0.11,2.023,0.059
"Dias_108",73.0274,44.5698,0.09,61,0.491,0.176,-1.192,0.189,2.083,1.073,"3",0.223,0.063,3054,208,7.846,0.236,-0.305,0.034,2.234,0.088
"Dias_109",81.7087,34.1007,0.065,50,0.7,0.313,-1.707,0.199,51.113,2.575,"2",0.259,0.061,3712,957,8.892,0.153,-0.155,0.17,2.34,0.13
"Dias_110",116.6621,-26.3612,0.073,37,-1.698,0.269,2.427,0.314,"nan","nan","nan",0.21,0.041,3672,180,8.29,0.572,-0.086,0.07,0.954,0.116
"Dias_111",248.9346,-48.5337,0.077,34,-2.777,0.164,-4.305,0.126,"nan","nan","nan",0.354,0.043,2452,183,7.151,0.164,0.202,0.103,2.923,0.194
"Dias_112",182.0237,-63.5789,0.038,33,-6.246,0.22,0.877,0.062,"nan","nan","nan",0.164,0.024,5456,548,6.938,0.87,0.026,0.084,2.89,0.226
"Dias_113",272.8714,-22.225,0.041,40,-0.075,0.209,-1.893,0.245,-3.242,1.94,"2",0.323,0.04,2612,362,8.668,0.432,0.262,0.077,2.106,0.226
"Dias_114",86.4294,21.3402,0.136,82,0.405,0.148,-0.501,0.217,46.891,0.882,"5",0.148,0.051,5224,904,8.812,0.16,-0.202,0.131,1.812,0.16
"Dias_115",96.1127,22.9064,0.078,50,0.188,0.223,-1.436,0.32,52.805,2.054,"2",0.258,0.065,3070,654,8.815,0.184,-0.107,0.076,2.123,0.187
"Dias_116",111.5902,-8.7855,0.136,72,-1.099,0.129,0.788,0.257,75.962,5.424,"5",0.18,0.04,4576,600,9.021,0.109,-0.1,0.072,0.658,0.099
"Dias_117",130.5236,-46.489,0.049,72,-3.135,0.179,3.597,0.29,"nan","nan","nan",0.202,0.042,3856,811,8.798,0.799,-0.095,0.032,1.787,0.305
"Dias_118",178.4563,-61.1173,0.044,49,-6.194,0.208,1.029,0.148,26.443,2.263,"2",0.14,0.035,7744,1557,8.803,0.106,0.13,0.087,2.637,0.137
"Dias_119",187.1111,-64.9309,0.041,68,-6.412,0.308,0.166,0.123,"nan","nan","nan",0.154,0.044,6024,771,8.825,0.083,0.189,0.105,2.555,0.084
"Dias_120",191.9642,-65.2234,0.059,88,-6.349,0.371,-0.257,0.095,-10.817,2.352,"7",0.154,0.04,4292,1363,9.549,0.232,0.055,0.069,2.408,0.134
"Dias_121",200.707,-60.1064,0.092,40,-5.961,0.236,-1.274,0.252,"nan","nan","nan",0.283,0.036,3196,266,7.333,0.118,0.1,0.031,1.416,0.147
"Dias_122",243.7032,-50.2227,0.058,47,-2.022,0.229,-2.836,0.251,-51.112,2.355,"6",0.415,0.056,2660,436,6.924,0.244,0.103,0.104,3.156,0.121
"Dias_123",248.8607,-49.8708,0.025,40,-2.022,0.143,-3.109,0.139,"nan","nan","nan",0.407,0.068,2248,140,7.199,0.091,0.151,0.025,3.448,0.043
"Dias_124",278.7573,-13.8598,0.041,34,-0.174,0.2,-2.11,0.277,-2.9,1.729,"3",0.232,0.041,5540,914,9.185,0.192,0.299,0.119,2.095,0.138
"Dias_125",281.6787,-8.1739,0.044,38,-1.218,0.199,-2.763,0.289,31.986,0.819,"3",0.324,0.056,3210,464,9.5,0.217,0.385,0.126,1.409,0.331
"Dias_126",300.2838,29.7923,0.031,34,-3.216,0.101,-5.184,0.11,"nan","nan","nan",0.154,0.034,4872,1128,6.797,0.769,0.051,0.11,3.813,0.155
"Dias_127",359.1809,56.222,0.071,39,-1.858,0.239,-0.777,0.224,-84.751,3.23,"5",0.174,0.061,5144,456,9.262,0.223,-0.039,0.089,1.14,0.165
"Dias_128",359.4711,56.6986,0.058,51,-1.747,0.252,-1.012,0.216,-84.467,2.923,"2",0.199,0.057,3936,144,9.782,0.121,-0.047,0.041,0.795,0.064
"Dias_129",98.7317,8.6756,0.105,50,-0.013,0.224,-0.308,0.321,75.741,2.406,"3",0.194,0.058,3096,769,8.739,0.352,-0.301,0.108,1.891,0.137
"Dias_130",301.5937,40.0645,0.072,34,-2.947,0.174,-4.747,0.207,-28.09,1.176,"2",0.159,0.035,5496,769,8.956,0.282,0.022,0.127,1.927,0.123
"Dias_131",88.7709,31.0638,0.082,57,0.234,0.241,-1.769,0.233,38.303,4.283,"3",0.267,0.049,2612,131,9.026,0.252,-0.153,0.05,0.908,0.103
"Dias_132",90.0281,30.1643,0.187,59,0.41,0.193,-1.184,0.352,"nan","nan","nan",0.191,0.042,3992,506,9.059,0.141,-0.179,0.081,1.34,0.058
"Dias_133",105.3997,-5.5378,0.079,53,-0.55,0.194,0.68,0.257,65.664,5.21,"3",0.197,0.058,3596,1512,9.124,0.227,-0.263,0.099,2.035,0.285
