"Cluster","RAdeg","DEdeg","r50","N","pmRA","e_pmRA","pmDE","e_pmDE","RVel","e_RVel","NRVel","plx","e_plx","Dist","e_Dist","Age","e_Age","[Fe/H]","e_[Fe/H]","AV","e_AV"
"Pickard_247",167.6525,-61.1985,0.026,31,-5.752,0.102,2.042,0.117,"nan","nan","nan",0.104,0.027,8640,1833,7.101,0.207,0.025,0.137,3.177,0.08
"Pickard_87",37.221,57.279,0.106,50,-0.374,0.088,-1.118,0.083,"nan","nan","nan",0.406,0.031,2204,132,7.206,0.239,-0.034,0.056,1.783,0.064
"Pickard_101",27.5523,61.4618,0.085,44,-1.001,0.178,-0.322,0.102,"nan","nan","nan",0.326,0.035,2464,206,7.815,0.283,0.013,0.132,2.083,0.179
"Teutsch_159",335.1484,53.8193,0.051,44,-2.267,0.18,-1.866,0.15,-83.44,3.794,"3",0.114,0.036,5884,1039,9.206,0.483,-0.221,0.063,1.497,0.144
"Pickard_97",11.0902,64.7485,0.109,129,-2.005,0.316,-0.199,0.139,-59.893,0.77,"4",0.238,0.051,3070,232,7.108,0.124,-0.109,0.057,2.295,0.074
"Pickard_98",14.5949,63.0489,0.141,118,-1.476,0.243,-0.302,0.145,"nan","nan","nan",0.223,0.042,2982,83,7.838,0.298,-0.112,0.043,2.392,0.076
"Alessi_408",260.7701,-38.5256,0.048,33,-0.36,0.222,-2.222,0.304,"nan","nan","nan",0.44,0.053,2072,86,6.97,0.127,0.182,0.072,2.052,0.136
"Pickard_244",159.0372,-60.152,0.059,39,-5.67,0.09,2.718,0.063,"nan","nan","nan",0.191,0.032,4780,407,6.854,0.069,-0.029,0.071,2.03,0.062
"Pickard_246",159.4298,-59.7727,0.05,30,-5.692,0.1,2.595,0.079,"nan","nan","nan",0.182,0.033,4748,1077,7.031,0.375,0.065,0.086,2.326,0.14
"Pickard_259",202.6173,-63.1701,0.035,37,-6.727,0.16,-1.425,0.118,"nan","nan","nan",0.16,0.041,4540,620,6.93,0.979,0.127,0.115,3.233,0.162
"Teutsch_71",172.4098,-60.4229,0.035,37,-5.915,0.218,1.486,0.107,31.127,3.36,"2",0.119,0.038,9064,2274,8.819,0.082,0.008,0.137,2.315,0.135
"Teutsch_136",92.9813,20.6842,0.041,54,-0.263,0.144,-2.349,0.224,"nan","nan","nan",0.511,0.078,1865,112,6.768,0.08,-0.154,0.121,1.74,0.108
"Teutsch_267",276.5288,-13.962,0.017,46,0.375,0.141,-2.015,0.14,37.265,0.892,"2",0.348,0.053,2728,70,8.16,0.183,0.188,0.017,2.535,0.075
"Teutsch_346",130.1239,-45.7462,0.058,93,-3.13,0.19,3.652,0.272,"nan","nan","nan",0.176,0.041,4944,736,6.916,0.786,-0.142,0.086,2.74,0.077
"Slizhevsky_249",201.9226,-63.2609,0.031,41,-7.083,0.099,-1.434,0.062,"nan","nan","nan",0.194,0.026,4820,1057,7.132,0.556,0.088,0.076,2.316,0.133
"Mamajek_13",40.1435,61.1873,0.086,37,-0.439,0.138,-0.274,0.099,"nan","nan","nan",0.428,0.049,2316,87,6.739,0.103,-0.072,0.081,2.371,0.052
"Teutsch_55",37.2825,62.099,0.031,48,-1.009,0.257,-0.068,0.286,-55.019,9.743,"2",0.32,0.106,1861,947,7.439,0.844,-0.108,0.168,2.009,0.404
"Teutsch_334",41.0496,56.6634,0.044,32,-0.021,0.236,-1.186,0.309,"nan","nan","nan",0.37,0.074,2702,143,7.061,0.124,-0.119,0.114,2.168,0.068
"Alessi_257",192.3364,-61.5131,0.027,40,-7.285,0.195,-0.513,0.18,-17.391,0.754,"4",0.332,0.055,2822,327,8.116,0.682,0.136,0.08,3.449,0.09
"Kronberger_12",93.5633,22.4975,0.033,67,-0.102,0.188,-1.249,0.204,28.844,0.58,"2",0.268,0.07,3108,820,8.317,0.784,-0.222,0.081,2.446,0.286
"Pickard_260",203.3113,-63.0658,0.041,67,-6.619,0.144,-1.603,0.089,-46.327,1.441,"5",0.236,0.043,3786,326,7.049,0.592,0.134,0.109,3.312,0.182
"Pickard_102",29.749,61.5863,0.091,53,-1.033,0.117,-0.243,0.152,"nan","nan","nan",0.278,0.054,3432,352,7.559,0.438,-0.084,0.1,2.424,0.408
"Alessi_250",275.7494,-13.1483,0.034,30,0.349,0.148,-1.598,0.129,"nan","nan","nan",0.53,0.048,1720,89,7.066,0.101,0.177,0.093,2.809,0.098
"Pickard_182",91.7607,21.7569,0.16,83,-0.011,0.159,-1.387,0.179,47.932,4.267,"3",0.262,0.076,3316,408,7.033,0.541,-0.206,0.043,2.545,0.233
"Pickard_221",130.5612,-47.0913,0.037,47,-3.217,0.255,3.622,0.159,"nan","nan","nan",0.174,0.049,3696,242,7.759,0.353,-0.074,0.036,1.766,0.091
"Pickard_86",31.6821,64.4352,0.098,42,-1.039,0.234,0.321,0.224,-41.643,0.598,"4",0.144,0.051,5696,331,9.019,0.231,-0.26,0.112,2.399,0.066
"Alessi_283",105.971,-25.1063,0.291,98,-3.478,0.208,3.44,0.168,33.582,5.571,"19",1.285,0.098,739,20,7.44,0.06,-0.047,0.026,0.195,0.056
"Pickard_153",111.0782,-30.6381,0.078,41,-0.729,0.097,1.612,0.116,109.595,2.503,"3",0.092,0.024,9520,665,8.963,0.103,-0.298,0.076,0.669,0.156
"Teutsch_64",127.9043,-41.768,0.056,133,-2.916,0.224,3.569,0.219,94.46,2.085,"3",0.156,0.041,3788,211,8.25,0.51,-0.145,0.072,2.663,0.09
"Karhula_3",22.0184,63.2514,0.049,37,-1.593,0.188,-0.184,0.101,"nan","nan","nan",0.248,0.042,3568,673,7.022,0.732,-0.17,0.122,2.299,0.451
