"NGC","m_NGC","Type","RA1975","DE1975","Xpos","Ypos","Mag","r_Mag","OldDesc","NewDesc","Notes","RA_deg","DEC_deg"
NGC_2477,"nan",1,"07 51.4","-38 29",262.0,56.0,5.5,5.0,"CL,B,RI,L,LC,*12","nan","O,R",118.0725,-38.54861
NGC_2479,"nan",1,"07 53.9","-17 39",12.0,207.0,"nan","nan","CL,PL,PRI,PC,ST S","nan","O,R",118.75667,-17.71667
NGC_2482,"nan",1,"07 53.9","-24 14",146.0,176.0,8.5,5.0,"CL,L,CRI,VLC","nan","O,R",118.74042,-24.3
NGC_2483,"nan",1,"07 55.0","-27 52",137.0,305.0,"nan","nan","CL,L,LC","nan","nan",119.00583,-27.93389
NGC_2489,"nan",1,"07 55.2","-30 00",132.0,188.0,9.5,5.0,"CL,PL,CRI,PC,*11..13","nan","O,R",119.05,-30.06722
NGC_2506,"nan",1,"07 58.9","-10 43",262.0,260.0,8.5,5.0,"CL,PL,VRI,C,*11...20","nan","O,R",120.0225,-10.78611
NGC_2509,"nan",1,"07 59.6","-19 00",244.0,140.0,9.5,5.0,"CL,B,PRI,LC,ST S","nan","O,R",120.17875,-19.06972
NGC_2516,"nan",1,"07 57.8","-60 48","nan","nan",3.5,5.0,"CL,VB,VL,PRI,*7...13","nan","O,R",119.55333,-60.86861
NGC_2527,"nan",1,"08 04.2","-28 05",29.0,290.0,8.0,5.0,"CL,VL,PRI,LC,*10..15","nan","O,R",121.30667,-28.15528
NGC_2533,"nan",1,"08 06.0","-29 49",7.0,195.0,10.0,5.0,"CL,PL,RI,C,*9,13..14","nan","O,R",121.7525,-29.88972
NGC_2539,"nan",1,"08 09.6","-12 45",124.0,151.0,8.0,5.0,"CL,VL,RI,LC,*11...13","nan","O,R",122.69375,-12.825
NGC_2546,"nan",1,"08 11.5","-37 34",43.0,109.0,5.0,5.0,"CL,B,L,LC,IE,*9...12","nan","O,R",123.10542,-37.6425
NGC_2547,"nan",1,"08 09.9","-49 11","nan","nan",5.0,5.0,"CL,B,L,LC,ST7...16","nan","O,R",122.65958,-49.25833
NGC_2548,"nan",1,"08 12.4","-05 43",86.0,210.0,5.5,5.0,"CL,VL,PRI,PMC,*9..13","nan","O,R,M48",123.40875,-5.79306
NGC_2567,"nan",1,"08 17.6","-30 34",177.0,157.0,8.5,5.0,"CL,PL,PRI,LC,IR,*11.","nan","O,R",124.6525,-30.64556
NGC_2568,"nan",1,"08 17.1","-37 01",285.0,140.0,"nan","nan","VF,PL,F*INV","nan","nan",124.50875,-37.09528
NGC_2571,"nan",1,"08 17.9","-29 40",173.0,205.0,7.5,5.0,"CL,VL,CRI,LC,ST9...","nan","O,R",124.73,-29.74583
NGC_2579,"nan",6,"08 20.1","-36 06",259.0,188.0,9.0,5.0,"D*IN PSNEB,AM70*","nan",",HO,R",125.26208,-36.18028
NGC_2580,"nan",1,"08 20.6","-30 15",143.0,176.0,9.5,5.0,"CL,CL,PRI,PC,R,ST12","nan","O,R",125.40417,-30.33028
NGC_2587,"nan",1,"08 22.3","-29 25",121.0,219.0,9.0,5.0,"CL,PMCM,IF,ST9...13","nan","O,R",125.83167,-29.49778
NGC_2588,"nan",1,"08 22.2","-32 54",124.0,32.0,12.0,5.0,"CL,F,S,R,GBM,ST 15","nan","O,R",125.79708,-32.98111
NGC_2627,"nan",1,"08 36.2","-29 51",264.0,200.0,8.5,5.0,"CL,CL,PRI,PC,*11..13","nan","O,R",129.30833,-29.93806
NGC_2632,"nan",1,"08 38.6","+20 05",70.0,304.0,4.0,5.0,"PRAESEPE CANCRI","nan","O,R,M44",130.00958,19.99417
NGC_2635,"nan",1,"08 37.5","-34 40",68.0,266.0,10.0,5.0,"CL,PMC,IRR TRI,ST13.","nan","O,R",129.62083,-34.75528
NGC_2658,"nan",1,"08 42.4","-32 34",190.0,55.0,9.0,5.0,"CL,PS,LRI,LC,IF,ST12","nan","O,R",130.85292,-32.6575
NGC_2659,"nan",1,"08 41.8","-44 51",95.0,40.0,9.5,5.0,"CL,L,RI,PME,ST11..14","nan","O,R",130.665,-44.94056
NGC_2660,"nan",1,"08 41.4","-47 03","nan","nan",11.0,5.0,"CL,PS,MC,IR,GBM,*13.","nan","O,R",130.55625,-47.14028
NGC_2669,"nan",1,"08 44.1","-52 52","nan","nan","nan","nan","CL,L,P,LC,*10...13","nan","O,R",131.20667,-52.95833
NGC_2670,"nan",1,"08 44.7","-48 41","nan","nan",9.5,5.0,"CL,PL,P,LC,ST13...","nan","O,R",131.37625,-48.77528
NGC_2671,"nan",1,"08 45.3","-41 48",57.0,205.0,11.5,5.0,"CL,PRI,LCM,ST12...13","nan","O,R",131.55208,-41.89222
NGC_2682,"nan",1,"08 49.7","+11 54",232.0,192.0,7.5,5.0,"CL,VB,VL,ERI,LC,*10.","nan","O,R,M67",132.76708,11.80583
NGC_2818,"nan",1,"09 15.0","-36 30",271.0,171.0,10.0,5.0,"PLN,PB,PL,R,VGLBM,IN L CL","nan","O,R,9",139.0025,-36.605
NGC_2849,"nan",1,"09 18.3","-40 25",25.0,281.0,"nan","nan","EF,CL,R,VGLBM,RR","nan","O,R",139.81875,-40.52278
NGC_2910,"nan",1,"09 29.2","-52 48","nan","nan",8.5,5.0,"CL,CL,PRI,PC,*10..14","nan","O,R",142.50833,-52.91028
NGC_2925,"nan",1,"09 32.7","-53 20","nan","nan",8.5,5.0,"CL,PRI,PC,D*TAKEN","nan","O,R",143.38333,-53.445
NGC_2972,"nan",1,"09 39.4","-50 13","nan","nan",10.0,5.0,"CL,S,LRI,PC,ST 13","nan","O,R",145.07417,-50.33056
NGC_3033,"nan",1,"09 47.9","-56 18","nan","nan",8.5,5.0,"CL,PL,PRI,IF,*11..12","nan","O,R",147.18167,-56.41694
NGC_3105,"nan",1,"09 59.8","-54 39","nan","nan",11.0,5.0,"CL,C,LE,ST13...16","nan","O,R",150.17208,-54.77056
NGC_3114,"nan",1,"10 01.9","-60 00","nan","nan",4.5,5.0,"CL,EL,LC,B,*9...14","nan","O,R",150.67667,-60.12139
NGC_3228,"nan",1,"10 20.7","-51 36","nan","nan",6.5,5.0,"CL,9L&A FEW S ST","nan","O,R",155.42167,-51.72639
NGC_3247,"nan",1,"10 25.0","-57 49","nan","nan",9.5,5.0,"ST INV IN NEB","nan","O,R",156.48167,-57.94417
NGC_3255,"nan",1,"10 25.6","-60 33","nan","nan",12.5,5.0,"CL,PS,VC,ST15","nan","O,R",156.62208,-60.67778
NGC_3293,"nan",1,"10 34.9","-58 06","nan","nan",7.5,5.0,"CL,B,RI,PL","nan",",HO,R",158.96458,-58.23
NGC_3330,"nan",1,"10 37.6","-54 01","nan","nan",8.5,5.0,"CL,P,ST9...","nan","O,R",159.65333,-54.14722
NGC_3496,"nan",1,"10 58.8","-60 12","nan","nan",9.0,5.0,"CL,PL,PRI,LC,ST13","nan","O,R",164.95667,-60.33444
NGC_3532,"nan",1,"11 05.4","-58 32","nan","nan",3.5,5.0,"CL,EL,R,LC,ST8...12","nan","O,R",166.61708,-58.66861
NGC_3572,"nan",1,"11 09.4","-60 06","nan","nan",9.0,5.0,"CL,PRI,LC","nan","O,R",167.61792,-60.23583
NGC_3590,"nan",1,"11 11.9","-60 39","nan","nan",8.0,5.0,"CL,PRI,C,E","nan","O,R",168.24417,-60.78639
NGC_3603,"nan",1,"11 14.0","-61 07","nan","nan",10.5,5.0,"GCL&NEB,ST15...18","nan","O,R,G",168.77042,-61.25333
NGC_3680,"nan",1,"11 24.5","-43 06",275.0,146.0,8.5,5.0,"CL,CL,PRI,LC,*10..14","nan","O,R",171.42583,-43.23778
NGC_3766,"nan",1,"11 35.0","-61 28","nan","nan",4.5,5.0,"CL,PL,PRI,PC,*8...13","nan","O,R",174.04333,-61.60528
NGC_3960,"nan",1,"11 49.6","-55 33","nan","nan",9.0,5.0,"CL,PL,PRI,GPMBM,ST13","nan","O,R",177.71167,-55.68917
NGC_4052,"nan",1,"12 00.6","-63 03","nan","nan",9.0,5.0,"CL,PRI,LC","nan","O,R",180.47208,-63.18917
NGC_4103,"nan",1,"12 05.4","-61 06","nan","nan",7.5,5.0,"CL,PL,PC,IR,*10...14","nan","O,R",181.67708,-61.23917
NGC_4230,"nan",1,"12 15.9","-54 59","nan","nan",9.5,5.0,"CL,F,PL,IF,*13...15","nan","O,R",184.31,-55.12222
NGC_4337,"nan",1,"12 22.6","-57 58","nan","nan",10.0,5.0,"CL,PRI,LC,*12...14","nan","O,R",185.99333,-58.10528
NGC_4349,"nan",1,"12 22.8","-61 45","nan","nan",8.0,5.0,"CL,VB,VL,LC,*12...14","nan","O,R",186.04708,-61.88861
NGC_4439,"nan",1,"12 26.8","-59 57","nan","nan",8.5,5.0,"CL,S,ST11...12","nan","O,R",187.04958,-60.08833
NGC_4463,"nan",1,"12 28.5","-64 38","nan","nan",8.0,5.0,"CL,P,VLC","nan","O,R",187.48292,-64.77139
NGC_4609,"nan",1,"12 40.9","-62 50","nan","nan",9.0,5.0,"CL,PL,PC,CE,ST10","nan","O,R",190.59458,-62.97028
NGC_4755,"nan",1,"12 52.1","-60 13","nan","nan",5.0,5.0,"CL,VL,STVB,KAPPACRUC","nan","O,R",193.40125,-60.35222
NGC_4815,"nan",1,"12 56.5","-64 49","nan","nan",10.5,5.0,"CL,PL,PRI,IF,*10..18","nan","O,R",194.51917,-64.95167
NGC_4852,"nan",1,"12 58.6","-59 28","nan","nan",9.0,5.0,"CL,L,PRI,IR,ST10","nan","O,R",195.03125,-59.60139
NGC_5138,"nan",1,"13 25.7","-58 53","nan","nan",10.0,5.0,"CL,RI,LC,ST11","nan","O,R",201.83083,-59.01278
NGC_5168,"nan",1,"13 29.6","-60 49","nan","nan",11.5,5.0,"CL,VF,S,VRI,ST15","nan","O,R",202.81667,-60.94528
NGC_5281,"nan",1,"13 44.9","-62 47","nan","nan",8.0,5.0,"CL,B,S,PC,IR,*10..12","nan","O,R",206.66625,-62.90806
NGC_5288,"nan",1,"13 46.9","-64 33","nan","nan",12.0,5.0,"CL,S,C,IR,ST14","nan","O,R",207.17833,-64.67417
NGC_5316,"nan",1,"13 52.2","-61 44","nan","nan",9.0,5.0,"CL,PL,PC,ST11","nan","O,R",208.49333,-61.85611
NGC_5381,"nan",1,"13 58.8","-59 26","nan","nan","nan","nan","CL,RI,VC,PL,*11...12","OUBTFUL R","nan",210.13833,-59.55417
