"NGC","m_NGC","Type","RA1975","DE1975","Xpos","Ypos","Mag","r_Mag","OldDesc","NewDesc","Notes","RA_deg","DEC_deg"
NGC_6611,"nan",6,"18 17.4","-13 47",33.0,72.0,6.5,5.0,"CL,ATLEAST100* L&S","nan",",LY,HO,SH,M16,G",274.70458,-13.77222
NGC_6613,"nan",1,"18 18.5","-17 08",33.0,222.0,8.0,5.0,"CL,P,VLC","nan","O,R,M18",274.98833,-17.12167
NGC_6618,"nan",6,"18 19.3","-16 11",24.0,270.0,7.0,5.0,"B,EL,EIF,2HOOKED","nan",",LY,HO,M17,G",275.18583,-16.17111
NGC_6631,"nan",1,"18 25.8","-12 04",236.0,167.0,11.5,5.0,"CL,PL,PRI,ST12...15","nan","O,R",276.8,-12.05056
NGC_6633,"nan",1,"18 26.3","+06 33",225.0,197.0,5.5,5.0,"CL,LC,ST L","nan","O,R",276.87958,6.56639
NGC_6639,"nan",1,"18 28.7","-13 13",198.0,106.0,"nan","nan","CL,IN MILKY WAY","nan","nan",277.52792,-13.19889
NGC_6645,"nan",1,"18 31.1","-16 55",168.0,230.0,8.5,5.0,"CL,PL,VRI,PC,ST11.15","nan","O,R",278.1375,-16.8975
NGC_6649,"nan",1,"18 32.1","-10 25",153.0,254.0,10.5,5.0,"CL,P,LC,PS,*9,10,12.","nan","O,R",278.37083,-10.39694
NGC_6664,"nan",1,"18 35.4","-08 15",109.0,51.0,9.0,5.0,"CL,L,PRI,VLC","nan","O,R",279.19042,-8.22806
NGC_6683,"nan",1,"18 40.8","-06 19",32.0,155.0,9.5,5.0,"CL,VRI,VLC,IN M WAY","nan","O,R",280.53583,-6.29167
NGC_6694,"nan",1,"18 44.0","-09 25",315.0,302.0,9.5,5.0,"CL,CL,PRI,PC,ST12.15","nan","O,R,M26",281.34333,-9.38972
NGC_6704,"nan",1,"18 49.5","-05 14",245.0,209.0,9.5,5.0,"CL,B,60ST13","nan","O,R",282.70792,-5.20306
NGC_6705,"nan",1,"18 49.7","-06 18",240.0,151.0,7.0,5.0,"CL,VB,L,IR,RI,*9,,ST11...","nan","O,R,9,M11",282.76042,-6.26972
NGC_6709,"nan",1,"18 50.3","+10 19",218.0,76.0,7.5,5.0,"CL,PRI,LC,IF","nan","O,R",282.87083,10.34722
NGC_6716,"nan",1,"18 53.1","-19 55",195.0,61.0,7.0,5.0,"CL,PRI,ST9...13","nan","O,R",283.64458,-19.88417
NGC_6738,"nan",1,"19 00.2","+11 34",87.0,146.0,8.0,5.0,"CL,P,LC","nan","O,R",285.34292,11.60306
NGC_6755,"nan",1,"19 06.5","+04 10",2.0,68.0,9.0,5.0,"CL,VL,VRI,PC,,*12.14","nan","O,R",286.93583,4.20694
NGC_6756,"nan",1,"19 07.4","+04 37",314.0,88.0,10.5,5.0,"CL,S,RI,LC,*11...12","nan","O,R",287.16,4.6575
NGC_6774,"nan",1,"19 15.2","-16 19",225.0,254.0,"nan","nan","CL,VL,LC","nan","nan",289.15917,-16.27139
NGC_6791,"nan",1,"19 19.9","+37 48",88.0,258.0,"nan","nan","VF","nan","nan",290.19417,37.84778
NGC_6793,"nan",1,"19 22.1","+22 08",8.0,62.0,"nan","nan","CL,P,LC","nan","nan",290.7925,22.1825
NGC_6800,"nan",1,"19 26.1","+25 05",284.0,220.0,"nan","nan","CL,VL,PRI,VLC,ST10..","nan","nan",291.785,25.13472
NGC_6802,"nan",1,"19 29.5","+20 13",20.0,183.0,12.0,5.0,"CL,L,VC,E0,ST14...18","nan","O,R",292.64833,20.27
NGC_6811,"nan",1,"19 37.4","+46 30",12.0,74.0,9.0,5.0,"CL,L,PRI,LC,ST11..14","nan","O,R",294.53708,46.5575
NGC_6815,"nan",1,"19 39.9","+26 47",115.0,307.0,"nan","nan","CL,VL,PRI,LC,*10..15","nan","nan",295.23208,26.8425
NGC_6819,"nan",1,"19 40.5","+40 08",105.0,60.0,10.0,5.0,"CL,VL,VRI,*11...15","nan","O,R",295.33917,40.19278
NGC_6823,"nan",6,"19 42.1","+23 15",86.0,123.0,10.0,5.0,"CL,CRI,E,ST11...12","nan","O,LY,SH,R",295.79167,23.31028
NGC_6827,"nan",1,"19 47.8","+21 09",14.0,11.0,"nan","nan","VF,E,DIF,SEV ST INV","nan","nan",297.2225,21.21333
NGC_6830,"nan",1,"19 50.0","+23 01",308.0,104.0,9.0,5.0,"CL,L,PRI,PC,*11...12","nan","O,R",297.76833,23.08111
NGC_6834,"nan",1,"19 51.2","+29 21",283.0,121.0,10.0,5.0,"CL,P,LC,*11...12","nan","O,R",298.05125,29.41528
NGC_6846,"nan",1,"19 55.5","+30 17",229.0,176.0,14.0,5.0,"EF,VS,3*INV","nan","O,R",299.12458,30.35083
NGC_6866,"nan",1,"20 02.9","+43 55",180.0,270.0,9.0,5.0,"CL,L,VRI,CC","nan","O,R",300.93042,43.98806
NGC_6871,"nan",1,"20 04.9","+35 42",207.0,140.0,6.0,5.0,"CL,ST L&S,D*INV","nan","O,R",301.46,35.7725
NGC_6882,"nan",1,"20 10.6","+26 28",55.0,292.0,5.5,5.0,"CL,P,LC","nan","O,R",302.91208,26.54194
NGC_6883,"nan",1,"20 10.3","+35 46",148.0,142.0,8.0,5.0,"CL,PRI,**INV","nan","O,R",302.81125,35.84194
NGC_6885,"nan",1,"20 10.9","+26 24",52.0,285.0,9.0,5.0,"CL,VB,VL,RI,LC,*6.11","nan","O,R",302.9875,26.47556
NGC_6910,"nan",1,"20 22.2","+40 42",289.0,85.0,7.5,5.0,"CL,PB,PS,P,PC,*20.12","nan","O,R",305.77333,40.78111
NGC_6913,"nan",1,"20 23.0","+38 27",18.0,287.0,9.0,5.0,"CL,P,LC,STL&S","nan","O,R,M29",305.98083,38.53167
NGC_6939,"nan",1,"20 30.9","+60 33",192.0,181.0,10.0,5.0,"CL,PL,ERI,PCM,*11.16","nan","O,R",307.85042,60.63528
NGC_6940,"nan",1,"20 33.5","+28 13",95.0,60.0,6.5,5.0,"CL,VB,VL,VRI,CC,STPL","nan","O,R",308.63708,28.30333
NGC_6991,"nan",1,"20 55.8","+47 19",231.0,110.0,"nan","nan","CL,L,P,VLC","nan","nan",314.16208,47.41333
NGC_6994,"nan",1,"20 57.6","-12 43",132.0,109.0,9.0,5.0,"CL,EP,VLC,NO NEB","nan","O,R,M73",314.74292,-12.61889
NGC_6996,"nan",1,"20 55.6","+44 32",255.0,288.0,"nan","nan","CL,P,LC","nan","O,R",314.12208,44.63
NGC_7023,"nan",6,"21 00.2","+68 04",114.0,260.0,7.0,5.0,"*7IN EF,EL,NEBY","nan","O,R,LY",315.12625,68.16528
NGC_7031,"nan",1,"21 06.5","+50 44",131.0,295.0,11.0,5.0,"CL OF TRIP ST,LC","nan","O,R",316.82875,50.83472
NGC_7039,"nan",1,"21 11.3","+45 33",117.0,339.0,7.0,5.0,"CL,VL,PRI,E,ST,10...","nan","nan",318.05042,45.65333
NGC_7044,"nan",1,"21 12.0","+42 23",95.0,172.0,11.5,5.0,"CL,VF,PL,VRI,VC,ST 15...18","nan","O,R,9",318.23583,42.48694
NGC_7062,"nan",1,"21 22.3","+46 16",300.0,55.0,11.5,5.0,"CL,PS,PRI,PC,ST13...","nan","O,R",320.80333,46.37444
NGC_7063,"nan",1,"21 23.4","+36 23",269.0,169.0,9.0,5.0,"CL,P,ST10...","nan","O,R",321.10583,36.49139
NGC_7067,"nan",1,"21 23.3","+47 54",289.0,142.0,13.0,5.0,"CL,P,(NEB)","nan","O,R",321.04833,48.00806
NGC_7082,"nan",1,"21 28.5","+46 59",251.0,92.0,"nan","nan","CL,L,CRI,LC,ST10..13","nan","O,R",322.35417,47.09333
NGC_7086,"nan",1,"21 29.7","+51 29",228.0,333.0,11.5,5.0,"CL,CL,VRI,PC,*11..16","nan","O,R",322.63917,51.59389
NGC_7092,"nan",1,"21 31.3","+48 20",221.0,163.0,5.5,5.0,"CL,VL,VP,VLC,*7...10","nan","O,R,M39",323.05125,48.44444
NGC_7127,"nan",1,"21 43.0","+54 30",116.0,171.0,"nan","nan","CL,S,P,LC","nan","O,R",325.96083,54.61528
NGC_7128,"nan",1,"21 43.2","+53 36",115.0,123.0,11.5,5.0,"CL,S,PRI,HASARUBY*9","nan","O,R",326.01458,53.71528
NGC_7129,"nan",6,"21 40.7","+65 59",174.0,146.0,11.5,5.0,"CF,PL,GBM***","nan","Y,HO,R",325.31708,66.09778
NGC_7142,"nan",1,"21 45.3","+65 41",162.0,128.0,10.0,5.0,"CL,CL,CRI,PC,*11..14","nan","O,R",326.47458,65.79917
NGC_7160,"nan",1,"21 53.0","+62 29",237.0,276.0,6.5,5.0,"CL,P,VLC","nan","O,R",328.43,62.60167
NGC_7209,"nan",1,"22 04.2","+46 22",233.0,54.0,8.0,5.0,"CL,L,CRI,PC,ST9...12","nan","O,R",331.3,46.48861
NGC_7226,"nan",1,"22 09.6","+55 17",209.0,210.0,13.5,5.0,"PB,L,IN CLUSTER","nan","O,R",332.6275,55.40667
NGC_7235,"nan",1,"22 11.7","+57 09",193.0,310.0,9.0,5.0,"CL,PC,HAS RUBY*10","nan","O,R",333.1475,57.27389
NGC_7243,"nan",1,"22 14.3","+49 45",140.0,234.0,6.5,5.0,"CL,L,P,LC,ST VL","nan","O,R",333.8225,49.87472
NGC_7245,"nan",1,"22 14.3","+54 12",173.0,152.0,11.5,5.0,"CL,C,ST ES","nan","O,R",333.81,54.32472
NGC_7261,"nan",1,"22 19.5","+57 58",60.0,35.0,10.0,5.0,"CL,L,PRI,LC","nan","O,R",335.10125,58.09278
NGC_7281,"nan",1,"22 23.8","+57 43",104.0,343.0,"nan","nan","CL,L,PRI,LC,*10...16","nan","nan",336.18083,57.84389
NGC_7296,"nan",1,"22 27.2","+52 10",69.0,46.0,9.5,5.0,"CL,IR,LC,ST VS","nan","O,R",337.05,52.29472
NGC_7380,"nan",6,"22 46.0","+57 58",184.0,31.0,9.0,5.0,"CL,PL,PRI,LC,*9...13","nan","Y,HO,R,SH",341.75042,58.09861
NGC_7419,"nan",1,"22 53.3","+60 42",139.0,177.0,13.0,5.0,"CL,PRI,CC","nan","O,R",343.57458,60.83333
NGC_7429,"nan",1,"22 54.9","+59 51",128.0,134.0,"nan","nan","CL,P,PC,*9...11","nan","nan",343.97875,59.98361
NGC_7510,"nan",1,"23 10.5","+60 26",28.0,170.0,9.5,5.0,"CL,PRI,PC,FAN-SH,B*P","nan","O,R",347.89333,60.56917
NGC_7654,"nan",1,"23 23.1","+61 27",236.0,217.0,8.0,5.0,"CL,L,RI,MCM,R,*9..13","nan","O,R,M52",351.055,61.5875
NGC_7686,"nan",1,"23 29.0","+48 59",91.0,195.0,8.0,5.0,"CL,P,LC,*7...11","nan","O,R",352.54917,49.12111
NGC_7762,"nan",1,"23 48.6","+67 53",72.0,243.0,10.0,5.0,"CL,PRI,PC,*11...15","nan","O,R",357.45458,68.02222
NGC_7772,"nan",1,"23 50.5","+16 07",62.0,39.0,"nan","nan","CL OF SC ST 10M","nan","nan",357.94417,16.25583
NGC_7788,"nan",1,"23 55.5","+61 15",239.0,205.0,9.5,5.0,"CL,S,PRI,VC,*10,13..","nan","O,R",359.19125,61.38917
NGC_7789,"nan",1,"23 55.8","+56 35",246.0,279.0,9.5,5.0,"CL,VL,VRI,VMC,*11.18","nan","O,R",359.26708,56.7225
NGC_7790,"nan",1,"23 57.2","+61 04",228.0,194.0,7.0,5.0,"CL,PRI,PC","nan","O,R",359.61833,61.20583
