"Cluster","RAJ2000","DEJ2000","Class","Diam","Dist","E(B-V)","Age","r_pmRA","pmRA","e_pmRA","pmDE","e_pmDE","Nc","K14","RV","e_RV","o_RV","r_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","TrType"
"Majaess 8",4.17917,64.50583,"IR",3.0,"nan","nan","nan","D14",-2.38,0.03,2.06,0.41,24.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Berkeley 60",4.425,60.93333,"nan",3.0,4365.0,0.86,8.2,"D14",-3.64,0.42,0.2,0.39,40.0,"K14","nan","nan","nan","nan",0.07,"nan","nan","3-1-p-*"
"ASCC 2",4.96667,55.71,"nan",36.0,1200.0,0.1,8.83,"K12",-1.56,0.33,-1.34,0.33,20.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0486",5.0875,59.31806,"IR",2.5,1850.0,0.55,8.9,"K12",-2.1,0.87,-2.11,0.87,5.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Majaess 9",5.30417,63.32444,"IR",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Mayer 1",5.475,61.75,"nan",7.0,1430.0,0.5,7.74,"D14",-1.68,0.33,-1.18,0.05,122.0,"K14",-20.9,2.0,1.0,"D14","nan","nan","nan","4-2-p-n"
"SAI 4",5.91667,62.70389,"nan",4.0,1600.0,0.27,8.7,"D14",-1.8,0.22,3.0,0.26,64.0,"K14",-100.7,10.0,1.0,"D14","nan","nan","nan","nan"
"Stock 20",6.3125,62.61667,"nan",4.0,1100.0,0.2,8.337,"D14",-2.53,0.24,2.51,0.25,82.0,"K14","nan","nan","nan","nan","nan","nan","nan","2-2-p-*"
"NGC 103",6.31667,61.32333,"nan",4.0,3026.0,0.406,8.126,"D14",-3.44,0.04,-0.32,0.05,101.0,"K14",-116.7,10.0,1.0,"D14","nan","nan","nan","nan"
"Berkeley 2",6.325,60.4,"nan",2.0,5250.0,0.8,8.9,"K12",0.88,0.54,-2.5,0.54,14.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0494",6.38333,63.75778,"IR",0.8,5087.0,0.521,9.3,"K12",-2.87,0.29,-2.72,0.29,9.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0496",6.74167,64.03333,"IR",4.9,1123.0,0.77,9.055,"D14",-1.13,0.23,0.09,0.28,64.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 110",6.85417,71.38333,"nan",12.0,1290.0,0.42,9.0,"D14",0.01,0.16,-3.47,0.09,408.0,"K14","nan","nan","nan","nan","nan","nan","nan","-1-p-*"
"SAI 6",6.97083,60.68917,"nan",5.0,2700.0,0.89,8.5,"D14",0.51,0.17,-0.03,0.17,77.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0498",7.30417,62.41583,"IR",1.5,1800.0,0.15,8.55,"D14",-3.62,0.76,-0.1,0.14,19.0,"K14","nan","nan","nan","nan",-0.34,0.07,1.0,"nan"
"NGC 129",7.5,60.21833,"nan",19.0,1625.0,0.548,7.886,"D14",-1.23,0.07,-0.51,0.03,764.0,"K14",-37.36,0.46,2.0,"MMU","nan","nan","nan","nan"
"Stock 21",7.60417,57.92361,"nan",4.0,1700.0,0.416,8.825,"D14",-2.45,0.24,-2.72,0.1,62.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-2-p-*"
"ASCC 3",7.7875,55.28,"nan",25.2,1700.0,0.17,7.9,"D14",0.85,0.12,-2.75,0.06,877.0,"K14",-37.0,7.4,1.0,"D14","nan","nan","nan","nan"
"NGC 133",7.82917,63.35,"nan",7.0,630.0,0.6,7.0,"Car",-0.7,4.7,-0.4,3.6,8.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-1-p-*"
"NGC 136",7.8875,61.50833,"nan",4.0,5220.0,0.7,8.4,"D14",-0.38,0.14,1.21,0.16,100.0,"K14","nan","nan","nan","nan",-0.05,0.06,1.0,"nan"
"King 14",8.0125,63.15556,"nan",8.0,2960.0,0.34,7.9,"D14",-2.25,0.19,0.73,0.01,227.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
