"Cluster","Rlim","Rc","Age","e_Age","EBV","e_EBV","R_sun","e_R_sun","RGC","X_sun","Y_sun","Z","Ref.","RA","DEC"
"IC_4291",2.8,0.09,0.8,0.04,0.61,0.05,1790,82,7.53,"-1107",-1406.0,"10",1,204.23333,-62.09583
"Alessi_15",6.0,0.12,0.45,0.03,0.91,0.07,2509,116,10.74,"2161",-1273.0,"-48",7,100.76667,1.67194
"Alessi_53",6.4,0.13,0.5,0.04,0.61,0.05,2360,109,10.72,"2184",-894.0,"-27",7,97.35,9.1775
"Juchert_1",1.6,0.04,0.4,0.03,1.36,0.1,2286,105,7.16,"-1538",1691.0,"-40",7,290.63333,12.66667
"Juchert_12",5.0,0.36,0.3,0.02,0.91,0.07,3016,139,10.47,"1658",-2510.0,"-217",7,110.2375,-22.86667
"Riddle_4",2.2,0.13,0.05,0.05,0.91,0.07,1993,92,9.95,"1339",1475.0,"-43",7,31.84583,60.25694
"Riddle_15",2.5,0.08,0.5,0.03,1.33,0.1,1925,89,7.36,"-1278",1437.0,"82",7,287.7875,14.83444
"Luginbuhl-Skiff_1",1.5,0.1,0.25,0.01,0.57,0.04,3150,145,5.35,"3005",-937.0,"-115",1,93.69583,12.87083
"Skiff_2",2.5,0.3,0.9,0.06,0.18,0.05,2125,100,6.37,"2032",621.0,"5",1,74.55833,43.01333
"Teutsch_11",3.0,0.26,0.5,0.04,0.7,0.05,3443,159,11.83,"3280",-1044.0,"39",7,96.35,13.86639
"Teutsch_144",5.0,0.3,0.8,0.08,0.73,0.05,1704,79,8.75,"81",1702.0,"14",7,320.43333,50.61
"Collinder_351",4.2,0.19,0.16,0.02,0.7,0.05,1310,60,7.19,"-1310",14.0,"-16",1,267.25,-28.73583
"Patchick_89",3.5,0.07,1.6,0.13,0.21,0.02,2646,122,8.62,"-288",2588.0,"465",7,299.8875,49.3125
"Toepler_1",4.0,0.1,0.4,0.03,0.79,0.05,2890,133,8.0,"-974",2719.0,"87",7,300.325,33.615
