"Cluster","Rlim","Rc","Age","e_Age","EBV","e_EBV","R_sun","e_R_sun","RGC","X_sun","Y_sun","Z","Ref.","RA","DEC"
"NGC_6895",8.0,0.85,1.0,0.04,0.35,0.05,1141,53,8.5,"-81",1126.0,"164",6,304.12083,50.23
"NGC_6904",4.0,0.69,1.0,0.04,0.39,0.05,1355,62,8.05,"-545",1232.0,"-149",6,305.45,25.74
"NGC_6938",3.6,0.29,1.3,0.04,0.13,0.05,1250,58,8.05,"-521",1112.0,"-233",6,308.675,22.215
"NGC_6950",7.5,0.41,1.8,0.05,0.06,0.02,1070,49,8.04,"-499",904.0,"-281",6,310.26667,16.61833
"NGC_7005",2.0,0.22,2.5,0.1,0.03,0.01,1033,48,7.69,"-689",497.0,"-588",6,315.4875,-12.88056
"NGC_7011",2.2,0.14,0.4,0.01,1.08,0.1,1236,57,8.55,"-40",1235.0,"13",6,315.45417,47.35333
"NGC_7023",7.2,0.33,0.12,0.0,1.1,0.1,560,26,8.65,"132",527.0,"137",6,315.39583,68.17
"NGC_7024",2.5,0.23,0.5,0.02,1.1,0.1,1760,81,8.51,"-175",1747.0,"-119",6,316.5375,41.48833
"NGC_7037",3.0,0.01,2.1,0.08,0.16,0.05,1485,68,8.35,"-276",1437.0,"-252",6,317.725,33.76333
"NGC_7050",3.5,0.45,2.0,0.08,0.16,0.05,1179,54,8.41,"-171",1152.0,"-180",6,318.8,36.17333
"NGC_7055",2.5,0.08,0.8,0.03,1.1,0.1,1275,59,8.76,"165",1258.0,"124",6,319.875,57.57
"NGC_7071",4.0,0.15,0.3,0.01,1.14,0.2,1684,78,8.71,"42",1682.0,"-59",6,321.6625,47.92
"NGC_7084",8.0,0.9,1.5,0.06,0.1,0.05,765,35,8.27,"-239",655.0,"-315",6,323.1375,17.50833
"NGC_7093",6.5,0.04,0.9,0.04,0.61,0.05,1785,82,8.72,"32",1780.0,"-135",6,323.5875,45.965
"NGC_7127",2.5,0.15,0.4,0.02,0.9,0.05,1445,67,8.82,"199",1431.0,"29",6,325.92083,54.63
"NGC_7129",3.5,0.21,0.12,0.01,0.97,0.05,1070,49,8.84,"280",1016.0,"184",6,325.74583,66.11333
"NGC_7134",1.5,0.1,3.3,0.13,0.06,0.02,1065,49,7.74,"-558",502.0,"-755",6,327.22917,-12.97333
"NGC_7175",16.0,0.18,0.25,0.01,0.87,0.05,1930,89,9.03,"326",1902.0,"-3",6,329.69167,54.81833
"NGC_7193",6.5,0.39,4.5,0.18,0.03,0.0,1080,50,8.2,"-304",839.0,"-608",6,330.7625,10.80167
"NGC_7352",4.5,0.03,0.05,0.0,1.1,0.2,2550,117,9.52,"698",2452.0,"-47",6,339.92917,57.395
"NGC_7394",4.5,0.2,0.6,0.02,0.35,0.05,1310,60,8.92,"332",1259.0,"-147",6,342.59583,52.135
"NGC_7429",7.0,0.06,0.04,0.0,1.16,0.1,1190,55,8.96,"387",1125.0,"6",6,344.0,59.97333
"NGC_7686",8.0,0.8,2.0,0.08,0.2,0.05,1534,71,9.13,"502",1416.0,"-307",6,352.52917,49.13333
"NGC_7708",12.0,0.9,2.0,0.08,0.42,0.05,1607,74,9.35,"726",1401.0,"301",6,353.75417,72.83333
"NGC_7795",10.5,0.19,0.45,0.02,1.0,0.1,2105,97,9.62,"935",1885.0,"-79",6,359.65417,60.035
"NGC_7801",4.0,0.98,1.7,0.12,0.17,0.05,1275,60,9.11,"523",1136.0,"-250",6,0.0875,50.74167
"NGC_7826",10.0,0.8,2.2,0.09,0.03,0.01,620,29,8.23,"-62",117.0,"-606",6,1.32083,-20.69167
"NGC_7833",1.3,0.1,2.0,0.08,0.06,0.02,1410,65,9.1,"416",1090.0,"-792",6,1.62917,27.64167
"Berkeley_1",2.5,0.14,0.4,0.03,0.78,0.06,2420,110,9.9,"1128",2139.0,"-84",2,2.4,60.475
"Berkeley_6",3.0,0.15,0.1,0.0,0.78,0.05,2300,105,10.1,"1481",1759.0,"-38",2,27.79583,61.06111
"Berkeley_26",2.6,0.13,0.6,0.03,0.54,0.05,2720,120,11.0,"2407",-1262.0,"112",2,102.575,5.75
"Berkeley_37",3.5,0.69,0.9,0.04,0.12,0.02,4555,210,12.4,"3605",-2740.0,"470",2,110.1,-1.1
"Berkeley_43",4.5,0.57,0.4,0.03,1.52,0.14,1355,60,7.6,"-947",969.0,"-4",2,288.9,11.21667
"Berkeley_45",3.5,0.14,0.6,0.03,0.82,0.05,2300,105,7.2,"-1477",1763.0,"46",2,289.8,15.71667
"Berkeley_47",2.0,0.03,0.16,0.01,1.06,0.1,1420,65,7.7,"-863",1127.0,"-1.4",2,292.15,17.36833
"Berkeley_49",2.4,0.17,0.16,0.01,1.57,0.3,2035,110,8.1,"-662",1922.0,"91",2,299.87917,34.64667
"Berkeley_50",3.5,0.12,0.25,0.01,0.97,0.07,2100,100,8.1,"-633",2002.0,"31",2,302.6,34.96667
"Berkeley_51",1.5,0.13,0.15,0.02,1.66,0.14,3200,145,8.1,"-981",3046.0,"16",2,302.975,34.40167
"Berkeley_61",3.5,0.19,0.8,0.05,1.09,0.11,3335,150,10.7,"1794",2800.0,"252",2,12.125,67.2
"Berkeley_63",3.6,0.35,0.5,0.02,0.9,0.09,3305,150,11.0,"2231",2434.0,"144",2,34.9,63.71667
"Berkeley_72",3.5,0.08,0.6,0.02,0.79,0.07,3810,175,12.3,"3783",-419.0,"-171",2,87.575,22.2
"Berkeley_76",4.5,0.96,0.8,0.04,0.73,0.05,2505,115,10.4,"1764",-1770.0,"-87",2,106.66667,-11.73333
"Berkeley_84",1.1,0.06,0.12,0.01,0.76,0.05,2025,95,8.1,"-661",1912.0,"45",2,301.17917,33.905
"Berkeley_89",2.5,0.08,0.85,0.05,1.03,0.1,3005,135,8.7,"-357",2973.0,"253",2,306.15,46.05
"Berkeley_90",2.5,0.22,0.1,0.01,1.15,0.1,2430,70,8.6,"-216",2415.0,"160",2,308.825,46.83333
"Berkeley_91",1.7,0.13,0.5,0.02,1.0,0.09,2400,110,8.8,"2.7",2400.0,"5.5",2,317.71667,48.53667
"Berkeley_95",2.4,0.29,0.15,0.02,1.21,0.12,1900,85,9.2,"507",1830.0,"40",2,337.075,59.13333
"Berkeley_97",2.0,0.1,0.02,0.0,0.75,0.05,1800,85,9.2,"516",1724.0,"12",2,339.875,59.01667
