"Cluster","RA_ICRS","DE_ICRS","pmRA*","e_pmRA*","pmDE","e_pmDE","DMode","RV","e_RV","o_RV","f_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","f_[Fe/H]","GX","e_GX","GY","e_GY","GZ","e_GZ","U","e_U","V","e_V","W","e_W","Rap","Rperi","EC","Zmax","RGC","e_RGC","Ageref","Distref","E(B-V)ref","Ref","_RA.icrs","_DE.icrs"
"Gulliver_22",84.848,26.368,-1.523,0.294,-4.605,0.12,777.8,-1.306252,4.114222,6,"Y",-0.359,0.25761795,3,"nan",-9117.126,61.58219,-19.779402,1.5674212,-34.266582,2.7154617,13.301339,4.1096263,240.89099,1.1256517,-6.4572964,1.4405875,9.757436705989996,8.904908973692246,0.0456817029825945,0.0974566081297812,9117.051,61.189243,0.0,0.0,0.0,"nan",84.848,26.368
"Gulliver_25",52.011,45.152,0.96,0.108,-4.089,0.103,1351.3,-18.303694,14.424268,6,"nan",0.027500002,0.051618796,2,"nan",-9492.965,161.67975,672.08563,94.24724,-221.09932,31.004938,19.187096,12.34037,224.40645,7.6241198,-7.5427017,3.4324658,9.586907413264848,8.612204612676258,0.0535577120026099,0.2302649508393289,9519.159,164.90945,0.0,0.0,0.0,"nan",52.011,45.152
"Gulliver_26",80.689,35.27,2.018,0.166,-2.874,0.131,2570.1,20.23371,45.976765,13,"nan",-0.19663435,0.07645699,7,"Y",-10884.891,694.3219,355.16995,96.90105,-28.03058,7.6475935,-14.856297,45.548996,212.66495,12.74459,7.4669685,2.076171,11.209778100076504,8.777012501486123,0.1217186714509422,0.1423046834108103,10902.772,703.08545,0.0,0.0,0.0,"nan",80.689,35.27
"Gulliver_31",301.912,38.232,-1.5,0.063,-3.113,0.086,2352.8,-24.184992,8.944909,2,"nan",-0.098000005,0.30547014,2,"nan",-7726.2656,152.55142,2273.9612,565.2237,127.312935,31.64527,41.81433,7.6404676,219.19426,8.211516,1.3399515,6.137766,8.311604714529416,6.706397004990572,0.1068855723629621,0.1530756629528091,8075.744,32.3362,0.0,0.0,0.0,"nan",301.912,38.232
"Gulliver_47",107.932,0.827,-1.957,0.093,-0.432,0.076,1922.2,43.496178,37.655373,4,"nan",-0.037,"nan",1,"nan",-9916.345,312.75366,-1083.9028,215.04639,163.7046,32.479042,-28.479242,30.935968,230.65399,21.267456,-6.6401825,4.6990905,10.072286464006574,9.750500724346034,0.0162331228501314,0.2257916313639961,9976.915,338.1013,0.0,0.0,0.0,"nan",107.932,0.827
"Gulliver_53",80.975,34.012,0.401,0.109,-2.837,0.106,2421.9,30.030903,78.57364,13,"nan",0.0,0.0,0,"nan",-10748.472,623.9487,286.08566,74.11398,-48.306664,12.514431,-21.906824,78.01316,226.4535,11.741856,-7.9010925,4.0574055,11.518904994644176,9.5026182722632,0.0959153481306022,0.1486168165057935,10744.097,618.60846,0.0,0.0,0.0,"nan",80.975,34.012
"Gulliver_54",81.297,33.688,-0.595,0.14,-7.299,0.175,1219.0,12.273114,19.119179,8,"nan",-0.081499994,0.19097033,4,"nan",-9553.24,150.03075,135.12303,16.709244,-23.503649,2.906453,-4.2402678,19.002796,220.75565,4.626638,-19.486992,3.3675826,9.650727928901034,8.290882290361354,0.0757928425554428,0.3275489496940568,9553.09,150.43828,0.0,0.0,0.0,"nan",81.297,33.688
"Gulliver_56",95.38,26.909,0.534,0.078,-3.24,0.071,2054.9,33.637135,14.403247,4,"nan",-0.19,"nan",1,"nan",-10371.233,437.08313,-201.45807,43.34947,211.47984,45.50601,-20.215006,14.265073,218.58514,6.433728,0.81868076,2.6194081,10.61537276573913,8.89519828387691,0.0881662806018213,0.246100471900515,10375.091,437.09296,0.0,0.0,0.0,"nan",95.38,26.909
"Gulliver_6",83.278,-1.652,-0.007,0.39,-0.207,0.365,417.3,27.558592,6.8077135,43,"Y",-0.12806171,0.2014774,18,"Y",-8698.859,15.018282,-169.21263,7.0817976,-129.96614,5.439287,-12.3788185,5.8631783,240.77652,2.84095,-1.523675,2.2391868,9.081285427517562,8.622344157638606,0.0259235693828434,0.1082231268362274,8701.038,15.040092,0.0,0.0,0.0,"nan",83.278,-1.652
"Gulliver_60",303.436,29.672,1.752,0.092,0.219,0.117,1077.1,-11.895985,11.541737,3,"nan",-0.120000005,0.0028284276,2,"nan",-7944.0576,42.954006,1000.759,108.56149,-49.606186,5.3812428,1.1562338,4.303557,243.05568,10.722703,0.96039057,1.1114846,8.865505153122994,7.409370498595634,0.0894713228960118,0.0306080387880985,8007.6455,29.14716,0.0,0.0,0.0,"nan",303.436,29.672
"Gulliver_8",80.56,33.792,-0.156,0.225,-2.982,0.152,1110.3,-1.6169758,2.879738,9,"Y",-0.18640001,0.12964104,5,"nan",-9445.06,123.86998,131.51665,14.742082,-30.093756,3.3732927,11.489367,2.8646283,239.64256,1.6982944,-2.2780704,1.5139526,9.925537285486127,9.362498042619952,0.0291911142471688,0.0350879709200049,9444.945,123.52974,0.0,0.0,0.0,"nan",80.56,33.792
"IC_1590",13.205,56.629,-2.368,0.141,-1.449,0.134,2719.4,83.2024,299.99612,6,"nan",0.0,0.0,0,"nan",-9814.015,434.5525,2259.1436,666.01825,-295.0423,86.98133,-7.494911,163.09018,336.41827,249.79971,-20.528978,33.171185,27.80900306933098,9.550097199862815,0.4887405140354625,1.0598666381184931,10087.459,575.1128,0.0,0.0,0.0,"nan",13.205,56.629
"IC_2157",91.183,24.091,0.959,0.091,-2.982,0.076,2097.0,10.009072,3.3660548,7,"Y",0.0,0.0,0,"nan",-10421.64,455.39566,-231.28488,50.597916,45.44484,9.941918,4.390001,3.3999603,220.79398,6.423045,1.2569866,1.5831804,10.55671996666834,9.158158200741042,0.0709394069824514,0.0804075382749046,10426.226,453.9967,7.9,2311.0,0.562,"(2)",91.183,24.091
"IC_348",56.132,32.159,4.483,0.593,-6.447,0.603,321.7,17.530691,13.31062,46,"Y",-0.1686211,0.13530846,11,"Y",-8628.732,9.306477,102.32777,3.2981527,-98.41253,3.17197,-7.576212,11.952387,246.6063,4.3347692,-1.1278248,4.1634555,9.432700225063073,8.579248171672592,0.0473825504377502,0.0776980430636202,8629.898,9.373514,0.0,0.0,0.0,"nan",56.132,32.159
"IC_4665",266.554,5.615,-0.909,0.28,-8.52,0.283,345.2,-19.29621,2.344385,32,"Y",-0.028634971,0.10588016,25,"Y",-8055.6504,9.7509165,167.58585,5.7469306,101.25503,3.4722836,3.1179123,1.9693651,232.3003,1.2452023,-3.1247911,0.85130763,8.12108980019746,7.519272866659685,0.0384784513221717,0.1315041448532388,8058.1006,9.613075,7.63,352.0,0.171,"(2)",266.554,5.615
"IC_4756",279.649,5.435,1.26,0.254,-4.927,0.263,471.3,-32.243793,7.6875243,19,"Y",-0.1597919,0.054074083,13,"Y",-7962.0327,18.014734,277.8769,13.243783,43.72644,2.0840273,-9.141001,6.183351,226.74309,4.5781775,-3.1887827,0.9264082,8.178191504954693,6.905778532861426,0.0843553102335312,0.0791304245771375,7966.846,17.363163,8.987,478.85068,0.12806453,"(3)",279.649,5.435
"IC_4996",304.135,37.649,-2.681,0.097,-5.348,0.135,1936.6,-14.845722,6.3364735,4,"nan",0.0,0.0,0,"nan",-7851.837,98.19675,1870.067,376.17603,44.12992,8.876985,60.098564,8.423371,224.2762,5.4560976,-0.08715248,7.4011936,8.167085854878078,7.477016233184262,0.0441105291827769,0.0680168723789621,8080.7334,15.598034,6.87,2398.0,0.71,"(1)",304.135,37.649
"IC_5146",328.372,47.246,-2.91,0.374,-2.49,0.415,805.0,1.700003,"nan",1,"nan",-1.074,"nan",1,"nan",-8401.116,4.995692,797.541,65.177444,-77.30152,6.3173137,25.539673,"nan",255.0004,"nan",6.640869,"nan",9.910305889518517,8.498527840597502,0.0766902493454221,0.1119372903747665,8439.725,11.277728,0.0,0.0,0.0,"nan",328.372,47.246
"Juchert_19",60.585,52.446,-0.141,0.31,0.176,0.118,7628.0,348.8415,529.9717,2,"nan",0.0,0.0,0,"nan",-14918.794,11889.261,3838.172,6936.3975,-25.922249,46.846992,-286.1666,457.78452,434.9676,267.23413,7.4935765,8.471791,803.9500516836102,15.473717289486263,0.9622326862476104,8.892704210818348,17737.357,10717.506,0.0,0.0,0.0,"nan",60.585,52.446
"Juchert_20",62.703,46.874,1.103,0.207,-1.643,0.153,2780.0,-6.385678,33.2163,7,"nan",-0.008000001,0.16122034,2,"nan",-10843.14,760.10895,1194.3828,362.684,-165.45795,50.24254,6.237371,30.03875,226.42477,15.849512,1.698473,3.728023,11.374550532902337,9.91340946872544,0.0686369696328427,0.1412640776967534,10909.325,793.3265,8.225,2812.0,0.791,"(2)",62.703,46.874
"Juchert_9",58.84,58.391,-0.223,0.102,-0.033,0.163,4650.7,-30.123716,15.627189,3,"nan",-0.073,"nan",1,"nan",-12171.258,2243.1072,2670.5437,1563.5339,300.36816,175.8583,37.45642,12.945267,237.89778,9.300336,1.6127954,3.667208,14.245663011013264,12.291635140188884,0.0736332636310928,0.3742316902581062,12535.239,2506.0754,0.0,0.0,0.0,"nan",58.84,58.391
"Kharchenko_1",92.197,24.281,0.767,0.117,-2.286,0.126,2228.5,36.272648,15.781458,10,"nan",-0.20066668,0.16078661,3,"nan",-10551.256,515.50366,-256.78574,59.86452,83.33861,19.428778,-22.18532,15.675729,223.15013,5.982533,4.020562,1.7329996,10.88024842477576,9.420133331405218,0.071925499279144,0.1378301897437842,10554.639,526.7902,8.35,2839.0,0.729,"(2)",92.197,24.281
"King_10",343.748,59.17,-2.722,0.164,-2.088,0.146,3478.1,-47.314747,15.061555,2,"nan",0.0,0.0,0,"nan",-9448.805,437.61768,3315.2163,1308.4335,-24.283148,9.5839405,78.63557,15.126254,224.85371,16.561367,-4.0201664,11.136043,10.337480822673005,10.0593666013543,0.0136351572150845,0.06953697095543,10063.677,841.53546,7.825,2750.0,1.249,"(2)",343.748,59.17
"King_17",77.09,39.069,-0.126,0.176,-1.274,0.09,3725.8,8.875256,5.708011,7,"Y",0.091,"nan",1,"nan",-11999.184,1563.7448,824.8351,352.49075,-48.775845,20.844234,-1.037096,5.765389,237.85132,6.580655,-8.102333,6.260393,13.372950311369332,11.700936210943723,0.0666834835890995,0.183630487340217,12007.276,1584.862,8.4,4710.0,0.56,"(1)",77.09,39.069
"King_23",110.459,-0.988,-0.457,0.084,-0.879,0.086,3245.2,51.820004,3.288023,4,"nan",-0.13024999,0.06614819,4,"nan",-10913.064,932.5364,-1959.86,710.29987,357.37207,129.52011,-25.653975,3.3929584,213.22975,3.247282,0.5463457,4.0804205,11.249684018566567,9.316870009853114,0.0939785053948569,0.3925844379907503,11109.188,1041.3416,8.95,3211.0,0.208,"(2)",110.459,-0.988
"King_5",48.682,52.695,-0.282,0.152,-1.2,0.127,2523.6,-123.18244,249.38504,13,"nan",-0.22075,0.09076113,4,"nan",-10370.974,548.95337,1488.1769,402.24466,-188.4776,50.943977,108.2976,200.6063,175.29024,146.99734,2.481176,19.006086,12.19617173703442,6.176154598272789,0.3276676578073078,0.1769799515178123,10473.958,601.0828,9.09,2200.0,0.67,"(2)",48.682,52.695
"King_6",51.982,56.444,3.864,0.219,-1.814,0.244,727.3,-26.777567,8.167778,22,"Y",-0.09364695,0.054118752,9,"Y",-8923.666,43.097916,434.3383,32.071636,-1.2063115,0.08907402,23.901295,6.588452,224.59525,4.9956055,9.600637,0.8792613,9.110655903508745,7.89919918181657,0.0712208725832894,0.1406660826004877,8933.915,43.726383,8.582,807.23517,0.35677418,"(3)",51.982,56.444
"King_7",59.783,51.785,1.121,0.22,-1.196,0.181,3171.8,-16.224312,4.319994,15,"Y",-0.041,0.18070048,4,"nan",-11068.308,954.28375,1587.9037,555.4062,-56.037983,19.600605,12.838247,4.953326,222.88269,7.7593,4.834592,3.6620846,11.618331851689572,9.954000288265703,0.0771512116829162,0.0969796634084605,11190.281,1042.4525,8.85,2628.0,1.249,"(2)",59.783,51.785
"King_8",87.324,33.633,0.52,0.176,-1.743,0.145,6241.1,83.66066,206.94868,8,"nan",-0.32525003,0.046298843,4,"nan",-14597.524,6296.542,395.44394,397.9093,339.68134,341.7988,-76.275276,206.24641,205.49118,35.30332,-1.4192924,14.786311,18.1010019963672,10.078047132355,0.284713470187133,0.4701737067873446,14660.666,6241.0244,9.005,4500.0,0.631,"(2)",87.324,33.633
"Koposov_10",86.861,35.427,0.457,0.164,-1.78,0.156,2789.2,4.0898457,20.455515,9,"nan",-0.141,0.117932186,3,"nan",-11120.32,840.2116,260.56595,78.74295,180.33852,54.49817,4.418392,20.335562,229.4765,7.051435,0.5917959,3.176345,11.180166463403443,10.889275103844277,0.0131807304082794,0.2133721368535081,11109.629,837.7303,8.775,1819.0,0.625,"(2)",86.861,35.427
"Koposov_12",90.245,35.287,0.699,0.116,-1.732,0.085,2351.2,13.604051,6.3799877,22,"Y",-0.22283334,0.1603963,6,"nan",-10662.7295,582.1772,156.10881,39.127396,245.2154,61.461174,-4.0555983,6.3431263,232.55772,4.969005,6.0888176,1.5141171,10.973642824934617,10.447332059150542,0.024569879225016,0.3086110105670149,10664.227,582.9427,8.78,2000.0,0.51,"(1)",90.245,35.287
"Koposov_36",84.218,31.21,0.804,0.132,-3.668,0.114,1754.8,-34.828117,49.40616,10,"nan",-0.095000006,0.18029976,4,"nan",-10094.227,319.48666,89.81594,16.357763,-12.354933,2.2501457,44.457832,49.340866,221.16776,5.8146114,-3.262621,2.1930754,11.12294383876946,8.26164177756685,0.1476070790386799,0.059928987206171,10091.04,320.3832,8.445,1600.0,0.831,"(2)",84.218,31.21
"Koposov_43",88.079,29.901,-0.037,0.086,-1.664,0.048,4787.5,9.112297,32.133354,4,"nan",-0.493,"nan",1,"nan",-13133.46,2952.2788,6.4406624,3.9668026,146.20192,90.04571,1.341608,32.119865,220.16722,15.428621,-12.397036,9.755426,13.190396095045612,12.281555284359644,0.0356800622437112,0.3783359213717729,13058.483,2967.1462,9.115,3000.0,0.65,"(2)",88.079,29.901
"Koposov_53",92.221,26.264,0.242,0.133,-0.632,0.14,4788.7,17.699747,25.349735,11,"nan",0.0,0.0,0,"nan",-13104.573,2965.0276,-408.21738,254.03757,260.74286,162.26248,-5.324339,25.228271,235.55974,8.200656,6.109027,3.497261,14.293500865530154,13.166274434448349,0.0410500966875241,0.366660442626155,13125.169,2974.0818,7.95,5300.0,0.41,"(1)",92.221,26.264
"Koposov_63",92.499,24.567,0.546,0.118,-0.447,0.117,4259.0,27.267948,13.019616,7,"nan",-0.08066667,0.16105072,3,"nan",-12554.245,2188.0254,-480.67566,249.5651,186.8231,96.9978,-14.2358055,12.944224,236.0458,6.235588,13.757797,3.3344576,13.732147720870795,12.592607612598536,0.0432877758534549,0.4477054094439718,12543.442,2208.9893,9.22,3220.0,0.5,"(2)",92.499,24.567
"Kronberger_1",82.089,34.777,-0.05,0.133,-2.199,0.249,2118.4,-21.19573,46.464844,7,"nan",0.0,0.0,0,"nan",-10435.723,463.2409,253.3865,56.008892,1.80534,0.39905396,29.95955,46.132057,231.73032,7.0988545,-5.431967,3.2177072,11.294807718116685,9.666770371050369,0.077667689910603,0.104625562200917,10443.097,463.26758,6.9,1919.0,0.573,"(2)",82.089,34.777
"Kronberger_81",321.547,53.534,-2.61,0.258,-3.324,0.192,3896.8,-28.495274,"nan",1,"nan",0.0,0.0,0,"nan",-8695.684,164.62535,3855.6003,1784.4253,139.74564,64.676285,90.69746,"nan",231.37144,"nan",-4.395973,"nan",10.821073432362049,9.478087044146074,0.0661597010265616,0.2004186565937127,9659.556,869.29126,0.0,0.0,0.0,"nan",321.547,53.534
"Melotte_20",51.617,48.975,22.864,1.127,-25.378,1.205,175.5,-6.2302775,5.034434,129,"Y",0.013733146,0.11085504,57,"Y",-8486.89,2.605865,94.06761,1.6692735,-19.573584,0.3473418,2.0724602,4.250568,225.25958,2.8501904,1.1692209,1.1359144,8.547565889802238,7.490398763308017,0.0659165392467181,0.0167003610270519,8487.432,2.603356,7.938,146.15038,0.017741935,"(3)",51.6169,48.9751
"Melotte_22",56.601,24.114,20.077,1.062,-45.503,1.183,135.6,4.59648,9.902556,525,"Y",0.05082798,0.07750681,116,"Y",-8460.958,1.6392626,29.090132,0.39470005,-54.328075,0.7371306,5.2338037,8.827984,223.61208,2.273128,-6.5070705,4.0242457,8.532189036010575,7.346574492465068,0.0746666792675213,0.0905642162814423,8461.193,1.6266445,7.937,135.9565,0.045161292,"(3)",56.6009,24.1142
"NGC_1039",40.531,42.722,0.722,0.292,-5.681,0.325,505.5,-14.0362625,5.5969234,116,"Y",-0.04631358,0.09226358,58,"Y",-8732.197,19.81001,288.28018,14.561496,-136.32217,6.8858266,20.115059,4.3676815,236.42242,3.2706127,-0.08951092,1.7687944,9.076206701313774,8.395358625972616,0.0389689225084965,0.1121440710651524,8738.3,20.42941,8.383,510.0,0.077,"(2)",40.531,42.722
"NGC_1220",47.92,53.344,0.187,0.188,-0.717,0.123,3067.1,-53.83793,58.48818,5,"nan",0.0,0.0,0,"nan",-10787.397,823.7995,1841.6324,619.89996,-212.19148,71.42416,49.817146,46.660774,213.49744,35.198437,3.4304814,5.126709,11.141278455449912,9.511268385600223,0.0789253781819194,0.1913833458864603,10947.776,921.7209,8.2,2100.0,0.75,"(2)",47.92,53.344
"NGC_1245",48.691,47.235,0.504,0.113,-1.579,0.1,3147.7,-39.342903,6.9589725,44,"Y",-0.14618221,0.086746,34,"Y",-10944.219,903.7573,1713.3907,594.60504,-489.6647,169.93053,35.308037,6.341456,213.78993,6.726641,-2.5026445,5.3540273,11.142575380056984,9.611131503472098,0.0737913417193097,0.4597663936713112,11085.256,988.1231,9.025,3000.0,0.25,"(2)",48.691,47.235
"NGC_1333",52.297,31.31,7.425,0.868,-9.865,0.515,296.5,15.904307,11.557944,22,"Y",-0.050000004,0.34789652,2,"nan",-8598.124,7.7617073,102.49658,3.0820024,-103.8672,3.1232147,-7.3561783,10.082005,241.61093,4.1305723,-2.7756004,4.142257,9.055919070931305,8.466146195516437,0.0336588676304154,0.0885624608469266,8599.306,7.858729,0.0,0.0,0.0,"nan",52.297,31.31
"NGC_1342",52.894,37.38,0.52,0.233,-1.604,0.195,653.2,-18.847466,4.70728,65,"Y",-0.20503914,0.095547676,45,"Y",-8910.375,37.835846,266.69263,17.691395,-172.80406,11.463183,26.495848,4.1282735,240.35593,2.035029,9.3054695,1.4056662,9.699187993876528,8.564420882995261,0.0621326879332313,0.2093459854877584,8916.9,38.197052,8.6,665.0,0.331,"(2)",52.894,37.38
"NGC_1348",53.524,51.409,1.288,0.142,-0.726,0.157,2310.5,-17.828903,10.917115,10,"Y",0.0,0.0,0,"nan",-10271.009,470.21063,1255.5494,305.73172,-149.31161,36.357983,17.145037,9.34109,229.10355,6.8748584,10.12717,2.0109684,10.612158734060362,9.78065184983964,0.0407745112327572,0.2215265397960396,10358.627,506.00613,8.45,1800.0,0.849,"(2)",53.524,51.409
"NGC_1444",57.361,52.658,-0.746,0.214,-1.829,0.115,1161.1,2.095549,4.871422,2,"nan",0.0,0.0,0,"nan",-9323.533,117.30619,612.2026,73.01652,-26.088089,3.1114855,7.8968353,4.18909,250.6142,2.7158117,-3.2235165,1.4789624,10.74582925080664,9.355412989753669,0.0691706634054381,0.0518084720953584,9346.024,121.45179,0.0,0.0,0.0,"nan",57.361,52.658
"NGC_1496",61.111,52.668,1.511,0.098,-0.756,0.08,1559.4,-6.3985705,27.337172,3,"nan",0.0,0.0,0,"nan",-9683.177,214.30031,780.7021,124.56072,4.9349437,0.7873649,10.578986,23.647617,238.59035,13.852231,10.467543,0.94687146,10.223343621609985,9.613681526914425,0.0307335444771017,0.1761394392382379,9720.595,222.95631,8.85,1300.0,0.471,"(2)",61.111,52.668
"NGC_1513",62.47,49.504,1.324,0.177,-3.679,0.161,1470.2,-8.335813,14.470471,19,"nan",-0.122,"nan",1,"nan",-9642.686,194.88144,675.55927,101.064255,-40.73254,6.0936365,7.6802883,12.91424,226.7874,7.4810243,-5.1007986,2.335491,9.799657377435082,8.839876137631855,0.0514916984927442,0.0802356952735914,9671.312,203.2669,8.5,1400.0,0.67,"(2)",62.47,49.504
"NGC_1528",63.878,51.218,2.181,0.156,-2.246,0.127,1023.9,-15.771688,11.6479645,57,"Y",-0.19143125,0.14010717,24,"Y",-9243.684,92.817795,479.09525,49.20881,4.891341,0.5024,17.91896,10.308745,231.4369,5.67053,6.6269994,0.788838,9.375086731007569,8.817816412338932,0.0306311925192895,0.1035602906389471,9258.448,96.353165,8.596,988.5534,0.25612906,"(3)",63.878,51.218
"NGC_1545",65.202,50.221,-1.957,0.159,-0.082,0.126,716.5,-10.041595,10.490168,19,"Y",0.021400003,0.11228669,5,"nan",-8980.77,45.717964,321.35135,22.927818,1.8141303,0.12943467,22.091507,9.380723,251.78487,4.731666,2.343471,0.5991689,10.468152692097428,8.947111158861773,0.0783425630942691,0.0481487880656577,8986.195,46.60011,8.019,698.8757,0.29580647,"(3)",65.202,50.221
"NGC_1579",67.514,35.325,2.477,0.432,-4.945,0.448,543.7,-12.137443,56.76029,13,"nan",0.096,"nan",1,"nan",-8859.706,28.24969,136.41144,7.414864,-85.092545,4.625349,19.815462,54.226063,235.79173,14.294246,5.247164,8.950536,9.299241901526855,8.388424766679847,0.051494476458231,0.0953187508516614,8860.52,28.486532,0.0,0.0,0.0,"nan",67.514,35.325
"NGC_1582",67.985,43.718,2.216,0.182,-1.347,0.13,977.8,-25.384182,3.9246042,23,"Y",-0.08198481,0.081980035,7,"Y",-9253.755,89.84233,344.2403,33.846542,-51.49816,5.0634117,30.581478,3.693522,232.53429,1.8702626,11.833024,0.8480767,9.852744397286186,8.552755455670495,0.0706304611122451,0.1861952382107427,9260.692,91.01561,8.665,1000.0,0.2,"(2)",67.985,43.718
"NGC_1605",68.745,45.269,0.99,0.151,-1.977,0.104,3083.3,-12.033441,17.416948,8,"nan",-0.042499997,0.3726453,2,"nan",-11198.586,981.3182,1121.0701,384.8513,-83.99836,28.835762,11.177303,16.445175,218.82675,11.210256,-1.2787313,3.7073708,11.43147878996855,9.88564491053999,0.0725160627271532,0.056390385747654,11282.223,1011.3387,7.61,2559.0,0.97,"(1)",68.745,45.269
"NGC_1647",71.481,19.079,-1.057,0.253,-1.502,0.236,586.7,-12.968019,3.8392637,95,"Y",-0.010630707,0.05526006,31,"Y",-8901.758,33.146137,-3.607925,0.21288764,-169.5187,10.002568,24.932821,3.6813028,250.80164,0.68183315,6.329829,1.3186593,10.51630398242928,8.634410464272822,0.0982675358349638,0.1876787192648245,8903.206,33.19783,8.3,572.0,0.354,"(2)",71.481,19.079
"NGC_1662",72.198,10.882,-1.128,0.225,-1.962,0.229,411.7,-19.320507,4.2000694,80,"Y",-0.19137534,0.09260361,35,"Y",-8720.63,15.727881,-52.10778,2.153054,-148.0705,6.118166,30.640308,3.887102,253.0142,0.6939386,10.469906,1.5732076,10.62975551966783,8.343520659477024,0.1204976324913143,0.2157574905015306,8722.255,15.682993,8.957,369.82825,0.1983871,"(3)",72.198,10.882
"NGC_1664",72.763,43.676,1.703,0.169,-5.738,0.146,1310.2,1.4416583,5.235568,32,"Y",-0.15574487,0.08410988,22,"Y",-9583.466,163.35022,411.97284,54.11778,-10.334448,1.3575598,-0.9116001,5.112247,220.20087,4.6880107,-7.353965,2.226221,9.720072683266292,8.214552069502075,0.0839449185315029,0.1161079521501355,9593.469,164.4782,8.673,1334.1357,0.2283871,"(3)",72.763,43.676
"NGC_1708",75.871,52.851,0.276,0.148,-1.36,0.128,944.9,-8.505018,21.80627,28,"nan",-0.09732034,0.045053948,11,"Y",-9193.6875,81.7091,384.52823,36.803837,112.74141,10.790696,16.203432,19.742672,243.78871,8.921519,3.5751324,2.6944678,9.933763124369223,9.219086810657211,0.037314358757911,0.1585143316983287,9203.906,83.9825,8.755,630.0,0.3,"(1)",75.871,52.851
"NGC_1750",75.926,23.695,-0.96,0.246,-2.366,0.201,719.5,-19.985928,7.7491426,93,"Y",-0.06256413,0.115323916,29,"Y",-9047.052,50.158848,10.872607,0.77131647,-133.78049,9.49053,32.04092,7.614885,247.33199,0.8225367,3.6903899,1.7182361,10.665910377583774,8.567058665561815,0.1091278058688483,0.1310821872364801,9047.914,49.942486,8.3,630.0,0.34,"(1)",75.926,23.695
"NGC_1758",76.175,23.813,3.156,0.146,-3.465,0.129,883.7,-4.8837886,2.0643554,12,"Y",-0.023052815,0.07224719,10,"Y",-9208.867,77.54229,12.769246,1.1396098,-160.42366,14.317194,15.224928,2.0463445,232.66159,1.8070854,10.252246,0.6955707,9.563052976555984,8.626017283357143,0.051516415067348,0.2092524995860078,9210.33,77.89992,8.741,930.6793,0.2987097,"(3)",76.175,23.813
"NGC_1778",77.033,37.02,0.506,0.139,-3.145,0.115,1640.0,-5.616129,2.4351876,13,"Y",-0.18,0.117,3,"nan",-9948.682,273.74475,315.20016,53.63701,-57.444874,9.775251,12.781031,2.4641643,229.54213,3.703568,-4.011383,2.1461284,10.06609557358531,9.451994659568042,0.0314631660516743,0.0707941417913678,9951.479,273.36176,8.45,1500.0,0.3,"(2)",77.033,37.02
"NGC_1798",77.914,47.691,0.913,0.142,-0.318,0.122,4834.5,-1.2404555,13.243034,7,"nan",-0.3585,0.44052753,2,"nan",-12917.5625,2869.266,1602.5939,1004.5208,411.5283,257.94955,7.271286,12.530435,234.32202,10.046928,19.770016,7.106946,14.638139665030709,12.468585622520363,0.0800374821929053,0.8240764439129178,13054.586,2949.0886,8.9,4571.0,0.51,"(1)",77.914,47.691
"NGC_1817",78.139,16.696,0.485,0.118,-0.89,0.1,1723.0,58.440132,3.1116662,60,"Y",-0.24090838,0.040261667,41,"Y",-10016.1045,297.32196,-181.87807,32.26284,-390.226,69.22112,-44.44098,3.0278234,237.92197,1.6833644,-6.677656,1.1447997,11.776577465444316,9.075792884745503,0.1295193081334384,0.4229942604475671,10017.043,299.67593,8.9,1504.0,0.354,"(2)",78.139,16.696
"NGC_1857",80.031,39.336,0.553,0.089,-1.31,0.084,2868.3,2.5165136,6.8040504,27,"Y",-0.0885,0.033234023,2,"nan",-11147.265,883.8166,575.5402,181.19629,62.980118,19.82784,4.750499,6.7250633,234.23534,5.6214504,3.2926068,1.7317005,11.63514484920533,11.04853345711597,0.0258605056978738,0.1176629068748357,11168.6045,890.4025,8.67,3299.0,0.5,"(2)",80.031,39.336
"NGC_1883",81.48,46.493,0.496,0.134,-1.128,0.111,4352.5,-42.66303,6.7599783,8,"Y",-0.20866667,0.065071754,3,"nan",-12449.0625,2232.0022,1249.841,678.9002,463.77594,251.91698,43.94583,6.954446,216.06258,10.930758,-1.6318741,3.6431458,13.147901563395274,11.10816739145462,0.0840917040488878,0.5234257545155288,12591.213,2313.0676,9.0,4800.0,0.35,"(1)",81.48,46.493
"NGC_1893",80.724,33.444,-0.231,0.166,-1.41,0.169,3373.5,16.755716,37.27919,29,"nan",-0.2075,0.1685675,4,"nan",-11693.974,1279.3561,377.56525,144.02263,-96.27958,36.72593,-6.94256,37.03533,237.65935,7.435013,-9.020048,6.0495424,12.873211082590776,11.470703560569325,0.0576122428368567,0.2070158598037327,11694.128,1263.8618,0.0,0.0,0.0,"nan",80.724,33.444
"NGC_1907",82.033,35.33,-0.04,0.144,-3.418,0.128,1563.3,-5.3228493,6.7417936,25,"Y",-0.28262502,0.12815517,23,"Y",-9886.603,247.84152,200.29164,32.09666,8.628369,1.382698,13.614959,6.701212,230.8334,3.4934998,-7.084014,2.46323,10.096430092132344,9.412672428902848,0.0350481352226353,0.1217606643754504,9893.993,249.0703,8.6,1600.0,0.5,"(2)",82.033,35.33
