"Cluster","RA_ICRS","DE_ICRS","pmRA*","e_pmRA*","pmDE","e_pmDE","DMode","RV","e_RV","o_RV","f_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","f_[Fe/H]","GX","e_GX","GY","e_GY","GZ","e_GZ","U","e_U","V","e_V","W","e_W","Rap","Rperi","EC","Zmax","RGC","e_RGC","Ageref","Distref","E(B-V)ref","Ref","_RA.icrs","_DE.icrs"
"FSR_0384",342.911,56.109,-3.552,0.121,-1.711,0.082,2011.1,-41.952957,5.15548,2,"nan",0.0,0.0,0,"nan",-8918.652,119.78066,1923.04,398.06274,-103.52408,21.42917,59.155952,6.057607,222.97183,5.8027697,9.866419,3.8994153,9.31572800604858,8.470022154471561,0.0475496306843594,0.1643679145962314,9130.878,205.48766,0.0,0.0,0.0,"nan",342.911,56.109
"FSR_0667",61.766,51.141,0.901,0.135,-3.87,0.196,1144.9,12.846107,25.711552,3,"nan",0.0,0.0,0,"nan",-9341.161,116.88032,551.4697,64.380356,-13.665933,1.5953999,-8.569906,22.537542,242.84927,12.562284,-5.2002144,1.7602626,10.421556419718014,8.952349535960582,0.0758343148314291,0.0836386658942521,9358.553,120.786606,0.0,0.0,0.0,"nan",61.766,51.141
"FSR_0683",77.168,53.213,-0.134,0.213,-0.812,0.114,3147.0,-69.99,72.874435,2,"nan",-0.2055,0.01909188,2,"nan",-11189.1,984.7696,1272.9093,439.97208,422.41025,146.00293,69.83556,65.95981,216.54744,29.626831,-10.791901,10.496824,12.757038376336702,9.434971780466835,0.1496965156557212,0.5658428298397344,11268.402,1036.8019,0.0,0.0,0.0,"nan",77.168,53.213
"FSR_0686",66.353,46.098,-1.088,0.118,-2.556,0.068,896.4,-12.708045,2.3338442,10,"Y",-0.15316667,0.109282054,6,"nan",-9164.291,74.85298,352.69144,32.02791,-34.63066,3.1448123,21.372334,2.1658435,242.89822,1.0521504,-3.144658,1.0497912,9.95337516865285,9.062108950716125,0.0468705509858091,0.0487460457616144,9171.39,76.02239,0.0,0.0,0.0,"nan",66.353,46.098
"FSR_0716",77.786,45.718,-0.265,0.126,-1.628,0.1,3561.8,2.1960828,5.733925,9,"Y",-0.088666655,0.39796022,3,"nan",-11707.662,1386.9392,1077.8735,443.90933,223.64172,92.10402,1.857336,6.1854105,234.6554,6.8997116,-12.3916855,7.2687535,12.896255403579456,11.292077665314192,0.0663203096177077,0.4257012737196718,11786.2295,1406.1483,8.868,4252.065,0.34354842,"(3)",77.786,45.718
"FSR_0728",67.458,38.496,1.991,0.224,-2.224,0.127,1747.2,-11.975029,3.5051465,13,"Y",-0.25233334,0.26405364,3,"nan",-9999.192,296.73834,509.92575,91.19791,-209.2532,37.424046,15.262865,3.5882068,225.10162,4.48202,8.160783,1.5942625,10.09038758479563,9.194273672323398,0.0464677030373778,0.2291452314681405,10013.19,303.5078,8.255,1816.0,0.791,"(2)",67.458,38.496
"FSR_0771",75.919,32.157,1.631,0.12,-4.203,0.061,1546.5,-10.5168085,5.1148176,9,"Y",0.009999998,0.2166361,6,"nan",-9865.14,241.87267,207.37537,32.887253,-152.62886,24.20506,18.0741,5.0822926,219.21523,4.9727893,-0.7329893,1.6467042,10.043075182781164,8.43616842052025,0.0869573883410374,0.1248358307371078,9873.228,241.02643,0.0,0.0,0.0,"nan",75.919,32.157
"FSR_0811",94.105,36.377,0.948,0.144,-2.064,0.11,2821.3,-6.142033,27.752043,6,"nan",-0.18699999,0.47588968,3,"nan",-11114.697,853.6869,161.49437,49.68643,454.4974,139.83386,15.19235,27.354652,221.59787,8.828506,5.059245,4.829946,11.344406857274883,10.048230579255716,0.0605898305837589,0.5125502784185104,11145.259,862.39954,0.0,0.0,0.0,"nan",94.105,36.377
"FSR_0826",85.765,28.989,-0.535,0.174,-1.585,0.142,3226.7,-16.329695,31.858831,9,"nan",0.0,0.0,0,"nan",-11569.623,1160.9635,19.051355,6.8484406,-25.3664,9.118532,27.487192,31.85729,235.82019,5.7611747,-12.327076,6.854265,13.083949689770652,10.90347567365603,0.090900710813223,0.2806261924903057,11564.724,1172.4326,7.3,2100.0,1.149,"(2)",85.765,28.989
"FSR_0833",91.32,30.827,-0.036,0.121,-0.807,0.11,4650.7,-0.115919255,38.86341,3,"nan",0.0,0.0,0,"nan",-12939.004,2774.8916,-40.9366,24.69992,372.7874,224.92902,10.59833,38.736267,237.0543,7.489394,-2.0411224,5.9369845,14.51084527949873,12.87430524835906,0.0597601254546651,0.4565596098081636,12960.033,2767.2058,0.0,0.0,0.0,"nan",91.32,30.827
