"Name","Type","u_Type","RAJ2000","DEJ2000","GLON","GLAT","r0","r1","r2","pmRA","pmDE","e_pm","RV","e_RV","n_RV","N1sr0","N1sr1","N1sr2","d","E(B-V)","MOD","E(J-Ks)","E(J-H)","DeltaH","logt","e_logt","Nt","rc","e_rc","rt","e_rt","k","e_k","Source","SType","[Fe/H]"
"Teutsch_126, MWSC_3599","nan","nan",333.439,55.753,101.988,-0.573,0.018,0.065,0.1,-0.08,-3.07,0.42,"nan","nan","nan",4,36,69,1819.0,0.625,11.5,0.3,0.2,-0.03,8.8,"nan","nan",1.16,0.26,4.66,0.84,8.86,1.54,"DIAS","nan","nan"
"PTB_3, MWSC_3600","nan","nan",333.349,70.045,110.14,11.2,0.02,0.065,0.155,-2.12,-1.5,0.45,"nan","nan","nan",3,25,93,3220.0,0.5,12.7,0.24,0.16,-0.01,9.5,"nan","nan",1.89,0.47,16.86,4.47,1.78,0.31,"BIEM","irc","nan"
"NGC_7243, MWSC_3602","nan","nan",333.795,49.875,98.845,-5.548,0.06,0.2,0.6,-0.05,-1.73,0.2,-12.61,2.47,28.0,18,141,773,850.0,0.221,9.718,0.106,0.071,-0.01,8.02,"nan","nan",7.64,2.55,11.82,1.6,10.69,7.58,"COCD","nan","nan"
"NGC_7245, MWSC_3603","nan","nan",333.81,54.333,101.364,-1.866,0.02,0.065,0.16,-5.62,-3.2,0.42,"nan","nan","nan",5,32,86,4000.0,0.475,13.163,0.228,0.152,0.0,8.55,"nan","nan",1.57,0.35,17.14,4.13,2.75,0.54,"DIAS","nan","nan"
"King_9, MWSC_3604","nan","nan",333.885,54.402,101.439,-1.834,0.013,0.035,0.085,0.22,0.55,0.93,"nan","nan","nan",4,10,26,8001.0,0.371,14.635,0.178,0.119,0.0,9.5,"nan","nan",1.62,0.25,24.43,3.74,2.68,0.48,"DIAS","nan","nan"
"Kumar_21, MWSC_3605","nan","nan",334.087,60.103,104.716,2.833,0.02,0.045,0.075,-1.55,-2.34,0.53,"nan","nan","nan",4,18,40,2500.0,1.651,12.521,0.793,0.529,0.0,7.68,"nan","nan",0.76,0.17,6.03,1.41,11.46,1.88,"DIAS","irc","nan"
"IC_1442, MWSC_3606","nan","nan",333.997,53.995,101.265,-2.208,0.02,0.07,0.155,-3.17,-1.44,0.39,-63.5,0.9,1.0,3,31,151,1750.0,0.5,11.376,0.24,0.16,0.0,7.6,"nan","nan",0.83,0.39,9.92,5.11,2.77,1.0,"COCD","nan","nan"
"FSR_0369, MWSC_3607","nan","nan",334.165,60.803,105.139,3.392,0.009,0.035,0.06,-1.64,-8.27,0.57,"nan","nan","nan",3,14,27,4427.0,1.77,13.8,0.85,0.567,-0.01,9.1,"nan","nan",0.39,0.18,6.91,3.33,7.27,3.94,"DIAS","irc","nan"
"Pismis-Moreno_1, MWSC_3611","nan","nan",334.605,63.222,106.659,5.289,0.035,0.083,0.225,0.62,-2.29,0.54,-23.25,0.25,2.0,11,31,112,800.0,0.55,9.692,0.264,0.176,-0.02,7.4,"nan","nan",1.15,0.13,4.93,0.49,62.99,4.76,"COCD","nan","nan"
"ASCC_119, MWSC_3614","nan","nan",334.665,46.885,97.64,-8.349,0.025,0.08,0.21,-4.88,-5.5,0.68,"nan","nan","nan",3,16,95,1200.0,0.1,10.428,0.048,0.032,0.0,8.791,0.017,2.0,1.47,1.37,6.93,5.55,0.23,0.16,"COCD","nan","nan"
"NGC_7261, MWSC_3617","nan","nan",335.118,58.113,104.06,0.881,0.02,0.085,0.22,-4.36,-7.54,0.3,"nan","nan","nan",3,67,254,2700.0,0.899,12.446,0.432,0.288,0.0,8.4,"nan","nan",2.74,0.59,17.33,3.78,2.28,0.24,"DIAS","nan","nan"
"Berkeley_94, MWSC_3618","nan","nan",335.737,55.87,103.13,-1.188,0.01,0.035,0.06,-0.42,-2.22,0.63,"nan","nan","nan",4,14,32,2600.0,0.6,12.268,0.288,0.192,-0.02,7.45,"nan","nan",0.43,0.08,7.17,1.36,23.76,4.86,"DIAS","nan","nan"
"Teutsch_53, MWSC_3622","nan","nan",336.09,60.413,105.719,2.55,0.02,0.045,0.075,-6.11,-5.68,0.64,"nan","nan","nan",6,23,45,5502.0,1.599,14.217,0.768,0.512,0.0,8.85,"nan","nan",2.37,0.62,12.75,3.0,0.95,0.18,"DIAS","nan","nan"
"PTB_2, MWSC_3623","nan","nan",336.3,71.54,111.815,11.895,0.028,0.15,0.25,1.04,-2.75,0.3,"nan","nan","nan",4,46,140,3093.0,0.77,12.7,0.37,0.247,-0.015,9.3,"nan","nan",3.4,2.57,23.69,18.08,0.13,0.05,"BIEM","irc","nan"
"NGC_7281, MWSC_3624","nan","nan",336.265,57.82,104.416,0.307,0.02,0.08,0.18,-1.56,-2.44,0.36,"nan","nan","nan",2,42,191,1600.0,0.5,11.182,0.24,0.16,0.0,7.86,"nan","nan",2.73,0.51,7.65,1.01,10.02,2.12,"COCD","nan","nan"
"NGC_7296, MWSC_3625","nan","nan",337.012,52.33,101.886,-4.586,0.012,0.045,0.1,-3.41,-4.5,0.59,"nan","nan","nan",3,19,57,2013.0,0.189,11.58,0.091,0.061,-0.02,8.675,0.031,4.0,0.7,0.18,6.59,1.8,8.71,1.88,"DIAS","nan","nan"
"Berkeley_95, MWSC_3626","nan","nan",337.072,59.14,105.468,1.208,0.02,0.06,0.12,-3.26,-3.34,0.36,"nan","nan","nan",11,46,124,1800.0,1.21,11.666,0.581,0.388,-0.01,8.55,"nan","nan",0.78,0.09,7.17,0.92,50.78,4.09,"DIAS","nan","nan"
"Teutsch_76, MWSC_3628","nan","nan",337.185,61.634,106.815,3.309,0.012,0.03,0.067,-2.88,-5.0,0.77,"nan","nan","nan",3,13,33,3501.0,1.274,13.131,0.612,0.408,0.0,6.9,"nan","nan",0.7,0.28,6.17,2.61,4.43,1.44,"DIAS","nan","nan"
"Berkeley_96, MWSC_3630","nan","nan",337.47,55.405,103.717,-2.098,0.01,0.04,0.08,-4.49,-3.6,0.48,"nan","nan","nan",2,23,65,3200.0,0.681,12.745,0.327,0.218,0.0,7.0,"nan","nan",1.81,0.62,9.48,2.77,0.79,0.2,"DIAS","nan","nan"
"ASCC_120, MWSC_3631","nan","nan",337.567,57.195,104.685,-0.592,0.04,0.1,0.21,-2.58,-2.25,0.34,-60.8,1.8,1.0,6,49,206,1500.0,0.66,11.093,0.317,0.211,-0.03,7.4,"nan","nan",4.56,1.97,9.52,2.35,0.97,0.66,"COCD","nan","nan"
"ASCC_121, MWSC_3632","nan","nan",337.707,54.845,103.545,-2.648,0.04,0.125,0.235,-2.65,-0.15,0.33,-64.3,7.4,1.0,11,68,182,2701.0,0.45,12.302,0.216,0.144,-0.02,6.4,"nan","nan",3.95,1.09,17.54,4.34,1.3,0.21,"COCD","nan","nan"
"FSR_0357, MWSC_3633","nan","nan",337.707,53.954,103.087,-3.413,0.01,0.033,0.075,-8.15,-1.78,0.59,"nan","nan","nan",2,14,41,2500.0,0.4,12.118,0.192,0.128,0.0,8.835,0.01,2.0,1.46,0.64,7.0,2.77,1.18,0.34,"DIAS","irc","nan"
"FSR_0405, MWSC_3634","nan","nan",338.197,66.67,109.8,7.398,0.02,0.075,0.125,-2.81,-1.84,0.33,"nan","nan","nan",7,49,91,5213.0,0.666,13.8,0.32,0.213,0.0,9.3,"nan","nan",4.27,2.72,24.34,15.3,0.08,0.03,"FPOS","nan","nan"
"FSR_0365, MWSC_3636","nan","nan",338.266,55.535,104.172,-2.217,0.01,0.06,0.11,-2.59,-2.17,0.35,"nan","nan","nan",3,30,94,3864.0,0.822,13.2,0.395,0.263,0.03,8.905,0.055,11.0,1.03,0.24,12.68,3.13,4.33,1.0,"DIAS","irc","nan"
"FSR_0330, MWSC_3639","nan","nan",338.548,43.34,98.064,-12.809,0.03,0.105,0.187,-1.86,-1.45,0.38,"nan","nan","nan",7,41,113,1900.0,0.4,11.522,0.192,0.128,0.0,9.135,"nan","nan",0.93,0.38,9.05,3.88,2.37,0.83,"FPOS","nan","nan"
"FSR_0331, MWSC_3640","nan","nan",338.685,43.44,98.204,-12.774,0.035,0.085,0.185,-3.19,-1.09,0.54,"nan","nan","nan",8,20,62,3001.0,0.042,12.4,0.02,0.013,-0.01,9.3,"nan","nan",2.68,0.79,13.19,3.57,1.21,0.23,"FPOS","nan","nan"
"FSR_0377, MWSC_3641","nan","nan",338.655,58.295,105.744,0.062,0.01,0.03,0.05,-4.58,-1.53,0.77,"nan","nan","nan",4,13,20,2300.0,0.6,12.002,0.288,0.192,-0.015,7.7,"nan","nan",1.84,1.04,4.57,1.67,1.3,0.94,"DIAS","irc","nan"
"Teutsch_39, MWSC_3643","nan","nan",339.154,37.726,95.466,-17.855,0.025,0.085,0.19,-4.37,-6.15,0.68,-19.5,0.0,1.0,2,11,33,600.0,0.2,8.955,0.096,0.064,0.0,7.7,"nan","nan",0.39,0.19,2.71,1.3,15.64,4.92,"DIAS","nan","nan"
"FSR_0398, MWSC_3644","nan","nan",339.06,64.133,108.826,5.026,0.02,0.09,0.225,-2.37,-0.45,0.3,"nan","nan","nan",5,63,294,1200.0,0.849,10.669,0.408,0.272,-0.015,7.7,"nan","nan",0.77,0.23,7.69,2.52,10.4,2.14,"FPOS","nan","nan"
"FSR_0362, MWSC_3647","nan","nan",339.787,53.63,103.991,-4.308,0.012,0.045,0.09,-5.18,-3.25,0.48,"nan","nan","nan",2,25,77,5501.0,0.5,13.863,0.24,0.16,0.0,9.009,0.028,8.0,3.5,0.65,16.63,2.72,1.07,0.14,"FPOS","nan","nan"
"Berkeley_97, MWSC_3648","nan","nan",339.849,59.017,106.64,0.384,0.012,0.03,0.065,-1.18,-3.35,0.67,"nan","nan","nan",3,14,49,1800.0,0.737,11.514,0.354,0.236,-0.02,7.55,"nan","nan",0.36,0.12,4.31,1.49,17.58,5.2,"DIAS","nan","nan"
"Czernik_42, MWSC_3650","nan","nan",339.903,59.918,107.101,1.159,0.01,0.037,0.075,-2.78,-2.67,0.59,"nan","nan","nan",5,24,85,4001.0,1.224,13.405,0.588,0.392,0.0,6.7,"nan","nan",1.03,0.61,11.19,7.14,0.58,0.31,"DIAS","nan","nan"
"FSR_0381, MWSC_3652","nan","nan",340.533,58.34,106.626,-0.38,0.02,0.06,0.15,-3.14,-0.37,0.26,"nan","nan","nan",8,38,182,3392.0,0.77,12.9,0.37,0.247,-0.01,8.98,"nan","nan",3.3,0.65,15.72,2.85,1.86,0.22,"DIAS","irc","nan"
"FSR_0385, MWSC_3653","nan","nan",340.627,58.92,106.945,0.106,0.017,0.045,0.075,-1.1,2.26,0.6,"nan","nan","nan",6,18,40,1726.0,0.979,11.5,0.47,0.313,0.0,8.85,"nan","nan",0.43,0.17,2.7,1.05,23.24,5.82,"DIAS","irc","nan"
"Berkeley_98, MWSC_3655","nan","nan",340.654,52.368,103.839,-5.665,0.013,0.075,0.17,-5.83,-0.37,0.35,"nan","nan","nan",4,56,207,4201.0,0.2,13.181,0.096,0.064,0.0,9.32,"nan","nan",1.49,0.72,23.85,12.99,0.73,0.33,"DIAS","nan","nan"
"FSR_0449, MWSC_3657","nan","nan",341.562,75.81,115.36,14.81,0.013,0.055,0.105,0.06,-2.16,0.57,"nan","nan","nan",2,18,29,2251.0,0.999,12.083,0.48,0.32,0.015,8.058,"nan",1.0,0.67,0.27,9.08,3.88,2.82,1.14,"FPOS","nan","nan"
"Teutsch_54, MWSC_3661","nan","nan",341.842,59.783,107.896,0.581,0.01,0.037,0.075,-0.62,2.53,0.55,"nan","nan","nan",3,17,40,4004.0,0.583,13.2,0.28,0.187,-0.02,9.15,"nan","nan",0.99,0.4,8.99,3.68,2.21,0.71,"DIAS","nan","nan"
"ASCC_124, MWSC_3663","nan","nan",341.895,46.31,101.67,-11.388,0.04,0.12,0.31,0.41,-0.78,0.36,"nan","nan","nan",9,39,158,700.0,0.179,9.283,0.086,0.057,-0.04,8.191,"nan",1.0,1.29,0.42,5.23,1.46,12.71,2.75,"COCD","nan","nan"
"FSR_0428, MWSC_3665","nan","nan",342.345,69.079,112.358,8.749,0.02,0.07,0.13,-2.23,-3.68,0.48,"nan","nan","nan",7,23,72,3616.0,0.65,13.0,0.312,0.208,0.005,9.23,0.022,2.0,1.25,0.58,14.46,7.45,1.3,0.47,"FPOS","nan","nan"
"FSR_0429, MWSC_3667","nan","nan",342.865,69.058,112.516,8.646,0.015,0.06,0.125,-0.09,-1.16,0.55,"nan","nan","nan",4,20,53,4001.0,1.299,13.429,0.624,0.416,-0.02,9.004,0.03,8.0,2.55,0.6,17.5,4.1,1.0,0.16,"FPOS","nan","nan"
"FSR_0384, MWSC_3668","nan","nan",342.927,56.103,106.747,-2.963,0.013,0.045,0.1,-0.53,-1.1,0.49,"nan","nan","nan",3,23,67,4799.0,0.604,13.6,0.29,0.193,0.01,8.925,0.023,7.0,1.06,0.34,16.04,5.9,2.6,0.82,"DIAS","irc","nan"
"King_18, MWSC_3669","nan","nan",343.023,58.298,107.768,-1.019,0.012,0.05,0.105,-2.91,3.18,0.53,"nan","nan","nan",3,32,91,2550.0,0.6,12.226,0.288,0.192,0.0,8.525,"nan","nan",2.23,0.44,8.16,1.31,4.06,0.67,"DIAS","nan","nan"
"FSR_0404, MWSC_3670","nan","nan",343.35,62.12,109.599,2.34,0.015,0.07,0.125,-3.01,-3.54,0.64,-39.4,0.0,1.0,3,23,48,5763.0,2.165,14.5,1.04,0.694,0.0,8.4,"nan","nan",1.47,0.44,23.74,7.99,1.65,0.49,"DIAS","irc","nan"
"FSR_0406, MWSC_3671","nan","nan",343.428,62.6,109.843,2.756,0.013,0.06,0.1,-0.96,-2.43,0.46,"nan","nan","nan",3,49,95,7001.0,1.449,14.692,0.696,0.464,0.01,9.0,"nan","nan",3.77,0.81,17.25,3.26,0.97,0.15,"DIAS","irc","nan"
"NGC_7419, MWSC_3672","nan","nan",343.572,60.8,109.117,1.107,0.025,0.068,0.13,-0.7,1.55,0.31,-74.0,4.5,5.0,18,76,159,2100.0,1.901,12.223,0.913,0.609,-0.01,7.5,"nan","nan",0.97,0.12,7.85,1.04,35.88,2.82,"DIAS","nan","nan"
"King_10, MWSC_3673","nan","nan",343.755,59.17,108.492,-0.401,0.02,0.07,0.205,-2.44,2.71,0.25,"nan","nan","nan",20,93,364,2750.0,1.249,12.599,0.6,0.4,0.0,7.825,"nan","nan",0.63,0.26,17.24,7.92,5.56,2.65,"DIAS","nan","nan"
"NGC_7423, MWSC_3674","nan","nan",343.791,57.095,107.611,-2.28,0.015,0.06,0.11,3.91,1.24,0.43,"nan","nan","nan",4,35,80,6001.0,0.5,14.052,0.24,0.16,0.0,8.901,0.038,2.0,2.07,0.44,21.6,4.99,1.89,0.31,"DIAS","nan","nan"
"FSR_0394, MWSC_3675","nan","nan",343.785,58.725,108.313,-0.809,0.01,0.045,0.095,-5.62,1.78,0.38,"nan","nan","nan",2,35,97,4739.0,0.999,13.7,0.48,0.32,-0.03,9.2,"nan","nan",1.31,0.25,17.24,3.67,4.06,0.72,"DIAS","irc","nan"
"NGC_7429, MWSC_3676","nan","nan",343.972,59.96,108.932,0.264,0.02,0.075,0.125,-2.59,2.38,0.4,"nan","nan","nan",4,49,118,1250.0,0.949,10.79,0.456,0.304,0.0,8.08,"nan","nan",0.45,0.17,4.91,1.88,8.3,2.97,"DIAS","nan","nan"
"NGC_7438, MWSC_3682","nan","nan",344.34,54.375,106.719,-4.869,0.015,0.095,0.25,0.01,-1.55,0.44,-17.0,3.7,1.0,1,28,223,1000.0,0.35,10.113,0.168,0.112,0.0,8.8,0.028,3.0,1.71,0.55,6.69,1.82,3.88,0.93,"COCD","nan","nan"
"FSR_0423, MWSC_3683","nan","nan",344.374,65.48,111.464,5.174,0.02,0.06,0.15,-0.87,-2.79,0.42,"nan","nan","nan",7,33,144,3801.0,1.049,13.237,0.504,0.336,0.0,9.1,"nan","nan",3.3,0.74,19.92,4.48,1.11,0.13,"FPOS","nan","nan"
"BDSB_37, MWSC_3685","nan","nan",344.775,59.468,109.09,-0.353,0.01,0.028,0.055,-4.52,1.74,0.84,"nan","nan","nan",3,10,25,2251.0,0.899,12.051,0.432,0.288,0.0,8.7,"nan","nan",0.43,0.2,3.69,1.78,9.22,3.21,"BOPN","irc","nan"
"FSR_0401, MWSC_3686","nan","nan",345.247,59.705,109.406,-0.237,0.015,0.065,0.1,-6.9,2.6,0.3,"nan","nan","nan",8,60,101,3208.0,1.145,12.9,0.55,0.367,0.04,8.6,"nan","nan",0.59,0.24,11.07,5.02,4.5,2.02,"DIAS","irc","nan"
"FSR_0413, MWSC_3687","nan","nan",345.21,62.888,110.704,2.669,0.01,0.03,0.065,-4.95,-2.17,0.84,"nan","nan","nan",3,8,22,1800.0,1.549,11.775,0.744,0.496,0.0,8.25,"nan","nan",0.18,0.14,2.76,2.21,16.84,13.21,"DIAS","irc","nan"
"FSR_0414, MWSC_3688","nan","nan",345.435,62.983,110.837,2.713,0.012,0.05,0.075,-1.31,-0.36,0.62,-23.0,0.0,1.0,4,19,32,831.0,0.625,9.8,0.3,0.2,-0.02,8.79,"nan",1.0,0.17,0.06,1.32,0.46,99.87,30.7,"DIAS","irc","nan"
"FSR_0416, MWSC_3689","nan","nan",345.525,63.065,110.908,2.771,0.02,0.05,0.11,-1.49,-0.09,0.79,"nan","nan","nan",6,13,42,700.0,0.55,9.402,0.264,0.176,-0.02,7.85,"nan","nan",0.42,0.11,2.98,0.77,31.53,5.08,"DIAS","irc","nan"
"FSR_0418, MWSC_3692","nan","nan",346.113,63.166,111.192,2.756,0.02,0.07,0.155,-2.41,-1.07,0.37,"nan","nan","nan",4,39,156,2926.0,1.457,12.8,0.7,0.467,0.01,8.85,"nan","nan",1.74,0.35,15.68,3.47,3.36,0.45,"FPOS","nan","nan"
"FSR_0371, MWSC_3696","nan","nan",346.314,48.248,105.281,-10.954,0.03,0.1,0.165,-3.93,-1.35,0.34,"nan","nan","nan",4,43,106,3541.0,0.791,13.0,0.38,0.253,0.05,8.7,"nan","nan",2.39,0.86,17.96,6.65,0.62,0.14,"FPOS","nan","nan"
"ASCC_126, MWSC_3699","nan","nan",346.455,51.07,106.518,-8.407,0.03,0.15,0.28,-2.02,-2.97,0.37,-12.7,1.8,1.0,4,47,124,900.0,0.1,9.803,0.048,0.032,-0.03,7.451,"nan",1.0,2.43,1.07,6.69,2.09,2.99,1.57,"COCD","nan","nan"
"Pfleiderer_3, MWSC_3702","nan","nan",347.032,60.878,110.686,0.483,0.015,0.045,0.09,-4.2,-0.87,0.44,"nan","nan","nan",14,47,93,5500.0,1.651,14.233,0.793,0.529,0.0,9.0,"nan","nan",1.29,0.27,18.21,4.21,3.86,0.75,"DIAS","nan","nan"
"King_19, MWSC_3703","nan","nan",347.047,60.528,110.557,0.158,0.011,0.055,0.145,-6.51,-1.09,0.32,"nan","nan","nan",5,55,185,2000.0,0.6,11.698,0.288,0.192,-0.035,9.1,"nan","nan",1.0,0.3,8.46,2.64,4.87,1.03,"DIAS","nan","nan"
"NGC_7510, MWSC_3706","nan","nan",347.757,60.579,110.899,0.072,0.012,0.065,0.133,-2.83,-1.46,0.25,"nan","nan","nan",6,82,216,2100.0,0.949,11.917,0.456,0.304,-0.015,7.7,"nan","nan",0.81,0.18,8.41,2.03,14.55,2.35,"COCD","nan","nan"
"NGC_7538, MWSC_3707","nan","nan",348.405,61.5,111.534,0.809,0.025,0.065,0.105,-2.4,-2.67,0.56,"nan","nan","nan",2,16,41,2800.0,1.149,12.606,0.552,0.368,-0.03,6.3,"nan","nan",1.2,0.46,6.55,2.32,2.55,0.69,"BIEM","irc","nan"
"FSR_0417, MWSC_3709","nan","nan",348.487,59.855,110.966,-0.735,0.018,0.05,0.1,-2.38,0.54,0.57,-65.0,0.0,1.0,6,22,75,2329.0,0.666,12.05,0.32,0.213,0.0,8.83,0.034,3.0,0.75,0.32,7.12,3.2,2.73,1.01,"DIAS","irc","nan"
"FSR_0425, MWSC_3710","nan","nan",348.699,61.285,111.586,0.557,0.015,0.05,0.09,-1.89,-1.21,0.48,"nan","nan","nan",7,26,53,2644.0,1.208,12.5,0.58,0.387,0.0,8.7,0.035,8.0,1.2,0.39,5.2,1.39,4.2,1.02,"DIAS","irc","nan"
"FSR_0422, MWSC_3711","nan","nan",348.804,60.81,111.46,0.096,0.015,0.05,0.075,-0.89,-1.93,0.47,"nan","nan","nan",4,23,44,1200.0,0.7,10.621,0.336,0.224,-0.015,8.664,0.027,2.0,0.46,0.09,3.31,0.46,22.27,4.08,"DIAS","irc","nan"
"Markarian_50, MWSC_3712","nan","nan",348.813,60.434,111.328,-0.256,0.01,0.04,0.075,-0.31,-1.54,0.5,-81.0,2.0,"nan",2,26,59,2300.0,0.81,12.069,0.389,0.259,0.0,7.1,"nan","nan",0.64,0.08,6.67,0.65,19.04,2.88,"DIAS","nan","nan"
"FSR_0430, MWSC_3713","nan","nan",348.856,64.155,112.697,3.205,0.035,0.09,0.135,-3.6,-0.73,0.34,"nan","nan","nan",10,47,84,871.0,0.625,9.9,0.3,0.2,-0.03,8.88,"nan","nan",0.47,0.15,2.53,0.75,22.3,5.27,"FPRO","nan","nan"
"PTB_4, MWSC_3718","nan","nan",349.815,70.09,115.18,8.615,0.02,0.09,0.19,-0.85,-1.59,0.45,"nan","nan","nan",5,30,99,2000.0,1.199,11.891,0.576,0.384,0.0,7.0,"nan","nan",1.36,0.36,9.25,2.37,3.46,0.65,"BIEM","irc","nan"
"ASCC_128, MWSC_3720","nan","nan",350.28,54.67,110.028,-5.926,0.02,0.1,0.23,-1.58,-1.68,0.42,"nan","nan","nan",3,30,126,900.0,0.2,9.836,0.096,0.064,-0.015,8.454,0.016,2.0,0.74,0.28,5.35,2.06,5.72,1.5,"COCD","nan","nan"
"BDSB_44, MWSC_3721","nan","nan",350.178,61.2,112.221,0.226,0.01,0.07,0.13,0.6,-2.0,0.56,-27.0,0.0,1.0,1,25,101,2500.0,0.899,12.279,0.432,0.288,0.0,6.87,"nan",1.0,0.87,0.27,9.76,3.28,4.55,1.22,"BOPN","irc","nan"
"Berkeley_99, MWSC_3722","nan","nan",350.344,71.788,115.945,10.145,0.01,0.05,0.125,-4.49,-0.69,0.44,-62.28,7.46,9.0,2,23,75,4999.0,0.3,13.591,0.144,0.096,-0.015,9.348,"nan",1.0,2.67,0.39,16.84,2.42,2.73,0.28,"DIAS","nan",-0.58
"Dolidze_46, MWSC_3724","nan","nan",350.514,55.745,110.523,-4.961,0.01,0.045,0.11,-2.38,-1.97,0.39,"nan","nan","nan",3,29,71,1450.0,0.3,10.903,0.144,0.096,0.0,8.412,"nan",1.0,0.54,0.15,5.73,1.75,9.2,2.39,"DREM","ast","nan"
"NGC_7654, MWSC_3725","nan","nan",351.177,61.637,112.818,0.477,0.025,0.1,0.325,-0.17,-3.41,0.17,-40.0,5.6,1.0,17,189,1139,1350.0,0.65,10.861,0.312,0.208,-0.03,7.9,"nan","nan",2.31,0.22,10.54,0.91,28.32,1.62,"COCD","nan","nan"
"Czernik_43, MWSC_3726","nan","nan",351.469,61.375,112.865,0.184,0.02,0.065,0.145,-0.39,-4.07,0.36,-58.05,2.95,2.0,6,45,180,2500.0,0.7,12.215,0.336,0.224,0.03,7.76,0.314,2.0,0.9,0.23,11.13,3.04,5.7,1.33,"COCD","nan","nan"
"Berkeley_100, MWSC_3727","nan","nan",351.477,63.778,113.648,2.456,0.01,0.028,0.065,-1.25,-2.58,1.09,"nan","nan","nan",3,8,28,2700.0,1.21,12.546,0.581,0.388,0.04,7.432,"nan",1.0,0.18,0.11,4.24,2.53,20.88,16.12,"DIAS","dub","nan"
"ASCC_129, MWSC_3730","nan","nan",352.027,55.613,111.288,-5.367,0.02,0.09,0.26,-0.63,-2.88,0.31,"nan","nan","nan",3,54,363,2000.0,0.3,11.602,0.144,0.096,0.0,9.05,"nan","nan",2.17,0.67,18.0,6.13,1.3,0.23,"COCD","nan","nan"
"FSR_0427, MWSC_3731","nan","nan",352.36,56.945,111.886,-4.161,0.015,0.068,0.115,-1.42,-0.11,0.31,"nan","nan","nan",5,56,113,1633.0,0.729,11.3,0.35,0.233,0.0,8.6,"nan","nan",2.22,0.54,5.42,0.86,7.54,2.44,"FPOS","nan","nan"
"FSR_0442, MWSC_3732","nan","nan",352.5,63.435,113.971,1.986,0.025,0.085,0.18,-0.49,-4.09,0.29,"nan","nan","nan",16,89,205,1252.0,1.437,10.95,0.69,0.46,0.0,9.0,"nan","nan",0.85,0.14,5.69,0.96,40.61,3.55,"DIAS","irc","nan"
"NGC_7686, MWSC_3734","nan","nan",352.422,49.17,109.451,-11.553,0.02,0.06,0.11,-1.15,-1.21,0.55,6.0,"nan","nan",3,17,41,2100.0,0.4,11.74,0.192,0.128,0.015,9.053,0.054,3.0,1.02,0.33,4.85,1.3,4.05,1.05,"DIAS","nan","nan"
"Skiff_J2330+60.2, MWSC_3735","nan","nan",352.575,60.247,113.019,-1.057,0.01,0.045,0.14,-2.6,-1.13,0.53,"nan","nan","nan",5,23,147,1801.0,1.312,11.7,0.63,0.42,0.02,8.4,"nan","nan",0.54,0.25,9.43,5.07,4.86,2.23,"DIAS","nan","nan"
"FSR_0435, MWSC_3736","nan","nan",352.807,59.775,112.984,-1.542,0.018,0.08,0.14,-2.33,-0.71,0.33,"nan","nan","nan",5,51,134,805.0,0.531,9.7,0.255,0.17,-0.06,8.35,"nan","nan",0.25,0.07,3.87,1.21,51.27,15.1,"DIAS","irc","nan"
"Berkeley_101, MWSC_3737","nan","nan",353.188,64.205,114.496,2.627,0.012,0.055,0.18,-2.05,-0.11,0.37,"nan","nan","nan",7,35,163,3000.0,0.949,12.691,0.456,0.304,0.01,8.86,"nan","nan",1.34,0.23,17.58,3.33,8.36,1.18,"DIAS","dub","nan"
"Stock_11, MWSC_3738","nan","nan",352.845,55.813,111.79,-5.32,0.02,0.05,0.108,0.55,-1.38,0.55,"nan","nan","nan",6,17,64,1600.0,0.35,11.133,0.168,0.112,-0.02,9.086,"nan",1.0,0.46,0.12,4.81,1.23,18.16,4.55,"DIAS","non","nan"
"King_20, MWSC_3739","nan","nan",353.325,58.463,112.842,-2.873,0.03,0.06,0.115,-1.73,5.32,0.43,"nan","nan","nan",15,39,82,1850.0,0.7,11.561,0.336,0.224,-0.02,8.648,0.05,7.0,0.92,0.19,7.14,1.54,9.26,1.38,"DIAS","nan","nan"
"Czernik_44, MWSC_3740","nan","nan",353.395,61.938,113.909,0.435,0.02,0.05,0.1,-3.76,-2.19,0.42,"nan","nan","nan",8,29,86,1536.0,0.833,11.2,0.4,0.267,-0.02,7.5,"nan","nan",0.75,0.16,4.14,0.77,11.61,2.04,"DIAS","nan","nan"
"Stock_12, MWSC_3743","nan","nan",353.895,52.685,111.437,-8.488,0.05,0.15,0.5,7.55,-2.07,0.53,"nan","nan","nan",4,19,143,430.0,0.05,8.183,0.024,0.016,-0.03,8.45,"nan","nan",3.4,1.84,5.2,1.14,20.39,23.74,"COCD","nan","nan"
"NGC_7708, MWSC_3745","nan","nan",354.075,72.851,117.382,10.791,0.02,0.085,0.195,-2.39,1.04,0.42,"nan","nan","nan",2,28,110,1952.0,0.77,11.7,0.37,0.247,0.02,8.76,"nan","nan",1.01,0.33,10.92,3.94,3.42,0.94,"DIAS","non","nan"
"FSR_0464, MWSC_3746","nan","nan",354.517,70.685,116.884,8.676,0.01,0.08,0.14,-1.05,2.91,0.38,"nan","nan","nan",3,37,104,3330.0,0.583,12.8,0.28,0.187,0.02,9.145,0.034,15.0,5.92,1.14,15.24,1.97,1.83,0.44,"FPOS","nan","nan"
