"Name","Type","u_Type","RAJ2000","DEJ2000","GLON","GLAT","r0","r1","r2","pmRA","pmDE","e_pm","RV","e_RV","n_RV","N1sr0","N1sr1","N1sr2","d","E(B-V)","MOD","E(J-Ks)","E(J-H)","DeltaH","logt","e_logt","Nt","rc","e_rc","rt","e_rt","k","e_k","Source","SType","[Fe/H]"
"FSR_0295, MWSC_3503","nan","nan",320.662,49.857,92.304,-0.179,0.02,0.05,0.125,-2.08,-2.75,0.4,"nan","nan","nan",10,37,157,1230.0,0.799,10.707,0.384,0.256,0.0,8.8,"nan","nan",0.6,0.11,4.81,0.95,24.72,3.61,"DIAS","irc","nan"
"FSR_0296, MWSC_3506","nan","nan",320.989,49.93,92.505,-0.275,0.01,0.03,0.06,-5.22,-3.65,0.49,"nan","nan","nan",3,17,35,2400.0,0.731,12.136,0.351,0.234,0.0,8.938,0.026,10.0,0.52,0.14,3.67,0.97,21.82,4.2,"DIAS","irc","nan"
"NGC_7067, MWSC_3508","nan","nan",321.052,48.02,91.197,-1.668,0.015,0.04,0.115,-3.01,-2.67,0.53,"nan","nan","nan",5,17,97,2300.0,0.75,12.05,0.36,0.24,0.0,8.1,"nan","nan",0.42,0.14,9.97,3.58,10.54,4.22,"DIAS","nan","nan"
"FSR_0304, MWSC_3509","nan","nan",321.157,51.322,93.555,0.646,0.015,0.06,0.125,-0.99,-1.28,0.31,"nan","nan","nan",8,60,189,1423.0,0.729,11.0,0.35,0.233,0.0,8.785,0.101,3.0,0.91,0.12,5.08,0.65,38.02,3.14,"DIAS","irc","nan"
"Berkeley_92, MWSC_3510","nan","nan",321.195,57.532,97.92,5.069,0.015,0.045,0.105,-2.29,-1.62,0.57,"nan","nan","nan",3,26,102,6000.0,0.799,14.148,0.384,0.256,0.0,9.0,"nan","nan",2.22,0.56,15.15,3.69,1.28,0.24,"DIAS","nan",-0.38
"Kronberger_81, MWSC_3511","nan","nan",321.544,53.534,95.266,2.068,0.015,0.06,0.095,-1.63,-0.97,0.37,"nan","nan","nan",5,53,90,7500.0,1.801,14.955,0.865,0.577,0.02,8.6,"nan","nan",2.59,0.44,20.6,3.55,1.82,0.23,"DIAS","nan","nan"
"FSR_0314, MWSC_3513","nan","nan",321.967,53.742,95.591,2.044,0.025,0.07,0.14,-2.54,0.22,0.33,"nan","nan","nan",12,61,221,1710.0,1.041,11.5,0.5,0.333,0.0,8.14,"nan",1.0,1.68,0.37,8.55,1.76,6.0,0.7,"DIAS","irc","nan"
"FSR_0293, MWSC_3514","nan","nan",321.975,47.15,91.039,-2.726,0.02,0.045,0.085,-2.59,-3.45,0.49,"nan","nan","nan",9,27,72,2801.0,0.4,12.365,0.192,0.128,0.0,9.225,"nan","nan",1.66,0.55,5.17,1.28,5.95,1.95,"FPOS","nan","nan"
"BDSB_24, MWSC_3516","nan","nan",322.219,54.608,96.296,2.569,0.011,0.04,0.1,-1.3,-1.66,0.73,"nan","nan","nan",3,11,41,600.0,0.67,9.106,0.322,0.215,0.0,8.5,"nan","nan",0.41,0.08,2.01,0.36,80.28,10.21,"BOPN","irc","nan"
"NGC_7082, MWSC_3517","nan","nan",322.2,47.11,91.122,-2.86,0.04,0.15,0.325,-1.03,-2.12,0.17,-9.1,"nan",1.0,17,199,832,1300.0,0.239,10.647,0.115,0.077,0.0,8.002,0.17,2.0,6.01,1.37,10.83,1.24,5.46,2.29,"COCD","nan",-0.01
"Platais_1, MWSC_3519","nan","nan",322.515,49.0,92.576,-1.632,0.02,0.063,0.14,-4.54,-0.5,0.59,-15.4,0.2,21.0,4,22,118,3508.0,0.854,13.0,0.41,0.273,0.02,8.2,"nan","nan",2.51,0.88,12.05,3.74,0.8,0.19,"DIAS","nan","nan"
"NGC_7086, MWSC_3520","nan","nan",322.612,51.608,94.407,0.225,0.02,0.08,0.14,-3.2,2.04,0.2,-5.6,1.7,1.0,10,124,275,1600.0,0.77,11.268,0.37,0.247,0.0,8.065,0.131,4.0,0.89,0.12,6.12,0.86,37.12,3.1,"DIAS","nan","nan"
"FSR_0317, MWSC_3525","nan","nan",323.154,53.755,96.111,1.572,0.015,0.053,0.095,-3.21,0.08,0.29,"nan","nan","nan",7,54,118,1934.0,0.833,11.7,0.4,0.267,0.02,8.8,"nan","nan",0.65,0.13,5.51,1.15,22.46,3.25,"DIAS","irc","nan"
"FSR_0307, MWSC_3527","nan","nan",323.524,50.763,94.252,-0.783,0.01,0.035,0.075,-4.86,-3.48,0.6,"nan","nan","nan",2,14,49,1500.0,0.5,11.041,0.24,0.16,0.0,9.15,0.055,4.0,0.25,0.05,4.03,0.85,66.73,15.59,"DIAS","irc","nan"
"NGC_7093, MWSC_3528","nan","nan",323.61,45.915,91.015,-4.396,0.012,0.06,0.13,-2.65,-4.06,0.52,"nan","nan","nan",3,22,108,2500.0,0.881,12.273,0.423,0.282,0.0,8.5,0.121,2.0,2.44,0.82,10.71,3.23,1.18,0.26,"DIAS","non","nan"
"FSR_0312, MWSC_3529","nan","nan",323.721,50.924,94.452,-0.748,0.01,0.03,0.055,-3.19,-2.37,0.62,"nan","nan","nan",3,13,37,2700.0,0.889,12.443,0.427,0.285,0.01,8.66,"nan","nan",0.48,0.21,3.99,1.77,6.5,2.5,"DIAS","irc","nan"
"FSR_0320, MWSC_3530","nan","nan",323.85,53.7,96.378,1.254,0.015,0.055,0.085,-4.55,-1.63,0.44,"nan","nan","nan",4,43,73,4724.0,1.02,13.7,0.49,0.327,0.02,8.85,"nan","nan",4.59,1.49,13.35,2.95,0.33,0.11,"DIAS","irc","nan"
"Kronberger_84, MWSC_3532","nan","nan",323.884,53.515,96.269,1.103,0.01,0.03,0.06,-3.86,0.5,0.93,"nan","nan","nan",3,11,35,1200.0,0.55,10.573,0.264,0.176,-0.02,8.8,"nan","nan",0.29,0.17,1.74,0.98,17.9,7.08,"DIAS","nan","nan"
"FSR_0324, MWSC_3533","nan","nan",324.045,53.805,96.534,1.254,0.015,0.035,0.1,-3.21,-2.43,0.49,"nan","nan","nan",12,26,100,4499.0,0.66,13.478,0.317,0.211,0.0,9.0,"nan","nan",1.51,0.3,10.93,2.16,4.75,0.69,"DIAS","irc","nan"
"BDSB_22, MWSC_3534","nan","nan",324.112,52.465,95.667,0.232,0.01,0.035,0.055,-4.5,2.43,0.55,"nan","nan","nan",3,19,35,2014.0,0.604,11.715,0.29,0.193,0.02,8.9,"nan","nan",0.27,0.16,2.7,1.67,14.52,7.26,"BOPN","irc","nan"
"FSR_0326, MWSC_3538","nan","nan",324.537,53.817,96.758,1.069,0.012,0.045,0.09,-4.91,-3.02,0.5,"nan","nan","nan",5,27,85,8435.0,1.77,15.2,0.85,0.567,-0.02,8.7,"nan","nan",2.66,0.96,17.03,6.03,0.62,0.15,"DIAS","irc","nan"
"IC_1396, MWSC_3539","nan","nan",324.75,57.49,99.291,3.735,0.075,0.24,0.74,-2.29,-4.05,0.27,-12.4,3.43,6.0,18,114,1068,600.0,0.421,9.026,0.202,0.135,-0.02,6.0,"nan","nan",5.51,1.99,8.91,1.4,13.65,10.15,"COCD","nan","nan"
"ASCC_114, MWSC_3542","nan","nan",325.005,53.965,97.063,0.997,0.02,0.1,0.16,-3.7,-2.55,0.36,-22.0,4.9,1.0,2,49,105,590.0,0.26,8.938,0.125,0.083,-0.03,7.75,"nan","nan",0.38,0.1,2.92,0.81,45.92,7.75,"COCD","nan","nan"
