"Name","RA","DEC","pmra","e_pmra","pmde","e_pmde","plx","e_plx","RV","e_RV","r_RV","E(B-V)","(m-M)0","Dist","e_Dist","logAge","[Fe/H]","e_[Fe/H]","Z","e_Z","Nmeas","r_[Fe/H]","Apo","Peri","Rguide","Rbirth","Ecc","Zmax","N","Rgc","Nstars"
"NGC 1193",46.484,44.3832,"nan","nan","nan","nan","nan","nan",-88.1,"nan","2010AJ....139.1942F","nan","nan",4.99,"nan",9.71,-0.34,0.01,"nan","nan","nan","Apogee",13.59,10.5,11.71,10.22,0.13,1.24,"nan",12.37,3.0
"NGC 1245",48.6745,47.2368,"nan","nan","nan","nan","nan","nan",-29.16,0.14,"2021A&A...647A..19T","nan","nan",3.2,"nan",9.08,-0.08,0.02,"nan","nan","nan","Apogee",10.88,9.63,10.17,8.66,0.06,0.48,"nan",10.78,24.0
"NGC 1342",52.9087,37.3767,"nan","nan","nan","nan","nan","nan",-10.35,0.19,"2021A&A...647A..19T","nan","nan",0.69,"nan",8.91,-0.13,0.03,"nan","nan",3.0,"HQ",9.28,8.47,8.85,9.75,0.05,0.2,"nan",8.6,3.0
"NGC 1662",72.1128,10.9368,"nan","nan","nan","nan","nan","nan",-13.21,0.16,"2021A&A...647A..19T","nan","nan",0.41,"nan",8.6,-0.1,0.01,"nan","nan",2.0,"HQ",9.95,8.05,8.9,9.55,0.11,0.19,"nan",8.38,2.0
"NGC 1664",72.7626,43.6764,"nan","nan","nan","nan","nan","nan",6.37,2.11,"2021A&A...647A..19T","nan","nan",1.33,"nan",8.67,-0.03,0.01,"nan","nan","nan","Apogee",9.43,7.88,8.59,8.2,0.09,0.12,"nan",9.28,1.0
"NGC 1798",77.9129,47.692,"nan","nan","nan","nan","nan","nan",3.43,0.64,"2021A&A...647A..19T","nan","nan",4.57,"nan",9.2,-0.27,0.03,"nan","nan","nan","Apogee",14.28,11.77,12.84,11.66,0.1,0.78,"nan",12.39,8.0
"NGC 1817",78.0625,16.6901,"nan","nan","nan","nan","nan","nan",65.21,0.99,"2021A&A...647A..19T","nan","nan",1.66,"nan",9.04,-0.1,0.03,"nan","nan",7.0,"HQ",11.52,8.48,9.76,9.13,0.15,0.43,"nan",9.61,4.0
"NGC 1857",80.0312,39.336,0.56,0.011,-1.307,0.01,0.339,0.006,0.75,0.19,"2021A&A...647A..19T",0.48,12.2,2.75,0.053,8.45,-0.14,0.01,0.012,0.004,"nan","Apogee",11.08,10.61,10.84,10.28,0.02,0.11,105.0,10.71,1.0
"NGC 188",11.8655,85.2551,"nan","nan","nan","nan","nan","nan",-42.03,0.05,"2021A&A...647A..19T","nan","nan",1.67,"nan",9.88,0.09,0.02,"nan","nan","nan","Apogee",9.39,8.64,8.88,2.73,0.04,0.76,"nan",8.93,14.0
"NGC 1907",82.0329,35.3296,"nan","nan","nan","nan","nan","nan",3.06,0.17,"2021A&A...647A..19T","nan","nan",1.62,"nan",8.77,-0.08,0.01,"nan","nan","nan","Apogee",9.61,9.25,9.42,9.02,0.02,0.12,"nan",9.61,3.0
"NGC 1912",82.1669,35.8479,"nan","nan","nan","nan","nan","nan",-0.26,0.59,"2021A&A...647A..19T","nan","nan",1.04,"nan",8.71,-0.14,0.01,"nan","nan","nan","Apogee",9.06,8.43,8.74,10.13,0.04,0.04,"nan",9.03,1.0
"NGC 2099",88.0754,32.554,"nan","nan","nan","nan","nan","nan",8.81,0.65,"2021A&A...647A..19T","nan","nan",1.29,"nan",8.65,0.02,0.05,"nan","nan",3.0,"HQ",9.29,7.72,8.44,7.38,0.09,0.09,"nan",9.29,3.0
"NGC 2112",88.437,0.4102,"nan","nan","nan","nan","nan","nan",31.64,0.66,"2021A&A...647A..19T","nan","nan",1.15,"nan",9.32,0.14,0.07,"nan","nan",3.0,"HQ",11.91,8.96,10.24,4.46,0.14,0.28,"nan",9.02,3.0
"NGC 2158",91.8544,24.0968,"nan","nan","nan","nan","nan","nan",27.15,0.18,"2021A&A...647A..19T","nan","nan",4.3,"nan",9.19,-0.21,0.02,"nan","nan","nan","Apogee",12.3,10.84,11.5,10.67,0.06,0.41,"nan",12.28,18.0
"NGC 2168",92.2248,24.3332,"nan","nan","nan","nan","nan","nan",-7.86,0.25,"2021A&A...647A..19T","nan","nan",0.91,"nan",8.26,-0.18,0.12,"nan","nan",9.0,"LQ",9.62,8.28,8.9,11.15,0.07,0.16,"nan",8.91,9.0
"NGC 2186",93.0303,5.4529,0.398,0.014,-1.977,0.025,0.409,0.009,21.71,4.01,"2021A&A...647A..19T",0.31,11.75,2.447,0.052,7.95,-0.09,0.08,0.012,0.002,"nan","nan",10.08,8.89,9.59,9.51,0.06,0.22,106.0,10.08,3.0
"NGC 2194",93.437,12.8066,"nan","nan","nan","nan","nan","nan",7.5,0.8,"2011AJ....142...59J","nan","nan",3.5,"nan",8.53,-0.09,0.0,"nan","nan",2.0,"HQ",12.34,9.89,11.0,9.34,0.11,0.14,"nan",11.39,2.0
"NGC 2204",93.8873,-18.6655,"nan","nan","nan","nan","nan","nan",94.33,1.07,"2021A&A...647A..19T","nan","nan",3.99,"nan",9.32,-0.26,0.02,"nan","nan","nan","Apogee",11.92,10.02,10.72,11.14,0.09,1.21,"nan",11.01,12.0
"NGC 2236",97.416,6.8349,-0.746,0.012,0.017,0.011,0.357,0.005,59.95,3.02,"2021A&A...647A..19T",0.48,12.1,2.799,0.042,8.9,-0.06,0.11,0.013,0.003,"nan","nan",11.34,9.88,10.56,8.49,0.07,0.07,226.0,10.45,6.0
"NGC 2243",97.3918,-31.2831,"nan","nan","nan","nan","nan","nan",60.02,0.1,"2021A&A...647A..19T","nan","nan",3.53,"nan",9.68,-0.46,0.03,"nan","nan","nan","Apogee",14.53,10.0,11.71,12.24,0.18,1.49,"nan",10.13,8.0
"NGC 2251",98.6586,8.3668,"nan","nan","nan","nan","nan","nan",25.62,0.12,"2021A&A...647A..19T","nan","nan",1.39,"nan",8.49,-0.09,"nan","nan","nan",1.0,"HQ",9.35,7.86,8.55,9.36,0.09,0.03,"nan",9.29,1.0
"NGC 2259",99.632,10.8854,-0.247,0.018,-1.117,0.017,0.31,0.012,65.86,1.1,"2021A&A...647A..19T",0.57,12.3,3.23,0.129,8.6,-0.13,0.13,0.011,0.003,"nan","nan",11.22,9.26,10.15,10.07,0.1,0.14,126.0,10.73,1.0
"NGC 2264",100.242,9.8949,"nan","nan","nan","nan","nan","nan",22.54,0.26,"2021A&A...647A..19T","nan","nan",0.71,"nan",7.44,-0.13,"nan","nan","nan",1.0,"HQ",8.66,8.59,8.55,10.18,0.0,0.06,"nan",8.66,1.0
"NGC 2287",101.504,-20.7573,"nan","nan","nan","nan","nan","nan",23.37,0.12,"2021A&A...647A..19T","nan","nan",0.66,"nan",8.4,-0.1,0.01,"nan","nan",2.0,"HQ",8.68,8.1,8.37,9.6,0.03,0.18,"nan",8.42,1.0
"NGC 2304",103.8019,17.9843,-0.029,0.016,-1.548,0.02,0.198,0.008,32.94,4.82,"2021A&A...647A..19T",0.05,12.85,3.72,0.199,9.0,-0.12,0.02,0.011,0.003,"nan","Apogee",11.61,10.48,10.96,9.48,0.05,0.6,102.0,11.56,2.0
"NGC 2324",106.0288,1.045,"nan","nan","nan","nan","nan","nan",47.09,1.34,"2021A&A...647A..19T","nan","nan",4.07,"nan",8.8,-0.19,0.02,"nan","nan","nan","Apogee",12.14,10.98,11.52,10.94,0.05,0.29,"nan",11.61,4.0
"NGC 2354",108.5413,-25.6897,"nan","nan","nan","nan","nan","nan",34.44,0.12,"2021A&A...647A..19T","nan","nan",1.37,"nan",9.15,-0.18,0.02,"nan","nan",2.0,"HQ",8.96,8.46,8.69,10.22,0.03,0.19,"nan",8.79,2.0
"NGC 2355",109.2464,13.7499,"nan","nan","nan","nan","nan","nan",36.37,0.26,"2021A&A...647A..19T","nan","nan",1.53,"nan",8.98,-0.14,0.01,"nan","nan","nan","Apogee",10.23,9.2,9.65,9.85,0.05,0.45,"nan",9.39,1.0
"NGC 2360",109.4293,-15.6416,"nan","nan","nan","nan","nan","nan",27.86,0.07,"2021A&A...647A..19T","nan","nan",1.12,"nan",9.01,-0.02,0.07,"nan","nan",16.0,"HQ",9.79,8.76,9.22,7.66,0.06,0.37,"nan",8.77,8.0
"NGC 2383",111.1744,-20.949,-1.642,0.007,1.899,0.008,0.308,0.006,71.9,0.55,"2021A&A...647A..19T",0.3,12.5,3.252,0.064,8.5,-0.06,0.11,0.013,0.003,"nan","nan",10.15,9.1,9.59,8.76,0.05,0.13,264.0,10.14,4.0
"NGC 2420",114.5958,21.5734,"nan","nan","nan","nan","nan","nan",74.78,0.09,"2021A&A...647A..19T","nan","nan",2.57,"nan",9.27,-0.19,0.03,"nan","nan","nan","Apogee",11.28,8.16,9.36,10.12,0.16,0.99,"nan",10.33,15.0
"NGC 2423",114.2754,-13.872,"nan","nan","nan","nan","nan","nan",19.11,0.39,"2021A&A...647A..19T","nan","nan",0.91,"nan",9.0,0.08,0.05,"nan","nan",6.0,"HQ",9.05,7.47,8.19,6.08,0.1,0.08,"nan",8.61,3.0
"NGC 2425",114.5707,-14.8782,"nan","nan","nan","nan","nan","nan",102.36,0.6,"2021A&A...647A..19T","nan","nan",3.38,"nan",9.33,-0.15,0.08,"nan","nan",4.0,"LQ",11.65,8.74,9.96,9.28,0.14,0.57,"nan",10.44,4.0
"NGC 2447",116.1256,-23.8568,"nan","nan","nan","nan","nan","nan",22.26,0.33,"2021A&A...647A..19T","nan","nan",1.06,"nan",8.75,-0.08,0.01,"nan","nan","nan","Apogee",9.58,8.58,9.06,9.03,0.06,0.07,"nan",8.58,3.0
"NGC 2477",118.0411,-38.5299,"nan","nan","nan","nan","nan","nan",8.46,0.1,"2021A&A...647A..19T","nan","nan",1.44,"nan",9.05,0.07,0.04,"nan","nan",4.0,"HQ",10.05,7.89,8.84,6.15,0.12,0.16,"nan",8.52,4.0
"NGC 2479",118.7625,-17.7329,"nan","nan","nan","nan","nan","nan",41.31,0.16,"2021A&A...647A..19T","nan","nan",1.56,"nan",8.99,-0.03,0.01,"nan","nan","nan","Apogee",8.97,8.53,8.72,7.92,0.03,0.26,"nan",8.96,1.0
"NGC 2482",118.8006,-24.2583,"nan","nan","nan","nan","nan","nan",38.89,0.27,"2021A&A...647A..19T","nan","nan",1.3,"nan",8.55,-0.07,"nan","nan","nan",1.0,"HQ",8.69,8.25,8.46,8.98,0.03,0.15,"nan",8.69,1.0
"NGC 2506",120.0045,-10.77,"nan","nan","nan","nan","nan","nan",82.68,0.69,"2021A&A...647A..19T","nan","nan",3.16,"nan",9.3,-0.22,0.04,"nan","nan",7.0,"HQ",13.11,9.65,11.06,10.56,0.15,0.84,"nan",10.26,5.0
"NGC 2516",119.5166,-60.7536,"nan","nan","nan","nan","nan","nan",24.24,0.07,"2021A&A...647A..19T","nan","nan",0.41,"nan",8.25,0.05,0.11,"nan","nan",2.0,"HQ",7.98,7.09,7.51,6.88,0.06,0.1,"nan",7.98,2.0
"NGC 2527",121.2415,-28.1464,"nan","nan","nan","nan","nan","nan",39.99,0.25,"2021A&A...647A..19T","nan","nan",0.57,"nan",8.92,-0.11,0.04,"nan","nan",2.0,"HQ",8.37,7.26,7.78,9.32,0.07,0.09,"nan",8.25,2.0
"NGC 2539",122.6544,-12.8178,"nan","nan","nan","nan","nan","nan",29.3,0.13,"2021A&A...647A..19T","nan","nan",1.23,"nan",8.84,0.01,0.08,"nan","nan",8.0,"HQ",8.97,7.96,8.42,7.28,0.06,0.26,"nan",8.77,4.0
"NGC 2567",124.6333,-30.6399,"nan","nan","nan","nan","nan","nan",36.55,0.11,"2021A&A...647A..19T","nan","nan",1.62,"nan",8.45,-0.04,0.08,"nan","nan",6.0,"HQ",8.81,7.92,8.34,8.52,0.05,0.11,"nan",8.69,3.0
"NGC 2632",130.0999,19.6662,"nan","nan","nan","nan","nan","nan",34.94,0.08,"2021A&A...647A..19T","nan","nan",0.18,"nan",8.8,0.16,0.07,"nan","nan",24.0,"HQ",8.71,7.15,7.86,4.74,0.1,0.13,"nan",8.14,21.0
"NGC 2660",130.6583,-47.2003,"nan","nan","nan","nan","nan","nan",22.47,0.27,"2021A&A...647A..19T","nan","nan",2.88,"nan",8.98,0.04,0.03,"nan","nan",4.0,"HQ",9.49,8.55,8.96,6.63,0.05,0.35,"nan",8.69,4.0
"NGC 2682",132.8248,11.7999,"nan","nan","nan","nan","nan","nan",34.18,0.14,"2021A&A...647A..19T","nan","nan",0.88,"nan",9.56,0.01,0.03,"nan","nan","nan","Apogee",9.11,7.65,8.24,5.85,0.09,0.59,"nan",8.62,32.0
"NGC 3114",150.6499,-60.1206,"nan","nan","nan","nan","nan","nan",-1.02,0.14,"2021A&A...647A..19T","nan","nan",0.93,"nan",8.2,-0.05,"nan","nan","nan",1.0,"HQ",8.32,7.82,8.06,8.73,0.03,0.05,"nan",7.84,1.0
"NGC 3532",166.413,-58.7532,"nan","nan","nan","nan","nan","nan",5.67,0.19,"2021A&A...647A..19T","nan","nan",0.47,"nan",8.55,0.0,0.07,"nan","nan",10.0,"HQ",7.87,7.71,7.79,7.7,0.01,0.11,"nan",7.86,4.0
"NGC 3680",171.408,-43.2437,"nan","nan","nan","nan","nan","nan",1.41,0.14,"2021A&A...647A..19T","nan","nan",1.07,"nan",9.34,0.0,0.05,"nan","nan",17.0,"HQ",7.93,7.58,7.72,6.83,0.02,0.34,"nan",7.77,8.0
"NGC 3960",177.6373,-55.6729,"nan","nan","nan","nan","nan","nan",-22.53,0.15,"2021A&A...647A..19T","nan","nan",2.14,"nan",9.0,-0.03,0.09,"nan","nan",5.0,"HQ",8.17,7.37,7.72,7.87,0.05,0.29,"nan",7.38,5.0
"NGC 4337",186.0166,-58.1233,"nan","nan","nan","nan","nan","nan",-17.26,0.29,"2021A&A...647A..19T","nan","nan",2.45,"nan",9.16,0.24,0.03,"nan","nan","nan","Apogee",7.38,6.39,6.83,3.06,0.07,0.26,"nan",7.13,7.0
"NGC 4349",186.0327,-61.8713,"nan","nan","nan","nan","nan","nan",-11.94,0.09,"2021A&A...647A..19T","nan","nan",1.99,"nan",8.45,-0.09,0.06,"nan","nan",4.0,"HQ",7.23,6.68,6.94,9.38,0.04,0.06,"nan",7.22,2.0
"NGC 4815",194.4961,-64.9599,"nan","nan","nan","nan","nan","nan",-28.11,1.09,"2021A&A...647A..19T","nan","nan",3.3,"nan",8.57,0.07,0.05,"nan","nan",3.0,"HQ",7.04,6.26,6.62,6.49,0.06,0.12,"nan",6.76,3.0
"NGC 5822",226.087,-54.3965,"nan","nan","nan","nan","nan","nan",-28.71,0.14,"2021A&A...647A..19T","nan","nan",0.81,"nan",8.95,0.08,0.08,"nan","nan",10.0,"HQ",7.87,7.09,7.46,6.02,0.05,0.07,"nan",7.39,7.0
"NGC 6087",244.709,-57.9351,"nan","nan","nan","nan","nan","nan",5.89,2.71,"2021A&A...647A..19T","nan","nan",0.83,"nan",7.95,0.22,"nan","nan","nan",1.0,"LQ",7.69,6.7,7.21,3.82,0.07,0.08,"nan",7.31,1.0
