"Name","RA","DEC","pmra","e_pmra","pmde","e_pmde","plx","e_plx","RV","e_RV","r_RV","E(B-V)","(m-M)0","Dist","e_Dist","logAge","[Fe/H]","e_[Fe/H]","Z","e_Z","Nmeas","r_[Fe/H]","Apo","Peri","Rguide","Rbirth","Ecc","Zmax","N","Rgc","Nstars"
"Ruprecht 82",146.4212,-54.0038,"nan","nan","nan","nan","nan","nan",2.0,0.21,"2021A&A...647A..19T","nan","nan",2.21,"nan",8.55,-0.03,0.01,"nan","nan","nan","Apogee",8.73,8.01,8.35,8.26,0.04,0.02,"nan",8.01,1.0
"SAI 116",177.3237,-62.2255,"nan","nan","nan","nan","nan","nan",-14.33,0.41,"2021A&A...647A..19T","nan","nan",4.13,"nan",8.1,0.16,0.01,"nan","nan","nan","Apogee",7.43,6.84,7.13,4.91,0.04,0.03,"nan",7.23,2.0
"SAI 16",31.3654,62.2646,"nan","nan","nan","nan","nan","nan",-61.2,0.2,"2020AJ....159..199D","nan","nan",4.89,"nan",9.0,-0.28,0.01,"nan","nan","nan","Apogee",11.95,11.14,11.53,12.26,0.04,0.14,"nan",11.82,1.0
"Saurer 1",110.2332,1.8083,"nan","nan","nan","nan","nan","nan",104.6,0.2,"2004AJ....128.1676C","nan","nan",13.18,"nan",9.7,-0.42,0.01,"nan","nan","nan","Apogee",20.25,16.43,18.0,11.49,0.1,1.77,"nan",20.17,1.0
"Teutsch 12",96.4285,13.6107,"nan","nan","nan","nan","nan","nan",51.63,0.54,"2021A&A...647A..19T","nan","nan",3.87,"nan",8.92,-0.17,0.01,"nan","nan","nan","Apogee",12.22,11.28,11.72,10.46,0.04,0.28,"nan",11.74,1.0
"Teutsch 51",88.4626,26.8338,"nan","nan","nan","nan","nan","nan",14.8,2.29,"2021A&A...647A..19T","nan","nan",4.67,"nan",8.83,-0.33,0.02,"nan","nan","nan","Apogee",14.24,12.67,13.39,13.38,0.06,0.39,"nan",12.67,4.0
"Teutsch 84",256.0898,-42.0698,"nan","nan","nan","nan","nan","nan",-58.4,2.1,"2020AJ....159..199D","nan","nan",2.45,"nan",9.02,0.2,0.01,"nan","nan","nan","Apogee",6.23,5.42,5.8,3.89,0.07,0.14,"nan",5.68,2.0
"Tombaugh 2",105.771,-20.8165,"nan","nan","nan","nan","nan","nan",122.47,0.4,"2021A&A...647A..19T","nan","nan",9.12,"nan",9.3,-0.3,0.08,"nan","nan",19.0,"LQ",15.78,14.9,15.22,11.79,0.03,1.09,"nan",15.28,17.0
"Trumpler 20",189.8796,-60.6329,"nan","nan","nan","nan","nan","nan",-39.85,0.18,"2021A&A...647A..19T","nan","nan",3.39,"nan",9.27,0.18,0.03,"nan","nan",8.0,"HQ",7.36,6.87,7.09,3.86,0.03,0.16,"nan",6.87,8.0
"Trumpler 5",99.1756,9.4332,"nan","nan","nan","nan","nan","nan",49.57,0.17,"2021A&A...647A..19T","nan","nan",2.82,"nan",9.6,-0.44,0.01,"nan","nan","nan","Apogee",11.89,10.49,11.15,12.57,0.06,0.1,"nan",10.65,3.0
"VDBH 211",255.5349,-41.1134,"nan","nan","nan","nan","nan","nan",-46.9,2.37,"2021A&A...647A..19T","nan","nan",1.9,"nan",8.63,0.21,0.02,"nan","nan","nan","Apogee",6.71,5.95,6.31,3.93,0.06,0.03,"nan",6.18,2.0
