"Cat","DSH","n_DSH","RAJ2000","DEJ2000","Dvis","E(B-V)","e_E(B-V)","(m-M)0","e_(m-M)0","Dist","e_Dist","l_logt","logt","e_logt","Note","Name","RA_ICRS","DE_ICRS"
"a","J0355.3+5823","nan","03 55 21.0","+58 23 30",3.0,0.79,0.06,13.2,0.3,4.4,0.6,"<",7.6,"nan","nan","Juchert 9",58.8375,58.39167
"a","J0528.3+3446","nan","05 28 21.0","+34 46 30",1.6,0.52,0.06,11.4,0.2,1.9,0.2,"<",7.5,"nan","nan","Kronberger 1",82.0875,34.775
"a","J0553.8+2649","nan","05 53 51.9","+26 49 47",3.6,1.06,0.09,12.6,0.2,3.3,0.3,"nan",8.9,0.1,"nan","Teutsch 51",88.46625,26.82972
"a","J1453.4-6028","nan","14 53 25.6","-60 28 57",3.4,1.61,0.06,11.95,0.6,2.5,0.6,"nan",8.1,0.15,"nan","Teutsch 80",223.35667,-60.4825
"a","J1704.3-4204","nan","17 04 20.1","-42 04 24",4.0,1.12,0.15,11.75,0.25,2.2,0.3,"nan",9.0,0.1,"nan","Teutsch 84",256.08375,-42.07333
"a","J1930.2+1832","nan","19 30 13.1","+18 32 09",1.2,2.55,0.09,11.0,0.2,1.6,0.2,"nan",7.5,0.25,"nan","Teutsch 42",292.55458,18.53583
"a","J1933.9+1831","nan","19 33 55.0","+18 31 12",2.1,"1.52,1.3","0.06,0.06","12.8,12.2","0.3,0.3","3.6,2.7","0.4,0.4","nan,nan","7.4,8.35","0.3,0.1","a,b","Kronberger 79",293.47917,18.52
"a","J2002.3+3518","nan","20 02 23.3","+35 18 41",1.1,0.58,0.03,11.0,0.2,1.6,0.2,"<",7.0,"nan","nan","ADS 13292",300.59708,35.31139
"a","J2027.7+3604","nan","20 27 43.0","+36 04 32",3.2,1.24,0.03,11.05,0.15,1.6,0.1,"<",6.9,"nan","nan","Teutsch 30",306.92917,36.07556
"b","J0347.3+5354","nan","03 47 18.0","+53 54 35",5.0,1.68,0.15,12.75,0.15,3.6,0.2,"nan","nan","nan","nan","Juchert 11",56.825,53.90972
"b","J0920.5-5251","nan","09 20 31.8","-52 51 06",2.2,0.96,0.11,14.25,0.2,7.0,0.6,"nan","nan","nan","nan","Teutsch 48",140.1325,-52.85167
"b","J1054.2-6144","nan","10 54 13.6","-61 44 16",0.8,0.9,0.15,15.2,0.15,11.1,0.8,"nan","nan","nan","nan","Kronberger 39",163.55667,-61.73778
"b","J1323.6-6340","nan","13 23 38.8","-63 40 10",2.0,0.95,0.12,14.15,0.1,6.7,0.4,"nan","nan","nan","nan","Teutsch 79",200.91167,-63.66944
"b","J1906.8+0935","nan","19 06 52.1","+09 35 00",2.2,2.0,0.13,12.95,0.1,3.9,0.2,"nan","nan","nan","nan","Alessi 56",286.71708,9.58333
"b","J1920.8+1540","nan","19 20 53.8","+15 40 36",2.5,2.11,0.11,12.95,0.1,3.9,0.2,"nan","nan","nan","nan","Alessi 57",290.22417,15.67667
"b","J1940.1+2615","nan","19 40 11.0","+26 15 48",1.3,0.84,0.15,15.4,0.15,11.9,0.8,"nan","nan","nan","nan","Kronberger 31",295.04583,26.26333
"b","J1942.7+2951","nan","19 42 46.9","+29 51 20",1.3,0.54,0.15,14.55,0.1,8.1,0.4,"nan","nan","nan","nan","Teutsch 43",295.69542,29.85556
"b","J1945.1+2809","nan","19 45 11.4","+28 09 40",1.3,0.56,0.12,14.5,0.15,7.9,0.6,"nan","nan","nan","nan","Kronberger 4",296.2975,28.16111
"b","J2126.1+5331","nan","21 26 08.9","+53 31 58",3.5,1.5,0.13,13.85,0.15,5.9,0.4,"nan","nan","nan","nan","Kronberger 81",321.53708,53.53278
"c","J0718.4-1734","nan","07 18 26.8","-17 34 40",2.4,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Teutsch 49",109.61167,-17.57778
"c","J1052.8-5927","nan","10 52 50.1","-59 27 53",1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Teutsch 31",163.20875,-59.46472
"c","J1822.6-1443","nan","18 22 39.9","-14 43 41",1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Kronberger 25",275.66625,-14.72806
"c","J2003.1+3158","nan","20 03 07.9","+31 58 01",0.9,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Kronberger 54",300.78292,31.96694
"c","J2111.8+5222","nan","21 11 50.5","+52 22 48",0.9,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Kronberger 80",317.96042,52.38
"d","J0016.3+5957","nan","00 16 20.5","+59 57 43",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Juchert-Saloranta 1",4.08542,59.96194
"d","J0033.1+6507","nan","00 33 10.2","+65 07 03",1.8,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Patchick 78",8.2925,65.1175
"d","J0207.3+6015","*","02 07 22.7","+60 15 25",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Riddle 4",31.84458,60.25694
"d","J0247.7+6158","*","02 47 42.3","+61 58 29",1.7,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Teutsch 162",41.92625,61.97472
"d","J0455.7+3646","nan","04 55 43.2","+36 46 55",3.2,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Teutsch 5",73.93,36.78194
"d","J0539.4+3320","nan","05 39 29.3","+33 20 46",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Teutsch 1",84.87208,33.34611
"d","J0541.3+3914","*","05 41 21.8","+39 14 26",1.4,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Teutsch 2",85.34083,39.24056
"d","J0542.7+3057A","*","05 42 45.9","+30 57 33",2.7,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Teutsch 45",85.69125,30.95917
"d","J0544.3+2848","*","05 44 23.0","+28 48 54",5.5,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Teutsch 10",86.09583,28.815
"d","J0604.1+3129","*","06 04 10.1","+31 29 44",1.8,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Kronberger 60",91.04208,31.49556
"d","J0625.4+1351","*","06 25 24.4","+13 51 59",2.3,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Teutsch 11",96.35167,13.86639
"d","J0625.6+1336","*","06 25 40.3","+13 36 25",4.2,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Teutsch 12",96.41792,13.60694
"d","J0629.4+0910","*","06 29 24.5","+09 10 39",2.8,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Alessi 53",97.35208,9.1775
"d","J0643.0+0140","*","06 43 04.0","+01 40 19",0.9,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Alessi 15",100.76667,1.67194
"d","J0643.5+0210","*","06 43 35.0","+02 10 24",0.6,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Alessi 16",100.89583,2.17333
"d","J0643.9+0124","*","06 43 55.0","+01 24 09",2.5,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Teutsch 13",100.97917,1.4025
"d","J0720.9-2251","*","07 20 56.7","-22 52 00",2.8,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Juchert 12",110.23625,-22.86667
"d","J0758.3-3446","*","07 58 20.8","-34 46 11",1.4,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Kronberger 85",119.58667,-34.76972
"d","J0807.1-3603","nan","08 07 08.1","-36 03 48",3.2,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Teutsch 50",121.78375,-36.06333
"d","J1108.6-6042","*","11 08 40.6","-60 42 50",0.6,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Teutsch 143a",167.16917,-60.71389
"d","J1153.2-6236","*","11 53 15.5","-62 36 32",1.5,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Teutsch 77",178.31458,-62.60889
"d","J1713.2-3942","nan","17 13 13.8","-39 42 22",0.6,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Teutsch 85",258.3075,-39.70611
"d","J1907.5+0617","nan","19 07 33.0","+06 17 10",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Juchert 3",286.8875,6.28611
"d","J1911.1+1450","*","19 11 09.2","+14 50 04",0.8,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Riddle 15",287.78833,14.83444
"d","J1922.5+1240","*","19 22 32.0","+12 40 00",3.2,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Juchert 1",290.63333,12.66667
"d","J1925.2+1356","*","19 25 14.9","+13 56 44",1.5,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Kronberger 13",291.31208,13.94556
"d","J1937.3+1841","*","19 37 23.2","+18 41 50",1.1,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Teutsch 27",294.34667,18.69722
"d","J1958.1+3053","*","19 58 07.9","+30 53 18",2.3,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Kronberger 52",299.53292,30.88833
"d","J1959.5+4918","*","19 59 33.0","+49 18 45",1.4,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Patchick 89",299.8875,49.3125
"d","J2001.2+3336","*","20 01 17.6","+33 36 54",2.1,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Toepler 1",300.32333,33.615
"d","J2006.5+3534","*","20 06 31.7","+35 34 34",1.3,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Kronberger 28",301.63208,35.57611
"d","J2015.0+3355","nan","20 15 01.5","+33 55 43",1.5,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Patchick 75",303.75625,33.92861
"d","J2017.9+3645","*","20 17 57.2","+36 45 37",0.3,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Kronberger 74",304.48833,36.76028
"d","J2020.7+4112","*","20 20 47.8","+41 12 17",0.2,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Kronberger 58",305.19917,41.20472
"d","J2023.9+3636","nan","20 23 57.6","+36 36 17",2.8,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Kronberger 57",305.99,36.60472
"d","J2028.2+3506","nan","20 28 16.5","+35 06 50",1.3,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Teutsch 28",307.06875,35.11389
"d","J2033.8+4008","*","20 33 49.9","+40 08 53",1.6,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Kronberger 59",308.45792,40.14806
"d","J2121.7+5036","nan","21 21 43.9","+50 36 36",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Teutsch 144",320.43292,50.61
"d","J2247.4+5946","nan","22 47 24.1","+59 46 54",1.8,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Teutsch 54",341.85042,59.78167
