"Cluster","X","Y","Z","Age","Rad","Rad0","Z0","nRef","_RA","_DE","[Mg/H]","e_[Mg/H]","o_[Mg/H]","[Si/H]","e_[Si/H]","o_[Si/H]","[Fe/H]","e_[Fe/H]","o_[Fe/H]","[Ni/H]","e_[Ni/H]","o_[Ni/H]"
"Theia_775",-8.474,0.7315,0.0337,0.138,8.51,8.58,0.0682,0,356.8670888728,62.8173581793,-0.1,0.11,2.0,-0.11,0.11,2.0,-0.2,0.17,2,-0.19,0.04,2.0
"Theia_780",-9.0456,0.0547,-0.021,0.2344,9.05,9.09,0.0141,0,81.6588614838,30.3197245128,-0.04,0.09,3.0,-0.08,0.04,3.0,-0.12,0.04,3,-0.18,0.07,3.0
"Theia_792",-8.3236,-0.0492,0.0415,0.195,8.32,7.58,-0.1161,0,99.018389567,19.6135272844,0.04,0.09,12.0,0.03,0.06,12.0,0.07,0.08,12,0.05,0.04,12.0
"Theia_817",-7.911,0.2709,0.1287,0.195,7.92,7.52,-0.1356,0,274.9504609441,24.6062523868,0.1,0.06,5.0,0.07,0.04,5.0,0.06,0.08,5,0.03,0.03,5.0
"Theia_844",-8.026,0.6434,0.0215,0.6457,8.05,8.14,-0.1674,0,310.1093439597,41.9219515726,-0.02,0.06,4.0,-0.03,0.04,4.0,-0.06,0.17,4,-0.07,0.04,4.0
"Theia_85",-8.6182,0.3671,0.0729,0.0575,8.63,9.6,-0.074,0,57.6843927375,60.2020682774,-0.18,0.06,8.0,-0.21,0.05,8.0,-0.21,0.07,8,-0.23,0.03,8.0
"Theia_862",-8.6236,0.4822,-0.0216,0.257,8.64,7.9,0.0058,0,37.4004698862,56.7455793007,-0.03,0.07,19.0,-0.05,0.05,19.0,-0.1,0.12,19,-0.13,0.06,19.0
"Theia_863",-8.6381,0.4603,-0.0139,0.166,8.65,8.91,-0.0685,0,41.4061496211,56.4530053426,0.02,0.1,5.0,-0.04,0.06,5.0,-0.09,0.04,5,-0.09,0.03,5.0
"Theia_888",-8.4834,0.8382,-0.0683,0.4266,8.52,8.43,0.1223,0,355.5812289027,55.9438380889,0.03,0.12,2.0,-0.01,0.09,2.0,-0.06,0.06,2,-0.04,0.0,2.0
"Theia_900",-8.7464,0.6163,0.0009,0.3311,8.77,8.73,0.0054,0,37.6248985962,59.0521109127,-0.06,0.06,5.0,-0.07,0.03,5.0,-0.09,0.11,5,-0.11,0.05,5.0
