"Cluster","X","Y","Z","Age","Rad","Rad0","Z0","nRef","_RA","_DE","[Mg/H]","e_[Mg/H]","o_[Mg/H]","[Si/H]","e_[Si/H]","o_[Si/H]","[Fe/H]","e_[Fe/H]","o_[Fe/H]","[Ni/H]","e_[Ni/H]","o_[Ni/H]"
"Collinder_104",-9.4685,-0.688,-0.005,0.0145,9.49,9.58,-0.0032,0,99.1870627234,4.7102399561,"nan","nan","nan","nan","nan","nan",-0.25,0.22,2,"nan","nan","nan"
"Collinder_106",-9.4073,-0.6248,0.0141,0.01,9.43,9.54,0.0206,0,99.2952628948,6.0502383192,"nan","nan","nan","nan","nan","nan",-0.21,0.14,10,"nan","nan","nan"
"Collinder_107",-9.3722,-0.6461,0.0053,0.0151,9.39,9.84,0.1065,0,99.6216139933,4.6350868296,"nan","nan","nan","nan","nan","nan",-0.14,0.07,2,"nan","nan","nan"
"Collinder_110",-9.9472,-1.0386,-0.043,1.5136,10.0,9.5,-0.2327,0,99.697362449,2.0728880737,-0.12,0.04,2.0,-0.15,0.01,2.0,-0.15,0.19,2,-0.17,0.02,2.0
"Collinder_419",-7.9152,0.9799,0.0689,0.0052,7.98,8.13,0.0635,0,304.5270596194,40.7256795965,-0.39,0.1,3.0,-0.39,0.07,3.0,-0.44,0.47,3,-0.44,0.03,3.0
"Collinder_463",-8.6286,0.6618,0.1607,0.1479,8.65,8.68,-0.1567,0,27.2856111063,71.8038298874,-0.08,0.06,6.0,-0.1,0.07,6.0,-0.17,0.2,6,-0.19,0.02,6.0
"Collinder_69",-8.494,-0.1004,-0.0601,0.0052,8.49,8.56,-0.0711,2,83.814170799,9.8880641462,-0.3,0.09,10.0,-0.3,0.06,10.0,-0.25,0.25,12,-0.29,0.09,10.0
"Collinder_95",-8.7261,-0.2425,0.0226,0.0043,8.73,8.89,0.0474,2,97.7834403739,9.8390464823,-0.3,0.06,6.0,-0.32,0.02,6.0,-0.27,0.13,6,-0.3,0.03,6.0
"Czernik_12",-9.5427,1.2742,-0.1338,1.2023,9.63,10.02,0.2691,0,39.8488694251,54.9181880436,-0.21,0.12,7.0,-0.23,0.08,7.0,-0.25,0.11,7,-0.28,0.04,7.0
"Czernik_23",-11.156,-0.0286,0.0721,0.4266,11.16,11.16,-0.0988,2,87.5275690538,28.8982909242,"nan","nan","nan","nan","nan","nan",-0.23,0.02,2,"nan","nan","nan"
"Delta_Cephei_Cluster",-8.1808,0.2334,0.0197,0.0676,8.18,7.71,0.0293,0,336.4237277098,57.1572294567,-0.09,0.04,3.0,-0.07,0.04,3.0,-0.02,0.05,3,-0.04,0.0,3.0
"Dolidze_8",-7.9564,0.9445,0.0653,0.0038,8.01,8.15,0.0614,0,306.1262524909,42.2900186063,-0.11,0.07,2.0,-0.09,0.06,2.0,-0.11,0.07,2,-0.1,0.02,2.0
"FSR_0591",-10.0618,1.9299,-0.0602,0.017,10.25,10.19,-0.0078,0,36.9254505153,58.7712726845,-0.17,0.02,2.0,-0.19,0.0,2.0,-0.29,0.08,2,-0.26,0.02,2.0
"FSR_0632",-8.8005,0.525,0.0589,0.3802,8.82,8.47,0.0337,0,53.0130743661,59.1325228189,0.02,0.03,3.0,0.01,0.03,3.0,0.0,0.05,3,-0.06,0.06,3.0
"FSR_0665",-10.5159,1.3441,-0.0018,0.055,10.6,10.72,0.0492,0,61.3010362676,51.5150878678,-0.23,0.15,2.0,-0.29,0.11,2.0,-0.38,0.11,2,-0.33,0.04,2.0
"FSR_0667",-9.1043,0.5411,0.0101,0.3236,9.12,9.24,-0.0423,2,61.7769310813,51.1496566669,-0.09,0.05,6.0,-0.1,0.02,6.0,-0.13,0.14,6,-0.15,0.06,6.0
"FSR_0732",-9.232,0.3212,0.0333,0.0195,9.24,9.4,0.0533,0,75.6311268874,42.5451536488,-0.06,0.07,4.0,-0.14,0.04,4.0,-0.17,0.06,4,-0.11,0.12,4.0
"FSR_0883",-10.865,-0.3899,0.0351,0.1778,10.87,10.91,0.025,0,91.0812282586,22.0306208936,"nan","nan","nan","nan","nan","nan",-0.2,0.05,2,"nan","nan","nan"
"FSR_0893",-10.184,-0.3454,0.0927,0.182,10.19,10.26,-0.1981,0,93.3987317554,21.6019004441,"nan","nan","nan","nan","nan","nan",-0.23,0.06,2,"nan","nan","nan"
"FSR_0905",-9.5311,-0.2752,0.1827,0.7762,9.54,8.23,-0.0017,0,98.4309515466,22.313092051,-0.16,0.15,3.0,-0.15,0.1,3.0,-0.19,0.23,3,-0.24,0.02,3.0
"FSR_0942",-10.8905,-0.7721,-0.152,0.5754,10.92,12.11,0.1367,2,91.5060371876,13.6699990714,-0.24,0.02,2.0,-0.22,0.02,2.0,-0.24,0.02,2,-0.27,0.03,2.0
"FSR_0953",-10.6217,-0.7491,0.0007,0.5248,10.65,9.72,-0.2027,0,94.7594405187,14.1460041875,"nan","nan","nan","nan","nan","nan",-0.25,0.1,2,"nan","nan","nan"
"FoF_1800",-8.4809,1.3169,0.0234,0.2042,8.58,8.91,-0.1005,0,337.8244314383,58.0450480962,-0.01,0.08,4.0,0.01,0.03,4.0,-0.02,0.07,4,-0.03,0.02,4.0
"FoF_1973",-10.5482,-0.4144,0.1943,0.5129,10.56,10.49,0.1058,0,95.4517890537,22.4133505843,-0.14,0.02,3.0,-0.09,0.02,3.0,-0.07,0.04,3,-0.12,0.01,3.0
"FoF_2117",-6.7775,0.7362,-0.0251,0.1995,6.82,7.88,-0.0169,0,282.3429490768,-4.4865517945,"nan","nan","nan","nan","nan","nan",-0.06,0.03,12,"nan","nan","nan"
"FoF_658",-9.2927,-0.7475,-0.1795,1.2303,9.32,10.59,-0.1631,0,95.2716167242,-3.4681367861,-0.17,0.09,3.0,-0.18,0.09,3.0,-0.23,0.04,3,-0.24,0.05,3.0
"Gulliver_32",-9.6368,-0.6824,0.0087,0.4571,9.66,10.14,0.0499,0,98.3836226963,7.4658448917,"nan","nan","nan","nan","nan","nan",-0.07,0.01,2,"nan","nan","nan"
"Gulliver_54",-9.3124,0.1326,0.0003,0.3715,9.31,8.6,-0.129,0,81.2719778381,33.677804471,-0.15,0.06,3.0,-0.16,0.01,3.0,-0.16,0.15,3,-0.15,0.05,3.0
"HSC_1021",-10.1941,2.7316,-0.2976,0.4677,10.55,10.96,0.3798,0,20.6741234516,57.2206890875,-0.09,0.04,2.0,-0.1,0.03,2.0,-0.11,0.01,2,-0.11,0.02,2.0
"HSC_1029",-8.6587,0.6785,-0.1861,0.7079,8.69,9.67,-0.103,0,20.8557033203,48.9988119695,0.01,0.19,4.0,0.0,0.14,4.0,-0.1,0.13,4,-0.12,0.02,4.0
"HSC_1078",-8.5569,0.472,-0.0197,0.2291,8.57,8.06,-0.0691,0,31.276164485,57.768080785,0.01,0.05,5.0,0.03,0.06,5.0,0.03,0.05,5,0.02,0.03,5.0
"HSC_1115",-8.6781,0.5053,0.0758,0.389,8.69,7.57,0.0814,0,46.9808084398,62.9528730717,0.17,0.09,2.0,0.14,0.1,2.0,0.06,0.01,2,0.02,0.03,2.0
"HSC_1131",-8.3496,0.1898,0.0105,0.0977,8.35,8.06,-0.0153,0,45.1800356847,56.3702498009,-0.09,0.06,8.0,-0.11,0.04,8.0,-0.07,0.08,8,-0.12,0.04,8.0
"HSC_1137",-8.1832,0.0483,0.203,0.2344,8.18,9.83,-0.0936,0,181.5900786628,48.7224025533,-0.08,0.03,3.0,-0.08,0.05,3.0,0.01,0.03,3,-0.03,0.01,3.0
"HSC_1139",-8.4493,0.2557,0.0986,0.1318,8.45,8.62,0.0286,0,63.7291044941,65.5088567541,0.02,0.03,2.0,0.04,0.05,2.0,0.02,0.21,2,0.04,0.06,2.0
"HSC_1155",-8.3411,0.1575,-0.0651,0.2042,8.34,8.97,0.1202,0,39.9841436786,40.556470843,"nan","nan","nan","nan","nan","nan",-0.02,0.03,2,"nan","nan","nan"
"HSC_1179",-8.6075,0.315,-0.0166,0.3311,8.61,8.5,0.0274,0,53.4845282245,51.2875822259,-0.04,0.11,3.0,-0.07,0.06,3.0,-0.13,0.22,3,-0.12,0.04,3.0
"HSC_1194",-8.8397,0.4133,0.0229,0.1023,8.85,9.25,0.0035,0,61.2115143407,52.3887184639,-0.1,0.02,2.0,-0.11,0.01,2.0,-0.15,0.06,2,-0.17,0.02,2.0
"HSC_1205",-8.7855,0.3549,0.0303,0.6761,8.79,8.88,-0.0269,0,63.989389153,51.5980828719,0.07,0.01,2.0,0.02,0.06,2.0,-0.07,0.01,2,-0.1,0.05,2.0
"HSC_1210",-8.7897,0.3443,0.045,0.0219,8.8,8.82,0.0092,0,66.251559795,51.784489317,-0.03,0.05,3.0,-0.09,0.03,3.0,-0.12,0.05,3,-0.14,0.05,3.0
"HSC_1213",-8.6418,0.2645,0.0101,0.2188,8.65,8.36,0.0271,0,63.3933239074,49.5067095085,-0.06,0.05,4.0,-0.08,0.03,4.0,-0.07,0.05,4,-0.07,0.05,4.0
"HSC_1250",-8.3733,0.102,-0.0839,0.0042,8.37,8.31,-0.0248,0,51.3800898245,30.9703608274,-0.19,0.08,2.0,-0.23,0.05,2.0,-0.19,0.18,2,-0.23,0.07,2.0
"HSC_1262",-8.4722,0.1306,-0.0768,0.005,8.47,8.5,-0.0731,0,57.6435519729,35.074890834,-0.15,0.04,4.0,-0.18,0.02,4.0,-0.1,0.05,4,-0.16,0.02,4.0
"HSC_1314",-8.4604,0.0689,-0.0045,0.1175,8.46,8.35,0.0026,0,74.4218665476,35.931162953,0.02,0.0,2.0,0.03,0.03,2.0,0.09,0.06,5,0.1,0.05,2.0
"HSC_1318",-8.2436,0.024,-0.0136,0.0055,8.24,8.26,0.0182,0,64.5653352699,28.249617116,-0.46,0.06,10.0,-0.44,0.05,10.0,-0.35,0.32,11,-0.37,0.05,10.0
"HSC_1340",-8.2321,0.0166,-0.0242,0.0263,8.23,8.42,0.0515,0,61.3035920799,21.9853819352,-0.17,0.04,4.0,-0.16,0.03,4.0,-0.06,0.05,7,-0.1,0.02,4.0
"HSC_1341",-9.1054,0.1416,0.008,0.049,9.11,9.53,-0.0114,0,80.2558722191,35.3256697846,-0.03,0.1,3.0,-0.12,0.04,3.0,-0.13,0.03,3,-0.16,0.05,3.0
"HSC_1350",-9.2014,0.135,0.0599,0.0525,9.2,9.79,-0.0693,0,83.8488035007,35.9931860456,-0.02,0.07,2.0,-0.01,0.0,2.0,-0.07,0.03,2,-0.04,0.04,2.0
"HSC_1367",-9.3768,0.1141,0.1994,0.389,9.38,9.56,0.0943,0,91.525741025,37.3793561509,"nan","nan","nan","nan","nan","nan",-0.25,0.3,2,"nan","nan","nan"
"HSC_1390",-8.3292,0.0101,-0.0591,2.1878,8.33,8.62,-0.0374,0,65.8708871611,18.6307395684,-0.13,0.03,2.0,-0.1,0.02,2.0,0.0,0.04,2,-0.04,0.03,2.0
"HSC_1394",-8.4969,0.0158,-0.0829,0.5754,8.5,8.5,-0.1932,0,70.7412036447,21.9246454745,"nan","nan","nan","nan","nan","nan",-0.01,0.02,2,"nan","nan","nan"
"HSC_1400",-9.3507,0.0356,-0.2511,0.1514,9.35,9.34,0.2129,0,73.7668095822,23.1692249159,-0.24,0.05,2.0,-0.25,0.03,2.0,-0.31,0.15,2,-0.38,0.08,2.0
"HSC_1403",-8.5991,0.0125,-0.0666,0.0295,8.6,8.6,0.0416,0,75.6931601356,24.300537709,-0.1,0.06,7.0,-0.1,0.06,7.0,-0.1,0.12,8,-0.12,0.03,7.0
"HSC_1430",-8.7109,-0.016,0.0887,0.1698,8.71,8.7,0.0131,0,93.7383184524,30.7616893628,-0.15,0.06,3.0,-0.16,0.04,3.0,-0.17,0.03,3,-0.19,0.04,3.0
"HSC_1436",-9.063,-0.0314,0.0813,0.195,9.06,9.51,0.0793,0,90.9914076908,29.0719520748,"nan","nan","nan","nan","nan","nan",-0.16,0.01,2,"nan","nan","nan"
"HSC_1438",-8.2473,-0.0046,-0.0571,0.0562,8.25,7.6,0.0224,0,60.2655103112,8.3392384698,0.01,0.01,2.0,0.0,0.01,2.0,0.08,0.02,2,0.05,0.0,2.0
"HSC_1477",-10.2123,-0.2264,0.1307,0.9333,10.21,11.39,-0.3819,0,92.639820587,25.009074603,-0.2,0.04,2.0,-0.19,0.06,2.0,-0.26,0.25,2,-0.26,0.02,2.0
"HSC_1500",-9.3998,-0.1985,0.1105,0.6607,9.4,9.49,-0.095,0,94.9560524937,23.1430916513,-0.06,0.1,3.0,-0.05,0.06,3.0,-0.07,0.09,3,-0.08,0.02,3.0
"HSC_1523",-8.3802,-0.0569,-0.0541,0.0132,8.38,8.5,-0.0575,0,79.0140663478,10.0360833016,"nan","nan","nan","nan","nan","nan",0.06,0.18,2,"nan","nan","nan"
"HSC_1539",-8.9298,-0.2073,-0.0328,0.0363,8.93,9.32,0.0451,0,90.6912186043,14.5939501975,-0.06,0.01,3.0,-0.12,0.02,3.0,-0.19,0.09,7,-0.21,0.04,3.0
"HSC_1540",-11.8931,-0.9698,0.2219,0.1549,11.93,12.12,0.2378,0,96.7789473603,17.7356283165,-0.12,0.11,3.0,-0.14,0.06,3.0,-0.18,0.19,3,-0.17,0.07,3.0
"HSC_1542",-8.2698,-0.0395,0.019,0.1778,8.27,8.28,-0.0344,0,93.7172566074,15.5518382169,-0.18,0.05,3.0,-0.14,0.03,3.0,-0.06,0.1,4,-0.11,0.02,3.0
"HSC_1551",-9.0095,-0.2533,-0.0111,0.0093,9.01,9.11,0.0187,0,92.9960009077,14.07260557,"nan","nan","nan","nan","nan","nan",-0.16,0.1,3,"nan","nan","nan"
"HSC_1553",-8.3255,-0.0584,0.0134,0.0389,8.33,7.98,-0.0176,0,93.0127188249,13.9819499378,-0.15,0.06,8.0,-0.14,0.05,8.0,-0.08,0.06,14,-0.11,0.01,8.0
"HSC_1555",-8.2633,-0.041,0.1115,0.1288,8.26,8.5,-0.0753,0,126.2439969825,27.2249342893,-0.06,0.05,5.0,-0.07,0.05,5.0,0.01,0.07,5,-0.05,0.02,5.0
"HSC_1557",-9.2602,-0.3331,-0.0231,0.0851,9.27,10.18,0.1417,0,93.0591178479,13.6735412968,"nan","nan","nan","nan","nan","nan",-0.27,0.06,2,"nan","nan","nan"
"HSC_1572",-8.4118,-0.0942,0.0145,0.5754,8.41,8.54,0.0494,0,94.7245823375,12.6228315184,-0.1,0.01,3.0,-0.09,0.01,3.0,-0.07,0.03,3,-0.11,0.02,3.0
"HSC_1608",-8.7535,-0.278,-0.1693,0.0912,8.76,9.33,-0.1806,0,84.9023952531,0.8226860318,-0.1,0.09,2.0,-0.08,0.03,2.0,-0.13,0.02,2,-0.29,0.01,2.0
"HSC_1624",-8.5024,-0.1858,0.2036,0.1259,8.5,8.81,-0.0221,0,121.0836834432,16.1634199565,-0.05,0.07,5.0,-0.07,0.05,5.0,-0.04,0.06,5,-0.07,0.03,5.0
"HSC_1630",-8.2395,-0.0588,-0.0067,0.166,8.24,8.35,-0.0721,0,89.3530949221,0.1047627301,-0.16,0.03,5.0,-0.19,0.03,5.0,-0.11,0.09,5,-0.13,0.04,5.0
"HSC_1656",-8.4082,-0.1651,-0.0093,0.1413,8.41,8.44,-0.044,0,96.7684623631,0.1821422623,"nan","nan","nan","nan","nan","nan",-0.1,0.01,2,"nan","nan","nan"
"HSC_1663",-9.6551,-0.9025,0.3555,0.8318,9.7,9.77,0.5762,0,111.164621796,6.9457275721,-0.08,0.02,2.0,-0.1,0.02,2.0,-0.16,0.17,2,-0.19,0.06,2.0
"HSC_381",-7.908,0.2076,0.1166,0.0309,7.91,7.89,-0.074,0,271.3857619548,17.7709347746,-0.15,0.07,3.0,-0.22,0.09,3.0,-0.16,0.19,3,-0.16,0.06,3.0
"HSC_448",-7.9735,0.211,-0.2071,0.1023,7.98,8.66,-0.1333,0,328.6271022661,-3.0393791605,-0.1,0.1,3.0,-0.13,0.08,3.0,-0.08,0.09,3,-0.1,0.02,3.0
"HSC_477",-8.0734,0.0793,0.1463,0.0427,8.07,7.69,-0.1423,0,234.6952920555,36.6202218024,-0.08,0.04,3.0,-0.04,0.02,3.0,-0.01,0.22,3,0.0,0.05,3.0
"HSC_479",-7.9341,0.3104,0.127,0.0708,7.94,7.82,0.0896,0,278.8881886246,30.128982284,-0.08,0.15,2.0,-0.1,0.05,2.0,-0.07,0.08,2,-0.09,0.02,2.0
"HSC_570",-8.0515,0.2221,0.0876,0.2291,8.05,7.9,0.0941,0,285.4159826283,42.0786761323,-0.08,0.01,2.0,-0.11,0.03,2.0,-0.02,0.09,2,-0.06,0.03,2.0
"HSC_601",-7.983,0.5769,0.0324,0.0776,8.0,8.35,0.033,0,305.0742942898,38.4607135726,-0.05,0.08,3.0,-0.08,0.07,3.0,-0.09,0.12,3,-0.19,0.13,3.0
"HSC_640",-7.9103,1.4201,0.0303,0.0141,8.04,8.21,-0.0534,0,309.773880007,42.1204169483,-0.16,0.09,3.0,-0.19,0.07,3.0,-0.25,0.15,3,-0.23,0.03,3.0
"HSC_747",-8.1449,0.2177,-0.0977,3.8019,8.15,8.3,-0.0893,0,345.7970703795,28.6940137362,-0.16,0.01,2.0,-0.18,0.02,2.0,-0.1,0.12,2,-0.14,0.01,2.0
"HSC_749",-8.1296,0.0666,-0.0801,0.2239,8.13,9.0,0.2032,0,358.4701904709,3.4555651947,-0.07,0.02,3.0,-0.07,0.02,3.0,-0.01,0.03,4,-0.04,0.01,3.0
"HSC_759",-8.1296,0.0601,0.0952,0.1479,8.13,8.17,0.0685,0,225.1468236373,59.3861709567,-0.1,0.04,17.0,-0.1,0.04,17.0,-0.02,0.08,17,-0.05,0.04,17.0
"HSC_778",-8.1437,0.1259,-0.0494,0.1738,8.14,8.71,0.0821,0,349.3978307404,29.7950162801,-0.14,0.05,6.0,-0.15,0.04,6.0,-0.1,0.14,6,-0.14,0.03,6.0
"HSC_803",-8.2092,0.3762,0.0354,0.1349,8.22,8.64,0.0452,0,332.1983476527,58.5898264163,-0.1,0.01,2.0,-0.11,0.02,2.0,-0.13,0.02,2,-0.11,0.02,2.0
"HSC_878",-8.2375,0.2997,0.0198,0.0871,8.24,7.67,-0.0152,0,348.3133664408,60.359649492,-0.07,0.04,3.0,-0.08,0.03,3.0,-0.02,0.04,3,-0.05,0.01,3.0
"HSC_921",-8.1857,0.133,-0.0696,0.0427,8.19,8.52,0.0742,0,5.5134952724,30.8795385701,-0.04,0.03,5.0,-0.06,0.02,5.0,0.01,0.11,5,-0.02,0.02,5.0
"HSC_962",-9.0703,1.6031,-0.0665,0.3467,9.21,9.31,0.2692,0,8.1924810163,60.0275517077,-0.08,0.03,3.0,-0.03,0.03,3.0,-0.02,0.05,3,-0.02,0.01,3.0
"HSC_969",-8.8297,1.158,-0.0842,1.3804,8.91,10.0,0.0365,0,9.9905377799,58.3381488036,-0.15,0.04,4.0,-0.19,0.03,4.0,-0.24,0.09,4,-0.22,0.01,4.0
"HSC_976",-8.2056,0.1321,0.0672,0.0135,8.21,8.29,-0.0583,0,9.999151061,79.3197376658,-0.31,0.05,3.0,-0.29,0.05,3.0,-0.21,0.11,3,-0.25,0.02,3.0
"HSC_995",-8.2183,0.1386,0.0083,0.1072,8.22,8.77,-0.0833,0,16.4049972955,58.5025213901,-0.03,0.06,2.0,-0.02,0.06,2.0,0.05,0.01,2,0.03,0.03,2.0
"HSC_998",-8.4361,0.4463,-0.1447,0.2884,8.45,8.33,-0.1669,0,15.8461172287,45.8656813314,-0.03,0.13,2.0,-0.1,0.05,2.0,-0.17,0.06,2,-0.19,0.0,2.0
"HXHWL_60",-9.7501,-0.9751,0.2076,0.3802,9.8,10.03,-0.1656,0,106.8410385894,4.2975281589,-0.13,0.0,2.0,-0.1,0.01,2.0,-0.11,0.03,2,-0.16,0.03,2.0
"HXWHB_8",-9.1879,0.1266,-0.0054,0.0339,9.19,9.36,0.0485,0,80.5725623845,33.7828598819,-0.12,0.06,6.0,-0.16,0.03,6.0,-0.18,0.16,6,-0.19,0.04,6.0
"IC_348",-8.4031,0.0996,-0.0741,0.006,8.4,8.47,-0.072,2,56.1372404351,32.1771562912,"nan","nan","nan","nan","nan","nan",-0.1,0.12,8,"nan","nan","nan"
"IC_4665",-7.839,0.1667,0.1209,0.0324,7.84,7.75,-0.0789,0,266.5324485542,5.6347808317,-0.07,0.05,6.0,-0.09,0.05,6.0,-0.07,0.08,11,-0.09,0.02,6.0
"Juchert_J0603.1+3102",-11.6274,-0.0059,0.2953,0.2291,11.63,11.63,-0.2661,0,90.7778720028,31.0388102176,"nan","nan","nan","nan","nan","nan",-0.63,0.37,2,"nan","nan","nan"
"King_5",-9.9516,1.3406,-0.1441,0.6607,10.04,9.05,0.0746,2,48.6772267973,52.7031326106,-0.2,0.01,2.0,-0.19,0.0,2.0,-0.21,0.03,2,-0.24,0.01,2.0
"LDN_988e",-8.1276,0.6143,0.0449,0.006,8.15,8.23,0.0559,0,316.0208991414,50.2405496987,-0.18,0.08,2.0,-0.22,0.01,2.0,-0.33,0.03,2,-0.39,0.03,2.0
"LISC_3534",-8.3588,0.3725,-0.0802,0.1479,8.37,8.52,0.0199,0,12.0876596746,49.905624496,-0.03,0.07,3.0,-0.05,0.05,3.0,-0.04,0.0,3,-0.05,0.02,3.0
"Melotte_111",-8.129,-0.0056,0.1056,0.6607,8.13,8.54,-0.1299,0,186.0172591117,26.422714137,-0.14,0.06,19.0,-0.16,0.04,19.0,-0.06,0.06,27,-0.1,0.03,19.0
"Melotte_20",-8.2669,0.0936,0.0019,0.0562,8.27,7.58,0.0064,2,51.3317827703,49.1187716968,-0.14,0.06,58.0,-0.14,0.04,58.0,-0.08,0.09,58,-0.11,0.03,58.0
"Melotte_22",-8.2423,0.0288,-0.0328,0.1202,8.24,8.0,-0.0096,2,56.6796860149,24.1086564996,-0.13,0.06,211.0,-0.12,0.05,211.0,-0.05,0.06,240,-0.09,0.03,211.0
"Melotte_25",-8.1657,0.0001,0.0031,0.5754,8.17,8.8,-0.0756,0,66.7081641682,16.0809254986,-0.08,0.07,40.0,-0.08,0.06,40.0,0.0,0.11,44,-0.04,0.05,40.0
"Mon_OB1-D",-8.7706,-0.2785,0.0481,0.0058,8.78,8.87,0.0711,0,100.2735745363,9.5726049163,-0.27,0.05,3.0,-0.3,0.09,3.0,-0.29,0.1,3,-0.3,0.03,3.0
"NGC_1039",-8.5024,0.2792,-0.1103,0.123,8.51,8.45,0.097,0,40.5481716448,42.7221039273,-0.06,0.08,19.0,-0.07,0.06,19.0,-0.09,0.11,33,-0.11,0.05,19.0
"NGC_1245",-10.6072,1.6336,-0.4394,0.9772,10.73,10.66,0.3932,2,48.7113438962,47.235087247,-0.11,0.02,3.0,-0.09,0.02,3.0,-0.09,0.03,3,-0.11,0.02,3.0
"NGC_129",-9.0242,1.5428,-0.0567,0.1047,9.16,8.14,-0.0394,0,7.5905227214,60.2059868528,-0.05,0.08,8.0,-0.09,0.05,8.0,-0.17,0.16,8,-0.22,0.09,8.0
"NGC_1342",-8.6825,0.2615,-0.147,0.1585,8.69,8.66,0.1772,0,52.9527851052,37.386909698,-0.18,0.06,10.0,-0.18,0.07,10.0,-0.24,0.2,10,-0.35,0.14,10.0
"NGC_1513",-9.3633,0.6436,-0.0149,0.2455,9.39,8.36,-0.0637,0,62.4715430584,49.5015705443,-0.17,0.08,5.0,-0.17,0.05,5.0,-0.17,0.14,5,-0.21,0.03,5.0
"NGC_1528",-9.0019,0.466,0.0277,0.2089,9.01,8.97,-0.0991,0,63.9055545971,51.1949713709,-0.05,0.07,31.0,-0.07,0.05,31.0,-0.11,0.17,31,-0.16,0.11,31.0
"NGC_1545",-8.7444,0.312,0.0248,0.1,8.75,9.61,0.0202,0,65.27708105,50.2475076386,-0.06,0.07,20.0,-0.09,0.07,20.0,-0.14,0.12,20,-0.19,0.06,20.0
"NGC_1582",-9.0087,0.3357,-0.0266,0.1349,9.01,8.53,-0.0992,0,67.9110071023,43.8007867854,-0.3,0.02,2.0,-0.28,0.06,2.0,-0.35,0.01,2,-0.5,0.24,2.0
"NGC_1647",-8.6748,-0.0029,-0.1439,0.1175,8.67,9.05,-0.1574,3,71.4879577356,19.1625500248,-0.1,0.07,22.0,-0.12,0.06,22.0,-0.15,0.12,22,-0.18,0.07,22.0
"NGC_1664",-9.3444,0.4049,0.0138,0.3388,9.35,9.27,-0.125,3,72.766471561,43.6748076095,-0.04,0.07,12.0,-0.05,0.05,12.0,-0.1,0.1,18,-0.12,0.07,12.0
"NGC_1758",-8.9657,0.0124,-0.1327,0.309,8.97,8.8,-0.172,0,76.1748815264,23.8125742251,-0.12,0.12,4.0,-0.14,0.06,4.0,-0.24,0.19,6,-0.33,0.18,4.0
"NGC_1798",-12.0399,1.3721,0.3828,0.912,12.12,13.12,0.5995,2,77.9078881319,47.6891130033,-0.21,0.02,2.0,-0.19,0.02,2.0,-0.21,0.04,3,-0.23,0.01,2.0
"NGC_189",-8.7749,1.0653,-0.0157,0.3162,8.84,8.93,0.0512,0,9.8949510398,61.0880352287,-0.07,0.06,4.0,-0.07,0.06,4.0,-0.1,0.08,4,-0.1,0.04,4.0
"NGC_1907",-9.6127,0.193,0.0328,0.5754,9.61,9.63,-0.1145,2,82.0290026859,35.3241062058,-0.14,0.09,19.0,-0.16,0.06,19.0,-0.21,0.19,19,-0.25,0.07,19.0
"NGC_1912",-9.1975,0.1459,0.0364,0.2692,9.2,8.39,0.023,2,82.1667346604,35.8208431588,-0.08,0.06,52.0,-0.11,0.04,52.0,-0.16,0.1,52,-0.17,0.04,52.0
"NGC_1960",-9.2414,0.1069,0.0448,0.0269,9.24,9.57,0.0485,0,84.0853188206,34.1342404214,-0.11,0.11,21.0,-0.14,0.08,21.0,-0.19,0.11,21,-0.22,0.04,21.0
"NGC_1980",-8.4324,-0.1755,-0.1055,0.0069,8.43,8.5,-0.1049,2,83.8006108398,-5.921252629,-0.16,0.02,3.0,-0.15,0.02,3.0,-0.1,0.02,3,-0.12,0.01,3.0
"NGC_2068",-8.4764,-0.1671,-0.0782,0.0059,8.48,8.64,-0.0973,0,86.6587155327,0.1384572821,-0.16,0.04,4.0,-0.16,0.02,4.0,-0.07,0.12,4,-0.12,0.02,4.0
"NGC_2112",-9.0488,-0.4493,-0.2073,1.2023,9.06,9.28,-0.1081,0,88.4355304029,0.4020808695,-0.07,0.03,11.0,-0.07,0.02,11.0,-0.08,0.04,12,-0.08,0.02,11.0
"NGC_2126",-9.2851,0.3506,0.3075,1.7783,9.29,9.48,0.177,0,90.6495035166,49.8719009809,-0.12,0.06,2.0,-0.12,0.02,2.0,-0.17,0.08,2,-0.18,0.01,2.0
"NGC_2168",-8.9542,-0.0966,0.0556,0.1622,8.95,8.83,0.0997,0,92.2837971121,24.3262304766,-0.09,0.08,41.0,-0.12,0.06,41.0,-0.14,0.11,43,-0.18,0.08,41.0
"NGC_2169",-9.0218,-0.2514,-0.0245,0.0052,9.03,9.13,-0.0165,0,92.1177298226,13.966637964,-0.11,0.07,8.0,-0.14,0.07,8.0,-0.12,0.06,10,-0.15,0.03,8.0
"NGC_2183",-8.7883,-0.4474,-0.1459,0.0059,8.8,8.88,-0.0738,0,92.6993748061,-6.2185074766,-0.12,0.11,4.0,-0.15,0.07,4.0,-0.1,0.05,4,-0.15,0.03,4.0
"NGC_2184",-8.6545,-0.3245,-0.0927,0.1349,8.66,8.69,0.0834,0,92.8519113591,-3.3720182351,-0.04,0.16,2.0,-0.06,0.1,2.0,-0.06,0.02,2,-0.09,0.04,2.0
"NGC_2194",-11.09,-0.9212,-0.0994,0.5129,11.13,10.7,-0.0385,0,93.4302025037,12.8097003814,-0.15,0.05,12.0,-0.14,0.03,12.0,-0.17,0.09,14,-0.19,0.07,12.0
