"Cl","Ns","Age","e_Age","f_Age","RAdeg","e_RAdeg","DEdeg","e_DEdeg","pmRA","e_pmRA","pmDE","e_pmDE","plx","e_plx","Nred","E(Bp-Rp)","e_E(Bp-Rp)","Nwd","e_Nwd","f_Nwd","GC20","Nt1","Nt4"
"NGC 4609",102.0,81.0,39.0,"H",190.573,0.122,-62.996,0.104,-4.879,0.219,-1.023,0.206,0.658,0.133,42.0,0.469,0.02,2.6,"nan","nan",1,0,0
"NGC 4852",304.0,200.0,50.0,"H",195.047,0.326,-59.601,0.235,-8.112,0.208,-1.193,0.204,0.795,0.113,85.0,0.53,0.012,19.8,5.2,"nan",1,0,0
"NGC 5281",111.0,40.0,19.0,"H",206.626,0.131,-62.916,0.108,-4.663,0.174,-2.367,0.182,0.625,0.114,63.0,0.38,0.017,0.0,2.3,"nan",1,0,0
"NGC 5316",560.0,166.0,79.0,"H",208.547,0.448,-61.896,0.27,-6.291,0.196,-1.533,0.208,0.675,0.083,247.0,0.427,0.008,28.7,16.2,"nan",1,0,0
"NGC 5460",321.0,159.0,76.0,"H",211.885,0.629,-48.307,0.5,-6.588,0.247,-3.444,0.252,1.287,0.239,133.0,0.165,0.009,9.7,5.0,"nan",1,0,0
"NGC 5662",286.0,100.0,10.0,"CG",218.764,0.614,-56.644,0.461,-6.425,0.254,-7.179,0.257,1.292,0.129,157.0,0.384,0.009,7.8,1.3,"nan",1,0,1
"NGC 5749",72.0,100.0,20.0,"CG",222.201,0.169,-54.508,0.131,-2.751,0.264,-3.07,0.274,0.919,0.203,29.0,0.462,0.019,2.1,0.62,"nan",1,0,0
"NGC 6025",322.0,105.0,50.0,"H",240.786,0.516,-60.44,0.354,-2.907,0.195,-3.042,0.185,1.247,0.184,170.0,0.244,0.009,7.4,4.9,"nan",1,0,2
"NGC 6067",965.0,"nan","nan","nan",243.3,0.171,-54.228,0.133,-1.924,0.146,-2.588,0.143,0.433,0.161,329.0,0.517,0.009,"nan","nan","#",1,0,0
"NGC 6087",221.0,100.0,48.0,"H",244.708,0.239,-57.932,0.163,-1.559,0.227,-2.388,0.247,1.017,0.248,102.0,0.292,0.012,5.5,3.8,"nan",1,1,0
"NGC 6124",524.0,191.0,91.0,"H",246.466,1.018,-40.476,0.61,-0.21,0.248,-2.002,0.252,1.658,0.355,106.0,0.671,0.038,17.9,8.8,"nan",1,0,0
"NGC 6167",621.0,"nan","nan","nan",248.66,0.141,-49.774,0.119,-0.698,0.273,-2.806,0.261,0.66,0.116,127.0,1.253,0.022,"nan","nan","#",1,0,0
"NGC 6178",18.0,12.0,6.0,"CG",248.937,0.113,-45.646,0.105,0.552,0.195,-3.35,0.19,1.102,0.161,8.0,0.339,0.035,0.0,"nan","nan",1,0,0
"NGC 6193",162.0,5.0,3.0,"H",250.33,0.167,-48.783,0.131,1.309,0.474,-3.937,0.37,0.8,0.146,56.0,1.081,0.05,0.0,1.3,"nan",1,0,0
"NGC 6204",134.0,93.0,45.0,"H",251.539,0.113,-47.023,0.106,-0.703,0.223,-0.565,0.198,0.806,0.116,50.0,0.611,0.017,5.4,4.6,"nan",1,0,0
"NGC 6231",516.0,"nan","nan","nan",253.56,0.14,-41.83,0.141,-0.562,0.255,-2.156,0.243,0.589,0.11,157.0,0.692,0.023,"nan","nan","#",1,0,0
"NGC 6242",322.0,78.0,37.0,"H",253.885,0.123,-39.466,0.124,1.142,0.212,-0.844,0.209,0.77,0.127,148.0,0.526,0.01,8.9,8.2,"nan",1,0,0
"NGC 6249",42.0,55.0,45.0,"CG",254.439,0.107,-44.817,0.104,1.736,0.24,-3.452,0.166,0.792,0.159,16.0,0.665,0.053,0.71,2.3,"nan",1,0,0
"NGC 6250",75.0,24.0,12.0,"H",254.466,0.134,-45.949,0.116,0.407,0.2,-2.386,0.22,0.956,0.308,27.0,0.527,0.035,0.0,0.73,"nan",1,0,0
"NGC 6259",2396.0,"nan","nan","nan",255.182,0.386,-44.661,0.322,-1.026,0.201,-2.886,0.211,0.39,0.191,342.0,1.058,0.014,"nan","nan","#",1,0,0
"NGC 6268",151.0,"nan","nan","nan",255.528,0.131,-39.708,0.12,0.928,0.198,-0.773,0.18,0.635,0.128,48.0,0.558,0.028,"nan","nan","#",1,0,0
"NGC 6281",208.0,300.0,100.0,"CG",256.178,0.173,-37.942,0.165,-1.861,0.261,-4.009,0.274,1.881,0.144,151.0,0.229,0.01,16.3,4.0,"nan",1,0,0
"NGC 6322",43.0,12.0,6.0,"CG",259.624,0.113,-42.938,0.106,0.112,0.22,-2.287,0.211,0.735,0.134,7.0,0.861,0.116,0.0,"nan","nan",1,0,0
"NGC 6383",184.0,4.0,2.0,"H",263.666,0.144,-32.572,0.127,2.583,0.314,-1.635,0.298,0.892,0.164,55.0,0.621,0.058,0.0,0.27,"nan",1,0,0
"NGC 6396",99.0,"nan","nan","nan",264.401,0.11,-35.018,0.107,-0.445,0.232,-2.046,0.206,0.349,0.127,9.0,0.914,0.073,"nan","nan","#",1,0,0
"NGC 6405",356.0,35.0,17.0,"H",265.085,0.362,-32.231,0.3,-1.324,0.303,-5.764,0.326,2.164,0.296,221.0,0.285,0.009,0.0,3.1,"nan",1,0,0
"NGC 6416",240.0,229.0,109.0,"H",266.007,0.301,-32.357,0.296,-1.936,0.177,-2.317,0.162,0.923,0.115,156.0,0.387,0.011,24.9,13.2,"nan",1,0,0
"NGC 6425",159.0,"nan","nan","nan",266.722,0.18,-31.513,0.169,3.818,0.18,-1.655,0.201,0.977,0.255,82.0,0.376,0.015,23.9,"nan","#",1,0,0
"NGC 6469","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"NGC 6475",624.0,224.0,107.0,"H",268.538,0.871,-34.847,0.748,2.963,0.851,-5.268,0.772,3.405,0.8,519.0,0.123,0.005,33.4,16.9,"nan",1,0,0
"NGC 6494",293.0,380.0,182.0,"H",269.103,0.502,-18.825,0.437,0.259,0.226,-1.802,0.234,1.361,0.161,144.0,0.477,0.013,35.0,13.8,"nan",1,0,0
"NGC 6514","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"NGC 6530",64.0,"nan","nan","nan",271.111,0.122,-24.373,0.117,1.282,0.31,-2.028,0.295,0.753,0.123,25.0,0.391,0.019,"nan","nan","#",0,0,0
"NGC 6531",323.0,12.0,6.0,"H",271.047,0.132,-22.507,0.13,0.394,0.359,-1.361,0.303,0.81,0.187,92.0,0.666,0.048,0.0,"nan","nan",1,0,0
"NGC 6546","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"NGC 6613",54.0,"nan","nan","nan",274.988,0.107,-17.092,0.106,-0.545,0.212,-0.855,0.212,0.636,0.108,16.0,0.561,0.023,"nan","nan","#",1,0,0
"NGC 6618","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"NGC 6633",95.0,692.0,330.0,"H",276.855,0.265,6.554,0.246,1.11,0.497,-1.755,0.48,2.529,0.246,62.0,0.244,0.018,31.1,9.2,"nan",0,1,0
"NGC 6649",564.0,"nan","nan","nan",278.356,0.116,-10.4,0.117,-0.007,0.227,-0.052,0.227,0.469,0.203,211.0,0.912,0.024,"nan","nan","#",1,0,0
"NGC 6664","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"NGC 6683",126.0,"nan","nan","nan",280.555,0.107,-6.207,0.109,-0.336,0.208,-2.337,0.208,0.256,0.182,12.0,0.982,0.079,"nan","nan","#",0,0,0
"NGC 6709",176.0,191.0,91.0,"H",282.828,0.132,10.319,0.132,1.398,0.201,-3.514,0.196,0.92,0.116,112.0,0.401,0.01,12.3,7.1,"nan",1,0,0
"NGC 6716",143.0,98.0,47.0,"H",283.588,0.225,-19.891,0.23,-1.485,0.214,-6.017,0.225,1.406,0.152,93.0,0.23,0.01,3.2,2.4,"nan",1,0,0
"NGC 6755",417.0,"nan","nan","nan",286.944,0.125,4.243,0.133,-0.758,0.234,-3.502,0.222,0.356,0.172,52.0,1.156,0.03,"nan","nan","#",1,0,0
"NGC 6828","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"NGC 6910",137.0,"nan","nan","nan",305.805,0.131,40.772,0.121,-3.399,0.213,-5.363,0.23,0.537,0.161,40.0,1.315,0.036,"nan","nan","#",1,0,0
"NGC 6913",119.0,"nan","nan","nan",305.934,0.139,38.506,0.131,-3.391,0.203,-5.777,0.212,0.555,0.105,22.0,1.198,0.066,"nan","nan","#",1,0,0
"NGC 6997",216.0,646.0,308.0,"H",314.134,0.178,44.625,0.143,-4.317,0.23,-6.848,0.253,1.131,0.12,66.0,0.808,0.025,42.6,17.0,"nan",1,0,0
"NGC 7031",149.0,"nan","nan","nan",316.81,0.16,50.863,0.123,-1.213,0.174,-4.216,0.194,0.669,0.333,37.0,0.602,0.108,"nan","nan","#",1,0,0
"NGC 7039",32.0,12.0,6.0,"CG",317.651,0.167,45.629,0.137,-0.342,0.209,-2.536,0.205,1.298,0.143,9.0,0.34,0.096,0.0,"nan","nan",1,0,0
"NGC 7058",87.0,41.0,20.0,"H",320.431,0.514,50.809,0.463,7.47,0.253,2.9,0.279,2.724,0.118,66.0,0.104,0.017,0.0,0.66,"nan",1,0,0
"NGC 7063",77.0,98.0,47.0,"H",321.106,0.191,36.487,0.166,1.544,0.225,-2.466,0.199,1.489,0.282,51.0,0.155,0.02,1.8,1.3,"nan",1,0,1
"NGC 7082",516.0,150.0,50.0,"CG",322.177,0.489,47.102,0.425,-0.295,0.207,-1.123,0.196,0.729,0.094,226.0,0.381,0.009,21.0,8.2,"nan",1,0,0
"NGC 7086",576.0,140.0,40.0,"H",322.634,0.16,51.599,0.125,-1.649,0.21,-1.63,0.206,0.586,0.113,87.0,1.017,0.023,46.0,17.7,"nan",1,0,0
"NGC 7160",49.0,15.0,7.0,"H",328.444,0.163,62.593,0.118,-3.437,0.216,-1.28,0.234,1.059,0.147,19.0,0.568,0.064,0.0,0.41,"nan",1,0,0
"NGC 7243",310.0,148.0,71.0,"H",333.77,0.366,49.839,0.253,0.41,0.264,-2.817,0.25,1.118,0.129,164.0,0.28,0.009,11.3,6.4,"nan",1,0,0
"NGC 7419",242.0,"nan","nan","nan",343.583,0.116,60.813,0.104,-2.766,0.217,-1.622,0.249,0.282,0.123,142.0,1.039,0.014,"nan","nan","#",1,0,0
"NGC 744",124.0,"nan","nan","nan",29.663,0.159,55.469,0.121,-1.871,0.211,-1.738,0.186,0.73,0.108,62.0,0.41,0.018,"nan","nan","#",1,0,0
"NGC 7654",1587.0,60.0,20.0,"CG",351.195,0.371,61.587,0.266,-1.95,0.213,-1.1,0.209,0.644,0.157,219.0,0.936,0.017,20.3,19.8,"nan",1,0,0
"NGC 7762",431.0,"nan","nan","nan",357.479,0.322,68.03,0.21,1.464,0.225,3.997,0.217,0.999,0.117,82.0,0.905,0.017,"nan","nan","#",1,0,0
"Pismis 4",137.0,120.0,58.0,"H",128.719,0.627,-44.431,0.535,-8.2,0.203,5.331,0.213,1.439,0.266,84.0,0.09,0.011,3.4,2.1,"nan",1,0,3
"Pismis 5",31.0,10.0,5.0,"H",129.413,0.106,-39.583,0.105,-5.469,0.556,4.268,0.551,1.02,0.214,12.0,0.951,0.178,0.0,0.05,"nan",1,0,0
"Pismis 8",61.0,"nan","nan","nan",130.406,0.107,-46.269,0.104,-5.698,0.244,4.926,0.197,0.521,0.1,9.0,1.011,0.093,"nan","nan","#",1,0,0
"Pismis 21",198.0,"nan","nan","nan",229.187,0.156,-59.658,0.114,-4.152,0.202,-3.743,0.201,0.307,0.187,60.0,0.797,0.035,"nan","nan","#",1,0,0
"Pismis 22",41.0,"nan","nan","nan",243.557,0.115,-51.863,0.105,-3.816,0.343,-4.295,0.271,0.143,0.152,12.0,1.032,0.079,"nan","nan","#",1,0,0
"Pismis-Moreno 1",98.0,9.0,4.0,"H",334.51,0.685,63.161,0.472,-2.338,0.227,-2.22,0.227,0.997,0.2,23.0,0.989,0.064,0.0,0.55,"nan",1,0,0
"Platais 1","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Platais 2","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Platais 3","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"Platais 4",25.0,70.0,50.0,"CG",76.926,2.246,22.034,2.418,0.168,0.331,-6.472,0.398,2.96,0.416,17.0,0.425,0.046,0.32,0.51,"nan",0,0,0
"Platais 5","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Platais 6","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Platais 8","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"Platais 9","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"Platais 10","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"Platais 11","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Platais 12","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Pleiades",483.0,135.0,25.0,"CG",56.61,1.479,24.13,1.467,19.919,1.365,-45.428,1.482,7.341,0.218,413.0,0.096,0.005,10.1,2.1,"nan",1,1,1
"Roslund 1","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Roslund 3",71.0,"nan","nan","nan",299.685,0.107,20.495,0.106,-0.388,0.172,-5.119,0.192,0.582,0.214,20.0,0.435,0.016,"nan","nan","#",1,0,0
"Roslund 5","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"Roslund 6",103.0,250.0,50.0,"CG",307.234,0.865,39.514,0.865,5.933,0.304,2.164,0.287,2.821,0.127,81.0,0.057,0.007,5.4,0.98,"nan",1,0,0
"Roslund 7",147.0,130.0,30.0,"CG",313.437,0.702,38.082,0.68,1.723,0.146,-0.371,0.157,0.793,0.098,57.0,0.452,0.021,6.7,2.1,"nan",1,0,0
"Ruprecht 12","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Ruprecht 18",564.0,129.0,62.0,"H",111.157,0.155,-26.226,0.145,-0.509,0.221,1.141,0.238,0.352,0.132,55.0,0.844,0.029,31.2,19.0,"nan",1,0,0
"Ruprecht 26",323.0,32.0,15.0,"H",114.261,0.433,-15.621,0.445,-3.179,0.211,0.103,0.223,0.678,0.452,105.0,0.206,0.013,0.0,2.3,"nan",1,0,0
"Ruprecht 27",834.0,"nan","nan","nan",114.396,0.528,-26.488,0.498,-1.229,0.15,0.444,0.153,0.386,0.28,116.0,0.26,0.028,"nan","nan","#",1,0,0
"Ruprecht 31","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Ruprecht 59","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Ruprecht 64","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Ruprecht 65",126.0,120.0,20.0,"CG",128.938,0.889,-44.403,0.592,-8.197,0.351,5.327,0.295,1.401,0.14,81.0,0.077,0.008,3.6,0.78,"nan",1,0,0
"Ruprecht 76",77.0,"nan","nan","nan",141.07,0.126,-51.659,0.111,-6.529,0.24,3.632,0.224,0.462,0.195,10.0,0.649,0.062,"nan","nan","#",1,0,0
"Ruprecht 91",229.0,138.0,66.0,"H",161.912,0.457,-57.477,0.334,-11.18,0.181,2.428,0.191,0.928,0.115,161.0,0.129,0.008,10.3,6.0,"nan",1,0,0
"Ruprecht 93",285.0,"nan","nan","nan",166.057,0.175,-61.377,0.121,-6.431,0.178,3.087,0.194,0.376,0.243,112.0,0.444,0.021,"nan","nan","#",1,0,0
"Ruprecht 107",132.0,"nan","nan","nan",199.941,0.119,-64.95,0.104,-5.837,0.218,-1.591,0.206,0.228,0.173,22.0,0.641,0.047,"nan","nan","#",1,0,0
"Ruprecht 113","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Ruprecht 118",103.0,"nan","nan","nan",246.164,0.122,-51.942,0.108,-3.114,0.197,-4.328,0.189,0.325,0.305,20.0,0.66,0.036,"nan","nan","#",1,0,0
"Ruprecht 119",156.0,"nan","nan","nan",247.046,0.14,-51.501,0.117,-1.336,0.17,-3.414,0.167,0.42,0.239,23.0,0.881,0.034,"nan","nan","#",1,0,0
"Ruprecht 127",127.0,"nan","nan","nan",264.46,0.117,-36.309,0.11,-0.294,0.203,-2.265,0.229,0.386,0.223,20.0,0.966,0.067,"nan","nan","#",1,0,0
"Ruprecht 144","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"Ruprecht 145",62.0,813.0,388.0,"H",282.685,0.685,-18.965,1.101,8.235,0.517,-3.906,0.516,1.644,0.164,34.0,0.334,0.025,10.2,3.8,"nan",1,0,0
"Ruprecht 147",100.0,"nan","nan","nan",289.106,0.475,-16.342,0.467,-0.924,0.498,-26.599,0.526,3.242,0.188,61.0,0.202,0.016,"nan","nan","#",1,6,0
"Ruprecht 161","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"Stephenson 1",58.0,28.0,14.0,"H",283.583,0.312,36.91,0.312,1.101,0.212,-2.98,0.237,2.778,0.189,40.0,0.128,0.02,0.0,0.43,"nan",1,0,0
"Stock 2",606.0,225.0,50.0,"CG",33.847,1.087,59.547,0.689,15.857,0.59,-13.705,0.58,2.643,0.16,348.0,0.378,0.009,31.3,7.01,"nan",1,2,0
"Stock 5",137.0,150.0,20.0,"CG",31.127,0.697,64.369,0.443,-0.726,0.2,-2.027,0.202,1.024,0.153,28.0,0.69,0.029,6.3,1.1,"nan",1,0,0
"Stock 7","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"Stock 10",59.0,81.0,39.0,"H",84.802,0.376,37.838,0.355,-3.163,0.39,-0.487,0.329,2.76,0.172,42.0,0.205,0.018,0.68,0.58,"nan",1,0,0
"Stock 12",112.0,300.0,50.0,"CG",353.939,0.785,52.684,0.526,8.551,0.26,-1.841,0.231,2.261,0.124,81.0,0.14,0.012,6.7,1.0,"nan",1,1,0
"Stock 20","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"Stock 23",60.0,90.0,30.0,"CG",49.252,0.952,60.176,0.651,-4.258,0.193,-0.917,0.216,1.605,0.154,37.0,0.398,0.021,1.75,0.98,"nan",1,0,0
"Trumpler 2","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"Trumpler 3",320.0,47.0,22.0,"H",48.025,0.883,63.204,0.626,-3.349,0.288,-0.1,0.292,1.442,0.152,166.0,0.405,0.008,0.81,2.8,"nan",1,0,0
"Trumpler 6","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Trumpler 7",254.0,80.0,20.0,"CG",111.845,0.134,-23.953,0.126,-2.485,0.223,3.328,0.237,0.577,0.175,89.0,0.386,0.012,4.8,2.0,"nan",1,0,0
"Trumpler 10",226.0,32.0,16.0,"H",131.896,0.775,-42.46,0.675,-12.371,0.369,6.501,0.336,2.262,0.243,136.0,0.103,0.011,0.0,1.9,"nan",1,0,0
"Trumpler 18",74.0,48.0,23.0,"H",167.85,0.13,-60.654,0.109,-7.139,0.177,0.588,0.159,0.632,0.116,33.0,0.416,0.015,0.64,1.9,"nan",1,0,0
"Trumpler 21",63.0,49.0,24.0,"H",203.044,0.125,-62.786,0.104,-4.681,0.184,-2.302,0.179,0.728,0.107,40.0,0.345,0.015,0.45,0.17,"nan",1,0,0
"Trumpler 24","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Trumpler 27",154.0,"nan","nan","nan",264.08,0.113,-33.503,0.109,-0.155,0.247,-1.25,0.224,0.394,0.13,68.0,0.984,0.037,"nan","nan","#",0,0,0
"Trumpler 28",64.0,"nan","nan","nan",264.236,0.112,-32.479,0.111,-0.821,0.261,-2.773,0.276,0.71,0.141,16.0,1.037,0.053,"nan","nan","#",1,0,0
"Trumpler 29",412.0,"nan","nan","nan",265.321,0.453,-40.162,0.332,0.481,0.157,-2.296,0.15,0.622,0.148,162.0,0.425,0.015,"nan","nan","#",1,0,0
"Trumpler 30",192.0,200.0,100.0,"CG",269.172,0.167,-35.292,0.153,1.185,0.287,-2.198,0.321,0.709,0.113,76.0,0.522,0.017,47.9,10.7,"nan",1,0,0
"Trumpler 35",106.0,"nan","nan","nan",280.726,0.109,-4.158,0.11,-0.981,0.269,-2.244,0.268,0.325,0.183,16.0,0.533,0.102,"nan","nan","#",1,0,0
"Trumpler 37","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"Turner 2","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Turner 5","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"Turner 9","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"VDBH 23, vdB-Hagen 23",32.0,55.0,20.0,"CG",123.44,0.438,-36.297,0.445,-7.143,0.37,7.327,0.303,2.217,0.18,13.0,0.108,0.026,0.23,0.3,"nan",1,1,0
"VDBH 34, vdB-Hagen 34",164.0,120.0,30.0,"CG",128.662,0.879,-44.405,0.537,-8.086,0.308,5.41,0.297,1.413,0.168,100.0,0.1,0.011,4.1,1.3,"nan",0,0,0
"VDBH 54, vdB-Hagen 54",61.0,"nan","nan","nan",132.394,0.126,-44.363,0.111,-4.794,0.221,5.238,0.229,0.41,0.147,11.0,1.258,0.069,"nan","nan","#",1,0,0
"VDBH 56, vdB-Hagen 56",76.0,35.0,15.0,"CG",133.508,1.157,-43.361,0.822,-12.688,0.732,6.463,0.517,2.294,0.199,42.0,0.05,0.017,0.0,"nan","nan",1,0,0
"VDBH 87, vdB-Hagen 87",174.0,"nan","nan","nan",151.131,0.121,-55.395,0.106,-6.317,0.215,2.656,0.211,0.42,0.141,15.0,0.862,0.054,"nan","nan","#",1,0,0
"VDBH 91, vdB-Hagen 91","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"VDBH 99, vdB-Hagen 99",178.0,40.0,20.0,"CG",159.483,0.625,-59.161,0.435,-14.438,0.393,1.015,0.419,2.195,0.147,139.0,0.15,0.012,0.0,"nan","nan",1,0,0
"VDBH 132, vdB-Hagen 132",153.0,"nan","nan","nan",186.747,0.189,-64.062,0.12,-6.212,0.147,-0.174,0.145,0.322,0.221,18.0,0.819,0.047,"nan","nan","#",1,0,0
"VDBH 164, vdB-Hagen 164",235.0,20.0,10.0,"CG",222.211,1.139,-66.399,0.586,-7.388,0.476,-10.517,0.599,2.207,0.775,86.0,0.229,0.02,0.0,"nan","nan",1,0,3
"VDBH 217, vdB-Hagen 217",132.0,"nan","nan","nan",259.074,0.107,-40.821,0.106,-0.676,0.255,-1.805,0.211,0.326,0.22,33.0,0.737,0.045,"nan","nan","#",1,0,0
"VDBH 221, vdB-H 221","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"VDBH 245, vdB-H 245","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
