"Cl","Ns","Age","e_Age","f_Age","RAdeg","e_RAdeg","DEdeg","e_DEdeg","pmRA","e_pmRA","pmDE","e_pmDE","plx","e_plx","Nred","E(Bp-Rp)","e_E(Bp-Rp)","Nwd","e_Nwd","f_Nwd","GC20","Nt1","Nt4"
"Coma Ber","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"Czernik 8",167.0,"nan","nan","nan",38.235,0.148,58.766,0.117,0.467,0.21,-0.753,0.195,0.324,0.248,9.0,1.062,0.081,"nan","nan","#",1,0,0
"Dolidze 42","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ESO 123-26","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"ESO 166-04",164.0,200.0,95.0,"H",137.64,0.552,-53.863,0.417,-5.979,0.16,5.671,0.157,0.905,0.15,54.0,0.242,0.013,5.6,2.6,"nan",1,0,0
"ESO 175-06","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ESO 332-08","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ESO 429-13","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Feinstein 1","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Haffner 13","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"Haffner 26","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"Hogg 3","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Hogg 12",305.0,"nan","nan","nan",168.25,0.151,-60.781,0.114,-6.124,0.229,1.037,0.226,0.319,0.196,57.0,0.777,0.029,"nan","nan","#",0,0,0
"Hogg 14","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Hogg 17",75.0,"nan","nan","nan",218.473,0.128,-61.333,0.109,-5.213,0.152,-2.443,0.175,0.377,0.159,10.0,0.223,0.192,"nan","nan","#",1,0,0
"Hogg 22",76.0,"nan","nan","nan",251.661,0.118,-47.083,0.107,-0.725,0.171,-1.971,0.195,0.349,0.172,12.0,0.896,0.045,"nan","nan","#",1,0,0
"Hogg 23","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Hyades","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"IC 348",29.0,12.0,6.0,"H",56.132,0.136,32.165,0.134,4.308,0.851,-6.722,0.775,3.108,0.336,10.0,1.359,0.035,0.0,0.17,"nan",1,0,0
"IC 361","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"IC 2391",14.0,29.0,14.0,"H",129.169,1.306,-52.558,1.211,-23.981,1.101,23.49,1.297,6.57,0.189,10.0,0.103,0.052,0.0,0.07,"nan",1,0,1
"IC 2395","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"IC 2488",397.0,162.0,78.0,"H",141.873,0.269,-56.996,0.177,-7.75,0.223,5.68,0.24,0.73,0.108,201.0,0.345,0.007,22.8,12.7,"nan",1,0,0
"IC 2602","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"IC 4665","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"IC 4725","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"IC 5146","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"Johansson 1","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"King 6",162.0,"nan","nan","nan",51.995,0.192,56.439,0.141,3.863,0.194,-1.825,0.208,1.338,0.128,49.0,0.724,0.015,"nan","nan","#",1,0,0
"Loden 1","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Loden 59","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Loden 89","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Loden 143",127.0,50.0,30.0,"CG",159.289,0.521,-59.099,0.424,-14.454,0.37,1.065,0.397,2.195,0.147,97.0,0.16,0.015,0.55,1.7,"nan",0,0,0
"Loden 189","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Loden 309","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Loden 565","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Loden 682","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Loden 807","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Loden 1010","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Loden 1171","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Loden 1194","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"Loden 2326","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"Lynga 2",111.0,102.0,49.0,"H",216.082,0.223,-61.333,0.129,-6.648,0.27,-4.618,0.312,1.037,0.149,58.0,0.39,0.013,3.2,2.2,"nan",1,0,0
