"Name","RAJ2000","DEJ2000","Rc","e_Rc","Type","Nm","pmRA*","pmDE"
"NGC 2670",131.375,-48.8,6.85,0.65,"B",166,-5.356,3.635
"NGC 2671",131.55,-41.87833,9.8,1.7,"B",443,-1.678,0.896
"VDBH 52, BH 52",131.625,-52.9,5.7,0.3,"B",285,-4.099,4.634
"ESO 211 03",132.89167,-50.24528,6.65,1.15,"B",421,-4.696,4.462
"VDBH 56, BH 56",134.28333,-43.25,9.0,4.0,"B",65,-5.642,5.535
"Pismis 11",138.97083,-50.01667,2.05,0.35,"B",72,-5.353,3.904
"NGC 2818",139.00417,-36.625,12.9,0.9,"B",404,-4.5,4.627
"Pismis 12",140.0,-45.11667,6.4,2.3,"B",287,-6.791,4.718
"NGC 2866",140.52917,-51.1,1.95,0.25,"B",122,-5.13,4.619
"VDBH 67, BH 67",141.6875,-51.26667,2.75,1.05,"B",128,-3.486,2.792
"VDBH 73, BH 73",142.98333,-50.21667,2.3,0.2,"B",132,-3.796,2.139
"Pismis 15",143.6875,-48.03333,3.8,0.7,"A",132,-5.318,3.329
"ESO 315 14",143.85417,-39.53333,3.4,0.4,"B",103,-6.606,4.76
"NGC 2972",145.05,-50.32333,3.0,0.8,"B",64,-5.387,2.443
"Ruprecht 82",146.44167,-54.0,4.8,0.7,"A",161,-6.215,4.335
"Ruprecht 84",147.28333,-65.25,2.75,0.75,"B",74,-7.024,3.806
"VDBH 85, BH 85",150.46667,-49.56667,2.75,0.75,"A",155,-5.718,4.637
"ESO 092 05",150.80833,-64.75333,3.0,0.7,"A",303,-2.767,2.43
"Trumpler 11",151.225,-61.6,2.35,0.95,"B",69,-6.996,3.283
"Trumpler 12",151.62083,-60.3,4.15,1.05,"A",231,-6.861,4.452
"FSR 1535",151.97917,-59.19694,2.15,0.35,"B",96,-5.301,3.52
"VDBH 90, BH 90",153.04167,-58.06667,2.75,0.75,"A",132,-5.388,2.344
"Trumpler 13",155.95,-60.13333,4.6,0.5,"A",272,-6.724,3.991
"Collinder 220",156.46667,-57.92667,5.05,3.15,"B",143,-7.307,2.704
"NGC 3255",156.62917,-60.67667,1.7,0.4,"A",130,-5.934,3.371
"IC 2581",156.87083,-57.61667,5.25,2.05,"B",209,-7.315,3.736
"NGC 3293",158.9625,-58.23,5.95,0.55,"A",547,-7.634,3.363
"Saurer 3",160.35417,-55.30556,1.9,0.2,"B",129,-6.836,3.34
"Melotte 101",160.55,-65.1,10.0,1.0,"A",497,-6.164,3.548
