"ID","n_ID","GLON","e_GLON","GLAT","e_GLAT","rmax","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","nTot","Age","e_Age","Z","Class","K13","CG18","B19","G","_RA.icrs","_DE.icrs"
"FoF_623,NGC_2818","nan",262.002,0.072,8.619,0.066,0.264,0.285,0.04,-4.429,0.235,4.485,0.269,293,1.41,0.0846,-0.5,1,"1280","792","7087",0,139.0546,-36.6173
"FoF_624","nan",277.228,0.072,8.64,0.06,0.344,0.291,0.083,8.363,0.372,-2.017,0.369,1184,11.8,0.708,-2.0,1,"1409","nan","7520",0,154.4022,-46.4124
"FoF_625","nan",353.568,0.033,7.318,0.043,0.149,0.259,0.028,-5.118,0.513,-2.905,0.326,182,1.26,0.0756,-2.0,1,"2024","nan","10657",0,255.2994,-30.1185
"FoF_626","nan",353.584,0.031,7.307,0.044,0.12,0.214,0.008,-5.14,0.443,-2.961,0.336,59,0.646,0.0388,-1.75,3,"2024","nan","10657",0,255.3206,-30.1125
"FoF_627","nan",20.79,0.027,6.783,0.029,0.103,0.286,0.06,-7.004,0.331,-3.331,0.328,113,0.059,0.0035,-2.0,3,"2239","nan","987",0,271.1984,-7.5868
"FoF_628,NGC_6819","nan",73.983,0.073,8.48,0.067,0.278,0.357,0.052,-2.908,0.198,-3.865,0.202,1414,3.89,0.2334,0.25,1,"2509","919","2448",0,295.3292,40.1908
"FoF_629,NGC_7142","nan",105.352,0.092,9.496,0.066,0.478,0.383,0.051,-2.764,0.28,-1.289,0.233,404,3.47,0.2082,0.25,1,"2822","946","3227",0,326.2793,65.7866
"FoF_630,Berkeley_10","nan",138.618,0.066,8.88,0.047,0.23,0.368,0.047,-1.426,0.194,1.036,0.205,159,0.692,0.0415,0.5,1,"222","122","4155",0,54.8899,66.4857
"FoF_631,NGC_2266","nan",187.79,0.058,10.3,0.046,0.176,0.29,0.051,-0.423,0.247,-1.269,0.194,240,0.955,0.0573,0.0,1,"693","721","5114",0,100.8355,26.9723
"FoF_632,NGC_2355","nan",203.368,0.094,11.815,0.067,0.373,0.494,0.054,-3.812,0.19,-1.084,0.218,293,1.74,0.1044,-0.75,1,"864","739","5514",0,109.2481,13.7745
"FoF_633,Berkeley_39","nan",223.52,0.054,10.086,0.049,0.213,0.268,0.045,-1.679,0.216,-1.643,0.213,234,12.3,0.738,-1.75,1,"1016","154","6139",0,116.6953,-4.6547
"FoF_634,NGC_2506","nan",230.572,0.087,9.939,0.08,0.388,0.317,0.072,-2.56,0.195,3.896,0.166,1257,2.63,0.1578,0.0,1,"1081","767","6306",0,120.012,-10.7748
"FoF_635,FSR_1407","nan",261.968,0.057,12.519,0.065,0.231,0.28,0.037,-4.776,0.159,5.96,0.178,83,11.5,0.69,-1.75,1,"1309","435","7085",0,142.4384,-33.8645
"FoF_636","nan",356.87,0.028,9.382,0.03,0.11,0.271,0.046,-3.164,0.596,1.722,0.413,187,1.0,0.06,-2.0,1,"2031","nan","10820",0,255.6585,-26.2673
"FoF_637","nan",5.538,0.026,10.702,0.027,0.111,0.266,0.044,-2.134,0.423,-2.974,0.367,162,1.1,0.066,-2.0,3,"2070","nan","335",0,259.7982,-18.5232
"FoF_638","nan",6.721,0.019,10.219,0.02,0.069,0.27,0.044,-3.803,0.441,-3.213,0.379,127,12.9,0.774,-1.75,3,"2077","nan","390",0,260.8949,-17.8156
"FoF_639,NGC_6791","nan",69.967,0.06,10.903,0.056,0.224,0.266,0.055,-0.452,0.197,-2.275,0.249,666,1.95,0.117,0.25,1,"2462","914","2327",0,290.2264,37.7788
"FoF_640,NGC_6939","nan",95.904,0.12,12.279,0.105,0.446,0.508,0.046,-1.845,0.196,-5.408,0.198,735,1.66,0.0996,0.5,1,"2669","929","3012",0,307.919,60.6483
"FoF_641,NGC_2192","nan",173.446,0.097,10.651,0.047,0.287,0.25,0.025,0.307,0.347,-1.908,0.265,119,1.45,0.087,-0.25,1,"574","706","4834",0,93.8349,39.8262
"FoF_642,NGC_2420","nan",198.106,0.084,19.646,0.087,0.364,0.366,0.065,-1.181,0.261,-2.129,0.206,592,2.51,0.1506,-0.5,1,"977","749","5417",0,114.6073,21.5789
"FoF_643","nan",309.1,0.147,14.97,0.142,0.543,0.406,0.179,-3.246,0.562,-6.621,0.636,6735,12.9,0.774,-2.0,1,"1690","nan","8701",0,201.6938,-47.4781
"FoF_644","nan",337.023,0.029,13.273,0.035,0.159,0.265,0.041,-4.318,0.514,-4.533,0.4,117,0.977,0.0586,-1.5,1,"1868","nan","9707",0,236.5096,-37.7823
