"ID","Flag","RAICRS","DEICRS","pmRA","pmDE","plx","[Fe/H]","e_[Fe/H]","logAge","e_logAge","m-M","e_m-M","E(BP-RP)","e_E(BP-RP)","AVmag","e_AVmag","Rc","e_Rc","Rt","e_Rt","R50Mem","R50Mass","RJ","e_RJ","Mass","e_Mass","fbin","Trlx","e_Trlx"
"collinder115","nan",101.6642332,1.776410866,-1.184320846,-0.483234645,0.471005532,0.499999815,0.125,8.699837726,0.226195781,12.60837851,0.289992706,0.478723524,0.028723412,1.164973696,0.069898422,7.954336654,0.725789906,"nan","nan",12.44356892,13.77116069,15.42752958,1.028501972,4710.0,942.0,0.41,79.25969003,0.296443546
"collinder135","nan",109.4343246,-36.61635991,-10.12283837,6.222422005,3.328723924,0.249999244,0.125,7.519827994,0.195515528,7.556752723,0.173805313,0.062217611,0.003733057,0.151406556,0.009084393,5.568380456,0.232291088,42.2583197,12.83078587,5.160219612,5.547977262,8.515394154,0.561855484,389.0,77.0,0.19,55.19618186,0.251742133
"collinder272","nan",202.6682417,-61.33764582,-3.448042373,-1.719705943,0.447263162,0.0,0.125,7.913813852,0.252396825,11.84,0.27232,0.617630984,0.037057859,1.503005,0.0901803,7.476586498,0.616833536,"nan","nan",12.80936108,20.35487299,19.78047348,1.317567273,3498.0,699.0,0.46,150.462453,0.631658295
"collinder277","nan",207.0630699,-66.0669824,-9.252110862,-4.122186666,0.59564401,0.499999815,0.125,8.840106094,0.229842758,11.56115727,0.265906617,0.315277135,0.018916628,0.767226908,0.046033614,4.827114255,0.082318133,12.87442797,0.406220392,3.795828811,6.821148519,12.23452109,0.814719324,855.0,171.0,0.58,30.71993926,0.195416249
"collinder350","nan",267.110688,1.506335006,-4.852317965,-0.088998866,2.691875964,0.0,0.125,8.349999998,0.2171,7.85,0.18055,0.416396137,0.024983768,1.0133,0.060798,6.65748171,0.315150166,18.55533721,2.001745816,5.421328453,3.962972332,9.360777152,0.622726859,310.0,60.0,0.45,20.48692537,0.143543259
"collinder419","nan",304.8760848,40.88787785,-2.576037806,-6.334585595,0.978220854,0.0,0.125,6.619999913,0.172119998,10.01,0.23023,0.821861516,0.049311691,2.0,0.12,"nan","nan",10.35306637,2.197515535,5.996862927,7.433270711,13.13155629,0.87477186,1026.0,205.0,0.48,33.52191318,0.214490864
"collinder421","nan",305.8404453,41.67391488,-3.614197683,-8.316584775,0.827340909,0.499999815,0.125,8.189999998,0.21294,10.84,0.24932,0.8,0.048,1.9468,0.116808,3.590220092,0.05446679,13.77353184,0.720295076,4.132291076,3.530805087,12.35128996,0.822661118,885.0,177.0,0.62,10.60267594,0.072131645
"collinder463","nan",27.07576308,71.69463839,-1.731601582,-0.387865808,1.152596065,0.499999815,0.125,8.0,0.208,10.96475904,0.252189458,0.570077851,0.034204671,1.38728445,0.083237067,7.943987589,0.344524143,21.80379311,2.088710544,7.072576653,14.14049046,13.20816881,0.879989389,1149.0,229.0,0.56,149.5295199,0.673379527
"collinder69","nan",83.76868952,9.758882756,1.185523565,-2.130269552,2.505288023,0.499999815,0.125,6.759667845,0.175751364,7.93942698,0.182606821,0.020586884,0.001235213,0.050098182,0.003005891,3.70885541,0.155101018,"nan","nan",6.659102778,6.788049313,11.38795043,0.759196695,539.0,107.0,0.21,65.05518419,0.32988047
"cwnu1020","nan",135.4826007,-55.03237826,-10.7315475,7.623167711,2.281480657,0.0,0.125,7.209999974,0.187459999,8.4,0.1932,0.246558455,0.014793507,0.6,0.036,"nan","nan",20.66001133,7.187819467,9.056986456,14.33165266,7.265477258,0.476085404,234.0,46.0,0.31,152.9128449,1.048131874
"cwnu1044","nan",128.8018168,-50.97107293,-12.78945607,9.989095915,2.892965545,0.499999815,0.125,7.0,0.182,7.83944883,0.180307323,0.254674055,0.015280443,0.619749312,0.037184959,"nan","nan",14.08225123,5.962775815,7.356939391,11.29167466,7.732534187,0.515502279,217.0,43.0,0.54,104.1533408,0.787648548
"cwnu1057","nan",81.6941245,-6.92888862,0.765628448,-0.56853899,2.821188832,0.0,0.125,7.599999999,0.1976,5.95,0.13685,0.049291144,0.002957469,0.11995,0.007197,6.730563101,2.852835266,"nan","nan",5.005678316,6.131422835,9.585273474,0.635701528,418.0,83.0,0.52,42.42244982,0.260874435
"cwnu1065","nan",243.5004934,-51.30925913,0.15301241,-2.156072131,0.8325973,-0.249999398,0.125,8.130333768,0.211388678,10.96373337,0.252165868,0.587546751,0.035252805,1.429795019,0.085787701,7.317152922,0.406927916,44.07808652,8.895418909,7.331671547,9.378380117,10.16270728,0.674892876,488.0,97.0,0.48,41.59996875,0.353964207
"cwnu1069","nan",118.5300631,-43.49729148,-11.28116779,4.581068663,3.016048004,0.249999244,0.125,7.530199698,0.195785192,7.771257014,0.178738911,0.115987284,0.006959237,0.282255056,0.016935303,"nan","nan","nan","nan",7.848305413,8.606138586,6.921799185,0.456994793,207.0,41.0,0.18,86.63797268,0.548753677
"cwnu1076","nan",40.36091691,56.86363759,8.740190572,-4.004861983,2.788034463,0.249999244,0.125,8.129999999,0.21138,7.88,0.18124,0.209432916,0.012565975,0.509655,0.0305793,7.503579633,0.353916884,19.11400319,1.054767268,4.637432432,7.551486313,4.925131362,0.315713549,78.0,15.0,0.31,36.75072483,0.492328096
"cwnu1084","nan",302.6877499,33.7117888,4.839837685,-0.291418601,3.079004832,0.249999244,0.125,7.519827994,0.195515528,8.391843301,0.193012396,0.215446814,0.012926809,0.524289822,0.031457389,"nan","nan",8.256791624,0.135753367,4.085290691,4.386128994,6.09318944,0.403225772,136.0,27.0,0.39,23.32963261,0.206690085
"cwnu1116","nan",114.445339,-46.77418772,-4.659509452,9.109102106,2.492843923,0.499999815,0.125,6.959994838,0.180959866,7.72667072,0.177713427,0.187701295,0.011262078,0.456771101,0.027406266,"nan","nan","nan","nan",9.344055708,13.53129803,7.030743521,0.464396269,217.0,43.0,0.52,128.7228269,0.964023319
"cwnu1122","nan",196.0082109,-59.98972347,-12.0213727,-3.891333304,1.494431818,0.249999244,0.125,8.369215857,0.217599612,9.453737089,0.217435953,0.308204828,0.01849229,0.750016448,0.045000987,8.349501556,0.234752531,12.83475134,0.221251008,4.448241675,6.649659579,10.05668254,0.670445502,560.0,112.0,0.48,34.00830823,0.225845305
"cwnu1185","nan",283.2586467,-20.06000652,-1.486505213,-5.957638601,1.38997969,0.249999244,0.125,7.699837726,0.200195781,9.953447444,0.228929291,0.353127691,0.021187661,0.859336236,0.051560174,"nan","nan",10.27301398,2.309319381,5.170669647,4.709990462,14.56097692,0.968959308,1506.0,301.0,0.46,27.78353438,0.112679034
"cwnu224","nan",267.9228874,-38.53504468,3.115920882,-2.141014432,0.849590756,-0.499996571,0.125,7.57054294,0.196834116,11.11959075,0.255750587,0.607517991,0.03645108,1.478395032,0.088703702,9.634132089,1.533938109,19.34122559,4.187216384,7.63305896,8.863764155,12.95415305,0.861149776,1053.0,210.0,0.3,50.56063933,0.278804142
"cwnu2268","nan",133.285582,-47.83203608,-4.619289089,3.873808703,0.387400817,0.249999244,0.125,7.299999997,0.1898,14.02,0.32246,1.118567454,0.067114047,2.722033898,0.163322034,7.21136233,0.249550651,35.05737416,4.863517707,9.346515064,10.78709671,15.7275321,1.047102893,2248.0,449.0,0.38,35.65019416,0.232837782
"cwnu254","nan",110.1736708,3.510060777,-6.540545231,-5.049850345,2.141841636,0.249999244,0.125,8.640481437,0.224652517,8.375554066,0.192637744,0.034009542,0.002040572,0.082762221,0.004965733,7.538051556,1.649552991,"nan","nan",6.930062065,7.982795126,8.585880248,0.572392017,425.0,85.0,0.55,62.1399681,0.363806965
"cwnu287","nan",155.4288511,-55.98402267,-14.65792383,2.508598948,2.228037153,0.499999815,0.125,7.770115295,0.202022998,8.811714055,0.202669423,0.151207039,0.009072422,0.367962328,0.02207774,2.280136468,0.055879897,16.11317894,2.906822106,2.460848856,2.890644839,6.8252093,0.452631681,90.0,18.0,0.32,12.06038968,0.143382912
"cwnu4321","nan",280.5159172,-7.757659354,0.970487223,-11.45045878,2.364850749,0.499999815,0.125,6.920123326,0.179923206,7.487990018,0.17222377,0.257182607,0.015430957,0.625853875,0.037551233,"nan","nan",10.18995866,3.491752841,11.11034124,12.69904447,6.136910376,0.406004249,131.0,26.0,0.58,62.61359568,0.859126117
"cwnu45","nan",107.8857866,-27.5389907,-3.981405887,5.370675872,1.691456091,0.0,0.125,7.109999983,0.18486,9.12,0.20976,0.173825765,0.010429546,0.423005,0.0253803,16.2166422,"nan",20.61269065,19.95337508,7.20221859,8.364060254,10.16307208,0.674583757,651.0,130.0,0.59,66.1145638,0.343357742
"cwnu515","nan",131.962355,-63.13604132,-26.76879033,15.39511556,4.858591725,-0.249999398,0.125,7.42975228,0.193173559,6.731962342,0.154835134,0.162766801,0.009766008,0.396093009,0.023765581,2.961935269,0.078209696,19.27204892,3.371141937,2.951972162,8.156438948,4.508442848,0.295195663,56.0,11.0,0.51,45.62245882,0.656032364
"cwnu534","nan",273.763922,26.33663749,-1.696130597,-5.816659481,2.72740955,0.0,0.125,7.239999993,0.18824,7.46,0.17158,0.156558455,0.009393507,0.380985,0.0228591,"nan","nan","nan","nan",8.735672666,10.15831908,9.925527776,0.661701852,215.0,43.0,0.62,126.3389579,0.886958091
"cwwdl14129","nan",229.7752055,-60.92614039,-3.045346324,-4.09296047,1.192148972,-0.749997542,0.125,7.178976947,0.186653401,9.371742806,0.215550085,0.418407439,0.025104446,1.018194503,0.06109167,4.8129059,0.467553445,"nan","nan",5.103918616,7.944021419,10.99615315,0.731017672,635.0,127.0,0.6,54.93599428,0.311491545
"cwwdl14289","nan",91.73912462,-2.032772204,-0.644920737,-0.292254228,1.733189258,-2.0,0.125,7.120573931,0.185134922,11.64729126,0.267887699,1.090503134,0.065430188,2.653739376,0.159224363,3.365117381,0.047571735,7.958365809,0.17640054,2.637466849,2.577692524,7.202110414,0.476404191,229.0,45.0,0.31,8.586651853,0.073813864
"cwwdl14294","nan",105.8283699,-26.39943664,-3.283739648,3.491093521,1.255033011,-0.249999398,0.125,7.530199698,0.195785192,9.31455046,0.214234661,0.141863016,0.008511781,0.345223649,0.020713419,11.69760048,2.413430086,34.636922,18.15790308,9.418248049,10.39457936,11.93850367,0.793117377,1144.0,228.0,0.55,119.768585,0.438293305
"cwwdl14382","nan",124.3495548,-37.93671896,-7.987815036,5.75755159,1.392666441,0.499999815,0.125,7.499687083,0.194991864,9.825517595,0.225986905,0.177129207,0.010627752,0.431043925,0.025862635,6.9151789,0.218728988,19.44840053,1.404989892,6.342449134,7.005230449,6.954304655,0.45495451,214.0,42.0,0.51,34.31678003,0.319058714
"cwwdl14402","nan",299.1349348,26.54699612,-0.999931382,-4.364559653,0.853820495,-0.249999398,0.125,8.130333768,0.211388678,11.3566581,0.261203136,0.871023169,0.05226139,2.119634882,0.127178093,7.555943917,0.347824221,"nan","nan",8.832000773,7.709239498,14.24741493,0.948016166,1308.0,261.0,0.52,56.64277282,0.24799478
"cwwdl14443","nan",288.5290843,14.32134549,2.443314446,1.02678468,1.68303101,-0.249999398,0.125,8.240549248,0.21425428,10.14987723,0.233447176,0.743600453,0.044616027,1.809551703,0.108573102,9.019460747,2.248467273,9.007723588,0.90023262,3.817413223,3.666637999,7.94578582,0.524103658,283.0,56.0,0.35,13.26457758,0.111740926
"cwwdl14542","nan",301.2495918,-10.53333137,1.523016793,-7.840701161,2.279484366,-0.249999398,0.125,9.049218023,0.235279669,8.279766236,0.190434623,0.277558895,0.016653534,0.67543957,0.040526374,3.843014301,0.193438989,18.22531663,2.446017329,3.792024282,2.517516521,8.323339183,0.548142905,157.0,31.0,0.39,11.17056802,0.100345568
"cwwdl14581","nan",12.30572454,50.3817211,7.388946811,-3.0947957,2.213076379,-0.249999398,0.125,7.699837726,0.200195781,8.83050835,0.203101692,0.308150317,0.018489019,0.749883797,0.044993028,8.741469346,1.346437325,17.97940993,3.408491177,5.317797499,6.269745381,7.038713208,0.467171231,226.0,45.0,0.25,44.86059486,0.312384448
"cwwdl14643","nan",268.1057868,-26.97439901,0.897903654,-5.137166099,1.664075932,0.0,0.125,7.920123326,0.205923206,9.243547002,0.212601581,0.32178066,0.01930684,0.783053237,0.046983194,4.608236941,0.425553988,7.533758746,0.640413356,2.699581707,2.762737736,7.460595116,0.497373008,225.0,45.0,0.44,7.920051957,0.077464168
"cwwdl14677","nan",1.356219356,-29.98170815,18.74241724,2.372479351,4.219490073,-0.249999398,0.125,7.720159303,0.200724142,7.364241496,0.169377554,0.255386918,0.015323215,0.621484065,0.037289044,18.04288718,"nan",4.988766053,0.462147812,2.224724179,3.03205843,10.072417,0.668260946,623.0,124.0,0.28,28.99731502,0.098215325
"cwwdl14690","nan",322.629866,48.07745535,-7.412324556,-19.80802227,3.366222664,-0.249999398,0.125,7.540329475,0.196048566,8.643470522,0.198799822,0.40142264,0.024085359,0.976861995,0.05861172,3.386274924,0.054087116,10.96320532,0.483662939,3.739231578,3.498113395,7.261041561,0.482018296,236.0,47.0,0.33,19.27979509,0.129827919
"cwwdl2788","nan",255.9382523,-38.47246357,-3.271003053,-3.795048103,0.54561355,0.499999815,0.125,8.740362689,0.22724943,14.0569812,0.323310568,1.175365923,0.070521955,2.860252973,0.171615178,4.965037239,0.150858663,16.89241963,1.318209553,5.367898553,6.75140336,18.80095612,1.253397075,2860.0,572.0,0.61,26.02298682,0.123661171
"cwwdl5534","nan",202.1027458,-63.93365471,-9.081091268,-4.889851245,2.226281365,-0.249999398,0.125,8.008600172,0.208223604,8.29022533,0.190675183,0.229844493,0.013790669,0.559326573,0.033559594,"nan","nan","nan","nan",8.423476204,28.4871677,6.329436332,0.416221437,147.0,29.0,0.34,339.5431853,3.17407408
"fof1800","nan",337.8090027,58.05577552,-4.554481664,-2.710042997,0.704994106,0.249999244,0.125,8.760422483,0.227770985,11.36240919,0.261335411,0.551729957,0.033103797,1.34263485,0.080558091,5.455288676,0.162090751,18.03560271,0.960997237,4.070160928,5.398993427,11.10633604,0.737934981,893.0,178.0,0.45,19.26132871,0.128709421
"fof2118","nan",282.3092168,-4.478918971,1.108622631,0.058817658,0.620411866,-0.749997542,0.125,9.0,0.234,12.36176398,0.284320572,1.375618078,0.082537085,3.347566592,0.200853996,8.497265211,0.109104004,16.1213477,0.235905853,5.890820467,5.869007242,18.09081041,1.204722842,2718.0,543.0,0.5,22.94289743,0.10502533
"fof2295","nan",333.1051676,53.95470958,-1.775327161,-2.34632164,0.92105349,0.499999815,0.125,8.699837726,0.226195781,10.65870174,0.24515014,0.27057901,0.01623474,0.658454022,0.039507241,7.933332268,0.120009563,"nan","nan",8.518477771,15.62330651,15.02005221,0.999472995,365.0,73.0,0.52,146.5901108,1.383059933
"fof2383","nan",95.3530019,-16.21549692,-5.384303947,5.014373074,2.716568022,0.249999244,0.125,7.519827994,0.195515528,8.193302644,0.188445961,0.173591412,0.010415485,0.422434701,0.025346082,4.067797179,0.075588198,17.25761798,1.259751832,4.666008755,5.036854423,8.813257982,0.586233154,368.0,73.0,0.39,40.01911626,0.215326792
"fof2417","nan",298.3826057,26.43848228,2.33766983,-2.167026197,1.832679189,0.249999244,0.125,7.69019608,0.199945098,9.466476463,0.217728959,0.301171841,0.01807031,0.732901674,0.0439741,12.9294524,0.847625466,12.46736798,0.308911405,5.510913823,5.903493308,6.363954682,0.424263645,150.0,30.0,0.17,33.70169093,0.30677432
"fof2439","nan",103.6810933,-5.956179755,-7.361944383,-2.432520358,3.498238957,0.499999815,0.125,6.820201459,0.177325238,6.985310421,0.16066214,0.450264012,0.027015841,1.095717473,0.065743048,"nan","nan",9.554757793,1.511570335,5.078961929,5.225403747,7.670343721,0.507853808,292.0,58.0,0.14,41.94451432,0.235508994
"fsr0727","nan",79.01263406,45.53894102,-1.603467572,-1.311070566,0.597091347,0.499999815,0.125,8.710117365,0.226463051,13.09783281,0.301250155,0.694107341,0.041646441,1.689110214,0.101346613,9.713986524,0.364308547,29.13194791,2.711385455,10.38234738,4.746502519,11.19084143,0.745469112,752.0,150.0,0.51,14.23340481,0.118537349
"gulliver2","nan",122.9107953,-37.45439946,-4.46675301,4.309828386,0.760742113,-0.249999398,0.125,6.799999969,0.176799999,10.6,0.2438,0.427367988,0.025642079,1.04,0.0624,4.769744928,0.306477327,20.21906859,5.103387224,7.060509203,6.210045255,11.77795577,0.782981067,971.0,194.0,0.42,24.0763267,0.158272283
"gulliver20","nan",273.9662671,11.31383886,1.119853782,-6.351102718,2.34647113,0.0,0.125,8.119999997,0.21112,8.2,0.1886,0.226011917,0.013560715,0.55,0.033,"nan","nan",8.060526489,3.363388113,3.367170418,2.759125753,6.112066461,0.404360631,60.0,12.0,0.32,10.28998089,0.149393091
"gulliver44","nan",127.2489502,-38.09300324,-0.634602191,2.357756161,0.809149414,0.499999815,0.125,8.760422483,0.227770985,11.24694499,0.258679735,0.526287761,0.031577266,1.280721266,0.076843276,3.267316966,0.124149351,17.85777781,2.223731425,3.417447616,3.304214861,9.619259906,0.640160904,605.0,121.0,0.72,7.570870922,0.064936443
"gulliver9","nan",127.2263773,-47.85172578,-5.92257045,6.849546529,1.996243148,-0.249999398,0.125,6.71999995,0.174719999,8.6,0.1978,0.290667762,0.017440066,0.70734,0.0424404,4.79877692,0.250651474,12.98947629,1.461772295,4.334975147,4.98871882,6.95011623,0.456658278,227.0,45.0,0.48,28.44705622,0.2086064
"harvard10","nan",244.7487984,-54.94974957,-2.025272181,-10.63448086,1.458910703,0.0,0.125,8.4,0.2184,9.16,0.21068,0.180809534,0.010848572,0.44,0.0264,5.941153762,0.161336028,20.17923618,1.616820026,5.571206671,6.851005849,10.441242,0.693826454,617.0,123.0,0.32,42.05896743,0.241498843
"harvard13","nan",256.0083442,-48.11577781,-2.902496503,-7.21670535,0.838469268,-0.249999398,0.125,9.409933123,0.244658261,10.54187042,0.24246302,0.607007347,0.036420441,1.47715238,0.088629143,3.023710768,0.032380115,10.39133361,0.334957175,2.981389989,3.552976835,13.1753918,0.877572393,896.0,179.0,0.65,9.534025256,0.069651483
"hsc1856","nan",111.1861425,-20.37726019,-6.407740913,4.698613651,1.897554719,0.499999815,0.125,7.770115295,0.202022998,8.855111639,0.203667568,0.107389854,0.006443391,0.26133321,0.015679993,"nan","nan",23.00837426,18.16851469,12.05573131,13.19770805,7.824592923,0.521639528,315.0,63.0,0.4,130.5199292,0.846790538
"hsc1865","nan",103.6371603,-24.21553127,-2.809333723,3.521989696,1.146319339,-0.249999398,0.125,6.42999987,0.167179997,9.35,0.21505,0.316416684,0.018985001,0.77,0.0462,7.36071331,0.416591904,22.92915201,3.382816336,6.061870085,6.210820479,10.64830981,0.709887321,825.0,165.0,0.51,32.41390313,0.183038957
"hsc2356","nan",159.467886,-59.08243795,-14.47807289,1.048612285,2.234051811,0.249999244,0.125,7.810232518,0.203066045,8.116140684,0.186671236,0.04559027,0.002735416,0.110943923,0.006656635,3.739632003,0.10840912,15.31653301,1.662243679,3.950881569,5.887242318,11.29114767,0.752743178,812.0,162.0,0.36,57.31747032,0.219648067
"hxhwl34","nan",207.276058,-60.76686904,-7.241332388,-2.324301213,0.767547668,0.499999815,0.125,7.800029359,0.202800763,11.99857172,0.27596715,0.504573018,0.030274381,1.227878439,0.073672706,"nan","nan",11.31209855,3.328970701,4.972159672,4.105212046,10.32923364,0.684946221,210.0,40.0,0.34,17.83382526,0.17416701
"ic2395","nan",130.4730006,-48.02471403,-4.51121166,3.429105567,1.410919094,-0.249999398,0.125,7.330413773,0.190590758,9.139969,0.210219287,0.314241022,0.018854461,0.764705527,0.045882332,3.841895986,0.818681048,11.98331917,6.723139854,4.831162654,5.462741521,10.83718482,0.721559804,786.0,157.0,0.63,41.14733472,0.180233547
"ic348","nan",56.14079673,32.16511072,4.447489792,-6.345049269,3.148007922,-0.249999398,0.125,6.969881644,0.181216923,6.487640048,0.149215721,0.18292974,0.010975784,0.445159521,0.026709571,0.791164624,0.015442272,1.810538739,0.052662777,0.644007985,0.909702188,7.400271919,0.491496756,220.0,44.0,0.55,1.967324902,0.016679695
"king1","nan",5.522876923,64.38080139,-4.93685456,-1.302377866,0.548929842,0.0,0.125,9.419955748,0.244918849,12.37503429,0.284625789,1.058997116,0.063539827,2.577069481,0.154624169,5.039307132,0.107567706,9.695235874,0.239416618,3.50513484,5.778646769,19.29378546,1.286006943,4943.0,988.0,0.65,11.98500687,0.068014863
"king6","nan",51.98026509,56.44762273,3.827203615,-1.899005248,1.382005105,0.249999244,0.125,8.269999998,0.21502,9.48,0.21804,0.560221903,0.033613314,1.3633,0.081798,2.231256551,0.043493937,6.639270104,0.278041882,2.081416168,2.650134411,9.814387192,0.65133188,663.0,132.0,0.23,8.373133637,0.052913374
