"Cluster","Age","Mc","Mdotc","Lwc","k","Mmin*","Mmax*","_RA","_DE"
"UBC_455",13.2,158.9,3.7e-09,7.6e+33,2289.9,2.02,5.32,115.386,-17.584
"UBC_464",14.1,456.5,2.1e-08,4.5e+34,6422.5,2.34,9.44,113.533,-28.127
"UBC_468",11.0,462.3,3.7e-08,8.5e+34,6381.1,2.33,7.06,116.591,-30.762
"UBC_479",20.4,247.7,5.2e-09,1e+34,3583.6,1.44,2.8,124.338,-42.582
"UBC_482",26.9,498.6,6.1e-09,1.0999999999999999e+34,7368.5,1.38,5.12,131.14,-45.951
"UBC_487",26.3,205.2,2.6e-09,4.9e+33,3026.8,1.66,13.36,139.691,-51.6
"UBC_489",10.5,622.7,5.5e-08,1.2999999999999998e+35,8566.5,1.6,5.9,141.158,-53.069
"UBC_504",11.2,294.1,2.2e-08,5.099999999999999e+34,4066.2,1.54,3.74,159.738,-61.099
"UBC_51",10.0,193.2,6.9e-09,1.4999999999999999e+34,2740.9,1.36,3.1,59.66772,52.55934
"UBC_510",15.5,252.1,9.4e-09,2e+34,3571.6,1.72,3.92,163.234,-62.747
"UBC_515",8.1,284.2,2e-08,4.7e+34,3935.3,1.81,3.62,179.311,-62.968
"UBC_517",22.4,413.5,7.3e-09,1.3999999999999998e+34,6023.8,1.56,3.13,182.482,-63.791
"UBC_522",15.1,512.2,2e-08,4.3e+34,7243.7,1.93,5.36,190.822,-61.627
"UBC_525",11.7,413.8,2.8e-08,6.4e+34,5742.0,1.72,7.54,196.023,-63.941
"UBC_526",18.2,143.8,2.7e-09,5.4e+33,2088.5,1.95,5.64,199.664,-62.523
"UBC_535",17.8,305.0,8.5e-09,1.8e+34,4366.0,1.82,3.8,237.584,-56.758
"UBC_541",21.9,860.1,1.6e-08,3.1e+34,12509.4,2.91,4.96,243.015,-50.188
"UBC_547",15.1,1897.3,7.4e-08,1.6e+35,26830.2,2.47,6.61,251.64,-47.103
"UBC_552",11.2,515.2,3.9e-08,8.899999999999999e+34,7124.2,2.68,7.02,254.724,-42.06
"UBC_553",13.2,255.8,1.3e-08,2.9999999999999997e+34,3579.9,1.84,6.77,253.51,-41.271
"UBC_558",7.2,2244.1,4.8e-07,1.2999999999999999e+36,30041.9,2.56,5.45,259.353,-40.276
"UBC_559",11.5,1460.6,1e-07,2.3999999999999998e+35,20231.6,2.58,9.08,259.123,-39.699
"UBC_562",11.7,815.5,5.5e-08,1.2999999999999998e+35,11315.5,2.71,6.35,262.776,-37.891
"UBC_564",25.7,702.7,9.4e-09,1.8e+34,10347.3,2.82,9.88,263.999,-34.645
"UBC_565",9.1,1223.7,1.5e-07,3.6e+35,16662.4,2.83,5.93,264.004,-33.908
"UBC_568",5.6,766.9,3.2e-07,9e+35,10078.7,3.32,12.28,262.951,-31.915
"UBC_578",21.9,272.9,5e-09,9.900000000000001e+33,3969.7,2.63,4.2,301.607,33.015
"UBC_584",14.1,144.9,2.8e-09,5.6e+33,2103.0,1.97,3.89,304.213,41.983
"UBC_587",14.5,604.3,2.6e-08,5.599999999999999e+34,8516.5,3.13,6.07,311.587,43.69
"UBC_590",11.7,259.7,1.6e-08,3.6e+34,3616.6,2.54,4.66,313.824,47.579
"UBC_604",15.5,393.0,1.5e-08,3.1e+34,5567.0,2.52,5.27,32.546,65.42
"UBC_608",20.4,701.9,1.5e-08,2.9999999999999997e+34,10154.4,2.48,6.44,61.358,55.926
"UBC_609",5.6,2886.6,1.2e-06,3.4e+36,37933.3,2.17,7.89,65.262,53.069
"UBC_612",16.2,152.7,3.3e-09,6.600000000000001e+33,2207.1,2.48,12.64,79.833,40.14
"UBC_633",13.8,227.9,1.1e-08,2.4e+34,3199.9,3.36,8.04,112.824,-15.429
"UBC_646",22.9,165.9,2.8e-09,5.4e+33,2420.9,2.13,12.59,124.111,-34.057
"UBC_652",10.0,123.0,1.7e-09,3.2e+33,1808.6,1.79,5.62,162.381,-54.711
"UBC_654",8.9,1458.8,1.9e-07,4.6e+35,19830.0,2.63,4.65,159.284,-59.875
"UBC_659",27.5,209.6,2.4e-09,4.6e+33,3103.7,1.96,4.13,167.285,-60.687
"UBC_672",10.5,287.7,2.1e-08,4.899999999999999e+34,3981.0,2.0,2.53,253.128,-41.525
"UBC_80",29.5,219.4,2.2e-09,4.1e+33,3265.2,1.42,2.65,91.63796,8.74982
"UBC_9",26.3,33.5,1.8e-11,1.3e+31,560.5,0.71,3.77,276.544,26.432
"UPK_126",13.5,55.4,1.1e-10,1.5e+32,877.5,1.47,2.65,311.768,43.816
"UPK_150",25.7,353.8,4.7e-09,9e+33,5209.9,1.54,3.72,319.457,54.513
"UPK_166",26.9,434.2,5.3e-09,9.900000000000001e+33,6416.4,0.89,4.57,339.203,46.927
"UPK_169",13.8,255.1,1.2e-08,2.7e+34,3582.2,1.53,7.93,326.718,59.915
"UPK_201",15.8,130.8,2e-09,3.9e+33,1914.0,1.73,4.31,344.732,61.648
"UPK_38",14.5,57.7,1.3e-10,1.8e+32,910.3,1.4,6.49,280.829,-1.654
"UPK_385",11.7,19.8,2.7e-12,1e+30,354.3,0.36,2.0,75.647,13.02
"UPK_398",10.7,56.8,1.2e-10,1.7e+32,897.5,1.03,1.96,85.994,7.021
"UPK_402",7.2,27.9,9.3e-12,5.499999999999999e+30,478.2,1.08,1.81,87.515,2.822
"UPK_422",19.5,94.7,7.4e-10,1.3000000000000002e+33,1424.8,0.39,5.45,88.007,-7.543
"UPK_436",25.7,337.2,4.5e-09,8.500000000000001e+33,4965.4,1.29,2.97,100.18,-8.126
"UPK_445",12.9,116.6,1.4e-09,2.7e+33,1722.2,1.1,3.2,92.385,-15.03
"UPK_599",19.5,151.9,3.2e-09,6.5e+33,2197.3,0.71,3.68,205.84,-38.576
"UPK_607",15.5,118.0,1.5e-09,2.8e+33,1741.3,1.13,2.66,225.058,-57.148
"UPK_621",26.3,149.9,1.9e-09,3.6e+33,2211.6,0.87,2.92,237.093,-54.403
"UPK_640",25.1,413.5,5.8e-09,1.0999999999999999e+34,6078.2,0.35,3.62,250.26,-39.494
"Waterloo_1",16.6,633.6,2e-08,4.3e+34,9023.4,2.4,6.29,64.682,52.863
"Westerlund_1",7.9,22227.1,0.0003,3.0999999999999998e+38,299575.2,5.51,6.67,251.76,-45.852
"Westerlund_2",4.0,2172.3,2.6e-05,1.8e+37,27841.0,3.26,9.19,155.99208,-57.76361
"VDB_80,vdBergh_80",6.5,128.9,2e-09,3.8e+33,1887.3,1.35,5.61,97.739,-9.625
"VDB_85,vdBergh_85",4.4,127.0,1.9e-09,3.6e+33,1861.6,1.72,3.72,101.718,1.32
"VDB_92,vdBergh_92",7.8,363.3,4.1e-08,9.9e+34,4959.4,1.22,6.56,106.038,-11.475
