"Cluster","Age","Mc","Mdotc","Lwc","k","Mmin*","Mmax*","_RA","_DE"
"Koposov_53",16.2,485.1,1.6e-08,3.5e+34,6895.8,2.25,4.96,92.23417,26.26361
"Kronberger_1",6.0,321.2,2.9e-08,6.8e+34,4415.6,2.11,6.07,82.0875,34.775
"LDN_988e",4.7,14.8,1e-12,2.8e+29,276.7,1.7,2.97,316.027,50.245
"FoF_403, LP_403",26.3,978.4,1.3e-08,2.4e+34,14433.7,1.64,4.73,161.024,-58.095
"L_1641S",4.2,118.4,1.5e-09,2.9e+33,1746.1,1.93,3.24,85.675,-8.133
"Lynga_6",3.1,454.1,7.7e-08,1.9e+35,6122.4,2.62,5.65,241.218,-51.96
"Mamajek_1",9.8,26.9,8e-12,4.4999999999999994e+30,462.4,1.09,2.68,130.637,-78.963
"Markarian_38",15.8,66.3,2.1e-10,3.2e+32,1031.2,1.42,3.22,273.819,-18.997
"Markarian_50",11.5,307.3,1.2e-05,9.2e+36,4256.0,1.66,5.59,348.806,60.448
"Mayer_1",28.8,230.3,2.4e-09,4.5e+33,3422.2,1.63,5.62,5.475,61.75889
"Muzzio_1",7.8,265.2,1.7e-08,3.7999999999999997e+34,3688.3,2.26,6.55,134.478,-47.761
"NGC_1444",9.8,132.3,2.1e-09,4.1e+33,1934.0,1.86,5.55,57.361,52.658
"NGC_1502",10.5,887.9,7.8e-08,1.8e+35,12214.5,1.7,6.12,61.954,62.332
"NGC_1579",3.8,234.9,1.2e-08,2.7e+34,3289.7,2.24,2.79,67.514,35.325
"NGC_1624",4.5,312.4,2.7e-08,6.3e+34,4300.8,3.05,3.98,70.15,50.46167
"NGC_1893",4.4,1205.1,9.6e-07,2.9e+36,15548.1,2.14,8.23,80.724,33.444
"NGC_1960",28.2,886.1,9.9e-09,1.8e+34,13142.7,1.18,5.9,84.084,34.135
"NGC_1980",13.2,130.4,2e-09,3.9e+33,1908.9,0.95,2.85,83.81,-5.924
"NGC_2129",16.6,466.7,1.5e-08,3.2e+34,6646.3,1.63,12.97,90.275,23.328
"NGC_2169",12.3,198.9,7.5e-09,1.6e+34,2815.6,1.2,4.77,92.125,13.951
"NGC_2183",17.4,72.9,3e-10,4.8e+32,1123.2,1.0,2.91,92.717,-6.213
"NGC_2232",17.8,179.0,5e-09,1e+34,2561.8,0.4,4.59,96.888,-4.749
"NGC_2244",12.6,2096.9,1.2e-07,2.7e+35,29244.9,1.45,8.62,98.045,4.914
