"Theia","N*","OName","logAge","Av","String","Width","Height","Length","GLON","GLAT","plx","pmGLON","pmGLAT","RV","X","Y","Z","U","V","W","_RA.icrs","_DE.icrs","dist"
"Theia_759",73,"nan",8.57266,0.278263,"nan",7.40576,6.92284,"nan",233.857,-0.541931,1.343,-7.91389,-8.86302,10.1869,-439.277,-601.453,-7.04479,-12.6731,-3.53694,-9.27143,112.247799,-18.7933085,744.82
"Theia_766",91,"nan",8.50356,0.447506,"nan",17.5458,23.3525,"nan",353.951,-7.25182,1.274,-3.66902,-1.23534,-14.2234,774.267,-82.0533,-99.0759,-14.8926,-2.11261,0.600154,270.2712179,-37.80224311,784.88
"Theia_771",73,"nan",8.59813,0.672131,"nan",33.2775,5.66421,"nan",305.476,3.0691,1.249,-44.5465,4.84189,-6.28296,464.051,-651.156,42.8719,-41.758,-21.5484,4.69558,197.9000496,-59.70301644,800.74
"Theia_773",97,"nan",8.55718,0.699909,"nan",15.9974,9.47822,"nan",258.214,-3.46705,1.246,-20.7084,15.8229,9.8006,-163.632,-784.235,-48.5364,-23.1257,-6.39991,15.6331,123.8594236,-41.21033605,802.59
"Theia_775",91,"nan",8.5517,0.895375,"nan",15.2853,7.66655,"nan",115.069,0.472726,1.23,-9.82347,9.16812,-8.08623,-344.443,736.339,6.70723,12.6287,-3.30716,9.27749,355.747415,62.29495574,812.95
"Theia_776",76,"nan",8.51684,0.500149,"nan",21.0464,9.45118,"nan",101.208,-7.46733,1.225,-33.7003,1.36946,-1.33603,-157.36,794.12,-106.111,33.8805,5.5166,1.55496,338.4438598,49.50896851,816.49
"Theia_780",97,"nan",8.55237,0.560982,"nan",16.153,7.79714,"nan",175.809,-2.61429,1.126,1.58938,-6.33337,-11.9857,-884.485,64.8104,-40.4935,12.3924,-2.56444,-6.05035,81.2504859,31.04922963,887.78
"Theia_782",45,"nan",8.57897,0.601636,"nan",9.06909,9.1879,"nan",303.762,-7.00969,1.101,-32.5455,-10.9983,-8.44432,501.199,-749.758,-110.888,-33.5594,-10.4535,-10.2388,195.2535776,-69.86600273,908.64
"Theia_792",212,"nan",8.6178,0.149086,"y",18.6291,6.55131,140.644,191.903,5.31661,4.733,2.76701,5.85796,15.9487,-200.397,-33.8102,20.8388,-9.68953,-6.68821,6.33068,97.9118127,21.11491727,204.29
"Theia_807",161,"nan",8.67648,0.0855656,"nan",10.2179,13.6237,"nan",223.309,-20.747,3.303,-6.86705,-9.58225,2.48785,-206.021,-194.203,-107.249,-3.93397,5.97279,-10.4407,88.326122,-18.1462074,302.76
"Theia_817",143,"nan",8.69202,0.201843,"nan",7.40414,12.0054,"nan",52.0037,17.1163,2.605,-0.276044,6.01918,-9.93088,225.838,289.097,112.973,-6.96729,-9.24007,3.06504,275.3205514,24.33854657,383.85
"Theia_818",88,"nan",8.64233,0.680309,"y",21.466,6.06971,105.323,187.549,-17.1046,2.578,1.83503,7.14869,-0.480905,-375.295,-42.3207,-116.411,-2.20461,-1.76724,7.13703,75.4081106,13.32771974,395.21
"Theia_822",699,"nan",8.60645,0.193825,"y",31.6348,11.3673,425.905,91.7297,-1.62638,2.306,-36.9793,-3.80022,0.429935,-16.2819,360.14,-11.3892,39.7134,4.94257,-5.05546,321.5762086,48.4172379,360.69
"Theia_824",66,"nan",8.67075,0.443064,"nan",22.349,6.74127,"nan",102.532,-14.2571,2.223,-4.05624,-3.32325,-1.16125,-94.5923,425.566,-110.775,4.46235,-1.06169,-3.06685,344.785579,44.12143848,449.81
"Theia_828",118,"nan",8.62085,0.619385,"nan",15.9229,11.5364,"nan",11.8693,-4.07052,2.128,-12.6818,-6.25601,-12.9927,458.723,96.4113,-33.3577,-10.9492,-14.6286,-5.6595,276.7102427,-20.57369654,469.93
"Theia_833",129,"nan",8.63396,0.294727,"nan",17.6101,10.4933,"nan",74.5959,6.72081,2.092,12.77,1.91021,-3.10366,126.097,457.665,55.9414,-14.1862,0.382494,1.72615,297.7212695,39.86106291,478.0
"Theia_834",50,"nan",8.64336,0.151321,"nan",11.5256,10.4933,"nan",183.788,7.44043,2.073,-9.04097,-8.47578,-14.2675,-477.345,-31.6071,62.4754,12.7086,10.095,-10.4702,95.9500712,29.26350993,482.45
"Theia_836",197,"nan",8.62,0.897999,"nan",10.7056,6.92794,"nan",52.8053,2.89269,1.917,-20.2343,-4.41643,-2.77957,314.978,415.048,26.3278,14.7432,-14.4694,-4.60594,289.5330564,18.97592861,521.7
"Theia_844",85,"nan",8.63981,0.700909,"nan",9.81317,8.53429,"nan",82.1967,0.201341,1.592,-27.5394,-12.8579,24.1503,85.2667,622.192,2.20686,30.5926,20.7822,-12.7958,310.5445251,42.52966553,628.01
"Theia_850",176,"nan",8.642,1.188,"nan",14.3113,8.57947,"nan",127.914,4.95675,1.526,-32.2877,3.28868,-11.0679,-401.083,514.954,56.6093,33.6118,11.5146,2.39735,25.8291519,67.32531779,655.17
"Theia_856",106,"nan",8.60944,0.518497,"nan",24.0843,9.48208,"nan",171.36,5.71077,1.462,-6.79251,4.66174,-14.2612,-672.82,102.231,68.0563,15.9405,5.05546,3.42631,86.9267383,39.27199921,683.94
"Theia_862",158,"nan",8.62277,0.749702,"nan",25.9424,5.51013,"nan",137.099,-3.71632,1.387,-10.7201,-3.81993,-20.0082,-527.097,489.821,-46.7372,22.5768,-6.07136,-2.55441,38.9447446,56.25831651,721.07
"Theia_863",49,"nan",8.64176,1.09468,"nan",6.39167,4.7132,"nan",138.086,-2.99316,1.386,-12.1499,-10.307,-33.0465,-536.21,481.346,-37.677,33.7931,-13.6968,-8.68842,41.1023617,56.51787743,721.55
"Theia_865",53,"nan",8.60071,0.637829,"nan",17.9009,6.56155,"nan",310.9,-5.46698,1.347,-27.3033,-10.9776,-20.1838,483.739,-558.434,-70.7104,-35.5613,-2.1853,-9.35929,213.5826391,-67.04756874,742.19
"Theia_872",124,"nan",8.61799,1.266,"nan",17.0903,5.72523,"nan",124.553,1.50492,1.316,-21.4232,8.35996,-30.5028,-430.869,625.677,19.9584,36.0598,-13.3069,7.83435,16.6025094,64.32953287,759.95
"Theia_873",77,"nan",8.60773,1.02104,"nan",8.84668,7.85433,"nan",102.928,3.10767,1.305,-10.587,-5.93633,"nan",-171.155,745.619,41.5341,10.7337,2.81311,-6.26876,330.8768133,59.29240516,766.14
"Theia_874",218,"NGC_1912",8.64529,0.613267,"y",38.6374,11.2679,142.209,176.914,3.29401,1.298,9.11264,3.60076,-15.0639,-763.609,46.012,43.1981,15.2531,-9.87815,2.58245,87.8471435,33.2767098,766.21
"Theia_882",70,"nan",8.66767,0.662972,"nan",14.6858,6.94545,"nan",295.938,-7.45353,1.263,-15.8205,2.57083,4.12378,343.467,-706.145,-102.732,-12.6623,-11.1912,2.07968,172.9478444,-69.23667791,791.94
"Theia_888",70,"nan",8.68378,0.55667,"nan",18.9323,14.0643,"nan",112.885,-6.06533,1.225,-45.1299,5.15813,-24.7971,-315.658,747.827,-86.2509,53.6004,-4.12267,8.09711,355.0655162,55.41189958,816.29
"Theia_896",124,"nan",8.698,1.209,"nan",4.45515,6.56987,"nan",44.3829,-2.50887,1.154,-10.1848,-1.4492,13.8692,618.479,605.298,-37.9181,17.3472,2.44213,-2.09214,290.3876396,9.00724025,866.22
"Theia_900",58,"nan",8.62265,1.37115,"nan",11.2451,6.32565,"nan",135.395,-1.57297,1.127,2.38414,1.04359,-7.80755,-631.349,622.696,-24.351,3.9538,-7.3164,1.27746,37.5375989,58.8893988,887.1
"Theia_903",96,"nan",8.68915,0.666275,"nan",40.6071,7.57019,"nan",312.202,3.43383,1.113,-0.17395,-5.64816,8.76541,602.7,-664.631,53.8356,6.04017,-7.07797,-5.33747,210.6031784,-58.15475661,898.82
"Theia_925",46,"nan",8.76642,0.347675,"nan",20.9072,4.73803,"nan",178.757,10.2042,2.452,-10.3788,2.01981,-22.2631,-401.223,8.70602,72.2388,22.9916,9.90319,-2.01595,96.2451738,34.94559733,407.77
"Theia_933",571,"nan",8.76644,0.511047,"nan",28.862,18.8687,"nan",161.561,-0.962677,2.247,17.1704,1.41887,-0.124205,-422.086,140.726,-7.47632,-5.53538,-16.9134,1.70753,72.1253587,43.43275935,444.99
"Theia_953",128,"nan",8.79118,0.321874,"y",38.1472,9.46083,385.247,277.252,-6.04294,1.667,-6.32278,6.51721,7.1104,56.7891,-629.774,-68.0862,-6.27119,-14.3592,5.5914,139.0224898,-57.73941357,635.98
"Theia_954",748,"NGC_5043",8.71815,0.693388,"nan",35.0097,32.5682,"nan",303.181,0.336248,1.662,-37.2817,-2.58643,-11.2807,329.251,-503.504,3.53061,-38.4491,-11.3788,-2.96095,193.3995337,-62.53445599,601.61
"Theia_962",272,"nan",8.74501,0.931,"nan",26.0864,11.8283,"nan",126.292,6.80822,1.475,-37.9682,9.45768,-23.7607,-398.489,542.633,80.3763,46.0728,2.48804,6.64071,22.3941996,69.43077746,678.02
"Theia_974",74,"nan",8.715,1.289,"nan",6.20446,4.32689,"nan",119.365,2.302,1.342,-18.6657,10.044,-7.00842,-365.085,648.843,29.9284,20.584,2.88478,10.1129,4.4201815,64.93970218,745.1
"Theia_978",113,"nan",8.7633,1.33329,"nan",20.9423,6.83193,"nan",56.9511,3.90491,1.319,-11.2442,9.39176,25.888,412.496,634.002,51.63,23.9448,15.1252,11.728,290.6430617,23.10857547,758.14
"Theia_980",163,"Loden_615",8.70593,0.799255,"nan",15.4535,8.64468,"nan",300.543,-2.41552,1.317,-7.04919,-5.032,9.12832,385.657,-653.586,-32.0126,-1.86148,-11.6658,-5.75103,187.1654488,-65.18157047,759.56
"Theia_984",46,"nan",8.70679,1.53356,"nan",9.66438,15.7693,"nan",19.1846,-1.1463,1.311,12.3207,4.74807,-0.445445,720.279,250.611,-15.2599,-4.55593,12.0038,4.86409,277.5336117,-12.74292207,762.78
"Theia_986",41,"nan",8.7743,0.529816,"nan",25.2685,12.574,"nan",259.238,-4.09988,1.303,-42.7835,7.11747,25.9922,-142.941,-752.061,-54.8719,-47.8418,-18.4257,5.36627,123.911946,-42.41156082,767.49
"Theia_990",94,"nan",8.721,1.105,"nan",19.7811,7.9982,"nan",98.8995,3.48942,1.252,-15.7811,-3.09743,-28.8516,-123.375,787.898,48.6294,20.9196,-26.3336,-5.05411,324.5075402,57.04370376,798.98
"Theia_1001",59,"nan",8.76889,1.41533,"nan",5.6574,3.84815,"nan",108.549,-0.311972,1.127,-5.78806,3.53922,-7.68032,-282.275,841.257,-4.83162,8.06079,-5.55946,3.64059,343.7730752,59.27145864,887.36
"Theia_1023",94,"nan",8.89215,0.300297,"nan",12.4421,4.17323,"nan",351.28,-6.87129,2.149,6.99059,-6.30595,-15.6825,456.674,-70.0479,-55.675,-15.417,9.64739,-4.54035,268.1754612,-39.9257561,465.36
"Theia_1024",164,"nan",8.80746,0.20715,"y",33.8022,8.24533,374.427,259.707,4.85712,2.096,-8.54351,6.29611,10.8415,-92.3572,-469.896,40.2899,-13.5302,-17.4492,8.53011,133.6365847,-37.41406416,480.58
"Theia_1038",114,"nan",8.82697,0.910904,"nan",15.5988,12.8997,"nan",5.66877,0.136027,1.737,-3.43278,-3.30492,-28.5376,572.854,56.8631,1.36671,-28.6937,-6.31355,-3.46134,269.507046,-23.99144118,575.67
"Theia_1040",66,"nan",8.84259,0.669811,"nan",15.1462,6.98492,"nan",150.42,6.182,1.666,-7.12031,-7.48099,-14.8739,-518.825,294.498,64.6197,15.9936,-0.796186,-9.21566,69.1353779,56.51465011,600.07
"Theia_1062",46,"nan",8.89099,0.445707,"nan",11.7152,10.4512,"nan",269.815,-2.03119,1.374,-23.6535,-3.3036,"nan",-2.34984,-727.221,-25.7916,-24.1399,0.196466,-3.3402,135.5296509,-49.5621016,727.68
"Theia_1075",50,"nan",8.83432,0.348685,"nan",13.8594,7.91196,"nan",281.591,0.868522,1.291,8.66206,-6.00313,-1.97882,155.602,-758.64,11.7402,8.40882,3.69443,-6.2264,153.1511364,-55.28107473,774.52
"Theia_1079",128,"nan",8.85901,0.492,"nan",16.9293,8.9944,"nan",258.858,-3.16687,1.248,-34.6714,13.3283,31.9914,-154.589,-784.926,-44.2632,-42.1747,-25.7788,12.2048,124.6695667,-41.5765202,801.23
"Theia_1082",52,"nan",8.89026,0.743338,"nan",12.3193,15.5532,"nan",303.595,4.86517,1.175,-40.948,-12.9365,2.18602,469.311,-706.5,72.1946,-34.3465,-26.8886,-13.4999,194.1063372,-58.00015742,851.24
"Theia_1083",180,"UBC_56",8.80261,1.40207,"nan",8.62583,5.20371,"nan",157.237,0.555462,1.167,1.10802,0.178523,-9.59533,-790.446,331.669,8.3106,8.62194,-4.81663,0.0558935,69.7145236,47.69387363,857.25
"Theia_1086",53,"nan",8.88776,1.37044,"nan",23.8587,5.42751,"nan",150.029,5.22865,1.126,4.95522,9.79469,"nan",-765.89,441.669,80.9066,-1.71813,-4.80251,9.9525,67.3941346,56.15596601,887.81
"Theia_1117",189,"nan",8.92066,0.241989,"nan",22.2823,11.4752,"nan",88.1227,-1.30019,1.985,-29.7143,-6.35681,2.94035,16.5023,503.48,-11.4334,31.2718,1.83191,-6.7183,317.5130634,46.07071208,503.88
"Theia_1140",40,"nan",8.97833,1.17273,"nan",7.72364,9.3482,"nan",36.7399,3.88319,1.478,8.51432,-2.99531,-19.9151,540.958,403.804,45.8214,-21.2228,-5.19133,-4.44021,281.1299929,5.15505786,676.6
"Theia_1147",112,"nan",8.95142,0.208406,"nan",13.1278,7.59583,"nan",239.975,-3.65451,1.429,2.56676,-7.33977,-6.96429,-349.367,-604.515,-44.5945,6.12007,5.23012,-7.10502,112.4488257,-25.65071679,699.63
"Theia_1156",166,"nan",8.97099,0.512001,"nan",14.6963,15.0867,"nan",333.097,7.37617,1.369,-4.65758,-6.95267,-6.1381,646.221,-327.896,93.8091,-6.89777,-1.85325,-7.8569,237.4657101,-44.79390448,730.7
"Theia_1170",44,"nan",8.94592,0.523562,"nan",17.6931,11.6426,"nan",276.238,-4.69572,1.257,-42.7059,4.94631,18.4036,86.1213,-787.927,-65.1056,-43.1378,-24.0158,3.67578,139.5135256,-56.07739314,795.29
"Theia_1179",56,"nan",8.99069,0.487246,"nan",9.517,7.67052,"nan",260.808,-3.09228,1.133,0.545583,6.71957,"nan",-140.725,-869.66,-47.5927,0.52436,-0.470084,7.03937,126.2499856,-43.13636691,882.26
"Theia_1188",89,"nan",9.04077,0.125965,"nan",10.4448,7.68586,"nan",90.6905,-23.3983,3.097,-24.9244,12.0726,13.438,-3.57145,296.351,-128.241,26.1444,17.998,6.25689,338.1706583,30.64892083,322.93
"Theia_1203",65,"nan",9.0791,0.243489,"nan",13.476,6.15279,"nan",338.585,-22.209,2.459,-28.0394,-14.9245,-16.685,350.568,-137.492,-153.743,-30.5749,-18.8752,-7.69427,282.1562701,-57.33856376,406.74
"Theia_1224",99,"nan",9.01221,0.55944,"nan",14.4428,7.07503,"nan",317.767,4.96824,1.939,-23.4626,2.34177,-24.2893,380.512,-345.431,44.675,-34.6019,-0.989592,0.235307,219.1551643,-54.84523841,515.86
"Theia_1232",376,"nan",9.09596,0.621001,"y",69.1421,18.783,501.784,112.784,-0.918661,1.754,14.8594,-1.92921,-4.7554,-214.668,531.974,-10.4065,-13.1609,-10.1466,-2.03581,352.0306523,60.30119811,573.75
"Theia_1256",44,"nan",9.00678,0.139968,"nan",25.3417,9.35938,"nan",229.633,-13.7585,1.347,-0.0139054,-7.18418,14.0249,-467.148,-549.544,-176.606,-7.87629,-9.22154,-10.7798,97.6766585,-20.90818673,742.57
"Theia_1297",101,"nan",9.18775,0.125291,"nan",19.4862,8.91111,"nan",105.026,9.98833,1.835,-7.68469,8.47434,0.421954,-139.15,518.385,94.5283,8.07927,1.00651,8.86134,324.8925516,65.94191361,545.0
"Theia_1306",51,"nan",9.10995,0.974595,"nan",8.13279,6.89376,"nan",339.812,4.85603,1.577,-0.127293,7.69601,-9.58064,592.946,-218.022,53.6724,-9.80534,3.49306,6.76917,246.5904326,-42.12421605,634.03
"Theia_1315",130,"nan",9.10377,0.328527,"y",27.8832,34.7884,319.393,286.894,-9.45736,1.516,-58.9224,2.01945,4.15035,180.683,-610.027,-107.64,-53.6344,-27.7372,-0.958767,149.2465228,-66.72914489,645.26
"Theia_1362",126,"nan",9.2478,0.142979,"y",28.7312,6.15951,136.055,166.516,-5.23025,2.834,2.06972,-0.385643,-0.163313,-353.381,87.843,-35.3008,-4.33257,-0.89925,-0.941235,72.0109888,36.90026454,365.84
"Theia_1366",40,"nan",9.2,0.25,"nan",14.1132,7.69658,"nan",311.936,-1.03916,2.584,16.2365,-12.9428,-1.04405,258.623,-287.873,-7.01938,11.584,12.1674,-13.322,212.6799741,-62.51677355,387.05
"Theia_1408",124,"NGC_2184",9.24377,0.255098,"nan",4.81018,4.46607,"nan",209.61,-10.8892,1.685,-5.35743,2.2691,27.3611,-506.59,-287.9,-112.093,-27.0587,-8.91957,-2.92586,91.6616628,-2.03428091,593.37
"Theia_1424",45,"nan",9.29894,0.479349,"nan",16.9748,10.0522,"nan",170.117,1.66364,1.473,21.8427,1.96914,-10.7812,-668.547,116.482,19.7099,7.03747,-24.1606,1.70843,81.6916733,38.15913834,678.9
"Theia_1432",212,"nan",9.25039,0.36071,"nan",27.4059,8.3603,"nan",137.272,-6.32104,1.423,-19.4788,10.6853,21.0057,-513.043,473.882,-77.3649,-3.02098,29.9767,8.53204,37.483963,53.7857052,702.68
"Theia_1450",115,"nan",9.24548,1.08604,"nan",15.1971,10.6809,"nan",88.9493,2.22808,1.375,12.5474,-1.88954,-24.6281,13.3241,726.464,28.2692,-13.2836,-24.8533,-2.9122,314.4308641,49.03883625,727.14
"Theia_1474",63,"nan",9.245,1.124,"nan",13.4614,6.3415,"nan",105.394,2.01064,1.082,-32.628,4.23228,-21.6672,-245.235,890.689,32.4327,39.348,-12.302,3.79493,336.1098243,59.77954632,924.4
"Theia_1528",32,"nan",9.41694,0.147611,"y",14.8304,2.6288,87.7443,111.802,16.1557,3.82,5.36408,3.19673,-15.6613,-91.8702,228.72,71.5006,0.631903,-16.1701,-1.31497,327.3434603,74.93699224,256.64
