"Theia","N*","OName","logAge","Av","String","Width","Height","Length","GLON","GLAT","plx","pmGLON","pmGLAT","RV","X","Y","Z","U","V","W","_RA.icrs","_DE.icrs","dist"
"Theia_332",108,"nan",8.04486,0.368968,"nan",12.74,14.9622,"nan",69.1026,2.30444,1.529,3.94527,-1.60293,1.19725,233.06,610.407,26.2934,-3.27926,2.63379,-1.62633,298.9790868,32.89999681,653.92
"Theia_333",57,"nan",8.07632,1.26924,"nan",9.52802,5.97367,"nan",60.8342,3.71891,1.498,-16.893,-4.13671,15.4421,324.653,581.713,43.3004,23.6534,5.17668,-3.41081,292.8411264,26.43499277,667.58
"Theia_339",221,"nan",8.05701,0.487999,"y",24.1588,11.7734,247.704,311.045,-2.61688,1.436,-2.14401,-0.412934,-1.78707,478.214,-560.991,-30.2619,-3.2836,-0.230904,-0.0958619,211.821692,-64.28728462,737.78
"Theia_345",557,"nan",8.00831,0.574993,"nan",25.3915,26.9275,"nan",185.891,-4.82915,1.384,3.97364,-2.74994,-3.52907,-716.213,-73.8974,-60.8302,4.22511,-3.68957,-2.39238,85.2622979,21.39460564,722.58
"Theia_354",716,"NGC_6178",8.02833,0.778709,"y",44.5253,16.9779,269.573,340.761,-2.2082,1.262,3.80827,1.44368,-3.13099,730.595,-239.048,-48.5102,1.44754,1.93601,2.94621,254.8786491,-46.05439826,770.24
"Theia_358",245,"nan",8.03686,0.63495,"y",63.4399,9.49031,245.927,305.476,-6.84618,1.15,-2.75485,-3.97014,-4.82106,492.826,-717.333,-104.948,-6.02029,2.49809,-3.56632,200.1143398,-69.5744575,876.62
"Theia_361",81,"nan",8.021,0.267,"nan",3.61143,3.82866,"nan",221.373,0.62915,1.14,0.84372,1.85183,-8.93349,-658.506,-579.995,9.63609,7.44233,5.40403,1.82103,107.2937845,-7.21705771,877.56
"Theia_365",143,"Lynga_2",8.06001,1.159,"nan",4.96694,4.01208,"nan",313.845,-0.44157,1.091,-18.7941,-1.9597,-43.9163,634.882,-661.003,-7.06359,-45.1029,18.9731,-1.67245,216.0988738,-61.32806811,916.54
"Theia_366",61,"nan",8.07846,0.333086,"nan",7.05114,5.84474,"nan",231.503,-4.52126,1.087,-7.68814,-7.29181,45.9881,-571.122,-718.069,-72.5513,-35.0064,-31.3101,-11.1686,107.3740546,-18.57265432,920.36
"Theia_373",51,"nan",8.108,0.22235,"nan",8.93971,5.29493,"nan",239.293,-12.2054,5.231,-25.5549,6.71608,33.5781,-95.4185,-160.656,-40.4182,-40.4472,-16.7136,-0.506488,103.4962806,-28.85852313,191.18
