"n_FSR","ID","GLON","GLAT","RAJ2000","DEJ2000","rcore","rtid","Dc","Dcont","N","Nc","logRN","Q","Qall","Ident","RA_deg","DEC_deg"
"A","FSR_1442",265.71,1.794,"09 02 56","-43 57 12",0.032,0.095,9,4.0,341,236,0.846,2,100100,"nan",135.733333,-43.953333
"A","FSR_1443",265.722,-3.537,"08 39 26","-47 21 25",0.023,0.136,13,6.0,460,420,0.77,2,100100,"nan",129.858333,-47.356944
"A","FSR_1450",266.939,-0.37,"08 58 18","-46 18 12",0.017,0.138,11,5.0,269,246,0.578,1,100000,"nan",134.575,-46.303333
"A","FSR_1452",267.603,-2.086,"08 53 08","-47 55 11",0.049,2.257,5,3.0,2192,2635,"nan",4,110110,"nan",133.283333,-47.919722
"A","FSR_1454",267.809,-2.713,"08 51 01","-48 28 42",0.013,0.222,12,6.0,247,271,0.66,2,100010,"nan",132.754167,-48.478333
"A","FSR_1456, Muzzio1",267.968,-1.321,"08 58 00","-47 42 13",0.021,1.056,15,6.0,1126,1027,0.483,1,10,"Muzzio1",134.5,-47.703611
"A","FSR_1460",269.126,-0.191,"09 07 37","-47 49 09",0.088,0.175,13,7.0,2669,2434,"nan",1,10,"nan",136.904167,-47.819167
"A","FSR_1463",269.245,-3.748,"08 51 42","-50 14 35",0.019,0.647,10,5.0,535,445,0.739,2,100100,"nan",132.925,-50.243056
"A","FSR_1464",269.296,2.997,"09 21 45","-45 44 08",0.032,0.22,6,3.0,473,394,0.768,2,100100,"nan",140.4375,-45.735556
"A","FSR_1468",269.79,0.138,"09 11 45","-48 04 55",0.032,0.097,9,4.0,370,281,0.872,4,111100,"nan",137.9375,-48.081944
"A","FSR_1471",270.72,2.142,"09 24 08","-47 20 38",0.012,0.334,11,6.0,235,196,0.743,3,100110,"nan",141.033333,-47.343889
"A","FSR_1476, VDBH63",271.63,0.411,"09 20 41","-49 12 49",0.009,0.423,26,10.0,311,215,0.345,3,100011,"VDBH63",140.170833,-49.213611
"A","FSR_1483, VDBH73",273.642,0.946,"09 31 57","-50 13 33",0.012,0.216,24,9.0,405,280,0.31,1,100000,"VDBH73",142.9875,-50.225833
"A","FSR_1484",273.703,0.379,"09 29 47","-50 40 54",0.015,0.326,17,7.0,514,427,0.496,1,100000,"nan",142.445833,-50.681667
"A","FSR_1485",273.734,-1.378,"09 22 07","-51 57 58",0.007,0.062,24,9.0,98,107,0.52,4,110101,"nan",140.529167,-51.966111
"A","FSR_1489",274.447,0.385,"09 33 16","-51 11 03",0.014,0.315,17,7.0,415,287,0.585,1,100000,"nan",143.316667,-51.184167
"A","FSR_1494, VDBH72",275.492,-1.16,"09 31 26","-53 01 40",0.022,0.089,22,8.0,538,490,0.331,0,0,"VDBH72",142.858333,-53.027778
"A","FSR_1496",276.203,0.689,"09 43 02","-52 07 28",0.013,0.64,9,4.0,242,266,0.7,4,101110,"nan",145.758333,-52.124444
"A","FSR_1498",276.648,3.467,"09 56 28","-50 15 30",0.012,0.6,11,5.0,272,272,"nan",3,100110,"nan",149.116667,-50.258333
"A","FSR_1500",276.832,-1.203,"09 37 53","-53 57 44",0.023,0.14,16,6.0,582,582,0.559,2,100100,"nan",144.470833,-53.962222
"A","FSR_1507",277.937,-3.275,"09 33 53","-56 14 22",0.009,0.138,12,5.0,114,87,0.596,4,110101,"nan",143.470833,-56.239444
"A","FSR_1508, VDBH80",278.512,-0.612,"09 49 16","-54 36 23",0.015,0.131,22,7.0,394,359,0.38,0,0,"VDBH80",147.316667,-54.606389
"A","FSR_1509",278.685,-1.074,"09 48 09","-55 04 22",0.032,0.097,12,4.0,478,398,0.75,2,100100,"nan",147.0375,-55.072778
"A","FSR_1510",278.72,0.096,"09 53 26","-54 11 14",0.029,0.202,7,3.0,440,637,0.673,3,100110,"nan",148.358333,-54.187222
"A","FSR_1518",279.617,0.377,"09 59 29","-54 31 04",0.023,0.863,11,4.0,914,914,0.662,3,110100,"nan",149.870833,-54.517778
"A","FSR_1520, VDBH83",280.208,0.073,"10 01 28","-55 07 01",0.013,0.652,13,5.0,373,409,0.567,3,111,"VDBH83",150.366667,-55.116944
"A","FSR_1521",280.436,-1.625,"09 55 23","-56 36 06",0.026,0.421,15,5.0,1182,1078,0.275,0,0,"nan",148.845833,-56.601667
"A","FSR_1522, VDBH87",280.714,0.119,"10 04 31","-55 22 55",0.025,0.797,15,6.0,1350,1480,0.444,1,100,"VDBH87",151.129167,-55.381944
"A","FSR_1524",281.506,-1.992,"09 59 57","-57 32 48",0.017,0.084,16,6.0,259,236,0.631,2,100100,"nan",149.9875,-57.546667
"A","FSR_1530",282.34,-1.066,"10 09 01","-57 17 42",0.012,0.573,22,7.0,489,407,0.281,2,11,"nan",152.254167,-57.295
"A","FSR_1531",282.826,0.626,"10 18 54","-56 10 21",0.012,0.074,17,6.0,174,191,0.586,2,100001,"nan",154.725,-56.1725
"A","FSR_1535",283.328,-2.698,"10 07 55","-59 11 49",0.019,0.925,10,3.0,561,512,0.633,4,110110,"nan",151.979167,-59.196944
"A","FSR_1536",283.804,2.453,"10 31 39","-55 08 29",0.017,0.5,17,8.0,694,761,0.515,2,110,"nan",157.9125,-55.141389
"A","FSR_1555",287.768,0.168,"10 49 07","-59 03 17",0.028,0.194,16,5.0,928,1017,0.299,0,0,"nan",162.279167,-59.054722
"A","FSR_1557, Teutsch31",288.252,0.095,"10 52 15","-59 20 12",0.01,0.51,16,5.0,276,332,0.596,3,100110,"Teutsch31",163.0625,-59.336667
"A","FSR_1569",290.68,3.864,"11 20 22","-56 49 33",0.02,0.081,10,4.0,207,207,0.734,2,100100,"nan",170.091667,-56.825833
"A","FSR_1580",292.157,2.616,"11 27 41","-58 29 33",0.024,0.12,11,4.0,392,392,0.697,2,100100,"nan",171.920833,-58.4925
"A","FSR_1582, VDBH116",292.378,-1.818,"11 17 11","-62 44 33",0.011,0.556,10,4.0,216,375,0.748,4,110110,"VDBH116",169.295833,-62.7425
"A","FSR_1583",292.398,3.61,"11 31 45","-57 37 22",0.025,0.226,11,5.0,598,598,0.625,2,100100,"nan",172.9375,-57.622778
"A","FSR_1585",292.666,-3.579,"11 13 52","-64 29 17",0.014,0.7,8,3.0,258,283,0.654,4,100111,"nan",168.466667,-64.488056
"A","FSR_1586",292.841,-1.198,"11 22 49","-62 19 15",0.059,0.117,15,5.0,1375,2180,0.683,3,100110,"nan",170.704167,-62.320833
"A","FSR_1591",294.522,-1.095,"11 36 57","-62 44 39",0.057,0.17,11,3.0,1386,1520,"nan",2,100100,"nan",174.2375,-62.744167
"A","FSR_1595",295.615,-0.683,"11 47 05","-62 38 13",0.02,0.117,17,5.0,437,759,0.406,2,100100,"nan",176.770833,-62.636944
"A","FSR_1603, Ruprecht101",298.222,-0.507,"12 09 45","-62 59 49",0.019,0.494,23,7.0,1162,1842,-0.065,0,0,"Ruprecht101",182.4375,-62.996944
"A","FSR_1605",298.38,-2.708,"12 07 52","-65 11 38",0.024,0.073,16,6.0,367,581,0.424,2,100010,"nan",181.966667,-65.193889
"A","FSR_1612",299.387,3.047,"12 23 22","-59 37 53",0.084,0.169,10,4.0,1815,1815,"nan",3,10110,"nan",185.841667,-59.631389
"A","FSR_1617",300.675,-3.809,"12 28 44","-66 34 52",0.036,0.108,11,4.0,560,674,0.725,3,100110,"nan",187.183333,-66.581111
"A","FSR_1622",301.417,-0.439,"12 37 57","-63 16 16",0.039,1.431,6,2.0,1396,2426,"nan",2,100100,"nan",189.4875,-63.271111
"A","FSR_1630",302.614,0.716,"12 48 42","-62 09 14",0.048,0.145,13,4.0,1143,1507,0.779,2,110,"nan",192.175,-62.153889
"A","FSR_1641",304.364,-1.722,"13 04 46","-64 33 24",0.023,1.135,8,2.0,684,1428,"nan",4,101110,"nan",196.191667,-64.556667
"A","FSR_1645",306.42,0.724,"13 21 10","-61 56 46",0.089,0.177,13,4.0,2660,4623,"nan",2,110,"nan",200.291667,-61.946111
"A","FSR_1651",307.311,3.61,"13 25 26","-58 58 20",0.014,0.376,18,6.0,498,414,0.486,3,100110,"nan",201.358333,-58.972222
"A","FSR_1653",307.718,-0.554,"13 33 50","-63 01 51",0.006,0.312,10,2.0,63,132,0.561,4,10111,"nan",203.458333,-63.030833
"A","FSR_1657",307.931,3.754,"13 30 01","-58 44 33",0.012,0.082,20,8.0,202,293,0.519,2,100100,"nan",202.504167,-58.7425
"A","FSR_1659",308.287,-0.079,"13 38 01","-62 27 55",0.027,0.081,25,7.0,729,1522,0.17,3,100110,"nan",204.504167,-62.465278
"A","FSR_1662, C1341-617",309.062,0.205,"13 44 05","-62 02 18",0.037,0.112,10,3.0,517,898,0.601,3,100110,"C1341-617",206.020833,-62.038333
"A","FSR_1663",309.069,2.082,"13 41 05","-60 11 48",0.02,0.975,13,5.0,845,1766,0.406,2,100010,"nan",205.270833,-60.196667
"A","FSR_1666",309.71,0.684,"13 48 35","-61 26 00",0.03,0.12,21,7.0,951,1813,0.047,2,100010,"nan",207.145833,-61.433333
"A","FSR_1669",310.539,0.144,"13 56 25","-61 45 50",0.012,0.585,13,4.0,294,613,0.521,4,110110,"nan",209.104167,-61.763889
"A","FSR_1674",312.747,3.303,"14 06 38","-58 07 42",0.005,0.26,33,10.0,152,166,0.495,3,100011,"nan",211.658333,-58.128333
"A","FSR_1681, NGC5606",314.899,0.834,"14 28 40","-59 45 33",0.005,0.096,33,9.0,94,197,0.607,3,110001,"NGC5606",217.166667,-59.759167
"A","FSR_1682",315.314,1.781,"14 28 58","-58 43 33",0.043,0.13,14,4.0,1047,1513,"nan",3,100110,"nan",217.241667,-58.725833
"A","FSR_1686",315.999,-0.292,"14 40 17","-60 22 20",0.029,1.401,16,5.0,2215,3511,0.217,2,110,"nan",220.070833,-60.372222
"A","FSR_1688",316.999,3.895,"14 34 37","-56 07 58",0.026,1.313,13,5.0,1530,1677,0.481,2,100010,"nan",218.654167,-56.132778
"A","FSR_1689",317.113,0.169,"14 46 50","-59 29 15",0.035,0.8,13,4.0,2094,3989,0.172,3,1110,"nan",221.708333,-59.4875
"A","FSR_1696",319.6,0.951,"15 01 07","-57 39 43",0.1,0.2,11,3.0,2734,4752,"nan",3,10110,"nan",225.279167,-57.661944
"A","FSR_1697",320.813,1.568,"15 06 42","-56 31 58",0.009,0.46,16,4.0,225,326,0.579,4,100111,"nan",226.675,-56.532778
"A","FSR_1698",320.821,-2.054,"15 20 58","-59 37 40",0.034,0.101,18,5.0,821,1427,0.591,4,101110,"nan",230.241667,-59.627778
"A","FSR_1700",322.913,-3.035,"15 38 53","-59 14 51",0.04,1.08,10,3.0,2148,2583,"nan",2,100100,"nan",234.720833,-59.2475
"A","FSR_1703",325.788,0.124,"15 41 55","-54 59 48",0.021,0.81,23,7.0,1596,4395,-0.271,3,100110,"nan",235.479167,-54.996667
"A","FSR_1709",327.95,-0.794,"15 57 34","-54 21 47",0.092,1.84,8,2.0,8316,22904,"nan",2,10100,"nan",239.391667,-54.363056
"A","FSR_1714",329.385,2.881,"15 49 30","-50 36 47",0.06,0.12,13,4.0,1263,1665,0.854,3,100110,"nan",237.375,-50.613056
"A","FSR_1715",329.532,3.269,"15 48 42","-50 13 06",0.03,0.12,15,4.0,655,718,0.621,2,100100,"nan",237.175,-50.218333
"A","FSR_1719",330.613,3.29,"15 53 49","-49 31 20",0.022,0.82,13,4.0,990,1190,0.576,2,100100,"nan",238.454167,-49.522222
"A","FSR_1722, DBS2003_101",332.992,1.883,"16 10 28","-49 00 55",0.005,0.26,28,7.0,128,185,0.443,3,100011,"[DBS2003]101",242.616667,-49.015278
"A","FSR_1727",334.72,-0.861,"16 29 52","-49 45 08",0.018,0.918,10,3.0,598,2173,"nan",4,110110,"nan",247.466667,-49.752222
"A","FSR_1732",337.733,-3.661,"16 55 05","-49 19 33",0.015,0.345,14,4.0,412,596,0.518,2,100100,"nan",253.770833,-49.325833
"A","FSR_1735",339.196,-1.85,"16 52 11","-47 02 58",0.053,0.106,20,5.0,1477,2567,0.238,4,111010,"nan",253.045833,-47.049444
"A","FSR_1739",340.273,-3.389,"17 03 12","-47 09 47",0.022,0.29,11,3.0,549,602,0.664,2,100100,"nan",255.8,-47.163056
"A","FSR_1744",342.707,1.177,"16 51 36","-42 24 55",0.055,0.166,17,5.0,2072,3948,0.273,3,100110,"nan",252.9,-42.415278
"A","FSR_1750",346.724,1.835,"17 02 06","-38 52 00",0.042,0.168,14,4.0,1266,2900,0.239,2,100100,"nan",255.525,-38.866667
"A","FSR_1754",348.035,-0.318,"17 15 01","-39 06 07",0.069,0.137,24,7.0,2929,12785,0.228,1,10,"nan",258.754167,-39.101944
"A","FSR_1755",348.246,0.482,"17 12 20","-38 27 44",0.053,0.106,31,10.0,2241,3895,-0.139,2,100010,"nan",258.083333,-38.462222
"A","FSR_1758",349.196,-3.342,"17 31 21","-39 51 09",0.019,0.95,12,3.0,745,1870,0.412,3,100110,"nan",262.8375,-39.8525
"A","FSR_1767",352.602,-2.168,"17 35 43","-36 21 28",0.009,0.166,27,7.0,271,984,0.0,2,100001,"nan",263.929167,-36.357778
"B","FSR_9",1.864,-9.522,"18 28 29","-31 53 47",0.005,0.25,16,6.0,69,91,0.802,4,100111,"nan",277.120833,-31.896389
"B","FSR_10",2.149,19.617,"16 40 49","-16 01 09",0.023,0.227,7,7.0,330,250,0.845,0,0,"nan",250.204167,-16.019167
"B","FSR_14",4.406,16.753,"16 55 42","-15 59 40",0.009,0.25,10,8.0,122,92,0.779,3,110001,"nan",253.925,-15.994444
"B","FSR_18",5.338,5.407,"17 37 41","-21 33 28",0.019,0.096,13,4.0,276,1586,"nan",3,110100,"nan",264.420833,-21.557778
"B","FSR_19",5.52,6.08,"17 35 39","-21 02 49",0.026,0.103,10,4.0,315,2180,"nan",2,110,"nan",263.9125,-21.046944
"B","FSR_25",7.535,5.648,"17 41 43","-19 34 15",0.018,0.884,9,4.0,510,3529,"nan",3,100110,"nan",265.429167,-19.570833
"B","FSR_27",7.783,8.451,"17 32 12","-17 53 04",0.018,0.194,13,5.0,381,459,0.666,2,100100,"nan",263.05,-17.884444
"B","FSR_33",9.359,10.139,"17 29 41","-15 40 11",0.086,0.172,9,4.0,1710,1560,"nan",4,11110,"nan",262.420833,-15.669722
"B","FSR_34",9.416,-13.347,"18 58 44","-26 47 37",0.027,0.082,14,8.0,399,364,0.674,3,111000,"nan",284.683333,-26.793611
"B","FSR_37",9.875,-13.804,"19 01 24","-26 34 12",0.03,0.089,9,5.0,308,308,0.83,2,100100,"nan",285.35,-26.57
"B","FSR_41",11.739,19.197,"17 03 30","-08 51 13",0.041,0.653,2,2.0,366,304,"nan",1,100,"nan",255.875,-8.853611
"B","FSR_42",11.787,16.126,"17 14 05","-10 28 20",0.014,0.156,5,3.0,100,76,"nan",2,10100,"nan",258.520833,-10.472222
"B","FSR_43",12.29,7.321,"17 45 54","-14 39 35",0.026,1.3,10,4.0,1165,1401,"nan",3,100110,"nan",266.475,-14.659722
"B","FSR_50",16.388,11.414,"17 39 51","-09 06 03",0.015,0.68,6,3.0,228,173,"nan",4,100111,"nan",264.9625,-9.100833
"B","FSR_60",20.295,-0.556,"18 30 05","-11 29 07",0.011,0.533,16,4.0,305,1108,"nan",5,110111,"nan",277.520833,-11.485278
"B","FSR_62",20.863,4.296,"18 13 46","-08 42 30",0.055,0.055,48,15.0,1523,1523,0.384,4,110110,"nan",273.441667,-8.708333
"B","FSR_63",21.258,4.138,"18 15 05","-08 26 10",0.02,0.919,15,5.0,946,1038,0.494,3,100110,"nan",273.770833,-8.436111
"B","FSR_65",21.549,-3.071,"18 41 34","-11 31 36",0.005,0.253,10,3.0,45,94,0.727,5,110111,"nan",280.391667,-11.526667
"B","FSR_67",22.466,-10.231,"19 09 31","-13 53 30",0.061,1.411,4,3.0,1961,2585,"nan",3,101100,"nan",287.379167,-13.891667
"B","FSR_70",23.441,-15.267,"19 30 02","-15 10 02",0.012,0.594,11,8.0,272,248,0.713,1,10,"nan",292.508333,-15.167222
"B","FSR_73",25.275,6.23,"18 15 13","-03 55 19",0.037,0.111,9,4.0,471,471,0.832,4,110110,"nan",273.804167,-3.921944
"B","FSR_76",25.558,5.078,"18 19 50","-04 12 36",0.019,0.664,7,3.0,398,363,0.747,2,100100,"nan",274.958333,-4.21
"B","FSR_77",25.714,5.049,"18 20 13","-04 05 10",0.007,0.325,14,5.0,98,98,0.621,4,100111,"nan",275.054167,-4.086111
"B","FSR_78",25.93,6.639,"18 14 59","-03 09 19",0.042,0.125,7,3.0,460,383,0.892,3,100110,"nan",273.745833,-3.155278
"B","FSR_79",26.591,12.175,"17 56 37","+00 00 17",0.01,0.051,15,9.0,90,75,"nan",5,111110,"nan",269.154167,0.004722
"B","FSR_80",26.642,12.194,"17 56 38","+00 03 27",0.009,0.102,15,9.0,105,88,0.717,2,100001,"nan",269.158333,0.0575
"B","FSR_83",27.826,-13.501,"19 30 52","-10 34 19",0.018,0.334,8,6.0,289,289,0.753,3,110010,"nan",292.716667,-10.571944
"B","FSR_85",28.383,-17.656,"19 47 07","-11 51 44",0.017,0.313,6,4.0,212,134,0.871,3,100110,"nan",296.779167,-11.862222
"B","FSR_91",29.69,18.848,"17 38 21","+05 43 14",0.014,0.056,11,9.0,105,87,0.733,1,100000,"nan",264.5875,5.720556
"B","FSR_95",31.983,11.125,"18 10 02","+04 12 58",0.016,0.782,6,4.0,253,231,0.717,3,100110,"nan",272.508333,4.216111
"B","FSR_96",32.209,18.003,"17 45 41","+07 29 02",0.049,0.098,6,6.0,395,395,"nan",3,100110,"nan",266.420833,7.483889
"B","FSR_97",32.337,15.048,"17 56 35","+06 17 03",0.015,0.668,9,7.0,361,250,0.735,2,100010,"nan",269.145833,6.284167
"B","FSR_99",33.402,11.179,"18 12 22","+05 29 02",0.018,0.393,5,3.0,193,161,"nan",5,110111,"nan",273.091667,5.483889
"B","FSR_102",35.602,11.122,"18 16 26","+07 23 27",0.006,0.292,19,12.0,111,133,0.564,5,111011,"nan",274.108333,7.390833
"B","FSR_106",36.307,18.354,"17 51 14","+11 08 46",0.026,0.744,4,4.0,391,357,"nan",2,110,"nan",267.808333,11.146111
"B","FSR_108",36.58,10.842,"18 19 10","+08 07 41",0.022,0.067,10,5.0,187,142,0.815,5,110111,"nan",274.791667,8.128056
"B","FSR_110",38.649,-6.698,"19 25 42","+01 59 53",0.005,0.26,21,9.0,98,89,0.575,4,110011,"nan",291.425,1.998056
"B","FSR_112",38.684,-18.702,"20 08 20","-03 32 18",0.007,0.344,6,5.0,51,42,"nan",4,10111,"nan",302.083333,-3.538333
"B","FSR_114",40.018,-18.27,"20 09 09","-02 13 03",0.012,0.215,11,10.0,182,151,0.769,1,100000,"nan",302.2875,-2.2175
"B","FSR_116",42.409,11.127,"18 28 17","+13 24 07",0.062,0.123,6,3.0,576,437,"nan",5,111110,"nan",277.070833,13.401944
"B","FSR_117",42.877,18.224,"18 02 20","+16 46 26",0.007,0.323,9,7.0,66,42,0.529,4,110011,"nan",270.583333,16.773889
"B","FSR_119",44.1,13.295,"18 23 05","+15 49 12",0.025,0.098,13,8.0,388,223,0.736,0,0,"nan",275.770833,15.82
"B","FSR_120",44.145,13.332,"18 23 01","+15 52 31",0.009,0.197,16,10.0,184,106,0.708,3,100011,"nan",275.754167,15.875278
"B","FSR_121",44.934,15.452,"18 16 17","+17 26 59",0.028,0.886,3,2.0,289,200,"nan",2,110,"nan",274.070833,17.449722
"B","FSR_125",48.276,19.34,"18 06 27","+21 54 52",0.059,0.118,4,4.0,396,274,"nan",2,110,"nan",271.6125,21.914444
"B","FSR_128",49.243,-19.636,"20 31 03","+04 42 51",0.013,0.2,11,10.0,201,139,0.836,1,10000,"nan",307.7625,4.714167
"B","FSR_132",51.108,-4.064,"19 40 15","+14 09 31",0.02,0.405,10,4.0,506,461,0.668,2,100100,"nan",295.0625,14.158611
"B","FSR_136",52.27,-10.473,"20 05 23","+11 56 30",0.006,0.28,17,9.0,89,89,0.523,4,110011,"nan",301.345833,11.941667
"B","FSR_139",54.843,-18.353,"20 37 59","+09 53 00",0.011,0.55,10,16.0,210,333,0.769,2,100010,"nan",309.495833,9.883333
"B","FSR_140",54.892,-18.265,"20 37 48","+09 58 13",0.009,0.439,8,8.0,103,112,"nan",3,100011,"nan",309.45,9.970278
"B","FSR_143",56.315,-4.381,"19 52 11","+18 30 10",0.016,0.583,12,5.0,479,437,0.681,2,100100,"nan",298.045833,18.502778
"B","FSR_145",56.437,19.498,"18 18 21","+29 07 48",0.024,0.072,3,3.0,60,95,"nan",2,110,"nan",274.5875,29.13
"B","FSR_146",56.449,19.57,"18 18 04","+29 09 58",0.006,0.168,10,"nan",48,77,"nan",3,100011,"nan",274.516667,29.166111
"B","FSR_148",57.028,0.017,"19 37 28","+21 18 52",0.009,0.44,15,5.0,197,285,0.506,6,111111,"nan",294.366667,21.314444
"B","FSR_149",57.142,5.407,"19 17 09","+23 58 24",0.018,0.212,7,4.0,231,304,0.692,2,100100,"nan",289.2875,23.973333
"B","FSR_151",57.579,-18.569,"20 44 35","+11 55 27",0.006,0.281,8,7.0,42,38,"nan",4,110011,"nan",311.145833,11.924167
"B","FSR_161",63.104,-17.391,"20 53 10","+16 53 31",0.011,0.531,4,3.0,79,55,"nan",4,11110,"nan",313.291667,16.891944
"B","FSR_166",64.87,-4.938,"20 13 38","+25 27 19",0.022,0.583,9,4.0,608,506,0.695,1,100,"nan",303.408333,25.455278
"B","FSR_174",67.048,-3.053,"20 11 53","+28 18 20",0.007,0.347,23,9.0,188,130,0.599,5,111011,"nan",302.970833,28.305556
"B","FSR_175",67.34,-10.624,"20 40 22","+24 13 09",0.008,0.385,10,7.0,106,116,"nan",4,100111,"nan",310.091667,24.219167
"B","FSR_183",69.523,-9.545,"20 42 13","+26 35 15",0.021,0.125,5,3.0,143,157,"nan",3,110100,"nan",310.554167,26.5875
"B","FSR_184",69.558,-9.656,"20 42 42","+26 32 53",0.006,0.312,14,8.0,90,75,0.631,5,111011,"nan",310.675,26.548056
"B","FSR_193",71.313,8.12,"19 36 29","+37 41 39",0.016,0.062,14,8.0,174,174,0.604,2,100001,"nan",294.120833,37.694167
"B","FSR_209",75.713,13.532,"19 21 05","+43 58 43",0.016,0.776,7,5.0,298,206,"nan",3,100110,"nan",290.270833,43.978611
"B","FSR_214, IC1311",77.709,4.177,"20 10 48","+41 10 43",0.017,0.837,14,7.0,661,1048,0.265,1,10,"IC1311",302.7,41.178611
"B","FSR_227",79.092,0.959,"20 28 58","+40 30 05",0.004,0.03,44,14.0,49,34,"nan",5,111011,"nan",307.241667,40.501389
"B","FSR_228, NGC6811",79.167,11.994,"19 37 16","+46 20 27",0.013,0.625,5,3.0,120,110,"nan",3,10110,"NGC6811",294.316667,46.340833
"B","FSR_241",81.228,8.028,"20 03 02","+46 11 20",0.022,0.858,7,4.0,531,485,0.846,4,110110,"nan",300.758333,46.188889
"B","FSR_250",82.156,-16.993,"21 44 58","+30 44 54",0.008,0.406,8,7.0,94,71,"nan",4,11011,"nan",326.241667,30.748333
"B","FSR_253",82.792,-4.516,"21 03 29","+39 58 03",0.021,0.51,6,3.0,351,292,0.83,2,100100,"nan",315.870833,39.9675
"B","FSR_254",82.811,5.788,"20 18 51","+46 18 32",0.012,0.282,14,8.0,281,281,0.675,3,110010,"nan",304.7125,46.308889
"B","FSR_257, Berkeley89",83.131,4.845,"20 24 23","+46 02 23",0.018,0.829,10,4.0,572,572,0.614,2,110,"Berkeley89",306.095833,46.039722
"B","FSR_259",83.672,7.04,"20 15 30","+47 42 49",0.011,0.244,23,12.0,344,261,"nan",5,101111,"nan",303.875,47.713611
"B","FSR_264",85.174,-12.05,"21 39 15","+36 21 54",0.019,0.076,5,3.0,92,77,"nan",5,110111,"nan",324.8125,36.365
"B","FSR_265",85.496,-4.44,"21 12 49","+42 00 35",0.014,0.094,9,4.0,118,129,"nan",3,100101,"nan",318.204167,42.009722
"B","FSR_266",85.625,-16.147,"21 54 06","+33 35 02",0.013,0.062,8,8.0,73,80,"nan",3,111000,"nan",328.525,33.583889
"B","FSR_271",86.175,-5.276,"21 18 35","+41 55 11",0.023,1.148,5,3.0,475,520,"nan",2,110,"nan",319.645833,41.919722
"B","FSR_272",86.203,-5.282,"21 18 43","+41 56 08",0.028,0.113,11,6.0,426,467,0.681,0,0,"nan",319.679167,41.935556
"B","FSR_276",87.316,5.75,"20 34 29","+49 57 21",0.015,0.644,13,6.0,486,405,"nan",4,110110,"nan",308.620833,49.955833
"B","FSR_277",87.804,-8.659,"21 37 18","+40 36 46",0.011,0.053,10,6.0,65,49,"nan",2,100001,"nan",324.325,40.612778
"B","FSR_278",87.863,6.839,"20 30 57","+51 02 07",0.012,0.594,10,5.0,230,252,0.751,2,110,"nan",307.7375,51.035278
"B","FSR_279",87.918,-15.846,"22 01 25","+35 13 08",0.018,0.14,5,6.0,134,177,0.958,1,100000,"nan",330.354167,35.218889
"B","FSR_291",90.52,-0.496,"21 16 20","+48 21 45",0.009,0.475,14,6.0,214,234,0.658,5,111011,"nan",319.083333,48.3625
"B","FSR_293",91.028,-2.754,"21 27 56","+47 07 05",0.009,0.258,16,6.0,187,170,0.581,5,110111,"nan",321.983333,47.118056
"B","FSR_294, NGC7031",91.275,2.343,"21 06 45","+50 51 24",0.01,0.493,14,5.0,236,196,0.697,5,111011,"NGC7031",316.6875,50.856667
"B","FSR_303",93.418,-4.404,"21 44 54","+47 29 35",0.032,0.097,7,3.0,271,206,"nan",3,100110,"nan",326.225,47.493056
"B","FSR_305",93.868,-5.384,"21 50 38","+47 01 45",0.008,0.385,9,5.0,95,86,0.733,5,110111,"nan",327.658333,47.029167
"B","FSR_310",94.433,5.522,"21 05 03","+55 19 30",0.022,0.173,9,5.0,340,283,0.838,1,100,"nan",316.2625,55.325
"B","FSR_318",96.152,-4.715,"21 58 48","+48 58 10",0.006,0.035,23,12.0,53,53,0.529,3,110001,"nan",329.7,48.969444
"B","FSR_321",96.399,-16.139,"22 35 57","+39 39 07",0.025,1.114,2,2.0,229,302,"nan",3,10110,"nan",338.9875,39.651944
"B","FSR_328",97.917,-12.808,"22 33 29","+43 15 47",0.007,0.344,7,6.0,55,50,"nan",5,110111,"nan",338.370833,43.263056
"B","FSR_329, Berkeley92",97.929,5.067,"21 24 49","+57 32 00",0.013,0.09,14,9.0,173,274,0.623,0,0,"Berkeley92",321.204167,57.533333
"B","FSR_330",98.067,-12.797,"22 34 08","+43 20 53",0.008,0.383,8,8.0,81,106,0.553,3,100011,"nan",338.533333,43.348056
"B","FSR_331",98.183,-12.771,"22 34 36","+43 25 43",0.026,0.179,5,6.0,241,349,"nan",2,100010,"nan",338.65,43.428611
"B","FSR_332",98.233,19.565,"19 44 13","+66 08 46",0.009,0.427,4,4.0,53,37,"nan",4,10111,"nan",296.054167,66.146111
"B","FSR_344",100.05,-0.327,"22 01 39","+54 49 08",0.006,0.312,20,8.0,136,113,0.631,5,110111,"nan",330.4125,54.818889
"B","FSR_346",100.938,8.887,"21 19 59","+62 20 39",0.025,0.126,7,5.0,258,214,"nan",2,100100,"nan",319.995833,62.344167
"B","FSR_347",101.29,8.857,"21 22 16","+62 34 20",0.039,0.078,9,6.0,360,249,0.83,2,100010,"nan",320.566667,62.572222
"B","FSR_351",102.509,5.144,"21 50 51","+60 38 29",0.047,0.141,7,4.0,566,620,"nan",3,100110,"nan",327.7125,60.641389
"B","FSR_361, Berkeley98",103.879,-5.633,"22 42 43","+52 24 41",0.018,0.353,6,3.0,223,185,0.74,1,100,"Berkeley98",340.679167,52.411389
"B","FSR_362",103.984,-4.3,"22 39 03","+53 37 47",0.043,0.128,7,4.0,492,448,"nan",3,100110,"nan",339.7625,53.629722
