"n_FSR","ID","GLON","GLAT","RAJ2000","DEJ2000","rcore","rtid","Dc","Dcont","N","Nc","logRN","Q","Qall","Ident","RA_deg","DEC_deg"
"A","FSR_938, NGC2234",195.535,2.835,"06 29 20","+16 45 27",0.021,0.064,7,4.0,119,82,"nan",2,100100,"NGC2234",97.333333,16.7575
"A","FSR_939",195.54,-2.191,"06 10 57","+14 22 57",0.015,0.767,10,6.0,396,250,0.69,3,110010,"nan",92.7375,14.3825
"A","FSR_940",195.554,-1.284,"06 14 16","+14 48 18",0.012,0.618,9,6.0,240,219,0.762,2,100010,"nan",93.566667,14.805
"A","FSR_941",195.574,0.782,"06 21 51","+15 45 59",0.05,0.15,8,4.0,734,463,0.955,2,110,"nan",95.4625,15.766389
"A","FSR_942",195.582,-3.593,"06 05 58","+13 40 06",0.015,0.731,9,6.0,342,259,0.722,1,10,"nan",91.491667,13.668333
"A","FSR_946",195.74,-2.293,"06 10 58","+14 09 30",0.005,0.02,14,9.0,18,12,"nan",4,111001,"nan",92.741667,14.158333
"A","FSR_947, NGC2169",195.754,-2.853,"06 08 59","+13 52 34",0.01,0.52,5,3.0,101,77,"nan",4,100111,"NGC2169",92.245833,13.876111
"A","FSR_948",195.964,1.702,"06 25 59","+15 51 08",0.014,0.311,10,6.0,262,218,0.762,1,100000,"nan",96.495833,15.852222
"A","FSR_951",196.558,0.387,"06 22 19","+14 42 44",0.007,0.373,11,6.0,101,77,0.641,2,11,"nan",95.579167,14.712222
"A","FSR_952",196.661,-2.997,"06 10 15","+13 00 47",0.013,0.177,9,5.0,146,111,0.696,3,100101,"nan",92.5625,13.013056
"A","FSR_953",196.681,-0.58,"06 19 02","+14 08 53",0.006,0.147,17,10.0,91,83,0.534,2,100001,"nan",94.758333,14.148056
"A","FSR_955",196.915,0.622,"06 23 52","+14 30 26",0.004,0.208,16,9.0,48,36,"nan",3,100011,"nan",95.966667,14.507222
"A","FSR_956",196.92,-2.536,"06 12 25","+13 00 26",0.014,0.098,12,7.0,168,153,0.679,1,100000,"nan",93.104167,13.007222
"A","FSR_957",197.017,0.977,"06 25 22","+14 34 59",0.007,0.36,8,5.0,73,67,0.65,4,110011,"nan",96.341667,14.583056
"A","FSR_960",197.215,-3.401,"06 09 53","+12 20 02",0.038,0.077,9,5.0,348,201,0.861,3,100110,"nan",92.470833,12.333889
"A","FSR_962",197.284,0.419,"06 23 50","+14 05 10",0.014,0.396,6,4.0,170,155,0.865,3,100110,"nan",95.958333,14.086111
"A","FSR_974",199.634,1.603,"06 32 38","+12 33 19",0.019,0.13,15,9.0,376,313,0.571,1,100000,"nan",98.158333,12.555278
"A","FSR_975",199.795,3.54,"06 40 00","+13 17 58",0.038,0.075,12,7.0,449,258,0.927,2,100010,"nan",100.0,13.299444
"A","FSR_977",200.177,1.105,"06 31 51","+11 50 38",0.022,0.088,16,12.0,403,442,0.563,0,0,"nan",97.9625,11.843889
"A","FSR_979",200.79,0.63,"06 31 18","+11 04 51",0.016,0.81,8,5.0,348,317,0.725,2,1010,"nan",97.825,11.080833
"A","FSR_988",202.701,-3.79,"06 19 03","+07 19 49",0.006,0.051,4,3.0,12,18,"nan",4,110101,"nan",94.7625,7.330278
"A","FSR_998",203.654,1.654,"06 40 20","+09 00 32",0.012,0.123,10,8.0,142,129,0.833,2,110000,"nan",100.083333,9.008889
"A","FSR_999",203.685,2.643,"06 43 57","+09 25 57",0.018,0.917,9,7.0,525,398,0.795,2,100010,"nan",100.9875,9.4325
"A","FSR_1001, NGC2254",204.334,0.044,"06 35 49","+07 39 58",0.01,0.504,23,14.0,396,361,0.32,2,11,"NGC2254",98.954167,7.666111
"A","FSR_1025",206.944,2.8,"06 50 30","+06 36 14",0.009,0.072,9,6.0,57,52,0.547,3,110001,"nan",102.625,6.603889
"A","FSR_1029",207.236,3.646,"06 54 04","+06 43 39",0.01,0.09,15,9.0,125,114,0.538,2,100001,"nan",103.516667,6.7275
"A","FSR_1031",207.484,-3.165,"06 30 12","+03 23 36",0.024,0.168,7,5.0,284,236,"nan",2,100100,"nan",97.55,3.393333
"A","FSR_1032",207.632,-1.535,"06 36 16","+04 00 42",0.005,0.25,32,18.0,135,78,0.621,3,100011,"nan",99.066667,4.011667
"A","FSR_1033",207.665,-3.778,"06 28 21","+02 57 02",0.01,0.115,8,6.0,72,66,0.693,3,100011,"nan",97.0875,2.950556
"A","FSR_1051",209.78,1.836,"06 52 13","+03 38 30",0.017,0.15,6,4.0,148,135,0.746,3,100110,"nan",103.054167,3.641667
"A","FSR_1053",210.243,-1.852,"06 39 56","+01 32 48",0.014,0.468,16,12.0,467,389,0.625,2,100010,"nan",99.983333,1.546667
"A","FSR_1057",210.697,-0.059,"06 47 08","+01 57 43",0.009,0.088,14,8.0,94,78,0.599,2,100001,"nan",101.783333,1.961944
