"Cluster","[Fe/H]HQS","e_[Fe/H]HQS","N[Fe/H]HQS","[Fe/H]LQS","e_[Fe/H]LQS","N[Fe/H]LQS","[Fe/H]Phot","e_[Fe/H]Phot","w_[Fe/H]Phot","Systems","RGC","e_RGC","Age","e_Age","N","_RA","_DE"
"NGC 6425","nan","nan","nan","nan","nan","nan",0.16,"nan",0.5,"2",7.15,0.11,0.17,0.15,4,266.745,-31.53
"NGC 6451","nan","nan","nan","nan","nan","nan",0.01,"nan",1.5,"1",5.84,0.24,0.17,0.07,6,267.67083,-30.21
"NGC 6475",0.02,0.02,3.0,0.11,0.04,9.0,0.06,0.04,3.0,"1,2,5",7.73,0.03,0.22,0.1,13,268.4625,-34.79333
"NGC 6494",-0.04,0.08,3.0,"nan","nan","nan",0.09,"nan",0.5,"2",7.34,0.08,0.33,0.1,6,269.26667,-18.985
"NGC 6583",0.37,0.04,2.0,"nan","nan","nan","nan","nan","nan","nan",6.15,0.18,1.0,0.0,3,273.954,-22.133
"NGC 6603","nan","nan","nan","nan","nan","nan",0.43,"nan",1.0,"4",5.44,0.77,0.39,0.2,7,274.60833,-18.40667
"NGC 6633",-0.08,0.12,4.0,-0.11,0.09,7.0,0.01,"nan",1.0,"2",7.72,0.03,0.52,0.25,10,276.88,6.57
"NGC 6705",0.12,0.09,21.0,0.25,0.05,3.0,0.18,0.03,2.5,"1,4",6.45,0.23,0.19,0.08,13,282.77083,-6.27
"NGC 6756","nan","nan","nan","nan","nan","nan",0.08,"nan",1.5,"1",6.54,0.37,0.13,0.09,4,287.187,4.717
"NGC 6791",0.42,0.05,8.0,0.35,0.07,22.0,0.44,0.06,4.0,"2,3,4,5,6",7.69,0.14,7.0,2.46,9,290.22083,37.77167
"NGC 6802","nan","nan","nan","nan","nan","nan",0.01,"nan",1.5,"1",7.21,0.2,0.87,0.43,10,292.65,20.25944
"NGC 6811",0.03,0.01,3.0,"nan","nan","nan","nan","nan","nan","nan",7.87,0.01,0.72,0.18,10,294.32083,46.38833
"NGC 6819",0.09,0.01,3.0,-0.04,0.08,206.0,0.03,0.14,4.0,"3,4,5,6",7.69,0.0,2.11,0.44,8,295.325,40.18667
"NGC 6830","nan","nan","nan","nan","nan","nan",0.22,"nan",1.5,"1",7.28,0.06,0.09,0.05,10,297.74583,23.1
"NGC 6939",0.13,"nan",1.0,0.02,0.05,6.0,-0.02,0.07,1.5,"3,4",8.26,0.07,1.6,0.39,9,307.875,60.66167
"NGC 6940","nan","nan","nan","nan","nan","nan",0.15,"nan",1.0,"3",7.75,0.02,0.95,0.46,7,308.60833,28.28333
"NGC 7044","nan","nan","nan","nan","nan","nan",0.01,"nan",1.0,"4",8.38,0.04,1.73,0.41,13,318.293,42.495
"NGC 7092","nan","nan","nan","nan","nan","nan",0.0,"nan",1.5,"1",8.02,0.0,0.31,0.16,11,322.95,48.43333
"NGC 7142",0.11,0.04,4.0,0.08,0.06,6.0,0.07,0.14,2.0,"3,4",8.8,0.21,3.64,1.57,11,326.29167,65.77167
"NGC 7209","nan","nan","nan","nan","nan","nan",0.07,"nan",0.5,"2",8.18,0.04,0.35,0.1,9,331.27917,46.48333
"NGC 7243","nan","nan","nan","nan","nan","nan",0.03,"nan",1.5,"1",8.16,0.01,0.1,0.06,10,333.78333,49.89833
"NGC 7245","nan","nan","nan","nan","nan","nan",-0.15,"nan",1.0,"4",9.03,0.39,0.36,0.16,9,333.8125,54.33278
"NGC 7296","nan","nan","nan","nan","nan","nan",-0.02,"nan",1.5,"1",8.82,0.16,0.29,0.12,6,337.00417,52.32278
"NGC 7789",0.05,0.07,5.0,0.06,0.07,33.0,-0.06,0.04,3.0,"2,3,4",9.0,0.12,1.53,0.2,12,359.35,56.70833
"Pismis 2","nan","nan","nan","nan","nan","nan",0.22,"nan",1.0,"3",9.16,0.34,1.47,0.3,3,124.491,-41.67
"Ruprecht 4","nan","nan","nan",-0.09,0.05,3.0,"nan","nan","nan","nan",11.63,0.44,1.03,0.25,5,102.24,-10.51
"Ruprecht 18","nan","nan","nan","nan","nan","nan",-0.01,"nan",0.5,"2",8.68,0.19,0.12,0.1,6,111.1625,-26.21667
"Ruprecht 115","nan","nan","nan","nan","nan","nan",0.01,"nan",1.5,"1",6.29,0.2,0.65,0.36,6,243.24,-52.427
"Ruprecht 130","nan","nan","nan","nan","nan","nan",0.0,"nan",1.5,"1",5.69,0.7,0.26,0.24,4,266.88708,-30.08672
"Ruprecht 147",0.16,0.08,5.0,"nan","nan","nan","nan","nan","nan","nan",7.78,0.06,2.37,0.2,3,289.175,-16.28333
"Saurer 1",-0.38,0.0,2.0,"nan","nan","nan","nan","nan","nan","nan",21.38,1.74,3.49,1.32,3,110.225,1.8
"Stock 2","nan","nan","nan","nan","nan","nan",0.17,0.18,2.0,"1,2",8.23,0.05,0.16,0.06,6,33.67917,59.485
"Tombaugh 2","nan","nan","nan",-0.3,0.07,20.0,-0.31,"nan",1.0,"3",15.39,1.93,1.46,0.45,7,105.77083,-20.81667
"Trumpler 5",-0.44,0.07,4.0,-0.47,0.05,3.0,-0.3,"nan",1.0,"4",10.4,0.65,4.33,1.93,8,99.12,9.47
"Trumpler 10","nan","nan","nan","nan","nan","nan",-0.12,0.06,2.5,"1,5",8.06,0.0,0.04,0.01,10,131.975,-42.45
"Trumpler 20",0.17,0.05,13.0,0.09,0.1,5.0,"nan","nan","nan","nan",6.9,0.06,1.36,0.65,6,189.938,-60.635
