"Cluster","radius","Ntot","Ncabs","Ncrel","pmRAC","s_pmRAC","pmDEC","s_pmDEC","rhoC","Nfabs","pmRAF","s_pmRAF","pmDEF","s_pmDEF","rhoF","FileName"
"VDBH_144, BH_144",1.75,66,52,0.79,-7.88,2.24,-1.85,2.25,0.08,14,-0.48,3.91,-1.24,13.94,-0.6,"VDBH_144, BH_144.dat"
"VDBH_205, BH_205",3.0,91,79,0.86,-0.76,1.32,-2.39,2.37,0.54,12,2.72,0.64,-18.55,9.31,0.82,"VDBH_205, BH_205.dat"
"VDBH_217, BH_217",3.5,160,138,0.86,-0.32,0.71,-2.18,0.73,0.01,22,-5.82,5.29,-6.07,8.29,0.16,"VDBH_217, BH_217.dat"
"VDBH_221, BH_221",6.0,255,183,0.72,1.21,1.64,-1.4,1.35,0.09,72,-3.96,7.03,-4.06,7.61,0.28,"VDBH_221, BH_221.dat"
"VDBH_222, BH_222",2.0,64,52,0.81,0.82,1.19,-2.37,3.64,-0.04,12,-6.76,1.58,-2.46,13.7,0.52,"VDBH_222, BH_222.dat"
"VDBH_223, BH_223",4.0,64,43,0.68,-0.25,1.55,-1.99,0.1,0.77,21,-2.32,4.88,-4.61,5.32,0.25,"VDBH_223, BH_223.dat"
"VDBH_34, BH_34",13.5,705,549,0.78,-4.91,2.55,4.43,2.58,-0.39,156,-6.17,7.76,4.28,10.12,-0.46,"VDBH_34, BH_34.dat"
"VDBH_52, BH_52",4.0,156,123,0.79,-4.51,0.95,3.65,0.1,-0.19,33,-8.17,10.08,7.95,10.86,-0.57,"VDBH_52, BH_52.dat"
"VDBH_54, BH_54",3.0,45,37,0.81,-5.65,0.1,5.58,0.1,0.34,8,-5.68,6.55,3.59,9.66,-0.31,"VDBH_54, BH_54.dat"
"VDBH_55, BH_55",2.0,35,25,0.71,-4.2,0.19,2.22,0.55,-0.03,10,-8.94,3.16,9.28,7.75,0.29,"VDBH_55, BH_55.dat"
"VDBH_72, BH_72",2.0,65,51,0.79,-2.35,1.19,1.43,0.18,-0.31,14,-6.54,7.41,-3.81,4.71,-0.68,"VDBH_72, BH_72.dat"
"VDBH_84, BH_84",3.0,97,76,0.78,-5.47,1.77,2.27,1.73,-0.44,21,-1.42,14.62,2.7,6.04,-0.12,"VDBH_84, BH_84.dat"
"VDBH_88, BH_88",3.0,124,97,0.78,-4.95,0.48,1.96,0.44,-0.03,27,-6.41,6.15,0.36,6.15,-0.49,"VDBH_88, BH_88.dat"
"VDBH_91, BH_91",3.5,218,159,0.73,-6.47,2.1,2.33,1.8,-0.47,59,-11.3,10.56,0.93,11.63,-0.29,"VDBH_91, BH_91.dat"
"VDBH_92, BH_92",2.0,59,47,0.8,-5.18,2.49,1.81,1.79,-0.26,12,-3.29,7.95,2.72,9.18,-0.42,"VDBH_92, BH_92.dat"
"Basel_1",3.5,218,184,0.85,-0.67,0.1,-2.32,1.23,0.04,34,-1.75,10.56,-10.98,9.07,-0.33,"Basel_1.dat"
"Basel_11a",3.5,113,88,0.78,-1.72,1.15,1.85,0.1,0.19,25,-2.5,8.07,-2.76,8.92,-0.19,"Basel_11a.dat"
"Basel_11b",4.5,102,75,0.74,0.8,0.18,-5.32,0.94,0.28,27,-0.17,3.93,-6.64,7.61,-0.42,"Basel_11b.dat"
"Basel_12",3.0,161,119,0.74,-4.31,1.42,-3.72,1.04,0.24,42,-3.11,7.34,-0.15,9.37,0.24,"Basel_12.dat"
"Basel_13",6.0,493,360,0.73,-3.89,1.32,-3.88,1.64,0.27,133,-3.51,9.66,-3.27,8.48,0.1,"Basel_13.dat"
"Basel_15",4.0,98,88,0.89,-3.96,1.62,-4.27,3.61,0.3,10,-1.31,14.14,6.23,15.71,-0.57,"Basel_15.dat"
"Basel_17",6.0,811,680,0.84,-7.26,2.19,1.95,1.16,-0.08,131,-7.94,10.97,1.3,10.36,-0.25,"Basel_17.dat"
